Orthogroup	NEMVE	CAEEL
OG0000007	NEMVE09056, NEMVE09467, NEMVE03824	CAEEL10238, CAEEL04602
OG0000007	NEMVE05677	CAEEL18586
OG0000008	NEMVE10754	CAEEL19465, CAEEL14382
OG0000010	NEMVE02447, NEMVE13495	CAEEL10534
OG0000010	NEMVE08097, NEMVE05663, NEMVE09594, NEMVE01139, NEMVE10384, NEMVE08328, NEMVE12787, NEMVE21978, NEMVE15512, NEMVE00299, NEMVE10065, NEMVE10064, NEMVE11692, NEMVE10063	CAEEL04259
OG0000010	NEMVE02242, NEMVE11743, NEMVE12341, NEMVE07633, NEMVE13907, NEMVE21895, NEMVE07143, NEMVE08133, NEMVE19437, NEMVE19436, NEMVE21842, NEMVE09816, NEMVE06238, NEMVE08032, NEMVE05308, NEMVE21754, NEMVE07621, NEMVE09784, NEMVE21928, NEMVE07022, NEMVE00173, NEMVE08008, NEMVE22478, NEMVE16037, NEMVE06770, NEMVE17848	CAEEL10902
OG0000012	NEMVE01141, NEMVE23855, NEMVE18011, NEMVE02074	CAEEL14039, CAEEL14036, CAEEL14035, CAEEL14043, CAEEL14262, CAEEL14332, CAEEL14331, CAEEL14330, CAEEL14630, CAEEL00027, CAEEL07052, CAEEL18698
OG0000012	NEMVE10753	CAEEL19132, CAEEL18995
OG0000013	NEMVE13893, NEMVE05875, NEMVE01242, NEMVE11444, NEMVE23684, NEMVE09508, NEMVE09506, NEMVE08890, NEMVE08262, NEMVE00977	CAEEL19127
OG0000015	NEMVE05324, NEMVE02429, NEMVE04966, NEMVE18055, NEMVE18768, NEMVE20100, NEMVE21922, NEMVE03454, NEMVE06696, NEMVE01531, NEMVE16715, NEMVE01580, NEMVE06889, NEMVE01713, NEMVE06874, NEMVE07446, NEMVE02999, NEMVE07669, NEMVE00606, NEMVE10760, NEMVE10763, NEMVE03039, NEMVE11855, NEMVE07220	CAEEL20727, CAEEL14381, CAEEL17815, CAEEL12449, CAEEL00283, CAEEL04309
OG0000015	NEMVE09590, NEMVE09832, NEMVE01566	CAEEL09145
OG0000016	NEMVE10959	CAEEL20493
OG0000016	NEMVE18985, NEMVE00901, NEMVE00895, NEMVE14894	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078
OG0000016	NEMVE14449, NEMVE01947, NEMVE01449, NEMVE05079, NEMVE20577, NEMVE25247, NEMVE00923, NEMVE09035, NEMVE08472, NEMVE13671, NEMVE08763, NEMVE00914, NEMVE01462, NEMVE08573	CAEEL18647
OG0000019	NEMVE06549	CAEEL15403
OG0000019	NEMVE15392	CAEEL04672
OG0000019	NEMVE19477, NEMVE18845, NEMVE09968, NEMVE08427, NEMVE18382, NEMVE10945, NEMVE18794, NEMVE16950	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513
OG0000020	NEMVE14211, NEMVE09336, NEMVE05506	CAEEL00627
OG0000020	NEMVE13577, NEMVE13307	CAEEL05927
OG0000020	NEMVE21746	CAEEL13362
OG0000020	NEMVE13092	CAEEL09273
OG0000021	NEMVE17642, NEMVE17644, NEMVE21888	CAEEL08491, CAEEL00422
OG0000021	NEMVE04837	CAEEL00784, CAEEL15377, CAEEL19483
OG0000023	NEMVE08792	CAEEL20104
OG0000023	NEMVE18254	CAEEL06641
OG0000026	NEMVE11230, NEMVE18197, NEMVE11570	CAEEL09711
OG0000027	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706	CAEEL17825
OG0000028	NEMVE06026, NEMVE05984	CAEEL19515, CAEEL07887
OG0000029	NEMVE03602	CAEEL11851
OG0000029	NEMVE01722, NEMVE08343	CAEEL20612
OG0000030	NEMVE06254	CAEEL20774
OG0000030	NEMVE14217, NEMVE02377, NEMVE09974	CAEEL04353
OG0000030	NEMVE01011, NEMVE09887, NEMVE00264, NEMVE09324, NEMVE09320, NEMVE12294, NEMVE13952, NEMVE02370, NEMVE06265, NEMVE06266, NEMVE00220	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830
OG0000031	NEMVE01854, NEMVE06981, NEMVE07223	CAEEL02023
OG0000031	NEMVE01412	CAEEL04718
OG0000031	NEMVE07820	CAEEL07076
OG0000032	NEMVE03085	CAEEL08739, CAEEL18742, CAEEL18342
OG0000034	NEMVE17012, NEMVE07311, NEMVE07285	CAEEL07900
OG0000034	NEMVE10927	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034
OG0000034	NEMVE10961, NEMVE24294	CAEEL01132
OG0000034	NEMVE06675, NEMVE11922, NEMVE10845	CAEEL03140, CAEEL03141
OG0000035	NEMVE23841	CAEEL01943
OG0000036	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948
OG0000037	NEMVE07168, NEMVE08661, NEMVE08672, NEMVE08663, NEMVE03342, NEMVE00564	CAEEL01091, CAEEL01333, CAEEL05877, CAEEL04684
OG0000037	NEMVE00865, NEMVE01113	CAEEL17629, CAEEL17628
OG0000037	NEMVE10401	CAEEL03654, CAEEL20275
OG0000037	NEMVE15427	CAEEL05341, CAEEL09278, CAEEL15847, CAEEL18667, CAEEL08354, CAEEL04132, CAEEL01670, CAEEL16210, CAEEL20299
OG0000037	NEMVE19686	CAEEL17375, CAEEL15833, CAEEL14419, CAEEL11118, CAEEL19473, CAEEL15437, CAEEL08950, CAEEL19908, CAEEL17993
OG0000040	NEMVE09375, NEMVE09383, NEMVE14914, NEMVE14247, NEMVE02046, NEMVE19885, NEMVE00080, NEMVE14245, NEMVE01079, NEMVE17217, NEMVE19524, NEMVE10595, NEMVE14183, NEMVE02048, NEMVE06324, NEMVE09502, NEMVE14493, NEMVE10271, NEMVE22260, NEMVE11520, NEMVE08601, NEMVE05782, NEMVE20551	CAEEL07223, CAEEL10049, CAEEL07225, CAEEL07224, CAEEL07229, CAEEL20365, CAEEL20227, CAEEL05468, CAEEL05498, CAEEL09191, CAEEL09190, CAEEL05505, CAEEL05502, CAEEL05503, CAEEL05501, CAEEL05504, CAEEL05500, CAEEL05506, CAEEL18896
OG0000041	NEMVE02645, NEMVE12910, NEMVE02225, NEMVE15516, NEMVE06792	CAEEL16024, CAEEL05122, CAEEL05121
OG0000041	NEMVE05166, NEMVE17369, NEMVE07542, NEMVE08619, NEMVE21809, NEMVE02404, NEMVE05170, NEMVE01536, NEMVE08033	CAEEL19747
OG0000041	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031	CAEEL05494
OG0000041	NEMVE05295	CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427
OG0000044	NEMVE16246, NEMVE14588	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097
OG0000044	NEMVE04813, NEMVE09521, NEMVE09195, NEMVE09209, NEMVE18089, NEMVE02473	CAEEL08025
OG0000048	NEMVE05649	CAEEL16396
OG0000048	NEMVE15061	CAEEL04880, CAEEL12789, CAEEL04867, CAEEL06450, CAEEL06447, CAEEL04866
OG0000049	NEMVE19461, NEMVE02399, NEMVE21864	CAEEL02028, CAEEL19631, CAEEL10349
OG0000051	NEMVE14426, NEMVE13406, NEMVE08489, NEMVE22548	CAEEL18565
OG0000051	NEMVE18951, NEMVE15008	CAEEL09464
OG0000054	NEMVE15086, NEMVE10916	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176
OG0000055	NEMVE00590, NEMVE12695, NEMVE19639, NEMVE15980, NEMVE21960	CAEEL14858
OG0000056	NEMVE01724, NEMVE05835, NEMVE01653	CAEEL05273
OG0000056	NEMVE06803	CAEEL04117
OG0000058	NEMVE13151	CAEEL06550
OG0000058	NEMVE00498	CAEEL09297
OG0000060	NEMVE15983, NEMVE23420, NEMVE00402	CAEEL10777, CAEEL19591, CAEEL14860, CAEEL00284, CAEEL15063, CAEEL20841
OG0000060	NEMVE00070, NEMVE04978, NEMVE04891, NEMVE14352, NEMVE05019, NEMVE21993, NEMVE15088	CAEEL08516
OG0000060	NEMVE09694	CAEEL20840
OG0000060	NEMVE01006, NEMVE11210, NEMVE00908, NEMVE18881, NEMVE00777	CAEEL08749, CAEEL08751, CAEEL08470
OG0000062	NEMVE14126	CAEEL02955
OG0000063	NEMVE05614	CAEEL05773
OG0000063	NEMVE00196	CAEEL11408
OG0000063	NEMVE09684	CAEEL04400
OG0000065	NEMVE02128, NEMVE02142, NEMVE07842, NEMVE11941, NEMVE09169, NEMVE17235, NEMVE07009, NEMVE07010, NEMVE01667, NEMVE07812, NEMVE11483, NEMVE06777, NEMVE05666, NEMVE09396, NEMVE07281, NEMVE13551	CAEEL04467, CAEEL04169, CAEEL03695, CAEEL04171, CAEEL05243
OG0000066	NEMVE03297	CAEEL18679
OG0000066	NEMVE00844, NEMVE10387, NEMVE00084, NEMVE10150, NEMVE04595, NEMVE10342, NEMVE05434, NEMVE11135, NEMVE09963, NEMVE09584, NEMVE08347, NEMVE05616, NEMVE09280, NEMVE09962, NEMVE05315, NEMVE00814, NEMVE17245, NEMVE08381, NEMVE08370, NEMVE09458, NEMVE02340, NEMVE12842, NEMVE06117, NEMVE06114, NEMVE05618, NEMVE02346, NEMVE08126, NEMVE06588, NEMVE02344, NEMVE04896, NEMVE07202, NEMVE08935, NEMVE01845, NEMVE02094, NEMVE00829, NEMVE23938, NEMVE08140, NEMVE02115, NEMVE05395, NEMVE00242, NEMVE00199, NEMVE02160, NEMVE11189, NEMVE08925, NEMVE05032, NEMVE14665, NEMVE01053, NEMVE05353, NEMVE08127, NEMVE05161	CAEEL20109
OG0000066	NEMVE04598, NEMVE11961	CAEEL18639
OG0000067	NEMVE09992, NEMVE05352, NEMVE17696, NEMVE13081, NEMVE04875	CAEEL19271
OG0000068	NEMVE24661, NEMVE20048	CAEEL09504, CAEEL06439
OG0000069	NEMVE14181	CAEEL14766
OG0000069	NEMVE11511	CAEEL06233
OG0000069	NEMVE15092	CAEEL07263, CAEEL07262, CAEEL15933, CAEEL19293
OG0000069	NEMVE13176, NEMVE12607	CAEEL06325, CAEEL10740, CAEEL11694, CAEEL10933, CAEEL14936, CAEEL19176, CAEEL14950, CAEEL14856, CAEEL16895, CAEEL14955, CAEEL11715, CAEEL06329, CAEEL06330, CAEEL06334, CAEEL11699
OG0000070	NEMVE23951, NEMVE09231, NEMVE05946	CAEEL02606
OG0000070	NEMVE06972, NEMVE04610	CAEEL07192
OG0000071	NEMVE06891	CAEEL11416
OG0000071	NEMVE05393, NEMVE01736	CAEEL01923, CAEEL10649, CAEEL04912, CAEEL09257, CAEEL12747
OG0000071	NEMVE08129, NEMVE05963, NEMVE00664	CAEEL07848, CAEEL20562, CAEEL18107
OG0000071	NEMVE23762, NEMVE04901	CAEEL00127, CAEEL07218, CAEEL19627, CAEEL19032, CAEEL20453, CAEEL07787, CAEEL04311, CAEEL04929, CAEEL18077
OG0000072	NEMVE01460	CAEEL07368
OG0000072	NEMVE03097	CAEEL06792
OG0000072	NEMVE00427	CAEEL08125
OG0000075	NEMVE15115	CAEEL03008
OG0000075	NEMVE22411	CAEEL11367
OG0000075	NEMVE17771, NEMVE07707	CAEEL11291
OG0000076	NEMVE08305, NEMVE12095	CAEEL18418
OG0000077	NEMVE04990	CAEEL01559, CAEEL18189, CAEEL18776, CAEEL19129, CAEEL09803, CAEEL18697, CAEEL18883, CAEEL06904, CAEEL18420, CAEEL20549, CAEEL20548
OG0000078	NEMVE20033	CAEEL18404
OG0000079	NEMVE07219, NEMVE03189	CAEEL18822, CAEEL09849
OG0000079	NEMVE02220	CAEEL10489
OG0000079	NEMVE08009	CAEEL07248
OG0000082	NEMVE19066	CAEEL18954, CAEEL04897
OG0000082	NEMVE05388	CAEEL13927
OG0000082	NEMVE14867, NEMVE15134	CAEEL12687
OG0000082	NEMVE22355	CAEEL01784, CAEEL05942, CAEEL05941
OG0000084	NEMVE00575	CAEEL20634
OG0000084	NEMVE07901	CAEEL08514, CAEEL10452
OG0000085	NEMVE09794, NEMVE03205	CAEEL06909
OG0000085	NEMVE07289	CAEEL07542
OG0000085	NEMVE07695	CAEEL03085
OG0000085	NEMVE18682, NEMVE18681	CAEEL08077
OG0000087	NEMVE21432	CAEEL16056
OG0000090	NEMVE05578	CAEEL18451
OG0000090	NEMVE17842, NEMVE05443, NEMVE06965, NEMVE20562, NEMVE13136, NEMVE02406, NEMVE14267, NEMVE21539, NEMVE17016, NEMVE10232, NEMVE24660, NEMVE20728, NEMVE17837, NEMVE23372	CAEEL10114
OG0000091	NEMVE05463, NEMVE05476, NEMVE13252	CAEEL17086, CAEEL16996, CAEEL16871, CAEEL16989, CAEEL16994, CAEEL13069, CAEEL13068, CAEEL19658, CAEEL16242, CAEEL15009, CAEEL13672, CAEEL12797, CAEEL05265, CAEEL01090, CAEEL16358, CAEEL07359, CAEEL05045
OG0000094	NEMVE05621	CAEEL10719
OG0000094	NEMVE03407, NEMVE03409, NEMVE03406	CAEEL18425
OG0000095	NEMVE15802, NEMVE10556, NEMVE02903, NEMVE22347, NEMVE15792, NEMVE05620, NEMVE06820, NEMVE05611	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114
OG0000096	NEMVE15121	CAEEL16555
OG0000096	NEMVE14782	CAEEL11088
OG0000096	NEMVE22574	CAEEL08533
OG0000096	NEMVE25573	CAEEL11776
OG0000096	NEMVE14773	CAEEL06051, CAEEL07422
OG0000098	NEMVE07244, NEMVE05378	CAEEL11671, CAEEL01601, CAEEL11678
OG0000099	NEMVE07525, NEMVE20970	CAEEL19098, CAEEL14903
OG0000101	NEMVE18515	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201
OG0000103	NEMVE06305	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258
OG0000103	NEMVE09043	CAEEL01469, CAEEL18445
OG0000104	NEMVE07990	CAEEL04070
OG0000104	NEMVE01265, NEMVE11212, NEMVE18020, NEMVE01905, NEMVE06744, NEMVE00656, NEMVE11959, NEMVE06478, NEMVE02810, NEMVE06126	CAEEL18800
OG0000106	NEMVE13923, NEMVE09138, NEMVE09430, NEMVE20448, NEMVE05915, NEMVE16024	CAEEL19130, CAEEL20701
OG0000110	NEMVE13920, NEMVE12399	CAEEL10319, CAEEL17689
OG0000113	NEMVE21021, NEMVE14510	CAEEL06358, CAEEL06359, CAEEL06360
OG0000114	NEMVE07046, NEMVE14943	CAEEL03306, CAEEL13040
OG0000114	NEMVE20958	CAEEL15245, CAEEL11468
OG0000115	NEMVE17903	CAEEL05577
OG0000117	NEMVE21138	CAEEL20521
OG0000117	NEMVE03818	CAEEL08400
OG0000119	NEMVE22896	CAEEL08480
OG0000120	NEMVE03389	CAEEL10779, CAEEL14431
OG0000120	NEMVE03379	CAEEL15157
OG0000120	NEMVE01429	CAEEL10840
OG0000121	NEMVE08130, NEMVE14214	CAEEL06288, CAEEL12116
OG0000124	NEMVE14026	CAEEL12548, CAEEL09889
OG0000124	NEMVE14854	CAEEL04963
OG0000124	NEMVE13714	CAEEL15384, CAEEL15382
OG0000126	NEMVE07689	CAEEL08841, CAEEL04611
OG0000126	NEMVE00909	CAEEL09101
OG0000126	NEMVE02955	CAEEL10194
OG0000127	NEMVE24353	CAEEL19207
OG0000127	NEMVE22473	CAEEL20452
OG0000127	NEMVE10526	CAEEL00838
OG0000127	NEMVE06422, NEMVE00274, NEMVE08437	CAEEL18545
OG0000128	NEMVE12106, NEMVE04961, NEMVE01987, NEMVE18699, NEMVE05813, NEMVE00993, NEMVE10370, NEMVE09954, NEMVE24226, NEMVE08877, NEMVE02973, NEMVE07718, NEMVE13536, NEMVE16591, NEMVE07067, NEMVE16738, NEMVE06927	CAEEL18038, CAEEL19894, CAEEL19895
OG0000129	NEMVE15459, NEMVE24455	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187
OG0000129	NEMVE14958	CAEEL12325
OG0000131	NEMVE07984, NEMVE05410	CAEEL08663
OG0000131	NEMVE20141	CAEEL07634
OG0000132	NEMVE01902	CAEEL16523
OG0000132	NEMVE00818, NEMVE00836, NEMVE00732, NEMVE00832, NEMVE00761, NEMVE00751, NEMVE00762, NEMVE00731, NEMVE15492, NEMVE01916	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417
OG0000137	NEMVE09537, NEMVE02104, NEMVE16617, NEMVE07756, NEMVE01665, NEMVE07752, NEMVE04562, NEMVE10746, NEMVE08414, NEMVE08549, NEMVE22935	CAEEL18416, CAEEL11601, CAEEL10559
OG0000142	NEMVE13476	CAEEL15831
OG0000147	NEMVE01930	CAEEL04811
OG0000147	NEMVE13815	CAEEL18488
OG0000148	NEMVE23582, NEMVE05630	CAEEL09804, CAEEL04213, CAEEL12387, CAEEL10870
OG0000149	NEMVE02950, NEMVE00060, NEMVE07321	CAEEL02847
OG0000149	NEMVE21291	CAEEL08694
OG0000155	NEMVE19500, NEMVE11462, NEMVE00815, NEMVE08895	CAEEL02327, CAEEL02328, CAEEL02326, CAEEL10961, CAEEL10957
OG0000157	NEMVE24250	CAEEL00241
OG0000157	NEMVE22690	CAEEL01390
OG0000158	NEMVE19203, NEMVE24928	CAEEL20117, CAEEL08684
OG0000159	NEMVE15043, NEMVE07490, NEMVE20974, NEMVE03468, NEMVE06600	CAEEL19486
OG0000159	NEMVE06171	CAEEL09124
OG0000159	NEMVE15373, NEMVE08424, NEMVE15992, NEMVE05165, NEMVE03182, NEMVE02495, NEMVE09227, NEMVE08562	CAEEL05281
OG0000160	NEMVE02932, NEMVE13008, NEMVE08785, NEMVE13435, NEMVE07078, NEMVE05120, NEMVE14840, NEMVE11396, NEMVE00322, NEMVE10352, NEMVE08354, NEMVE16396	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528
OG0000163	NEMVE23040, NEMVE12529, NEMVE24450	CAEEL08313
OG0000163	NEMVE12704, NEMVE13131	CAEEL20194, CAEEL08850
OG0000164	NEMVE17994	CAEEL05391, CAEEL18768
OG0000168	NEMVE10579	CAEEL10744, CAEEL09425, CAEEL11389, CAEEL18543, CAEEL05482
OG0000168	NEMVE11950, NEMVE10581, NEMVE12729, NEMVE21914, NEMVE11814, NEMVE12386, NEMVE14100, NEMVE08169	CAEEL19018
OG0000169	NEMVE20740	CAEEL15798
OG0000171	NEMVE00074, NEMVE07354, NEMVE02113, NEMVE02080	CAEEL00910, CAEEL20651
OG0000171	NEMVE13315	CAEEL11480
OG0000173	NEMVE17194, NEMVE14093, NEMVE11931, NEMVE01064, NEMVE10209, NEMVE00927, NEMVE22389, NEMVE08851	CAEEL04156
OG0000174	NEMVE22424, NEMVE05336, NEMVE05301, NEMVE11815	CAEEL09479
OG0000175	NEMVE08062	CAEEL19241
OG0000175	NEMVE00450, NEMVE15112	CAEEL15650, CAEEL01525, CAEEL01870
OG0000179	NEMVE22700	CAEEL13640
OG0000179	NEMVE14969, NEMVE18776	CAEEL02965, CAEEL06713
OG0000179	NEMVE07348, NEMVE15362	CAEEL19466, CAEEL07193
OG0000180	NEMVE07464	CAEEL06539
OG0000181	NEMVE24124	CAEEL07684
OG0000181	NEMVE23021	CAEEL10858
OG0000181	NEMVE13840, NEMVE02915	CAEEL10772
OG0000181	NEMVE13666, NEMVE22609	CAEEL12632
OG0000183	NEMVE11293	CAEEL16310, CAEEL16311, CAEEL16312
OG0000183	NEMVE10854, NEMVE13332	CAEEL18435
OG0000184	NEMVE14657, NEMVE21989	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164
OG0000185	NEMVE24028	CAEEL14200, CAEEL14122
OG0000186	NEMVE20616, NEMVE25738, NEMVE21024	CAEEL04404
OG0000186	NEMVE23359	CAEEL13010
OG0000188	NEMVE13624	CAEEL20699
OG0000191	NEMVE06357, NEMVE16189	CAEEL14244
OG0000191	NEMVE19938	CAEEL19421, CAEEL09443, CAEEL19122, CAEEL15476
OG0000191	NEMVE20056, NEMVE07639, NEMVE07647, NEMVE10676, NEMVE12682	CAEEL08724, CAEEL08082
OG0000192	NEMVE05593	CAEEL00285
OG0000193	NEMVE10259, NEMVE11693, NEMVE07643	CAEEL18944, CAEEL09482, CAEEL14826, CAEEL11204, CAEEL11203, CAEEL08224, CAEEL02079
OG0000193	NEMVE10068, NEMVE11691, NEMVE10067, NEMVE13255, NEMVE10260, NEMVE07641, NEMVE11522, NEMVE05479, NEMVE02730	CAEEL08719, CAEEL15014, CAEEL15011, CAEEL13132, CAEEL16410, CAEEL16409, CAEEL08797, CAEEL15012, CAEEL15013, CAEEL13133, CAEEL18985
OG0000194	NEMVE11646, NEMVE08721	CAEEL11235, CAEEL19589, CAEEL17687, CAEEL19382
OG0000200	NEMVE14737, NEMVE09501, NEMVE00651, NEMVE21943	CAEEL12936, CAEEL14770, CAEEL14767, CAEEL14769, CAEEL14768, CAEEL14529, CAEEL12940, CAEEL13152
OG0000201	NEMVE09097	CAEEL07587
OG0000202	NEMVE18137, NEMVE01256	CAEEL20283, CAEEL09165
OG0000203	NEMVE13514, NEMVE23942, NEMVE06833, NEMVE16297, NEMVE03834, NEMVE02777, NEMVE23941	CAEEL09812
OG0000205	NEMVE09132	CAEEL13029
OG0000205	NEMVE22488, NEMVE07344, NEMVE13282, NEMVE02003, NEMVE05573	CAEEL07272, CAEEL07274, CAEEL07273
OG0000207	NEMVE14338, NEMVE18126	CAEEL00203
OG0000208	NEMVE01513, NEMVE06396	CAEEL08447, CAEEL07330, CAEEL20488, CAEEL08722
OG0000209	NEMVE04011, NEMVE00628, NEMVE03484, NEMVE21050, NEMVE16290, NEMVE16425, NEMVE18816	CAEEL07432
OG0000210	NEMVE08730	CAEEL19469
OG0000211	NEMVE08412	CAEEL15290
OG0000211	NEMVE13225	CAEEL01111, CAEEL01112
OG0000211	NEMVE10733	CAEEL02311
OG0000218	NEMVE06667, NEMVE11926, NEMVE02677	CAEEL07824, CAEEL20213
OG0000218	NEMVE00623	CAEEL19795
OG0000221	NEMVE05724	CAEEL06648
OG0000223	NEMVE21368, NEMVE09090	CAEEL01621, CAEEL00892
OG0000225	NEMVE22802, NEMVE01960	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881
OG0000226	NEMVE25439, NEMVE15006, NEMVE10381, NEMVE25655	CAEEL12318
OG0000226	NEMVE09338, NEMVE02942, NEMVE04143, NEMVE15524	CAEEL10068, CAEEL15041
OG0000227	NEMVE04785, NEMVE09031, NEMVE06657, NEMVE07158, NEMVE07017, NEMVE03569, NEMVE03503	CAEEL19645
OG0000229	NEMVE15066, NEMVE11440, NEMVE07740, NEMVE17626, NEMVE18164, NEMVE17629	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478
OG0000230	NEMVE08205	CAEEL14845, CAEEL19792
OG0000230	NEMVE02989, NEMVE11521	CAEEL16226, CAEEL13679, CAEEL03009, CAEEL10796, CAEEL05825
OG0000230	NEMVE07243	CAEEL03884, CAEEL05141, CAEEL04123, CAEEL04876
OG0000231	NEMVE09601, NEMVE01545, NEMVE09855	CAEEL08481
OG0000232	NEMVE22092	CAEEL18532, CAEEL19887
OG0000233	NEMVE22062, NEMVE09623, NEMVE15678, NEMVE12114	CAEEL19660, CAEEL15634
