Orthogroup	NEMVE	DANRE
OG0000002	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891	DANRE16673, DANRE07411, DANRE07410, DANRE23587, DANRE23585, DANRE23586, DANRE23582, DANRE23583, DANRE23578, DANRE23577, DANRE23584, DANRE23576, DANRE23575, DANRE23581, DANRE23580, DANRE23579, DANRE23573, DANRE38244, DANRE38242, DANRE38243, DANRE28829, DANRE28823, DANRE28819, DANRE28822, DANRE28825, DANRE28824, DANRE28826, DANRE28828, DANRE28827, DANRE17907, DANRE17906, DANRE17905, DANRE17904, DANRE17908, DANRE23589, DANRE23588, DANRE17903, DANRE17912, DANRE17913, DANRE17914, DANRE17918, DANRE17917, DANRE17916, DANRE17915, DANRE17919, DANRE28739, DANRE23574
OG0000004	NEMVE02712, NEMVE03345	DANRE17331
OG0000004	NEMVE08317	DANRE41389, DANRE41390
OG0000004	NEMVE02378	DANRE31032, DANRE31033, DANRE31034, DANRE31044, DANRE31041, DANRE31047, DANRE31039, DANRE31031, DANRE31048, DANRE31046, DANRE31043, DANRE31042, DANRE30830, DANRE30828, DANRE30829, DANRE31045, DANRE30832, DANRE33319, DANRE29697
OG0000005	NEMVE06385, NEMVE09580, NEMVE16844, NEMVE02985, NEMVE19855, NEMVE16295, NEMVE17440, NEMVE24809, NEMVE17904, NEMVE20568, NEMVE20848, NEMVE13610, NEMVE05303, NEMVE08028, NEMVE12304, NEMVE02415, NEMVE05424, NEMVE19605, NEMVE10241, NEMVE10242, NEMVE14096, NEMVE02422, NEMVE09859, NEMVE11129, NEMVE14017, NEMVE08023, NEMVE10546, NEMVE03445	DANRE11253, DANRE11252, DANRE11254, DANRE11251, DANRE11250, DANRE02588, DANRE20012, DANRE20011, DANRE20010, DANRE20517, DANRE20518, DANRE17265, DANRE14948, DANRE27010, DANRE24204, DANRE18558, DANRE10777
OG0000005	NEMVE16926, NEMVE07207	DANRE17266
OG0000006	NEMVE06318	DANRE07563
OG0000006	NEMVE10951	DANRE02891
OG0000006	NEMVE12700, NEMVE08468	DANRE40167, DANRE35529, DANRE26614, DANRE26613
OG0000006	NEMVE10906	DANRE20396, DANRE24336
OG0000006	NEMVE21901	DANRE40393, DANRE12604, DANRE38227, DANRE13192, DANRE13191
OG0000006	NEMVE02590	DANRE11213, DANRE11212, DANRE11601
OG0000006	NEMVE03392	DANRE30064, DANRE15483
OG0000006	NEMVE06316	DANRE30060
OG0000006	NEMVE16957	DANRE19266, DANRE19265, DANRE34833, DANRE34834
OG0000006	NEMVE02351	DANRE05395
OG0000006	NEMVE14647	DANRE20981, DANRE28318, DANRE19321
OG0000006	NEMVE02879	DANRE29642, DANRE29641
OG0000006	NEMVE04712	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580
OG0000006	NEMVE13538	DANRE11156, DANRE11155
OG0000006	NEMVE09477, NEMVE18497, NEMVE09475	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329
OG0000006	NEMVE08464	DANRE04654, DANRE04655
OG0000006	NEMVE06164	DANRE18618
OG0000007	NEMVE15003	DANRE26275, DANRE17982
OG0000007	NEMVE14764	DANRE38320, DANRE26009, DANRE40798, DANRE40799
OG0000007	NEMVE13570	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908
OG0000007	NEMVE06210	DANRE40583, DANRE36378, DANRE29354, DANRE34325, DANRE40143
OG0000007	NEMVE02350, NEMVE21807	DANRE16014, DANRE16015, DANRE40142
OG0000007	NEMVE09701, NEMVE03333	DANRE07035, DANRE20085, DANRE04871, DANRE04210
OG0000007	NEMVE03816	DANRE23214, DANRE28394, DANRE07751, DANRE07750
OG0000007	NEMVE16064	DANRE03447, DANRE26278, DANRE26279, DANRE17980, DANRE17979, DANRE26277, DANRE17981, DANRE12992, DANRE12991
OG0000007	NEMVE09056	DANRE03039
OG0000007	NEMVE09467	DANRE08320, DANRE33659
OG0000007	NEMVE03824	DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908
OG0000007	NEMVE09051	DANRE30028, DANRE03038, DANRE28801
OG0000007	NEMVE03714	DANRE30495, DANRE03657, DANRE03658
OG0000007	NEMVE09289	DANRE02453, DANRE09326, DANRE09325
OG0000007	NEMVE05677	DANRE11519, DANRE13255, DANRE02905, DANRE04393
OG0000008	NEMVE06079, NEMVE05558	DANRE27059, DANRE36385, DANRE36384, DANRE36386, DANRE36383
OG0000008	NEMVE12766	DANRE15160, DANRE15161, DANRE09428, DANRE27450, DANRE27451, DANRE27453, DANRE27452
OG0000008	NEMVE19301, NEMVE04856, NEMVE05897	DANRE36653, DANRE31436, DANRE25708, DANRE25705, DANRE25707, DANRE25706
OG0000010	NEMVE11404, NEMVE16450, NEMVE09797, NEMVE11588, NEMVE01697, NEMVE01738, NEMVE21902, NEMVE17711, NEMVE08397, NEMVE01167, NEMVE15739, NEMVE05529, NEMVE01767, NEMVE07660, NEMVE00202, NEMVE10296, NEMVE05146, NEMVE07596, NEMVE01178, NEMVE01192, NEMVE09791	DANRE38562, DANRE38564, DANRE38563, DANRE08709, DANRE08676, DANRE08677, DANRE08708
OG0000010	NEMVE08421	DANRE21309, DANRE21308
OG0000010	NEMVE08097, NEMVE05663, NEMVE09594, NEMVE01139, NEMVE10384, NEMVE08328, NEMVE12787, NEMVE21978, NEMVE15512, NEMVE00299, NEMVE10065, NEMVE10064, NEMVE11692, NEMVE10063	DANRE34456, DANRE07824, DANRE29658, DANRE03180, DANRE03179, DANRE29163, DANRE29161, DANRE29162, DANRE03165, DANRE25582, DANRE36540, DANRE36542, DANRE36541
OG0000011	NEMVE10152	DANRE22618, DANRE32639, DANRE19908, DANRE03442
OG0000012	NEMVE09268, NEMVE05547	DANRE25930, DANRE25931, DANRE12655, DANRE12656, DANRE12659
OG0000013	NEMVE13893, NEMVE05875, NEMVE01242, NEMVE11444, NEMVE23684, NEMVE09508, NEMVE09506, NEMVE08890, NEMVE08262, NEMVE00977	DANRE02564, DANRE02565, DANRE02567, DANRE02566, DANRE02563, DANRE02568, DANRE41664, DANRE41663, DANRE41661, DANRE41662, DANRE41659, DANRE41658, DANRE41657, DANRE35359, DANRE35361, DANRE35360, DANRE35367, DANRE35365, DANRE35366, DANRE35364, DANRE33461, DANRE33468, DANRE33462, DANRE33466, DANRE33467, DANRE33465, DANRE33464, DANRE33463, DANRE24713, DANRE39935, DANRE39936, DANRE00714, DANRE37989, DANRE12210, DANRE15499, DANRE15493, DANRE15492, DANRE15491, DANRE15498, DANRE15497, DANRE15495, DANRE15494, DANRE25903, DANRE25904, DANRE25905, DANRE13233, DANRE13234, DANRE13231, DANRE13232, DANRE13235, DANRE00838
OG0000014	NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819	DANRE17251, DANRE43403
OG0000015	NEMVE01032, NEMVE12485, NEMVE00817	DANRE15829, DANRE07077
OG0000015	NEMVE09590, NEMVE09832, NEMVE01566	DANRE07037, DANRE07036, DANRE03906, DANRE05961, DANRE41277, DANRE41276, DANRE06610, DANRE36519, DANRE36518, DANRE36520, DANRE20233, DANRE20234, DANRE04836, DANRE04835, DANRE06611, DANRE20443, DANRE11101, DANRE11100, DANRE17308, DANRE17307, DANRE17306, DANRE17304, DANRE17305, DANRE12114, DANRE24410, DANRE01122, DANRE24409
OG0000016	NEMVE10959	DANRE38616, DANRE06628, DANRE06627, DANRE13366
OG0000016	NEMVE18985	DANRE04448
OG0000016	NEMVE14449, NEMVE01947, NEMVE01449, NEMVE05079, NEMVE20577, NEMVE25247, NEMVE00923, NEMVE09035, NEMVE08472, NEMVE13671, NEMVE08763	DANRE35611
OG0000016	NEMVE05675	DANRE02012
OG0000016	NEMVE01836	DANRE13447
OG0000018	NEMVE07261	DANRE24545, DANRE35342, DANRE25794, DANRE36083, DANRE25761, DANRE28032, DANRE14196, DANRE38851, DANRE22527, DANRE26621, DANRE11765, DANRE36195, DANRE03525, DANRE11263, DANRE14820, DANRE41490, DANRE37176, DANRE08199, DANRE24881, DANRE08547, DANRE40578, DANRE10138, DANRE32666, DANRE04209, DANRE28234, DANRE04603, DANRE29058, DANRE05534, DANRE17601, DANRE09239, DANRE24202, DANRE31993, DANRE10860, DANRE34666, DANRE28525, DANRE06532, DANRE42745, DANRE25935, DANRE41823, DANRE28532, DANRE32198, DANRE23599, DANRE04161, DANRE11286, DANRE13094
OG0000018	NEMVE12742, NEMVE12416	DANRE13954, DANRE13946
OG0000019	NEMVE06549	DANRE41681
OG0000019	NEMVE10489	DANRE39715, DANRE24632, DANRE24631, DANRE21113, DANRE21112, DANRE29948, DANRE29945, DANRE29947, DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869
OG0000020	NEMVE06048, NEMVE13554	DANRE37310
OG0000020	NEMVE05671	DANRE10670
OG0000020	NEMVE14242	DANRE40536
OG0000020	NEMVE13317, NEMVE16589, NEMVE10183, NEMVE17621, NEMVE03465, NEMVE14976, NEMVE21956, NEMVE21862	DANRE14742, DANRE09733, DANRE18650, DANRE10748, DANRE23011, DANRE42755, DANRE24424, DANRE24423, DANRE27995, DANRE27624, DANRE27625, DANRE30414
OG0000020	NEMVE05506	DANRE27431, DANRE27432, DANRE27433
OG0000020	NEMVE08770, NEMVE22771	DANRE06741, DANRE06740, DANRE15747
OG0000020	NEMVE13577	DANRE22958, DANRE22959
OG0000020	NEMVE13307	DANRE06663, DANRE06664, DANRE15816
OG0000020	NEMVE21746	DANRE18984
OG0000020	NEMVE13092	DANRE27379
OG0000021	NEMVE17642, NEMVE17644, NEMVE21888	DANRE38577, DANRE08977, DANRE08978, DANRE08976, DANRE08348, DANRE33679
OG0000021	NEMVE14759, NEMVE06841, NEMVE12110, NEMVE22480, NEMVE21761, NEMVE08095	DANRE33712, DANRE33711, DANRE33342, DANRE33343
OG0000021	NEMVE04837	DANRE37717, DANRE02277, DANRE27401, DANRE27403, DANRE27400, DANRE20108
OG0000023	NEMVE02033, NEMVE05058, NEMVE00878	DANRE19492, DANRE40604, DANRE27752, DANRE38057, DANRE39283, DANRE25540, DANRE36925, DANRE26382, DANRE26381, DANRE29650, DANRE29649, DANRE03181, DANRE19476, DANRE19477
OG0000025	NEMVE11507, NEMVE09420	DANRE19901, DANRE03302, DANRE09085, DANRE21568
OG0000026	NEMVE05956, NEMVE12539, NEMVE05975, NEMVE07911, NEMVE12540, NEMVE14231, NEMVE02456, NEMVE19119, NEMVE15036, NEMVE11860, NEMVE10138, NEMVE10137, NEMVE10629, NEMVE11596, NEMVE02542, NEMVE02515, NEMVE03115, NEMVE17182, NEMVE10477, NEMVE10141, NEMVE11809, NEMVE11355, NEMVE11214, NEMVE10424, NEMVE10535, NEMVE10632, NEMVE10426, NEMVE10474, NEMVE10479, NEMVE15004, NEMVE00616, NEMVE01360, NEMVE10139, NEMVE00722, NEMVE10481, NEMVE00708, NEMVE00807	DANRE09875
OG0000026	NEMVE24164, NEMVE07469	DANRE42258, DANRE07529
OG0000027	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706	DANRE39144, DANRE10366, DANRE03058, DANRE03059, DANRE03061, DANRE29465, DANRE03471, DANRE22990, DANRE22989, DANRE41021, DANRE41022, DANRE41023, DANRE41020, DANRE41018, DANRE41275, DANRE41019, DANRE41017, DANRE41008, DANRE41009, DANRE02909
OG0000029	NEMVE01722, NEMVE08343	DANRE39912, DANRE39910, DANRE39911, DANRE39909, DANRE12668, DANRE12669, DANRE40256, DANRE22155, DANRE11325, DANRE16818, DANRE16817, DANRE13326
OG0000030	NEMVE02213, NEMVE02794	DANRE41079, DANRE41078
OG0000030	NEMVE06265	DANRE08391
OG0000030	NEMVE06266, NEMVE00220	DANRE03978
OG0000031	NEMVE00311, NEMVE00632, NEMVE02249, NEMVE08151	DANRE20694
OG0000031	NEMVE01854	DANRE41496, DANRE35535, DANRE23155
OG0000031	NEMVE06981	DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505
OG0000031	NEMVE07223	DANRE17238
OG0000031	NEMVE01806	DANRE13622, DANRE13623
OG0000031	NEMVE01412	DANRE26516
OG0000031	NEMVE02343	DANRE11621
OG0000031	NEMVE04984	DANRE02768, DANRE23382
OG0000031	NEMVE07820	DANRE20276, DANRE16190, DANRE42316
OG0000031	NEMVE12067	DANRE27399, DANRE21472, DANRE14252
OG0000031	NEMVE21885	DANRE16189, DANRE42315, DANRE15746
OG0000031	NEMVE22486	DANRE42215, DANRE15380, DANRE42216, DANRE28106, DANRE23847, DANRE23848
OG0000032	NEMVE03085	DANRE24197
OG0000034	NEMVE07311, NEMVE07285	DANRE35041
OG0000034	NEMVE10927	DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947
OG0000034	NEMVE10961, NEMVE24294	DANRE14484, DANRE09880, DANRE38036
OG0000034	NEMVE06675, NEMVE11922, NEMVE10845	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613
OG0000034	NEMVE05344	DANRE04100
OG0000034	NEMVE16104, NEMVE09479, NEMVE10924	DANRE25182
OG0000035	NEMVE23841	DANRE23313
OG0000035	NEMVE22676	DANRE40563, DANRE38347, DANRE12928, DANRE12929, DANRE27654
OG0000035	NEMVE22226, NEMVE05357, NEMVE02194	DANRE31052, DANRE25078, DANRE12998, DANRE12997
OG0000035	NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233	DANRE29644, DANRE29645, DANRE13480, DANRE13479, DANRE12467, DANRE12466, DANRE30988
OG0000036	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372	DANRE11991, DANRE38630
OG0000037	NEMVE00865, NEMVE01113	DANRE11959, DANRE17549, DANRE11958, DANRE11635, DANRE11634, DANRE17282, DANRE17582, DANRE10717, DANRE10716, DANRE06286, DANRE06287, DANRE03950, DANRE03951, DANRE05592, DANRE05591, DANRE37805, DANRE37804, DANRE13383
OG0000037	NEMVE10401	DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607
OG0000038	NEMVE06149	DANRE04612
OG0000038	NEMVE22353, NEMVE14268, NEMVE25950, NEMVE02186, NEMVE17895	DANRE41584
OG0000039	NEMVE01371, NEMVE05995	DANRE18250, DANRE18249, DANRE18251, DANRE18253, DANRE18252
OG0000039	NEMVE09831, NEMVE16411, NEMVE04657	DANRE38069, DANRE38070
OG0000039	NEMVE18297, NEMVE18296	DANRE09344
OG0000041	NEMVE02645, NEMVE12910, NEMVE02225, NEMVE15516	DANRE24726
OG0000041	NEMVE05166, NEMVE17369, NEMVE07542, NEMVE08619, NEMVE21809, NEMVE02404, NEMVE05170, NEMVE01536, NEMVE08033	DANRE29584, DANRE29586, DANRE29583, DANRE29585, DANRE24718, DANRE38473, DANRE38474, DANRE38475, DANRE25228, DANRE30702, DANRE30703, DANRE30699, DANRE30704, DANRE30700, DANRE40396, DANRE40397
OG0000041	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031	DANRE29492, DANRE36857, DANRE22432, DANRE25655, DANRE33053, DANRE36856, DANRE25654, DANRE43342, DANRE38441
OG0000041	NEMVE05295	DANRE36805, DANRE27215, DANRE24076, DANRE27216, DANRE05493, DANRE05492, DANRE18224, DANRE05473, DANRE36043, DANRE17635
OG0000044	NEMVE05548, NEMVE05555, NEMVE06435, NEMVE06437, NEMVE08743	DANRE06946, DANRE06947, DANRE06457, DANRE17818, DANRE24284, DANRE24283, DANRE24280
OG0000045	NEMVE24106	DANRE38824
OG0000045	NEMVE00309, NEMVE15224, NEMVE04686	DANRE00498, DANRE00497, DANRE34860, DANRE34861
OG0000045	NEMVE06398, NEMVE16386, NEMVE08202, NEMVE03249, NEMVE10335, NEMVE12603	DANRE05823
OG0000046	NEMVE08905, NEMVE15252	DANRE15742, DANRE15458, DANRE15457, DANRE06026, DANRE06027, DANRE09905, DANRE20292, DANRE09276, DANRE42278, DANRE42280, DANRE42172, DANRE42168, DANRE42170, DANRE42174, DANRE42171, DANRE42169, DANRE42167, DANRE42279, DANRE42166, DANRE42173, DANRE42277, DANRE09606, DANRE09605
OG0000048	NEMVE05567	DANRE16164, DANRE16166, DANRE16167, DANRE16163
OG0000048	NEMVE14912	DANRE24176, DANRE24175, DANRE27247, DANRE27248, DANRE24174, DANRE24603, DANRE05500, DANRE08311, DANRE38354, DANRE14945, DANRE10170, DANRE10169
OG0000048	NEMVE14024	DANRE17556, DANRE05472
OG0000048	NEMVE15061	DANRE26183
OG0000049	NEMVE19461, NEMVE02399, NEMVE21864	DANRE18176, DANRE10819, DANRE00818, DANRE08853, DANRE08855, DANRE08854, DANRE36715, DANRE36714, DANRE02678, DANRE12445, DANRE22104, DANRE39773, DANRE39775, DANRE39774, DANRE02437, DANRE02436, DANRE36818, DANRE36819, DANRE30745, DANRE25833
OG0000049	NEMVE16082	DANRE35265
OG0000050	NEMVE01136	DANRE05388, DANRE16154, DANRE21370, DANRE14263, DANRE25768, DANRE00430, DANRE32860, DANRE42655, DANRE31654, DANRE32311, DANRE20964
OG0000050	NEMVE20024, NEMVE15194, NEMVE17974	DANRE33098, DANRE32869, DANRE33097, DANRE32870
OG0000051	NEMVE18951, NEMVE15008	DANRE04454, DANRE04455, DANRE04456, DANRE04458, DANRE04457
OG0000054	NEMVE15086, NEMVE10916	DANRE06791, DANRE15743
OG0000054	NEMVE05466	DANRE09041, DANRE09042
OG0000055	NEMVE00590	DANRE26046, DANRE37399
OG0000055	NEMVE19639	DANRE26075
OG0000056	NEMVE11933	DANRE40469
OG0000056	NEMVE01724, NEMVE05835, NEMVE01653	DANRE01913, DANRE01914, DANRE39460, DANRE39459, DANRE15877, DANRE15878, DANRE15879, DANRE39458, DANRE26297, DANRE26296, DANRE26298, DANRE26299, DANRE30224, DANRE30223, DANRE17147, DANRE17148, DANRE17149, DANRE30238, DANRE01911, DANRE01910
OG0000056	NEMVE01503, NEMVE04541	DANRE40924, DANRE40923
OG0000056	NEMVE19957, NEMVE15228	DANRE30239
OG0000057	NEMVE03498, NEMVE03044, NEMVE05190, NEMVE02467, NEMVE05216, NEMVE05223, NEMVE05204, NEMVE05225, NEMVE12328, NEMVE05177, NEMVE05220, NEMVE03446, NEMVE07617, NEMVE07622, NEMVE25939, NEMVE23329, NEMVE05208, NEMVE02722, NEMVE16190	DANRE01491, DANRE01492, DANRE34768, DANRE34769, DANRE25607, DANRE38933
OG0000057	NEMVE08590, NEMVE08584, NEMVE02970, NEMVE11676	DANRE02560, DANRE02558, DANRE02559
OG0000058	NEMVE06253	DANRE17254
OG0000058	NEMVE13151	DANRE01466, DANRE01467
OG0000058	NEMVE00498	DANRE15450
OG0000059	NEMVE15315, NEMVE02009, NEMVE06154	DANRE19797, DANRE19798, DANRE19796, DANRE13287, DANRE06156, DANRE06155, DANRE06072, DANRE06071, DANRE00651, DANRE20106, DANRE08743, DANRE08744
OG0000060	NEMVE01006, NEMVE11210, NEMVE00908, NEMVE18881, NEMVE00777	DANRE29003, DANRE24797, DANRE24796, DANRE38454, DANRE38453, DANRE38452, DANRE26104, DANRE12576
OG0000062	NEMVE10327	DANRE08107, DANRE08104, DANRE08105, DANRE08102, DANRE08103, DANRE08106, DANRE08101, DANRE08100, DANRE28562, DANRE28568, DANRE28566, DANRE28565, DANRE28573, DANRE28574, DANRE28576, DANRE28571, DANRE28572, DANRE28569, DANRE28442, DANRE28441, DANRE28577, DANRE28578, DANRE43388, DANRE28579, DANRE28570
OG0000062	NEMVE14126	DANRE18807, DANRE18806
OG0000063	NEMVE05614	DANRE20941, DANRE20940, DANRE20939, DANRE43110, DANRE15766, DANRE15767, DANRE15768, DANRE15769, DANRE26798, DANRE26796, DANRE26797, DANRE35514, DANRE35513
OG0000063	NEMVE00961	DANRE30783, DANRE30785, DANRE30782, DANRE01805, DANRE01806, DANRE36784, DANRE36785
OG0000063	NEMVE10930, NEMVE10935, NEMVE10931, NEMVE01013, NEMVE10933, NEMVE05615, NEMVE13213, NEMVE09357, NEMVE19786, NEMVE09682	DANRE36896
OG0000063	NEMVE09684	DANRE19500, DANRE19501, DANRE11531, DANRE11532, DANRE04204, DANRE04205, DANRE21781
OG0000065	NEMVE02128, NEMVE02142, NEMVE07842, NEMVE11941, NEMVE09169, NEMVE17235, NEMVE07009, NEMVE07010, NEMVE01667, NEMVE07812, NEMVE11483, NEMVE06777, NEMVE05666, NEMVE09396, NEMVE07281, NEMVE13551	DANRE33929, DANRE19442, DANRE11091, DANRE13549, DANRE13808, DANRE13807, DANRE30234, DANRE30232, DANRE30233, DANRE39633, DANRE39634, DANRE39641, DANRE39631, DANRE39632, DANRE39635, DANRE39637, DANRE39636, DANRE39638, DANRE39908
OG0000066	NEMVE02094, NEMVE00829	DANRE40339, DANRE40338, DANRE40337, DANRE40336
OG0000067	NEMVE14139, NEMVE14099	DANRE05059, DANRE06045, DANRE20513, DANRE39179
OG0000068	NEMVE24661, NEMVE20048	DANRE31239, DANRE39798, DANRE39799, DANRE23489, DANRE23339, DANRE39760, DANRE39761, DANRE22550, DANRE22548, DANRE36056, DANRE22549, DANRE22547, DANRE39762, DANRE25132, DANRE31207, DANRE31206, DANRE31205, DANRE41310, DANRE31358, DANRE31357, DANRE22551
OG0000069	NEMVE21932, NEMVE14181, NEMVE11511	DANRE26091
OG0000069	NEMVE21739	DANRE37466
OG0000069	NEMVE22023	DANRE26154
OG0000069	NEMVE12246	DANRE26088
OG0000069	NEMVE21883, NEMVE21728	DANRE26077, DANRE26160, DANRE39502, DANRE39507, DANRE39496, DANRE39492, DANRE37450, DANRE26173, DANRE26170, DANRE26153, DANRE26152
OG0000069	NEMVE15092	DANRE24751, DANRE34404, DANRE30153, DANRE08957, DANRE08956
OG0000069	NEMVE12607	DANRE37416
OG0000069	NEMVE21912	DANRE37404
OG0000070	NEMVE23951, NEMVE09231, NEMVE05946	DANRE18387, DANRE02540
OG0000071	NEMVE22171	DANRE38652, DANRE38653, DANRE38644, DANRE38645, DANRE38647, DANRE38651, DANRE38650, DANRE38649, DANRE41730, DANRE41729, DANRE41727, DANRE41728, DANRE21412, DANRE21413, DANRE21410, DANRE21409, DANRE21414, DANRE21408, DANRE21411, DANRE21415, DANRE21416
OG0000071	NEMVE00664	DANRE01478
OG0000072	NEMVE01460	DANRE06708, DANRE15716, DANRE15720, DANRE15719, DANRE15717, DANRE15718, DANRE06793, DANRE06794, DANRE06795, DANRE06796, DANRE08770, DANRE08769, DANRE00814, DANRE00815
OG0000072	NEMVE07818	DANRE15952, DANRE15953, DANRE00858, DANRE00856, DANRE00857, DANRE08517
OG0000074	NEMVE04681	DANRE17935
OG0000075	NEMVE23844	DANRE03709, DANRE26359, DANRE26360
OG0000075	NEMVE13100	DANRE23134, DANRE23133
OG0000075	NEMVE15115	DANRE09985, DANRE09984, DANRE09983, DANRE02787
OG0000075	NEMVE21913	DANRE01002, DANRE34361
OG0000075	NEMVE18051	DANRE41688, DANRE23132
OG0000075	NEMVE06044	DANRE31020
OG0000075	NEMVE24197	DANRE36834, DANRE40515, DANRE12778
OG0000075	NEMVE22411	DANRE30937, DANRE41300
OG0000075	NEMVE17771	DANRE24998, DANRE31372, DANRE31373, DANRE22408, DANRE02483
OG0000075	NEMVE07707	DANRE31021, DANRE31022
OG0000077	NEMVE04990	DANRE16390, DANRE20043, DANRE07192, DANRE00591, DANRE00590, DANRE39691, DANRE24245, DANRE24244, DANRE10615, DANRE10614, DANRE34995, DANRE08145, DANRE01477, DANRE40866, DANRE22036, DANRE06030, DANRE20156, DANRE16358, DANRE11696, DANRE11492, DANRE16170, DANRE41853, DANRE41854, DANRE17386, DANRE40644, DANRE19656, DANRE19657, DANRE33612, DANRE00616, DANRE33611, DANRE33613, DANRE17597, DANRE11294, DANRE11293, DANRE25103
OG0000078	NEMVE17207	DANRE39894, DANRE39895, DANRE39896, DANRE26111, DANRE26112, DANRE36848, DANRE30865, DANRE30864
OG0000078	NEMVE09271	DANRE36849
OG0000079	NEMVE07219, NEMVE03189	DANRE41428, DANRE41431, DANRE41432, DANRE41429, DANRE41430, DANRE23441, DANRE01701, DANRE07129, DANRE07131, DANRE06662
OG0000079	NEMVE08009	DANRE08425, DANRE08424, DANRE08423, DANRE08420, DANRE08416, DANRE08419, DANRE08415, DANRE01231, DANRE01230, DANRE08421, DANRE08418, DANRE08422, DANRE40812, DANRE40811, DANRE40809, DANRE40810, DANRE33381, DANRE40813, DANRE33383
OG0000081	NEMVE06228, NEMVE02734, NEMVE09334, NEMVE12527, NEMVE05056	DANRE40649, DANRE40650, DANRE21459, DANRE14250, DANRE21460, DANRE24930, DANRE38366, DANRE24350, DANRE24349, DANRE20206, DANRE20207, DANRE41912, DANRE41911
OG0000082	NEMVE19066	DANRE33308
