Orthogroup	NEMVE	BRALA
OG0000011	NEMVE11104	BRALA07657, BRALA07658, BRALA14523, BRALA24764, BRALA15476, BRALA23449, BRALA24766, BRALA32763, BRALA07512, BRALA05037, BRALA06517, BRALA01847, BRALA32798, BRALA04980
OG0000012	NEMVE09268, NEMVE05547	BRALA02238, BRALA10950, BRALA10951, BRALA20781, BRALA12637, BRALA12640, BRALA12639, BRALA12638, BRALA09310, BRALA03124, BRALA11928, BRALA12632, BRALA12634, BRALA12636, BRALA22025, BRALA22013, BRALA27149, BRALA13116, BRALA30617, BRALA01515, BRALA11191, BRALA13154, BRALA13813, BRALA30615, BRALA30614, BRALA30613, BRALA35525, BRALA30616, BRALA30612, BRALA33283, BRALA20556, BRALA29089, BRALA20557, BRALA20559, BRALA22947
OG0000013	NEMVE18475	BRALA22396
OG0000013	NEMVE13893, NEMVE05875, NEMVE01242, NEMVE11444, NEMVE23684, NEMVE09508, NEMVE09506, NEMVE08890, NEMVE08262, NEMVE00977	BRALA32294, BRALA12236, BRALA30121, BRALA23251, BRALA30117, BRALA15745, BRALA16184, BRALA26074, BRALA19927, BRALA16969, BRALA20536, BRALA31575, BRALA04855, BRALA20488, BRALA16980, BRALA30511, BRALA16953, BRALA16964, BRALA28033, BRALA16970, BRALA23206, BRALA31240, BRALA23084, BRALA03245, BRALA05270, BRALA21240, BRALA11603, BRALA32226, BRALA32225, BRALA14863, BRALA11595, BRALA11594, BRALA14897, BRALA10656, BRALA10655, BRALA22697, BRALA13629, BRALA13628, BRALA10659, BRALA13631
OG0000014	NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819	BRALA28626, BRALA28625, BRALA28624
OG0000014	NEMVE10866, NEMVE17722, NEMVE05756, NEMVE15955, NEMVE15452, NEMVE14131, NEMVE05653, NEMVE05088	BRALA15621, BRALA12274
OG0000015	NEMVE10119	BRALA06628
OG0000015	NEMVE09590, NEMVE09832, NEMVE01566	BRALA21862, BRALA21864, BRALA21860, BRALA21861, BRALA07518, BRALA07541, BRALA18254, BRALA18253, BRALA26423, BRALA21859, BRALA21858, BRALA21865, BRALA07699, BRALA22448
OG0000016	NEMVE12514, NEMVE12424	BRALA34743
OG0000016	NEMVE10959	BRALA00485
OG0000016	NEMVE11998	BRALA21428
OG0000016	NEMVE00914, NEMVE01462, NEMVE08573	BRALA05543
OG0000017	NEMVE10140	BRALA05160
OG0000017	NEMVE02741	BRALA33969
OG0000017	NEMVE21656	BRALA05159, BRALA12730
OG0000017	NEMVE05055, NEMVE07301, NEMVE11302, NEMVE11298, NEMVE10134	BRALA23160, BRALA12731
OG0000018	NEMVE07261	BRALA25938, BRALA02443, BRALA07959, BRALA03388, BRALA27096, BRALA25561, BRALA31854, BRALA31809, BRALA33250, BRALA16195, BRALA13704, BRALA27948, BRALA23173, BRALA12914, BRALA25800, BRALA23152, BRALA29804, BRALA18094, BRALA34486, BRALA32899, BRALA10376, BRALA33972, BRALA06055, BRALA32913, BRALA27818, BRALA31950, BRALA27816, BRALA27952, BRALA31952, BRALA27097, BRALA20530, BRALA30320, BRALA33187, BRALA27247, BRALA32183, BRALA17258, BRALA32989, BRALA30091, BRALA20808, BRALA24748, BRALA18020, BRALA23577, BRALA11468, BRALA26056, BRALA02824, BRALA06189, BRALA32094, BRALA32688, BRALA07025, BRALA20941, BRALA31799, BRALA08721
OG0000018	NEMVE17996	BRALA15540, BRALA30292
OG0000018	NEMVE12742, NEMVE12416	BRALA29803, BRALA00712
OG0000019	NEMVE06549	BRALA17788
OG0000019	NEMVE10214	BRALA00309, BRALA00310, BRALA00311
OG0000019	NEMVE10489	BRALA00404, BRALA00405, BRALA23253, BRALA16935, BRALA16938, BRALA16161, BRALA13485, BRALA13484, BRALA13482, BRALA33941, BRALA13483, BRALA08371, BRALA00611, BRALA01467, BRALA08352, BRALA01468, BRALA26666, BRALA08383, BRALA00610, BRALA13160
OG0000020	NEMVE16730	BRALA30796
OG0000020	NEMVE06048, NEMVE13554	BRALA02483, BRALA23113
OG0000020	NEMVE13603	BRALA30618
OG0000020	NEMVE05671	BRALA28848
OG0000020	NEMVE18721	BRALA05608
OG0000020	NEMVE14242	BRALA18984
OG0000020	NEMVE13317, NEMVE16589, NEMVE10183, NEMVE17621, NEMVE03465, NEMVE14976, NEMVE21956, NEMVE21862	BRALA03076, BRALA19763, BRALA21902, BRALA16840, BRALA01910, BRALA05743, BRALA25854, BRALA14414, BRALA16287, BRALA19612, BRALA00988, BRALA00987, BRALA34428, BRALA17137, BRALA26917, BRALA04450, BRALA19326, BRALA17705, BRALA01370, BRALA04503, BRALA22183, BRALA09492, BRALA12060, BRALA03276, BRALA03275, BRALA15785, BRALA31112, BRALA12011, BRALA22630, BRALA11869, BRALA14062, BRALA11167
OG0000020	NEMVE05506	BRALA27392
OG0000020	NEMVE08770, NEMVE22771	BRALA11912
OG0000020	NEMVE21746	BRALA12599
OG0000020	NEMVE13092	BRALA10628
OG0000020	NEMVE15151	BRALA23615
OG0000021	NEMVE25647	BRALA18098
OG0000021	NEMVE17642, NEMVE17644, NEMVE21888	BRALA22428, BRALA30352
OG0000021	NEMVE14759, NEMVE06841, NEMVE12110, NEMVE22480, NEMVE21761, NEMVE08095	BRALA34639, BRALA31905
OG0000021	NEMVE04837	BRALA06012, BRALA20360, BRALA20164, BRALA20364, BRALA11803, BRALA20363, BRALA20361
OG0000023	NEMVE01882	BRALA34393, BRALA34449, BRALA33273
OG0000023	NEMVE07698	BRALA29325, BRALA12288
OG0000023	NEMVE02033, NEMVE05058, NEMVE00878	BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062, BRALA25437
OG0000023	NEMVE13647	BRALA17881, BRALA21074, BRALA03421
OG0000023	NEMVE18254	BRALA33103
OG0000024	NEMVE19722	BRALA13162, BRALA17266
OG0000025	NEMVE18817	BRALA25665
OG0000025	NEMVE03788, NEMVE03827, NEMVE02880, NEMVE02751	BRALA30327, BRALA32180, BRALA29927, BRALA33380
OG0000025	NEMVE10596	BRALA30288, BRALA14889, BRALA08095
OG0000025	NEMVE03658	BRALA20961
OG0000025	NEMVE18322	BRALA21990, BRALA01764, BRALA20092
OG0000025	NEMVE00738	BRALA29928, BRALA29404
OG0000025	NEMVE02929	BRALA08078, BRALA28867, BRALA19412, BRALA08149, BRALA12844, BRALA13976, BRALA21247, BRALA25435, BRALA28795, BRALA26554
OG0000025	NEMVE11717	BRALA33595
OG0000025	NEMVE03316	BRALA15728, BRALA15173, BRALA17925, BRALA20091, BRALA25964, BRALA20492, BRALA24129, BRALA01765, BRALA32347
OG0000026	NEMVE14231, NEMVE02456, NEMVE19119, NEMVE15036, NEMVE11860, NEMVE10138, NEMVE10137, NEMVE10629, NEMVE11596, NEMVE02542, NEMVE02515, NEMVE03115, NEMVE17182, NEMVE10477, NEMVE10141, NEMVE11809, NEMVE11355, NEMVE11214, NEMVE10424, NEMVE10535, NEMVE10632, NEMVE10426, NEMVE10474, NEMVE10479, NEMVE15004, NEMVE00616, NEMVE01360, NEMVE10139, NEMVE00722, NEMVE10481, NEMVE00708, NEMVE00807	BRALA11498
OG0000026	NEMVE24164, NEMVE07469	BRALA18399, BRALA07898, BRALA07900, BRALA07899, BRALA34641, BRALA22918
OG0000027	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706	BRALA30064, BRALA04074, BRALA06095, BRALA06094, BRALA06046, BRALA20610, BRALA28131, BRALA20955, BRALA26178, BRALA25170, BRALA33815, BRALA16500, BRALA16502, BRALA15148, BRALA12240, BRALA23216, BRALA17841, BRALA12241, BRALA12239, BRALA32630, BRALA08245, BRALA08233, BRALA23546, BRALA24920, BRALA12814, BRALA00447, BRALA25835, BRALA13009, BRALA00483, BRALA00450, BRALA09026, BRALA26977, BRALA09028, BRALA03738, BRALA18788, BRALA11602, BRALA32150
OG0000028	NEMVE06026, NEMVE05984	BRALA00011, BRALA12956, BRALA12957
OG0000028	NEMVE03003, NEMVE23660, NEMVE03469, NEMVE05286, NEMVE04640, NEMVE08022, NEMVE16966, NEMVE16972, NEMVE16973, NEMVE02982, NEMVE08442, NEMVE03100, NEMVE06698, NEMVE03432, NEMVE18759, NEMVE09822, NEMVE00992, NEMVE03007, NEMVE02052, NEMVE16048, NEMVE08155, NEMVE16956, NEMVE02432, NEMVE01030, NEMVE02426	BRALA19589, BRALA19590, BRALA06381, BRALA06380, BRALA21277
OG0000029	NEMVE10355, NEMVE09829, NEMVE10357	BRALA01099
OG0000030	NEMVE14217, NEMVE02377, NEMVE09974	BRALA13032
OG0000030	NEMVE02213, NEMVE02794	BRALA14315, BRALA04297, BRALA10449
OG0000030	NEMVE06265	BRALA32176, BRALA06142
OG0000031	NEMVE00311, NEMVE00632	BRALA01948, BRALA09437, BRALA32909, BRALA01946, BRALA12064, BRALA09438, BRALA01951, BRALA14885, BRALA09441, BRALA09439, BRALA32910, BRALA01947, BRALA01952, BRALA14882, BRALA23662, BRALA14883, BRALA19306
OG0000031	NEMVE01854	BRALA04543
OG0000031	NEMVE06981	BRALA04547
OG0000031	NEMVE01806	BRALA04610
OG0000031	NEMVE01412	BRALA13458
OG0000031	NEMVE02343	BRALA16640
OG0000031	NEMVE04984	BRALA09408
OG0000031	NEMVE07820	BRALA28311
OG0000032	NEMVE08961, NEMVE08817	BRALA09749, BRALA09755
OG0000033	NEMVE07263, NEMVE03185, NEMVE16828, NEMVE02598, NEMVE24679, NEMVE02584, NEMVE12391	BRALA25553, BRALA20115, BRALA24216, BRALA09750, BRALA29039, BRALA05632, BRALA33338, BRALA29286, BRALA28522, BRALA30287, BRALA30197, BRALA08162, BRALA08034, BRALA23164, BRALA33510, BRALA33145, BRALA08549, BRALA19940, BRALA13518, BRALA15667, BRALA24907, BRALA25475, BRALA07998, BRALA07997, BRALA14864, BRALA20167, BRALA15709, BRALA30462, BRALA29514, BRALA21331, BRALA01502, BRALA25179, BRALA24610, BRALA10541, BRALA25160, BRALA30076, BRALA28266
OG0000033	NEMVE05503, NEMVE18079, NEMVE02721, NEMVE15415, NEMVE10748, NEMVE03167, NEMVE08927, NEMVE11580, NEMVE03129, NEMVE03126, NEMVE11341	BRALA02126, BRALA10869, BRALA21237, BRALA19989, BRALA30335, BRALA15631, BRALA30896, BRALA03164, BRALA20948, BRALA16265, BRALA26467, BRALA30133, BRALA27954, BRALA26545, BRALA09893, BRALA08428, BRALA32889, BRALA32814, BRALA17887, BRALA29128, BRALA31215, BRALA32952, BRALA32013, BRALA31320, BRALA22662, BRALA32689, BRALA12445, BRALA24903, BRALA28184, BRALA24591, BRALA03863, BRALA29419, BRALA17987, BRALA31131, BRALA12002, BRALA31883, BRALA11190, BRALA28120, BRALA30008, BRALA33243, BRALA07269, BRALA32916, BRALA30826, BRALA27795, BRALA10774, BRALA00010, BRALA20279, BRALA10423, BRALA34048, BRALA34732, BRALA33801, BRALA32426, BRALA32153, BRALA20280, BRALA29143, BRALA29939, BRALA09522, BRALA32831, BRALA19307, BRALA23155, BRALA27594, BRALA22615, BRALA32032, BRALA32815, BRALA33133, BRALA19402, BRALA00758, BRALA22567, BRALA31294, BRALA28294
OG0000033	NEMVE08276, NEMVE09890, NEMVE21344, NEMVE15725, NEMVE19380, NEMVE03161, NEMVE11272, NEMVE09721, NEMVE02571, NEMVE10598, NEMVE19678, NEMVE24522, NEMVE02588, NEMVE11685, NEMVE21301	BRALA30835, BRALA20226, BRALA25684, BRALA27595, BRALA30827, BRALA34440, BRALA21407, BRALA29940, BRALA33100, BRALA11728, BRALA22616, BRALA29799, BRALA33689, BRALA15957, BRALA23169, BRALA32611, BRALA24594, BRALA32612, BRALA10244
OG0000034	NEMVE17012, NEMVE07311, NEMVE07285	BRALA27570
OG0000034	NEMVE10927	BRALA08901, BRALA03079
OG0000034	NEMVE10961, NEMVE24294	BRALA17580
OG0000034	NEMVE06675, NEMVE11922, NEMVE10845	BRALA08885
OG0000034	NEMVE05344	BRALA23966, BRALA06594
OG0000034	NEMVE06831	BRALA18444
OG0000034	NEMVE16104, NEMVE09479, NEMVE10924	BRALA02412
OG0000035	NEMVE23841	BRALA21367, BRALA35402
OG0000035	NEMVE22226, NEMVE05357, NEMVE02194	BRALA13921
OG0000035	NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233	BRALA29588
OG0000036	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372	BRALA22402, BRALA22404
OG0000037	NEMVE00865, NEMVE01113	BRALA22282, BRALA22275
OG0000037	NEMVE10401	BRALA16015
OG0000037	NEMVE15427	BRALA16393, BRALA16390, BRALA16391
OG0000038	NEMVE24201, NEMVE14716	BRALA03789
OG0000038	NEMVE14268, NEMVE25950	BRALA19648
OG0000038	NEMVE02186	BRALA18077
OG0000038	NEMVE17895	BRALA04779
OG0000039	NEMVE06442, NEMVE10026, NEMVE09835, NEMVE12611	BRALA11768, BRALA25325, BRALA17518, BRALA26162, BRALA32574, BRALA32576, BRALA25316, BRALA21159, BRALA17814, BRALA17816, BRALA17817, BRALA32621, BRALA09388, BRALA21591, BRALA21590, BRALA32620, BRALA26161, BRALA30705, BRALA32623, BRALA17815, BRALA32622, BRALA25326
OG0000039	NEMVE00464, NEMVE09225, NEMVE01642, NEMVE01444, NEMVE09224, NEMVE01560, NEMVE06811	BRALA35483
OG0000039	NEMVE09831	BRALA17648
OG0000039	NEMVE16411, NEMVE04657	BRALA19632, BRALA19635
OG0000039	NEMVE15743	BRALA31558
OG0000041	NEMVE06792	BRALA29257
OG0000041	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031	BRALA00505, BRALA16473, BRALA00235, BRALA34487, BRALA22373, BRALA12409, BRALA12410, BRALA15735, BRALA29856, BRALA12407, BRALA24919, BRALA22127, BRALA14462, BRALA07763, BRALA29216, BRALA11960, BRALA35158
OG0000041	NEMVE02337	BRALA33023, BRALA09775
OG0000041	NEMVE05295	BRALA27215
OG0000043	NEMVE21961, NEMVE21792, NEMVE19640	BRALA27558, BRALA29904, BRALA27561, BRALA27544, BRALA25261, BRALA20700, BRALA31404, BRALA31409, BRALA11161, BRALA06431, BRALA06417, BRALA06396, BRALA06445, BRALA06452, BRALA06409
OG0000043	NEMVE12789	BRALA20694
OG0000043	NEMVE14296	BRALA06439, BRALA20722
OG0000043	NEMVE02775, NEMVE00615, NEMVE12385, NEMVE21267, NEMVE22714, NEMVE22026, NEMVE21348, NEMVE21359, NEMVE05121	BRALA06458, BRALA06464, BRALA06413, BRALA06474, BRALA06478
OG0000044	NEMVE05548, NEMVE05555, NEMVE06435, NEMVE06437, NEMVE08743	BRALA28596
OG0000044	NEMVE00148, NEMVE09327, NEMVE09586, NEMVE05553, NEMVE13115	BRALA05008, BRALA05063, BRALA05266, BRALA05269
OG0000044	NEMVE16246, NEMVE14588	BRALA34838
OG0000044	NEMVE04813	BRALA24587
OG0000044	NEMVE12375, NEMVE01572	BRALA03916
OG0000044	NEMVE04962	BRALA26507, BRALA16452
OG0000044	NEMVE08299, NEMVE08297, NEMVE08301, NEMVE10773, NEMVE02442, NEMVE17897, NEMVE07734	BRALA25594
OG0000045	NEMVE24106	BRALA29043, BRALA32667
OG0000045	NEMVE15224, NEMVE04686	BRALA19490, BRALA19482
OG0000045	NEMVE03249, NEMVE10335	BRALA00168, BRALA00164
OG0000045	NEMVE11131, NEMVE17534, NEMVE17201, NEMVE15169, NEMVE02656, NEMVE08142, NEMVE20592, NEMVE17847	BRALA22894
OG0000045	NEMVE03022, NEMVE15670, NEMVE03113	BRALA18221
OG0000046	NEMVE08905, NEMVE15252	BRALA28946, BRALA00828, BRALA17402, BRALA17400, BRALA23725, BRALA23726, BRALA19361, BRALA20352, BRALA19394, BRALA23187, BRALA19360, BRALA17712, BRALA30574, BRALA17713, BRALA15856, BRALA28385, BRALA34030
OG0000047	NEMVE12741, NEMVE05419	BRALA08165, BRALA26369, BRALA32034, BRALA34020, BRALA28823, BRALA03575, BRALA05399, BRALA24725, BRALA07480, BRALA17974, BRALA28047, BRALA13926, BRALA33326, BRALA22587, BRALA13945, BRALA30546, BRALA02764, BRALA08667, BRALA19798, BRALA16113, BRALA21906, BRALA29547, BRALA27015, BRALA09602, BRALA19327, BRALA19328, BRALA08009, BRALA30249, BRALA22247, BRALA27495, BRALA28592, BRALA15305, BRALA21551, BRALA30124, BRALA25680, BRALA18589, BRALA30988, BRALA33052, BRALA14436, BRALA23218, BRALA14165, BRALA14164, BRALA28069, BRALA00424, BRALA02976, BRALA02069, BRALA27265, BRALA11914, BRALA08126, BRALA12628, BRALA20001, BRALA31913, BRALA33929, BRALA30421, BRALA10187, BRALA26702, BRALA12513, BRALA17224, BRALA02337, BRALA11367, BRALA31778, BRALA17391, BRALA32269, BRALA10482
OG0000047	NEMVE05848, NEMVE11285, NEMVE02543, NEMVE05936, NEMVE08290	BRALA29231
OG0000047	NEMVE10640, NEMVE06306, NEMVE11518	BRALA23014, BRALA29849
OG0000048	NEMVE05567	BRALA08224
OG0000048	NEMVE14912	BRALA35359, BRALA30640, BRALA30891, BRALA13398, BRALA28757, BRALA17823, BRALA17828, BRALA17827, BRALA14637, BRALA17826, BRALA20466, BRALA05845, BRALA13397, BRALA31649, BRALA31651, BRALA13408, BRALA13407, BRALA17809
OG0000048	NEMVE14024	BRALA10830
OG0000048	NEMVE15061	BRALA03524
OG0000049	NEMVE19461, NEMVE02399, NEMVE21864	BRALA08952, BRALA08950, BRALA08951, BRALA15334, BRALA15336, BRALA15335, BRALA17285, BRALA26771
OG0000050	NEMVE20299	BRALA29504, BRALA33239, BRALA23285
OG0000050	NEMVE02458	BRALA27959, BRALA01945, BRALA33449, BRALA32066, BRALA01944, BRALA30000, BRALA21559, BRALA15438, BRALA30119
OG0000050	NEMVE01136	BRALA21077
OG0000050	NEMVE20024, NEMVE15194, NEMVE17974	BRALA10559
OG0000051	NEMVE14426, NEMVE13406, NEMVE08489, NEMVE22548	BRALA17952
