Orthogroup	NEMVE	XENTR
OG0000006	NEMVE12700, NEMVE08468	XENTR00026
OG0000006	NEMVE10906	XENTR03689
OG0000006	NEMVE21901	XENTR00399, XENTR09859
OG0000006	NEMVE02590	XENTR09947, XENTR11692
OG0000006	NEMVE03392	XENTR11329
OG0000006	NEMVE16957	XENTR15046
OG0000006	NEMVE02351	XENTR13548
OG0000006	NEMVE14647	XENTR15729, XENTR08627
OG0000006	NEMVE04712	XENTR04854, XENTR07280, XENTR07527
OG0000006	NEMVE13538	XENTR07719
OG0000006	NEMVE09477, NEMVE18497, NEMVE09475	XENTR12339, XENTR03854, XENTR12781
OG0000006	NEMVE06135, NEMVE02315, NEMVE06121, NEMVE12414, NEMVE22273, NEMVE03946	XENTR18680, XENTR15398
OG0000007	NEMVE15003	XENTR04989, XENTR07641
OG0000007	NEMVE14764	XENTR10435
OG0000007	NEMVE13570	XENTR12787, XENTR08906, XENTR06676
OG0000007	NEMVE06210	XENTR07000, XENTR07001, XENTR00358, XENTR05826, XENTR00041
OG0000007	NEMVE02350, NEMVE21807	XENTR08678, XENTR00040
OG0000007	NEMVE09701, NEMVE03333	XENTR10333, XENTR09768, XENTR09769, XENTR02009
OG0000007	NEMVE03816	XENTR03222
OG0000007	NEMVE16064	XENTR11347, XENTR18406, XENTR04991, XENTR04990, XENTR05942
OG0000007	NEMVE09467	XENTR09461, XENTR01137
OG0000007	NEMVE03824	XENTR03031, XENTR06562
OG0000007	NEMVE09051	XENTR16583
OG0000007	NEMVE03714	XENTR07405, XENTR01816
OG0000007	NEMVE09289	XENTR09232, XENTR15271
OG0000008	NEMVE06079, NEMVE05558	XENTR11531, XENTR11530, XENTR00356
OG0000008	NEMVE10754	XENTR06130
OG0000008	NEMVE12766	XENTR00105
OG0000008	NEMVE19301, NEMVE04856, NEMVE05897	XENTR02826, XENTR02855
OG0000009	NEMVE02901	XENTR08209
OG0000010	NEMVE11404, NEMVE16450, NEMVE09797, NEMVE11588, NEMVE01697, NEMVE01738, NEMVE21902, NEMVE17711, NEMVE08397, NEMVE01167, NEMVE15739, NEMVE05529, NEMVE01767, NEMVE07660, NEMVE00202, NEMVE10296, NEMVE05146, NEMVE07596, NEMVE01178, NEMVE01192, NEMVE09791	XENTR06633, XENTR06635, XENTR06634
OG0000010	NEMVE02447	XENTR08588
OG0000010	NEMVE08421	XENTR13805
OG0000010	NEMVE08097, NEMVE05663, NEMVE09594, NEMVE01139, NEMVE10384, NEMVE08328, NEMVE12787, NEMVE21978, NEMVE15512, NEMVE00299, NEMVE10065, NEMVE10064, NEMVE11692, NEMVE10063	XENTR08285, XENTR08284, XENTR12501, XENTR02618, XENTR13366, XENTR13367, XENTR13368, XENTR13360, XENTR13363, XENTR18987, XENTR13365, XENTR13362, XENTR13361, XENTR14666, XENTR14667, XENTR13349, XENTR15864, XENTR13352, XENTR13346, XENTR13354, XENTR13358, XENTR13359
OG0000012	NEMVE09268, NEMVE05547	XENTR07259, XENTR07258, XENTR07257, XENTR07260, XENTR18170, XENTR07256
OG0000013	NEMVE13893, NEMVE05875, NEMVE01242, NEMVE11444, NEMVE23684, NEMVE09508, NEMVE09506, NEMVE08890, NEMVE08262, NEMVE00977	XENTR01071, XENTR01070, XENTR01094, XENTR01095, XENTR08287, XENTR08288, XENTR11527
OG0000014	NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819	XENTR09147, XENTR00681
OG0000015	NEMVE01032, NEMVE12485, NEMVE00817	XENTR05642
OG0000015	NEMVE09590, NEMVE09832, NEMVE01566	XENTR10336, XENTR08668, XENTR08442, XENTR15573, XENTR12597, XENTR03461, XENTR00415, XENTR17900, XENTR14250, XENTR15058, XENTR02840
OG0000016	NEMVE10959	XENTR10586, XENTR06233
OG0000016	NEMVE18985	XENTR09539, XENTR00630
OG0000016	NEMVE14449, NEMVE01947, NEMVE01449, NEMVE05079, NEMVE20577, NEMVE25247, NEMVE00923, NEMVE09035, NEMVE08472, NEMVE13671, NEMVE08763	XENTR12717
OG0000016	NEMVE05675	XENTR17802
OG0000018	NEMVE07261	XENTR09178, XENTR08162, XENTR13012, XENTR02564, XENTR05956, XENTR09576, XENTR03694, XENTR00858, XENTR02889, XENTR06547, XENTR13927, XENTR13322, XENTR12397, XENTR08345, XENTR10008, XENTR11346, XENTR19127, XENTR10010
OG0000018	NEMVE12742, NEMVE12416	XENTR19110
OG0000019	NEMVE10489	XENTR07225, XENTR02749, XENTR04194, XENTR03535
OG0000020	NEMVE05671	XENTR14576
OG0000020	NEMVE18721	XENTR00311
OG0000020	NEMVE14242	XENTR13299
OG0000020	NEMVE13317, NEMVE16589, NEMVE10183, NEMVE17621, NEMVE03465, NEMVE14976, NEMVE21956, NEMVE21862	XENTR15741, XENTR07596, XENTR04090, XENTR05411, XENTR15461, XENTR03248, XENTR03249
OG0000020	NEMVE05506	XENTR04697
OG0000020	NEMVE08770, NEMVE22771	XENTR07864, XENTR11783
OG0000020	NEMVE13577	XENTR08063
OG0000020	NEMVE13307	XENTR05660
OG0000020	NEMVE21746	XENTR15846
OG0000020	NEMVE13092	XENTR15636
OG0000021	NEMVE17642, NEMVE17644, NEMVE21888	XENTR12641, XENTR02936, XENTR18096, XENTR01150
OG0000021	NEMVE11953	XENTR16121
OG0000021	NEMVE04837	XENTR13705, XENTR13394, XENTR13393, XENTR00007, XENTR13780, XENTR17333
OG0000023	NEMVE01882	XENTR02017, XENTR13173, XENTR18800, XENTR18648
OG0000023	NEMVE02033, NEMVE05058, NEMVE00878	XENTR00841, XENTR15918, XENTR00481, XENTR16829, XENTR12543, XENTR17774, XENTR00784
OG0000024	NEMVE05736, NEMVE12848	XENTR04811, XENTR06883, XENTR09943, XENTR01595, XENTR09488
OG0000026	NEMVE24164, NEMVE07469	XENTR07244, XENTR03079
OG0000027	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706	XENTR03739, XENTR10928, XENTR05419, XENTR05696, XENTR05695, XENTR11166, XENTR14623, XENTR17763, XENTR19186, XENTR19205, XENTR15608, XENTR17760, XENTR17761, XENTR17759, XENTR18667, XENTR19288, XENTR11639, XENTR18028, XENTR18027, XENTR18029, XENTR00202, XENTR00203, XENTR00210, XENTR00209, XENTR00204, XENTR00208
OG0000029	NEMVE01722, NEMVE08343	XENTR18699, XENTR18411, XENTR10325, XENTR07438, XENTR16899, XENTR09562, XENTR10017, XENTR09646, XENTR13058, XENTR12335
OG0000030	NEMVE06266, NEMVE00220	XENTR12816
OG0000031	NEMVE01854	XENTR05405, XENTR03766
OG0000031	NEMVE06981	XENTR08553, XENTR05384, XENTR03164
OG0000031	NEMVE07223	XENTR10836
OG0000031	NEMVE01806	XENTR03163
OG0000031	NEMVE02343	XENTR00229
OG0000031	NEMVE04984	XENTR02595, XENTR11133
OG0000031	NEMVE07820	XENTR12584, XENTR00918
OG0000031	NEMVE12067	XENTR00006, XENTR16792, XENTR04300
OG0000031	NEMVE21885	XENTR00917, XENTR11778
OG0000031	NEMVE22486	XENTR09425
OG0000034	NEMVE07311, NEMVE07285	XENTR04943
OG0000034	NEMVE10927	XENTR01252, XENTR11199, XENTR07072, XENTR12065
OG0000034	NEMVE10961, NEMVE24294	XENTR15456
OG0000034	NEMVE06675, NEMVE11922, NEMVE10845	XENTR10156
OG0000034	NEMVE05344	XENTR16254
OG0000034	NEMVE16104, NEMVE09479, NEMVE10924	XENTR08340
OG0000034	NEMVE25715, NEMVE08797	XENTR11637
OG0000035	NEMVE23841	XENTR05239
OG0000035	NEMVE22676	XENTR05079, XENTR05317, XENTR05866, XENTR05867
OG0000035	NEMVE22226, NEMVE05357, NEMVE02194	XENTR07648
OG0000035	NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233	XENTR17453, XENTR14129, XENTR07651, XENTR11799
OG0000036	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372	XENTR16237, XENTR16236, XENTR05174, XENTR07278
OG0000037	NEMVE00865, NEMVE01113	XENTR03868, XENTR16595, XENTR17072, XENTR05552, XENTR03023, XENTR14114, XENTR16580, XENTR14770, XENTR03861
OG0000037	NEMVE10401	XENTR10865, XENTR10696
OG0000038	NEMVE06149	XENTR18690, XENTR00755, XENTR00754
OG0000038	NEMVE25950	XENTR04205
OG0000039	NEMVE01371, NEMVE05995	XENTR03946, XENTR03945
OG0000039	NEMVE09831, NEMVE16411, NEMVE04657	XENTR17227
OG0000039	NEMVE15743	XENTR01241, XENTR01240, XENTR01239, XENTR01242
OG0000039	NEMVE18297, NEMVE18296	XENTR17697
OG0000041	NEMVE02645, NEMVE12910, NEMVE02225, NEMVE15516	XENTR14135
OG0000041	NEMVE05166, NEMVE17369, NEMVE07542, NEMVE08619, NEMVE21809, NEMVE02404, NEMVE05170, NEMVE01536, NEMVE08033	XENTR16713, XENTR17286, XENTR13662, XENTR02569
OG0000041	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031	XENTR12683, XENTR11379, XENTR11378, XENTR01609, XENTR11377, XENTR01610, XENTR10042
OG0000041	NEMVE05295	XENTR03001, XENTR09331, XENTR13929, XENTR05159, XENTR10869
OG0000044	NEMVE05548, NEMVE05555, NEMVE06435, NEMVE06437, NEMVE08743	XENTR05498, XENTR01628, XENTR04385, XENTR00688, XENTR04387, XENTR17931
OG0000045	NEMVE00309, NEMVE15224, NEMVE04686	XENTR06990
OG0000046	NEMVE08905, NEMVE15252	XENTR04959, XENTR03550, XENTR03551, XENTR11781, XENTR11780, XENTR17457, XENTR17456, XENTR17458, XENTR16941, XENTR17142, XENTR08235, XENTR05674, XENTR16277
OG0000047	NEMVE12741, NEMVE05419	XENTR07962
OG0000048	NEMVE05567	XENTR03701
OG0000048	NEMVE14912	XENTR04117
OG0000048	NEMVE14024	XENTR05160
OG0000049	NEMVE19461, NEMVE02399, NEMVE21864	XENTR00212, XENTR08482, XENTR07031, XENTR06401, XENTR01319, XENTR18684, XENTR07961, XENTR13014
OG0000049	NEMVE07661, NEMVE06992, NEMVE00847	XENTR13015
OG0000050	NEMVE02458	XENTR17952, XENTR07342, XENTR01845, XENTR01386, XENTR11958, XENTR03951, XENTR08402, XENTR03429, XENTR15018, XENTR17520, XENTR02104
OG0000054	NEMVE15086, NEMVE10916	XENTR04962, XENTR04961
OG0000054	NEMVE05466	XENTR00035, XENTR00034, XENTR00033, XENTR00032
OG0000056	NEMVE01724, NEMVE05835, NEMVE01653	XENTR00422, XENTR06505, XENTR06516, XENTR06514, XENTR06515, XENTR06513, XENTR06506
OG0000056	NEMVE01503, NEMVE04541	XENTR00781
OG0000057	NEMVE03498, NEMVE03044, NEMVE05190, NEMVE02467, NEMVE05216, NEMVE05223, NEMVE05204, NEMVE05225, NEMVE12328, NEMVE05177, NEMVE05220, NEMVE03446, NEMVE07617, NEMVE07622, NEMVE25939, NEMVE23329, NEMVE05208, NEMVE02722, NEMVE16190	XENTR04236, XENTR01413, XENTR01414
OG0000057	NEMVE08590, NEMVE08584, NEMVE02970, NEMVE11676	XENTR03679
OG0000058	NEMVE13151	XENTR11839
OG0000058	NEMVE00498	XENTR16220
OG0000059	NEMVE15315, NEMVE02009, NEMVE06154	XENTR06961, XENTR16370, XENTR15475
OG0000060	NEMVE01006, NEMVE11210, NEMVE00908, NEMVE18881, NEMVE00777	XENTR11489, XENTR04114, XENTR08957
OG0000062	NEMVE10327	XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496
OG0000062	NEMVE14126	XENTR09512
OG0000063	NEMVE05614	XENTR10234, XENTR04709, XENTR00319
OG0000063	NEMVE00961	XENTR11311
OG0000063	NEMVE09684	XENTR08048, XENTR02007, XENTR01303
OG0000065	NEMVE02128, NEMVE02142, NEMVE07842, NEMVE11941, NEMVE09169, NEMVE17235, NEMVE07009, NEMVE07010, NEMVE01667, NEMVE07812, NEMVE11483, NEMVE06777, NEMVE05666, NEMVE09396, NEMVE07281, NEMVE13551	XENTR16407, XENTR13484, XENTR05900, XENTR10167, XENTR16118, XENTR16117, XENTR10166, XENTR11635, XENTR11636, XENTR11634
OG0000066	NEMVE02094, NEMVE00829	XENTR18882
OG0000067	NEMVE14139, NEMVE14099	XENTR13783, XENTR04874
OG0000068	NEMVE24661, NEMVE20048	XENTR00752, XENTR17205, XENTR10995, XENTR11373, XENTR06812, XENTR11294, XENTR01321, XENTR07981, XENTR06611
OG0000069	NEMVE14181	XENTR15529
OG0000069	NEMVE15092	XENTR16269
OG0000070	NEMVE23951, NEMVE09231, NEMVE05946	XENTR15503, XENTR11143, XENTR02048
OG0000071	NEMVE22171	XENTR09995, XENTR01851, XENTR10875
OG0000072	NEMVE01460	XENTR15041, XENTR13953
OG0000072	NEMVE07818	XENTR03548, XENTR18546
OG0000074	NEMVE04681	XENTR14396
OG0000075	NEMVE23844	XENTR02757, XENTR11353, XENTR12610
OG0000075	NEMVE13100	XENTR06215
OG0000075	NEMVE15115	XENTR09250
OG0000075	NEMVE21913	XENTR14285, XENTR05936
OG0000075	NEMVE18051	XENTR04179, XENTR06216
OG0000075	NEMVE24197	XENTR01223, XENTR05975
OG0000075	NEMVE22411	XENTR10723
OG0000075	NEMVE17771	XENTR06816, XENTR17547, XENTR16124
OG0000075	NEMVE07707	XENTR05986, XENTR05987
OG0000077	NEMVE04990	XENTR06888, XENTR17790, XENTR02687, XENTR10451, XENTR01904, XENTR08754, XENTR13403, XENTR07875, XENTR00642, XENTR04757, XENTR13588
OG0000078	NEMVE17207	XENTR05046, XENTR08333, XENTR08953, XENTR08952
OG0000079	NEMVE07219, NEMVE03189	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648
OG0000079	NEMVE08009	XENTR01194
OG0000080	NEMVE06862	XENTR15502, XENTR19201, XENTR02957, XENTR17777, XENTR19137, XENTR07861, XENTR08066
OG0000081	NEMVE06228, NEMVE02734, NEMVE09334, NEMVE12527, NEMVE05056	XENTR05089, XENTR04318, XENTR10285, XENTR00627
OG0000082	NEMVE19066	XENTR16096
OG0000082	NEMVE05388	XENTR01624, XENTR01625
OG0000082	NEMVE14867, NEMVE15134	XENTR10144, XENTR10158, XENTR12929, XENTR11654, XENTR10095, XENTR10628
OG0000083	NEMVE12859, NEMVE06053, NEMVE08070, NEMVE09935, NEMVE03051, NEMVE02455, NEMVE08434, NEMVE06040, NEMVE03091	XENTR04370, XENTR12084, XENTR05647
OG0000084	NEMVE07901	XENTR05567, XENTR06450
OG0000085	NEMVE09794, NEMVE03205	XENTR01729, XENTR03138
OG0000085	NEMVE07289	XENTR04052, XENTR12507
OG0000085	NEMVE07695, NEMVE08967, NEMVE08972	XENTR15005
OG0000085	NEMVE05696	XENTR14407, XENTR15163, XENTR04222
OG0000085	NEMVE18682, NEMVE18681	XENTR00809
OG0000085	NEMVE13608	XENTR12508, XENTR04053
OG0000087	NEMVE09998, NEMVE14074	XENTR17246
OG0000087	NEMVE07184	XENTR13447, XENTR13446
OG0000087	NEMVE13354, NEMVE03416, NEMVE04646	XENTR10385
OG0000087	NEMVE02951	XENTR06016
OG0000087	NEMVE25319	XENTR00988
OG0000087	NEMVE20307	XENTR18799
OG0000087	NEMVE01934	XENTR00376
OG0000088	NEMVE24299, NEMVE07906, NEMVE16345, NEMVE14559, NEMVE09565, NEMVE02110	XENTR13149, XENTR04460, XENTR16769, XENTR11326, XENTR09069, XENTR10979, XENTR05948, XENTR02110
OG0000089	NEMVE15803	XENTR04109
OG0000090	NEMVE05578	XENTR11768
OG0000091	NEMVE05463, NEMVE05476, NEMVE13252	XENTR08624
OG0000094	NEMVE05621	XENTR15752, XENTR10717, XENTR18065, XENTR15146
OG0000094	NEMVE03407, NEMVE03409, NEMVE03406	XENTR09915, XENTR14788, XENTR17591
OG0000096	NEMVE15121	XENTR02028, XENTR07076, XENTR03113
OG0000096	NEMVE14782	XENTR02339, XENTR11518
OG0000096	NEMVE22574	XENTR06220, XENTR01880
OG0000096	NEMVE22432	XENTR18613
OG0000096	NEMVE25573	XENTR18353, XENTR11491, XENTR07413, XENTR11633
OG0000096	NEMVE14773	XENTR16018, XENTR14119, XENTR17893
OG0000098	NEMVE25900	XENTR05433, XENTR18578, XENTR17176
OG0000098	NEMVE07244, NEMVE05378	XENTR13786, XENTR13233, XENTR09318, XENTR06987
OG0000099	NEMVE07525, NEMVE20970	XENTR08433
OG0000100	NEMVE07544	XENTR03308, XENTR15328
OG0000101	NEMVE09668, NEMVE18669, NEMVE09674, NEMVE09673, NEMVE09675, NEMVE09670, NEMVE14294, NEMVE01377, NEMVE13283, NEMVE10270, NEMVE14668, NEMVE10030, NEMVE00231, NEMVE06943, NEMVE05036, NEMVE08533	XENTR09885, XENTR05951, XENTR10544, XENTR10545
OG0000101	NEMVE18515	XENTR08772, XENTR05240, XENTR13420, XENTR13421, XENTR13418, XENTR13417, XENTR13424, XENTR13419, XENTR13422, XENTR13423, XENTR08771
OG0000102	NEMVE01554, NEMVE04730	XENTR10759, XENTR05530
OG0000103	NEMVE06305	XENTR12408, XENTR09108, XENTR09106, XENTR06370, XENTR18537, XENTR03858, XENTR09105, XENTR09107, XENTR09109, XENTR12407, XENTR12406, XENTR01493
OG0000103	NEMVE09043	XENTR11203, XENTR09120, XENTR09119, XENTR01361, XENTR05614
OG0000104	NEMVE07990	XENTR05699, XENTR11871
OG0000104	NEMVE01265	XENTR03188, XENTR10251
OG0000104	NEMVE01905	XENTR17538, XENTR11872, XENTR05698
OG0000104	NEMVE06744	XENTR07142
OG0000104	NEMVE00656, NEMVE11959, NEMVE06478, NEMVE02810, NEMVE06126	XENTR02594, XENTR10789, XENTR16122
OG0000106	NEMVE07221, NEMVE07805	XENTR16525, XENTR07760, XENTR12554, XENTR12553, XENTR12551, XENTR12552, XENTR12555
OG0000106	NEMVE16024	XENTR05910, XENTR12158, XENTR05297
OG0000107	NEMVE02891, NEMVE02920	XENTR16492
OG0000110	NEMVE00979, NEMVE07027, NEMVE03143, NEMVE24541, NEMVE22920, NEMVE12064, NEMVE15426, NEMVE10514	XENTR04384, XENTR09458
OG0000113	NEMVE21021, NEMVE14510	XENTR00307
OG0000114	NEMVE07046, NEMVE14943	XENTR15267, XENTR18851, XENTR00272
OG0000116	NEMVE11443, NEMVE21821, NEMVE13450, NEMVE22004, NEMVE21900, NEMVE13056	XENTR15162
OG0000117	NEMVE23834, NEMVE12069	XENTR11526
OG0000117	NEMVE06169, NEMVE03380	XENTR09867
OG0000119	NEMVE22896	XENTR05393, XENTR05242, XENTR06871
OG0000119	NEMVE15248	XENTR01125, XENTR14071
OG0000121	NEMVE22381	XENTR04902, XENTR18080
OG0000121	NEMVE03127, NEMVE09919	XENTR08396, XENTR08397
OG0000122	NEMVE05937, NEMVE10909	XENTR06907, XENTR17281
OG0000123	NEMVE00175, NEMVE00172	XENTR09767
OG0000124	NEMVE24720	XENTR10247, XENTR00962, XENTR04813
OG0000124	NEMVE14854	XENTR09248, XENTR09249
OG0000124	NEMVE13714	XENTR13084, XENTR11997
OG0000126	NEMVE07689	XENTR03459, XENTR13788, XENTR00416
OG0000126	NEMVE08729, NEMVE02964	XENTR02718, XENTR02062, XENTR09023
OG0000126	NEMVE00909	XENTR14632, XENTR03466
OG0000126	NEMVE02955	XENTR05061, XENTR11942, XENTR13975, XENTR08532
OG0000127	NEMVE24353	XENTR02720, XENTR03441, XENTR09025
OG0000127	NEMVE22473	XENTR10923, XENTR12718
OG0000127	NEMVE10526	XENTR18212
OG0000127	NEMVE13457	XENTR03639, XENTR18292, XENTR04635, XENTR04636, XENTR18893
OG0000127	NEMVE22419	XENTR01486, XENTR04784, XENTR07585
OG0000128	NEMVE12106, NEMVE04961, NEMVE01987, NEMVE18699, NEMVE05813, NEMVE00993, NEMVE10370, NEMVE09954, NEMVE24226, NEMVE08877, NEMVE02973, NEMVE07718, NEMVE13536, NEMVE16591, NEMVE07067, NEMVE16738, NEMVE06927	XENTR09496, XENTR10668, XENTR08486, XENTR08487
OG0000129	NEMVE15459, NEMVE24455, NEMVE05043	XENTR13439, XENTR09476, XENTR13435, XENTR13438, XENTR13437, XENTR12648, XENTR00152, XENTR06673
OG0000129	NEMVE14958	XENTR14278, XENTR11921, XENTR18992, XENTR15519
OG0000130	NEMVE06584, NEMVE05300, NEMVE10363, NEMVE19712, NEMVE09669, NEMVE17089, NEMVE10460	XENTR09287, XENTR09286, XENTR18945, XENTR04945, XENTR12880, XENTR09655, XENTR07979, XENTR07151, XENTR03234, XENTR02051
OG0000131	NEMVE07984, NEMVE05410	XENTR10944
OG0000131	NEMVE20141	XENTR15258, XENTR16765, XENTR18163, XENTR17692, XENTR17693, XENTR17694, XENTR15254, XENTR03272
OG0000132	NEMVE00818, NEMVE00836, NEMVE00732, NEMVE00832, NEMVE00761, NEMVE00751, NEMVE00762, NEMVE00731, NEMVE15492, NEMVE01916	XENTR04795
OG0000135	NEMVE07712, NEMVE07156, NEMVE10399, NEMVE00765, NEMVE01301, NEMVE08506, NEMVE00634, NEMVE19959, NEMVE11803, NEMVE12861, NEMVE07150, NEMVE09618, NEMVE18689, NEMVE00849, NEMVE01021, NEMVE07037, NEMVE08365, NEMVE09611, NEMVE01856, NEMVE01229	XENTR07014, XENTR14167, XENTR10688, XENTR10689, XENTR15435, XENTR15775, XENTR16794, XENTR19031, XENTR19077, XENTR05007, XENTR05009, XENTR15440, XENTR16796, XENTR15437, XENTR05010, XENTR10515, XENTR15438, XENTR15441, XENTR15436, XENTR05006, XENTR05005, XENTR05047, XENTR15445
OG0000136	NEMVE22321, NEMVE17620, NEMVE20155, NEMVE02071, NEMVE04995, NEMVE13318, NEMVE15328	XENTR15528, XENTR11845
OG0000137	NEMVE20817, NEMVE18407	XENTR10738, XENTR07993, XENTR07994
OG0000137	NEMVE09537, NEMVE02104, NEMVE16617, NEMVE07756, NEMVE01665, NEMVE07752, NEMVE04562, NEMVE10746, NEMVE08414, NEMVE08549, NEMVE22935	XENTR04900, XENTR11062, XENTR17418, XENTR10667
OG0000139	NEMVE16959, NEMVE19997, NEMVE23512, NEMVE25194	XENTR06324
OG0000140	NEMVE07307	XENTR17095
OG0000140	NEMVE16491	XENTR07666, XENTR07665, XENTR08332, XENTR14015, XENTR14016, XENTR07655, XENTR08331, XENTR14014, XENTR14012, XENTR07664, XENTR07661, XENTR07660, XENTR01360, XENTR07654, XENTR07659, XENTR16593, XENTR17086, XENTR14627, XENTR14631, XENTR14629, XENTR17001, XENTR18014, XENTR07667, XENTR14010, XENTR14008, XENTR07656, XENTR00385, XENTR18191
OG0000145	NEMVE14111	XENTR16742, XENTR16672, XENTR16671
OG0000147	NEMVE01930	XENTR17574, XENTR03268, XENTR13018
OG0000147	NEMVE00775	XENTR12286
OG0000147	NEMVE13815	XENTR02156, XENTR12287
OG0000147	NEMVE14266	XENTR01301, XENTR12003
OG0000147	NEMVE15010	XENTR00602
OG0000147	NEMVE01973	XENTR15311
