Orthogroup	NEMVE	AENJA_ok
OG0000017	NEMVE05055, NEMVE07301, NEMVE11302, NEMVE11298, NEMVE10134	AENJA_12775, AENJA_13083, AENJA_06685, AENJA_01563, AENJA_17676, AENJA_13476, AENJA_24074, AENJA_10043, AENJA_21704, AENJA_26572, AENJA_20803, AENJA_11168, AENJA_19304, AENJA_07659, AENJA_14471
OG0000017	NEMVE18007, NEMVE09629	AENJA_20652
OG0000017	NEMVE09197	AENJA_24972, AENJA_04067, AENJA_13186, AENJA_06087, AENJA_19243, AENJA_04308, AENJA_04362
OG0000017	NEMVE11325	AENJA_16450
OG0000017	NEMVE07680, NEMVE10626	AENJA_15596
OG0000018	NEMVE07261	AENJA_18582, AENJA_00705, AENJA_05980, AENJA_21073, AENJA_24490, AENJA_10833, AENJA_00794, AENJA_03347, AENJA_20865, AENJA_10761, AENJA_12683, AENJA_07360, AENJA_25137
OG0000018	NEMVE17996	AENJA_18142, AENJA_15898, AENJA_01235, AENJA_19981, AENJA_14150
OG0000018	NEMVE12742, NEMVE12416	AENJA_03018, AENJA_12247
OG0000019	NEMVE06549	AENJA_03417, AENJA_02272, AENJA_02277
OG0000019	NEMVE19477, NEMVE18845, NEMVE09968, NEMVE08427, NEMVE18382, NEMVE10945, NEMVE18794, NEMVE16950	AENJA_02275, AENJA_02276, AENJA_10509, AENJA_19272
OG0000019	NEMVE10214	AENJA_02273
OG0000019	NEMVE10489	AENJA_24818, AENJA_20016, AENJA_14332, AENJA_12746, AENJA_14337, AENJA_14334, AENJA_14338
OG0000020	NEMVE05671	AENJA_15791
OG0000020	NEMVE18721	AENJA_12903
OG0000020	NEMVE14242	AENJA_09502
OG0000020	NEMVE13317, NEMVE16589, NEMVE10183, NEMVE17621, NEMVE03465, NEMVE14976, NEMVE21956, NEMVE21862	AENJA_16747, AENJA_14074, AENJA_08287, AENJA_18052, AENJA_23718, AENJA_02408, AENJA_17847, AENJA_15954
OG0000020	NEMVE05506	AENJA_16929
OG0000020	NEMVE08770, NEMVE22771	AENJA_04727
OG0000020	NEMVE13577	AENJA_10912
OG0000020	NEMVE13307	AENJA_11444
OG0000020	NEMVE21746	AENJA_14659
OG0000020	NEMVE13092	AENJA_12495
OG0000020	NEMVE15151	AENJA_25422
OG0000021	NEMVE01551, NEMVE13918	AENJA_21621, AENJA_21623
OG0000021	NEMVE25647	AENJA_26606, AENJA_10786
OG0000021	NEMVE17642, NEMVE17644, NEMVE21888	AENJA_16593, AENJA_24943, AENJA_24950
OG0000021	NEMVE14759, NEMVE06841, NEMVE12110, NEMVE22480, NEMVE21761, NEMVE08095	AENJA_19175
OG0000021	NEMVE04837	AENJA_25124, AENJA_24226, AENJA_26459, AENJA_15672, AENJA_17125, AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163, AENJA_10523, AENJA_13306, AENJA_20227, AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711
OG0000023	NEMVE01882	AENJA_06341
OG0000023	NEMVE02033, NEMVE05058, NEMVE00878	AENJA_11919, AENJA_06566, AENJA_06565, AENJA_12125, AENJA_11618, AENJA_11620, AENJA_11621, AENJA_22520, AENJA_19106, AENJA_11920
OG0000023	NEMVE13647	AENJA_26230
OG0000023	NEMVE01164, NEMVE04601, NEMVE15478, NEMVE15477, NEMVE23023, NEMVE08487, NEMVE18628, NEMVE01195, NEMVE03514, NEMVE05012, NEMVE13501, NEMVE11593, NEMVE05686, NEMVE11655, NEMVE11747, NEMVE12580	AENJA_17571
OG0000023	NEMVE16721, NEMVE11897, NEMVE08792	AENJA_11915
OG0000024	NEMVE05736, NEMVE12848	AENJA_16978, AENJA_19836, AENJA_22674, AENJA_01541, AENJA_03429, AENJA_07417, AENJA_16810, AENJA_26384, AENJA_23336, AENJA_21942, AENJA_20896, AENJA_05575, AENJA_18891, AENJA_18079, AENJA_19870, AENJA_09423
OG0000024	NEMVE10194, NEMVE06283, NEMVE03385, NEMVE10736, NEMVE10243, NEMVE12039	AENJA_25408, AENJA_13035, AENJA_24703
OG0000024	NEMVE12528	AENJA_05751
OG0000024	NEMVE03198	AENJA_14854
OG0000024	NEMVE14359, NEMVE12911, NEMVE12056	AENJA_04797
OG0000024	NEMVE19722	AENJA_02356, AENJA_04068, AENJA_18080, AENJA_10723, AENJA_14412, AENJA_24502, AENJA_10348, AENJA_23773, AENJA_18095, AENJA_12767, AENJA_02712
OG0000025	NEMVE18817	AENJA_17256
OG0000025	NEMVE10756, NEMVE10596, NEMVE03658, NEMVE10792	AENJA_26502
OG0000025	NEMVE09514, NEMVE12303, NEMVE11197, NEMVE11226, NEMVE19693, NEMVE02723	AENJA_13289
OG0000025	NEMVE00738	AENJA_21079
OG0000025	NEMVE11873	AENJA_09759, AENJA_20400, AENJA_19906
OG0000025	NEMVE11717	AENJA_05976
OG0000025	NEMVE12856, NEMVE02853, NEMVE03316	AENJA_09551
OG0000026	NEMVE14231, NEMVE02456, NEMVE19119, NEMVE15036, NEMVE11860, NEMVE10138, NEMVE10137, NEMVE10629, NEMVE11596, NEMVE02542, NEMVE02515, NEMVE03115, NEMVE17182, NEMVE10477, NEMVE10141, NEMVE11809, NEMVE11355, NEMVE11214, NEMVE10424, NEMVE10535, NEMVE10632, NEMVE10426, NEMVE10474, NEMVE10479, NEMVE15004, NEMVE00616, NEMVE01360, NEMVE10139, NEMVE00722, NEMVE10481, NEMVE00708, NEMVE00807	AENJA_07099, AENJA_18950
OG0000026	NEMVE24164, NEMVE07469	AENJA_21657
OG0000027	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706	AENJA_24558, AENJA_14831, AENJA_19912, AENJA_03490, AENJA_19914, AENJA_19915, AENJA_18849, AENJA_09326, AENJA_19460, AENJA_19462, AENJA_07845, AENJA_07844, AENJA_07843, AENJA_08256, AENJA_08253, AENJA_05706, AENJA_05707
OG0000028	NEMVE06026, NEMVE05984	AENJA_19954
OG0000029	NEMVE10355, NEMVE09829, NEMVE10357	AENJA_26395
OG0000030	NEMVE14217, NEMVE02377, NEMVE09974	AENJA_21030, AENJA_03309, AENJA_05226
OG0000031	NEMVE01854	AENJA_09856
OG0000031	NEMVE06981	AENJA_09858
OG0000031	NEMVE01806	AENJA_20966
OG0000031	NEMVE01412	AENJA_08759
OG0000031	NEMVE02343	AENJA_10722
OG0000031	NEMVE04984	AENJA_02955
OG0000031	NEMVE07820	AENJA_05740
OG0000031	NEMVE12067	AENJA_14258, AENJA_15917, AENJA_14260
OG0000031	NEMVE22486	AENJA_15028
OG0000032	NEMVE08961, NEMVE08817	AENJA_15565
OG0000032	NEMVE03085	AENJA_06513
OG0000033	NEMVE07263, NEMVE03185, NEMVE16828, NEMVE02598, NEMVE24679, NEMVE02584, NEMVE12391	AENJA_25005, AENJA_22775, AENJA_17956, AENJA_20306, AENJA_13272, AENJA_04460, AENJA_10095, AENJA_00313, AENJA_05637, AENJA_15145
OG0000033	NEMVE08069, NEMVE05676, NEMVE09285	AENJA_11651
OG0000033	NEMVE05503, NEMVE18079, NEMVE02721, NEMVE15415, NEMVE10748, NEMVE03167, NEMVE08927, NEMVE11580, NEMVE03129, NEMVE03126, NEMVE11341	AENJA_10094, AENJA_19957, AENJA_21447, AENJA_04314, AENJA_02993, AENJA_15924
OG0000033	NEMVE08276, NEMVE09890, NEMVE21344, NEMVE15725, NEMVE19380, NEMVE03161, NEMVE11272, NEMVE09721, NEMVE02571, NEMVE10598, NEMVE19678, NEMVE24522, NEMVE02588, NEMVE11685, NEMVE21301	AENJA_05893, AENJA_17748, AENJA_13995, AENJA_12723, AENJA_12540, AENJA_07108, AENJA_25355, AENJA_13459
OG0000034	NEMVE16906, NEMVE16907	AENJA_02790
OG0000034	NEMVE07311, NEMVE07285	AENJA_21749
OG0000034	NEMVE03284	AENJA_09845
OG0000034	NEMVE10927	AENJA_02791
OG0000034	NEMVE10961, NEMVE24294	AENJA_23686
OG0000034	NEMVE06675, NEMVE11922, NEMVE10845	AENJA_13785
OG0000034	NEMVE05344	AENJA_15701
OG0000034	NEMVE06831	AENJA_24919
OG0000034	NEMVE16104, NEMVE09479, NEMVE10924	AENJA_16616
OG0000035	NEMVE23841	AENJA_01174
OG0000035	NEMVE22676	AENJA_22033
OG0000035	NEMVE13965	AENJA_01175
OG0000035	NEMVE22226, NEMVE05357, NEMVE02194	AENJA_08825
OG0000035	NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233	AENJA_12732
OG0000036	NEMVE07419, NEMVE07417	AENJA_16633
OG0000036	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372	AENJA_21299, AENJA_21302, AENJA_21301
OG0000037	NEMVE07168, NEMVE08661, NEMVE08672, NEMVE08663, NEMVE03342, NEMVE00564	AENJA_19419
OG0000037	NEMVE00865, NEMVE01113	AENJA_19141, AENJA_21842, AENJA_00885, AENJA_06908, AENJA_02989, AENJA_17768, AENJA_10696, AENJA_20944, AENJA_05483, AENJA_06274
OG0000037	NEMVE10401	AENJA_13632
OG0000038	NEMVE24201	AENJA_09926
OG0000038	NEMVE14716	AENJA_09925
OG0000038	NEMVE16337	AENJA_05691
OG0000038	NEMVE22353	AENJA_05698
OG0000038	NEMVE14268, NEMVE25950, NEMVE02186, NEMVE17895	AENJA_16130
OG0000038	NEMVE21816	AENJA_05693
OG0000038	NEMVE14717	AENJA_05697
OG0000038	NEMVE15968	AENJA_05696
OG0000039	NEMVE00464, NEMVE09225, NEMVE01642, NEMVE01444, NEMVE09224, NEMVE01560, NEMVE06811	AENJA_12474, AENJA_05354
OG0000039	NEMVE09831	AENJA_20870
OG0000039	NEMVE16411, NEMVE04657	AENJA_17497
OG0000039	NEMVE15743	AENJA_07945
OG0000039	NEMVE01294	AENJA_26803, AENJA_05351
OG0000040	NEMVE20551	AENJA_23333
OG0000041	NEMVE02645, NEMVE12910, NEMVE02225, NEMVE15516	AENJA_08471
OG0000041	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031	AENJA_24560
OG0000041	NEMVE05295	AENJA_03404, AENJA_03405
OG0000044	NEMVE05548, NEMVE05555, NEMVE06435, NEMVE06437, NEMVE08743	AENJA_26664
OG0000044	NEMVE06851	AENJA_10128
OG0000044	NEMVE16246, NEMVE14588	AENJA_25117
OG0000044	NEMVE09195, NEMVE09209	AENJA_06141
OG0000044	NEMVE12375, NEMVE01572, NEMVE04962, NEMVE08299, NEMVE08297, NEMVE08301, NEMVE10773, NEMVE02442, NEMVE17897, NEMVE07734	AENJA_06789
OG0000045	NEMVE24106	AENJA_09277
OG0000045	NEMVE15604	AENJA_24300
OG0000045	NEMVE06398, NEMVE16386	AENJA_15011, AENJA_15012, AENJA_14861, AENJA_03122, AENJA_25840, AENJA_10250, AENJA_01144
OG0000045	NEMVE08202, NEMVE03249, NEMVE10335, NEMVE12603	AENJA_20791
OG0000046	NEMVE08905, NEMVE15252	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759, AENJA_16259, AENJA_09014, AENJA_24111, AENJA_07378, AENJA_17464, AENJA_14643, AENJA_17407, AENJA_18744, AENJA_06489, AENJA_17691, AENJA_14608, AENJA_08340
OG0000047	NEMVE12741, NEMVE05419	AENJA_20068, AENJA_18097, AENJA_25256, AENJA_10394, AENJA_14985, AENJA_05397, AENJA_06693
OG0000047	NEMVE12937	AENJA_04006, AENJA_04734, AENJA_17021
OG0000047	NEMVE05848, NEMVE11285, NEMVE02543, NEMVE05936, NEMVE08290	AENJA_02359, AENJA_22101
OG0000047	NEMVE10640, NEMVE06306, NEMVE11518	AENJA_17689
OG0000048	NEMVE14912	AENJA_21270, AENJA_21713, AENJA_09360
OG0000048	NEMVE14024	AENJA_16735, AENJA_16736
OG0000048	NEMVE15061	AENJA_25506
OG0000049	NEMVE19461, NEMVE02399, NEMVE21864	AENJA_20702, AENJA_25756, AENJA_17800, AENJA_10359
OG0000049	NEMVE15395, NEMVE15644	AENJA_24984, AENJA_12834, AENJA_18082
OG0000049	NEMVE16905, NEMVE16051, NEMVE24775, NEMVE01999, NEMVE16789, NEMVE16790, NEMVE16128, NEMVE01975, NEMVE02047, NEMVE16717, NEMVE08586, NEMVE23821, NEMVE10283, NEMVE01510, NEMVE06990, NEMVE03443, NEMVE05693, NEMVE00604, NEMVE19016, NEMVE00041	AENJA_02953, AENJA_07586
OG0000050	NEMVE20299	AENJA_04055, AENJA_09800, AENJA_19193
OG0000050	NEMVE17503	AENJA_03200, AENJA_25472, AENJA_19123, AENJA_10961
OG0000050	NEMVE02458	AENJA_01528, AENJA_02355, AENJA_00087
OG0000050	NEMVE20024, NEMVE15194, NEMVE17974	AENJA_22540, AENJA_26360, AENJA_20350
OG0000051	NEMVE14426, NEMVE13406, NEMVE08489, NEMVE22548	AENJA_18491, AENJA_12662
OG0000051	NEMVE18951, NEMVE15008	AENJA_24250
OG0000053	NEMVE21440	AENJA_07517
OG0000054	NEMVE15086, NEMVE10916	AENJA_06676, AENJA_23371
OG0000056	NEMVE11933	AENJA_20111
OG0000056	NEMVE01724, NEMVE05835, NEMVE01653	AENJA_20268, AENJA_20270
OG0000056	NEMVE01503, NEMVE04541	AENJA_05228
OG0000056	NEMVE04649, NEMVE01116	AENJA_08324, AENJA_08326, AENJA_10099, AENJA_20631
OG0000056	NEMVE16234	AENJA_14653
OG0000056	NEMVE19957	AENJA_20579
OG0000056	NEMVE15228	AENJA_01631, AENJA_03114
OG0000057	NEMVE05190, NEMVE02467, NEMVE05216, NEMVE05223, NEMVE05204, NEMVE05225, NEMVE12328, NEMVE05177, NEMVE05220, NEMVE03446, NEMVE07617, NEMVE07622, NEMVE25939, NEMVE23329, NEMVE05208, NEMVE02722, NEMVE16190	AENJA_05247, AENJA_22751, AENJA_20208, AENJA_16752, AENJA_23652
OG0000057	NEMVE07881	AENJA_15045
OG0000057	NEMVE11524, NEMVE08932, NEMVE10300	AENJA_23993
OG0000057	NEMVE03666, NEMVE05232, NEMVE03773, NEMVE06120, NEMVE03690, NEMVE06136, NEMVE06127, NEMVE06129, NEMVE05191, NEMVE03726, NEMVE05196, NEMVE05197, NEMVE05233, NEMVE09737, NEMVE05189, NEMVE05210, NEMVE03728	AENJA_17618, AENJA_26136, AENJA_26132, AENJA_08684, AENJA_22887, AENJA_05276, AENJA_22882, AENJA_00547, AENJA_00284, AENJA_08678, AENJA_20325, AENJA_14624, AENJA_22206, AENJA_08076, AENJA_04680, AENJA_04677
OG0000057	NEMVE08590, NEMVE08584, NEMVE02970, NEMVE11676	AENJA_11025
OG0000057	NEMVE05767, NEMVE05753, NEMVE07561, NEMVE16869, NEMVE12777, NEMVE13925, NEMVE09515	AENJA_15044
OG0000057	NEMVE17706	AENJA_13773
OG0000058	NEMVE13151	AENJA_23345
OG0000059	NEMVE15315, NEMVE02009, NEMVE06154	AENJA_11199, AENJA_02561, AENJA_02562
OG0000060	NEMVE15983, NEMVE23420, NEMVE00402	AENJA_00816, AENJA_19748, AENJA_06413, AENJA_16934, AENJA_19164, AENJA_25801, AENJA_00669, AENJA_06416, AENJA_06418, AENJA_18536, AENJA_04512, AENJA_04510, AENJA_04511, AENJA_11167, AENJA_04778, AENJA_05765
OG0000060	NEMVE01006, NEMVE11210, NEMVE00908, NEMVE18881, NEMVE00777	AENJA_23597
OG0000062	NEMVE10327	AENJA_22683
OG0000062	NEMVE14126	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995
OG0000062	NEMVE00002, NEMVE17871	AENJA_11364, AENJA_03699
OG0000063	NEMVE05614	AENJA_20321
OG0000063	NEMVE00961	AENJA_03789
OG0000063	NEMVE23740, NEMVE18393	AENJA_04323
OG0000063	NEMVE09684	AENJA_26394
OG0000064	NEMVE19911, NEMVE17597, NEMVE15687	AENJA_02631, AENJA_25359, AENJA_25985, AENJA_10273, AENJA_09325, AENJA_02635, AENJA_02637, AENJA_08217, AENJA_16750, AENJA_12292, AENJA_22233, AENJA_04365, AENJA_15514, AENJA_00980, AENJA_22430, AENJA_02556, AENJA_22603, AENJA_02557
OG0000065	NEMVE02128, NEMVE02142, NEMVE07842, NEMVE11941, NEMVE09169, NEMVE17235, NEMVE07009, NEMVE07010, NEMVE01667, NEMVE07812, NEMVE11483, NEMVE06777, NEMVE05666, NEMVE09396, NEMVE07281, NEMVE13551	AENJA_08288, AENJA_15523
OG0000066	NEMVE02094, NEMVE00829	AENJA_12655, AENJA_09505
OG0000066	NEMVE08925	AENJA_20318
OG0000066	NEMVE12179, NEMVE06397, NEMVE00621, NEMVE08193, NEMVE01410	AENJA_18855
OG0000066	NEMVE05988, NEMVE19300	AENJA_22621
OG0000067	NEMVE10714	AENJA_21171
OG0000067	NEMVE14139, NEMVE14099	AENJA_21686, AENJA_02413, AENJA_06386, AENJA_10791, AENJA_00788, AENJA_00783, AENJA_04376, AENJA_10553, AENJA_00784, AENJA_00787, AENJA_00786, AENJA_17339, AENJA_11630, AENJA_04270
OG0000068	NEMVE24661, NEMVE20048	AENJA_08649, AENJA_08644, AENJA_02187, AENJA_15847, AENJA_18813, AENJA_15846, AENJA_08645, AENJA_17392, AENJA_01993, AENJA_10902, AENJA_20175, AENJA_10908, AENJA_08647
OG0000069	NEMVE14181	AENJA_15982
OG0000070	NEMVE23951, NEMVE09231, NEMVE05946	AENJA_20523, AENJA_15427, AENJA_23180, AENJA_12319, AENJA_24460, AENJA_25453, AENJA_07501
OG0000071	NEMVE11425, NEMVE00556, NEMVE14043	AENJA_19944
OG0000071	NEMVE03090	AENJA_11228, AENJA_11157
OG0000071	NEMVE04860	AENJA_12271, AENJA_23369
OG0000072	NEMVE01460	AENJA_14652
OG0000072	NEMVE07818	AENJA_13128
