Orthogroup	NEMVE	ORYLA
OG0000010	NEMVE08097, NEMVE05663, NEMVE09594, NEMVE01139, NEMVE10384, NEMVE08328, NEMVE12787, NEMVE21978, NEMVE15512, NEMVE00299, NEMVE10065, NEMVE10064, NEMVE11692, NEMVE10063	ORYLA03275, ORYLA06010, ORYLA03414, ORYLA07950, ORYLA16250, ORYLA16252, ORYLA16251, ORYLA16253, ORYLA07946, ORYLA07947, ORYLA19018, ORYLA07556, ORYLA07557, ORYLA07940, ORYLA16255, ORYLA16310, ORYLA16306, ORYLA16308, ORYLA16304, ORYLA16305, ORYLA16303, ORYLA16307, ORYLA16319, ORYLA16309
OG0000011	NEMVE10152	ORYLA04501
OG0000012	NEMVE09268, NEMVE05547	ORYLA15107, ORYLA15108, ORYLA15199
OG0000013	NEMVE13893, NEMVE05875, NEMVE01242, NEMVE11444, NEMVE23684, NEMVE09508, NEMVE09506, NEMVE08890, NEMVE08262, NEMVE00977	ORYLA20078, ORYLA06697, ORYLA06696, ORYLA19175, ORYLA17235, ORYLA08330, ORYLA16166, ORYLA16167, ORYLA07272, ORYLA19251, ORYLA12627, ORYLA12626, ORYLA19586, ORYLA04041, ORYLA12625, ORYLA19174
OG0000014	NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819	ORYLA11600, ORYLA01088
OG0000015	NEMVE01032, NEMVE12485, NEMVE00817	ORYLA00867, ORYLA20430, ORYLA00866
OG0000015	NEMVE09590, NEMVE09832, NEMVE01566	ORYLA04638, ORYLA19973, ORYLA01229, ORYLA13511, ORYLA08714, ORYLA04332, ORYLA10753, ORYLA11923, ORYLA10179, ORYLA11921, ORYLA10367, ORYLA08817, ORYLA04154
OG0000016	NEMVE10959	ORYLA12720, ORYLA00945
OG0000016	NEMVE18985	ORYLA05054
OG0000016	NEMVE14449, NEMVE01947, NEMVE01449, NEMVE05079, NEMVE20577, NEMVE25247, NEMVE00923, NEMVE09035, NEMVE08472, NEMVE13671, NEMVE08763	ORYLA09921
OG0000016	NEMVE05675	ORYLA00030
OG0000016	NEMVE01836	ORYLA08665
OG0000017	NEMVE21656	ORYLA04686
OG0000018	NEMVE07261	ORYLA02836, ORYLA14501
OG0000019	NEMVE10489	ORYLA07041, ORYLA14014, ORYLA15975, ORYLA16411, ORYLA20089, ORYLA20088
OG0000020	NEMVE05671	ORYLA10559
OG0000020	NEMVE18721	ORYLA06663
OG0000020	NEMVE14242	ORYLA16080
OG0000020	NEMVE13317, NEMVE16589, NEMVE10183, NEMVE17621, NEMVE03465, NEMVE14976, NEMVE21956, NEMVE21862	ORYLA02155, ORYLA05512, ORYLA11359, ORYLA19795, ORYLA09855, ORYLA06900, ORYLA09950, ORYLA16727
OG0000020	NEMVE05506	ORYLA06780
OG0000020	NEMVE08770, NEMVE22771	ORYLA01097, ORYLA00349
OG0000020	NEMVE13577	ORYLA15647
OG0000020	NEMVE13307	ORYLA00902, ORYLA00505
OG0000020	NEMVE21746	ORYLA02546
OG0000020	NEMVE13092	ORYLA06519
OG0000021	NEMVE17642, NEMVE17644, NEMVE21888	ORYLA12641, ORYLA05479, ORYLA03698, ORYLA17601
OG0000021	NEMVE14759, NEMVE06841, NEMVE12110, NEMVE22480, NEMVE21761, NEMVE08095	ORYLA04373
OG0000021	NEMVE04837	ORYLA12092, ORYLA14389, ORYLA06753, ORYLA04245
OG0000023	NEMVE01882	ORYLA08126
OG0000023	NEMVE02033, NEMVE05058, NEMVE00878	ORYLA02861, ORYLA18687, ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476
OG0000024	NEMVE05736, NEMVE12848	ORYLA12557, ORYLA19130, ORYLA18208, ORYLA03774, ORYLA18873, ORYLA03822, ORYLA04064
OG0000024	NEMVE19722	ORYLA17936, ORYLA08736, ORYLA06589, ORYLA12747, ORYLA12762, ORYLA04610, ORYLA19341, ORYLA19215, ORYLA19658, ORYLA15436, ORYLA19199, ORYLA01579, ORYLA16205, ORYLA18587, ORYLA16917, ORYLA16913, ORYLA08363, ORYLA17880, ORYLA10832, ORYLA08908, ORYLA08437, ORYLA19498, ORYLA08413, ORYLA19485, ORYLA02911, ORYLA10288
OG0000026	NEMVE24164, NEMVE07469	ORYLA09539
OG0000027	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706	ORYLA12309, ORYLA08306, ORYLA07922, ORYLA15904, ORYLA15903, ORYLA04739
OG0000029	NEMVE01722, NEMVE08343	ORYLA01422, ORYLA01423, ORYLA13081, ORYLA13154, ORYLA04292, ORYLA04294, ORYLA04293, ORYLA15257, ORYLA13110, ORYLA02813, ORYLA04764, ORYLA00213, ORYLA03112
OG0000030	NEMVE02213, NEMVE02794	ORYLA20234
OG0000030	NEMVE06266, NEMVE00220	ORYLA08220
OG0000030	NEMVE16622, NEMVE15282	ORYLA10728
OG0000031	NEMVE01854	ORYLA09861, ORYLA15740
OG0000031	NEMVE06981	ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771
OG0000031	NEMVE07223	ORYLA18563
OG0000031	NEMVE01806	ORYLA01770
OG0000031	NEMVE01412	ORYLA06561
OG0000031	NEMVE02343	ORYLA10394, ORYLA11971
OG0000031	NEMVE04984	ORYLA14237, ORYLA15433
OG0000031	NEMVE07820	ORYLA04591, ORYLA04917
OG0000031	NEMVE12067	ORYLA06754, ORYLA07156, ORYLA02513
OG0000031	NEMVE21885	ORYLA09501, ORYLA00346
OG0000031	NEMVE22486	ORYLA09459, ORYLA08614, ORYLA06390
OG0000032	NEMVE03085	ORYLA06416
OG0000033	NEMVE05503, NEMVE18079, NEMVE02721, NEMVE15415, NEMVE10748, NEMVE03167, NEMVE08927, NEMVE11580, NEMVE03129, NEMVE03126, NEMVE11341	ORYLA01373
OG0000034	NEMVE10927	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558
OG0000034	NEMVE10961, NEMVE24294	ORYLA07312
OG0000034	NEMVE06675, NEMVE11922, NEMVE10845	ORYLA12339, ORYLA14860
OG0000034	NEMVE05344	ORYLA19697
OG0000034	NEMVE16104, NEMVE09479, NEMVE10924	ORYLA14655
OG0000035	NEMVE23841	ORYLA16101
OG0000035	NEMVE22676	ORYLA17474, ORYLA12588, ORYLA14952
OG0000035	NEMVE22226, NEMVE05357, NEMVE02194	ORYLA11104, ORYLA14870, ORYLA12119
OG0000035	NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233	ORYLA18031, ORYLA17191, ORYLA15336, ORYLA11216
OG0000036	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372	ORYLA12571
OG0000037	NEMVE00865, NEMVE01113	ORYLA10680, ORYLA05584, ORYLA10681, ORYLA11814, ORYLA12530, ORYLA11609, ORYLA10251, ORYLA04338, ORYLA01058, ORYLA05151, ORYLA08136, ORYLA03090
OG0000037	NEMVE10401	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448
OG0000039	NEMVE01371, NEMVE05995	ORYLA13584, ORYLA13588, ORYLA13587
OG0000039	NEMVE09831, NEMVE16411, NEMVE04657	ORYLA07496
OG0000039	NEMVE18297, NEMVE18296	ORYLA05812, ORYLA00801, ORYLA00802
OG0000040	NEMVE11519, NEMVE00417	ORYLA18356
OG0000041	NEMVE05166, NEMVE17369, NEMVE07542, NEMVE08619, NEMVE21809, NEMVE02404, NEMVE05170, NEMVE01536, NEMVE08033	ORYLA07969, ORYLA14839, ORYLA15678, ORYLA15677
OG0000041	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031	ORYLA16345, ORYLA07970, ORYLA13989, ORYLA15806, ORYLA13990, ORYLA15807, ORYLA14735, ORYLA19535, ORYLA15808, ORYLA14736, ORYLA19536, ORYLA12118
OG0000041	NEMVE05295	ORYLA13695, ORYLA09068, ORYLA11484, ORYLA11472, ORYLA05357, ORYLA19350
OG0000044	NEMVE05548, NEMVE05555, NEMVE06435, NEMVE06437, NEMVE08743	ORYLA01028, ORYLA01286, ORYLA09105, ORYLA12800
OG0000045	NEMVE24106	ORYLA09208, ORYLA09207
OG0000045	NEMVE00309, NEMVE15224, NEMVE04686	ORYLA02913
OG0000046	NEMVE08905, NEMVE15252	ORYLA00520, ORYLA07200, ORYLA07202, ORYLA07201, ORYLA01168, ORYLA06050, ORYLA10999, ORYLA18815, ORYLA05911
OG0000048	NEMVE05567	ORYLA19472
OG0000048	NEMVE14912	ORYLA09010, ORYLA09283, ORYLA10119, ORYLA14965, ORYLA19631, ORYLA08002
OG0000048	NEMVE14024	ORYLA11420
OG0000048	NEMVE15061	ORYLA15054
OG0000049	NEMVE19461, NEMVE02399, NEMVE21864	ORYLA11559, ORYLA19044, ORYLA04067, ORYLA03584, ORYLA13704, ORYLA13828, ORYLA15018, ORYLA11032, ORYLA11031, ORYLA14189, ORYLA20256, ORYLA14320, ORYLA15992, ORYLA14028, ORYLA14561, ORYLA15871
OG0000051	NEMVE18951, NEMVE15008	ORYLA05117
OG0000054	NEMVE15086, NEMVE10916	ORYLA00519
OG0000054	NEMVE05466	ORYLA05953
OG0000056	NEMVE01724, NEMVE05835, NEMVE01653	ORYLA07324, ORYLA00315, ORYLA13076, ORYLA07014, ORYLA16605, ORYLA00874, ORYLA00878, ORYLA16604, ORYLA13077
OG0000056	NEMVE01503, NEMVE04541	ORYLA17860
OG0000057	NEMVE03498, NEMVE03044, NEMVE05190, NEMVE02467, NEMVE05216, NEMVE05223, NEMVE05204, NEMVE05225, NEMVE12328, NEMVE05177, NEMVE05220, NEMVE03446, NEMVE07617, NEMVE07622, NEMVE25939, NEMVE23329, NEMVE05208, NEMVE02722, NEMVE16190	ORYLA17686, ORYLA14639, ORYLA12170
OG0000057	NEMVE08590, NEMVE08584, NEMVE02970, NEMVE11676	ORYLA13554, ORYLA12219
OG0000058	NEMVE06253	ORYLA11907
OG0000058	NEMVE17922, NEMVE24060, NEMVE22352, NEMVE13854, NEMVE14802	ORYLA18102
OG0000059	NEMVE15315, NEMVE02009, NEMVE06154	ORYLA04122, ORYLA03135, ORYLA01146, ORYLA04242
OG0000060	NEMVE01006, NEMVE11210, NEMVE00908, NEMVE18881, NEMVE00777	ORYLA16841, ORYLA08032, ORYLA12328, ORYLA14832, ORYLA15092
OG0000062	NEMVE10327	ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546
OG0000062	NEMVE14126	ORYLA10585, ORYLA11804
OG0000063	NEMVE05614	ORYLA06843, ORYLA13091, ORYLA13092, ORYLA07328, ORYLA00312, ORYLA12933
OG0000063	NEMVE00961	ORYLA19987, ORYLA10868, ORYLA20199
OG0000063	NEMVE09684	ORYLA14082, ORYLA04940, ORYLA08134
OG0000065	NEMVE02128, NEMVE02142, NEMVE07842, NEMVE11941, NEMVE09169, NEMVE17235, NEMVE07009, NEMVE07010, NEMVE01667, NEMVE07812, NEMVE11483, NEMVE06777, NEMVE05666, NEMVE09396, NEMVE07281, NEMVE13551	ORYLA02755, ORYLA03358, ORYLA10271, ORYLA10273, ORYLA10272
OG0000066	NEMVE02094, NEMVE00829	ORYLA06398
OG0000067	NEMVE14139, NEMVE14099	ORYLA04851, ORYLA01183, ORYLA06203, ORYLA19414
OG0000068	NEMVE24661, NEMVE20048	ORYLA11081, ORYLA20205, ORYLA14465, ORYLA15429, ORYLA16121, ORYLA14046, ORYLA16122, ORYLA20259, ORYLA15438, ORYLA14153, ORYLA11242, ORYLA11243, ORYLA14701, ORYLA15913, ORYLA10852
OG0000069	NEMVE12246	ORYLA00227, ORYLA00099, ORYLA00041
OG0000069	NEMVE15092	ORYLA08015
OG0000069	NEMVE02861	ORYLA03826
OG0000070	NEMVE23951, NEMVE09231, NEMVE05946	ORYLA11329, ORYLA09412
OG0000071	NEMVE22171	ORYLA12049, ORYLA12050, ORYLA20329, ORYLA09791, ORYLA09793, ORYLA09792, ORYLA11588, ORYLA18704, ORYLA12712, ORYLA12714, ORYLA12716
OG0000071	NEMVE00664	ORYLA02280, ORYLA18954
OG0000072	NEMVE01460	ORYLA01510, ORYLA00516, ORYLA03563, ORYLA04070
OG0000072	NEMVE07818	ORYLA00527, ORYLA04050, ORYLA03176
OG0000075	NEMVE23844	ORYLA08229, ORYLA07050
OG0000075	NEMVE13100	ORYLA15750
OG0000075	NEMVE15115	ORYLA05870, ORYLA14226
OG0000075	NEMVE21913	ORYLA04438
OG0000075	NEMVE18051	ORYLA10049, ORYLA15751
OG0000075	NEMVE24197	ORYLA13961, ORYLA13960, ORYLA15787, ORYLA15785, ORYLA15786, ORYLA20334
OG0000075	NEMVE22411	ORYLA11054, ORYLA15824
OG0000075	NEMVE17771	ORYLA14687, ORYLA10924, ORYLA15926
OG0000075	NEMVE07707	ORYLA19688
OG0000077	NEMVE04990	ORYLA00390, ORYLA03856, ORYLA01218, ORYLA02852, ORYLA17787, ORYLA09130, ORYLA06009, ORYLA03431, ORYLA17383, ORYLA00897, ORYLA04945, ORYLA12034, ORYLA00844, ORYLA07409, ORYLA10378, ORYLA11807, ORYLA10356, ORYLA09729, ORYLA17450, ORYLA17911, ORYLA04823
OG0000078	NEMVE17207	ORYLA13083, ORYLA13994, ORYLA10833
OG0000079	NEMVE07219, NEMVE03189	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903
OG0000079	NEMVE08009	ORYLA04303, ORYLA04302, ORYLA14111, ORYLA18726, ORYLA17895
OG0000080	NEMVE06862	ORYLA09642, ORYLA12801
OG0000081	NEMVE06228, NEMVE02734, NEMVE09334, NEMVE12527, NEMVE05056	ORYLA17325, ORYLA13622, ORYLA13621, ORYLA13623, ORYLA12409, ORYLA04160, ORYLA09392
OG0000082	NEMVE19066	ORYLA02580
OG0000082	NEMVE05388	ORYLA01470
OG0000082	NEMVE14867, NEMVE15134	ORYLA16249, ORYLA15676, ORYLA09330, ORYLA03293, ORYLA05560
OG0000083	NEMVE12859, NEMVE06053, NEMVE08070, NEMVE09935, NEMVE03051, NEMVE02455, NEMVE08434, NEMVE06040, NEMVE03091	ORYLA04024, ORYLA20424
OG0000084	NEMVE07901	ORYLA00399, ORYLA18720, ORYLA19616, ORYLA17981, ORYLA02328, ORYLA12505
OG0000085	NEMVE09794, NEMVE03205	ORYLA08236, ORYLA01683, ORYLA05503, ORYLA09818
OG0000085	NEMVE09840	ORYLA10131
OG0000085	NEMVE07289	ORYLA04311, ORYLA03740, ORYLA02606
OG0000085	NEMVE07695, NEMVE08967, NEMVE08972	ORYLA06168
OG0000085	NEMVE05696	ORYLA01458, ORYLA09387, ORYLA11376
OG0000085	NEMVE18682, NEMVE18681	ORYLA17935
OG0000085	NEMVE13608	ORYLA02607, ORYLA17633, ORYLA03741
OG0000086	NEMVE23431, NEMVE19351	ORYLA16218
OG0000087	NEMVE09998, NEMVE14074	ORYLA07293
OG0000087	NEMVE02951	ORYLA15867
OG0000088	NEMVE24299, NEMVE07906, NEMVE16345, NEMVE14559, NEMVE09565, NEMVE02110	ORYLA04999, ORYLA08099, ORYLA14560, ORYLA12098, ORYLA15363, ORYLA09175, ORYLA13524
OG0000089	NEMVE15803	ORYLA03928, ORYLA01015, ORYLA09345, ORYLA11332
OG0000090	NEMVE05578	ORYLA02080, ORYLA06082
OG0000091	NEMVE05463, NEMVE05476, NEMVE13252	ORYLA02531
OG0000093	NEMVE00805, NEMVE08071	ORYLA18765
OG0000094	NEMVE05621	ORYLA14179, ORYLA15729, ORYLA11069, ORYLA13785, ORYLA15547, ORYLA16049, ORYLA16240
OG0000094	NEMVE03407, NEMVE03409, NEMVE03406	ORYLA07022, ORYLA13648, ORYLA16827, ORYLA02928, ORYLA18149
OG0000096	NEMVE15121	ORYLA01048, ORYLA09916, ORYLA08764, ORYLA06904, ORYLA03328
OG0000096	NEMVE14782	ORYLA16077, ORYLA13956, ORYLA11296
OG0000096	NEMVE22574	ORYLA13747, ORYLA08870
OG0000096	NEMVE25573	ORYLA15103, ORYLA16842, ORYLA19281, ORYLA15104
OG0000096	NEMVE14773	ORYLA12353, ORYLA17186, ORYLA10017
OG0000098	NEMVE25900	ORYLA17178, ORYLA07954, ORYLA12107, ORYLA12108, ORYLA09777
OG0000098	NEMVE07244, NEMVE05378	ORYLA12605, ORYLA17802, ORYLA17803, ORYLA14930, ORYLA14929, ORYLA14928, ORYLA12061, ORYLA17722, ORYLA17721
OG0000100	NEMVE09111, NEMVE09709	ORYLA00999
OG0000100	NEMVE08709, NEMVE08700	ORYLA10317
OG0000101	NEMVE09668, NEMVE18669, NEMVE09674, NEMVE09673, NEMVE09675, NEMVE09670, NEMVE14294, NEMVE01377, NEMVE13283, NEMVE10270, NEMVE14668, NEMVE10030, NEMVE00231, NEMVE06943, NEMVE05036, NEMVE08533	ORYLA12058, ORYLA08387, ORYLA09166, ORYLA09165
OG0000101	NEMVE18515	ORYLA09845, ORYLA13979, ORYLA09844, ORYLA08653, ORYLA08654
OG0000102	NEMVE01554, NEMVE04730	ORYLA19358, ORYLA00094
OG0000103	NEMVE06305	ORYLA06785, ORYLA13767, ORYLA13768, ORYLA18738, ORYLA18739, ORYLA16588, ORYLA16584, ORYLA16587, ORYLA18654, ORYLA16586, ORYLA15171, ORYLA18507, ORYLA11651, ORYLA06786, ORYLA06787, ORYLA08966
OG0000103	NEMVE09043	ORYLA05784, ORYLA17049, ORYLA00063, ORYLA17050, ORYLA16263, ORYLA00786, ORYLA17085, ORYLA00059
OG0000104	NEMVE07990	ORYLA03680, ORYLA06072
OG0000104	NEMVE01265	ORYLA19284, ORYLA06159, ORYLA19393, ORYLA08226
OG0000104	NEMVE01905	ORYLA06071, ORYLA03679
OG0000104	NEMVE06744	ORYLA09408
OG0000104	NEMVE00656, NEMVE11959, NEMVE06478, NEMVE02810, NEMVE06126	ORYLA14236, ORYLA14756, ORYLA10856
OG0000106	NEMVE07221, NEMVE07805	ORYLA15151, ORYLA15152, ORYLA06558, ORYLA09282
OG0000106	NEMVE16024	ORYLA05764, ORYLA14913, ORYLA14914
OG0000107	NEMVE21307	ORYLA18785
OG0000110	NEMVE00979, NEMVE07027, NEMVE03143, NEMVE24541, NEMVE22920, NEMVE12064, NEMVE15426, NEMVE10514	ORYLA04051, ORYLA04053, ORYLA04052, ORYLA03470
OG0000113	NEMVE21021, NEMVE14510	ORYLA17645, ORYLA13433
OG0000114	NEMVE07046, NEMVE14943	ORYLA01884, ORYLA05836, ORYLA14037, ORYLA20223, ORYLA07424, ORYLA10203
OG0000116	NEMVE11443, NEMVE21821, NEMVE13450, NEMVE22004, NEMVE21900, NEMVE13056	ORYLA09389
OG0000117	NEMVE21138	ORYLA13153
OG0000117	NEMVE23834, NEMVE12069	ORYLA13253
OG0000117	NEMVE06169, NEMVE03380	ORYLA15132
OG0000119	NEMVE22896	ORYLA06828, ORYLA09873, ORYLA13916, ORYLA00923, ORYLA07823
OG0000119	NEMVE15248	ORYLA09477, ORYLA05169
OG0000120	NEMVE07384, NEMVE08536, NEMVE12836	ORYLA11655
OG0000121	NEMVE22381	ORYLA00510, ORYLA01379, ORYLA07858
OG0000121	NEMVE03127, NEMVE09919	ORYLA06690, ORYLA06688
OG0000122	NEMVE05937, NEMVE10909	ORYLA07892, ORYLA16400, ORYLA09254, ORYLA06471
OG0000124	NEMVE24720	ORYLA16732, ORYLA16407, ORYLA16733, ORYLA07798
OG0000124	NEMVE14854	ORYLA05871, ORYLA01892, ORYLA14227, ORYLA16018, ORYLA14228, ORYLA16019
OG0000124	NEMVE13714	ORYLA11954, ORYLA03395, ORYLA00019, ORYLA12516
OG0000126	NEMVE07689	ORYLA10750, ORYLA01228, ORYLA13510
OG0000126	NEMVE08729, NEMVE02964	ORYLA08773, ORYLA09545, ORYLA01000
OG0000126	NEMVE00909	ORYLA09118
OG0000126	NEMVE02955	ORYLA02980, ORYLA13012, ORYLA19785, ORYLA05724, ORYLA19714, ORYLA14802
OG0000127	NEMVE24353	ORYLA09546, ORYLA01017, ORYLA13298
OG0000127	NEMVE22473	ORYLA18247, ORYLA09922
OG0000127	NEMVE10526	ORYLA05476, ORYLA10382
OG0000127	NEMVE13457	ORYLA11714, ORYLA16210, ORYLA09241, ORYLA09240
OG0000127	NEMVE22419	ORYLA16687, ORYLA17012, ORYLA18446, ORYLA16683
OG0000128	NEMVE12106, NEMVE04961, NEMVE01987, NEMVE18699, NEMVE05813, NEMVE00993, NEMVE10370, NEMVE09954, NEMVE24226, NEMVE08877, NEMVE02973, NEMVE07718, NEMVE13536, NEMVE16591, NEMVE07067, NEMVE16738, NEMVE06927	ORYLA17289, ORYLA03587
OG0000129	NEMVE15459, NEMVE24455, NEMVE05043	ORYLA19656, ORYLA05200, ORYLA05199, ORYLA05198, ORYLA07545, ORYLA18786, ORYLA11464, ORYLA10766
OG0000129	NEMVE14958	ORYLA04565, ORYLA03107, ORYLA04189, ORYLA04190, ORYLA07452
OG0000130	NEMVE06584, NEMVE05300, NEMVE10363, NEMVE19712, NEMVE09669, NEMVE17089, NEMVE10460	ORYLA18984, ORYLA14309, ORYLA14308, ORYLA20195, ORYLA20194, ORYLA20193, ORYLA20192, ORYLA15914, ORYLA15896, ORYLA04654, ORYLA19050, ORYLA09312, ORYLA09567, ORYLA01013
OG0000131	NEMVE07984, NEMVE05410	ORYLA02651, ORYLA17218
OG0000131	NEMVE20141	ORYLA07842, ORYLA07843, ORYLA07841, ORYLA07898, ORYLA12828
OG0000132	NEMVE23708	ORYLA13789
OG0000132	NEMVE00818, NEMVE00836, NEMVE00732, NEMVE00832, NEMVE00761, NEMVE00751, NEMVE00762, NEMVE00731, NEMVE15492, NEMVE01916	ORYLA08009
