Orthogroup	NEMVE	DROME
OG0000021	NEMVE17642, NEMVE17644, NEMVE21888	DROME06512, DROME06511, DROME08269
OG0000021	NEMVE14759, NEMVE06841, NEMVE12110, NEMVE22480, NEMVE21761, NEMVE08095	DROME00802, DROME00801
OG0000021	NEMVE04837	DROME08091, DROME01446, DROME01445, DROME04932, DROME10331, DROME19246
OG0000023	NEMVE02033, NEMVE05058, NEMVE00878	DROME04919, DROME04917, DROME04918
OG0000023	NEMVE13647	DROME08346, DROME08342, DROME08344, DROME08347, DROME08345, DROME08343
OG0000027	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706	DROME13849, DROME08050
OG0000028	NEMVE07358, NEMVE05350, NEMVE02019	DROME00133
OG0000029	NEMVE03602	DROME19091
OG0000030	NEMVE20373, NEMVE19035	DROME12966
OG0000030	NEMVE14217, NEMVE02377, NEMVE09974	DROME11112, DROME11110, DROME11113, DROME11111, DROME02191, DROME02193, DROME02192, DROME12173, DROME12176
OG0000030	NEMVE02213, NEMVE02794	DROME06898
OG0000030	NEMVE06265	DROME12965
OG0000031	NEMVE01854	DROME19945
OG0000031	NEMVE06981	DROME19947, DROME19946, DROME19949, DROME19948
OG0000031	NEMVE07820	DROME09230
OG0000031	NEMVE12067, NEMVE21885	DROME05246
OG0000034	NEMVE17012, NEMVE07311, NEMVE07285	DROME20092, DROME20090, DROME20091
OG0000034	NEMVE10927	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489
OG0000034	NEMVE10961, NEMVE24294	DROME13496
OG0000034	NEMVE06675, NEMVE11922, NEMVE10845	DROME18268, DROME18267, DROME18266, DROME18269
OG0000034	NEMVE06831	DROME03104, DROME03105
OG0000034	NEMVE16104, NEMVE09479, NEMVE10924	DROME20524
OG0000035	NEMVE23841	DROME05348, DROME01725, DROME03666, DROME01724
OG0000035	NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233	DROME19358, DROME19359
OG0000036	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372	DROME20717, DROME20716, DROME20719, DROME20718
OG0000037	NEMVE10401	DROME13887, DROME14759, DROME14760
OG0000037	NEMVE15427	DROME20237
OG0000037	NEMVE19686	DROME07468, DROME07469
OG0000038	NEMVE16337, NEMVE14526	DROME13535, DROME13441
OG0000039	NEMVE06934	DROME20351, DROME20350
OG0000040	NEMVE20551	DROME20303
OG0000041	NEMVE02645, NEMVE12910, NEMVE02225, NEMVE15516, NEMVE06792	DROME01788, DROME01789
OG0000041	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031	DROME21438, DROME21440, DROME21441, DROME21439, DROME21435, DROME21437, DROME21436, DROME21444, DROME21442, DROME21443, DROME21445
OG0000041	NEMVE05295	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069
OG0000044	NEMVE05548, NEMVE05555, NEMVE06435, NEMVE06437, NEMVE08743	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576
OG0000044	NEMVE18089, NEMVE02473	DROME00597
OG0000044	NEMVE12375, NEMVE01572, NEMVE04962, NEMVE08299, NEMVE08297, NEMVE08301, NEMVE10773, NEMVE02442, NEMVE17897, NEMVE07734	DROME17013
OG0000046	NEMVE08905, NEMVE15252	DROME12318, DROME12319
OG0000046	NEMVE05961	DROME11364, DROME11369
OG0000048	NEMVE05567	DROME07309
OG0000048	NEMVE05649	DROME15613
OG0000048	NEMVE14912	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389
OG0000048	NEMVE15061	DROME01500
OG0000049	NEMVE19461, NEMVE02399, NEMVE21864	DROME04610, DROME04609, DROME04608, DROME04607, DROME04606
OG0000051	NEMVE14426, NEMVE13406, NEMVE08489, NEMVE22548	DROME06654, DROME06655
OG0000054	NEMVE01268	DROME20361
OG0000054	NEMVE15086, NEMVE10916	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360
OG0000054	NEMVE05466, NEMVE10915	DROME21992
OG0000055	NEMVE16653, NEMVE03339, NEMVE05159, NEMVE21772, NEMVE21789, NEMVE05139, NEMVE15927, NEMVE15496, NEMVE22636, NEMVE21191, NEMVE03388, NEMVE12802, NEMVE21025, NEMVE21736, NEMVE21743, NEMVE00705, NEMVE21868, NEMVE00590, NEMVE12695, NEMVE19639, NEMVE15980, NEMVE21960	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677
OG0000058	NEMVE06253	DROME06565
OG0000058	NEMVE13151	DROME14598
OG0000060	NEMVE15983, NEMVE23420, NEMVE00402	DROME18201
OG0000060	NEMVE02438	DROME02317, DROME02583, DROME02316
OG0000060	NEMVE00070, NEMVE04978, NEMVE04891, NEMVE14352, NEMVE05019, NEMVE21993, NEMVE15088	DROME07035, DROME07034, DROME07036, DROME07859, DROME07858, DROME04014, DROME07857, DROME07856, DROME07855, DROME07854, DROME18200, DROME07037, DROME07038, DROME04458, DROME04457, DROME19175, DROME06539, DROME06538, DROME20480, DROME07291, DROME06112, DROME00867, DROME00220
OG0000060	NEMVE09694	DROME15948
OG0000060	NEMVE01006, NEMVE11210, NEMVE00908, NEMVE18881, NEMVE00777	DROME00430
OG0000062	NEMVE14126	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444
OG0000063	NEMVE05614	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406
OG0000063	NEMVE00961	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707
OG0000063	NEMVE09684	DROME10983, DROME10982
OG0000065	NEMVE02128, NEMVE02142, NEMVE07842, NEMVE11941, NEMVE09169, NEMVE17235, NEMVE07009, NEMVE07010, NEMVE01667, NEMVE07812, NEMVE11483, NEMVE06777, NEMVE05666, NEMVE09396, NEMVE07281, NEMVE13551	DROME22058, DROME11358
OG0000066	NEMVE00883	DROME12296
OG0000067	NEMVE10714	DROME11908, DROME11924, DROME11927, DROME05633
OG0000068	NEMVE24661, NEMVE20048	DROME18366, DROME18368, DROME18367, DROME18209
OG0000069	NEMVE21932, NEMVE14181, NEMVE11511	DROME03713
OG0000069	NEMVE21739	DROME03782
OG0000069	NEMVE22023	DROME03748
OG0000069	NEMVE12246	DROME03680
OG0000069	NEMVE21883, NEMVE21728	DROME03689, DROME03743, DROME03723, DROME03773
OG0000069	NEMVE15092	DROME19859, DROME00928
OG0000069	NEMVE13176, NEMVE12607	DROME03718
OG0000069	NEMVE15163	DROME03728
OG0000069	NEMVE21912	DROME03753
OG0000070	NEMVE23951, NEMVE09231, NEMVE05946	DROME04028, DROME04029, DROME06783, DROME04912
OG0000071	NEMVE08129, NEMVE05963	DROME14965
OG0000071	NEMVE00664	DROME21550, DROME16775, DROME16543, DROME02809, DROME02810, DROME02811, DROME02814, DROME02808, DROME02812
OG0000072	NEMVE01460	DROME12247, DROME12248
OG0000072	NEMVE07818	DROME00154
OG0000074	NEMVE01659, NEMVE12812	DROME00985
OG0000075	NEMVE13100	DROME01373
OG0000075	NEMVE18051	DROME01375
OG0000075	NEMVE17771	DROME04883, DROME04882
OG0000077	NEMVE04990	DROME15696, DROME15698, DROME15697, DROME07079, DROME07077, DROME07078, DROME18051, DROME15502, DROME15501, DROME12670
OG0000078	NEMVE13805, NEMVE09271, NEMVE13703, NEMVE01522	DROME08886, DROME17179, DROME17177, DROME17181, DROME19588, DROME14308, DROME18161, DROME07301, DROME20111
OG0000078	NEMVE20033	DROME15695
OG0000079	NEMVE07219, NEMVE03189	DROME14752, DROME17573, DROME17572, DROME17571, DROME17570, DROME14753, DROME17315, DROME17314, DROME17316
OG0000079	NEMVE02220	DROME14749, DROME14748, DROME14747, DROME14750
OG0000079	NEMVE08009	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810
OG0000082	NEMVE19066	DROME20298
OG0000082	NEMVE05388	DROME05998
OG0000082	NEMVE14867, NEMVE15134	DROME11174, DROME11173, DROME15008
OG0000082	NEMVE22355	DROME14666, DROME14429, DROME14428, DROME14566, DROME14568, DROME14567, DROME14565, DROME16705
OG0000083	NEMVE12859, NEMVE06053, NEMVE08070, NEMVE09935, NEMVE03051, NEMVE02455, NEMVE08434, NEMVE06040, NEMVE03091	DROME17112, DROME20486, DROME20487
OG0000084	NEMVE07901	DROME14181, DROME14182, DROME17832, DROME17834, DROME17833
OG0000085	NEMVE07289	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133
OG0000085	NEMVE07695	DROME00999, DROME00998, DROME01000
OG0000085	NEMVE18682, NEMVE18681	DROME19740
OG0000085	NEMVE00067	DROME10832, DROME10831
OG0000087	NEMVE09998, NEMVE14074	DROME22088
OG0000087	NEMVE12577	DROME12963, DROME09496, DROME06460
OG0000087	NEMVE14184	DROME21450
OG0000087	NEMVE13354, NEMVE03416, NEMVE04646	DROME03097
OG0000087	NEMVE21432, NEMVE22418, NEMVE02951	DROME08842
OG0000087	NEMVE25319, NEMVE20307, NEMVE01934	DROME09495
OG0000088	NEMVE24299	DROME01198, DROME01197
OG0000089	NEMVE15621, NEMVE15853	DROME18066, DROME18069, DROME12817
OG0000090	NEMVE05578	DROME02752
OG0000091	NEMVE05463, NEMVE05476, NEMVE13252	DROME20804, DROME18437, DROME18438, DROME20481, DROME00247, DROME16587, DROME05722, DROME16586, DROME16589, DROME16588, DROME21691, DROME21692, DROME21693, DROME16133, DROME19941
OG0000094	NEMVE05621	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879
OG0000094	NEMVE03407, NEMVE03409, NEMVE03406	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341
OG0000095	NEMVE15802	DROME01438
OG0000096	NEMVE15121	DROME08195, DROME08196
OG0000096	NEMVE14782	DROME08870
OG0000096	NEMVE22574	DROME13163
OG0000096	NEMVE22432	DROME06400
OG0000096	NEMVE25573	DROME13915
OG0000096	NEMVE14773	DROME09341
OG0000098	NEMVE07244, NEMVE05378	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214
OG0000100	NEMVE09111, NEMVE09709	DROME09951
OG0000100	NEMVE08709, NEMVE08700, NEMVE03109, NEMVE08425, NEMVE11602, NEMVE09610	DROME10813
OG0000101	NEMVE09668, NEMVE18669, NEMVE09674, NEMVE09673, NEMVE09675, NEMVE09670, NEMVE14294, NEMVE01377, NEMVE13283, NEMVE10270, NEMVE14668, NEMVE10030, NEMVE00231, NEMVE06943, NEMVE05036, NEMVE08533	DROME17779, DROME05458
OG0000103	NEMVE06305	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989
OG0000103	NEMVE09043	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439
OG0000104	NEMVE07990	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670
OG0000104	NEMVE01265	DROME16895, DROME16894
OG0000104	NEMVE01905	DROME16546, DROME16548, DROME16547, DROME16549
OG0000104	NEMVE06744	DROME17321, DROME17322
OG0000104	NEMVE01917	DROME00132, DROME00131
OG0000106	NEMVE07221, NEMVE07805	DROME02609
OG0000106	NEMVE13923, NEMVE09138, NEMVE09430, NEMVE20448, NEMVE05915, NEMVE16024	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895
OG0000107	NEMVE03999, NEMVE21307	DROME03683, DROME03679, DROME03732, DROME03722, DROME03762, DROME03717, DROME03767, DROME03727, DROME03772, DROME03712, DROME03702, DROME03707, DROME03737, DROME03674, DROME03692, DROME03697, DROME03688, DROME03742, DROME14911, DROME03777, DROME03747, DROME03757, DROME03752
OG0000113	NEMVE21021, NEMVE14510	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762
OG0000114	NEMVE07046, NEMVE14943	DROME08662, DROME08648, DROME08661, DROME08653, DROME08652, DROME08663, DROME08649, DROME08654, DROME08664, DROME08658, DROME08655, DROME08660, DROME08657, DROME08659, DROME08656
OG0000119	NEMVE22896	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501
OG0000119	NEMVE15248	DROME06207, DROME06208, DROME08017, DROME06209
OG0000120	NEMVE03389	DROME15700
OG0000120	NEMVE03379	DROME00682
OG0000120	NEMVE08594	DROME00676
OG0000120	NEMVE05327, NEMVE01429	DROME04710
OG0000121	NEMVE22381	DROME17781, DROME08015
OG0000121	NEMVE22385	DROME10532
OG0000122	NEMVE05937, NEMVE10909	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476
OG0000124	NEMVE24720	DROME08713, DROME09900
OG0000124	NEMVE14854	DROME21734
OG0000126	NEMVE07689	DROME01805, DROME01804
OG0000126	NEMVE08729, NEMVE02964	DROME21081, DROME21082, DROME21083, DROME21080
OG0000126	NEMVE00909	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804
OG0000126	NEMVE02955	DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471
OG0000127	NEMVE22473	DROME11205, DROME11204
OG0000127	NEMVE10526	DROME08158
OG0000127	NEMVE06686, NEMVE13457	DROME05986
OG0000127	NEMVE22419	DROME18062
OG0000129	NEMVE15459, NEMVE24455	DROME07177, DROME07176, DROME07178, DROME10520
OG0000129	NEMVE05043	DROME21055
OG0000131	NEMVE07984, NEMVE05410	DROME18073, DROME18075, DROME18074
OG0000142	NEMVE13476	DROME09730
OG0000142	NEMVE18434, NEMVE18435, NEMVE09154	DROME07188
OG0000144	NEMVE18032, NEMVE17025, NEMVE18818, NEMVE17832, NEMVE19404	DROME21183
OG0000147	NEMVE01930	DROME06557, DROME06554, DROME06558, DROME06555, DROME06553, DROME06552, DROME06556
OG0000147	NEMVE13815	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266
OG0000147	NEMVE14266	DROME03466
OG0000147	NEMVE06760, NEMVE10211, NEMVE15010, NEMVE01973	DROME17452, DROME17451
OG0000148	NEMVE23582, NEMVE05630	DROME19762, DROME19761, DROME19763, DROME12939
OG0000149	NEMVE08530, NEMVE21291	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236
OG0000149	NEMVE07677, NEMVE25205, NEMVE08546, NEMVE17187, NEMVE14399, NEMVE02954	DROME14698, DROME14702, DROME14703, DROME14701, DROME14700, DROME14699
OG0000155	NEMVE19985, NEMVE14842	DROME05911, DROME05917, DROME05907, DROME05916, DROME05914, DROME05908, DROME05904, DROME05910, DROME05918, DROME05912, DROME05898, DROME05915, DROME05902, DROME05905, DROME05913, DROME05909, DROME05900, DROME05901, DROME05906, DROME05903, DROME05899
OG0000157	NEMVE24250	DROME05618, DROME05617, DROME05616
OG0000157	NEMVE14302	DROME09786
OG0000157	NEMVE22690	DROME05150, DROME05149
OG0000158	NEMVE19203, NEMVE24928	DROME06825, DROME06824
OG0000160	NEMVE14840, NEMVE11396, NEMVE00322, NEMVE10352, NEMVE08354, NEMVE16396	DROME21236, DROME21232, DROME21234, DROME21233, DROME21235, DROME20353
OG0000162	NEMVE00004, NEMVE00003, NEMVE05664, NEMVE09493, NEMVE12265	DROME08394, DROME08390, DROME08396, DROME08397, DROME08395, DROME08392, DROME08391, DROME08389, DROME08393
OG0000163	NEMVE23040, NEMVE12529, NEMVE24450	DROME12520
OG0000163	NEMVE12704, NEMVE13131	DROME13860, DROME19834, DROME00819, DROME01561, DROME16444
OG0000164	NEMVE17994	DROME13554, DROME13556, DROME13557, DROME13558, DROME13555, DROME13562, DROME13560, DROME14237, DROME13430, DROME13559, DROME14238, DROME13561
OG0000165	NEMVE15213	DROME15840, DROME15841
OG0000168	NEMVE10579	DROME00156, DROME00157
OG0000168	NEMVE11950, NEMVE10581, NEMVE12729, NEMVE21914, NEMVE11814, NEMVE12386, NEMVE14100, NEMVE08169	DROME01783
OG0000170	NEMVE24896	DROME01350
OG0000171	NEMVE00074, NEMVE07354, NEMVE02113, NEMVE02080, NEMVE13315	DROME18491, DROME18493, DROME18496, DROME18497, DROME18494, DROME18492, DROME18495
OG0000172	NEMVE05118, NEMVE09588, NEMVE07313, NEMVE14659, NEMVE07863, NEMVE14236, NEMVE11433	DROME14415
OG0000173	NEMVE08851	DROME18317, DROME18316, DROME18314, DROME18318, DROME18315
OG0000174	NEMVE06968, NEMVE04933	DROME10165, DROME11306
OG0000175	NEMVE08062	DROME19671, DROME02329, DROME16486, DROME16483
OG0000175	NEMVE00450, NEMVE15112	DROME03593, DROME00840
OG0000179	NEMVE14969, NEMVE18776	DROME07796
OG0000179	NEMVE07348	DROME10428
OG0000180	NEMVE02157, NEMVE09778	DROME21739, DROME21740
OG0000180	NEMVE17226, NEMVE07670	DROME11922, DROME11921, DROME12780, DROME11368, DROME11367
OG0000181	NEMVE24124	DROME12775
OG0000181	NEMVE23021	DROME18397
OG0000181	NEMVE13666, NEMVE22609	DROME06226
OG0000182	NEMVE03241, NEMVE17401	DROME05590, DROME13778
OG0000183	NEMVE11293	DROME07200, DROME07199, DROME07201, DROME07198, DROME07192, DROME07195, DROME07191, DROME07194, DROME07196, DROME07193
OG0000183	NEMVE10854, NEMVE13332	DROME07008
OG0000185	NEMVE22342	DROME08939, DROME08940, DROME11667, DROME11668
OG0000185	NEMVE24028	DROME12225, DROME12226, DROME03791, DROME03792
OG0000186	NEMVE11331	DROME17153
OG0000186	NEMVE20659, NEMVE14351, NEMVE16713, NEMVE05104, NEMVE15453	DROME04472
OG0000186	NEMVE23359	DROME05503, DROME05502
OG0000188	NEMVE13624	DROME16886, DROME16887
OG0000193	NEMVE10259, NEMVE11693, NEMVE07643	DROME21697, DROME21696, DROME21698, DROME08054, DROME10361, DROME10367, DROME10365, DROME10363, DROME01919, DROME10366, DROME10368, DROME10364, DROME09981
OG0000195	NEMVE15098	DROME10558, DROME10557, DROME10559, DROME09087
OG0000200	NEMVE14737, NEMVE09501, NEMVE00651, NEMVE21943	DROME04138, DROME04137, DROME04136, DROME04135, DROME04133, DROME04134, DROME04139, DROME04140, DROME06874, DROME04143, DROME04206, DROME03566, DROME03565, DROME01582, DROME04144
OG0000201	NEMVE20854, NEMVE23099, NEMVE07103, NEMVE07418	DROME11047
OG0000201	NEMVE09097	DROME19450
OG0000201	NEMVE18189, NEMVE09350	DROME18513, DROME18512, DROME18511, DROME18514
OG0000202	NEMVE18137, NEMVE01256	DROME14920, DROME14921, DROME20996, DROME21000, DROME20998, DROME20995, DROME20999, DROME20994, DROME20997, DROME21001
OG0000203	NEMVE01883	DROME04489
OG0000203	NEMVE02777, NEMVE23941	DROME04557, DROME10212
OG0000204	NEMVE08800	DROME20315, DROME20314, DROME20316, DROME20317, DROME15810, DROME15809, DROME15807, DROME15808
OG0000204	NEMVE01481, NEMVE01283, NEMVE05134, NEMVE01962, NEMVE13202, NEMVE01981	DROME10849, DROME10848
OG0000205	NEMVE09132	DROME20772, DROME20771, DROME20775, DROME20777, DROME20773, DROME20774, DROME20776
OG0000205	NEMVE05941	DROME06842, DROME06843
OG0000205	NEMVE22488, NEMVE07344, NEMVE13282, NEMVE02003, NEMVE05573	DROME08187
OG0000207	NEMVE14338, NEMVE18126	DROME06000
OG0000208	NEMVE01513, NEMVE06396	DROME12015, DROME12014, DROME15899, DROME15900, DROME15901, DROME02132
OG0000210	NEMVE04358, NEMVE23622	DROME04199
OG0000210	NEMVE09755	DROME04478
OG0000210	NEMVE08730	DROME14047, DROME11376
OG0000211	NEMVE08412	DROME17290
OG0000211	NEMVE10733	DROME21074, DROME21072, DROME21073, DROME21071, DROME17069, DROME17072, DROME17070, DROME17071, DROME17068
OG0000215	NEMVE04743, NEMVE04797, NEMVE13107, NEMVE04974, NEMVE15330, NEMVE04914, NEMVE14567, NEMVE13500	DROME14129
OG0000222	NEMVE01198	DROME09565, DROME16074, DROME09564, DROME04893, DROME12542, DROME12543, DROME13909, DROME07721, DROME07723, DROME07722, DROME20893, DROME03346, DROME18058, DROME18059
