Orthogroup	NEMVE	STRPU_ok
OG0000003	NEMVE07432, NEMVE12844	STRPU_24147
OG0000003	NEMVE24647	STRPU_12381, STRPU_12395, STRPU_12415, STRPU_12400, STRPU_12399, STRPU_12411, STRPU_12398, STRPU_12397, STRPU_12396, STRPU_12394, STRPU_12393, STRPU_12392, STRPU_12391, STRPU_12390, STRPU_12389, STRPU_12388, STRPU_12387, STRPU_12386, STRPU_12385, STRPU_12384, STRPU_12383, STRPU_12382, STRPU_12380, STRPU_12379, STRPU_12378
OG0000003	NEMVE10016	STRPU_22487, STRPU_22462, STRPU_22485, STRPU_08169, STRPU_07935, STRPU_22967
OG0000003	NEMVE08653, NEMVE10994, NEMVE03429	STRPU_00063
OG0000003	NEMVE02402	STRPU_21266
OG0000003	NEMVE11871, NEMVE09819, NEMVE03353, NEMVE11465, NEMVE11466, NEMVE02682	STRPU_08968, STRPU_08981
OG0000003	NEMVE11586, NEMVE03490, NEMVE06078	STRPU_02656, STRPU_06609
OG0000003	NEMVE08017	STRPU_07634
OG0000003	NEMVE19709, NEMVE11132, NEMVE02994	STRPU_17011
OG0000003	NEMVE09864, NEMVE02602, NEMVE10394	STRPU_17996
OG0000003	NEMVE11632	STRPU_00064
OG0000003	NEMVE02445	STRPU_22956, STRPU_00065
OG0000003	NEMVE09872	STRPU_12409, STRPU_12413, STRPU_12410, STRPU_12414, STRPU_12412
OG0000003	NEMVE19948, NEMVE06287, NEMVE08230, NEMVE05052	STRPU_12408
OG0000003	NEMVE00057, NEMVE03335	STRPU_09130
OG0000004	NEMVE02857, NEMVE08015	STRPU_27010
OG0000004	NEMVE07999	STRPU_25308
OG0000004	NEMVE08064, NEMVE05806, NEMVE05789, NEMVE05769, NEMVE05772, NEMVE05801	STRPU_02122
OG0000004	NEMVE09643	STRPU_15691
OG0000004	NEMVE08317	STRPU_26215, STRPU_26214
OG0000004	NEMVE19262	STRPU_26969
OG0000004	NEMVE17481	STRPU_18793, STRPU_18804, STRPU_18942, STRPU_18792, STRPU_18791, STRPU_25306
OG0000004	NEMVE10715, NEMVE21151	STRPU_07761, STRPU_07767, STRPU_15502, STRPU_03859, STRPU_25874, STRPU_03860, STRPU_14052, STRPU_24326, STRPU_12010, STRPU_01672, STRPU_12009, STRPU_19328, STRPU_27014, STRPU_12971, STRPU_20214, STRPU_02497, STRPU_15118, STRPU_09105, STRPU_02076, STRPU_24332, STRPU_03320, STRPU_03321
OG0000004	NEMVE02866, NEMVE15796, NEMVE12892	STRPU_03895
OG0000004	NEMVE02581	STRPU_12970, STRPU_00307, STRPU_08591, STRPU_07773
OG0000004	NEMVE08030, NEMVE12587, NEMVE00376, NEMVE05881, NEMVE09788	STRPU_12976
OG0000004	NEMVE10453	STRPU_12543, STRPU_12540, STRPU_12539, STRPU_12541
OG0000004	NEMVE03460	STRPU_03318, STRPU_03319
OG0000004	NEMVE02378	STRPU_19329
OG0000004	NEMVE10612	STRPU_14686, STRPU_14682
OG0000005	NEMVE05730	STRPU_26723, STRPU_06288, STRPU_06333
OG0000006	NEMVE02889	STRPU_12837
OG0000006	NEMVE12700, NEMVE08468	STRPU_04777
OG0000006	NEMVE09176	STRPU_06500
OG0000006	NEMVE21901	STRPU_12594, STRPU_12593
OG0000006	NEMVE02590	STRPU_20521
OG0000006	NEMVE03392	STRPU_09165, STRPU_02127
OG0000006	NEMVE06316	STRPU_09164
OG0000006	NEMVE16957	STRPU_27184, STRPU_27203
OG0000006	NEMVE13593	STRPU_27125
OG0000006	NEMVE02351	STRPU_07314
OG0000006	NEMVE14647	STRPU_27126
OG0000006	NEMVE04712	STRPU_04454, STRPU_04403, STRPU_04401
OG0000006	NEMVE13538	STRPU_21069
OG0000006	NEMVE09477, NEMVE18497, NEMVE09475	STRPU_21071
OG0000006	NEMVE08464	STRPU_14340
OG0000006	NEMVE22273, NEMVE03946	STRPU_22384
OG0000007	NEMVE15003	STRPU_25459
OG0000007	NEMVE14764	STRPU_26581
OG0000007	NEMVE13570	STRPU_21427
OG0000007	NEMVE08145	STRPU_26977
OG0000007	NEMVE06210	STRPU_18763
OG0000007	NEMVE09701, NEMVE03333	STRPU_09815
OG0000007	NEMVE03816	STRPU_10770
OG0000007	NEMVE16064	STRPU_25304, STRPU_25458
OG0000007	NEMVE09467	STRPU_16477
OG0000007	NEMVE03824	STRPU_21790
OG0000007	NEMVE09051	STRPU_08442
OG0000007	NEMVE03714	STRPU_08417
OG0000007	NEMVE10605	STRPU_12872
OG0000007	NEMVE09289	STRPU_10590
OG0000007	NEMVE05677	STRPU_21559
OG0000008	NEMVE10754	STRPU_15692
OG0000008	NEMVE08509, NEMVE08519, NEMVE09930	STRPU_19365
OG0000008	NEMVE02162	STRPU_13280
OG0000008	NEMVE02218, NEMVE02180	STRPU_13258
OG0000008	NEMVE04749, NEMVE07849	STRPU_13930, STRPU_13915
OG0000008	NEMVE04570, NEMVE15525, NEMVE04545, NEMVE06382, NEMVE06498, NEMVE06526, NEMVE06494, NEMVE06508, NEMVE06518, NEMVE03619, NEMVE03110, NEMVE09120, NEMVE12125, NEMVE12319, NEMVE07817, NEMVE12766	STRPU_23377, STRPU_23376
OG0000009	NEMVE06521	STRPU_17398, STRPU_00620, STRPU_05842, STRPU_05603, STRPU_14131, STRPU_17808, STRPU_15444, STRPU_03718, STRPU_18053, STRPU_20484, STRPU_02854, STRPU_17807
OG0000009	NEMVE08980	STRPU_16150, STRPU_03684
OG0000009	NEMVE09219	STRPU_15654, STRPU_26439, STRPU_09847, STRPU_13357, STRPU_23871, STRPU_21906, STRPU_16904, STRPU_04743, STRPU_04269, STRPU_14755, STRPU_09185
OG0000009	NEMVE02901	STRPU_21731, STRPU_03775, STRPU_18212, STRPU_07052, STRPU_25104, STRPU_12260, STRPU_15899, STRPU_02542, STRPU_10057, STRPU_23106, STRPU_12842, STRPU_00804, STRPU_26779, STRPU_12417, STRPU_10065, STRPU_11405, STRPU_18563, STRPU_19504, STRPU_03685, STRPU_03934, STRPU_19852, STRPU_13707, STRPU_25895, STRPU_03863, STRPU_08904, STRPU_06010, STRPU_00934, STRPU_04427, STRPU_20299, STRPU_07069, STRPU_19305, STRPU_11543, STRPU_16860, STRPU_03566, STRPU_20030, STRPU_20895, STRPU_03124, STRPU_12941, STRPU_10676, STRPU_24579, STRPU_16616, STRPU_17520, STRPU_20150, STRPU_01519, STRPU_21043, STRPU_16701, STRPU_21874, STRPU_18124, STRPU_16867, STRPU_09178, STRPU_19207, STRPU_12303, STRPU_03189, STRPU_16868, STRPU_15303, STRPU_15345, STRPU_20427, STRPU_04877, STRPU_27144, STRPU_05819, STRPU_12056, STRPU_26205, STRPU_03422, STRPU_01689, STRPU_15519, STRPU_03967, STRPU_21734, STRPU_21788, STRPU_12556, STRPU_26350, STRPU_21879, STRPU_07996, STRPU_24057, STRPU_13165, STRPU_08192, STRPU_01156, STRPU_23113, STRPU_05532
OG0000009	NEMVE03675	STRPU_19547, STRPU_26479, STRPU_00431, STRPU_17677, STRPU_03968
OG0000010	NEMVE02447, NEMVE13495	STRPU_11420
OG0000011	NEMVE10152	STRPU_20881
OG0000011	NEMVE11104	STRPU_03188, STRPU_03644, STRPU_13118, STRPU_15611, STRPU_01277, STRPU_02577, STRPU_20280, STRPU_12367, STRPU_03079, STRPU_16724, STRPU_10303
OG0000012	NEMVE09268, NEMVE05547	STRPU_23513
OG0000014	NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819	STRPU_17754, STRPU_17755
OG0000014	NEMVE10866, NEMVE17722, NEMVE05756, NEMVE15955, NEMVE15452, NEMVE14131, NEMVE05653, NEMVE05088	STRPU_18535, STRPU_18486
OG0000015	NEMVE05324, NEMVE02429, NEMVE04966, NEMVE18055, NEMVE18768, NEMVE20100, NEMVE21922, NEMVE03454, NEMVE06696, NEMVE01531, NEMVE16715, NEMVE01580, NEMVE06889, NEMVE01713, NEMVE06874, NEMVE07446, NEMVE02999, NEMVE07669, NEMVE00606, NEMVE10760, NEMVE10763, NEMVE03039, NEMVE11855, NEMVE07220	STRPU_05602, STRPU_05543
OG0000015	NEMVE09590, NEMVE09832, NEMVE01566	STRPU_05546, STRPU_05605
OG0000016	NEMVE10959	STRPU_06927, STRPU_06051, STRPU_06086, STRPU_06084, STRPU_06503, STRPU_06525, STRPU_06574, STRPU_06085, STRPU_06200, STRPU_06221
OG0000016	NEMVE11998	STRPU_06872
OG0000016	NEMVE05675	STRPU_21110
OG0000017	NEMVE10140	STRPU_00117
OG0000017	NEMVE12719, NEMVE03677, NEMVE19473	STRPU_22860, STRPU_02715, STRPU_12424
OG0000017	NEMVE02741	STRPU_02089
OG0000017	NEMVE21656	STRPU_17566, STRPU_08979, STRPU_00926
OG0000017	NEMVE05055, NEMVE07301, NEMVE11302, NEMVE11298, NEMVE10134	STRPU_09345, STRPU_15645, STRPU_16606, STRPU_07365, STRPU_21602, STRPU_02591, STRPU_21499, STRPU_05279, STRPU_11947, STRPU_09821, STRPU_09502, STRPU_04559, STRPU_12605, STRPU_18356, STRPU_06474, STRPU_10720, STRPU_15670, STRPU_16836, STRPU_10719, STRPU_16681, STRPU_03647, STRPU_16727, STRPU_02546, STRPU_25300, STRPU_26746, STRPU_14779, STRPU_14777, STRPU_04020, STRPU_04133, STRPU_04866, STRPU_07910, STRPU_10671, STRPU_24355, STRPU_24357, STRPU_13097, STRPU_00563, STRPU_22919, STRPU_24356, STRPU_00673, STRPU_23089, STRPU_16822, STRPU_04116, STRPU_07241, STRPU_24605, STRPU_26042, STRPU_04021, STRPU_03902, STRPU_16459, STRPU_03570, STRPU_12313, STRPU_03243, STRPU_08248, STRPU_00491, STRPU_10677, STRPU_20978, STRPU_15661, STRPU_23626, STRPU_03877, STRPU_15842, STRPU_03876, STRPU_03569, STRPU_11160, STRPU_00513, STRPU_20404, STRPU_11779, STRPU_02604, STRPU_14263, STRPU_23627, STRPU_03875, STRPU_15841, STRPU_00925, STRPU_12810, STRPU_06315, STRPU_01747, STRPU_12439, STRPU_14084, STRPU_22904, STRPU_09791, STRPU_16605, STRPU_08988, STRPU_08586, STRPU_11525, STRPU_25736, STRPU_21215, STRPU_25572, STRPU_19535, STRPU_25735, STRPU_25480, STRPU_20188, STRPU_11306, STRPU_06657, STRPU_04461, STRPU_08845, STRPU_10173, STRPU_07097, STRPU_13942, STRPU_19534, STRPU_13943, STRPU_06082, STRPU_08065, STRPU_15979, STRPU_18493, STRPU_13122, STRPU_20859, STRPU_13649
OG0000017	NEMVE09197	STRPU_03568
OG0000018	NEMVE07261	STRPU_21331
OG0000019	NEMVE19477, NEMVE18845, NEMVE09968, NEMVE08427, NEMVE18382, NEMVE10945, NEMVE18794, NEMVE16950	STRPU_27424, STRPU_27423, STRPU_27421, STRPU_27422, STRPU_27112, STRPU_27113
OG0000019	NEMVE10214	STRPU_18936, STRPU_21531, STRPU_04750, STRPU_27420, STRPU_26993, STRPU_26980, STRPU_26645, STRPU_26644, STRPU_26646, STRPU_26648, STRPU_26649, STRPU_26725, STRPU_26724
OG0000019	NEMVE10489	STRPU_23414, STRPU_01023
OG0000019	NEMVE04731, NEMVE23135, NEMVE19085, NEMVE07512, NEMVE17584, NEMVE17583, NEMVE17474, NEMVE18398, NEMVE17585, NEMVE18173, NEMVE15506, NEMVE15391, NEMVE15390, NEMVE00086, NEMVE20105, NEMVE02817, NEMVE03394, NEMVE11745, NEMVE11242, NEMVE19708	STRPU_07346, STRPU_07741, STRPU_13585, STRPU_01603, STRPU_05485, STRPU_05487, STRPU_05486, STRPU_05488, STRPU_05444, STRPU_12138, STRPU_12181, STRPU_01261, STRPU_18209, STRPU_01263, STRPU_18207, STRPU_18206
OG0000020	NEMVE05671	STRPU_20580
OG0000020	NEMVE21971	STRPU_01068, STRPU_24239
OG0000020	NEMVE18721	STRPU_19028, STRPU_00464
OG0000020	NEMVE14242	STRPU_22748, STRPU_01903
OG0000020	NEMVE13317, NEMVE16589, NEMVE10183, NEMVE17621, NEMVE03465, NEMVE14976, NEMVE21956, NEMVE21862	STRPU_06549, STRPU_25741, STRPU_22929, STRPU_07115, STRPU_26678, STRPU_22232
OG0000020	NEMVE05506	STRPU_19861, STRPU_19888
OG0000020	NEMVE08770, NEMVE22771	STRPU_05007
OG0000020	NEMVE13577	STRPU_11453
OG0000020	NEMVE13307	STRPU_04309, STRPU_04336
OG0000020	NEMVE21746	STRPU_05521
OG0000020	NEMVE13092	STRPU_21977
OG0000020	NEMVE15151	STRPU_05676
OG0000021	NEMVE25647	STRPU_21162, STRPU_21171, STRPU_21172, STRPU_13957, STRPU_27306, STRPU_06572
OG0000021	NEMVE17642, NEMVE17644, NEMVE21888	STRPU_25829, STRPU_02205, STRPU_15603, STRPU_02204, STRPU_15604
OG0000021	NEMVE14759, NEMVE06841, NEMVE12110, NEMVE22480, NEMVE21761, NEMVE08095	STRPU_02212, STRPU_15595
OG0000021	NEMVE04837	STRPU_05427, STRPU_19513, STRPU_20206, STRPU_16862, STRPU_18709, STRPU_19164, STRPU_19932, STRPU_02595, STRPU_19514, STRPU_20213, STRPU_05019, STRPU_05298, STRPU_05227, STRPU_05132, STRPU_05059
OG0000023	NEMVE01882	STRPU_09714, STRPU_09758
OG0000023	NEMVE02033, NEMVE05058, NEMVE00878	STRPU_05490, STRPU_14357, STRPU_15269, STRPU_14358
OG0000023	NEMVE13647	STRPU_04156, STRPU_04890, STRPU_04760, STRPU_04888, STRPU_04889, STRPU_04887, STRPU_09969, STRPU_09989, STRPU_09988, STRPU_09968, STRPU_09990
OG0000024	NEMVE05736, NEMVE12848	STRPU_06195, STRPU_03150, STRPU_14183, STRPU_00265, STRPU_07747
OG0000024	NEMVE10194, NEMVE06283, NEMVE03385, NEMVE10736, NEMVE10243, NEMVE12039	STRPU_03683
OG0000024	NEMVE19722	STRPU_06674, STRPU_07186, STRPU_02857, STRPU_19118, STRPU_17926, STRPU_02880, STRPU_03048, STRPU_03977, STRPU_22594, STRPU_03380, STRPU_26193, STRPU_20421, STRPU_18659, STRPU_12498, STRPU_04067, STRPU_01267, STRPU_16831, STRPU_18887
OG0000025	NEMVE03316	STRPU_08707
OG0000026	NEMVE14231, NEMVE02456, NEMVE19119, NEMVE15036, NEMVE11860, NEMVE10138, NEMVE10137, NEMVE10629, NEMVE11596, NEMVE02542, NEMVE02515, NEMVE03115, NEMVE17182, NEMVE10477, NEMVE10141, NEMVE11809, NEMVE11355, NEMVE11214, NEMVE10424, NEMVE10535, NEMVE10632, NEMVE10426, NEMVE10474, NEMVE10479, NEMVE15004, NEMVE00616, NEMVE01360, NEMVE10139, NEMVE00722, NEMVE10481, NEMVE00708, NEMVE00807	STRPU_24999
OG0000026	NEMVE15646	STRPU_21822
OG0000027	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706	STRPU_21099, STRPU_13367, STRPU_13387, STRPU_13389, STRPU_13369, STRPU_13372, STRPU_13393, STRPU_13370, STRPU_13390, STRPU_13392, STRPU_13371, STRPU_21105, STRPU_21100, STRPU_21104, STRPU_05793, STRPU_05791, STRPU_05792, STRPU_13609, STRPU_02454, STRPU_13784, STRPU_13738, STRPU_13737, STRPU_02455, STRPU_12280, STRPU_12282, STRPU_12281, STRPU_12283, STRPU_19609, STRPU_19529, STRPU_19530, STRPU_20300, STRPU_22112, STRPU_22111, STRPU_18177, STRPU_18176, STRPU_18178, STRPU_13457, STRPU_13538
OG0000028	NEMVE06026, NEMVE05984	STRPU_10620
OG0000028	NEMVE03003, NEMVE23660, NEMVE03469, NEMVE05286, NEMVE04640, NEMVE08022, NEMVE16966, NEMVE16972, NEMVE16973, NEMVE02982, NEMVE08442, NEMVE03100, NEMVE06698, NEMVE03432, NEMVE18759, NEMVE09822, NEMVE00992, NEMVE03007, NEMVE02052, NEMVE16048, NEMVE08155, NEMVE16956, NEMVE02432, NEMVE01030, NEMVE02426	STRPU_26580, STRPU_26667, STRPU_26665, STRPU_26666, STRPU_26664, STRPU_26663
OG0000029	NEMVE03602, NEMVE01722, NEMVE08343	STRPU_09836, STRPU_17433, STRPU_17432
OG0000029	NEMVE10355, NEMVE09829, NEMVE10357	STRPU_01827, STRPU_19313
OG0000030	NEMVE14217, NEMVE02377, NEMVE09974	STRPU_08641, STRPU_01462, STRPU_08711, STRPU_19039
OG0000030	NEMVE02213, NEMVE02794	STRPU_10522, STRPU_06146, STRPU_06148
OG0000030	NEMVE06265	STRPU_09527
OG0000031	NEMVE01854	STRPU_24640
OG0000031	NEMVE06981	STRPU_24955
OG0000031	NEMVE01806	STRPU_24636
OG0000031	NEMVE01412	STRPU_27330
OG0000031	NEMVE02343	STRPU_08004
OG0000031	NEMVE07820	STRPU_05537, STRPU_05597
OG0000031	NEMVE12067	STRPU_18994
OG0000031	NEMVE21885	STRPU_05368
OG0000031	NEMVE22486	STRPU_24676
OG0000032	NEMVE08961, NEMVE08817	STRPU_00037
OG0000032	NEMVE03085	STRPU_24673, STRPU_24979, STRPU_24342, STRPU_10902, STRPU_10903, STRPU_08795, STRPU_24343
OG0000033	NEMVE07263, NEMVE03185, NEMVE16828, NEMVE02598, NEMVE24679, NEMVE02584, NEMVE12391	STRPU_26620
OG0000033	NEMVE05503, NEMVE18079, NEMVE02721, NEMVE15415, NEMVE10748, NEMVE03167, NEMVE08927, NEMVE11580, NEMVE03129, NEMVE03126, NEMVE11341	STRPU_03796, STRPU_03613, STRPU_12671, STRPU_12047, STRPU_02311, STRPU_18113, STRPU_15158, STRPU_15977, STRPU_02826, STRPU_19630
OG0000033	NEMVE08276, NEMVE09890, NEMVE21344, NEMVE15725, NEMVE19380, NEMVE03161, NEMVE11272, NEMVE09721, NEMVE02571, NEMVE10598, NEMVE19678, NEMVE24522, NEMVE02588, NEMVE11685, NEMVE21301	STRPU_25841, STRPU_03301, STRPU_11946
OG0000034	NEMVE07311, NEMVE07285	STRPU_15245, STRPU_15189
OG0000034	NEMVE10927	STRPU_11930, STRPU_11885
OG0000034	NEMVE10961, NEMVE24294	STRPU_27315
OG0000034	NEMVE06675, NEMVE11922, NEMVE10845	STRPU_11793
OG0000034	NEMVE05344	STRPU_04070
OG0000034	NEMVE06831	STRPU_19458
OG0000034	NEMVE16104, NEMVE09479, NEMVE10924	STRPU_12141, STRPU_12106
OG0000034	NEMVE18183	STRPU_11792
OG0000035	NEMVE23841	STRPU_25195, STRPU_01880, STRPU_04279, STRPU_01879, STRPU_25194
OG0000035	NEMVE22676	STRPU_27002
OG0000035	NEMVE22226, NEMVE05357, NEMVE02194	STRPU_13051
OG0000035	NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233	STRPU_12705, STRPU_12704
OG0000036	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372	STRPU_26325, STRPU_26324, STRPU_26321, STRPU_16183, STRPU_16230, STRPU_25724
OG0000036	NEMVE05905, NEMVE18359, NEMVE11471, NEMVE02197	STRPU_26320
OG0000037	NEMVE00865, NEMVE01113	STRPU_21189, STRPU_21188, STRPU_20688, STRPU_21621, STRPU_21620, STRPU_20762
OG0000037	NEMVE10401	STRPU_24785
OG0000038	NEMVE14716	STRPU_04485
OG0000038	NEMVE16337	STRPU_18085, STRPU_01774, STRPU_18078, STRPU_18077, STRPU_18081, STRPU_01769, STRPU_18084, STRPU_01773, STRPU_01768, STRPU_18080, STRPU_06238, STRPU_18079, STRPU_01767, STRPU_18082, STRPU_01770
OG0000038	NEMVE14526	STRPU_18086
OG0000038	NEMVE21816	STRPU_18083, STRPU_01772, STRPU_18683, STRPU_01771
OG0000039	NEMVE01371, NEMVE05995	STRPU_13266
OG0000039	NEMVE16411, NEMVE04657	STRPU_05101, STRPU_05100, STRPU_05180
OG0000041	NEMVE02645, NEMVE12910, NEMVE02225, NEMVE15516	STRPU_12828
OG0000041	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031	STRPU_13000
OG0000043	NEMVE21961, NEMVE21792, NEMVE19640	STRPU_06030, STRPU_05999, STRPU_05926, STRPU_05935, STRPU_05931, STRPU_05994, STRPU_06002, STRPU_25650, STRPU_06033, STRPU_06024, STRPU_21373, STRPU_04184, STRPU_00010, STRPU_00008, STRPU_00006, STRPU_00002
OG0000043	NEMVE14296	STRPU_03522, STRPU_03585
OG0000044	NEMVE05548, NEMVE05555, NEMVE06435, NEMVE06437, NEMVE08743	STRPU_13229, STRPU_13213, STRPU_04938
OG0000044	NEMVE09195, NEMVE09209	STRPU_21629
OG0000045	NEMVE23132	STRPU_19991, STRPU_19990, STRPU_19855, STRPU_19880
OG0000045	NEMVE15604	STRPU_16875, STRPU_16216
OG0000045	NEMVE11131, NEMVE17534, NEMVE17201, NEMVE15169, NEMVE02656, NEMVE08142, NEMVE20592, NEMVE17847	STRPU_26903
OG0000045	NEMVE03022, NEMVE15670, NEMVE03113	STRPU_16861, STRPU_16872
OG0000046	NEMVE08905, NEMVE15252	STRPU_24167, STRPU_08327, STRPU_08328
OG0000046	NEMVE03331, NEMVE03272, NEMVE16637, NEMVE05961	STRPU_13398, STRPU_13377, STRPU_13401, STRPU_13400, STRPU_13399
OG0000047	NEMVE12741, NEMVE05419	STRPU_02879, STRPU_17436, STRPU_22038, STRPU_00263, STRPU_17034, STRPU_20917, STRPU_04857
OG0000047	NEMVE11285	STRPU_07874
OG0000047	NEMVE02543, NEMVE05936, NEMVE08290	STRPU_00254
OG0000047	NEMVE11050	STRPU_17920
OG0000048	NEMVE05567	STRPU_05493
OG0000048	NEMVE14912	STRPU_06729, STRPU_06730, STRPU_06385, STRPU_20602
OG0000048	NEMVE14024	STRPU_20482
OG0000048	NEMVE15061	STRPU_16799, STRPU_16795, STRPU_07185, STRPU_07193, STRPU_16454, STRPU_16791, STRPU_16794, STRPU_16792, STRPU_16789, STRPU_16451, STRPU_16475, STRPU_16452, STRPU_16790, STRPU_26191
OG0000049	NEMVE19461, NEMVE02399, NEMVE21864	STRPU_17072, STRPU_23537, STRPU_23534, STRPU_10893
OG0000049	NEMVE15395, NEMVE15644	STRPU_01801, STRPU_17036
OG0000049	NEMVE16905, NEMVE16051, NEMVE24775, NEMVE01999, NEMVE16789, NEMVE16790, NEMVE16128, NEMVE01975, NEMVE02047, NEMVE16717, NEMVE08586, NEMVE23821, NEMVE10283, NEMVE01510, NEMVE06990, NEMVE03443, NEMVE05693, NEMVE00604, NEMVE19016, NEMVE00041	STRPU_06696
OG0000050	NEMVE20299	STRPU_06209, STRPU_11559, STRPU_20985, STRPU_20001, STRPU_23015, STRPU_00753, STRPU_03815
OG0000050	NEMVE17503, NEMVE02458	STRPU_10411
OG0000050	NEMVE01136	STRPU_07810, STRPU_07823, STRPU_11057, STRPU_09032, STRPU_09040, STRPU_20428, STRPU_00461
OG0000051	NEMVE14426, NEMVE13406, NEMVE08489, NEMVE22548	STRPU_04087, STRPU_04086, STRPU_04085, STRPU_04081, STRPU_04082, STRPU_04844, STRPU_04845, STRPU_04838, STRPU_04842, STRPU_04843, STRPU_04683, STRPU_04684, STRPU_08146, STRPU_04384, STRPU_04388, STRPU_04386, STRPU_04385, STRPU_11426, STRPU_04634, STRPU_04664
OG0000051	NEMVE18951, NEMVE15008	STRPU_17901, STRPU_17577, STRPU_17576, STRPU_17547, STRPU_17574, STRPU_17579, STRPU_17578, STRPU_17575, STRPU_02970, STRPU_16946
OG0000053	NEMVE21440	STRPU_21567
OG0000054	NEMVE01268	STRPU_24985, STRPU_17119, STRPU_17104, STRPU_17103, STRPU_17118
OG0000054	NEMVE15086, NEMVE10916	STRPU_04629, STRPU_04651, STRPU_21552, STRPU_04633, STRPU_04661, STRPU_04884, STRPU_04631, STRPU_04653
OG0000056	NEMVE11933	STRPU_26180
OG0000056	NEMVE01724, NEMVE05835, NEMVE01653	STRPU_19327, STRPU_18531, STRPU_18489
OG0000056	NEMVE01503, NEMVE04541	STRPU_12248, STRPU_11783
OG0000056	NEMVE09885	STRPU_07224, STRPU_07218
OG0000056	NEMVE11865, NEMVE19274, NEMVE04833, NEMVE10670	STRPU_15160, STRPU_15211, STRPU_12348
OG0000056	NEMVE04649, NEMVE01116	STRPU_09650, STRPU_14115, STRPU_15286, STRPU_15300
OG0000056	NEMVE16234	STRPU_12766, STRPU_02354, STRPU_05523
OG0000056	NEMVE16764, NEMVE18863, NEMVE02201	STRPU_19358
OG0000057	NEMVE03498, NEMVE03044	STRPU_09574, STRPU_09581
