Orthogroup	NEMVE	SCHMD
OG0000010	NEMVE02242, NEMVE11743, NEMVE12341, NEMVE07633, NEMVE13907, NEMVE21895, NEMVE07143, NEMVE08133, NEMVE19437, NEMVE19436, NEMVE21842, NEMVE09816, NEMVE06238, NEMVE08032, NEMVE05308, NEMVE21754, NEMVE07621, NEMVE09784, NEMVE21928, NEMVE07022, NEMVE00173, NEMVE08008, NEMVE22478, NEMVE16037, NEMVE06770, NEMVE17848	SCHMD02594, SCHMD02592
OG0000010	NEMVE05383	SCHMD14061
OG0000010	NEMVE05306	SCHMD09515
OG0000011	NEMVE11104	SCHMD09818, SCHMD25014, SCHMD05659
OG0000014	NEMVE02589	SCHMD18409, SCHMD18786, SCHMD27036
OG0000015	NEMVE10119	SCHMD16725
OG0000015	NEMVE09590, NEMVE09832, NEMVE01566	SCHMD16724
OG0000015	NEMVE08500, NEMVE08491	SCHMD08587, SCHMD04522, SCHMD13015, SCHMD10907, SCHMD09424, SCHMD18443, SCHMD06091, SCHMD04398
OG0000015	NEMVE03157, NEMVE03314	SCHMD21895
OG0000016	NEMVE12514, NEMVE12424, NEMVE01060	SCHMD21264, SCHMD01350, SCHMD17302
OG0000016	NEMVE06758	SCHMD13031, SCHMD03292, SCHMD08192
OG0000016	NEMVE11998	SCHMD23829
OG0000016	NEMVE18985	SCHMD08193, SCHMD03294, SCHMD13027, SCHMD08194
OG0000016	NEMVE05079, NEMVE20577	SCHMD16694
OG0000016	NEMVE05675	SCHMD02183
OG0000016	NEMVE01836	SCHMD09773, SCHMD05700
OG0000017	NEMVE10140, NEMVE12719, NEMVE03677, NEMVE19473, NEMVE11301, NEMVE11361, NEMVE02741, NEMVE21656, NEMVE08344, NEMVE08981, NEMVE11360, NEMVE21629, NEMVE05055, NEMVE07301, NEMVE11302, NEMVE11298, NEMVE10134, NEMVE07080, NEMVE05658, NEMVE18007, NEMVE09629, NEMVE09197, NEMVE11325, NEMVE07680, NEMVE10626	SCHMD13346
OG0000020	NEMVE13603	SCHMD24153
OG0000020	NEMVE14242	SCHMD09886
OG0000020	NEMVE14211, NEMVE09336, NEMVE05506	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182
OG0000021	NEMVE01551, NEMVE13918	SCHMD05055, SCHMD22715, SCHMD07894
OG0000021	NEMVE17642, NEMVE17644, NEMVE21888	SCHMD09794, SCHMD23964, SCHMD14458
OG0000021	NEMVE04837	SCHMD10526, SCHMD19498, SCHMD09793, SCHMD07893, SCHMD09079, SCHMD17040, SCHMD09081, SCHMD07845, SCHMD02830, SCHMD04086, SCHMD04535, SCHMD02829
OG0000023	NEMVE05404, NEMVE18646, NEMVE00827, NEMVE11575, NEMVE10787, NEMVE10449	SCHMD04923
OG0000023	NEMVE08792	SCHMD14075
OG0000026	NEMVE11230, NEMVE18197, NEMVE11570	SCHMD00612
OG0000027	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706	SCHMD01186, SCHMD06349, SCHMD09742, SCHMD23029, SCHMD18531
OG0000028	NEMVE07358, NEMVE05350, NEMVE02019	SCHMD09456
OG0000029	NEMVE03602	SCHMD21600, SCHMD23194, SCHMD18727
OG0000030	NEMVE20373, NEMVE19035	SCHMD17295
OG0000030	NEMVE00336	SCHMD20337
OG0000030	NEMVE02213, NEMVE02794	SCHMD25391
OG0000030	NEMVE06265	SCHMD25427
OG0000030	NEMVE16622, NEMVE15282	SCHMD17912, SCHMD19398
OG0000031	NEMVE01854, NEMVE06981, NEMVE07223	SCHMD16950
OG0000031	NEMVE01806	SCHMD11094
OG0000031	NEMVE02343	SCHMD00185
OG0000031	NEMVE04984, NEMVE07820, NEMVE12067, NEMVE21885	SCHMD17865
OG0000032	NEMVE03085	SCHMD05709
OG0000034	NEMVE16906	SCHMD26718
OG0000034	NEMVE16907	SCHMD02114
OG0000034	NEMVE17012, NEMVE07311, NEMVE07285	SCHMD13190, SCHMD26745
OG0000034	NEMVE03284	SCHMD14042
OG0000034	NEMVE10927	SCHMD20623, SCHMD12542, SCHMD11160, SCHMD18247
OG0000034	NEMVE10961, NEMVE24294	SCHMD04875
OG0000034	NEMVE16104, NEMVE09479, NEMVE10924	SCHMD07081
OG0000034	NEMVE18183	SCHMD15143, SCHMD18175
OG0000035	NEMVE23841	SCHMD10019, SCHMD14794, SCHMD08606
OG0000036	NEMVE07419, NEMVE07417	SCHMD03343, SCHMD25206, SCHMD18787, SCHMD10086
OG0000037	NEMVE00865, NEMVE01113	SCHMD19933
OG0000037	NEMVE10401	SCHMD19522, SCHMD00541, SCHMD00542, SCHMD17538
OG0000037	NEMVE19686	SCHMD03362
OG0000038	NEMVE14268	SCHMD28404
OG0000038	NEMVE21816	SCHMD14596, SCHMD16257, SCHMD14597
OG0000039	NEMVE01371, NEMVE05995, NEMVE06442, NEMVE10026, NEMVE09835, NEMVE12611, NEMVE00464, NEMVE09225, NEMVE01642, NEMVE01444, NEMVE09224, NEMVE01560, NEMVE06811, NEMVE06934, NEMVE09831, NEMVE16411, NEMVE04657, NEMVE15743, NEMVE01294, NEMVE18297, NEMVE18296	SCHMD12270
OG0000040	NEMVE20551	SCHMD01748, SCHMD12016, SCHMD05917, SCHMD01746
OG0000040	NEMVE11519	SCHMD25293, SCHMD21694, SCHMD27504
OG0000041	NEMVE02645, NEMVE12910, NEMVE02225, NEMVE15516	SCHMD08254
OG0000041	NEMVE06792	SCHMD24504, SCHMD27330, SCHMD22218, SCHMD24321, SCHMD16915
OG0000041	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031	SCHMD27375, SCHMD19541, SCHMD24652, SCHMD18848, SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856
OG0000041	NEMVE05295	SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678
OG0000043	NEMVE00880	SCHMD29320
OG0000043	NEMVE00770	SCHMD11361, SCHMD08066
OG0000043	NEMVE21961, NEMVE21792, NEMVE19640, NEMVE21007, NEMVE21132, NEMVE18462, NEMVE12789, NEMVE12803, NEMVE14296	SCHMD11455
OG0000043	NEMVE02775, NEMVE00615, NEMVE12385, NEMVE21267, NEMVE22714, NEMVE22026, NEMVE21348, NEMVE21359, NEMVE05121	SCHMD17991, SCHMD07284, SCHMD04436, SCHMD10964, SCHMD10708, SCHMD11041, SCHMD12622, SCHMD10248, SCHMD06829, SCHMD01198, SCHMD04068
OG0000044	NEMVE16246, NEMVE14588	SCHMD06550
OG0000048	NEMVE14912	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319
OG0000049	NEMVE19461, NEMVE02399, NEMVE21864	SCHMD02961, SCHMD14840, SCHMD07231, SCHMD18899, SCHMD19386, SCHMD26352, SCHMD17006
OG0000049	NEMVE01920, NEMVE01841	SCHMD13819
OG0000051	NEMVE14426, NEMVE13406, NEMVE08489, NEMVE22548	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279
OG0000055	NEMVE00590	SCHMD17892, SCHMD29195
OG0000057	NEMVE10389, NEMVE10288, NEMVE05767, NEMVE05753, NEMVE07561, NEMVE16869, NEMVE12777, NEMVE13925, NEMVE09515, NEMVE17706	SCHMD08094
OG0000058	NEMVE13151	SCHMD04270
OG0000058	NEMVE00498	SCHMD07793, SCHMD04483, SCHMD04579, SCHMD08402
OG0000058	NEMVE17922, NEMVE24060, NEMVE22352, NEMVE13854, NEMVE14802	SCHMD01787, SCHMD01785, SCHMD00036, SCHMD00040, SCHMD20412, SCHMD11329
OG0000060	NEMVE15983, NEMVE23420, NEMVE00402	SCHMD28975, SCHMD17528, SCHMD01311, SCHMD15619, SCHMD01313, SCHMD03061
OG0000060	NEMVE02438	SCHMD19006, SCHMD24601, SCHMD05372, SCHMD13182, SCHMD07987
OG0000060	NEMVE00070, NEMVE04978, NEMVE04891, NEMVE14352, NEMVE05019, NEMVE21993, NEMVE15088	SCHMD16998
OG0000060	NEMVE01006, NEMVE11210, NEMVE00908, NEMVE18881, NEMVE00777	SCHMD17292, SCHMD03062
OG0000062	NEMVE10327, NEMVE00984, NEMVE10333, NEMVE14126	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769
OG0000063	NEMVE05614	SCHMD04855
OG0000063	NEMVE00196, NEMVE00961	SCHMD09653
OG0000063	NEMVE18393	SCHMD26478, SCHMD21709
OG0000065	NEMVE02128, NEMVE02142, NEMVE07842, NEMVE11941, NEMVE09169, NEMVE17235, NEMVE07009, NEMVE07010, NEMVE01667, NEMVE07812, NEMVE11483, NEMVE06777, NEMVE05666, NEMVE09396, NEMVE07281, NEMVE13551	SCHMD25473, SCHMD19118, SCHMD25936, SCHMD21821, SCHMD20931, SCHMD12953
OG0000066	NEMVE00589	SCHMD06601
OG0000066	NEMVE02094, NEMVE00829	SCHMD06030
OG0000066	NEMVE08140, NEMVE02115, NEMVE05395, NEMVE00242, NEMVE00199, NEMVE02160, NEMVE11189, NEMVE08925, NEMVE05032, NEMVE14665, NEMVE01053	SCHMD05807
OG0000066	NEMVE05353, NEMVE08127, NEMVE05161	SCHMD11629, SCHMD22506
OG0000066	NEMVE05988	SCHMD17583
OG0000066	NEMVE19300	SCHMD06603, SCHMD09194
OG0000068	NEMVE24661, NEMVE20048	SCHMD05762, SCHMD05760, SCHMD05763
OG0000069	NEMVE11511	SCHMD11437
OG0000069	NEMVE15092	SCHMD05798, SCHMD12262
OG0000069	NEMVE02861	SCHMD18974
OG0000070	NEMVE23951, NEMVE09231, NEMVE05946	SCHMD06745
OG0000070	NEMVE02233	SCHMD21394
OG0000070	NEMVE15657, NEMVE02127, NEMVE24740, NEMVE15772, NEMVE06867, NEMVE02507	SCHMD23038
OG0000070	NEMVE06972, NEMVE04610	SCHMD27266, SCHMD15308
OG0000071	NEMVE23762, NEMVE04901	SCHMD08674, SCHMD04226
OG0000072	NEMVE01460	SCHMD10090
OG0000072	NEMVE02411, NEMVE09777, NEMVE02870, NEMVE01453	SCHMD16868, SCHMD20563
OG0000072	NEMVE17093, NEMVE24337, NEMVE20057, NEMVE17205	SCHMD19677, SCHMD17046, SCHMD17002
OG0000072	NEMVE00427	SCHMD10043, SCHMD09884, SCHMD25260, SCHMD20325, SCHMD10751
OG0000075	NEMVE21913	SCHMD10965
OG0000075	NEMVE06044	SCHMD28477
OG0000075	NEMVE24197	SCHMD03704
OG0000075	NEMVE22411	SCHMD21424
OG0000077	NEMVE04990	SCHMD17571, SCHMD04266, SCHMD27295, SCHMD10331, SCHMD20020, SCHMD23576, SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499, SCHMD17078, SCHMD07689, SCHMD07695, SCHMD07696, SCHMD19383, SCHMD13911, SCHMD21639, SCHMD26936, SCHMD03670, SCHMD19917, SCHMD15537, SCHMD13624, SCHMD15208, SCHMD02698, SCHMD27373, SCHMD27493, SCHMD17678, SCHMD20714, SCHMD25666, SCHMD20144, SCHMD27793, SCHMD21332
OG0000078	NEMVE17207	SCHMD04824, SCHMD04525
OG0000078	NEMVE09271	SCHMD04822, SCHMD04523
OG0000079	NEMVE07219, NEMVE03189	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114
OG0000079	NEMVE02220	SCHMD16559, SCHMD24052, SCHMD18199
OG0000079	NEMVE00715, NEMVE10337, NEMVE10329, NEMVE05451	SCHMD06941, SCHMD04736
OG0000080	NEMVE06862	SCHMD10387, SCHMD06434
OG0000082	NEMVE19066	SCHMD03263, SCHMD10119
OG0000082	NEMVE14867, NEMVE15134	SCHMD29028, SCHMD29242, SCHMD28445, SCHMD27822, SCHMD27641, SCHMD02373, SCHMD16460
OG0000082	NEMVE22355	SCHMD03363
OG0000083	NEMVE19216	SCHMD16633
OG0000084	NEMVE16722	SCHMD28182, SCHMD25065
OG0000084	NEMVE00575	SCHMD21106
OG0000085	NEMVE07289	SCHMD12836
OG0000085	NEMVE07695, NEMVE08967, NEMVE08972	SCHMD12466
OG0000085	NEMVE18682, NEMVE18681	SCHMD18327
OG0000087	NEMVE09998	SCHMD09399
OG0000087	NEMVE14074	SCHMD09405, SCHMD09406
OG0000087	NEMVE12577	SCHMD03794, SCHMD09403, SCHMD09409, SCHMD09408
OG0000087	NEMVE14184	SCHMD05855
OG0000087	NEMVE03741, NEMVE21845	SCHMD03394
OG0000087	NEMVE03416	SCHMD03393
OG0000087	NEMVE21432	SCHMD25814
OG0000087	NEMVE20307	SCHMD25289, SCHMD16933, SCHMD25288, SCHMD17003, SCHMD07336
OG0000087	NEMVE01934	SCHMD07337
OG0000090	NEMVE21539, NEMVE17016, NEMVE10232	SCHMD17599, SCHMD20160
OG0000090	NEMVE24660, NEMVE20728	SCHMD06769
OG0000094	NEMVE05621	SCHMD23746, SCHMD24402, SCHMD07078, SCHMD24401, SCHMD13656, SCHMD18841, SCHMD20088, SCHMD18376, SCHMD14753
OG0000094	NEMVE03407, NEMVE03409, NEMVE03406	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097
OG0000095	NEMVE15802	SCHMD24112, SCHMD21858, SCHMD25769, SCHMD20853, SCHMD22035, SCHMD24353, SCHMD22942
OG0000096	NEMVE14782	SCHMD07753
OG0000096	NEMVE12518, NEMVE12519	SCHMD18607
OG0000096	NEMVE14773	SCHMD10033
OG0000098	NEMVE07244, NEMVE05378	SCHMD29644, SCHMD22119
OG0000099	NEMVE10616, NEMVE07524, NEMVE01647, NEMVE02992	SCHMD03930, SCHMD15019
OG0000099	NEMVE07525, NEMVE20970	SCHMD14698, SCHMD05542
OG0000101	NEMVE09668, NEMVE18669, NEMVE09674, NEMVE09673, NEMVE09675, NEMVE09670, NEMVE14294, NEMVE01377, NEMVE13283, NEMVE10270, NEMVE14668, NEMVE10030, NEMVE00231, NEMVE06943, NEMVE05036, NEMVE08533	SCHMD06502, SCHMD06505, SCHMD06506
OG0000103	NEMVE06305	SCHMD29081, SCHMD19673
OG0000103	NEMVE09043	SCHMD08147
OG0000104	NEMVE18020	SCHMD06960, SCHMD11618
OG0000106	NEMVE07221, NEMVE07805, NEMVE13923, NEMVE09138, NEMVE09430, NEMVE20448, NEMVE05915, NEMVE16024	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496
OG0000107	NEMVE02891, NEMVE02920	SCHMD04920
OG0000110	NEMVE13920, NEMVE12399	SCHMD11887
OG0000113	NEMVE21021, NEMVE14510	SCHMD06629, SCHMD02664
OG0000114	NEMVE07046, NEMVE14943	SCHMD19276
OG0000114	NEMVE20958	SCHMD28859, SCHMD14331, SCHMD20678, SCHMD12740, SCHMD12417, SCHMD24462
OG0000115	NEMVE02947, NEMVE06325, NEMVE06294, NEMVE03412	SCHMD28271, SCHMD15320
OG0000116	NEMVE00509, NEMVE00502	SCHMD19105
OG0000119	NEMVE22896, NEMVE15248	SCHMD02911
OG0000120	NEMVE03389	SCHMD09518
OG0000120	NEMVE08594	SCHMD26849
OG0000120	NEMVE01429	SCHMD11870
OG0000121	NEMVE03127, NEMVE09919	SCHMD07020
OG0000122	NEMVE00926	SCHMD16640, SCHMD09850, SCHMD00544
OG0000124	NEMVE24720, NEMVE14026	SCHMD10270, SCHMD10271
OG0000124	NEMVE25045	SCHMD11964, SCHMD20871, SCHMD16822
OG0000124	NEMVE14854	SCHMD08774
OG0000126	NEMVE07689	SCHMD00122, SCHMD06495, SCHMD00127
OG0000126	NEMVE08729, NEMVE02964	SCHMD24144
OG0000126	NEMVE00909	SCHMD01813, SCHMD04253
OG0000127	NEMVE22473	SCHMD03781
OG0000127	NEMVE06422, NEMVE00274, NEMVE08437	SCHMD07478
OG0000127	NEMVE08799	SCHMD18620
OG0000128	NEMVE12106, NEMVE04961, NEMVE01987, NEMVE18699, NEMVE05813, NEMVE00993, NEMVE10370, NEMVE09954, NEMVE24226, NEMVE08877, NEMVE02973, NEMVE07718, NEMVE13536, NEMVE16591, NEMVE07067, NEMVE16738, NEMVE06927	SCHMD25789, SCHMD19594
OG0000129	NEMVE15459, NEMVE24455	SCHMD20816
OG0000129	NEMVE05043	SCHMD05405
OG0000129	NEMVE14958	SCHMD03224
OG0000130	NEMVE01604, NEMVE15775, NEMVE03747	SCHMD02824, SCHMD13205
OG0000130	NEMVE06584, NEMVE05300, NEMVE10363, NEMVE19712, NEMVE09669, NEMVE17089, NEMVE10460, NEMVE01086, NEMVE02097	SCHMD17609
OG0000135	NEMVE07712, NEMVE07156, NEMVE10399, NEMVE00765, NEMVE01301, NEMVE08506, NEMVE00634, NEMVE19959, NEMVE11803, NEMVE12861, NEMVE07150, NEMVE09618, NEMVE18689, NEMVE00849, NEMVE01021, NEMVE07037, NEMVE08365, NEMVE09611, NEMVE01856, NEMVE01229	SCHMD24143, SCHMD24147
OG0000136	NEMVE19251, NEMVE04778	SCHMD25568, SCHMD19897
OG0000137	NEMVE09537, NEMVE02104, NEMVE16617, NEMVE07756, NEMVE01665, NEMVE07752, NEMVE04562, NEMVE10746, NEMVE08414, NEMVE08549, NEMVE22935	SCHMD05813, SCHMD08865, SCHMD09251, SCHMD04306, SCHMD09558
OG0000139	NEMVE16959, NEMVE19997, NEMVE23512, NEMVE25194	SCHMD18769, SCHMD20210, SCHMD18241, SCHMD26472, SCHMD14124
OG0000140	NEMVE07291	SCHMD01678, SCHMD02420, SCHMD05315
OG0000142	NEMVE13476	SCHMD07405, SCHMD02973, SCHMD14341
OG0000142	NEMVE21939	SCHMD14394
OG0000142	NEMVE20784	SCHMD01440, SCHMD00718
OG0000142	NEMVE18434, NEMVE18435, NEMVE09154	SCHMD03732, SCHMD10133, SCHMD15810, SCHMD15070, SCHMD02364
OG0000145	NEMVE16199, NEMVE04738, NEMVE21777, NEMVE21974	SCHMD03152
OG0000147	NEMVE01930	SCHMD11019
OG0000147	NEMVE00775	SCHMD09678, SCHMD11020, SCHMD11018, SCHMD11022, SCHMD11969, SCHMD22708, SCHMD11025, SCHMD03558
OG0000147	NEMVE13815	SCHMD11968
OG0000148	NEMVE23582, NEMVE05630	SCHMD08056, SCHMD08055, SCHMD00321, SCHMD17109
OG0000149	NEMVE08530	SCHMD06205
OG0000149	NEMVE21291	SCHMD05440
OG0000151	NEMVE16753, NEMVE04801, NEMVE16934, NEMVE04750, NEMVE14329, NEMVE16902	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274
OG0000151	NEMVE23696, NEMVE23695	SCHMD02747, SCHMD12342
OG0000155	NEMVE08895	SCHMD05383, SCHMD06593, SCHMD10992
OG0000155	NEMVE19985, NEMVE14842	SCHMD13126, SCHMD13125
OG0000157	NEMVE24250	SCHMD03548, SCHMD06363
OG0000157	NEMVE22690	SCHMD24948, SCHMD15302, SCHMD05230, SCHMD01802, SCHMD01418
OG0000158	NEMVE19203, NEMVE24928	SCHMD18936
OG0000159	NEMVE15043, NEMVE07490, NEMVE20974, NEMVE03468, NEMVE06600	SCHMD26601, SCHMD09606
OG0000159	NEMVE15373, NEMVE08424, NEMVE15992, NEMVE05165, NEMVE03182, NEMVE02495, NEMVE09227, NEMVE08562	SCHMD14942
OG0000160	NEMVE02932, NEMVE13008, NEMVE08785	SCHMD26548, SCHMD20557, SCHMD26050, SCHMD24982, SCHMD19560, SCHMD11814, SCHMD15584, SCHMD21777, SCHMD19430
OG0000162	NEMVE11195	SCHMD08934, SCHMD09890
OG0000163	NEMVE16077, NEMVE20049, NEMVE20746, NEMVE21312, NEMVE20239, NEMVE23284, NEMVE23040, NEMVE12529, NEMVE24450	SCHMD23090
OG0000163	NEMVE12704, NEMVE13131	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554
OG0000166	NEMVE13422, NEMVE21827	SCHMD08400
OG0000166	NEMVE03435, NEMVE02015, NEMVE05833	SCHMD15704, SCHMD08401, SCHMD28623, SCHMD22442
OG0000168	NEMVE10579	SCHMD19556
OG0000168	NEMVE11814	SCHMD29139
OG0000169	NEMVE20740	SCHMD00386
OG0000171	NEMVE07518	SCHMD07239
OG0000173	NEMVE17194	SCHMD20107, SCHMD19855, SCHMD02094, SCHMD02093
OG0000174	NEMVE22424, NEMVE05336, NEMVE05301, NEMVE11815	SCHMD09838
OG0000174	NEMVE06968, NEMVE04933	SCHMD22727, SCHMD14760, SCHMD22728
OG0000174	NEMVE06155	SCHMD08354, SCHMD22729
OG0000175	NEMVE07460, NEMVE08062, NEMVE00450, NEMVE15112	SCHMD18439, SCHMD17544
