Orthogroup	NEMVE	CAPO3
OG0000049	NEMVE19461, NEMVE02399, NEMVE21864, NEMVE15395, NEMVE15644, NEMVE16905, NEMVE16051, NEMVE24775, NEMVE01999, NEMVE16789, NEMVE16790, NEMVE16128, NEMVE01975, NEMVE02047, NEMVE16717, NEMVE08586, NEMVE23821, NEMVE10283, NEMVE01510, NEMVE06990, NEMVE03443, NEMVE05693, NEMVE00604, NEMVE19016, NEMVE00041, NEMVE16082, NEMVE01920, NEMVE01841, NEMVE07661, NEMVE06992, NEMVE00847	CAPO304018
OG0000051	NEMVE14426, NEMVE13406, NEMVE08489, NEMVE22548, NEMVE18951, NEMVE15008	CAPO307809, CAPO301249
OG0000054	NEMVE01268	CAPO303213, CAPO305653
OG0000054	NEMVE15086, NEMVE10916	CAPO302015
OG0000054	NEMVE05466, NEMVE10915	CAPO303797
OG0000055	NEMVE00590, NEMVE12695, NEMVE19639, NEMVE15980, NEMVE21960	CAPO301479, CAPO301432
OG0000056	NEMVE11244, NEMVE11933, NEMVE01724, NEMVE05835, NEMVE01653, NEMVE06803, NEMVE01503, NEMVE04541, NEMVE09885, NEMVE11865, NEMVE19274, NEMVE04833, NEMVE10670, NEMVE04649, NEMVE01116, NEMVE16234, NEMVE16764, NEMVE18863, NEMVE02201, NEMVE19957, NEMVE15228	CAPO305974, CAPO306012, CAPO306941
OG0000058	NEMVE13151	CAPO305595
OG0000060	NEMVE21800, NEMVE15983, NEMVE23420, NEMVE00402, NEMVE02438, NEMVE00070, NEMVE04978, NEMVE04891, NEMVE14352, NEMVE05019, NEMVE21993, NEMVE15088, NEMVE09694, NEMVE01006, NEMVE11210, NEMVE00908, NEMVE18881, NEMVE00777	CAPO305373
OG0000062	NEMVE10327, NEMVE00984, NEMVE10333, NEMVE14126, NEMVE00002, NEMVE17871	CAPO300910
OG0000063	NEMVE02020, NEMVE06153, NEMVE06644, NEMVE05614, NEMVE00196, NEMVE00961, NEMVE23740, NEMVE18393, NEMVE10930, NEMVE10935, NEMVE10931, NEMVE01013, NEMVE10933, NEMVE05615, NEMVE13213, NEMVE09357, NEMVE19786, NEMVE09682, NEMVE21970, NEMVE06201, NEMVE09684	CAPO300270
OG0000066	NEMVE03297, NEMVE00589, NEMVE00883, NEMVE00844, NEMVE10387, NEMVE00084, NEMVE10150, NEMVE04595, NEMVE10342, NEMVE05434, NEMVE11135, NEMVE09963, NEMVE09584, NEMVE08347, NEMVE05616, NEMVE09280, NEMVE09962, NEMVE05315, NEMVE00814, NEMVE17245, NEMVE08381, NEMVE08370, NEMVE09458, NEMVE02340, NEMVE12842, NEMVE06117, NEMVE06114, NEMVE05618, NEMVE02346, NEMVE08126, NEMVE06588, NEMVE02344, NEMVE04896, NEMVE07202, NEMVE08935, NEMVE01845, NEMVE02094, NEMVE00829, NEMVE23938, NEMVE08140, NEMVE02115, NEMVE05395, NEMVE00242, NEMVE00199, NEMVE02160, NEMVE11189, NEMVE08925, NEMVE05032, NEMVE14665, NEMVE01053, NEMVE05353, NEMVE08127, NEMVE05161, NEMVE06765, NEMVE09456, NEMVE04598, NEMVE11961, NEMVE12179, NEMVE06397, NEMVE00621, NEMVE08193, NEMVE01410, NEMVE05988, NEMVE19300	CAPO308057
OG0000069	NEMVE14181	CAPO302182
OG0000069	NEMVE15092	CAPO303953, CAPO301523, CAPO305173
OG0000079	NEMVE00715, NEMVE10337, NEMVE10329, NEMVE05451	CAPO302518
OG0000082	NEMVE19066	CAPO304738
OG0000082	NEMVE05388	CAPO306626
OG0000082	NEMVE14867, NEMVE15134	CAPO300843
OG0000082	NEMVE22355	CAPO306232
OG0000085	NEMVE07554, NEMVE09794, NEMVE03205	CAPO303061
OG0000085	NEMVE07289, NEMVE07695, NEMVE08967, NEMVE08972, NEMVE05696, NEMVE18682, NEMVE18681, NEMVE13608, NEMVE00067	CAPO303047
OG0000089	NEMVE15803, NEMVE15621, NEMVE15853	CAPO300386, CAPO300810, CAPO302098
OG0000090	NEMVE24404	CAPO304635, CAPO304845, CAPO301336
OG0000091	NEMVE05463, NEMVE05476, NEMVE13252	CAPO301134
OG0000095	NEMVE15802, NEMVE10556, NEMVE02903, NEMVE22347, NEMVE15792, NEMVE05620, NEMVE06820, NEMVE05611	CAPO301288, CAPO306046
OG0000096	NEMVE14782	CAPO301431
OG0000096	NEMVE12518, NEMVE12519	CAPO303349
OG0000096	NEMVE22574	CAPO307955
OG0000096	NEMVE22432	CAPO307522
OG0000096	NEMVE25573	CAPO300294
OG0000096	NEMVE14773	CAPO307017
OG0000101	NEMVE09668, NEMVE18669, NEMVE09674, NEMVE09673, NEMVE09675, NEMVE09670, NEMVE14294, NEMVE01377, NEMVE13283, NEMVE10270, NEMVE14668, NEMVE10030, NEMVE00231, NEMVE06943, NEMVE05036, NEMVE08533, NEMVE18515	CAPO306858
OG0000103	NEMVE06305, NEMVE09043	CAPO302453
OG0000106	NEMVE07221, NEMVE07805, NEMVE13923, NEMVE09138, NEMVE09430, NEMVE20448, NEMVE05915, NEMVE16024	CAPO300017
OG0000107	NEMVE03999, NEMVE21307	CAPO301524
OG0000110	NEMVE00979, NEMVE07027, NEMVE03143, NEMVE24541, NEMVE22920, NEMVE12064, NEMVE15426, NEMVE10514, NEMVE02573, NEMVE15411, NEMVE13920, NEMVE12399	CAPO300387
OG0000113	NEMVE14896	CAPO301240
OG0000114	NEMVE20958	CAPO302440, CAPO304415
OG0000119	NEMVE22896, NEMVE15248	CAPO304642
OG0000122	NEMVE05937, NEMVE10909, NEMVE00926	CAPO307824
OG0000124	NEMVE24720	CAPO304324
OG0000124	NEMVE14854	CAPO302553
OG0000126	NEMVE07689	CAPO301836
OG0000126	NEMVE08729, NEMVE02964	CAPO302484
OG0000126	NEMVE00909, NEMVE02955	CAPO300572
OG0000128	NEMVE12106, NEMVE04961, NEMVE01987, NEMVE18699, NEMVE05813, NEMVE00993, NEMVE10370, NEMVE09954, NEMVE24226, NEMVE08877, NEMVE02973, NEMVE07718, NEMVE13536, NEMVE16591, NEMVE07067, NEMVE16738, NEMVE06927	CAPO306991, CAPO304956
OG0000129	NEMVE15459, NEMVE24455, NEMVE05043, NEMVE14958	CAPO303361
OG0000132	NEMVE23708	CAPO305174
OG0000137	NEMVE20817, NEMVE18407, NEMVE09537, NEMVE02104, NEMVE16617, NEMVE07756, NEMVE01665, NEMVE07752, NEMVE04562, NEMVE10746, NEMVE08414, NEMVE08549, NEMVE22935	CAPO305369
OG0000142	NEMVE15266, NEMVE13476, NEMVE21939, NEMVE20784, NEMVE21838, NEMVE25141, NEMVE13728, NEMVE18434, NEMVE18435, NEMVE09154	CAPO302031, CAPO302030
OG0000147	NEMVE00775	CAPO305863
OG0000147	NEMVE13815	CAPO308132
OG0000147	NEMVE06760, NEMVE10211, NEMVE15010, NEMVE01973	CAPO304230
OG0000149	NEMVE02950, NEMVE00060, NEMVE07321, NEMVE08530, NEMVE21291, NEMVE07677, NEMVE25205, NEMVE08546, NEMVE17187, NEMVE14399, NEMVE02954	CAPO305206, CAPO306214
OG0000157	NEMVE24250	CAPO305956
OG0000157	NEMVE14302, NEMVE22690	CAPO305824
OG0000158	NEMVE19203, NEMVE24928	CAPO302924
OG0000160	NEMVE13435, NEMVE07078, NEMVE05120	CAPO301680
OG0000171	NEMVE07518, NEMVE02961, NEMVE00074, NEMVE07354, NEMVE02113, NEMVE02080, NEMVE13315	CAPO304813
OG0000174	NEMVE14330, NEMVE22424, NEMVE05336, NEMVE05301, NEMVE11815, NEMVE06968, NEMVE04933, NEMVE06970, NEMVE06155	CAPO304629
OG0000175	NEMVE00450, NEMVE15112	CAPO303513
OG0000179	NEMVE14969, NEMVE18776	CAPO303342
OG0000181	NEMVE24124	CAPO301108
OG0000181	NEMVE23021	CAPO302034
OG0000181	NEMVE13840, NEMVE02915	CAPO307692
OG0000181	NEMVE13666, NEMVE22609	CAPO300374
OG0000183	NEMVE11293	CAPO305638
OG0000183	NEMVE10854, NEMVE13332	CAPO305829
OG0000184	NEMVE03203, NEMVE02061	CAPO307711
OG0000184	NEMVE14657, NEMVE21989	CAPO304928
OG0000192	NEMVE08395, NEMVE12235	CAPO304141
OG0000192	NEMVE04958	CAPO300533
OG0000192	NEMVE01940	CAPO301980
OG0000193	NEMVE10259, NEMVE11693, NEMVE07643, NEMVE10068, NEMVE11691, NEMVE10067, NEMVE13255, NEMVE10260, NEMVE07641, NEMVE11522, NEMVE05479, NEMVE02730	CAPO302628
OG0000194	NEMVE11646, NEMVE08721	CAPO305195
OG0000195	NEMVE15098	CAPO305454
OG0000201	NEMVE20854, NEMVE23099, NEMVE07103, NEMVE07418	CAPO307729
OG0000201	NEMVE18189, NEMVE09350	CAPO300462, CAPO305583
OG0000203	NEMVE25285, NEMVE01883, NEMVE13514, NEMVE23942, NEMVE06833, NEMVE16297, NEMVE03834, NEMVE02777, NEMVE23941, NEMVE24085, NEMVE24086, NEMVE16670	CAPO302139
OG0000204	NEMVE04586, NEMVE13063, NEMVE08800, NEMVE01481, NEMVE01283, NEMVE05134, NEMVE01962, NEMVE13202, NEMVE01981	CAPO303090
OG0000207	NEMVE14338, NEMVE18126	CAPO304105, CAPO304106, CAPO304714
OG0000211	NEMVE13306, NEMVE20025, NEMVE13795, NEMVE08404, NEMVE10361, NEMVE00039, NEMVE08412, NEMVE13225, NEMVE22330, NEMVE12945, NEMVE10733	CAPO306209
OG0000218	NEMVE06667, NEMVE11926, NEMVE02677, NEMVE00623, NEMVE05256, NEMVE04789	CAPO300559
OG0000220	NEMVE15160, NEMVE06570, NEMVE06590, NEMVE11667, NEMVE10818	CAPO306780, CAPO307695
OG0000221	NEMVE10984, NEMVE08618, NEMVE01044, NEMVE13312, NEMVE05724	CAPO300247
OG0000222	NEMVE13376, NEMVE24575, NEMVE01198, NEMVE01838	CAPO304211
OG0000223	NEMVE02962, NEMVE02939, NEMVE11970, NEMVE03410, NEMVE20736, NEMVE06873, NEMVE20688, NEMVE05418, NEMVE21759, NEMVE10027, NEMVE13913, NEMVE12172, NEMVE21368, NEMVE09090	CAPO308126
OG0000225	NEMVE22802, NEMVE01960	CAPO305347
OG0000226	NEMVE25655	CAPO306934
OG0000226	NEMVE02942, NEMVE04143, NEMVE15524	CAPO303463
OG0000234	NEMVE11754, NEMVE21946, NEMVE11372	CAPO301359
OG0000238	NEMVE12144	CAPO305428
OG0000239	NEMVE15715, NEMVE10508, NEMVE14103, NEMVE08852	CAPO302089
OG0000240	NEMVE22712	CAPO303372
OG0000242	NEMVE05130	CAPO304847
OG0000244	NEMVE04591, NEMVE23766, NEMVE21797, NEMVE21081, NEMVE13759	CAPO301556
OG0000246	NEMVE12875, NEMVE09525, NEMVE24900, NEMVE06591	CAPO303496
OG0000248	NEMVE14891, NEMVE02087, NEMVE21798, NEMVE14482, NEMVE14458	CAPO307635, CAPO302481, CAPO302487
OG0000250	NEMVE10328	CAPO301950
OG0000250	NEMVE10051	CAPO305827
OG0000255	NEMVE09558	CAPO301531
OG0000255	NEMVE09130, NEMVE09131, NEMVE10975, NEMVE13921, NEMVE24435, NEMVE13695	CAPO300499
OG0000256	NEMVE06790	CAPO307884
OG0000257	NEMVE17110, NEMVE15567, NEMVE05280, NEMVE10815, NEMVE05150	CAPO300414
OG0000258	NEMVE03906	CAPO301106
OG0000258	NEMVE09736, NEMVE25195	CAPO301746
OG0000260	NEMVE10877	CAPO303219
OG0000260	NEMVE13152	CAPO300399
OG0000265	NEMVE16690	CAPO306126
OG0000265	NEMVE00125, NEMVE14956	CAPO306540
OG0000271	NEMVE05862, NEMVE11681, NEMVE05959, NEMVE04791, NEMVE09635	CAPO304641
OG0000272	NEMVE16771	CAPO304601
OG0000273	NEMVE15051	CAPO300804
OG0000273	NEMVE12092, NEMVE06102	CAPO306869
OG0000277	NEMVE07555	CAPO303621
OG0000277	NEMVE05309	CAPO301295
OG0000278	NEMVE19287	CAPO300620
OG0000278	NEMVE11833	CAPO305822
OG0000278	NEMVE13169	CAPO302023
OG0000282	NEMVE18155, NEMVE06711, NEMVE06725, NEMVE09000, NEMVE07044, NEMVE08997, NEMVE03120, NEMVE08986	CAPO308183
OG0000284	NEMVE23786, NEMVE20213	CAPO302861
OG0000285	NEMVE19602, NEMVE11907, NEMVE11739, NEMVE08849, NEMVE10565, NEMVE19215, NEMVE22794	CAPO303377
OG0000288	NEMVE01052	CAPO305142
OG0000289	NEMVE22048, NEMVE20877	CAPO307835
OG0000295	NEMVE02959, NEMVE13612	CAPO302113, CAPO302799
OG0000299	NEMVE13956, NEMVE01544, NEMVE14250	CAPO306599
OG0000305	NEMVE14852	CAPO307183
OG0000306	NEMVE19808, NEMVE13073, NEMVE17887, NEMVE12646	CAPO308212
OG0000308	NEMVE04922	CAPO304037
OG0000308	NEMVE08666	CAPO303083
OG0000310	NEMVE06421, NEMVE21881, NEMVE10980, NEMVE15268	CAPO305978
OG0000312	NEMVE14828	CAPO302691
OG0000312	NEMVE02480	CAPO307944
OG0000313	NEMVE07772, NEMVE22122, NEMVE21924	CAPO307072
OG0000313	NEMVE09466, NEMVE10402, NEMVE08939, NEMVE19582	CAPO301348
OG0000314	NEMVE23854, NEMVE13571, NEMVE04719, NEMVE15370, NEMVE02359, NEMVE12383	CAPO304303
OG0000315	NEMVE02785	CAPO307611
OG0000315	NEMVE07786	CAPO308167
OG0000317	NEMVE21983	CAPO306620
OG0000319	NEMVE04991, NEMVE11008, NEMVE15918, NEMVE00786, NEMVE24382, NEMVE07730, NEMVE06264, NEMVE12731, NEMVE06239, NEMVE03426, NEMVE08121, NEMVE00714, NEMVE00937	CAPO303225
OG0000320	NEMVE16325	CAPO308077
OG0000321	NEMVE09410	CAPO303657, CAPO307405
OG0000322	NEMVE06193, NEMVE02760, NEMVE08806, NEMVE01047	CAPO306406
OG0000326	NEMVE13638	CAPO303322
OG0000327	NEMVE17335, NEMVE07831, NEMVE04692, NEMVE14295, NEMVE06814, NEMVE24780	CAPO308120
OG0000335	NEMVE02469, NEMVE21929	CAPO307753
OG0000338	NEMVE23189, NEMVE10431, NEMVE14053	CAPO304735
OG0000339	NEMVE11322, NEMVE01443	CAPO305264
OG0000343	NEMVE03840, NEMVE10282, NEMVE10285	CAPO306429
OG0000345	NEMVE00031, NEMVE06094, NEMVE05822, NEMVE13377, NEMVE23409	CAPO300769
OG0000352	NEMVE06598, NEMVE05333, NEMVE08174, NEMVE09599	CAPO300356
OG0000357	NEMVE08179	CAPO301487
OG0000359	NEMVE05129	CAPO305417
OG0000359	NEMVE12401	CAPO301540
OG0000360	NEMVE20646, NEMVE15243, NEMVE02208, NEMVE02089, NEMVE04676, NEMVE04667	CAPO300757
OG0000363	NEMVE12633, NEMVE21531	CAPO305594
OG0000364	NEMVE13972, NEMVE18483, NEMVE18675, NEMVE00134, NEMVE18216, NEMVE18218	CAPO301330, CAPO300908
OG0000365	NEMVE24695, NEMVE20905	CAPO302286
OG0000367	NEMVE15237	CAPO301272
OG0000371	NEMVE00983, NEMVE00049, NEMVE12173, NEMVE17932, NEMVE01163, NEMVE14930, NEMVE03633	CAPO307503
OG0000372	NEMVE15104, NEMVE17540, NEMVE21923, NEMVE13274, NEMVE13664	CAPO307553
OG0000373	NEMVE23724	CAPO301744
OG0000385	NEMVE22772, NEMVE04943, NEMVE19068, NEMVE04910	CAPO300182, CAPO305781, CAPO305517
OG0000390	NEMVE23581, NEMVE23578, NEMVE22614, NEMVE14022, NEMVE09738, NEMVE25288, NEMVE14507, NEMVE16755	CAPO301433, CAPO301477
OG0000392	NEMVE01067, NEMVE07781	CAPO300351
OG0000393	NEMVE10034, NEMVE23058, NEMVE10184	CAPO307627
OG0000397	NEMVE17031, NEMVE01578	CAPO304372
OG0000399	NEMVE08302, NEMVE02783, NEMVE21873, NEMVE03144, NEMVE13243, NEMVE13654	CAPO302781
OG0000402	NEMVE01259, NEMVE08796, NEMVE12680, NEMVE24242, NEMVE07426, NEMVE15505, NEMVE15504, NEMVE13271, NEMVE07421	CAPO300999
OG0000405	NEMVE13877	CAPO300636
OG0000412	NEMVE11551, NEMVE13684	CAPO306116
OG0000412	NEMVE12461, NEMVE13451, NEMVE16451, NEMVE06524, NEMVE00046	CAPO307159
OG0000413	NEMVE05971	CAPO302663
OG0000413	NEMVE18974	CAPO304678
OG0000416	NEMVE25332	CAPO305980
OG0000420	NEMVE15235, NEMVE22999, NEMVE13892, NEMVE00087	CAPO307162
OG0000422	NEMVE02846	CAPO301071
OG0000424	NEMVE13993, NEMVE20112, NEMVE07389, NEMVE14806, NEMVE19359, NEMVE13676	CAPO302770, CAPO306814
OG0000426	NEMVE05016	CAPO302714
OG0000426	NEMVE22427, NEMVE09058	CAPO306829
OG0000427	NEMVE19474	CAPO303813
OG0000429	NEMVE13930, NEMVE22433	CAPO300725
OG0000433	NEMVE25882, NEMVE19705	CAPO304838, CAPO302573
OG0000434	NEMVE23107, NEMVE01233, NEMVE09499, NEMVE05105	CAPO304471
OG0000435	NEMVE18620, NEMVE24017	CAPO308080
OG0000436	NEMVE06326, NEMVE22110	CAPO305799
OG0000442	NEMVE13826	CAPO302753, CAPO302633
OG0000444	NEMVE14919	CAPO305423
OG0000444	NEMVE13025, NEMVE11937, NEMVE06859	CAPO301239
OG0000445	NEMVE14650	CAPO301584
OG0000447	NEMVE16106	CAPO300691
OG0000450	NEMVE22423	CAPO307586, CAPO307446
OG0000453	NEMVE22906, NEMVE05448	CAPO306839
OG0000453	NEMVE19312, NEMVE24390, NEMVE19711	CAPO305025
OG0000454	NEMVE22643, NEMVE05253	CAPO301952
OG0000461	NEMVE16015, NEMVE02669	CAPO303645, CAPO304085, CAPO303531
OG0000461	NEMVE01791, NEMVE24592	CAPO307456
OG0000467	NEMVE22373, NEMVE14048	CAPO302214
OG0000468	NEMVE13616	CAPO302003, CAPO303185
OG0000469	NEMVE09305	CAPO306584, CAPO302277
OG0000469	NEMVE19141, NEMVE03029	CAPO302982
OG0000470	NEMVE21967	CAPO307521
OG0000474	NEMVE14315, NEMVE13253, NEMVE13254	CAPO307766
OG0000475	NEMVE24885, NEMVE01730, NEMVE06628	CAPO303779
OG0000476	NEMVE18829	CAPO306104
OG0000479	NEMVE08501	CAPO303549
OG0000479	NEMVE01571	CAPO304267
OG0000480	NEMVE15945, NEMVE13632, NEMVE03415	CAPO307201
OG0000481	NEMVE14291	CAPO300053
OG0000481	NEMVE08558, NEMVE19919	CAPO304800
OG0000481	NEMVE15147	CAPO304355
OG0000484	NEMVE01977	CAPO304750
OG0000485	NEMVE22788, NEMVE13734, NEMVE13331, NEMVE07747, NEMVE13855, NEMVE20860, NEMVE14808	CAPO303224, CAPO303026
OG0000488	NEMVE15686, NEMVE21984, NEMVE10971, NEMVE05317, NEMVE01783	CAPO305871
OG0000491	NEMVE02605	CAPO305506
OG0000494	NEMVE07299, NEMVE07527	CAPO300277
OG0000505	NEMVE08537	CAPO303790, CAPO306121
OG0000506	NEMVE19592, NEMVE13334, NEMVE02126	CAPO304587
OG0000508	NEMVE05943	CAPO303408, CAPO307945
OG0000508	NEMVE14310	CAPO302590
OG0000510	NEMVE20557, NEMVE22375	CAPO303128, CAPO305095
OG0000511	NEMVE20439, NEMVE02944, NEMVE10041, NEMVE02376	CAPO301322
OG0000514	NEMVE02331	CAPO307292
OG0000519	NEMVE08236, NEMVE08233, NEMVE20583	CAPO300709
OG0000520	NEMVE15120, NEMVE15641, NEMVE11102, NEMVE11257	CAPO304720
OG0000522	NEMVE16796, NEMVE20997, NEMVE17699	CAPO306204
OG0000528	NEMVE01984, NEMVE00929, NEMVE07136, NEMVE00032	CAPO300417
OG0000530	NEMVE06599	CAPO306919
OG0000532	NEMVE20756, NEMVE25016	CAPO301913
OG0000538	NEMVE04777	CAPO300039
OG0000548	NEMVE09030, NEMVE04844, NEMVE06148	CAPO307253, CAPO307370
OG0000549	NEMVE02972, NEMVE17041, NEMVE07249, NEMVE12537, NEMVE17324, NEMVE10001, NEMVE05564, NEMVE13118, NEMVE14115, NEMVE08371, NEMVE04872	CAPO305341
OG0000551	NEMVE08380, NEMVE08363	CAPO305700
OG0000552	NEMVE21688, NEMVE07685, NEMVE13052, NEMVE19772, NEMVE22528	CAPO302805
OG0000553	NEMVE17027, NEMVE01847, NEMVE02314	CAPO302261
OG0000554	NEMVE13310	CAPO300205
OG0000561	NEMVE17880	CAPO302123
