Orthogroup	NEMVE	YEAST
OG0000132	NEMVE06029, NEMVE23708, NEMVE01902, NEMVE00818, NEMVE00836, NEMVE00732, NEMVE00832, NEMVE00761, NEMVE00751, NEMVE00762, NEMVE00731, NEMVE15492, NEMVE01916	YEAST06016
OG0000137	NEMVE20817, NEMVE18407, NEMVE09537, NEMVE02104, NEMVE16617, NEMVE07756, NEMVE01665, NEMVE07752, NEMVE04562, NEMVE10746, NEMVE08414, NEMVE08549, NEMVE22935	YEAST01851, YEAST00637
OG0000142	NEMVE15266, NEMVE13476, NEMVE21939, NEMVE20784, NEMVE21838, NEMVE25141, NEMVE13728, NEMVE18434, NEMVE18435, NEMVE09154	YEAST02122
OG0000157	NEMVE22690	YEAST02851
OG0000158	NEMVE19203, NEMVE24928	YEAST05568
OG0000160	NEMVE02932, NEMVE13008, NEMVE08785, NEMVE13435, NEMVE07078, NEMVE05120, NEMVE14840, NEMVE11396, NEMVE00322, NEMVE10352, NEMVE08354, NEMVE16396	YEAST04194
OG0000175	NEMVE07460, NEMVE08062, NEMVE00450, NEMVE15112	YEAST00850, YEAST04327
OG0000179	NEMVE22700	YEAST01123, YEAST04430
OG0000179	NEMVE14969, NEMVE18776, NEMVE18777	YEAST02911, YEAST01281
OG0000179	NEMVE07348	YEAST04108, YEAST03346
OG0000181	NEMVE24124, NEMVE23021, NEMVE13840, NEMVE02915, NEMVE13666, NEMVE22609, NEMVE13944, NEMVE14380	YEAST00824, YEAST00771
OG0000186	NEMVE11331, NEMVE20616, NEMVE25738, NEMVE21024, NEMVE18157, NEMVE20659, NEMVE14351, NEMVE16713, NEMVE05104, NEMVE15453, NEMVE19006, NEMVE23359, NEMVE14805, NEMVE05720, NEMVE13342	YEAST00336
OG0000194	NEMVE11646, NEMVE08721	YEAST01410
OG0000195	NEMVE15098	YEAST03414
OG0000211	NEMVE13306, NEMVE20025, NEMVE13795, NEMVE08404, NEMVE10361, NEMVE00039, NEMVE08412, NEMVE13225, NEMVE22330, NEMVE12945, NEMVE10733	YEAST04964
OG0000221	NEMVE15584, NEMVE10984, NEMVE08618, NEMVE01044, NEMVE13312, NEMVE05724	YEAST05872
OG0000222	NEMVE13376, NEMVE24575, NEMVE01198, NEMVE01838	YEAST01460
OG0000225	NEMVE22802, NEMVE01960	YEAST06146
OG0000227	NEMVE04785, NEMVE09031, NEMVE06657, NEMVE07158, NEMVE07017, NEMVE03569, NEMVE03503	YEAST05815
OG0000228	NEMVE18402, NEMVE24491	YEAST04750
OG0000233	NEMVE19933, NEMVE23674, NEMVE17770, NEMVE07293, NEMVE22062, NEMVE09623, NEMVE15678, NEMVE12114, NEMVE15649, NEMVE22120, NEMVE04606, NEMVE25346, NEMVE17242, NEMVE09384, NEMVE18592, NEMVE14816, NEMVE05033, NEMVE16788, NEMVE03178, NEMVE08203, NEMVE11146, NEMVE22314, NEMVE14327, NEMVE05004, NEMVE15261, NEMVE18597, NEMVE10949, NEMVE08984, NEMVE03253, NEMVE09878, NEMVE03750, NEMVE04925, NEMVE09883, NEMVE09513, NEMVE03299, NEMVE10204, NEMVE18957, NEMVE03780, NEMVE09128, NEMVE03227, NEMVE13621, NEMVE07264, NEMVE23575, NEMVE06118, NEMVE17690, NEMVE23381, NEMVE07794, NEMVE19735, NEMVE01329, NEMVE06691, NEMVE09821	YEAST03726, YEAST03241, YEAST03242
OG0000238	NEMVE12144, NEMVE01679, NEMVE14698, NEMVE17148, NEMVE11381	YEAST06340, YEAST03834
OG0000240	NEMVE22712	YEAST04973
OG0000242	NEMVE05130, NEMVE00647, NEMVE02184, NEMVE02502, NEMVE13212, NEMVE11211, NEMVE20228, NEMVE20918, NEMVE10099	YEAST00734
OG0000246	NEMVE12875, NEMVE09525, NEMVE24900, NEMVE06591	YEAST01746, YEAST01747
OG0000250	NEMVE10328, NEMVE11858, NEMVE03349, NEMVE03839, NEMVE04035, NEMVE01028, NEMVE01357, NEMVE10051, NEMVE01219, NEMVE11185, NEMVE10375, NEMVE10373, NEMVE21573, NEMVE02434, NEMVE14142	YEAST04716
OG0000255	NEMVE08943, NEMVE09558, NEMVE09130, NEMVE09131, NEMVE10975, NEMVE13921, NEMVE24435, NEMVE13695	YEAST02822
OG0000256	NEMVE06790	YEAST00266
OG0000258	NEMVE02000, NEMVE06308, NEMVE03906, NEMVE09736, NEMVE25195	YEAST00118
OG0000260	NEMVE12050, NEMVE10877, NEMVE13152, NEMVE12262, NEMVE00014, NEMVE09437, NEMVE09435	YEAST04323
OG0000265	NEMVE22133	YEAST05674
OG0000265	NEMVE00125, NEMVE14956	YEAST03885, YEAST03714
OG0000272	NEMVE07513, NEMVE13586, NEMVE14612, NEMVE16771	YEAST02076, YEAST01066
OG0000274	NEMVE04059, NEMVE11669, NEMVE03222	YEAST02118, YEAST04573, YEAST01485
OG0000278	NEMVE19249	YEAST03847
OG0000278	NEMVE11833	YEAST03806
OG0000278	NEMVE13169	YEAST04060
OG0000284	NEMVE23786, NEMVE20213, NEMVE09228	YEAST05621
OG0000289	NEMVE22048, NEMVE20877	YEAST00645
OG0000305	NEMVE13195, NEMVE14852, NEMVE22819	YEAST04899
OG0000308	NEMVE06289, NEMVE04922, NEMVE08666, NEMVE02882, NEMVE07008, NEMVE14481, NEMVE22536	YEAST02548
OG0000310	NEMVE06421, NEMVE21881, NEMVE10980, NEMVE15268	YEAST02635
OG0000312	NEMVE09939, NEMVE17449, NEMVE14828, NEMVE02480	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102
OG0000313	NEMVE07772, NEMVE22122, NEMVE21924	YEAST05106
OG0000313	NEMVE10402, NEMVE08939	YEAST02950
OG0000315	NEMVE08087	YEAST01921, YEAST01710
OG0000315	NEMVE07786	YEAST04684
OG0000316	NEMVE24260, NEMVE25545, NEMVE24434, NEMVE16620, NEMVE14868, NEMVE08746, NEMVE01734, NEMVE19492	YEAST01673
OG0000317	NEMVE23254, NEMVE21983, NEMVE08727, NEMVE14298, NEMVE21499, NEMVE17462, NEMVE15696, NEMVE05454, NEMVE21780, NEMVE20889	YEAST01356
OG0000321	NEMVE09410, NEMVE02272, NEMVE06455, NEMVE07991, NEMVE09403, NEMVE01701, NEMVE09405	YEAST03264
OG0000323	NEMVE20491, NEMVE09087, NEMVE13071, NEMVE14851	YEAST02249
OG0000326	NEMVE13638	YEAST06056, YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102
OG0000327	NEMVE17335, NEMVE07831, NEMVE04692, NEMVE14295, NEMVE06814, NEMVE24780	YEAST01354
OG0000338	NEMVE23189, NEMVE10431	YEAST02967
OG0000338	NEMVE14053	YEAST04211
OG0000343	NEMVE03840, NEMVE10282, NEMVE10285	YEAST03024, YEAST02736
OG0000345	NEMVE05810, NEMVE00031, NEMVE06094, NEMVE05822, NEMVE13377, NEMVE23409	YEAST01884
OG0000352	NEMVE06598, NEMVE05333, NEMVE08174, NEMVE09599	YEAST04069
OG0000357	NEMVE24307, NEMVE08179, NEMVE21183	YEAST01925
OG0000359	NEMVE05129, NEMVE12401	YEAST02489
OG0000363	NEMVE13781, NEMVE02006, NEMVE12633, NEMVE21531, NEMVE08135, NEMVE17010	YEAST04081, YEAST05870
OG0000365	NEMVE05713, NEMVE16499, NEMVE16500, NEMVE13296, NEMVE23348, NEMVE15875, NEMVE15874, NEMVE19775, NEMVE15125, NEMVE24695, NEMVE20905	YEAST05831
OG0000367	NEMVE15237	YEAST02141, YEAST03746, YEAST03210
OG0000372	NEMVE15104, NEMVE17540, NEMVE21923, NEMVE13274, NEMVE13664, NEMVE18040	YEAST05988
OG0000373	NEMVE23724	YEAST02023
OG0000373	NEMVE07978	YEAST04495, YEAST01417, YEAST05964
OG0000380	NEMVE06348, NEMVE17453, NEMVE17204	YEAST01047
OG0000385	NEMVE22772, NEMVE04943, NEMVE19068, NEMVE04910	YEAST03496
OG0000393	NEMVE10034, NEMVE23058	YEAST04072, YEAST04071
OG0000393	NEMVE10184	YEAST01302
OG0000397	NEMVE17031, NEMVE01578	YEAST05080
OG0000399	NEMVE08302, NEMVE02783, NEMVE21873, NEMVE03144, NEMVE13243, NEMVE13654	YEAST02160
OG0000400	NEMVE05371, NEMVE02413, NEMVE03765, NEMVE00138, NEMVE10669, NEMVE07515, NEMVE00077, NEMVE06853, NEMVE24198	YEAST05911
OG0000402	NEMVE01259, NEMVE08796, NEMVE12680, NEMVE24242, NEMVE07426, NEMVE15505, NEMVE15504, NEMVE13271, NEMVE07421	YEAST01657, YEAST01929
OG0000405	NEMVE13877	YEAST06055, YEAST00411
OG0000412	NEMVE12461, NEMVE13451, NEMVE16451, NEMVE06524, NEMVE00046	YEAST04469
OG0000413	NEMVE05971	YEAST04905, YEAST05340
OG0000413	NEMVE18974	YEAST02838
OG0000419	NEMVE04862	YEAST05989
OG0000420	NEMVE15235, NEMVE22999, NEMVE13892, NEMVE00087	YEAST03886
OG0000424	NEMVE13993, NEMVE20112, NEMVE07389, NEMVE14806, NEMVE19359, NEMVE13676	YEAST03563
OG0000426	NEMVE05016	YEAST03440
OG0000426	NEMVE22427	YEAST03848, YEAST01121
OG0000427	NEMVE19474, NEMVE10410, NEMVE10716	YEAST02655, YEAST02439
OG0000429	NEMVE13930, NEMVE22433	YEAST02285
OG0000433	NEMVE05274, NEMVE25882, NEMVE19705	YEAST06177, YEAST00117
OG0000442	NEMVE15081, NEMVE00053, NEMVE13826, NEMVE15124	YEAST05012
OG0000444	NEMVE14919, NEMVE13025, NEMVE11937, NEMVE06859	YEAST01115, YEAST04019
OG0000445	NEMVE14650	YEAST03068
OG0000450	NEMVE22423	YEAST04709, YEAST05909
OG0000461	NEMVE01791, NEMVE24592	YEAST00120
OG0000467	NEMVE22373, NEMVE14048	YEAST03162
OG0000468	NEMVE13616	YEAST04372
OG0000469	NEMVE09305	YEAST02179, YEAST05440
OG0000469	NEMVE19141, NEMVE03029	YEAST02333
OG0000469	NEMVE11884, NEMVE14640	YEAST00863
OG0000474	NEMVE14315, NEMVE13253, NEMVE13254, NEMVE07691, NEMVE14866, NEMVE22564, NEMVE20392, NEMVE06375	YEAST02384
OG0000476	NEMVE26012, NEMVE14062, NEMVE18829	YEAST03038
OG0000479	NEMVE08501, NEMVE01571	YEAST04139
OG0000480	NEMVE15945, NEMVE13632, NEMVE03415	YEAST05750
OG0000481	NEMVE14291	YEAST01040
OG0000481	NEMVE08558, NEMVE19919	YEAST00916
OG0000481	NEMVE15147	YEAST00827, YEAST00774
OG0000484	NEMVE01977	YEAST05824
OG0000487	NEMVE15441, NEMVE15284, NEMVE17178, NEMVE15364, NEMVE18053, NEMVE16703, NEMVE16612	YEAST04968
OG0000488	NEMVE15686, NEMVE21984, NEMVE10971, NEMVE05317, NEMVE01783, NEMVE08013	YEAST01414
OG0000490	NEMVE10885, NEMVE01389, NEMVE17356	YEAST04297, YEAST00894
OG0000505	NEMVE01165, NEMVE08537	YEAST03067
OG0000508	NEMVE02382, NEMVE05943, NEMVE14310, NEMVE00947	YEAST04626
OG0000510	NEMVE20557, NEMVE22375	YEAST04569, YEAST05730
OG0000515	NEMVE15353, NEMVE06339, NEMVE00211	YEAST04784, YEAST05876
OG0000519	NEMVE08236, NEMVE08233, NEMVE20583	YEAST04594, YEAST03616
OG0000520	NEMVE02355, NEMVE06381, NEMVE15120, NEMVE15641, NEMVE11102, NEMVE11257	YEAST02979
OG0000523	NEMVE12972	YEAST04693, YEAST04692
OG0000523	NEMVE14414, NEMVE12314, NEMVE14490, NEMVE25107	YEAST01952, YEAST05838, YEAST06082
OG0000529	NEMVE16403, NEMVE03332	YEAST05790, YEAST00048
OG0000538	NEMVE04777	YEAST00499
OG0000549	NEMVE02972, NEMVE17041, NEMVE07249, NEMVE12537, NEMVE17324, NEMVE10001, NEMVE05564, NEMVE13118, NEMVE14115, NEMVE08371, NEMVE04872	YEAST06280, YEAST02610, YEAST05060
OG0000552	NEMVE21688, NEMVE07685, NEMVE13052, NEMVE19772, NEMVE22528	YEAST05717
OG0000561	NEMVE17880, NEMVE13983, NEMVE07923	YEAST06202, YEAST00331
OG0000562	NEMVE19147, NEMVE24693, NEMVE02828, NEMVE00965, NEMVE00354, NEMVE11153	YEAST00314
OG0000563	NEMVE22560	YEAST01406
OG0000566	NEMVE01452, NEMVE21317, NEMVE08143, NEMVE25701, NEMVE12453	YEAST05789, YEAST00049
OG0000573	NEMVE07663, NEMVE24870	YEAST05675
OG0000576	NEMVE22593	YEAST00470, YEAST00193
OG0000578	NEMVE11292, NEMVE25126	YEAST01208, YEAST00759
OG0000579	NEMVE14544, NEMVE13622, NEMVE13623	YEAST02484
OG0000582	NEMVE25170	YEAST03615
OG0000587	NEMVE06172	YEAST04063
OG0000587	NEMVE07185	YEAST03372
OG0000588	NEMVE17749, NEMVE01142, NEMVE19423, NEMVE22311, NEMVE14453, NEMVE14794	YEAST05197
OG0000590	NEMVE13093, NEMVE24419	YEAST05110, YEAST05552, YEAST03727
OG0000592	NEMVE07461, NEMVE13635	YEAST00388
OG0000597	NEMVE01043, NEMVE17081	YEAST04330
OG0000609	NEMVE21819, NEMVE20971, NEMVE21996	YEAST05180
OG0000612	NEMVE12444, NEMVE10606, NEMVE19230	YEAST02370
OG0000612	NEMVE05951	YEAST03629
OG0000613	NEMVE10324, NEMVE22948, NEMVE10497, NEMVE12410, NEMVE07547, NEMVE08041, NEMVE06754, NEMVE10305, NEMVE24275, NEMVE00459, NEMVE10326	YEAST01072
OG0000623	NEMVE01534	YEAST02411
OG0000623	NEMVE08660	YEAST05090
OG0000627	NEMVE26024, NEMVE23606, NEMVE06184	YEAST02116, YEAST03957
OG0000639	NEMVE13335, NEMVE13125, NEMVE04888	YEAST02015
OG0000642	NEMVE06951, NEMVE04073, NEMVE20533, NEMVE01613, NEMVE08879	YEAST00618
OG0000645	NEMVE09157	YEAST05140
OG0000645	NEMVE23952	YEAST04743
OG0000647	NEMVE14504, NEMVE21056	YEAST04534
OG0000648	NEMVE15084, NEMVE22274	YEAST04178, YEAST05641
OG0000657	NEMVE20682, NEMVE25706, NEMVE01678, NEMVE25705, NEMVE20473, NEMVE12346, NEMVE25351, NEMVE21856	YEAST03846
OG0000660	NEMVE09574, NEMVE22331	YEAST05150, YEAST01587
OG0000662	NEMVE13299, NEMVE13159, NEMVE01041	YEAST05937
OG0000663	NEMVE12167, NEMVE24135, NEMVE22597, NEMVE13590	YEAST02675, YEAST03294
OG0000665	NEMVE24332	YEAST02105
OG0000672	NEMVE22550, NEMVE12239	YEAST03771
OG0000672	NEMVE22511	YEAST00984
OG0000676	NEMVE24025	YEAST01503
OG0000676	NEMVE10858, NEMVE20237, NEMVE10856	YEAST02962
OG0000683	NEMVE21952, NEMVE09341	YEAST03152, YEAST03537, YEAST05938
OG0000690	NEMVE04578	YEAST04874
OG0000690	NEMVE25619	YEAST02296
OG0000692	NEMVE16262, NEMVE25899, NEMVE06218, NEMVE05252, NEMVE06220, NEMVE20255	YEAST01969
OG0000692	NEMVE18773, NEMVE10690, NEMVE10687, NEMVE25957	YEAST03487
OG0000694	NEMVE18564	YEAST05978
OG0000699	NEMVE13812, NEMVE21875, NEMVE05953, NEMVE06767, NEMVE22384, NEMVE24758	YEAST05706
OG0000701	NEMVE21835	YEAST02239, YEAST02223
OG0000703	NEMVE15172	YEAST05314
OG0000708	NEMVE25462, NEMVE00535, NEMVE24967	YEAST05997
OG0000709	NEMVE22208	YEAST00057
OG0000724	NEMVE05669	YEAST02013
OG0000732	NEMVE16239, NEMVE22346	YEAST04978
OG0000733	NEMVE13174, NEMVE19750, NEMVE00072	YEAST05474
OG0000735	NEMVE14467	YEAST05945
OG0000737	NEMVE10658	YEAST05188
OG0000744	NEMVE09152	YEAST05951
OG0000745	NEMVE09518, NEMVE18143	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102
OG0000752	NEMVE04535, NEMVE14796, NEMVE20340, NEMVE15527	YEAST01432, YEAST04483
OG0000753	NEMVE09279, NEMVE20008, NEMVE09763, NEMVE18346	YEAST01034, YEAST02037
OG0000757	NEMVE25201, NEMVE05970	YEAST01489
OG0000758	NEMVE16740, NEMVE10014, NEMVE20484, NEMVE10012, NEMVE19854	YEAST01504
OG0000759	NEMVE07096, NEMVE07127, NEMVE15354	YEAST02878, YEAST05681
OG0000768	NEMVE24837, NEMVE20124	YEAST02560, YEAST04269
OG0000772	NEMVE03979, NEMVE14663, NEMVE13205, NEMVE10521, NEMVE10515, NEMVE14130, NEMVE06923	YEAST04929
OG0000776	NEMVE25221, NEMVE11470, NEMVE23261	YEAST04571, YEAST00195, YEAST00312
OG0000777	NEMVE01908, NEMVE05532, NEMVE21910, NEMVE15143	YEAST06297, YEAST02627
OG0000779	NEMVE24334, NEMVE02313	YEAST03812
OG0000782	NEMVE10772	YEAST01393, YEAST05616
OG0000791	NEMVE13487	YEAST02375
OG0000794	NEMVE13875	YEAST04627
OG0000800	NEMVE14672, NEMVE19724, NEMVE21859, NEMVE14222, NEMVE11273, NEMVE13140, NEMVE06468	YEAST03636
OG0000809	NEMVE22186, NEMVE08335, NEMVE12321	YEAST01998
OG0000817	NEMVE14686, NEMVE01689, NEMVE21825	YEAST00389
OG0000817	NEMVE14311	YEAST06112
OG0000824	NEMVE05752	YEAST01319, YEAST02883
OG0000828	NEMVE13102, NEMVE13594	YEAST00945, YEAST05476, YEAST00075
OG0000828	NEMVE15094	YEAST02290
OG0000837	NEMVE25541	YEAST06222
OG0000841	NEMVE05492	YEAST02416
OG0000847	NEMVE17291, NEMVE07778	YEAST02881, YEAST03544, YEAST06198
OG0000847	NEMVE06005, NEMVE08888	YEAST02530, YEAST00209
OG0000849	NEMVE14809	YEAST04475
OG0000850	NEMVE15099, NEMVE19061, NEMVE12252, NEMVE21917	YEAST04287
OG0000852	NEMVE25782, NEMVE07789, NEMVE20882	YEAST01266
OG0000854	NEMVE02919, NEMVE09672, NEMVE06236, NEMVE07456	YEAST00248
OG0000857	NEMVE18201, NEMVE05480	YEAST00309
OG0000868	NEMVE12988, NEMVE25015, NEMVE26025, NEMVE09127, NEMVE07048, NEMVE05531	YEAST06157
OG0000871	NEMVE16871, NEMVE08823, NEMVE14071	YEAST03857
OG0000872	NEMVE14190	YEAST03222, YEAST03741
OG0000875	NEMVE12865, NEMVE19619, NEMVE14079	YEAST00077
OG0000876	NEMVE02940, NEMVE11949, NEMVE11948	YEAST05556
OG0000879	NEMVE13129	YEAST06123
OG0000888	NEMVE10813, NEMVE11848	YEAST00288
OG0000889	NEMVE22565, NEMVE14419	YEAST00175
OG0000894	NEMVE23274, NEMVE14617	YEAST03763
OG0000896	NEMVE21907	YEAST02476
OG0000896	NEMVE10977	YEAST04923
OG0000898	NEMVE14546, NEMVE21727	YEAST06255, YEAST03431
OG0000905	NEMVE24633	YEAST00599
OG0000907	NEMVE17906, NEMVE00986	YEAST02193
OG0000913	NEMVE23286, NEMVE05585, NEMVE00499, NEMVE04717	YEAST03557, YEAST05101
OG0000914	NEMVE08606	YEAST04745
OG0000921	NEMVE04805, NEMVE19737, NEMVE09442, NEMVE12434	YEAST02526
OG0000925	NEMVE21937, NEMVE05629, NEMVE00068, NEMVE22442, NEMVE00338	YEAST05667, YEAST06025
OG0000932	NEMVE15050, NEMVE02393, NEMVE20604	YEAST03525
OG0000933	NEMVE25450, NEMVE09603, NEMVE12353	YEAST06306
OG0000934	NEMVE09369	YEAST02582, YEAST06252
OG0000934	NEMVE07036	YEAST05040
OG0000935	NEMVE24478, NEMVE06639	YEAST02843
OG0000943	NEMVE14119, NEMVE15785, NEMVE08924	YEAST03805
OG0000944	NEMVE07708	YEAST04878
OG0000954	NEMVE06460, NEMVE05247, NEMVE12295	YEAST05503, YEAST01249
OG0000955	NEMVE14901	YEAST00837
OG0000955	NEMVE08350	YEAST04295
OG0000963	NEMVE21538, NEMVE06216, NEMVE03242	YEAST03685, YEAST00482, YEAST01749
OG0000964	NEMVE19256	YEAST04606
OG0000965	NEMVE10501	YEAST02552
OG0000965	NEMVE02072	YEAST02050
OG0000967	NEMVE05572, NEMVE11722, NEMVE10506	YEAST05075
OG0000970	NEMVE08020, NEMVE08789	YEAST04028
OG0000982	NEMVE07619, NEMVE11958	YEAST01182
OG0000984	NEMVE21717, NEMVE12738, NEMVE25727	YEAST01493, YEAST00575
OG0000986	NEMVE22205, NEMVE22638, NEMVE14512, NEMVE04242	YEAST01481, YEAST04073
OG0000987	NEMVE05580	YEAST04734, YEAST02734
OG0000994	NEMVE24464, NEMVE05403	YEAST02360
OG0000996	NEMVE06175	YEAST00033
