Orthogroup	NEMVE	OWEFU
OG0000003	NEMVE03021	OFUSG10601.1.p1, OFUSG12883.1.p1
OG0000003	NEMVE09872	OFUSG13877.1.p1, OFUSG13877.2.p1
OG0000003	NEMVE03485, NEMVE03052, NEMVE05193	OFUSG04319.1.p1
OG0000003	NEMVE02981	OFUSG18791.1.p1
OG0000003	NEMVE05235	OFUSG04335.1.p1, OFUSG23618.1.p1
OG0000003	NEMVE12943, NEMVE02796	OFUSG03893.1.p1
OG0000003	NEMVE07480, NEMVE02898	OFUSG08977.2.p1, OFUSG08977.1.p1
OG0000003	NEMVE11653	OFUSG21073.1.p1
OG0000003	NEMVE00057, NEMVE03335	OFUSG02265.1.p1
OG0000003	NEMVE03053	OFUSG04605.1.p1
OG0000003	NEMVE11459, NEMVE11042	OFUSG23317.1.p1
OG0000004	NEMVE08317	OFUSG24712.2.p1, OFUSG24712.1.p1, OFUSG20755.1.p1, OFUSG20753.1.p1, OFUSG20754.1.p1, OFUSG14752.1.p1
OG0000004	NEMVE05321, NEMVE08640, NEMVE06418	OFUSG24397.1.p1, OFUSG24469.1.p1, OFUSG24469.2.p1, OFUSG24395.1.p1, OFUSG24554.2.p1, OFUSG24554.1.p1, OFUSG24396.1.p1, OFUSG24470.1.p1
OG0000004	NEMVE12342, NEMVE08794, NEMVE21918	OFUSG09262.1.p1, OFUSG02194.1.p1, OFUSG21058.1.p1
OG0000005	NEMVE05730	OFUSG14951.1.p1, OFUSG10608.1.p1, OFUSG04131.1.p1, OFUSG08841.1.p1, OFUSG17326.1.p1, OFUSG20156.1.p1, OFUSG19966.1.p1, OFUSG09231.1.p1, OFUSG09655.1.p1, OFUSG26276.1.p1
OG0000005	NEMVE09187, NEMVE13258, NEMVE24003, NEMVE07208, NEMVE05942, NEMVE13927, NEMVE25929, NEMVE09160, NEMVE23451	OFUSG09350.1.p1, OFUSG16869.1.p1
OG0000006	NEMVE12700, NEMVE08468	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1
OG0000006	NEMVE07635	OFUSG26274.1.p1
OG0000006	NEMVE06918	OFUSG03891.1.p1
OG0000006	NEMVE10906, NEMVE09176	OFUSG14428.1.p1
OG0000006	NEMVE21901	OFUSG07929.1.p1
OG0000006	NEMVE02590	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1
OG0000006	NEMVE03392	OFUSG10782.1.p1
OG0000006	NEMVE08216	OFUSG14810.1.p1
OG0000006	NEMVE16957	OFUSG09474.1.p1, OFUSG09474.2.p1
OG0000006	NEMVE13593	OFUSG08660.1.p1
OG0000006	NEMVE02351	OFUSG21061.1.p1, OFUSG18090.1.p1
OG0000006	NEMVE14647	OFUSG08659.1.p1
OG0000006	NEMVE04712	OFUSG18494.1.p1, OFUSG18494.2.p1
OG0000006	NEMVE13538	OFUSG11740.1.p1
OG0000006	NEMVE09477, NEMVE18497, NEMVE09475	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1
OG0000006	NEMVE08464	OFUSG11470.1.p1
OG0000006	NEMVE22273, NEMVE03946	OFUSG05485.1.p1
OG0000007	NEMVE14764	OFUSG09476.1.p1
OG0000007	NEMVE13570	OFUSG21527.1.p1
OG0000007	NEMVE08145	OFUSG09642.1.p1, OFUSG09693.1.p1
OG0000007	NEMVE06210	OFUSG13716.1.p1
OG0000007	NEMVE03816	OFUSG23682.1.p1
OG0000007	NEMVE16064	OFUSG04867.2.p1, OFUSG04867.1.p1, OFUSG23111.1.p1, OFUSG04768.1.p1
OG0000007	NEMVE02349	OFUSG09682.1.p1, OFUSG09683.1.p1
OG0000007	NEMVE09853	OFUSG19661.1.p1
OG0000007	NEMVE09056	OFUSG10014.1.p1
OG0000007	NEMVE09467	OFUSG25429.1.p1
OG0000007	NEMVE03824	OFUSG21828.2.p1, OFUSG21828.1.p1
OG0000007	NEMVE03714	OFUSG10613.1.p1
OG0000007	NEMVE09289	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1
OG0000007	NEMVE05677	OFUSG25241.1.p1
OG0000008	NEMVE06079, NEMVE05558	OFUSG01560.1.p1
OG0000008	NEMVE10754	OFUSG22532.1.p1, OFUSG22531.1.p1, OFUSG22625.1.p1, OFUSG22623.1.p1, OFUSG20244.1.p1, OFUSG11838.1.p1, OFUSG11837.1.p1, OFUSG02607.1.p1, OFUSG06031.1.p1, OFUSG02120.1.p1, OFUSG12365.1.p1, OFUSG06314.1.p1, OFUSG16783.1.p1, OFUSG22288.1.p1
OG0000008	NEMVE08509, NEMVE08519, NEMVE09930	OFUSG20435.1.p1
OG0000008	NEMVE07817, NEMVE12766	OFUSG01705.1.p1, OFUSG01704.1.p1, OFUSG01067.1.p1
OG0000008	NEMVE04915	OFUSG06064.2.p1, OFUSG06064.1.p1
OG0000008	NEMVE19301, NEMVE04856, NEMVE05897	OFUSG05918.1.p1
OG0000009	NEMVE20384	OFUSG23060.1.p1
OG0000009	NEMVE09925, NEMVE06876	OFUSG25126.1.p1
OG0000010	NEMVE11404, NEMVE16450, NEMVE09797, NEMVE11588, NEMVE01697, NEMVE01738, NEMVE21902, NEMVE17711, NEMVE08397, NEMVE01167, NEMVE15739, NEMVE05529, NEMVE01767, NEMVE07660, NEMVE00202, NEMVE10296, NEMVE05146, NEMVE07596, NEMVE01178, NEMVE01192, NEMVE09791	OFUSG26732.1.p1, OFUSG03629.1.p1, OFUSG16394.1.p1, OFUSG18342.1.p1, OFUSG21206.1.p1, OFUSG23433.1.p1
OG0000010	NEMVE02447, NEMVE13495	OFUSG05937.1.p1
OG0000010	NEMVE08097, NEMVE05663, NEMVE09594, NEMVE01139, NEMVE10384, NEMVE08328, NEMVE12787, NEMVE21978, NEMVE15512, NEMVE00299, NEMVE10065, NEMVE10064, NEMVE11692, NEMVE10063	OFUSG09897.1.p1, OFUSG08323.1.p1, OFUSG09247.1.p1
OG0000010	NEMVE02242, NEMVE11743, NEMVE12341, NEMVE07633, NEMVE13907, NEMVE21895, NEMVE07143, NEMVE08133, NEMVE19437, NEMVE19436, NEMVE21842, NEMVE09816, NEMVE06238, NEMVE08032, NEMVE05308, NEMVE21754, NEMVE07621, NEMVE09784, NEMVE21928, NEMVE07022, NEMVE00173, NEMVE08008	OFUSG10776.1.p1
OG0000010	NEMVE05383	OFUSG08801.1.p1, OFUSG04629.1.p1, OFUSG16371.1.p1, OFUSG03904.1.p1
OG0000010	NEMVE05306	OFUSG01743.1.p1
OG0000012	NEMVE14003, NEMVE10925, NEMVE14934	OFUSG17546.1.p1, OFUSG22951.1.p1
OG0000012	NEMVE09268, NEMVE05547	OFUSG20656.1.p1, OFUSG20658.1.p1, OFUSG06519.1.p1, OFUSG06521.1.p1, OFUSG05812.1.p1, OFUSG06520.1.p1, OFUSG20570.1.p1, OFUSG20324.1.p1, OFUSG20571.1.p1, OFUSG10133.2.p1, OFUSG07223.1.p1, OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1
OG0000012	NEMVE01141, NEMVE23855, NEMVE18011, NEMVE02074	OFUSG04462.1.p1, OFUSG04460.1.p1, OFUSG22117.1.p1
OG0000013	NEMVE13893, NEMVE05875, NEMVE01242, NEMVE11444, NEMVE23684, NEMVE09508, NEMVE09506, NEMVE08890, NEMVE08262, NEMVE00977	OFUSG01707.1.p1, OFUSG01708.1.p1, OFUSG22026.1.p1, OFUSG22025.1.p1, OFUSG17332.1.p1, OFUSG12573.1.p1, OFUSG09407.1.p1, OFUSG09404.1.p1, OFUSG09402.1.p1, OFUSG09408.1.p1, OFUSG09406.1.p1, OFUSG09400.1.p1, OFUSG19545.1.p1, OFUSG21789.1.p1, OFUSG21797.1.p1, OFUSG21790.1.p1, OFUSG21798.1.p1, OFUSG19408.1.p1
OG0000014	NEMVE05683, NEMVE23345, NEMVE10641, NEMVE03069, NEMVE02050, NEMVE14397, NEMVE01595, NEMVE16229, NEMVE09650, NEMVE18645, NEMVE16940, NEMVE17193	OFUSG01558.1.p1
OG0000014	NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819	OFUSG00805.1.p1
OG0000015	NEMVE01032, NEMVE12485, NEMVE00817	OFUSG02249.1.p1
OG0000015	NEMVE05324, NEMVE02429, NEMVE04966, NEMVE18055, NEMVE18768, NEMVE20100, NEMVE21922, NEMVE03454, NEMVE06696, NEMVE01531, NEMVE16715, NEMVE01580, NEMVE06889, NEMVE01713, NEMVE06874, NEMVE07446, NEMVE02999, NEMVE07669, NEMVE00606, NEMVE10760, NEMVE10763, NEMVE03039, NEMVE11855, NEMVE07220	OFUSG03122.3.p1, OFUSG03122.2.p1, OFUSG03122.1.p1
OG0000015	NEMVE09590, NEMVE09832, NEMVE01566	OFUSG03121.2.p1, OFUSG03121.1.p1
OG0000015	NEMVE03157, NEMVE03314, NEMVE10118, NEMVE08503	OFUSG21186.1.p1
OG0000016	NEMVE12514, NEMVE12424	OFUSG06389.1.p1
OG0000016	NEMVE10959	OFUSG16773.1.p1
OG0000016	NEMVE06758	OFUSG14051.1.p1
OG0000016	NEMVE18985	OFUSG06386.1.p1, OFUSG05926.1.p1
OG0000016	NEMVE20577	OFUSG06388.1.p1, OFUSG18492.1.p1
OG0000016	NEMVE05675	OFUSG11848.1.p1
OG0000016	NEMVE01836	OFUSG06227.1.p1
OG0000018	NEMVE12742, NEMVE12416	OFUSG14111.1.p3
OG0000019	NEMVE06549	OFUSG14039.1.p1, OFUSG23776.1.p1
OG0000019	NEMVE19477, NEMVE18845, NEMVE09968, NEMVE08427, NEMVE18382, NEMVE10945, NEMVE18794, NEMVE16950	OFUSG08823.1.p1
OG0000019	NEMVE10214	OFUSG04421.1.p1, OFUSG13833.1.p1, OFUSG25829.1.p1, OFUSG14065.1.p1, OFUSG25830.1.p1, OFUSG14040.1.p1
OG0000019	NEMVE10489	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1, OFUSG19407.1.p1, OFUSG06826.1.p1
OG0000020	NEMVE13317, NEMVE16589, NEMVE10183, NEMVE17621, NEMVE03465, NEMVE14976, NEMVE21956, NEMVE21862	OFUSG13406.1.p1, OFUSG14744.1.p1, OFUSG12274.1.p1, OFUSG12274.2.p1
OG0000021	NEMVE17642, NEMVE17644, NEMVE21888	OFUSG26914.2.p1, OFUSG26914.3.p1, OFUSG26914.1.p1, OFUSG24044.1.p1, OFUSG24230.1.p1, OFUSG15132.1.p1, OFUSG15132.2.p1
OG0000021	NEMVE11953	OFUSG13532.1.p1, OFUSG13532.2.p1
OG0000021	NEMVE04837	OFUSG03542.1.p1, OFUSG03403.1.p1, OFUSG03403.2.p1, OFUSG16515.1.p1, OFUSG16515.2.p1, OFUSG16222.2.p1, OFUSG16222.1.p1, OFUSG13726.2.p1, OFUSG13726.1.p1, OFUSG22547.2.p1, OFUSG22547.1.p1, OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1, OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1
OG0000023	NEMVE05404, NEMVE18646, NEMVE00827, NEMVE11575, NEMVE10787, NEMVE10449	OFUSG26468.1.p1
OG0000023	NEMVE01882	OFUSG06069.1.p1
OG0000023	NEMVE02033, NEMVE05058, NEMVE00878	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1
OG0000023	NEMVE13647	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1
OG0000023	NEMVE01164, NEMVE04601	OFUSG11068.1.p1, OFUSG06762.1.p1
OG0000023	NEMVE15478, NEMVE15477, NEMVE23023, NEMVE08487, NEMVE18628, NEMVE01195, NEMVE03514, NEMVE05012, NEMVE13501, NEMVE11593, NEMVE05686, NEMVE11655, NEMVE11747, NEMVE12580	OFUSG02690.3.p1, OFUSG02690.2.p1, OFUSG02690.1.p1, OFUSG10023.2.p1, OFUSG10023.1.p1, OFUSG10022.3.p1, OFUSG10022.4.p1, OFUSG10022.1.p1, OFUSG10022.2.p1, OFUSG13724.2.p1, OFUSG13724.1.p1
OG0000026	NEMVE05956, NEMVE12539, NEMVE05975, NEMVE07911, NEMVE12540	OFUSG04596.1.p1
OG0000026	NEMVE14231, NEMVE02456, NEMVE19119, NEMVE15036, NEMVE11860, NEMVE10138, NEMVE10137, NEMVE10629, NEMVE11596, NEMVE02542, NEMVE02515, NEMVE03115, NEMVE17182, NEMVE10477, NEMVE10141, NEMVE11809, NEMVE11355, NEMVE11214, NEMVE10424, NEMVE10535, NEMVE10632, NEMVE10426, NEMVE10474, NEMVE10479, NEMVE15004, NEMVE00616, NEMVE01360, NEMVE10139, NEMVE00722, NEMVE10481, NEMVE00708, NEMVE00807	OFUSG10470.1.p1, OFUSG09501.1.p1
OG0000026	NEMVE06202	OFUSG19536.1.p1
OG0000026	NEMVE11230, NEMVE18197, NEMVE11570	OFUSG24598.1.p1
OG0000026	NEMVE24164, NEMVE07469	OFUSG26427.1.p1
OG0000026	NEMVE07551	OFUSG06547.2.p1, OFUSG06547.1.p1
OG0000027	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706	OFUSG04957.1.p1, OFUSG04958.1.p1, OFUSG08928.1.p1, OFUSG23750.1.p1, OFUSG03824.2.p1, OFUSG19520.1.p1, OFUSG03824.1.p1, OFUSG07714.1.p1, OFUSG07714.2.p1, OFUSG21523.1.p1, OFUSG02454.1.p1, OFUSG18692.1.p1, OFUSG08461.1.p1, OFUSG07492.1.p1, OFUSG07492.3.p1, OFUSG07492.2.p1, OFUSG21969.1.p1, OFUSG21968.1.p1, OFUSG13255.1.p1, OFUSG26650.1.p1, OFUSG21901.2.p1, OFUSG21901.1.p1
OG0000028	NEMVE07358, NEMVE05350, NEMVE02019	OFUSG21057.1.p1, OFUSG21057.2.p1
OG0000028	NEMVE06026, NEMVE05984	OFUSG16442.1.p1, OFUSG16442.2.p1
OG0000028	NEMVE03003, NEMVE23660, NEMVE03469, NEMVE05286, NEMVE04640, NEMVE08022, NEMVE16966, NEMVE16972, NEMVE16973, NEMVE02982, NEMVE08442, NEMVE03100, NEMVE06698, NEMVE03432, NEMVE18759, NEMVE09822, NEMVE00992, NEMVE03007, NEMVE02052, NEMVE16048, NEMVE08155, NEMVE16956, NEMVE02432, NEMVE01030, NEMVE02426	OFUSG12432.2.p1, OFUSG12432.1.p1, OFUSG25286.1.p1, OFUSG11555.1.p1
OG0000029	NEMVE03602	OFUSG26611.2.p1, OFUSG26611.1.p1
OG0000029	NEMVE10355, NEMVE09829, NEMVE10357	OFUSG21155.1.p1
OG0000030	NEMVE14217, NEMVE02377, NEMVE09974	OFUSG17928.1.p1, OFUSG18203.1.p1, OFUSG10901.1.p1, OFUSG10241.1.p1
OG0000030	NEMVE02213, NEMVE02794	OFUSG17612.1.p1, OFUSG12869.1.p1, OFUSG05001.1.p1
OG0000030	NEMVE06265	OFUSG14128.1.p1, OFUSG14128.2.p1
OG0000030	NEMVE06266, NEMVE00220	OFUSG15638.1.p1, OFUSG15630.1.p1, OFUSG05089.1.p1, OFUSG05089.2.p1
OG0000031	NEMVE00311, NEMVE00632, NEMVE02249	OFUSG03747.1.p1, OFUSG01964.1.p1
OG0000031	NEMVE01854	OFUSG03902.1.p1, OFUSG03902.2.p1
OG0000031	NEMVE06981	OFUSG16479.2.p1, OFUSG16479.1.p1
OG0000031	NEMVE01806	OFUSG03938.1.p1
OG0000031	NEMVE01412	OFUSG09754.1.p1
OG0000031	NEMVE02343	OFUSG12627.1.p1
OG0000031	NEMVE07820	OFUSG02210.1.p1
OG0000031	NEMVE12067	OFUSG17671.1.p1
OG0000031	NEMVE22486	OFUSG16797.1.p1
OG0000034	NEMVE07311, NEMVE07285	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1
OG0000034	NEMVE10927	OFUSG01833.2.p1, OFUSG01833.1.p1
OG0000034	NEMVE10961, NEMVE24294	OFUSG08780.1.p1
OG0000034	NEMVE06675, NEMVE11922, NEMVE10845	OFUSG00313.1.p1
OG0000034	NEMVE05344	OFUSG10792.1.p1, OFUSG10792.2.p1
OG0000034	NEMVE06831	OFUSG08088.1.p1
OG0000034	NEMVE16104, NEMVE09479, NEMVE10924	OFUSG09735.1.p1
OG0000035	NEMVE23841	OFUSG16461.1.p1
OG0000035	NEMVE22676	OFUSG09470.1.p1
OG0000035	NEMVE22226, NEMVE05357, NEMVE02194	OFUSG07007.1.p1, OFUSG07007.2.p1
OG0000035	NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233	OFUSG07851.1.p1
OG0000036	NEMVE07419, NEMVE07417	OFUSG16630.1.p1, OFUSG16630.2.p1, OFUSG14389.1.p1, OFUSG16691.1.p1
OG0000036	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372	OFUSG05272.1.p1
OG0000037	NEMVE00865, NEMVE01113	OFUSG11734.1.p1, OFUSG11735.1.p1, OFUSG11736.1.p1, OFUSG25144.1.p1, OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1
OG0000037	NEMVE10401	OFUSG13518.1.p1
OG0000037	NEMVE19686	OFUSG06378.1.p1, OFUSG06379.1.p1
OG0000038	NEMVE14716	OFUSG07063.1.p1, OFUSG04821.1.p1, OFUSG19292.1.p1
OG0000038	NEMVE16337, NEMVE14526	OFUSG03339.1.p1
OG0000039	NEMVE01371, NEMVE05995	OFUSG18528.1.p1, OFUSG18528.2.p1
OG0000039	NEMVE06442, NEMVE10026, NEMVE09835, NEMVE12611	OFUSG17021.1.p1
OG0000039	NEMVE00464, NEMVE09225, NEMVE01642, NEMVE01444, NEMVE09224, NEMVE01560	OFUSG19834.1.p1
OG0000039	NEMVE06811	OFUSG26646.1.p1
OG0000039	NEMVE06934	OFUSG23983.1.p1, OFUSG19239.1.p1, OFUSG06237.1.p1, OFUSG06237.2.p1, OFUSG00510.1.p1
OG0000039	NEMVE09831	OFUSG05314.1.p1
OG0000039	NEMVE01294	OFUSG04852.1.p1, OFUSG04321.1.p1
OG0000040	NEMVE09375, NEMVE09383, NEMVE14914, NEMVE14247, NEMVE02046, NEMVE19885, NEMVE00080, NEMVE14245, NEMVE01079, NEMVE17217, NEMVE19524, NEMVE10595, NEMVE14183, NEMVE02048, NEMVE06324, NEMVE09502, NEMVE14493, NEMVE10271, NEMVE22260, NEMVE11520, NEMVE08601, NEMVE05782, NEMVE20551	OFUSG17305.1.p1
OG0000040	NEMVE11519, NEMVE00417	OFUSG26663.1.p1, OFUSG26665.1.p1, OFUSG26662.1.p1, OFUSG26667.2.p1, OFUSG26667.1.p1, OFUSG26660.1.p1, OFUSG26661.1.p1, OFUSG26664.2.p1, OFUSG26661.2.p1, OFUSG26664.1.p1, OFUSG00178.1.p1, OFUSG00136.1.p1, OFUSG00136.2.p1, OFUSG26668.1.p1, OFUSG00137.1.p1
OG0000041	NEMVE02645, NEMVE12910, NEMVE02225, NEMVE15516	OFUSG15030.1.p1
OG0000041	NEMVE06792	OFUSG24031.1.p1, OFUSG24027.1.p1
OG0000041	NEMVE05166, NEMVE17369, NEMVE07542, NEMVE08619, NEMVE21809, NEMVE02404, NEMVE05170, NEMVE01536, NEMVE08033	OFUSG19628.1.p1, OFUSG17131.1.p1, OFUSG15513.1.p1, OFUSG15137.1.p1, OFUSG07153.1.p1, OFUSG07153.2.p1
OG0000041	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031	OFUSG06586.2.p1, OFUSG06586.1.p1, OFUSG06587.1.p1, OFUSG07896.1.p1
OG0000041	NEMVE05295	OFUSG21324.4.p1, OFUSG21324.2.p1, OFUSG21324.1.p1, OFUSG21324.3.p1
OG0000043	NEMVE14296	OFUSG22688.1.p1
OG0000043	NEMVE02775, NEMVE00615, NEMVE12385, NEMVE21267, NEMVE22714, NEMVE22026, NEMVE21348, NEMVE21359, NEMVE05121	OFUSG21723.1.p1
OG0000044	NEMVE05548, NEMVE05555, NEMVE06435, NEMVE06437, NEMVE08743	OFUSG03166.1.p1
OG0000044	NEMVE04813	OFUSG06861.1.p1, OFUSG10172.1.p1, OFUSG19783.1.p1
OG0000044	NEMVE09195, NEMVE09209	OFUSG11434.1.p1, OFUSG13798.1.p1, OFUSG12158.2.p1, OFUSG12158.1.p1
OG0000045	NEMVE15604	OFUSG07526.1.p1
OG0000045	NEMVE16296	OFUSG03364.1.p1, OFUSG23161.1.p1, OFUSG04606.1.p1, OFUSG05512.1.p1, OFUSG05503.1.p1
OG0000045	NEMVE08202	OFUSG21045.1.p1
OG0000045	NEMVE03249, NEMVE10335	OFUSG07523.1.p1
OG0000045	NEMVE11131, NEMVE17534, NEMVE17201, NEMVE15169, NEMVE02656, NEMVE08142, NEMVE20592, NEMVE17847	OFUSG18977.1.p1
OG0000046	NEMVE08905, NEMVE15252	OFUSG14160.1.p1, OFUSG04347.1.p1, OFUSG04346.1.p1, OFUSG03977.1.p1, OFUSG17498.1.p1, OFUSG06752.1.p1, OFUSG09037.1.p1, OFUSG04936.1.p1, OFUSG10579.1.p1, OFUSG01015.1.p1, OFUSG26772.1.p1, OFUSG12279.1.p1, OFUSG02356.1.p1, OFUSG13304.1.p1, OFUSG25123.1.p1
OG0000046	NEMVE05961	OFUSG10763.1.p1, OFUSG10761.1.p1
OG0000048	NEMVE05567	OFUSG03456.1.p1
OG0000048	NEMVE05649	OFUSG11586.1.p1
OG0000048	NEMVE14912	OFUSG11584.1.p1, OFUSG11585.1.p1, OFUSG11583.1.p1, OFUSG11587.1.p1
OG0000048	NEMVE14024	OFUSG11562.2.p1, OFUSG11562.1.p1
OG0000048	NEMVE15061	OFUSG07757.1.p1, OFUSG07755.1.p1, OFUSG07756.1.p1, OFUSG07755.2.p2, OFUSG07756.2.p1, OFUSG07027.1.p1, OFUSG04756.1.p1
OG0000049	NEMVE19461, NEMVE02399, NEMVE21864	OFUSG00390.1.p1, OFUSG06038.1.p1, OFUSG14032.1.p1, OFUSG18823.3.p1, OFUSG18823.1.p1, OFUSG18823.2.p1, OFUSG23568.1.p1, OFUSG21437.1.p1
OG0000049	NEMVE15395, NEMVE15644	OFUSG10735.1.p1, OFUSG14837.1.p1, OFUSG06810.1.p1, OFUSG18275.1.p1, OFUSG20360.1.p1, OFUSG20359.1.p1, OFUSG20362.1.p1, OFUSG14327.1.p1, OFUSG01468.1.p1, OFUSG04791.1.p1, OFUSG24665.1.p1, OFUSG04926.1.p1, OFUSG10567.1.p1
