Orthogroup	NEMVE	HUMAN
OG0000002	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891	HUMAN22770, HUMAN03456, HUMAN03459, HUMAN03828, HUMAN03454, HUMAN03455, HUMAN03453, HUMAN15589, HUMAN15587, HUMAN15585, HUMAN15586, HUMAN15588, HUMAN04207, HUMAN20269, HUMAN01080, HUMAN20270
OG0000003	NEMVE14981	HUMAN18698
OG0000003	NEMVE10052	HUMAN10010
OG0000003	NEMVE11653	HUMAN02915
OG0000004	NEMVE02857, NEMVE08015	HUMAN17550
OG0000004	NEMVE02712, NEMVE03345	HUMAN27462, HUMAN27463, HUMAN27619
OG0000004	NEMVE08303, NEMVE11650, NEMVE08637, NEMVE08064, NEMVE05806, NEMVE05789, NEMVE05769, NEMVE05772, NEMVE05801, NEMVE09643	HUMAN27575
OG0000004	NEMVE02378	HUMAN05919, HUMAN05921, HUMAN01911
OG0000005	NEMVE06385, NEMVE09580, NEMVE16844, NEMVE02985, NEMVE19855, NEMVE16295, NEMVE17440, NEMVE24809, NEMVE17904, NEMVE20568, NEMVE20848, NEMVE13610, NEMVE05303, NEMVE08028, NEMVE12304, NEMVE02415, NEMVE05424, NEMVE19605, NEMVE10241, NEMVE10242, NEMVE14096, NEMVE02422, NEMVE09859, NEMVE11129, NEMVE14017, NEMVE08023, NEMVE10546, NEMVE03445	HUMAN25098, HUMAN04828, HUMAN04827, HUMAN04760, HUMAN04761, HUMAN20683, HUMAN25811, HUMAN25812, HUMAN25813
OG0000006	NEMVE02889	HUMAN20053
OG0000006	NEMVE10951	HUMAN30182, HUMAN30280, HUMAN21060
OG0000006	NEMVE12700, NEMVE08468	HUMAN00944
OG0000006	NEMVE10906	HUMAN29691
OG0000006	NEMVE21901	HUMAN01388, HUMAN06884, HUMAN04380
OG0000006	NEMVE02590	HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640
OG0000006	NEMVE03392	HUMAN25905
OG0000006	NEMVE16957	HUMAN23524
OG0000006	NEMVE02351	HUMAN03111
OG0000006	NEMVE14647	HUMAN14338, HUMAN14017
OG0000006	NEMVE04712	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823
OG0000006	NEMVE13538	HUMAN08856, HUMAN19716
OG0000006	NEMVE09477, NEMVE18497, NEMVE09475	HUMAN08442, HUMAN17032, HUMAN15898
OG0000006	NEMVE08464	HUMAN24331
OG0000006	NEMVE06135, NEMVE02315, NEMVE06121, NEMVE12414	HUMAN16426, HUMAN23135
OG0000007	NEMVE15003	HUMAN24418, HUMAN11538
OG0000007	NEMVE14764	HUMAN09570, HUMAN28803
OG0000007	NEMVE13570	HUMAN15831, HUMAN18759, HUMAN08323
OG0000007	NEMVE06210	HUMAN28730, HUMAN28754, HUMAN28742, HUMAN28745, HUMAN28436, HUMAN17539, HUMAN01097, HUMAN23486, HUMAN00971
OG0000007	NEMVE02350, NEMVE21807	HUMAN28936, HUMAN00970
OG0000007	NEMVE09701, NEMVE03333	HUMAN24202, HUMAN17278, HUMAN03780
OG0000007	NEMVE03816	HUMAN21567
OG0000007	NEMVE16064	HUMAN28408, HUMAN24416, HUMAN24417, HUMAN11533
OG0000007	NEMVE09056	HUMAN13635
OG0000007	NEMVE09467	HUMAN12258, HUMAN07103
OG0000007	NEMVE03824	HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949
OG0000007	NEMVE09051	HUMAN25936, HUMAN13634
OG0000007	NEMVE03714	HUMAN13395
OG0000007	NEMVE09289	HUMAN00818, HUMAN00819, HUMAN05935
OG0000007	NEMVE05677	HUMAN08248
OG0000008	NEMVE06079, NEMVE05558	HUMAN14538, HUMAN01095
OG0000008	NEMVE19301, NEMVE04856, NEMVE05897	HUMAN26474
OG0000010	NEMVE11404, NEMVE16450, NEMVE09797, NEMVE11588, NEMVE01697, NEMVE01738, NEMVE21902, NEMVE17711, NEMVE08397, NEMVE01167, NEMVE15739, NEMVE05529, NEMVE01767, NEMVE07660, NEMVE00202, NEMVE10296, NEMVE05146, NEMVE07596, NEMVE01178, NEMVE01192, NEMVE09791	HUMAN11412, HUMAN11410, HUMAN11411, HUMAN11268
OG0000010	NEMVE08421	HUMAN14278
OG0000010	NEMVE08097, NEMVE05663, NEMVE09594, NEMVE01139, NEMVE10384, NEMVE08328, NEMVE12787, NEMVE21978, NEMVE15512, NEMVE00299, NEMVE10065, NEMVE10064, NEMVE11692, NEMVE10063	HUMAN10343, HUMAN10940, HUMAN10342, HUMAN10337
OG0000011	NEMVE10152	HUMAN08916
OG0000012	NEMVE09268, NEMVE05547	HUMAN11057, HUMAN11196, HUMAN11194, HUMAN11197, HUMAN11198, HUMAN11055, HUMAN11056, HUMAN11190
OG0000013	NEMVE13893, NEMVE05875, NEMVE01242, NEMVE11444, NEMVE23684, NEMVE09508, NEMVE09506, NEMVE08890, NEMVE08262, NEMVE00977	HUMAN18418, HUMAN18417, HUMAN18416, HUMAN18419, HUMAN18410, HUMAN18413, HUMAN18411, HUMAN18412, HUMAN18415, HUMAN22469, HUMAN22470, HUMAN22464, HUMAN22463, HUMAN22465, HUMAN22466, HUMAN22467, HUMAN22462, HUMAN22468, HUMAN22460, HUMAN22461
OG0000014	NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819	HUMAN25476, HUMAN30053
OG0000015	NEMVE01032, NEMVE12485, NEMVE00817	HUMAN22985
OG0000015	NEMVE09590, NEMVE09832, NEMVE01566	HUMAN24211, HUMAN00090, HUMAN24177, HUMAN22373, HUMAN09170, HUMAN25367, HUMAN25365, HUMAN21195
OG0000015	NEMVE03157, NEMVE03314	HUMAN09177
OG0000016	NEMVE12514, NEMVE12424, NEMVE01060	HUMAN26870
OG0000016	NEMVE10959	HUMAN11007, HUMAN11006, HUMAN21858
OG0000016	NEMVE18985	HUMAN03528
OG0000016	NEMVE14449, NEMVE01947, NEMVE01449, NEMVE05079, NEMVE20577, NEMVE25247, NEMVE00923, NEMVE09035, NEMVE08472, NEMVE13671, NEMVE08763	HUMAN07767
OG0000016	NEMVE05675	HUMAN25103
OG0000016	NEMVE01836	HUMAN25104
OG0000019	NEMVE10489	HUMAN27262, HUMAN06385, HUMAN06383, HUMAN12384, HUMAN12385, HUMAN18277, HUMAN22980
OG0000020	NEMVE05671	HUMAN08344
OG0000020	NEMVE18721	HUMAN00926
OG0000020	NEMVE14242	HUMAN02350, HUMAN02349
OG0000020	NEMVE13317, NEMVE16589, NEMVE10183, NEMVE17621, NEMVE03465, NEMVE14976, NEMVE21956, NEMVE21862	HUMAN28205, HUMAN16669, HUMAN00163, HUMAN17840, HUMAN05209, HUMAN21854, HUMAN21853
OG0000020	NEMVE05506	HUMAN02145
OG0000020	NEMVE08770, NEMVE22771	HUMAN30100, HUMAN07717, HUMAN22328
OG0000020	NEMVE13577	HUMAN00010
OG0000020	NEMVE13307	HUMAN23847, HUMAN23024
OG0000020	NEMVE21746	HUMAN22639
OG0000020	NEMVE13092	HUMAN20816
OG0000021	NEMVE17642, NEMVE17644, NEMVE21888	HUMAN11054, HUMAN23166, HUMAN12331
OG0000021	NEMVE04837	HUMAN04273, HUMAN30251, HUMAN00882, HUMAN00880, HUMAN00881, HUMAN24068
OG0000023	NEMVE01882	HUMAN03767
OG0000023	NEMVE07698	HUMAN05402
OG0000023	NEMVE02033, NEMVE05058, NEMVE00878	HUMAN19878, HUMAN19879, HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367
OG0000023	NEMVE18254	HUMAN11130
OG0000026	NEMVE05956, NEMVE12539, NEMVE05975, NEMVE07911, NEMVE12540, NEMVE14231, NEMVE02456, NEMVE19119, NEMVE15036, NEMVE11860, NEMVE10138, NEMVE10137, NEMVE10629, NEMVE11596, NEMVE02542, NEMVE02515, NEMVE03115, NEMVE17182, NEMVE10477, NEMVE10141, NEMVE11809, NEMVE11355, NEMVE11214, NEMVE10424, NEMVE10535, NEMVE10632, NEMVE10426, NEMVE10474, NEMVE10479, NEMVE15004, NEMVE00616, NEMVE01360, NEMVE10139, NEMVE00722, NEMVE10481, NEMVE00708, NEMVE00807	HUMAN16545
OG0000026	NEMVE24164, NEMVE07469	HUMAN07669, HUMAN21745
OG0000026	NEMVE07551, NEMVE15646	HUMAN26724, HUMAN26725
OG0000027	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706	HUMAN15899, HUMAN15933, HUMAN17464, HUMAN17465, HUMAN17466, HUMAN17463, HUMAN22472, HUMAN10869, HUMAN10811, HUMAN10777, HUMAN10778, HUMAN10779, HUMAN10781, HUMAN10780, HUMAN22471, HUMAN16847
OG0000029	NEMVE01722, NEMVE08343	HUMAN07316, HUMAN05232, HUMAN14995, HUMAN11203, HUMAN18356, HUMAN17029
OG0000031	NEMVE01854	HUMAN17850
OG0000031	NEMVE06981	HUMAN06489, HUMAN17883, HUMAN26042
OG0000031	NEMVE07223	HUMAN12874
OG0000031	NEMVE01806	HUMAN26043
OG0000031	NEMVE02343	HUMAN26979, HUMAN14235
OG0000031	NEMVE04984	HUMAN21432
OG0000031	NEMVE07820	HUMAN07725
OG0000031	NEMVE12067	HUMAN14922, HUMAN14786
OG0000031	NEMVE21885	HUMAN07726, HUMAN22322
OG0000031	NEMVE22486	HUMAN18122, HUMAN18121, HUMAN02818, HUMAN02819
OG0000034	NEMVE07311, NEMVE07285	HUMAN11672, HUMAN11673
OG0000034	NEMVE10927	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933
OG0000034	NEMVE10961, NEMVE24294	HUMAN01831, HUMAN13891
OG0000034	NEMVE06675, NEMVE11922, NEMVE10845	HUMAN04678
OG0000034	NEMVE05344	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093
OG0000034	NEMVE16104, NEMVE09479, NEMVE10924	HUMAN04988
OG0000035	NEMVE23841	HUMAN06576
OG0000035	NEMVE22676	HUMAN09866
OG0000035	NEMVE22226, NEMVE05357, NEMVE02194	HUMAN06191, HUMAN03898
OG0000035	NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233	HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810
OG0000036	NEMVE07419, NEMVE07417	HUMAN11289
OG0000036	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372	HUMAN27983, HUMAN15223
OG0000037	NEMVE00865, NEMVE01113	HUMAN25007, HUMAN25008, HUMAN25010, HUMAN25009, HUMAN25006, HUMAN02504, HUMAN08759, HUMAN04817, HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443
OG0000037	NEMVE10401	HUMAN19040, HUMAN28273, HUMAN16721
OG0000038	NEMVE16337, NEMVE14526	HUMAN17661, HUMAN07446, HUMAN17632
OG0000038	NEMVE02186	HUMAN19701
OG0000039	NEMVE01371, NEMVE05995	HUMAN02107, HUMAN02110, HUMAN02111
OG0000039	NEMVE09831, NEMVE16411, NEMVE04657	HUMAN29023
OG0000039	NEMVE15743	HUMAN02446, HUMAN02447, HUMAN02449, HUMAN02450
OG0000039	NEMVE18297, NEMVE18296	HUMAN13199
OG0000041	NEMVE05166, NEMVE17369, NEMVE07542, NEMVE08619, NEMVE21809, NEMVE02404, NEMVE05170, NEMVE01536, NEMVE08033	HUMAN16072, HUMAN04227, HUMAN06826, HUMAN01391
OG0000041	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031	HUMAN15981, HUMAN01398, HUMAN05838, HUMAN01400, HUMAN01399, HUMAN05837, HUMAN01401, HUMAN05836, HUMAN04298
OG0000041	NEMVE05295	HUMAN19139, HUMAN27913, HUMAN16617, HUMAN16643, HUMAN28077, HUMAN19052
OG0000043	NEMVE00880	HUMAN30603, HUMAN30589, HUMAN30600
OG0000044	NEMVE05548, NEMVE05555, NEMVE06435, NEMVE06437, NEMVE08743	HUMAN22417, HUMAN24391, HUMAN07519, HUMAN07517
OG0000044	NEMVE14588	HUMAN24293
OG0000045	NEMVE24106	HUMAN02932
OG0000045	NEMVE00309, NEMVE15224, NEMVE04686	HUMAN28768
OG0000046	NEMVE08905, NEMVE15252	HUMAN23116, HUMAN22960, HUMAN22324, HUMAN22325, HUMAN22323, HUMAN29094
OG0000047	NEMVE04832	HUMAN22760
OG0000048	NEMVE05567	HUMAN29550
OG0000048	NEMVE14912	HUMAN08560, HUMAN08561, HUMAN16328
OG0000048	NEMVE14024	HUMAN16644
OG0000048	NEMVE15061	HUMAN11449
OG0000049	NEMVE19461, NEMVE02399, NEMVE21864	HUMAN25699, HUMAN05316, HUMAN20965, HUMAN26499, HUMAN24353, HUMAN24922, HUMAN24921, HUMAN26912, HUMAN20433
OG0000049	NEMVE07661, NEMVE06992, NEMVE00847	HUMAN26913
OG0000051	NEMVE18951, NEMVE15008	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201
OG0000054	NEMVE15086, NEMVE10916	HUMAN23119
OG0000054	NEMVE05466	HUMAN00960, HUMAN00959, HUMAN00963, HUMAN00962, HUMAN00961, HUMAN00964
OG0000056	NEMVE01724, NEMVE05835, NEMVE01653	HUMAN22445, HUMAN01195, HUMAN14849, HUMAN14869, HUMAN14864, HUMAN14480, HUMAN01194
OG0000056	NEMVE01503, NEMVE04541	HUMAN07396, HUMAN07395
OG0000056	NEMVE19957, NEMVE15228	HUMAN14865
OG0000057	NEMVE03498, NEMVE03044, NEMVE05190, NEMVE02467, NEMVE05216, NEMVE05223, NEMVE05204, NEMVE05225, NEMVE12328, NEMVE05177, NEMVE05220, NEMVE03446, NEMVE07617, NEMVE07622, NEMVE25939, NEMVE23329, NEMVE05208, NEMVE02722, NEMVE16190	HUMAN23569, HUMAN10014
OG0000057	NEMVE08590, NEMVE08584, NEMVE02970, NEMVE11676	HUMAN29650
OG0000058	NEMVE13151	HUMAN17378, HUMAN03592
OG0000059	NEMVE15315, NEMVE02009, NEMVE06154	HUMAN05382, HUMAN22839, HUMAN23845
OG0000060	NEMVE15983, NEMVE23420, NEMVE00402	HUMAN24595, HUMAN24596, HUMAN24599, HUMAN24598, HUMAN24597
OG0000060	NEMVE01006, NEMVE11210, NEMVE00908, NEMVE18881, NEMVE00777	HUMAN16007, HUMAN16006, HUMAN04276, HUMAN06988
OG0000062	NEMVE10327	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195
OG0000062	NEMVE14126	HUMAN25285
OG0000063	NEMVE05614	HUMAN14398, HUMAN28499, HUMAN00858
OG0000063	NEMVE00961	HUMAN21099
OG0000063	NEMVE09684	HUMAN18628, HUMAN03783, HUMAN03782
OG0000065	NEMVE02128, NEMVE02142, NEMVE07842, NEMVE11941, NEMVE09169, NEMVE17235, NEMVE07009, NEMVE07010, NEMVE01667, NEMVE07812, NEMVE11483, NEMVE06777, NEMVE05666, NEMVE09396, NEMVE07281, NEMVE13551	HUMAN29458, HUMAN05357, HUMAN25383, HUMAN14424, HUMAN14423, HUMAN14422
OG0000066	NEMVE02094, NEMVE00829	HUMAN29798
OG0000067	NEMVE14139, NEMVE14099	HUMAN24070, HUMAN22809
OG0000068	NEMVE24661, NEMVE20048	HUMAN26983, HUMAN26982, HUMAN30562, HUMAN21443, HUMAN02454, HUMAN30510, HUMAN30509, HUMAN20837, HUMAN20380, HUMAN30511, HUMAN21486, HUMAN06933, HUMAN20381
OG0000069	NEMVE21739	HUMAN01574
OG0000069	NEMVE15092	HUMAN13360, HUMAN02573, HUMAN06204
OG0000069	NEMVE02861	HUMAN13361, HUMAN02574
OG0000069	NEMVE13176, NEMVE12607	HUMAN01509, HUMAN24625, HUMAN24602, HUMAN24629, HUMAN24631, HUMAN24608, HUMAN24669, HUMAN24667, HUMAN02614, HUMAN24605, HUMAN24620, HUMAN24658
OG0000069	NEMVE21912	HUMAN01571
OG0000070	NEMVE23951, NEMVE09231, NEMVE05946	HUMAN25671, HUMAN29634, HUMAN30393
OG0000071	NEMVE22171	HUMAN17352
OG0000072	NEMVE01460	HUMAN24108, HUMAN23125, HUMAN05334
OG0000072	NEMVE07818	HUMAN22965, HUMAN22964, HUMAN04101
OG0000074	NEMVE04681	HUMAN09283
OG0000075	NEMVE23844	HUMAN12839, HUMAN02593
OG0000075	NEMVE13100	HUMAN06329
OG0000075	NEMVE15115	HUMAN00444
OG0000075	NEMVE21913	HUMAN05218
OG0000075	NEMVE18051	HUMAN18234, HUMAN06328
OG0000075	NEMVE06044	HUMAN00445, HUMAN21048
OG0000075	NEMVE24197	HUMAN01424, HUMAN01425, HUMAN26867
OG0000075	NEMVE22411	HUMAN05783, HUMAN21047
OG0000075	NEMVE17771	HUMAN20335, HUMAN20336, HUMAN20532
OG0000075	NEMVE07707	HUMAN26884
OG0000077	NEMVE04990	HUMAN18656, HUMAN24161, HUMAN27605, HUMAN27606, HUMAN21328, HUMAN05501, HUMAN17351, HUMAN03646, HUMAN22147, HUMAN22146, HUMAN25299, HUMAN00457, HUMAN21175, HUMAN25341, HUMAN23402, HUMAN03419
OG0000078	NEMVE17207	HUMAN15000, HUMAN04284, HUMAN06996
OG0000079	NEMVE07219, NEMVE03189	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848
OG0000079	NEMVE08009	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260, HUMAN13037
OG0000081	NEMVE06228, NEMVE02734, NEMVE09334, NEMVE12527, NEMVE05056	HUMAN13949, HUMAN13947, HUMAN13948, HUMAN27508, HUMAN09549, HUMAN21908, HUMAN19354, HUMAN21352
OG0000082	NEMVE19066	HUMAN29167
OG0000082	NEMVE05388	HUMAN23869
OG0000082	NEMVE14867, NEMVE15134	HUMAN24823, HUMAN24822, HUMAN24821, HUMAN02032, HUMAN08513, HUMAN05645
OG0000083	NEMVE12859, NEMVE06053, NEMVE08070, NEMVE09935, NEMVE03051, NEMVE02455, NEMVE08434, NEMVE06040, NEMVE03091	HUMAN07535, HUMAN22993
OG0000084	NEMVE07901	HUMAN22750, HUMAN17196, HUMAN03227
OG0000085	NEMVE09794, NEMVE03205	HUMAN12866, HUMAN20608, HUMAN17788
OG0000085	NEMVE07289	HUMAN13119, HUMAN07215
OG0000085	NEMVE07695, NEMVE08967, NEMVE08972	HUMAN26172
OG0000085	NEMVE05696	HUMAN30084, HUMAN01484, HUMAN25335, HUMAN25334
OG0000085	NEMVE18682, NEMVE18681	HUMAN19734, HUMAN19733, HUMAN05027
OG0000085	NEMVE13608	HUMAN07214, HUMAN13120
OG0000087	NEMVE14074	HUMAN11956
OG0000087	NEMVE12577	HUMAN11957
OG0000087	NEMVE07184	HUMAN02557
OG0000087	NEMVE14184	HUMAN17213
OG0000087	NEMVE13354, NEMVE03416, NEMVE04646	HUMAN18010
OG0000087	NEMVE02951	HUMAN21063
OG0000087	NEMVE25319	HUMAN10659
OG0000088	NEMVE24299, NEMVE07906, NEMVE16345, NEMVE14559, NEMVE09565, NEMVE02110	HUMAN03260, HUMAN04395, HUMAN21618, HUMAN29776, HUMAN11422, HUMAN11423, HUMAN11367
OG0000089	NEMVE15803	HUMAN29653, HUMAN25674
OG0000089	NEMVE15621, NEMVE15853	HUMAN25675
OG0000090	NEMVE05578	HUMAN24709
OG0000094	NEMVE05621	HUMAN02308, HUMAN05793, HUMAN05794, HUMAN21039, HUMAN14813, HUMAN21040, HUMAN29866
OG0000094	NEMVE03407, NEMVE03409, NEMVE03406	HUMAN02204, HUMAN29518, HUMAN14811, HUMAN14814, HUMAN29867, HUMAN14812
OG0000096	NEMVE15121	HUMAN30343, HUMAN07778, HUMAN21683
OG0000096	NEMVE14782	HUMAN01418, HUMAN23507, HUMAN06774
OG0000096	NEMVE22574	HUMAN06336, HUMAN27289
OG0000096	NEMVE22432	HUMAN13889, HUMAN01832
OG0000096	NEMVE25573	HUMAN06142, HUMAN01455, HUMAN03867, HUMAN06143, HUMAN03866
OG0000096	NEMVE14773	HUMAN04200, HUMAN04201, HUMAN16028, HUMAN21561
OG0000098	NEMVE25900	HUMAN15990, HUMAN03957, HUMAN18424, HUMAN19602
OG0000098	NEMVE07244, NEMVE05378	HUMAN28791, HUMAN09489, HUMAN28772, HUMAN28773, HUMAN09201, HUMAN28771
OG0000101	NEMVE09668, NEMVE18669, NEMVE09674, NEMVE09673, NEMVE09675, NEMVE09670, NEMVE14294, NEMVE01377, NEMVE13283, NEMVE10270, NEMVE14668, NEMVE10030, NEMVE00231, NEMVE06943, NEMVE05036, NEMVE08533	HUMAN11236, HUMAN11477, HUMAN11479, HUMAN11478, HUMAN22036, HUMAN22037
OG0000101	NEMVE18515	HUMAN06575, HUMAN06643, HUMAN06644, HUMAN06642, HUMAN17830
OG0000102	NEMVE01554, NEMVE04730	HUMAN08946, HUMAN02473
OG0000103	NEMVE06305	HUMAN12034, HUMAN12033, HUMAN12032, HUMAN12035, HUMAN12031, HUMAN12036, HUMAN08164, HUMAN08165, HUMAN21265, HUMAN18888
OG0000103	NEMVE09043	HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080
OG0000104	NEMVE07990	HUMAN05724, HUMAN19523
OG0000104	NEMVE01265	HUMAN26011, HUMAN26009, HUMAN26010, HUMAN21916, HUMAN21915, HUMAN12742
OG0000104	NEMVE01905	HUMAN05721, HUMAN19524, HUMAN05723, HUMAN05722
OG0000104	NEMVE06744	HUMAN19373
OG0000104	NEMVE00656, NEMVE11959, NEMVE06478, NEMVE02810, NEMVE06126	HUMAN02405, HUMAN02404, HUMAN06960, HUMAN29799
OG0000106	NEMVE07221, NEMVE07805	HUMAN11182, HUMAN29629, HUMAN29628, HUMAN11556, HUMAN27976, HUMAN27977, HUMAN27979, HUMAN27978
OG0000106	NEMVE16024	HUMAN01589, HUMAN09602
OG0000107	NEMVE03999, NEMVE21307	HUMAN24662
OG0000107	NEMVE17314, NEMVE09156, NEMVE01768	HUMAN01575, HUMAN24611
OG0000107	NEMVE08712	HUMAN24618
OG0000107	NEMVE02891, NEMVE02920	HUMAN24628
OG0000110	NEMVE00979, NEMVE07027, NEMVE03143, NEMVE24541, NEMVE22920, NEMVE12064, NEMVE15426, NEMVE10514	HUMAN07521, HUMAN12253, HUMAN12252
OG0000113	NEMVE21021, NEMVE14510	HUMAN00919
OG0000114	NEMVE07046, NEMVE14943	HUMAN05933, HUMAN05928, HUMAN00841, HUMAN11898, HUMAN21798
OG0000116	NEMVE11443, NEMVE21821, NEMVE13450, NEMVE22004, NEMVE21900, NEMVE13056	HUMAN01486
OG0000117	NEMVE23834, NEMVE12069	HUMAN01029
OG0000117	NEMVE06169, NEMVE03380	HUMAN04356, HUMAN04357
OG0000119	NEMVE22896	HUMAN17875, HUMAN06568, HUMAN12949
OG0000119	NEMVE15248	HUMAN17940, HUMAN20669
OG0000120	NEMVE03379	HUMAN19084
OG0000120	NEMVE07384, NEMVE08536, NEMVE12836	HUMAN19076, HUMAN19075
OG0000120	NEMVE08594	HUMAN19072
OG0000121	NEMVE22381	HUMAN23092, HUMAN03659
OG0000121	NEMVE08130, NEMVE14214	HUMAN14877
OG0000121	NEMVE03127, NEMVE09919	HUMAN18067
OG0000122	NEMVE05937, NEMVE10909	HUMAN12772, HUMAN27264, HUMAN18288
OG0000124	NEMVE24720	HUMAN13586, HUMAN25969, HUMAN20106
OG0000124	NEMVE14854	HUMAN00442, HUMAN00443
OG0000124	NEMVE13714	HUMAN09305, HUMAN02618
OG0000126	NEMVE07689	HUMAN22375, HUMAN24176, HUMAN09168
OG0000126	NEMVE08729, NEMVE02964	HUMAN07866, HUMAN30407, HUMAN21845
OG0000126	NEMVE00909	HUMAN07493, HUMAN22359
OG0000126	NEMVE02955	HUMAN14005, HUMAN14232, HUMAN14231, HUMAN01769, HUMAN01768, HUMAN09480
OG0000127	NEMVE24353	HUMAN07859, HUMAN30409, HUMAN21844
OG0000127	NEMVE22473	HUMAN21549, HUMAN07766
OG0000127	NEMVE10526	HUMAN24572, HUMAN16589, HUMAN18562
OG0000127	NEMVE13457	HUMAN27422, HUMAN19318
OG0000127	NEMVE22419	HUMAN10225, HUMAN20144, HUMAN20145, HUMAN13245
OG0000128	NEMVE12106, NEMVE04961, NEMVE01987, NEMVE18699, NEMVE05813, NEMVE00993, NEMVE10370, NEMVE09954, NEMVE24226, NEMVE08877, NEMVE02973, NEMVE07718, NEMVE13536, NEMVE16591, NEMVE07067, NEMVE16738, NEMVE06927	HUMAN04854, HUMAN04855, HUMAN04482, HUMAN05330, HUMAN05329
OG0000129	NEMVE15459, NEMVE24455, NEMVE05043	HUMAN02545, HUMAN04877, HUMAN25129, HUMAN02543, HUMAN15464, HUMAN02634, HUMAN09344
OG0000129	NEMVE14958	HUMAN05233, HUMAN30228
OG0000130	NEMVE06584, NEMVE05300, NEMVE10363, NEMVE19712, NEMVE09669, NEMVE17089, NEMVE10460	HUMAN26940, HUMAN21484
OG0000131	NEMVE07984, NEMVE05410	HUMAN19899
OG0000131	NEMVE20141	HUMAN18503, HUMAN18504
OG0000132	NEMVE00818, NEMVE00836, NEMVE00732, NEMVE00832, NEMVE00761, NEMVE00751, NEMVE00762, NEMVE00731, NEMVE15492, NEMVE01916	HUMAN20126
OG0000133	NEMVE17437	HUMAN27246, HUMAN27250, HUMAN27247, HUMAN27249, HUMAN27245, HUMAN27244, HUMAN27243
OG0000136	NEMVE22321, NEMVE17620, NEMVE20155, NEMVE02071, NEMVE04995, NEMVE13318, NEMVE15328	HUMAN24844, HUMAN03600
