Orthogroup	HUMAN	SACKO_ok
OG0000007	HUMAN28730, HUMAN28754, HUMAN28742, HUMAN28745, HUMAN28436, HUMAN17539, HUMAN01097, HUMAN23486, HUMAN00971	SACKO_17363
OG0000007	HUMAN28936	SACKO_07507
OG0000007	HUMAN24202, HUMAN17278, HUMAN03780	SACKO_03410
OG0000007	HUMAN11539	SACKO_33128
OG0000007	HUMAN28408	SACKO_15684
OG0000007	HUMAN24416	SACKO_15694
OG0000007	HUMAN24417, HUMAN11533	SACKO_22717
OG0000007	HUMAN13635	SACKO_00920
OG0000007	HUMAN12258, HUMAN07103, HUMAN07102	SACKO_27771
OG0000007	HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949	SACKO_27817
OG0000007	HUMAN25936, HUMAN13634	SACKO_00927
OG0000007	HUMAN13395	SACKO_02233
OG0000007	HUMAN00818, HUMAN00819, HUMAN05935	SACKO_31102, SACKO_31073
OG0000007	HUMAN08248	SACKO_11981
OG0000008	HUMAN12190	SACKO_05714, SACKO_03429
OG0000008	HUMAN29384, HUMAN29385, HUMAN29383, HUMAN00569	SACKO_07048
OG0000008	HUMAN14600	SACKO_10317
OG0000010	HUMAN14278	SACKO_30054
OG0000010	HUMAN10343, HUMAN10940, HUMAN10342, HUMAN10337	SACKO_31740
OG0000012	HUMAN21758, HUMAN26719, HUMAN26720	SACKO_25852, SACKO_05170, SACKO_05236, SACKO_05231, SACKO_27422, SACKO_01346, SACKO_05227, SACKO_05213, SACKO_06922, SACKO_10565
OG0000012	HUMAN11190	SACKO_01736
OG0000012	HUMAN11191	SACKO_05175
OG0000014	HUMAN01436, HUMAN06713, HUMAN20148, HUMAN13605, HUMAN13607, HUMAN13308, HUMAN13309	SACKO_10784, SACKO_10786
OG0000014	HUMAN01394	SACKO_33738, SACKO_26423, SACKO_26460
OG0000014	HUMAN18336, HUMAN03159	SACKO_06765, SACKO_21227, SACKO_28145, SACKO_13011, SACKO_28125, SACKO_13001
OG0000014	HUMAN25476, HUMAN30053	SACKO_13283
OG0000015	HUMAN24184, HUMAN22368, HUMAN09174, HUMAN09175, HUMAN30469, HUMAN22369, HUMAN24183, HUMAN30472, HUMAN09173, HUMAN22372, HUMAN24180, HUMAN24179, HUMAN24178	SACKO_31697
OG0000015	HUMAN29611, HUMAN30168, HUMAN23062, HUMAN24113	SACKO_11254, SACKO_29684, SACKO_11255, SACKO_11287, SACKO_11889, SACKO_08390, SACKO_24547, SACKO_24571, SACKO_02855, SACKO_24548, SACKO_22485, SACKO_22502, SACKO_22509, SACKO_17011, SACKO_07089, SACKO_00034, SACKO_00056, SACKO_18010, SACKO_12151, SACKO_25364, SACKO_25361, SACKO_25397, SACKO_25365, SACKO_33283, SACKO_33290, SACKO_08251, SACKO_11425, SACKO_33292, SACKO_33299
OG0000016	HUMAN11007, HUMAN11006, HUMAN21858	SACKO_26503, SACKO_06921, SACKO_08552, SACKO_02763, SACKO_27519, SACKO_31968
OG0000016	HUMAN07767	SACKO_15439, SACKO_19317, SACKO_06877, SACKO_04946
OG0000016	HUMAN25103	SACKO_11717, SACKO_14898
OG0000016	HUMAN25104	SACKO_26527
OG0000016	HUMAN06120, HUMAN04223	SACKO_10752, SACKO_25451, SACKO_06368, SACKO_16222, SACKO_01152, SACKO_01198, SACKO_02850, SACKO_02856, SACKO_23460, SACKO_02844, SACKO_00542, SACKO_04938, SACKO_04247, SACKO_12793, SACKO_30133, SACKO_06151, SACKO_06139, SACKO_16244, SACKO_18686, SACKO_27061, SACKO_06906, SACKO_06367, SACKO_06917
OG0000019	HUMAN00033, HUMAN05851, HUMAN10700, HUMAN10699, HUMAN10698	SACKO_28153
OG0000019	HUMAN27262, HUMAN06385, HUMAN06383, HUMAN12384, HUMAN12385, HUMAN18277	SACKO_23880
OG0000019	HUMAN22980	SACKO_20403, SACKO_20414
OG0000020	HUMAN22329	SACKO_25295
OG0000020	HUMAN20815	SACKO_05608
OG0000020	HUMAN12659	SACKO_22951
OG0000020	HUMAN08344	SACKO_32378
OG0000020	HUMAN00926	SACKO_20642
OG0000020	HUMAN02350, HUMAN02349	SACKO_08732
OG0000020	HUMAN17840	SACKO_21519
OG0000020	HUMAN05209, HUMAN21854, HUMAN21853	SACKO_08704, SACKO_24262, SACKO_13567, SACKO_14956, SACKO_28904
OG0000020	HUMAN02145	SACKO_16107, SACKO_20105
OG0000020	HUMAN30100, HUMAN07717, HUMAN22328	SACKO_15854
OG0000020	HUMAN00010	SACKO_20295
OG0000020	HUMAN23847	SACKO_29670
OG0000020	HUMAN22639	SACKO_24638
OG0000020	HUMAN20816	SACKO_04828
OG0000021	HUMAN20500	SACKO_24549
OG0000021	HUMAN11054, HUMAN23166	SACKO_32115
OG0000021	HUMAN12331	SACKO_15594
OG0000021	HUMAN04273, HUMAN30251	SACKO_25838
OG0000021	HUMAN00882, HUMAN00880, HUMAN00881	SACKO_24637, SACKO_24630, SACKO_24646, SACKO_24640
OG0000023	HUMAN03767	SACKO_10529
OG0000023	HUMAN19878, HUMAN19879, HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367	SACKO_06926
OG0000026	HUMAN00402	SACKO_19144
OG0000026	HUMAN07669, HUMAN21745	SACKO_23233
OG0000026	HUMAN26724, HUMAN26725	SACKO_15830, SACKO_19336, SACKO_18847, SACKO_04619, SACKO_24091, SACKO_06770
OG0000027	HUMAN17464, HUMAN17465, HUMAN17466, HUMAN17463, HUMAN22472, HUMAN10869, HUMAN10811, HUMAN10777, HUMAN10778, HUMAN10779, HUMAN10781, HUMAN10780, HUMAN22471	SACKO_30755, SACKO_33108, SACKO_05489, SACKO_05485, SACKO_05487, SACKO_04609, SACKO_04624, SACKO_33129, SACKO_21634, SACKO_02136
OG0000027	HUMAN16847	SACKO_02698
OG0000028	HUMAN01776, HUMAN09895, HUMAN09894, HUMAN27765, HUMAN27611, HUMAN19281, HUMAN27764, HUMAN17889	SACKO_00730, SACKO_00734
OG0000028	HUMAN09193, HUMAN09206	SACKO_00054, SACKO_29910
OG0000029	HUMAN15611	SACKO_10012, SACKO_10033
OG0000029	HUMAN07316, HUMAN05232, HUMAN14995, HUMAN11203, HUMAN18356, HUMAN17029	SACKO_04574
OG0000029	HUMAN24898, HUMAN21852	SACKO_15001
OG0000029	HUMAN17820, HUMAN02270, HUMAN21749, HUMAN19538	SACKO_16822, SACKO_04689, SACKO_33098, SACKO_33086, SACKO_33097, SACKO_33076
OG0000030	HUMAN23234, HUMAN23233, HUMAN23232	SACKO_06190, SACKO_06196
OG0000030	HUMAN01740, HUMAN28679	SACKO_15145, SACKO_06184, SACKO_15141, SACKO_15135, SACKO_06169, SACKO_06668, SACKO_06170
OG0000031	HUMAN17850	SACKO_18621
OG0000031	HUMAN06489, HUMAN17883, HUMAN26042	SACKO_18614
OG0000031	HUMAN26979, HUMAN14235	SACKO_26607, SACKO_21501
OG0000031	HUMAN07725	SACKO_14417
OG0000031	HUMAN14922, HUMAN14786	SACKO_32680
OG0000031	HUMAN07726, HUMAN22322	SACKO_14578
OG0000031	HUMAN18122, HUMAN18121, HUMAN02818, HUMAN02819	SACKO_03088
OG0000032	HUMAN27902	SACKO_26058
OG0000032	HUMAN06107, HUMAN06100, HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105, HUMAN21527, HUMAN05202, HUMAN10072	SACKO_20618, SACKO_18250, SACKO_18255, SACKO_27193, SACKO_27208, SACKO_28754
OG0000032	HUMAN19258	SACKO_02664
OG0000032	HUMAN23633, HUMAN23632	SACKO_04047, SACKO_04056, SACKO_31787, SACKO_31778, SACKO_31779, SACKO_31775, SACKO_31777, SACKO_31788, SACKO_31776, SACKO_31785, SACKO_04038, SACKO_28244, SACKO_28242, SACKO_28243
OG0000034	HUMAN11672, HUMAN11673	SACKO_08906
OG0000034	HUMAN16090, HUMAN04116, HUMAN06217, HUMAN01449	SACKO_15619
OG0000034	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933	SACKO_19192
OG0000034	HUMAN01831, HUMAN13891	SACKO_16505
OG0000034	HUMAN04678	SACKO_05860
OG0000034	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093	SACKO_20630, SACKO_18516, SACKO_29852
OG0000034	HUMAN04988	SACKO_20915
OG0000035	HUMAN06576	SACKO_02558
OG0000035	HUMAN09866	SACKO_19408
OG0000035	HUMAN06191, HUMAN03898	SACKO_12639
OG0000035	HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810	SACKO_13246
OG0000035	HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844	SACKO_16912, SACKO_19307, SACKO_22660
OG0000035	HUMAN04383	SACKO_08422
OG0000036	HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233	SACKO_28321
OG0000036	HUMAN11289	SACKO_21179, SACKO_14647
OG0000036	HUMAN22872	SACKO_09791, SACKO_09801, SACKO_09793, SACKO_25463, SACKO_16059, SACKO_11679, SACKO_11682, SACKO_11688
OG0000036	HUMAN27983, HUMAN15223	SACKO_28315
OG0000037	HUMAN25007, HUMAN25008, HUMAN25010, HUMAN25009, HUMAN25006, HUMAN02504, HUMAN08759, HUMAN04817	SACKO_22630
OG0000037	HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443	SACKO_05171
OG0000037	HUMAN19040, HUMAN28273, HUMAN16721	SACKO_15149
OG0000037	HUMAN03689	SACKO_21107, SACKO_21121, SACKO_07542, SACKO_17953, SACKO_17956
OG0000038	HUMAN18259, HUMAN18258	SACKO_00016
OG0000038	HUMAN18257	SACKO_05258, SACKO_05271
OG0000039	HUMAN02107, HUMAN02110, HUMAN02111	SACKO_24480
OG0000039	HUMAN29023	SACKO_16726, SACKO_16701
OG0000040	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640	SACKO_27347, SACKO_18726, SACKO_31332, SACKO_18377, SACKO_18375, SACKO_18381, SACKO_18372, SACKO_21524, SACKO_18370, SACKO_21492, SACKO_21526, SACKO_12837, SACKO_20866, SACKO_06279, SACKO_20851
OG0000041	HUMAN15981, HUMAN01398, HUMAN05838, HUMAN01400, HUMAN01399, HUMAN05837, HUMAN01401, HUMAN05836, HUMAN04298	SACKO_08282
OG0000041	HUMAN19139, HUMAN27913	SACKO_06515
OG0000044	HUMAN24292, HUMAN22106, HUMAN27711, HUMAN03716, HUMAN03718, HUMAN03717	SACKO_25267
OG0000045	HUMAN02932	SACKO_11123
OG0000045	HUMAN29444	SACKO_32893, SACKO_32938, SACKO_32925
OG0000046	HUMAN23116	SACKO_04617, SACKO_18448
OG0000046	HUMAN29094	SACKO_27244, SACKO_27309, SACKO_27311, SACKO_25196, SACKO_25208
OG0000047	HUMAN22760	SACKO_17315
OG0000048	HUMAN08560, HUMAN08561	SACKO_15652, SACKO_15237, SACKO_15246
OG0000048	HUMAN16328	SACKO_03133
OG0000048	HUMAN16644	SACKO_17673
OG0000048	HUMAN11449	SACKO_29639
OG0000049	HUMAN25699, HUMAN05316	SACKO_08936
OG0000049	HUMAN20965, HUMAN26499	SACKO_25469
OG0000049	HUMAN24353, HUMAN24922, HUMAN24921, HUMAN26912, HUMAN20433	SACKO_25472
OG0000051	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201	SACKO_26547, SACKO_15743, SACKO_15729, SACKO_15742, SACKO_15726
OG0000053	HUMAN01064	SACKO_03479
OG0000054	HUMAN23119	SACKO_17476
OG0000054	HUMAN00960, HUMAN00959, HUMAN00963, HUMAN00962, HUMAN00961, HUMAN00964	SACKO_33924, SACKO_28075, SACKO_02978, SACKO_02968, SACKO_33533, SACKO_31837, SACKO_03553, SACKO_03606, SACKO_03590, SACKO_22513, SACKO_14957, SACKO_14966, SACKO_22867, SACKO_12976, SACKO_09411, SACKO_09416, SACKO_04221
OG0000056	HUMAN22445, HUMAN01195, HUMAN14849, HUMAN14869, HUMAN14864, HUMAN14480, HUMAN01194	SACKO_33679, SACKO_33678, SACKO_33948, SACKO_33672
OG0000056	HUMAN14865	SACKO_22063, SACKO_13826, SACKO_16845, SACKO_11517, SACKO_05139
OG0000058	HUMAN17378, HUMAN03592	SACKO_23572
OG0000059	HUMAN21611	SACKO_01899
OG0000059	HUMAN05382, HUMAN22839, HUMAN23845	SACKO_18357
OG0000060	HUMAN25284	SACKO_26044
OG0000060	HUMAN16007, HUMAN16006, HUMAN04276, HUMAN06988	SACKO_08309
OG0000061	HUMAN17964, HUMAN26554	SACKO_02041
OG0000061	HUMAN18142, HUMAN20809, HUMAN13555, HUMAN15809, HUMAN25004, HUMAN12027, HUMAN17562, HUMAN17563, HUMAN20727, HUMAN26146, HUMAN26147, HUMAN26149, HUMAN27338, HUMAN27337	SACKO_02073
OG0000061	HUMAN26138, HUMAN26137, HUMAN12821	SACKO_02064
OG0000062	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195	SACKO_15950, SACKO_15963, SACKO_09033
OG0000062	HUMAN25285	SACKO_15645
OG0000063	HUMAN14398, HUMAN28499, HUMAN00858	SACKO_12392
OG0000063	HUMAN21099	SACKO_30337
OG0000063	HUMAN18628, HUMAN03783, HUMAN03782	SACKO_15119
OG0000066	HUMAN29798	SACKO_23403
OG0000067	HUMAN24070, HUMAN22809	SACKO_29221, SACKO_31855, SACKO_31833, SACKO_12536, SACKO_12547, SACKO_12538, SACKO_06258, SACKO_31568, SACKO_29251, SACKO_32787, SACKO_32780, SACKO_02541, SACKO_12383, SACKO_13178, SACKO_19397, SACKO_21210, SACKO_13183, SACKO_02285, SACKO_12598, SACKO_16903, SACKO_03814, SACKO_03817, SACKO_18910
OG0000068	HUMAN26983	SACKO_00510, SACKO_11410
OG0000068	HUMAN30510, HUMAN30509, HUMAN20837, HUMAN20380, HUMAN30511, HUMAN21486, HUMAN06933	SACKO_06365
OG0000070	HUMAN25671, HUMAN29634, HUMAN30393	SACKO_18930, SACKO_18932
OG0000070	HUMAN14161	SACKO_16529, SACKO_03669, SACKO_06869, SACKO_08780, SACKO_08776, SACKO_17153, SACKO_29369, SACKO_16538, SACKO_10537, SACKO_10050, SACKO_01480, SACKO_29930
OG0000072	HUMAN22965, HUMAN22964, HUMAN04101	SACKO_25103, SACKO_25111
OG0000072	HUMAN22852	SACKO_14515
OG0000072	HUMAN03255, HUMAN03252	SACKO_31517
OG0000074	HUMAN07045, HUMAN07044, HUMAN21437	SACKO_04859
OG0000074	HUMAN09283	SACKO_00567, SACKO_23013
OG0000074	HUMAN15238, HUMAN13822	SACKO_01565, SACKO_20235, SACKO_20240, SACKO_02109, SACKO_12436, SACKO_31326, SACKO_31311, SACKO_16881, SACKO_29200, SACKO_29259, SACKO_32314, SACKO_29235, SACKO_02421, SACKO_29199, SACKO_29193, SACKO_29237, SACKO_29214, SACKO_02420, SACKO_15509, SACKO_14575, SACKO_14398, SACKO_14464, SACKO_14421, SACKO_26150, SACKO_06386, SACKO_14271, SACKO_08735
OG0000075	HUMAN12839, HUMAN02593	SACKO_07161
OG0000075	HUMAN18233	SACKO_31868
OG0000075	HUMAN06329	SACKO_31864
OG0000075	HUMAN00444	SACKO_16948
OG0000075	HUMAN05218	SACKO_18318
OG0000075	HUMAN18234, HUMAN06328	SACKO_31867
OG0000075	HUMAN01424, HUMAN01425, HUMAN26867	SACKO_23452
OG0000075	HUMAN05783, HUMAN21047	SACKO_23651
OG0000075	HUMAN20335, HUMAN20336, HUMAN20532	SACKO_09677
OG0000075	HUMAN26884	SACKO_16926
OG0000077	HUMAN18656, HUMAN24161, HUMAN27605, HUMAN27606	SACKO_10609, SACKO_13734
OG0000077	HUMAN21328, HUMAN05501	SACKO_03449
OG0000077	HUMAN17351, HUMAN03646, HUMAN22147, HUMAN22146	SACKO_24063
OG0000077	HUMAN25299, HUMAN00457, HUMAN21175, HUMAN25341	SACKO_16621, SACKO_13762
OG0000077	HUMAN23402	SACKO_02025
OG0000078	HUMAN15000, HUMAN04284, HUMAN06996	SACKO_29101, SACKO_02475
OG0000079	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848	SACKO_22850
OG0000079	HUMAN22600, HUMAN22601, HUMAN24340	SACKO_28168
OG0000079	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260	SACKO_02973
OG0000079	HUMAN13037	SACKO_02974
OG0000081	HUMAN21909, HUMAN27509	SACKO_09027
OG0000082	HUMAN29167	SACKO_10320, SACKO_23913, SACKO_28357, SACKO_23907, SACKO_09409, SACKO_23931, SACKO_23906, SACKO_26214, SACKO_32295
OG0000082	HUMAN23869	SACKO_12474
OG0000082	HUMAN23871	SACKO_23968
OG0000083	HUMAN07535, HUMAN22993	SACKO_30590
OG0000084	HUMAN03696	SACKO_10969, SACKO_17061, SACKO_10264, SACKO_10253
OG0000084	HUMAN22975	SACKO_06467, SACKO_06545, SACKO_31931
OG0000084	HUMAN22750, HUMAN17196, HUMAN03227	SACKO_25939, SACKO_05229, SACKO_05226, SACKO_29112, SACKO_05196, SACKO_05204, SACKO_34192, SACKO_05203, SACKO_05224, SACKO_05166, SACKO_05235, SACKO_10741, SACKO_10738, SACKO_10729, SACKO_10733, SACKO_06583
OG0000085	HUMAN12866, HUMAN20608, HUMAN17788	SACKO_23009
OG0000085	HUMAN26172	SACKO_25563
OG0000085	HUMAN19734, HUMAN19733, HUMAN05027	SACKO_10208
OG0000085	HUMAN25832	SACKO_33849
OG0000087	HUMAN11956	SACKO_18343
OG0000087	HUMAN02557	SACKO_09961
OG0000087	HUMAN17213	SACKO_21024
OG0000087	HUMAN21001	SACKO_23310, SACKO_14360
OG0000087	HUMAN18010	SACKO_28507
OG0000087	HUMAN21063	SACKO_23472
OG0000087	HUMAN10659	SACKO_06733
OG0000088	HUMAN03260, HUMAN04395, HUMAN21618, HUMAN29776, HUMAN11422, HUMAN11423, HUMAN11367	SACKO_22121, SACKO_03740, SACKO_08568, SACKO_17308, SACKO_10633, SACKO_10635, SACKO_31806, SACKO_21553, SACKO_32685, SACKO_32679, SACKO_28645, SACKO_11604, SACKO_11610, SACKO_24227, SACKO_24190, SACKO_14146, SACKO_31824, SACKO_31840, SACKO_27885, SACKO_20075, SACKO_18749, SACKO_25662, SACKO_04357, SACKO_25835, SACKO_02277, SACKO_25182, SACKO_33837, SACKO_01867, SACKO_33325, SACKO_11683
OG0000089	HUMAN29653, HUMAN25674	SACKO_27338
OG0000090	HUMAN24709	SACKO_21411
OG0000090	HUMAN28948	SACKO_28463, SACKO_27294, SACKO_22823, SACKO_27256, SACKO_22832, SACKO_22824
OG0000093	HUMAN25814, HUMAN25815, HUMAN26490, HUMAN26491, HUMAN20914	SACKO_04129
OG0000094	HUMAN05793, HUMAN05794, HUMAN21039, HUMAN14813, HUMAN21040, HUMAN29866	SACKO_30142
OG0000094	HUMAN02204, HUMAN29518, HUMAN14811, HUMAN14814, HUMAN29867, HUMAN14812	SACKO_14416
OG0000095	HUMAN26970, HUMAN26969, HUMAN26968, HUMAN26971, HUMAN26972, HUMAN27896, HUMAN27895, HUMAN07634, HUMAN21634, HUMAN21633, HUMAN18120	SACKO_22134, SACKO_02519
OG0000096	HUMAN30343, HUMAN07778, HUMAN21683	SACKO_00041
OG0000096	HUMAN01418, HUMAN23507, HUMAN06774	SACKO_02842
OG0000096	HUMAN27289	SACKO_13904
OG0000096	HUMAN06142, HUMAN01455, HUMAN03867, HUMAN06143, HUMAN03866	SACKO_24537
OG0000096	HUMAN04200	SACKO_23084
OG0000096	HUMAN21561	SACKO_27312, SACKO_27255
OG0000098	HUMAN15990, HUMAN03957, HUMAN18424, HUMAN19602	SACKO_30373, SACKO_19685
OG0000098	HUMAN28791, HUMAN09489, HUMAN28772, HUMAN28773, HUMAN09201, HUMAN28771	SACKO_15840
OG0000099	HUMAN22987, HUMAN30307, HUMAN05422, HUMAN24115, HUMAN05424	SACKO_04331
OG0000099	HUMAN15639, HUMAN15638, HUMAN05635, HUMAN25408, HUMAN00740, HUMAN19390	SACKO_03078
OG0000101	HUMAN11236, HUMAN11477, HUMAN11479, HUMAN11478	SACKO_13586, SACKO_13587, SACKO_31937
OG0000101	HUMAN22036, HUMAN22037	SACKO_23978, SACKO_23977
OG0000101	HUMAN06575, HUMAN06643, HUMAN06644, HUMAN06642, HUMAN17830	SACKO_17213, SACKO_17194, SACKO_17207, SACKO_30330
OG0000102	HUMAN08946, HUMAN02473	SACKO_09072, SACKO_09096, SACKO_13190
OG0000102	HUMAN29446, HUMAN29103	SACKO_03174, SACKO_24642, SACKO_24634, SACKO_24635, SACKO_25830, SACKO_27386, SACKO_24644, SACKO_06606, SACKO_24917, SACKO_26731, SACKO_33717, SACKO_06602, SACKO_23037, SACKO_18657, SACKO_18650, SACKO_28533, SACKO_15184, SACKO_18640
OG0000103	HUMAN12034, HUMAN12033, HUMAN12032, HUMAN12035, HUMAN12031, HUMAN12036, HUMAN08164, HUMAN08165, HUMAN21265, HUMAN18888	SACKO_33359
OG0000103	HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080	SACKO_23497
OG0000104	HUMAN05724, HUMAN19523	SACKO_13626, SACKO_13628, SACKO_13620
OG0000104	HUMAN26011, HUMAN26009, HUMAN26010, HUMAN21916, HUMAN21915, HUMAN12742	SACKO_19425
OG0000104	HUMAN05721, HUMAN19524, HUMAN05723, HUMAN05722	SACKO_13617
OG0000104	HUMAN19373	SACKO_06378, SACKO_13688
OG0000104	HUMAN02405, HUMAN02404, HUMAN06960, HUMAN29799	SACKO_16066
OG0000106	HUMAN27844	SACKO_19035
OG0000106	HUMAN01589, HUMAN09602	SACKO_31163, SACKO_03309, SACKO_31157, SACKO_05024, SACKO_19089, SACKO_19090, SACKO_26319
OG0000107	HUMAN01575, HUMAN24611	SACKO_11530, SACKO_10874, SACKO_28015, SACKO_06746
OG0000107	HUMAN24628	SACKO_10895
OG0000108	HUMAN12801, HUMAN02912, HUMAN06356, HUMAN17551	SACKO_23326
OG0000111	HUMAN10226, HUMAN20105, HUMAN13252, HUMAN08327, HUMAN18760, HUMAN30250, HUMAN19322, HUMAN27802, HUMAN27801, HUMAN00609, HUMAN25761, HUMAN25760, HUMAN27800, HUMAN19324	SACKO_16656
OG0000113	HUMAN00919	SACKO_14235, SACKO_07253, SACKO_22562, SACKO_28107, SACKO_25640, SACKO_27005
OG0000113	HUMAN02820, HUMAN26992, HUMAN26993, HUMAN26990	SACKO_09021
OG0000113	HUMAN26991	SACKO_09973
OG0000114	HUMAN22220, HUMAN22219, HUMAN00197, HUMAN00198, HUMAN00199	SACKO_05497, SACKO_05499, SACKO_05519
OG0000116	HUMAN01486	SACKO_18613, SACKO_08085, SACKO_18612, SACKO_18615, SACKO_03400, SACKO_03390
OG0000116	HUMAN18678	SACKO_31632
OG0000117	HUMAN04356, HUMAN04357	SACKO_32122
OG0000117	HUMAN14531	SACKO_05824
OG0000119	HUMAN17875, HUMAN06568, HUMAN12949	SACKO_14170
OG0000119	HUMAN17960, HUMAN06534, HUMAN02909, HUMAN12779	SACKO_22937, SACKO_22948, SACKO_22971
OG0000119	HUMAN17940, HUMAN20669	SACKO_28303
OG0000121	HUMAN23092, HUMAN03659	SACKO_13416, SACKO_17485, SACKO_17484, SACKO_03657
