Orthogroup	HUMAN	DROME
OG0000007	HUMAN25936, HUMAN13634	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671
OG0000007	HUMAN08248	DROME21792, DROME00712, DROME00713
OG0000008	HUMAN26474	DROME15136
OG0000010	HUMAN16120	DROME14854, DROME14851, DROME14852
OG0000010	HUMAN20806, HUMAN20807	DROME04358
OG0000010	HUMAN14278	DROME12016
OG0000010	HUMAN16109, HUMAN16111, HUMAN16121, HUMAN16110, HUMAN16122, HUMAN16101, HUMAN16115, HUMAN27128, HUMAN27130, HUMAN27129, HUMAN28616, HUMAN28615	DROME05327, DROME05328, DROME19338, DROME06359, DROME05330, DROME05335, DROME05333, DROME05334, DROME05336, DROME05332, DROME05331, DROME05338, DROME05813, DROME03478, DROME05329, DROME00644, DROME01747, DROME07344, DROME07323, DROME06541, DROME17787, DROME05325
OG0000012	HUMAN21758, HUMAN26719, HUMAN26720	DROME14687, DROME14686
OG0000012	HUMAN28255	DROME12555
OG0000014	HUMAN11875, HUMAN11876, HUMAN01436, HUMAN06713, HUMAN20148, HUMAN13605, HUMAN13607, HUMAN13308, HUMAN13309, HUMAN03416, HUMAN01394	DROME05409, DROME03987
OG0000014	HUMAN25476, HUMAN30053	DROME14595, DROME14594
OG0000015	HUMAN25367, HUMAN25365, HUMAN21195	DROME20983
OG0000015	HUMAN24184, HUMAN22368, HUMAN09174, HUMAN09175, HUMAN30469, HUMAN22369, HUMAN24183, HUMAN30472, HUMAN09173, HUMAN22372, HUMAN24180, HUMAN24179, HUMAN24178	DROME11913, DROME20981, DROME20982
OG0000015	HUMAN29611, HUMAN30168, HUMAN23062, HUMAN24113	DROME15824, DROME15834, DROME15829, DROME15825, DROME15826, DROME15832, DROME15828, DROME15833, DROME15830, DROME15827, DROME15831
OG0000016	HUMAN10581, HUMAN10583, HUMAN12987, HUMAN03528	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425
OG0000016	HUMAN07767	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589
OG0000016	HUMAN25103	DROME01609
OG0000019	HUMAN06384	DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290
OG0000020	HUMAN12659	DROME22108
OG0000020	HUMAN08344, HUMAN00926	DROME02490
OG0000020	HUMAN02145	DROME11466, DROME11467
OG0000020	HUMAN30100, HUMAN07717, HUMAN22328	DROME19890, DROME19889, DROME19888, DROME19891
OG0000020	HUMAN00010	DROME07045, DROME07043, DROME07044, DROME07042
OG0000020	HUMAN23847, HUMAN23024	DROME03151, DROME03150
OG0000020	HUMAN20816	DROME14454, DROME14455
OG0000021	HUMAN20500	DROME18320, DROME18321
OG0000021	HUMAN12331	DROME08269
OG0000021	HUMAN04273, HUMAN30251	DROME08091
OG0000021	HUMAN24068	DROME01446, DROME01445, DROME04932, DROME10331, DROME19246
OG0000023	HUMAN19878, HUMAN19879, HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367	DROME04919, DROME04917, DROME04918
OG0000028	HUMAN09209	DROME09421
OG0000028	HUMAN01776, HUMAN09895, HUMAN09894, HUMAN27765, HUMAN27611, HUMAN19281, HUMAN27764, HUMAN17889	DROME09420, DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818
OG0000028	HUMAN09193, HUMAN09206	DROME01857, DROME01860, DROME01861, DROME01859, DROME01862, DROME01858, DROME21647, DROME21646, DROME02664
OG0000030	HUMAN23235, HUMAN23234, HUMAN23233, HUMAN23232	DROME12966
OG0000030	HUMAN01740, HUMAN28679	DROME15149
OG0000031	HUMAN17850	DROME19945
OG0000031	HUMAN06489, HUMAN17883, HUMAN26042	DROME19947, DROME19946, DROME19949, DROME19948
OG0000031	HUMAN07725	DROME09230
OG0000031	HUMAN14922, HUMAN14786, HUMAN07726, HUMAN22322	DROME05246
OG0000032	HUMAN06107, HUMAN06100, HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105, HUMAN21527, HUMAN05202, HUMAN10072	DROME02386
OG0000032	HUMAN19258	DROME01213
OG0000034	HUMAN10850, HUMAN11671, HUMAN07186, HUMAN11672, HUMAN11673	DROME20092, DROME20090, DROME20091
OG0000034	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489
OG0000034	HUMAN01831, HUMAN13891	DROME13496
OG0000034	HUMAN04678	DROME18268, DROME18267, DROME18266, DROME18269
OG0000034	HUMAN04988	DROME20524
OG0000035	HUMAN06576	DROME05348, DROME01725, DROME03666, DROME01724
OG0000035	HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810	DROME19358, DROME19359
OG0000035	HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844	DROME17164, DROME17163
OG0000035	HUMAN04381, HUMAN04382	DROME10260
OG0000035	HUMAN06190	DROME18635
OG0000036	HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233	DROME18108, DROME18109, DROME02324, DROME17378, DROME11305
OG0000036	HUMAN27983, HUMAN15223	DROME20717, DROME20716, DROME20719, DROME20718
OG0000037	HUMAN19040, HUMAN28273, HUMAN16721	DROME13887, DROME14759, DROME14760
OG0000037	HUMAN03689	DROME08695, DROME15640, DROME04516
OG0000038	HUMAN02828	DROME10442
OG0000038	HUMAN17661, HUMAN07446, HUMAN17632	DROME13535, DROME13441
OG0000038	HUMAN18257	DROME13993
OG0000039	HUMAN13199	DROME03375, DROME03374, DROME03372, DROME03373
OG0000040	HUMAN27040, HUMAN27041, HUMAN26641, HUMAN26646, HUMAN26642, HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640	DROME01030, DROME01029, DROME06128, DROME06129, DROME06133, DROME06131, DROME06130, DROME17442, DROME06135, DROME06134, DROME06132, DROME04118, DROME04166, DROME06136, DROME06127, DROME04612, DROME04613, DROME16427, DROME07802, DROME14818, DROME05485, DROME04044, DROME05484, DROME05486, DROME21878, DROME14539, DROME04205, DROME04204, DROME05671, DROME08331
OG0000041	HUMAN01392	DROME01788, DROME01789
OG0000041	HUMAN01400	DROME21438, DROME21440, DROME21441, DROME21439, DROME21435, DROME21437, DROME21436, DROME21444, DROME21442, DROME21443, DROME21445
OG0000041	HUMAN19139, HUMAN27913	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069
OG0000044	HUMAN22417, HUMAN24391, HUMAN07519, HUMAN07517	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576
OG0000044	HUMAN03043	DROME03638
OG0000048	HUMAN29550	DROME07309
OG0000048	HUMAN08560, HUMAN08561, HUMAN16328	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389
OG0000048	HUMAN11449	DROME01500
OG0000049	HUMAN26500	DROME18357, DROME18359, DROME18358
OG0000051	HUMAN22678	DROME06654, DROME06655
OG0000054	HUMAN23119	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360
OG0000054	HUMAN00960, HUMAN00959, HUMAN00963, HUMAN00962, HUMAN00961, HUMAN00964, HUMAN14898, HUMAN14897, HUMAN14905, HUMAN14906, HUMAN14899, HUMAN14896, HUMAN14895	DROME21992
OG0000055	HUMAN24594, HUMAN02616, HUMAN24656, HUMAN24660, HUMAN24663, HUMAN24607, HUMAN24616, HUMAN24621, HUMAN24623, HUMAN24613, HUMAN24632, HUMAN24617, HUMAN01576, HUMAN24671, HUMAN24630, HUMAN01568, HUMAN24645, HUMAN24649, HUMAN19580	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677
OG0000056	HUMAN14865	DROME04626, DROME04628, DROME04625, DROME04627, DROME04623, DROME04624
OG0000058	HUMAN17378, HUMAN03592	DROME14598
OG0000058	HUMAN02623, HUMAN09237, HUMAN17157, HUMAN03406	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731
OG0000061	HUMAN17964, HUMAN26554	DROME05786, DROME05785, DROME05787, DROME20453
OG0000061	HUMAN26138, HUMAN26137, HUMAN12821	DROME05579, DROME05580, DROME06033
OG0000062	HUMAN25285	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444
OG0000063	HUMAN14398, HUMAN28499, HUMAN00858	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406
OG0000063	HUMAN21099	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707
OG0000065	HUMAN29458, HUMAN05357, HUMAN25383, HUMAN14424, HUMAN14423, HUMAN14422	DROME22058
OG0000068	HUMAN30510, HUMAN30509, HUMAN20837, HUMAN20380, HUMAN30511, HUMAN21486, HUMAN06933	DROME18366, DROME18368, DROME18367
OG0000068	HUMAN20381	DROME18209
OG0000069	HUMAN01574	DROME03782
OG0000069	HUMAN13360	DROME19859
OG0000069	HUMAN01509, HUMAN24625, HUMAN24602, HUMAN24629, HUMAN24631, HUMAN24608, HUMAN24669, HUMAN24667, HUMAN02614, HUMAN24605, HUMAN24620, HUMAN24658	DROME03718
OG0000069	HUMAN01571	DROME03693, DROME03758, DROME03753
OG0000070	HUMAN25671, HUMAN29634, HUMAN30393	DROME04028, DROME04029, DROME06783
OG0000072	HUMAN24108, HUMAN23125, HUMAN05334	DROME12247, DROME12248
OG0000072	HUMAN22965, HUMAN22964, HUMAN04101	DROME00154
OG0000072	HUMAN22852	DROME00750
OG0000074	HUMAN07045, HUMAN07044, HUMAN21437	DROME03014
OG0000075	HUMAN18233	DROME01374
OG0000075	HUMAN06329	DROME01373
OG0000075	HUMAN18234, HUMAN06328	DROME01375
OG0000075	HUMAN20335, HUMAN20336, HUMAN20532	DROME04883, DROME04882
OG0000077	HUMAN17351, HUMAN03646, HUMAN22147, HUMAN22146	DROME15696, DROME15698, DROME15697
OG0000077	HUMAN25299, HUMAN00457, HUMAN21175, HUMAN25341, HUMAN23402	DROME07079, DROME07077, DROME07078
OG0000079	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848	DROME14752
OG0000079	HUMAN22600, HUMAN22601, HUMAN24340	DROME14749, DROME14748, DROME14747, DROME14750
OG0000079	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810
OG0000079	HUMAN14208	DROME01298
OG0000081	HUMAN21909, HUMAN27509	DROME17351, DROME17349, DROME17350, DROME17347, DROME17348, DROME17352, DROME17353, DROME01507, DROME01508, DROME09227, DROME00965, DROME00434, DROME00435, DROME00431, DROME03003, DROME06593
OG0000082	HUMAN29167	DROME20298
OG0000082	HUMAN23869	DROME05998
OG0000082	HUMAN24823, HUMAN24822, HUMAN24821, HUMAN02032, HUMAN08513, HUMAN05645	DROME11174, DROME11173, DROME15008
OG0000083	HUMAN07535, HUMAN22993	DROME17112
OG0000084	HUMAN03696, HUMAN22975	DROME13292, DROME13291, DROME13289, DROME13290
OG0000084	HUMAN22750, HUMAN17196, HUMAN03227	DROME14181, DROME14182, DROME17832, DROME17834, DROME17833
OG0000085	HUMAN13119, HUMAN07215	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133
OG0000085	HUMAN10861	DROME10293, DROME10294, DROME10289, DROME10292
OG0000085	HUMAN26172	DROME00999, DROME00998, DROME01000
OG0000085	HUMAN19734, HUMAN19733, HUMAN05027	DROME19740
OG0000085	HUMAN25832, HUMAN02095, HUMAN02096	DROME10832, DROME10831
OG0000087	HUMAN11956	DROME22088
OG0000087	HUMAN11957	DROME06460
OG0000087	HUMAN17213	DROME21450
OG0000087	HUMAN18010	DROME03097
OG0000087	HUMAN21063	DROME08842
OG0000087	HUMAN10659	DROME09495
OG0000088	HUMAN03260, HUMAN04395, HUMAN21618, HUMAN29776, HUMAN11422, HUMAN11423, HUMAN11367	DROME01198, DROME01197
OG0000089	HUMAN25675	DROME18066, DROME18069, DROME12817
OG0000090	HUMAN24709	DROME02752
OG0000090	HUMAN28948	DROME16241, DROME16240, DROME16239
OG0000094	HUMAN02308, HUMAN05793, HUMAN05794, HUMAN21039, HUMAN14813, HUMAN21040, HUMAN29866	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879
OG0000094	HUMAN02204, HUMAN29518, HUMAN14811, HUMAN14814, HUMAN29867, HUMAN14812	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341
OG0000095	HUMAN26970, HUMAN26969, HUMAN26968, HUMAN26971, HUMAN26972, HUMAN27896, HUMAN27895, HUMAN07634, HUMAN21634, HUMAN21633, HUMAN18120	DROME01849, DROME01848, DROME04475, DROME16555, DROME16554, DROME01436, DROME01437, DROME05668, DROME09771
OG0000096	HUMAN30343, HUMAN07778, HUMAN21683	DROME08195, DROME08196
OG0000096	HUMAN01418, HUMAN23507, HUMAN06774	DROME08870
OG0000096	HUMAN27289	DROME13163
OG0000096	HUMAN13889, HUMAN01832	DROME06400
OG0000096	HUMAN06142, HUMAN01455, HUMAN03867, HUMAN06143, HUMAN03866	DROME13915
OG0000096	HUMAN04200, HUMAN04201, HUMAN16028	DROME09341
OG0000098	HUMAN28791, HUMAN09489, HUMAN28772, HUMAN28773, HUMAN09201, HUMAN28771	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214
OG0000099	HUMAN22987, HUMAN30307, HUMAN05422, HUMAN24115, HUMAN05424	DROME10335, DROME10334, DROME09743
OG0000099	HUMAN25408, HUMAN00740, HUMAN19390	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996
OG0000101	HUMAN22036, HUMAN22037	DROME05458
OG0000103	HUMAN12034, HUMAN12033, HUMAN12032, HUMAN12035, HUMAN12031, HUMAN12036, HUMAN08164, HUMAN08165, HUMAN21265, HUMAN18888	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989
OG0000103	HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439
OG0000104	HUMAN05724, HUMAN19523	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670
OG0000104	HUMAN26011, HUMAN26009, HUMAN26010, HUMAN21916, HUMAN21915, HUMAN12742	DROME16895, DROME16894
OG0000104	HUMAN05721, HUMAN19524, HUMAN05723, HUMAN05722	DROME16546, DROME16548, DROME16547, DROME16549
OG0000104	HUMAN19373	DROME17321, DROME17322
OG0000106	HUMAN11182, HUMAN29629, HUMAN29628, HUMAN11556, HUMAN27976, HUMAN27977, HUMAN27979, HUMAN27978	DROME02609
OG0000106	HUMAN13103, HUMAN13104, HUMAN13105, HUMAN01589, HUMAN09602	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895
OG0000107	HUMAN24662	DROME03683, DROME03679, DROME03732, DROME03722, DROME03762, DROME03717, DROME03767, DROME03727, DROME03772, DROME03712, DROME03702, DROME03707, DROME03737, DROME03674, DROME03692, DROME03697, DROME03688, DROME03742, DROME14911, DROME03777, DROME03747, DROME03757, DROME03752
OG0000111	HUMAN10226, HUMAN20105, HUMAN13252, HUMAN08327, HUMAN18760, HUMAN30250, HUMAN19322, HUMAN27802, HUMAN27801, HUMAN00609, HUMAN25761, HUMAN25760, HUMAN27800, HUMAN19324	DROME11971, DROME11972, DROME11973, DROME11975
OG0000113	HUMAN00919, HUMAN02822, HUMAN02821, HUMAN02823, HUMAN02825, HUMAN02826, HUMAN27021, HUMAN02820, HUMAN26992, HUMAN26993, HUMAN26990	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762
OG0000113	HUMAN26991	DROME10947, DROME09281, DROME09280, DROME04114, DROME10948, DROME22089, DROME22090
OG0000114	HUMAN22220, HUMAN22219, HUMAN00197, HUMAN00198, HUMAN00199	DROME04013, DROME04512, DROME04513
OG0000116	HUMAN18678	DROME05231
OG0000119	HUMAN17875, HUMAN06568, HUMAN12949	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501
OG0000119	HUMAN17960, HUMAN06534, HUMAN02909, HUMAN12779	DROME21220, DROME21219
OG0000119	HUMAN17940, HUMAN20669	DROME06207, DROME06208, DROME08017, DROME06209
OG0000120	HUMAN19084	DROME00682
OG0000120	HUMAN19072	DROME00676
OG0000121	HUMAN23092, HUMAN03659	DROME17781, DROME08015
OG0000122	HUMAN12772, HUMAN27264, HUMAN18288	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476
OG0000122	HUMAN17166, HUMAN22503, HUMAN22502, HUMAN23904, HUMAN17167, HUMAN20607, HUMAN17789, HUMAN06426, HUMAN06427	DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364
OG0000124	HUMAN03991	DROME17463
OG0000124	HUMAN13586, HUMAN25969, HUMAN20106	DROME08713, DROME09900
OG0000124	HUMAN00442, HUMAN00443	DROME21734
OG0000125	HUMAN12557, HUMAN20597	DROME11932, DROME11934, DROME11935, DROME11936, DROME11933
OG0000125	HUMAN04438, HUMAN04439, HUMAN16073	DROME04039, DROME04040, DROME04038
OG0000126	HUMAN22375, HUMAN24176, HUMAN09168	DROME01805, DROME01804
OG0000126	HUMAN07866, HUMAN30407, HUMAN21845	DROME21081, DROME21082, DROME21083, DROME21080
OG0000126	HUMAN07493, HUMAN22359	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804
OG0000126	HUMAN14005, HUMAN14232, HUMAN14231, HUMAN01769, HUMAN01768, HUMAN09480	DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471
OG0000127	HUMAN21549, HUMAN07766	DROME11205, DROME11204
OG0000127	HUMAN24572, HUMAN16589, HUMAN18562	DROME08158
OG0000127	HUMAN27422, HUMAN19318	DROME05986
OG0000127	HUMAN10225, HUMAN20144, HUMAN20145, HUMAN13245	DROME18062
OG0000129	HUMAN02545, HUMAN04877, HUMAN25129, HUMAN02543, HUMAN15464, HUMAN02634, HUMAN09344	DROME07177, DROME07176, DROME07178, DROME10520, DROME21055
OG0000130	HUMAN03377	DROME11753, DROME15905, DROME02314, DROME10893, DROME15098, DROME15702, DROME15860
OG0000131	HUMAN19899	DROME18073, DROME18075, DROME18074
OG0000132	HUMAN24615, HUMAN24626, HUMAN24666, HUMAN24609, HUMAN24612, HUMAN24601	DROME03704, DROME03676, DROME03724, DROME03709, DROME03749, DROME03779, DROME03759, DROME03681, DROME03754, DROME03744, DROME03694, DROME03690, DROME03714, DROME03739, DROME03719, DROME03672, DROME03685, DROME03734, DROME03699, DROME03764, DROME03769, DROME03729, DROME03774
OG0000142	HUMAN11653, HUMAN13737	DROME08254, DROME08253
OG0000142	HUMAN24431, HUMAN24432	DROME07187
OG0000142	HUMAN19224	DROME17530, DROME17531
OG0000147	HUMAN18499, HUMAN00218	DROME06557, DROME06554, DROME06558, DROME06555, DROME06553, DROME06552, DROME06556
OG0000147	HUMAN24559, HUMAN27635	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266
OG0000147	HUMAN02299	DROME03466
OG0000147	HUMAN18714, HUMAN18712	DROME17452, DROME17451
OG0000148	HUMAN30520, HUMAN20407, HUMAN26826, HUMAN02390, HUMAN02389	DROME19762, DROME19761, DROME19763
OG0000148	HUMAN20409, HUMAN21158, HUMAN20413, HUMAN20412, HUMAN05377, HUMAN02391, HUMAN06229	DROME12939
OG0000149	HUMAN10034, HUMAN23690	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236
OG0000149	HUMAN22790	DROME14698, DROME14702, DROME14703, DROME14701, DROME14700, DROME14699
OG0000154	HUMAN19436	DROME12872, DROME12871
OG0000155	HUMAN00775, HUMAN25228, HUMAN25227, HUMAN25225, HUMAN00773, HUMAN00771	DROME05911, DROME05917, DROME05907, DROME05916, DROME05914, DROME05908, DROME05904, DROME05910, DROME05918, DROME05912, DROME05898, DROME05915, DROME05902, DROME05905, DROME05913, DROME05909, DROME05900, DROME05901, DROME05906, DROME05903, DROME05899
OG0000157	HUMAN28808, HUMAN14307	DROME05618, DROME05617, DROME05616
OG0000157	HUMAN01369, HUMAN20932, HUMAN26487, HUMAN19863, HUMAN20935, HUMAN26485, HUMAN01368	DROME09786
OG0000157	HUMAN11058, HUMAN11059	DROME05150, DROME05149
OG0000158	HUMAN19321, HUMAN25759, HUMAN27804	DROME06825, DROME06824
OG0000159	HUMAN25418	DROME09571, DROME09570
OG0000160	HUMAN19901, HUMAN19900, HUMAN19910, HUMAN19911, HUMAN18777, HUMAN19703, HUMAN19833, HUMAN19781	DROME21236, DROME21232, DROME21234, DROME21233, DROME21235, DROME20353
OG0000162	HUMAN17808, HUMAN17813, HUMAN17807	DROME21138, DROME21116
OG0000163	HUMAN20181, HUMAN13484, HUMAN13482, HUMAN13483	DROME12520
OG0000163	HUMAN13485, HUMAN13486, HUMAN20190	DROME07955
OG0000163	HUMAN12888, HUMAN06524, HUMAN26092	DROME19834, DROME00819
OG0000164	HUMAN29509	DROME08486
OG0000167	HUMAN25492	DROME09457, DROME09458
OG0000168	HUMAN14875, HUMAN23273, HUMAN01023, HUMAN28467, HUMAN04352, HUMAN17049, HUMAN15865, HUMAN15864	DROME01783
OG0000171	HUMAN06783, HUMAN06782	DROME21195, DROME21196, DROME21202, DROME21201, DROME21198, DROME21197, DROME21200, DROME21199
OG0000171	HUMAN03531, HUMAN22193, HUMAN23027	DROME18491, DROME18493, DROME18496, DROME18497, DROME18494, DROME18492, DROME18495
OG0000172	HUMAN09786	DROME14415
OG0000173	HUMAN27146, HUMAN26710, HUMAN21895, HUMAN21533, HUMAN00452, HUMAN18290, HUMAN22447, HUMAN21180, HUMAN21189, HUMAN00447, HUMAN00448, HUMAN00343, HUMAN27169, HUMAN00752, HUMAN00751, HUMAN25381	DROME18317, DROME18316, DROME18314, DROME18318, DROME18315
OG0000175	HUMAN22641, HUMAN22640	DROME19671, DROME02329, DROME16486, DROME16483
OG0000175	HUMAN27918, HUMAN27828, HUMAN27827	DROME03593, DROME00840
OG0000179	HUMAN03338	DROME11221, DROME21050
OG0000179	HUMAN23712, HUMAN09621	DROME07796
OG0000179	HUMAN22996	DROME10428
OG0000180	HUMAN19779	DROME12336
OG0000180	HUMAN21794	DROME21739, DROME21740
OG0000180	HUMAN27480, HUMAN07523, HUMAN30008	DROME11922, DROME11921, DROME12780, DROME11368, DROME11367
OG0000181	HUMAN06327, HUMAN02594	DROME12775
OG0000181	HUMAN26916, HUMAN21065	DROME18397
OG0000181	HUMAN08369	DROME06226
OG0000183	HUMAN15779, HUMAN08957, HUMAN04785, HUMAN02522	DROME07200, DROME07199, DROME07201, DROME07198, DROME07192, DROME07195, DROME07191, DROME07194, DROME07196, DROME07193
OG0000183	HUMAN05463, HUMAN19339, HUMAN19578, HUMAN05532	DROME07008
OG0000183	HUMAN05533	DROME18789
