Orthogroup	HUMAN	MOUSE
OG0000000	HUMAN03523	MOUSE21123
OG0000000	HUMAN24243	MOUSE17205
OG0000000	HUMAN18756	MOUSE28110
OG0000000	HUMAN08319	MOUSE07114
OG0000001	HUMAN01493, HUMAN01492	MOUSE30906
OG0000001	HUMAN10622	MOUSE47424, MOUSE47422
OG0000001	HUMAN03140	MOUSE11565, MOUSE20858
OG0000001	HUMAN03346	MOUSE11567
OG0000001	HUMAN14514, HUMAN14515	MOUSE47437, MOUSE47438, MOUSE47439, MOUSE47434, MOUSE47432, MOUSE47431, MOUSE47433, MOUSE47430, MOUSE47429, MOUSE47425, MOUSE47427, MOUSE47426, MOUSE47428, MOUSE47435
OG0000001	HUMAN17113	MOUSE40449
OG0000001	HUMAN17112	MOUSE40448
OG0000001	HUMAN05942	MOUSE41355, MOUSE41354, MOUSE41356
OG0000001	HUMAN05938	MOUSE41348, MOUSE41347, MOUSE41353, MOUSE41346, MOUSE41352, MOUSE41351, MOUSE41343
OG0000001	HUMAN05944	MOUSE41361, MOUSE41362
OG0000001	HUMAN14511	MOUSE47421, MOUSE47420, MOUSE47416, MOUSE47415, MOUSE47417, MOUSE47418, MOUSE47419
OG0000002	HUMAN22770	MOUSE31557, MOUSE31558
OG0000002	HUMAN03828	MOUSE21009, MOUSE21010, MOUSE21011, MOUSE21008, MOUSE21000, MOUSE21001, MOUSE20997, MOUSE20998, MOUSE21012, MOUSE21138, MOUSE21137
OG0000002	HUMAN03454, HUMAN03455, HUMAN03453	MOUSE20995, MOUSE20994
OG0000002	HUMAN15589	MOUSE43167, MOUSE43166
OG0000002	HUMAN15587	MOUSE43157, MOUSE43142, MOUSE43143, MOUSE43145, MOUSE43144, MOUSE43158
OG0000002	HUMAN15585, HUMAN15586, HUMAN15588	MOUSE43165, MOUSE43164, MOUSE43147, MOUSE43160
OG0000002	HUMAN04207	MOUSE45935, MOUSE45932, MOUSE45933, MOUSE45934, MOUSE45931
OG0000002	HUMAN20269	MOUSE14276, MOUSE14281, MOUSE14277, MOUSE14278, MOUSE14279, MOUSE14280, MOUSE14283, MOUSE14284
OG0000002	HUMAN01080	MOUSE33135, MOUSE33132, MOUSE33133, MOUSE33131, MOUSE33130, MOUSE33134, MOUSE33136
OG0000002	HUMAN20270	MOUSE33129
OG0000003	HUMAN18698	MOUSE08264
OG0000004	HUMAN27619	MOUSE12693, MOUSE12692
OG0000004	HUMAN13470	MOUSE06318, MOUSE06317, MOUSE06316
OG0000004	HUMAN27575	MOUSE21111
OG0000004	HUMAN22815	MOUSE31437
OG0000004	HUMAN05919, HUMAN05921	MOUSE41373, MOUSE41374
OG0000004	HUMAN01911	MOUSE30144
OG0000004	HUMAN03733	MOUSE46694, MOUSE46695, MOUSE46693, MOUSE46689, MOUSE46690, MOUSE46688
OG0000004	HUMAN26466	MOUSE38228, MOUSE38227, MOUSE38229, MOUSE38231, MOUSE38230, MOUSE38226
OG0000005	HUMAN23763	MOUSE03525
OG0000005	HUMAN23764	MOUSE03521, MOUSE03523, MOUSE03522, MOUSE03519
OG0000005	HUMAN25098	MOUSE18207
OG0000005	HUMAN04828	MOUSE20294, MOUSE20293
OG0000005	HUMAN04827	MOUSE13586
OG0000005	HUMAN04760	MOUSE20384
OG0000005	HUMAN04761	MOUSE20383
OG0000005	HUMAN20683	MOUSE53215, MOUSE53214
OG0000005	HUMAN25811	MOUSE16622
OG0000005	HUMAN25812	MOUSE16621
OG0000005	HUMAN25813	MOUSE16620
OG0000005	HUMAN01465	MOUSE30956, MOUSE30955, MOUSE30957
OG0000006	HUMAN20053	MOUSE48684, MOUSE48683
OG0000006	HUMAN21060	MOUSE11220
OG0000006	HUMAN00944	MOUSE33561, MOUSE33562
OG0000006	HUMAN22351	MOUSE36359
OG0000006	HUMAN05133	MOUSE45321
OG0000006	HUMAN21718	MOUSE29952, MOUSE29953
OG0000006	HUMAN02118	MOUSE24072, MOUSE24070, MOUSE24071
OG0000006	HUMAN29294	MOUSE25672, MOUSE25673
OG0000006	HUMAN29691	MOUSE54497
OG0000006	HUMAN01388	MOUSE31158
OG0000006	HUMAN06884	MOUSE02096, MOUSE02095, MOUSE02097
OG0000006	HUMAN04380	MOUSE27112, MOUSE27111
OG0000006	HUMAN18782, HUMAN18784, HUMAN18783	MOUSE28165
OG0000006	HUMAN08640	MOUSE07632, MOUSE07631
OG0000006	HUMAN25905	MOUSE38532, MOUSE38531
OG0000006	HUMAN23524	MOUSE10280
OG0000006	HUMAN03111	MOUSE11440, MOUSE11438, MOUSE11439
OG0000006	HUMAN14017	MOUSE19675
OG0000006	HUMAN22793	MOUSE31507
OG0000006	HUMAN22791	MOUSE31506
OG0000006	HUMAN22792	MOUSE31503, MOUSE31505, MOUSE31501
OG0000006	HUMAN03581	MOUSE21233, MOUSE21234
OG0000006	HUMAN23822	MOUSE09568, MOUSE09567
OG0000006	HUMAN08856	MOUSE08011
OG0000006	HUMAN19716	MOUSE15296
OG0000006	HUMAN08442	MOUSE11795, MOUSE11796
OG0000006	HUMAN17032	MOUSE02987
OG0000006	HUMAN15898	MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609
OG0000006	HUMAN24331	MOUSE03398
OG0000006	HUMAN12248	MOUSE04696
OG0000007	HUMAN24418	MOUSE09063
OG0000007	HUMAN11538	MOUSE49748
OG0000007	HUMAN18816	MOUSE28251
OG0000007	HUMAN09570	MOUSE51845
OG0000007	HUMAN28803	MOUSE20686
OG0000007	HUMAN15831	MOUSE42742
OG0000007	HUMAN18759	MOUSE28113, MOUSE28115, MOUSE28114
OG0000007	HUMAN08323	MOUSE07122
OG0000007	HUMAN28730, HUMAN28754, HUMAN28742, HUMAN28745, HUMAN28436, HUMAN17539	MOUSE20752
OG0000007	HUMAN01097	MOUSE33185
OG0000007	HUMAN23486	MOUSE10368
OG0000007	HUMAN00971	MOUSE33510
OG0000007	HUMAN28936	MOUSE32557
OG0000007	HUMAN00970	MOUSE33511
OG0000007	HUMAN24202	MOUSE03187
OG0000007	HUMAN17278	MOUSE40199, MOUSE40198
OG0000007	HUMAN03780	MOUSE46807
OG0000007	HUMAN21567	MOUSE52320
OG0000007	HUMAN11539	MOUSE49749
OG0000007	HUMAN28408	MOUSE13954
OG0000007	HUMAN24416	MOUSE09061
OG0000007	HUMAN24417	MOUSE09062
OG0000007	HUMAN11533	MOUSE49739
OG0000007	HUMAN13635	MOUSE38585
OG0000007	HUMAN12258	MOUSE04689
OG0000007	HUMAN07103	MOUSE37388
OG0000007	HUMAN08774	MOUSE07860
OG0000007	HUMAN16949	MOUSE18809, MOUSE18808, MOUSE18807
OG0000007	HUMAN25936	MOUSE38586
OG0000007	HUMAN13634	MOUSE06525
OG0000007	HUMAN13395	MOUSE06204
OG0000007	HUMAN00818	MOUSE33792, MOUSE33790
OG0000007	HUMAN05935	MOUSE41340, MOUSE41339
OG0000007	HUMAN08248	MOUSE07031, MOUSE07030
OG0000008	HUMAN14538	MOUSE17513, MOUSE17514
OG0000008	HUMAN01095	MOUSE33182
OG0000008	HUMAN12190	MOUSE03822, MOUSE03823
OG0000008	HUMAN29311, HUMAN29312	MOUSE25728
OG0000008	HUMAN29384, HUMAN29385	MOUSE25499, MOUSE25498
OG0000008	HUMAN29383	MOUSE25349
OG0000008	HUMAN14600	MOUSE50311
OG0000008	HUMAN26474	MOUSE35409
OG0000008	HUMAN22971	MOUSE30083
OG0000008	HUMAN00243	MOUSE34799
OG0000008	HUMAN27485	MOUSE48084
OG0000010	HUMAN16120	MOUSE43879
OG0000010	HUMAN06424	MOUSE14749
OG0000010	HUMAN00318, HUMAN00317	MOUSE34626
OG0000010	HUMAN00316	MOUSE34625, MOUSE34624
OG0000010	HUMAN00439, HUMAN00440, HUMAN00441	MOUSE34426, MOUSE34427
OG0000010	HUMAN11412, HUMAN11410, HUMAN11411	MOUSE49605
OG0000010	HUMAN11268	MOUSE49413
OG0000010	HUMAN18382	MOUSE22876
OG0000010	HUMAN20806, HUMAN20807	MOUSE53049
OG0000010	HUMAN10343	MOUSE16873
OG0000010	HUMAN10940	MOUSE46556
OG0000010	HUMAN10342	MOUSE16866
OG0000010	HUMAN10337	MOUSE16888
OG0000010	HUMAN06405, HUMAN06406	MOUSE14717
OG0000010	HUMAN16109	MOUSE43880
OG0000010	HUMAN16111	MOUSE43876
OG0000010	HUMAN16121	MOUSE43866, MOUSE43868
OG0000010	HUMAN16122	MOUSE43865
OG0000010	HUMAN16101	MOUSE43883, MOUSE43882
OG0000010	HUMAN16115	MOUSE43870, MOUSE43871
OG0000010	HUMAN27128, HUMAN27130, HUMAN27129, HUMAN28616, HUMAN28615	MOUSE39501, MOUSE39500, MOUSE39499, MOUSE39528, MOUSE39527, MOUSE39532, MOUSE39534, MOUSE39533, MOUSE39531, MOUSE39530, MOUSE39535, MOUSE39529, MOUSE39498
OG0000011	HUMAN08916	MOUSE08113
OG0000012	HUMAN21758	MOUSE30007, MOUSE30008
OG0000012	HUMAN26719, HUMAN26720	MOUSE38315, MOUSE38314
OG0000012	HUMAN11057	MOUSE49054, MOUSE49055, MOUSE49053
OG0000012	HUMAN11196, HUMAN11194, HUMAN11197, HUMAN11198	MOUSE49315
OG0000012	HUMAN11055, HUMAN11056	MOUSE49044, MOUSE49045, MOUSE49043, MOUSE49052, MOUSE49049, MOUSE49048, MOUSE49047, MOUSE49046, MOUSE49051, MOUSE49042
OG0000012	HUMAN11190	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309
OG0000012	HUMAN11191	MOUSE38313, MOUSE49050, MOUSE49303
OG0000013	HUMAN23266, HUMAN23264, HUMAN23267	MOUSE13221, MOUSE13219
OG0000013	HUMAN22810	MOUSE31454
OG0000013	HUMAN18418, HUMAN18417, HUMAN18416	MOUSE22949, MOUSE22948
OG0000013	HUMAN18419	MOUSE22951
OG0000013	HUMAN18410, HUMAN18413, HUMAN18411, HUMAN18412	MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943
OG0000013	HUMAN18415	MOUSE22945, MOUSE22946
OG0000013	HUMAN22469	MOUSE36635
OG0000013	HUMAN22470	MOUSE36633
OG0000013	HUMAN22464, HUMAN22463	MOUSE36630
OG0000013	HUMAN22465, HUMAN22466, HUMAN22467, HUMAN22462, HUMAN22468, HUMAN22460, HUMAN22461	MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627
OG0000014	HUMAN11875	MOUSE04189
OG0000014	HUMAN11876	MOUSE04186, MOUSE04184, MOUSE04187
OG0000014	HUMAN01436	MOUSE31054
OG0000014	HUMAN06713	MOUSE02337
OG0000014	HUMAN20148	MOUSE14097
OG0000014	HUMAN13605, HUMAN13607	MOUSE06495
OG0000014	HUMAN13308	MOUSE06101
OG0000014	HUMAN13309	MOUSE06102, MOUSE06100
OG0000014	HUMAN03416	MOUSE20912
OG0000014	HUMAN01394	MOUSE31149, MOUSE31150
OG0000014	HUMAN18336	MOUSE22789
OG0000014	HUMAN03159	MOUSE00987
OG0000014	HUMAN25476	MOUSE00504, MOUSE00505, MOUSE00503
OG0000014	HUMAN30053	MOUSE54686
OG0000014	HUMAN13227	MOUSE05979, MOUSE05978, MOUSE05977, MOUSE05976
OG0000015	HUMAN22985	MOUSE30054, MOUSE30055, MOUSE30056
OG0000015	HUMAN24211	MOUSE03176
OG0000015	HUMAN00090	MOUSE35079
OG0000015	HUMAN24177	MOUSE03220, MOUSE03221
OG0000015	HUMAN22373	MOUSE36411
OG0000015	HUMAN09170	MOUSE44502, MOUSE44501, MOUSE44500
OG0000015	HUMAN25367	MOUSE32201, MOUSE32200
OG0000015	HUMAN25365	MOUSE32204
OG0000015	HUMAN21195	MOUSE16093
OG0000015	HUMAN24184	MOUSE03210, MOUSE03208, MOUSE03209
OG0000015	HUMAN22368	MOUSE36400, MOUSE36401
OG0000015	HUMAN09174	MOUSE44497
OG0000015	HUMAN30469	MOUSE54205
OG0000015	HUMAN22369	MOUSE36402
OG0000015	HUMAN24183	MOUSE03212, MOUSE03211
OG0000015	HUMAN30472	MOUSE54208, MOUSE54207
OG0000015	HUMAN09173	MOUSE44499
OG0000015	HUMAN22372	MOUSE36407, MOUSE36406
OG0000015	HUMAN24180, HUMAN24179, HUMAN24178	MOUSE03217, MOUSE03218, MOUSE03219
OG0000015	HUMAN29611	MOUSE55359
OG0000015	HUMAN30168	MOUSE54956
OG0000015	HUMAN23062	MOUSE48246
OG0000015	HUMAN24113	MOUSE03594, MOUSE03595, MOUSE03596
OG0000016	HUMAN26870	MOUSE44325
OG0000016	HUMAN11007, HUMAN11006	MOUSE48959, MOUSE48960
OG0000016	HUMAN21858	MOUSE15414
OG0000016	HUMAN10581	MOUSE15161, MOUSE15160
OG0000016	HUMAN10583	MOUSE44326
OG0000016	HUMAN12987	MOUSE05122, MOUSE05123
OG0000016	HUMAN03528	MOUSE21130
OG0000016	HUMAN07767	MOUSE13078, MOUSE13077
OG0000016	HUMAN25103	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196
OG0000016	HUMAN25104	MOUSE44334
OG0000016	HUMAN06120	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938
OG0000016	HUMAN04223	MOUSE44332, MOUSE44335
OG0000019	HUMAN05851	MOUSE41500, MOUSE41496, MOUSE41501, MOUSE41497, MOUSE41498, MOUSE41499
OG0000019	HUMAN10700, HUMAN10699	MOUSE46139, MOUSE46138
OG0000019	HUMAN10698	MOUSE46137
OG0000019	HUMAN27262	MOUSE35476, MOUSE35477
OG0000019	HUMAN06385	MOUSE14689
OG0000019	HUMAN06383	MOUSE14688
OG0000019	HUMAN12384	MOUSE04790
OG0000019	HUMAN12385	MOUSE04791
OG0000019	HUMAN18277	MOUSE22639, MOUSE22640
OG0000019	HUMAN22980	MOUSE30063, MOUSE30064
OG0000020	HUMAN26158	MOUSE39911
OG0000020	HUMAN22329, HUMAN20815	MOUSE45177
OG0000020	HUMAN12659	MOUSE05499, MOUSE05500
OG0000020	HUMAN26061	MOUSE53015
OG0000020	HUMAN08344	MOUSE07164
OG0000020	HUMAN00926	MOUSE33588
OG0000020	HUMAN02349	MOUSE23587, MOUSE23586
OG0000020	HUMAN28205	MOUSE13612
OG0000020	HUMAN16669	MOUSE06637, MOUSE06636
OG0000020	HUMAN00163	MOUSE34933
OG0000020	HUMAN17840	MOUSE26371
OG0000020	HUMAN05209	MOUSE45175
OG0000020	HUMAN21854	MOUSE15405
OG0000020	HUMAN21853	MOUSE15402
OG0000020	HUMAN02145	MOUSE24012
OG0000020	HUMAN30100	MOUSE54806, MOUSE54808, MOUSE54807
OG0000020	HUMAN07717	MOUSE12992
OG0000020	HUMAN22328	MOUSE36286, MOUSE36285
OG0000020	HUMAN00010	MOUSE35162
OG0000020	HUMAN23847	MOUSE09601, MOUSE09602
OG0000020	HUMAN23024	MOUSE48313, MOUSE48314
OG0000020	HUMAN22639	MOUSE37001, MOUSE37002
OG0000020	HUMAN20816	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013
OG0000021	HUMAN20500	MOUSE41024, MOUSE41023
OG0000021	HUMAN30680, HUMAN30504	MOUSE54264, MOUSE54261, MOUSE54262, MOUSE54263
OG0000021	HUMAN20539	MOUSE40749
OG0000021	HUMAN05765	MOUSE41285, MOUSE41283, MOUSE41287
OG0000021	HUMAN05766	MOUSE41281
OG0000021	HUMAN20499	MOUSE41022
OG0000021	HUMAN11054	MOUSE49041
OG0000021	HUMAN23166	MOUSE09998
OG0000021	HUMAN12331	MOUSE04592
OG0000021	HUMAN04273	MOUSE44445
OG0000021	HUMAN30251	MOUSE53773
OG0000021	HUMAN00882	MOUSE33664, MOUSE33667, MOUSE33661
OG0000021	HUMAN00880, HUMAN00881	MOUSE33665
OG0000021	HUMAN24068	MOUSE19587
OG0000023	HUMAN03767	MOUSE46773, MOUSE46772
OG0000023	HUMAN05402	MOUSE49036
OG0000023	HUMAN19878, HUMAN19879	MOUSE01124
OG0000023	HUMAN08127	MOUSE12258
OG0000023	HUMAN08129	MOUSE12260
OG0000023	HUMAN11129	MOUSE49191
OG0000023	HUMAN18897	MOUSE28391
OG0000023	HUMAN27999	MOUSE32112, MOUSE32114
OG0000023	HUMAN07398	MOUSE38000
OG0000023	HUMAN10368, HUMAN10367	MOUSE16835
OG0000023	HUMAN12427	MOUSE04860, MOUSE04861, MOUSE04862, MOUSE04863
OG0000023	HUMAN06585, HUMAN06584	MOUSE02558, MOUSE02557
OG0000023	HUMAN05393	MOUSE50079
OG0000023	HUMAN05394	MOUSE50078
OG0000023	HUMAN05401	MOUSE50070
OG0000023	HUMAN05399	MOUSE50073
OG0000023	HUMAN05395	MOUSE50075, MOUSE50077, MOUSE50076
OG0000023	HUMAN05400	MOUSE50069, MOUSE50072
OG0000023	HUMAN05396	MOUSE50074
OG0000023	HUMAN05404	MOUSE50063
OG0000023	HUMAN11050	MOUSE49035
OG0000023	HUMAN19103	MOUSE28744
OG0000023	HUMAN05403	MOUSE50065, MOUSE50066, MOUSE50067, MOUSE50064
OG0000026	HUMAN00402	MOUSE34507
OG0000026	HUMAN07669	MOUSE12605
OG0000026	HUMAN26724	MOUSE38308
OG0000026	HUMAN26725	MOUSE38309
OG0000027	HUMAN15899, HUMAN15933	MOUSE44283, MOUSE44284, MOUSE44285
OG0000027	HUMAN17464, HUMAN17465	MOUSE18379
OG0000027	HUMAN17466, HUMAN17463	MOUSE18380
OG0000027	HUMAN22472	MOUSE36638
OG0000027	HUMAN10869, HUMAN10811, HUMAN10777, HUMAN10778, HUMAN10779, HUMAN10781, HUMAN10780	MOUSE36637, MOUSE46301, MOUSE46302, MOUSE46300, MOUSE46299
OG0000027	HUMAN22471	MOUSE36636
OG0000027	HUMAN16847	MOUSE18678, MOUSE18679
OG0000028	HUMAN22344	MOUSE36324, MOUSE36325
OG0000028	HUMAN03982	MOUSE45380
OG0000028	HUMAN01776	MOUSE30414, MOUSE30413
OG0000028	HUMAN09895	MOUSE51349
OG0000028	HUMAN09894	MOUSE51347, MOUSE51348
OG0000028	HUMAN27765	MOUSE47957
OG0000028	HUMAN27611	MOUSE12712
OG0000028	HUMAN19281	MOUSE29157, MOUSE29159
OG0000028	HUMAN27764	MOUSE47956, MOUSE47954, MOUSE47955
OG0000028	HUMAN17889	MOUSE26458
OG0000028	HUMAN09193, HUMAN09206	MOUSE44525
OG0000029	HUMAN15611	MOUSE43115, MOUSE43116
OG0000029	HUMAN07316	MOUSE37827
OG0000029	HUMAN05232	MOUSE45127
OG0000029	HUMAN14995	MOUSE48617
OG0000029	HUMAN11203	MOUSE49324, MOUSE49325
OG0000029	HUMAN18356	MOUSE22849, MOUSE22848
OG0000029	HUMAN17029	MOUSE02995
OG0000029	HUMAN24898	MOUSE17544
OG0000029	HUMAN21852	MOUSE15400
OG0000029	HUMAN17820	MOUSE26337
OG0000029	HUMAN02270	MOUSE23727
OG0000029	HUMAN21749	MOUSE29998
OG0000029	HUMAN19538	MOUSE16471
OG0000030	HUMAN23234	MOUSE13263, MOUSE13264
OG0000030	HUMAN23233, HUMAN23232	MOUSE13265
OG0000030	HUMAN01740	MOUSE30488
OG0000030	HUMAN28679	MOUSE32434, MOUSE32431, MOUSE32432
OG0000030	HUMAN11978	MOUSE04020
OG0000030	HUMAN30219	MOUSE55035
OG0000030	HUMAN06064	MOUSE41811, MOUSE41812
OG0000031	HUMAN29956	MOUSE55187
OG0000031	HUMAN17850	MOUSE26385
OG0000031	HUMAN06489	MOUSE14840
OG0000031	HUMAN17883	MOUSE26448
OG0000031	HUMAN26042	MOUSE08530
OG0000031	HUMAN12874	MOUSE05256
OG0000031	HUMAN26043	MOUSE08528, MOUSE08527
OG0000031	HUMAN09203	MOUSE44529
OG0000031	HUMAN28770	MOUSE20731
OG0000031	HUMAN26979	MOUSE39309
OG0000031	HUMAN14235	MOUSE01505
OG0000031	HUMAN21432	MOUSE40719
OG0000031	HUMAN07725	MOUSE13006, MOUSE13005
OG0000031	HUMAN14922	MOUSE48656
OG0000031	HUMAN14786	MOUSE48889
OG0000031	HUMAN07726	MOUSE13007
OG0000031	HUMAN22322	MOUSE36274, MOUSE36271
OG0000031	HUMAN18121	MOUSE22339, MOUSE22337, MOUSE22338
OG0000031	HUMAN02818, HUMAN02819	MOUSE08579
OG0000032	HUMAN27902	MOUSE21598, MOUSE21599, MOUSE21602, MOUSE21601, MOUSE21600
OG0000032	HUMAN06107	MOUSE41911, MOUSE41912, MOUSE41906, MOUSE41907, MOUSE41916, MOUSE41909, MOUSE41910, MOUSE41913, MOUSE41917
OG0000032	HUMAN06100	MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903
OG0000032	HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105	MOUSE41905, MOUSE41904
OG0000032	HUMAN21527	MOUSE52411, MOUSE52410
OG0000032	HUMAN05202	MOUSE45189, MOUSE45190, MOUSE45188
OG0000032	HUMAN10072	MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671
OG0000032	HUMAN19258	MOUSE29123
OG0000032	HUMAN23633, HUMAN23632	MOUSE23164
OG0000034	HUMAN09534	MOUSE19646
OG0000034	HUMAN07187	MOUSE23593
OG0000034	HUMAN10850	MOUSE46353, MOUSE46347
OG0000034	HUMAN11671	MOUSE04536
OG0000034	HUMAN07186	MOUSE37608
OG0000034	HUMAN11672	MOUSE04537
OG0000034	HUMAN11673	MOUSE04538, MOUSE04539
OG0000034	HUMAN16090	MOUSE43921
OG0000034	HUMAN04116	MOUSE45737
OG0000034	HUMAN06217	MOUSE14480
OG0000034	HUMAN01449	MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011
OG0000034	HUMAN16339, HUMAN16340	MOUSE42231
OG0000034	HUMAN02345	MOUSE23594
OG0000034	HUMAN06854	MOUSE02137
OG0000034	HUMAN03933	MOUSE47177, MOUSE47178, MOUSE47176
OG0000034	HUMAN01831	MOUSE30287, MOUSE30289, MOUSE30288
OG0000034	HUMAN13891	MOUSE19105
OG0000034	HUMAN04678	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480
OG0000034	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093	MOUSE11491, MOUSE11490
OG0000034	HUMAN04988	MOUSE20059
OG0000035	HUMAN06576	MOUSE02570, MOUSE02571
OG0000035	HUMAN09866	MOUSE51376, MOUSE51375
OG0000035	HUMAN06191	MOUSE41545
OG0000035	HUMAN03898	MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092
OG0000035	HUMAN01402	MOUSE31138
OG0000035	HUMAN03900	MOUSE47097
OG0000035	HUMAN05810	MOUSE41546
OG0000035	HUMAN06812	MOUSE02196, MOUSE02197
OG0000035	HUMAN01460	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974
OG0000035	HUMAN03952, HUMAN03954, HUMAN03955	MOUSE47243, MOUSE47244
OG0000035	HUMAN03951, HUMAN03953	MOUSE47242
OG0000035	HUMAN05843, HUMAN05844	MOUSE41507
OG0000035	HUMAN04381	MOUSE27105
OG0000035	HUMAN04382	MOUSE27106, MOUSE27107, MOUSE27108
OG0000035	HUMAN04383	MOUSE27104
OG0000035	HUMAN06190	MOUSE41551
OG0000036	HUMAN08124	MOUSE12248
OG0000036	HUMAN11288	MOUSE49436
OG0000036	HUMAN11555	MOUSE49768
OG0000036	HUMAN08152, HUMAN08151	MOUSE12301
OG0000036	HUMAN15233	MOUSE43707, MOUSE43706, MOUSE43708
OG0000036	HUMAN11289	MOUSE12250, MOUSE12249, MOUSE12252, MOUSE12251, MOUSE49440, MOUSE49439
OG0000036	HUMAN22872	MOUSE29724, MOUSE29725
OG0000036	HUMAN27983	MOUSE32123
OG0000036	HUMAN15223	MOUSE43723
OG0000037	HUMAN25010, HUMAN25009	MOUSE10993, MOUSE10994
OG0000037	HUMAN25006	MOUSE10992
OG0000037	HUMAN02504	MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745
OG0000037	HUMAN08759	MOUSE07837, MOUSE07836, MOUSE07835
OG0000037	HUMAN04817	MOUSE20306
OG0000037	HUMAN02659, HUMAN02660	MOUSE49952, MOUSE49951
OG0000037	HUMAN04897	MOUSE20178
OG0000037	HUMAN15443	MOUSE43378
OG0000037	HUMAN19040	MOUSE28645, MOUSE28646
OG0000037	HUMAN28273	MOUSE13720
OG0000037	HUMAN16721	MOUSE35631
OG0000037	HUMAN03689	MOUSE21441
OG0000038	HUMAN02828	MOUSE08557
