Orthogroup	HUMAN	APOSC_ok
OG0000006	HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640	APOSC_25251, APOSC_25252
OG0000006	HUMAN25905	APOSC_19228
OG0000006	HUMAN23524	APOSC_11581
OG0000006	HUMAN03111	APOSC_02745
OG0000006	HUMAN14338, HUMAN14017	APOSC_10711
OG0000006	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823	APOSC_28483, APOSC_20785, APOSC_25644
OG0000006	HUMAN08442, HUMAN17032, HUMAN15898	APOSC_06790, APOSC_06791
OG0000006	HUMAN16426, HUMAN23135	APOSC_16303
OG0000007	HUMAN24418, HUMAN11538	APOSC_04982
OG0000007	HUMAN09570, HUMAN28803	APOSC_19545
OG0000007	HUMAN15831, HUMAN18759, HUMAN08323	APOSC_11262
OG0000007	HUMAN28730, HUMAN28754, HUMAN28742, HUMAN28745, HUMAN28436, HUMAN17539, HUMAN01097, HUMAN23486, HUMAN00971	APOSC_29119
OG0000007	HUMAN24202, HUMAN17278, HUMAN03780	APOSC_07509
OG0000007	HUMAN11539	APOSC_11745
OG0000007	HUMAN28408	APOSC_20868
OG0000007	HUMAN24416	APOSC_21514
OG0000007	HUMAN24417, HUMAN11533	APOSC_25152
OG0000007	HUMAN12258, HUMAN07103, HUMAN07102	APOSC_04562
OG0000007	HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949	APOSC_09541, APOSC_09542
OG0000007	HUMAN25936, HUMAN13634	APOSC_22651
OG0000007	HUMAN13395	APOSC_10715
OG0000007	HUMAN00818, HUMAN00819, HUMAN05935	APOSC_17950
OG0000007	HUMAN08248	APOSC_07482
OG0000008	HUMAN29311, HUMAN29312	APOSC_05395
OG0000008	HUMAN29384, HUMAN29385, HUMAN29383, HUMAN00569	APOSC_21268, APOSC_17741, APOSC_28461, APOSC_04276, APOSC_07021, APOSC_04176, APOSC_04177
OG0000010	HUMAN11412, HUMAN11410, HUMAN11411	APOSC_17642
OG0000010	HUMAN06405, HUMAN06406	APOSC_18394, APOSC_00478, APOSC_18393, APOSC_18395, APOSC_12160
OG0000010	HUMAN27128, HUMAN27130, HUMAN27129, HUMAN28616, HUMAN28615	APOSC_25939
OG0000012	HUMAN21758, HUMAN26719, HUMAN26720	APOSC_26906, APOSC_13089
OG0000012	HUMAN11190	APOSC_26545
OG0000012	HUMAN11191	APOSC_14826
OG0000013	HUMAN22810	APOSC_00689
OG0000013	HUMAN18418, HUMAN18417, HUMAN18416, HUMAN18419, HUMAN18410, HUMAN18413, HUMAN18411, HUMAN18412, HUMAN18415, HUMAN22469, HUMAN22470, HUMAN22464, HUMAN22463, HUMAN22465, HUMAN22466, HUMAN22467, HUMAN22462, HUMAN22468, HUMAN22460, HUMAN22461	APOSC_26024, APOSC_17612
OG0000014	HUMAN25476, HUMAN30053	APOSC_00187
OG0000015	HUMAN22985	APOSC_22269
OG0000015	HUMAN25366	APOSC_02353
OG0000015	HUMAN24184, HUMAN22368, HUMAN09174, HUMAN09175, HUMAN30469, HUMAN22369, HUMAN24183, HUMAN30472, HUMAN09173, HUMAN22372, HUMAN24180, HUMAN24179, HUMAN24178	APOSC_04279
OG0000016	HUMAN11007, HUMAN11006, HUMAN21858	APOSC_05404, APOSC_06852, APOSC_19259
OG0000016	HUMAN10581, HUMAN10583, HUMAN12987	APOSC_09216
OG0000016	HUMAN07767	APOSC_00060, APOSC_00061, APOSC_17734, APOSC_26907
OG0000016	HUMAN25103	APOSC_14883
OG0000016	HUMAN25104	APOSC_28721
OG0000016	HUMAN06120, HUMAN04223	APOSC_19884
OG0000019	HUMAN27262, HUMAN06385, HUMAN06383, HUMAN12384, HUMAN12385, HUMAN18277	APOSC_14801, APOSC_11507
OG0000020	HUMAN12659	APOSC_14708
OG0000020	HUMAN17841	APOSC_20703
OG0000020	HUMAN08344	APOSC_13376
OG0000020	HUMAN00926	APOSC_28648
OG0000020	HUMAN02145	APOSC_00691
OG0000020	HUMAN30100, HUMAN07717, HUMAN22328	APOSC_03094
OG0000020	HUMAN23847	APOSC_05461
OG0000020	HUMAN22639	APOSC_14067
OG0000020	HUMAN20816	APOSC_25230
OG0000021	HUMAN20500	APOSC_11990
OG0000021	HUMAN30680, HUMAN30504	APOSC_06563, APOSC_06562
OG0000021	HUMAN12331	APOSC_02202
OG0000021	HUMAN04273, HUMAN30251	APOSC_03399, APOSC_23486, APOSC_20200, APOSC_20201, APOSC_00458, APOSC_17587, APOSC_13199, APOSC_11609, APOSC_23651, APOSC_17223, APOSC_20614
OG0000021	HUMAN00882, HUMAN00880, HUMAN00881	APOSC_04995, APOSC_08508, APOSC_08509, APOSC_11901, APOSC_23082
OG0000023	HUMAN03767	APOSC_14758
OG0000023	HUMAN19878, HUMAN19879, HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367	APOSC_23823, APOSC_12992, APOSC_08983, APOSC_08982
OG0000023	HUMAN04007, HUMAN05393, HUMAN05394, HUMAN05401, HUMAN05399, HUMAN05395, HUMAN05400, HUMAN05396, HUMAN05404, HUMAN11050, HUMAN19103, HUMAN05403	APOSC_23115
OG0000026	HUMAN00402	APOSC_12180
OG0000026	HUMAN16545	APOSC_25312
OG0000026	HUMAN07669, HUMAN21745	APOSC_13965
OG0000026	HUMAN26724, HUMAN26725	APOSC_19946, APOSC_16869, APOSC_02238, APOSC_26096, APOSC_26099, APOSC_26100, APOSC_26095, APOSC_02237, APOSC_26097, APOSC_26098, APOSC_26101, APOSC_29011, APOSC_29010, APOSC_17220, APOSC_14214
OG0000028	HUMAN09193, HUMAN09206	APOSC_17838, APOSC_17839
OG0000029	HUMAN07316, HUMAN05232, HUMAN14995, HUMAN11203, HUMAN18356, HUMAN17029	APOSC_07574, APOSC_20436
OG0000029	HUMAN17820, HUMAN02270, HUMAN21749, HUMAN19538	APOSC_20307, APOSC_21722, APOSC_14165, APOSC_23954, APOSC_24664, APOSC_08971
OG0000030	HUMAN23235, HUMAN23234, HUMAN23233, HUMAN23232	APOSC_06833, APOSC_14874, APOSC_04381
OG0000030	HUMAN01740, HUMAN28679	APOSC_21869, APOSC_21866, APOSC_21868, APOSC_21867
OG0000031	HUMAN17850	APOSC_14687
OG0000031	HUMAN06489, HUMAN17883, HUMAN26042	APOSC_14535
OG0000031	HUMAN26979, HUMAN14235	APOSC_22115, APOSC_01319
OG0000031	HUMAN07725	APOSC_17680
OG0000031	HUMAN14922, HUMAN14786	APOSC_02579
OG0000031	HUMAN18122, HUMAN18121, HUMAN02818, HUMAN02819	APOSC_22997
OG0000032	HUMAN06107, HUMAN06100, HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105, HUMAN21527, HUMAN05202, HUMAN10072	APOSC_07613, APOSC_02397, APOSC_12691, APOSC_10351, APOSC_01318, APOSC_23129, APOSC_10044
OG0000032	HUMAN19258	APOSC_24218, APOSC_15369, APOSC_23030, APOSC_14347, APOSC_17486, APOSC_15168, APOSC_06921, APOSC_26892, APOSC_15726
OG0000034	HUMAN11672, HUMAN11673	APOSC_28767, APOSC_28766
OG0000034	HUMAN16090, HUMAN04116, HUMAN06217, HUMAN01449	APOSC_01056
OG0000034	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933	APOSC_00389
OG0000034	HUMAN01831, HUMAN13891	APOSC_10138
OG0000034	HUMAN04678	APOSC_10830
OG0000034	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093	APOSC_23397
OG0000034	HUMAN04988	APOSC_15909
OG0000035	HUMAN06576	APOSC_27035
OG0000035	HUMAN09866	APOSC_25872
OG0000035	HUMAN06191, HUMAN03898	APOSC_04998
OG0000035	HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810	APOSC_25573
OG0000035	HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844	APOSC_08656, APOSC_21135, APOSC_21136
OG0000035	HUMAN04383	APOSC_27270
OG0000036	HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233	APOSC_08020, APOSC_04631, APOSC_04630, APOSC_25667
OG0000036	HUMAN11289	APOSC_05772, APOSC_15090, APOSC_26588
OG0000036	HUMAN22872	APOSC_21353, APOSC_15807, APOSC_21905, APOSC_27485
OG0000036	HUMAN27983, HUMAN15223	APOSC_22964, APOSC_22965, APOSC_06557, APOSC_05790, APOSC_07698, APOSC_26587, APOSC_05773, APOSC_15091, APOSC_15092
OG0000037	HUMAN25007, HUMAN25008, HUMAN25010, HUMAN25009, HUMAN25006, HUMAN02504, HUMAN08759, HUMAN04817	APOSC_01516
OG0000037	HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443	APOSC_24133
OG0000037	HUMAN19040, HUMAN28273, HUMAN16721	APOSC_28740
OG0000037	HUMAN03689	APOSC_09580, APOSC_09579
OG0000038	HUMAN17661, HUMAN07446, HUMAN17632	APOSC_26556, APOSC_03113
OG0000038	HUMAN18259	APOSC_28699
OG0000038	HUMAN18258	APOSC_13411, APOSC_17001
OG0000038	HUMAN19701	APOSC_12872, APOSC_10359, APOSC_20091, APOSC_10945
OG0000038	HUMAN18257	APOSC_25222, APOSC_10656
OG0000039	HUMAN02107, HUMAN02110, HUMAN02111	APOSC_12842, APOSC_27514
OG0000039	HUMAN29023	APOSC_00666
OG0000039	HUMAN02446, HUMAN02447, HUMAN02449, HUMAN02450	APOSC_17065
OG0000039	HUMAN13199	APOSC_06140, APOSC_06138, APOSC_06139, APOSC_14138, APOSC_03802, APOSC_26119, APOSC_03803, APOSC_06401, APOSC_25262, APOSC_17567, APOSC_27255
OG0000040	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640	APOSC_12799, APOSC_05455, APOSC_11724, APOSC_11723, APOSC_18664, APOSC_11832, APOSC_16301, APOSC_16488, APOSC_28921, APOSC_07234
OG0000041	HUMAN01392, HUMAN16072, HUMAN04227, HUMAN06826, HUMAN01391	APOSC_19034
OG0000041	HUMAN15981, HUMAN01398, HUMAN05838, HUMAN01400, HUMAN01399, HUMAN05837, HUMAN01401, HUMAN05836, HUMAN04298	APOSC_26184
OG0000041	HUMAN19139, HUMAN27913	APOSC_00445
OG0000044	HUMAN22107, HUMAN27712, HUMAN24292, HUMAN22106, HUMAN27711, HUMAN03716, HUMAN03718, HUMAN03717	APOSC_25765
OG0000044	HUMAN22417, HUMAN24391, HUMAN07519	APOSC_03195
OG0000044	HUMAN07517	APOSC_22317
OG0000045	HUMAN02932	APOSC_22122, APOSC_09364, APOSC_16917
OG0000046	HUMAN23116	APOSC_27956
OG0000047	HUMAN22760	APOSC_11734
OG0000048	HUMAN16328	APOSC_05588
OG0000048	HUMAN16644	APOSC_11695
OG0000048	HUMAN11449	APOSC_03220
OG0000049	HUMAN25699, HUMAN05316	APOSC_16875
OG0000049	HUMAN20965, HUMAN26499	APOSC_03799
OG0000049	HUMAN24353, HUMAN24922, HUMAN24921, HUMAN26912, HUMAN20433	APOSC_10378
OG0000049	HUMAN26500	APOSC_13440
OG0000051	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201	APOSC_17477, APOSC_05458, APOSC_29038
OG0000054	HUMAN23119	APOSC_11718, APOSC_21385, APOSC_21386, APOSC_08913, APOSC_09151
OG0000056	HUMAN22445, HUMAN01195, HUMAN14849, HUMAN14869, HUMAN14864, HUMAN14480, HUMAN01194	APOSC_00208, APOSC_00207, APOSC_00209
OG0000057	HUMAN29650	APOSC_23236, APOSC_24402, APOSC_06368
OG0000058	HUMAN17378, HUMAN03592	APOSC_09888
OG0000058	HUMAN23378	APOSC_06035, APOSC_20919
OG0000059	HUMAN21611	APOSC_10184
OG0000059	HUMAN05382, HUMAN22839, HUMAN23845	APOSC_00480
OG0000060	HUMAN25284	APOSC_15645
OG0000060	HUMAN16007, HUMAN16006, HUMAN04276, HUMAN06988	APOSC_08992
OG0000061	HUMAN17964, HUMAN26554	APOSC_14996
OG0000061	HUMAN18142, HUMAN20809, HUMAN13555, HUMAN15809, HUMAN25004, HUMAN12027, HUMAN17562, HUMAN17563, HUMAN20727, HUMAN26146, HUMAN26147, HUMAN26149, HUMAN27338, HUMAN27337	APOSC_00292
OG0000061	HUMAN26138, HUMAN26137, HUMAN12821	APOSC_26114, APOSC_02472
OG0000062	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195	APOSC_13553, APOSC_13555, APOSC_22259, APOSC_22260, APOSC_26763
OG0000062	HUMAN25285	APOSC_18486, APOSC_01084
OG0000063	HUMAN14398, HUMAN28499, HUMAN00858	APOSC_25041
OG0000063	HUMAN21099	APOSC_17949
OG0000063	HUMAN00859, HUMAN28501	APOSC_22074, APOSC_13172, APOSC_22080
OG0000063	HUMAN18628, HUMAN03783, HUMAN03782	APOSC_13886, APOSC_04832
OG0000066	HUMAN29798	APOSC_20821
OG0000067	HUMAN24070, HUMAN22809	APOSC_06312, APOSC_24028, APOSC_22826, APOSC_27789, APOSC_07620, APOSC_22825, APOSC_12297, APOSC_15268, APOSC_06846
OG0000068	HUMAN26983	APOSC_25733
OG0000069	HUMAN13360, HUMAN02573, HUMAN06204	APOSC_27459
OG0000069	HUMAN13361, HUMAN02574	APOSC_07708
OG0000069	HUMAN01509, HUMAN24625, HUMAN24602, HUMAN24629, HUMAN24631, HUMAN24608, HUMAN24669, HUMAN24667, HUMAN02614, HUMAN24605, HUMAN24620, HUMAN24658	APOSC_11021
OG0000070	HUMAN14161	APOSC_18875, APOSC_15113, APOSC_18604, APOSC_18402, APOSC_17719, APOSC_06564, APOSC_13706, APOSC_09948
OG0000072	HUMAN22965, HUMAN22964, HUMAN04101	APOSC_26208
OG0000072	HUMAN22852	APOSC_12820
OG0000073	HUMAN24982	APOSC_07375
OG0000073	HUMAN19028, HUMAN27930, HUMAN11516, HUMAN27929, HUMAN06831, HUMAN06836	APOSC_27321
OG0000074	HUMAN07045, HUMAN07044, HUMAN21437	APOSC_10399, APOSC_08687, APOSC_25382
OG0000074	HUMAN09283	APOSC_18220
OG0000074	HUMAN15238, HUMAN13822	APOSC_05606, APOSC_18640, APOSC_15236, APOSC_01404, APOSC_16347, APOSC_00195, APOSC_13504
OG0000075	HUMAN12839, HUMAN02593	APOSC_14489
OG0000075	HUMAN18233	APOSC_10923
OG0000075	HUMAN00444	APOSC_12033
OG0000075	HUMAN18234, HUMAN06328	APOSC_07538
OG0000075	HUMAN01424, HUMAN01425, HUMAN26867	APOSC_06620
OG0000075	HUMAN05783, HUMAN21047	APOSC_08706
OG0000075	HUMAN20335, HUMAN20336, HUMAN20532	APOSC_20859
OG0000075	HUMAN26884	APOSC_19754
OG0000077	HUMAN18656, HUMAN24161, HUMAN27605, HUMAN27606	APOSC_15032
OG0000077	HUMAN25299, HUMAN00457, HUMAN21175, HUMAN25341, HUMAN23402	APOSC_19689
OG0000078	HUMAN15000, HUMAN04284, HUMAN06996	APOSC_28185, APOSC_19588, APOSC_19587, APOSC_28007
OG0000079	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848	APOSC_14016, APOSC_18637, APOSC_09201
OG0000079	HUMAN22600, HUMAN22601, HUMAN24340	APOSC_14696
OG0000079	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260	APOSC_10552, APOSC_10551
OG0000079	HUMAN14208	APOSC_06744
OG0000079	HUMAN14194, HUMAN14192	APOSC_18934, APOSC_10580
OG0000081	HUMAN03680, HUMAN03679, HUMAN03681, HUMAN03678	APOSC_01179, APOSC_09602, APOSC_20049, APOSC_01834
OG0000082	HUMAN29167	APOSC_14161
OG0000082	HUMAN23869	APOSC_20096
OG0000082	HUMAN05645	APOSC_11149
OG0000082	HUMAN23871	APOSC_15864
OG0000083	HUMAN07535, HUMAN22993	APOSC_20881
OG0000084	HUMAN03696, HUMAN22975	APOSC_25447
OG0000084	HUMAN05352	APOSC_27325
OG0000085	HUMAN12866, HUMAN20608, HUMAN17788	APOSC_13201
OG0000085	HUMAN13119, HUMAN07215	APOSC_00722
OG0000085	HUMAN26172	APOSC_00825
OG0000085	HUMAN19734, HUMAN19733, HUMAN05027	APOSC_21002
OG0000085	HUMAN25832	APOSC_25216
OG0000087	HUMAN02557	APOSC_11638, APOSC_06339
OG0000087	HUMAN21001	APOSC_20552
OG0000087	HUMAN18010	APOSC_26769, APOSC_05507
OG0000087	HUMAN21063	APOSC_26553, APOSC_26554
OG0000088	HUMAN03260, HUMAN04395, HUMAN21618, HUMAN29776, HUMAN11422, HUMAN11423, HUMAN11367	APOSC_25039, APOSC_29170, APOSC_01733, APOSC_28334, APOSC_03375, APOSC_28335, APOSC_05697, APOSC_25335, APOSC_07827
OG0000089	HUMAN29653, HUMAN25674	APOSC_18760
OG0000089	HUMAN25675	APOSC_22092, APOSC_06490
OG0000090	HUMAN24709	APOSC_26110
OG0000090	HUMAN28948	APOSC_03937
OG0000094	HUMAN05793, HUMAN05794, HUMAN21039, HUMAN14813, HUMAN21040, HUMAN29866	APOSC_02606, APOSC_02607
OG0000094	HUMAN02204, HUMAN29518, HUMAN14811	APOSC_21896, APOSC_21895
OG0000096	HUMAN30343, HUMAN07778, HUMAN21683	APOSC_05085
OG0000096	HUMAN01418, HUMAN23507, HUMAN06774	APOSC_03162
OG0000096	HUMAN27289	APOSC_25015
OG0000096	HUMAN13889, HUMAN01832	APOSC_00869
OG0000096	HUMAN06142, HUMAN01455, HUMAN03867, HUMAN06143, HUMAN03866	APOSC_16859
OG0000096	HUMAN04200, HUMAN04201, HUMAN16028	APOSC_21738
OG0000096	HUMAN21561	APOSC_21519
OG0000098	HUMAN15990, HUMAN03957, HUMAN18424, HUMAN19602	APOSC_13176, APOSC_13174, APOSC_13175
OG0000098	HUMAN28791, HUMAN09489, HUMAN28772, HUMAN28773, HUMAN09201, HUMAN28771	APOSC_27629, APOSC_10815
OG0000099	HUMAN05424	APOSC_25391, APOSC_06951
OG0000099	HUMAN15639, HUMAN15638, HUMAN05635, HUMAN25408, HUMAN00740, HUMAN19390	APOSC_01352, APOSC_23267
OG0000101	HUMAN11236, HUMAN11477, HUMAN11479, HUMAN11478	APOSC_08305
OG0000101	HUMAN22036, HUMAN22037	APOSC_23688
OG0000101	HUMAN06575, HUMAN06643, HUMAN06644, HUMAN06642, HUMAN17830	APOSC_25079, APOSC_09250
OG0000102	HUMAN08946, HUMAN02473	APOSC_11388
OG0000103	HUMAN12034, HUMAN12033, HUMAN12032, HUMAN12035, HUMAN12031, HUMAN12036, HUMAN08164, HUMAN08165, HUMAN21265, HUMAN18888	APOSC_08194
OG0000103	HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080	APOSC_19265
OG0000104	HUMAN05724, HUMAN19523	APOSC_15082, APOSC_15083, APOSC_15085, APOSC_15084
OG0000104	HUMAN26011, HUMAN26009, HUMAN26010, HUMAN21916, HUMAN21915, HUMAN12742	APOSC_11443, APOSC_11444, APOSC_11442
OG0000104	HUMAN05721, HUMAN19524, HUMAN05723, HUMAN05722	APOSC_16135
OG0000104	HUMAN19373	APOSC_04087, APOSC_04088
OG0000104	HUMAN02405, HUMAN02404, HUMAN06960, HUMAN29799	APOSC_13374
OG0000106	HUMAN11182, HUMAN29629, HUMAN29628, HUMAN11556, HUMAN27976, HUMAN27977, HUMAN27979, HUMAN27978	APOSC_22868
OG0000106	HUMAN27844	APOSC_21078
OG0000106	HUMAN01589, HUMAN09602	APOSC_19922, APOSC_04238, APOSC_13779, APOSC_13776, APOSC_13777, APOSC_13780, APOSC_13778, APOSC_25862, APOSC_25863
OG0000107	HUMAN24661	APOSC_21347
OG0000113	HUMAN00919	APOSC_22087, APOSC_26451
OG0000114	HUMAN22220, HUMAN22219, HUMAN00197, HUMAN00198, HUMAN00199	APOSC_10928, APOSC_00248, APOSC_23655, APOSC_06012, APOSC_17348, APOSC_05416
OG0000115	HUMAN11469, HUMAN11468	APOSC_04786
OG0000116	HUMAN18678	APOSC_28097, APOSC_09224
OG0000117	HUMAN14532	APOSC_19840, APOSC_25285
OG0000119	HUMAN17875, HUMAN06568, HUMAN12949	APOSC_11483
OG0000119	HUMAN17960, HUMAN06534, HUMAN02909, HUMAN12779	APOSC_20728, APOSC_03029, APOSC_22358, APOSC_01445, APOSC_04311, APOSC_04310, APOSC_02102
OG0000119	HUMAN17940, HUMAN20669	APOSC_19027, APOSC_11438, APOSC_25237, APOSC_25238
OG0000120	HUMAN29071, HUMAN29070	APOSC_04315
OG0000120	HUMAN15435, HUMAN15439, HUMAN15434	APOSC_18873
OG0000120	HUMAN26557	APOSC_13215
OG0000120	HUMAN17966, HUMAN17965	APOSC_05045
OG0000121	HUMAN22782	APOSC_24649, APOSC_24650, APOSC_11574, APOSC_15665, APOSC_05374, APOSC_28387, APOSC_12126, APOSC_08548, APOSC_10960, APOSC_00676, APOSC_02343
OG0000122	HUMAN12772, HUMAN27264, HUMAN18288	APOSC_25177
OG0000122	HUMAN17166, HUMAN22503, HUMAN22502, HUMAN23904, HUMAN17167, HUMAN20607, HUMAN17789, HUMAN06426, HUMAN06427	APOSC_11178
OG0000123	HUMAN22221, HUMAN24254	APOSC_03443
OG0000123	HUMAN03664, HUMAN27696, HUMAN24043	APOSC_20465
OG0000123	HUMAN24256	APOSC_23180
OG0000124	HUMAN03991	APOSC_29022
OG0000124	HUMAN13586, HUMAN25969, HUMAN20106	APOSC_26551
OG0000124	HUMAN00442, HUMAN00443	APOSC_03695
OG0000124	HUMAN08498, HUMAN16926	APOSC_13919
OG0000124	HUMAN09305, HUMAN02618	APOSC_09834
OG0000125	HUMAN20601, HUMAN20600, HUMAN12568, HUMAN12567, HUMAN12566, HUMAN06479, HUMAN06480	APOSC_10519, APOSC_10520, APOSC_10518
OG0000125	HUMAN20598, HUMAN20599, HUMAN12556	APOSC_27450
OG0000125	HUMAN04438, HUMAN04439, HUMAN16073	APOSC_26262, APOSC_07039, APOSC_19200
OG0000126	HUMAN07866, HUMAN30407, HUMAN21845	APOSC_16760
OG0000126	HUMAN07493, HUMAN22359	APOSC_21117
OG0000126	HUMAN14005, HUMAN14232, HUMAN14231, HUMAN01769, HUMAN01768, HUMAN09480	APOSC_28093
OG0000127	HUMAN07859, HUMAN30409, HUMAN21844	APOSC_24103
OG0000127	HUMAN21549, HUMAN07766	APOSC_09690
OG0000127	HUMAN24572, HUMAN16589, HUMAN18562	APOSC_02788
OG0000127	HUMAN27422, HUMAN19318	APOSC_16052, APOSC_16050, APOSC_16051
OG0000127	HUMAN10225, HUMAN20144, HUMAN20145, HUMAN13245	APOSC_04103
OG0000128	HUMAN04854, HUMAN04855	APOSC_22700, APOSC_06337
OG0000128	HUMAN04482, HUMAN05330, HUMAN05329	APOSC_23630, APOSC_23631, APOSC_15987, APOSC_15026, APOSC_22520, APOSC_16380
OG0000129	HUMAN02545, HUMAN04877, HUMAN25129, HUMAN02543, HUMAN15464, HUMAN02634, HUMAN09344	APOSC_12123, APOSC_24173
OG0000129	HUMAN05233, HUMAN30228	APOSC_21068
OG0000130	HUMAN22786	APOSC_11963
OG0000130	HUMAN25167	APOSC_11111
OG0000130	HUMAN03377	APOSC_28750
OG0000131	HUMAN19899	APOSC_21472, APOSC_03272, APOSC_06150
OG0000132	HUMAN24615, HUMAN24626, HUMAN24666, HUMAN24609, HUMAN24612, HUMAN24601	APOSC_13028, APOSC_01542, APOSC_27288, APOSC_18201, APOSC_28955, APOSC_10689
OG0000132	HUMAN20126	APOSC_24064, APOSC_09777, APOSC_09775, APOSC_09776
OG0000133	HUMAN27246, HUMAN27250, HUMAN27247, HUMAN27249, HUMAN27245, HUMAN27244, HUMAN27243	APOSC_10890, APOSC_11662, APOSC_00731, APOSC_10887, APOSC_29109, APOSC_28597, APOSC_18469, APOSC_23463
OG0000137	HUMAN28180, HUMAN25590, HUMAN25594	APOSC_04370
OG0000137	HUMAN13481	APOSC_14845, APOSC_20394, APOSC_26237, APOSC_01998
OG0000137	HUMAN25150, HUMAN25149	APOSC_01981, APOSC_01895, APOSC_21797
OG0000139	HUMAN26414	APOSC_05339
OG0000140	HUMAN27223	APOSC_20679
OG0000140	HUMAN05841	APOSC_21817, APOSC_06250
OG0000140	HUMAN06860, HUMAN05842	APOSC_13035
OG0000141	HUMAN27964, HUMAN30567	APOSC_16747, APOSC_12558, APOSC_00130, APOSC_04354, APOSC_22998, APOSC_22734, APOSC_11878, APOSC_03319, APOSC_15420, APOSC_14671
OG0000147	HUMAN18499, HUMAN00218	APOSC_05531, APOSC_20902
OG0000147	HUMAN24559, HUMAN27635	APOSC_16682
OG0000147	HUMAN02299	APOSC_25363
OG0000147	HUMAN18714, HUMAN18712	APOSC_20013
OG0000148	HUMAN30520, HUMAN20407, HUMAN26826, HUMAN02390, HUMAN02389	APOSC_14879, APOSC_14878
OG0000148	HUMAN20409, HUMAN21158, HUMAN20413, HUMAN20412, HUMAN05377, HUMAN02391, HUMAN06229	APOSC_22996
OG0000148	HUMAN06230	APOSC_25505, APOSC_02226
