Orthogroup	HUMAN	HELIO_ok
OG0000007	HUMAN15831, HUMAN18759, HUMAN08323	HELIO_00643
OG0000007	HUMAN28730, HUMAN28754, HUMAN28742, HUMAN28745, HUMAN28436, HUMAN17539, HUMAN01097, HUMAN23486, HUMAN00971	HELIO_00352
OG0000007	HUMAN24202, HUMAN17278, HUMAN03780	HELIO_11362
OG0000007	HUMAN11539	HELIO_11129
OG0000007	HUMAN24417, HUMAN11533	HELIO_04873
OG0000007	HUMAN12258, HUMAN07103, HUMAN07102	HELIO_03703
OG0000007	HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949	HELIO_07978
OG0000007	HUMAN25936, HUMAN13634	HELIO_03118
OG0000007	HUMAN13395	HELIO_07991
OG0000007	HUMAN00818, HUMAN00819, HUMAN05935	HELIO_04275
OG0000007	HUMAN08248	HELIO_11721
OG0000010	HUMAN10343, HUMAN10940, HUMAN10342, HUMAN10337	HELIO_07073
OG0000010	HUMAN06405, HUMAN06406	HELIO_09797
OG0000012	HUMAN21758, HUMAN26719, HUMAN26720	HELIO_04072, HELIO_05750
OG0000012	HUMAN11190	HELIO_06831
OG0000014	HUMAN25476, HUMAN30053	HELIO_12068
OG0000014	HUMAN13227	HELIO_10724
OG0000015	HUMAN29611, HUMAN30168, HUMAN23062, HUMAN24113	HELIO_10798
OG0000016	HUMAN26870	HELIO_04641
OG0000016	HUMAN11007, HUMAN11006, HUMAN21858	HELIO_05159, HELIO_08806, HELIO_03950, HELIO_10054
OG0000016	HUMAN10581, HUMAN10583, HUMAN12987	HELIO_05456
OG0000016	HUMAN07767	HELIO_09779
OG0000016	HUMAN25103	HELIO_04647
OG0000016	HUMAN06120, HUMAN04223	HELIO_07322, HELIO_06996, HELIO_05885, HELIO_04527, HELIO_04564
OG0000019	HUMAN27262, HUMAN06385, HUMAN06383, HUMAN12384, HUMAN12385, HUMAN18277	HELIO_11234
OG0000020	HUMAN08344	HELIO_01087
OG0000020	HUMAN00926	HELIO_03892
OG0000020	HUMAN02350, HUMAN02349	HELIO_08119
OG0000020	HUMAN17840	HELIO_10764
OG0000020	HUMAN05209, HUMAN21854, HUMAN21853	HELIO_10811
OG0000020	HUMAN02145	HELIO_12285
OG0000020	HUMAN30100, HUMAN07717, HUMAN22328	HELIO_05828
OG0000020	HUMAN00010	HELIO_10575
OG0000020	HUMAN23847	HELIO_05888
OG0000020	HUMAN22639	HELIO_08365
OG0000020	HUMAN20816	HELIO_01918
OG0000021	HUMAN30680, HUMAN30504	HELIO_02163
OG0000021	HUMAN04273, HUMAN30251	HELIO_10440, HELIO_04726, HELIO_09286, HELIO_07603
OG0000021	HUMAN00882, HUMAN00880, HUMAN00881	HELIO_02648, HELIO_08020, HELIO_10557, HELIO_04069
OG0000023	HUMAN03767	HELIO_07781
OG0000023	HUMAN19878, HUMAN19879, HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367	HELIO_08618, HELIO_08359, HELIO_11316
OG0000023	HUMAN04007, HUMAN05393, HUMAN05394, HUMAN05401, HUMAN05399, HUMAN05395, HUMAN05400, HUMAN05396, HUMAN05404, HUMAN11050, HUMAN19103, HUMAN05403	HELIO_07600, HELIO_09870
OG0000026	HUMAN16545	HELIO_04505
OG0000026	HUMAN26724, HUMAN26725	HELIO_00695, HELIO_00694, HELIO_09541
OG0000028	HUMAN09209	HELIO_10800
OG0000028	HUMAN09193, HUMAN09206	HELIO_06306
OG0000029	HUMAN07316, HUMAN05232, HUMAN14995, HUMAN11203, HUMAN18356, HUMAN17029	HELIO_10546, HELIO_00115
OG0000029	HUMAN24898, HUMAN21852	HELIO_11942
OG0000030	HUMAN01740, HUMAN28679	HELIO_04525, HELIO_09505
OG0000031	HUMAN17850	HELIO_00475
OG0000031	HUMAN06489, HUMAN17883, HUMAN26042	HELIO_11237
OG0000031	HUMAN26043	HELIO_10166
OG0000031	HUMAN26979, HUMAN14235	HELIO_11573, HELIO_11428
OG0000031	HUMAN07725	HELIO_00638
OG0000031	HUMAN14922, HUMAN14786	HELIO_00007
OG0000031	HUMAN07726, HUMAN22322	HELIO_08452
OG0000031	HUMAN18122, HUMAN18121, HUMAN02818, HUMAN02819	HELIO_02162
OG0000032	HUMAN06107, HUMAN06100, HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105, HUMAN21527, HUMAN05202, HUMAN10072	HELIO_03061, HELIO_11764, HELIO_06747
OG0000032	HUMAN19258	HELIO_05612, HELIO_01994, HELIO_06271, HELIO_05549, HELIO_06177, HELIO_11472, HELIO_11063, HELIO_05021, HELIO_02986
OG0000034	HUMAN07187	HELIO_11044
OG0000034	HUMAN11672, HUMAN11673	HELIO_03040
OG0000034	HUMAN16090, HUMAN04116, HUMAN06217, HUMAN01449	HELIO_11045
OG0000034	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933	HELIO_10910
OG0000034	HUMAN01831, HUMAN13891	HELIO_05981
OG0000034	HUMAN04678	HELIO_12487
OG0000034	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093	HELIO_11629
OG0000035	HUMAN06576	HELIO_04621
OG0000035	HUMAN09866	HELIO_12501
OG0000035	HUMAN06191, HUMAN03898	HELIO_03534
OG0000035	HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810	HELIO_07811, HELIO_06366
OG0000035	HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844	HELIO_00732, HELIO_11539
OG0000035	HUMAN04383	HELIO_04984
OG0000036	HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233	HELIO_01209, HELIO_01210, HELIO_09115, HELIO_04594, HELIO_09618
OG0000036	HUMAN22872	HELIO_07711
OG0000036	HUMAN27983, HUMAN15223	HELIO_02352, HELIO_11421, HELIO_04744
OG0000037	HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443	HELIO_01421
OG0000037	HUMAN19040, HUMAN28273, HUMAN16721	HELIO_01377
OG0000037	HUMAN03689	HELIO_04770
OG0000039	HUMAN29023	HELIO_01180
OG0000040	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640	HELIO_00109, HELIO_04015, HELIO_04001, HELIO_06439, HELIO_00160, HELIO_06945
OG0000044	HUMAN22107, HUMAN27712, HUMAN24292, HUMAN22106, HUMAN27711, HUMAN03716, HUMAN03718, HUMAN03717	HELIO_05461
OG0000044	HUMAN07517	HELIO_08837
OG0000046	HUMAN23116	HELIO_08475
OG0000048	HUMAN29550	HELIO_10223
OG0000048	HUMAN16328	HELIO_11655
OG0000048	HUMAN16644	HELIO_08708
OG0000048	HUMAN11449	HELIO_05605
OG0000051	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201	HELIO_11965, HELIO_05090, HELIO_05789
OG0000054	HUMAN23119	HELIO_11556, HELIO_11049, HELIO_07252, HELIO_05216
OG0000056	HUMAN22445, HUMAN01195, HUMAN14849, HUMAN14869, HUMAN14864, HUMAN14480, HUMAN01194	HELIO_05303
OG0000056	HUMAN07396, HUMAN07395	HELIO_03513
OG0000056	HUMAN14865	HELIO_07637
OG0000057	HUMAN23569, HUMAN10014	HELIO_05858
OG0000059	HUMAN21611	HELIO_08348
OG0000059	HUMAN05382, HUMAN22839, HUMAN23845	HELIO_07693, HELIO_05488
OG0000060	HUMAN25284	HELIO_02035
OG0000060	HUMAN16007, HUMAN16006, HUMAN04276, HUMAN06988	HELIO_12113
OG0000061	HUMAN17964, HUMAN26554	HELIO_11204
OG0000061	HUMAN26138, HUMAN26137, HUMAN12821	HELIO_04007, HELIO_00294, HELIO_10663
OG0000062	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195	HELIO_01760, HELIO_09809, HELIO_08709
OG0000062	HUMAN25285	HELIO_06316
OG0000063	HUMAN14398, HUMAN28499, HUMAN00858	HELIO_10147
OG0000063	HUMAN21099	HELIO_12629
OG0000063	HUMAN18628, HUMAN03783, HUMAN03782	HELIO_04155
OG0000066	HUMAN29798	HELIO_11387
OG0000067	HUMAN24070, HUMAN22809	HELIO_07211, HELIO_04257, HELIO_02907, HELIO_01151, HELIO_02361, HELIO_07310, HELIO_09285, HELIO_10782
OG0000068	HUMAN20381	HELIO_09524, HELIO_08964
OG0000069	HUMAN01509, HUMAN24625, HUMAN24602, HUMAN24629, HUMAN24631, HUMAN24608, HUMAN24669, HUMAN24667, HUMAN02614, HUMAN24605, HUMAN24620, HUMAN24658	HELIO_05270
OG0000070	HUMAN14161	HELIO_00590, HELIO_05047, HELIO_00591
OG0000072	HUMAN22965, HUMAN22964, HUMAN04101	HELIO_09782
OG0000072	HUMAN22852	HELIO_10131
OG0000072	HUMAN03255, HUMAN03252	HELIO_05118, HELIO_10379
OG0000073	HUMAN19028, HUMAN27930, HUMAN11516, HUMAN27929, HUMAN06831, HUMAN06836	HELIO_07437
OG0000074	HUMAN07045, HUMAN07044, HUMAN21437	HELIO_11128, HELIO_09183, HELIO_01338, HELIO_05011, HELIO_10435, HELIO_08963
OG0000074	HUMAN09283	HELIO_06403
OG0000074	HUMAN15238, HUMAN13822	HELIO_01439, HELIO_07384, HELIO_06770, HELIO_11885
OG0000075	HUMAN12839, HUMAN02593	HELIO_02705
OG0000075	HUMAN18233	HELIO_12175
OG0000075	HUMAN06329	HELIO_01007
OG0000075	HUMAN00444	HELIO_07086
OG0000075	HUMAN18234, HUMAN06328	HELIO_01193
OG0000075	HUMAN05783, HUMAN21047	HELIO_09567
OG0000075	HUMAN20335, HUMAN20336, HUMAN20532	HELIO_05177
OG0000075	HUMAN26884	HELIO_00684
OG0000077	HUMAN18656, HUMAN24161, HUMAN27605, HUMAN27606	HELIO_05657
OG0000077	HUMAN25299, HUMAN00457, HUMAN21175, HUMAN25341, HUMAN23402	HELIO_00295
OG0000077	HUMAN03419	HELIO_12145
OG0000078	HUMAN15000, HUMAN04284, HUMAN06996	HELIO_04372, HELIO_06334, HELIO_11613, HELIO_04314, HELIO_00570
OG0000079	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848	HELIO_01794, HELIO_05740
OG0000079	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260	HELIO_00549
OG0000079	HUMAN14208, HUMAN14194, HUMAN14192	HELIO_01744, HELIO_07509
OG0000081	HUMAN03680, HUMAN03679, HUMAN03681, HUMAN03678	HELIO_00244
OG0000082	HUMAN29167	HELIO_12249
OG0000082	HUMAN23869	HELIO_08556
OG0000082	HUMAN23871	HELIO_05158
OG0000085	HUMAN12866, HUMAN20608, HUMAN17788	HELIO_02405
OG0000085	HUMAN13119, HUMAN07215	HELIO_05344
OG0000085	HUMAN25832	HELIO_11582
OG0000087	HUMAN11956	HELIO_02847, HELIO_02846
OG0000087	HUMAN02557	HELIO_09425
OG0000087	HUMAN21001	HELIO_00773
OG0000087	HUMAN21063	HELIO_06633
OG0000087	HUMAN10659	HELIO_01983
OG0000088	HUMAN03260, HUMAN04395, HUMAN21618, HUMAN29776, HUMAN11422, HUMAN11423, HUMAN11367	HELIO_00040, HELIO_06555, HELIO_11791, HELIO_06055, HELIO_05195, HELIO_00315, HELIO_08555, HELIO_06391, HELIO_08028
OG0000089	HUMAN29653, HUMAN25674	HELIO_06684, HELIO_10658
OG0000090	HUMAN24709	HELIO_12415
OG0000090	HUMAN28948	HELIO_03859, HELIO_12616
OG0000093	HUMAN25814, HUMAN25815, HUMAN26490, HUMAN26491, HUMAN20914	HELIO_04928, HELIO_06889
OG0000094	HUMAN05793, HUMAN05794, HUMAN21039, HUMAN14813, HUMAN21040, HUMAN29866	HELIO_07015
OG0000094	HUMAN02204, HUMAN29518, HUMAN14811	HELIO_03878
OG0000096	HUMAN30343, HUMAN07778, HUMAN21683	HELIO_07466
OG0000096	HUMAN01418, HUMAN23507, HUMAN06774	HELIO_03681
OG0000096	HUMAN27289	HELIO_03321
OG0000096	HUMAN13889, HUMAN01832	HELIO_06897
OG0000096	HUMAN06142, HUMAN01455, HUMAN03867, HUMAN06143, HUMAN03866	HELIO_03947
OG0000096	HUMAN21561	HELIO_09595
OG0000098	HUMAN15990, HUMAN03957, HUMAN18424, HUMAN19602	HELIO_07543
OG0000098	HUMAN28791, HUMAN09489, HUMAN28772, HUMAN28773, HUMAN09201, HUMAN28771	HELIO_00467, HELIO_11416
OG0000099	HUMAN15639, HUMAN15638, HUMAN05635, HUMAN25408, HUMAN00740, HUMAN19390	HELIO_00318, HELIO_06995
OG0000101	HUMAN11236, HUMAN11477, HUMAN11479, HUMAN11478	HELIO_03317
OG0000101	HUMAN22036, HUMAN22037	HELIO_11521
OG0000101	HUMAN06575, HUMAN06643, HUMAN06644, HUMAN06642, HUMAN17830	HELIO_06274, HELIO_11624, HELIO_06876
OG0000102	HUMAN08946, HUMAN02473	HELIO_08564
OG0000103	HUMAN12034, HUMAN12033, HUMAN12032, HUMAN12035, HUMAN12031, HUMAN12036, HUMAN08164, HUMAN08165, HUMAN21265, HUMAN18888	HELIO_03996
OG0000103	HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080	HELIO_12543
OG0000104	HUMAN05724, HUMAN19523	HELIO_04946
OG0000104	HUMAN26011, HUMAN26009, HUMAN26010, HUMAN21916, HUMAN21915, HUMAN12742	HELIO_03807
OG0000104	HUMAN05721, HUMAN19524, HUMAN05723, HUMAN05722	HELIO_05172
OG0000104	HUMAN19373	HELIO_02282
OG0000104	HUMAN02405, HUMAN02404, HUMAN06960, HUMAN29799	HELIO_00006
OG0000106	HUMAN11182, HUMAN29629, HUMAN29628, HUMAN11556, HUMAN27976, HUMAN27977, HUMAN27979, HUMAN27978	HELIO_02364
OG0000106	HUMAN27844	HELIO_07474
OG0000106	HUMAN01589, HUMAN09602	HELIO_05614, HELIO_10877
OG0000107	HUMAN24661	HELIO_04878
OG0000113	HUMAN00919	HELIO_06754
OG0000114	HUMAN22220, HUMAN22219, HUMAN00197, HUMAN00198, HUMAN00199	HELIO_10462, HELIO_00027, HELIO_06292
OG0000115	HUMAN11469, HUMAN11468	HELIO_10283, HELIO_10284
OG0000116	HUMAN18678	HELIO_08217, HELIO_10553
OG0000119	HUMAN17875, HUMAN06568, HUMAN12949	HELIO_09291
OG0000119	HUMAN17960, HUMAN06534, HUMAN02909, HUMAN12779	HELIO_06886, HELIO_09246, HELIO_05606, HELIO_03015
OG0000119	HUMAN17940, HUMAN20669	HELIO_08423, HELIO_01329
OG0000121	HUMAN23092, HUMAN03659	HELIO_11384
OG0000122	HUMAN12772, HUMAN27264, HUMAN18288	HELIO_09221
OG0000122	HUMAN17166, HUMAN22503, HUMAN22502, HUMAN23904, HUMAN17167, HUMAN20607, HUMAN17789, HUMAN06426, HUMAN06427	HELIO_00601, HELIO_11330
OG0000123	HUMAN22221, HUMAN24254	HELIO_08717
OG0000123	HUMAN03664, HUMAN27696, HUMAN24043	HELIO_08884
OG0000123	HUMAN24256	HELIO_09001
OG0000124	HUMAN03991	HELIO_02264
OG0000124	HUMAN13586, HUMAN25969, HUMAN20106	HELIO_07531
OG0000124	HUMAN00442, HUMAN00443	HELIO_08965
OG0000124	HUMAN09305, HUMAN02618	HELIO_01505
OG0000125	HUMAN20601, HUMAN20600, HUMAN12568, HUMAN12567, HUMAN12566, HUMAN06479, HUMAN06480	HELIO_11225
OG0000125	HUMAN20598, HUMAN20599, HUMAN12556	HELIO_03951
OG0000125	HUMAN04438, HUMAN04439, HUMAN16073	HELIO_08019
OG0000126	HUMAN07866, HUMAN30407, HUMAN21845	HELIO_05678
OG0000126	HUMAN07493, HUMAN22359	HELIO_02617
OG0000126	HUMAN14005, HUMAN14232, HUMAN14231, HUMAN01769, HUMAN01768, HUMAN09480	HELIO_12717
OG0000127	HUMAN07859, HUMAN30409, HUMAN21844	HELIO_00274
OG0000127	HUMAN21549, HUMAN07766	HELIO_04203
OG0000127	HUMAN24572, HUMAN16589, HUMAN18562	HELIO_00760
OG0000127	HUMAN27422, HUMAN19318	HELIO_10652
OG0000127	HUMAN10225, HUMAN20144, HUMAN20145, HUMAN13245	HELIO_03723
OG0000128	HUMAN04854, HUMAN04855	HELIO_05183
OG0000128	HUMAN04482, HUMAN05330, HUMAN05329	HELIO_03924
OG0000128	HUMAN21997	HELIO_00789
OG0000129	HUMAN02545, HUMAN04877, HUMAN25129, HUMAN02543, HUMAN15464, HUMAN02634, HUMAN09344	HELIO_05477
OG0000129	HUMAN05233, HUMAN30228	HELIO_12045
OG0000130	HUMAN22786	HELIO_00229
OG0000131	HUMAN19899	HELIO_00530, HELIO_08397
OG0000132	HUMAN24615, HUMAN24626, HUMAN24666, HUMAN24609, HUMAN24612, HUMAN24601	HELIO_02084, HELIO_02083, HELIO_03711
OG0000132	HUMAN20126	HELIO_04353
OG0000137	HUMAN28180, HUMAN25590, HUMAN25594	HELIO_10563
OG0000137	HUMAN13481	HELIO_05850
OG0000137	HUMAN25150, HUMAN25149	HELIO_01589, HELIO_12262
OG0000141	HUMAN27964, HUMAN30567	HELIO_03491, HELIO_06248, HELIO_06291, HELIO_06766, HELIO_00102, HELIO_10597
OG0000147	HUMAN18499, HUMAN00218	HELIO_12780
OG0000147	HUMAN24559, HUMAN27635	HELIO_07856
OG0000147	HUMAN02299	HELIO_02877
OG0000148	HUMAN30520, HUMAN20407, HUMAN26826, HUMAN02390, HUMAN02389	HELIO_12241
OG0000148	HUMAN20409, HUMAN21158, HUMAN20413, HUMAN20412, HUMAN05377, HUMAN02391, HUMAN06229	HELIO_01322
OG0000149	HUMAN23614, HUMAN23616, HUMAN23619	HELIO_11224
OG0000149	HUMAN10034, HUMAN23690	HELIO_09667, HELIO_05786, HELIO_08463, HELIO_10026
OG0000149	HUMAN22790	HELIO_08561
OG0000151	HUMAN14595, HUMAN29381, HUMAN29382, HUMAN24889, HUMAN01320	HELIO_02909
OG0000151	HUMAN26562, HUMAN12958, HUMAN06281, HUMAN17972, HUMAN17973	HELIO_01067
OG0000151	HUMAN29073, HUMAN01218, HUMAN01219	HELIO_11427
OG0000154	HUMAN19436	HELIO_00470
OG0000155	HUMAN28367, HUMAN28368, HUMAN25231, HUMAN00772, HUMAN25229, HUMAN28369	HELIO_06336
OG0000155	HUMAN25228, HUMAN25227, HUMAN25225, HUMAN00773, HUMAN00771	HELIO_10305
OG0000157	HUMAN28808, HUMAN14307	HELIO_02764
OG0000157	HUMAN11058, HUMAN11059	HELIO_02898
OG0000158	HUMAN19321, HUMAN25759, HUMAN27804	HELIO_05890
OG0000159	HUMAN27903	HELIO_11077
OG0000159	HUMAN25418	HELIO_07755
OG0000159	HUMAN04389, HUMAN23217, HUMAN11668	HELIO_07071, HELIO_00285, HELIO_10509
OG0000160	HUMAN18884, HUMAN18883	HELIO_11870
OG0000160	HUMAN19901, HUMAN19900, HUMAN19910, HUMAN19911, HUMAN18777, HUMAN19703, HUMAN19833, HUMAN19781	HELIO_09094
OG0000163	HUMAN13482, HUMAN13483	HELIO_05553
OG0000163	HUMAN13485, HUMAN13486, HUMAN20190	HELIO_02290
OG0000163	HUMAN12888, HUMAN06524, HUMAN26092	HELIO_07317
OG0000164	HUMAN10088, HUMAN01535, HUMAN23587, HUMAN15005, HUMAN15004, HUMAN15006	HELIO_04867
OG0000165	HUMAN22846, HUMAN23999, HUMAN27465, HUMAN07472, HUMAN30066, HUMAN05822, HUMAN05073, HUMAN22589, HUMAN05074, HUMAN09475, HUMAN23325, HUMAN14142, HUMAN30404, HUMAN30403, HUMAN30402, HUMAN11922, HUMAN21957, HUMAN07815, HUMAN07814	HELIO_01649
OG0000166	HUMAN10732	HELIO_00134, HELIO_00135
OG0000166	HUMAN10959, HUMAN20038, HUMAN20042, HUMAN00974, HUMAN12174	HELIO_11547
OG0000167	HUMAN18828, HUMAN27819, HUMAN27432, HUMAN00659, HUMAN00656, HUMAN25481, HUMAN00574, HUMAN18970, HUMAN13661	HELIO_07346
OG0000168	HUMAN04351	HELIO_11699
OG0000168	HUMAN14875, HUMAN23273, HUMAN01023, HUMAN28467	HELIO_07708
OG0000168	HUMAN04352	HELIO_00592
OG0000169	HUMAN03065, HUMAN11979, HUMAN11981, HUMAN11980, HUMAN11869, HUMAN11789	HELIO_04309, HELIO_11118, HELIO_04365, HELIO_12257
OG0000171	HUMAN12335	HELIO_09820
OG0000171	HUMAN03531, HUMAN22193	HELIO_01149
OG0000171	HUMAN23027	HELIO_03619
OG0000172	HUMAN06695, HUMAN06696, HUMAN18231, HUMAN17598	HELIO_09881
OG0000173	HUMAN27146, HUMAN26710, HUMAN21895, HUMAN21533, HUMAN00452, HUMAN18290, HUMAN22447, HUMAN21180, HUMAN21189, HUMAN00447, HUMAN00448, HUMAN00343, HUMAN27169, HUMAN00752, HUMAN00751, HUMAN25381	HELIO_09570, HELIO_09571
OG0000174	HUMAN28400, HUMAN02927	HELIO_09480, HELIO_04614, HELIO_10809
OG0000174	HUMAN27541, HUMAN27540, HUMAN22731	HELIO_01069
OG0000175	HUMAN22641, HUMAN22640	HELIO_05633
OG0000175	HUMAN27918, HUMAN27828, HUMAN27827	HELIO_11471
OG0000179	HUMAN01511, HUMAN01513, HUMAN01517, HUMAN01565, HUMAN01540, HUMAN01553, HUMAN01502, HUMAN26276, HUMAN03337, HUMAN03338	HELIO_05015
OG0000179	HUMAN23712, HUMAN09621	HELIO_04929
OG0000179	HUMAN22996	HELIO_08122
OG0000180	HUMAN21794	HELIO_10517
OG0000180	HUMAN27480, HUMAN07523, HUMAN30008	HELIO_01389
OG0000181	HUMAN26916, HUMAN21065	HELIO_03744
OG0000181	HUMAN08369	HELIO_10771
OG0000182	HUMAN09225	HELIO_06024
OG0000183	HUMAN15779, HUMAN08957, HUMAN04785, HUMAN02522	HELIO_03106, HELIO_07785
OG0000183	HUMAN05463	HELIO_12279
OG0000183	HUMAN05532	HELIO_02987
OG0000184	HUMAN02122, HUMAN02125, HUMAN02123, HUMAN02124, HUMAN02120, HUMAN01543	HELIO_04383
OG0000185	HUMAN06309, HUMAN06308, HUMAN21401	HELIO_02917
OG0000185	HUMAN11020, HUMAN08224, HUMAN23184	HELIO_08141
OG0000185	HUMAN16695	HELIO_12016
OG0000186	HUMAN00084	HELIO_02314
OG0000188	HUMAN27535, HUMAN03482, HUMAN23029	HELIO_10975
OG0000192	HUMAN18173	HELIO_08116
OG0000192	HUMAN01281, HUMAN28989, HUMAN14173	HELIO_04385
OG0000192	HUMAN29457	HELIO_03071
OG0000192	HUMAN10321	HELIO_03349
OG0000194	HUMAN21679, HUMAN21678, HUMAN21808, HUMAN00275, HUMAN00276	HELIO_04375, HELIO_03596, HELIO_05547, HELIO_11820, HELIO_06680, HELIO_07417
OG0000195	HUMAN21628, HUMAN21627, HUMAN21626, HUMAN11913, HUMAN11912, HUMAN21624	HELIO_05982
OG0000197	HUMAN09888, HUMAN01887, HUMAN09887	HELIO_06777, HELIO_03671
OG0000197	HUMAN00214, HUMAN21576, HUMAN21577, HUMAN21578, HUMAN05914, HUMAN05913, HUMAN00631, HUMAN25533, HUMAN25532, HUMAN27956, HUMAN27958, HUMAN27961, HUMAN27960, HUMAN27957, HUMAN27959	HELIO_03884
OG0000198	HUMAN07259, HUMAN00404, HUMAN00406, HUMAN00407, HUMAN00405, HUMAN00408, HUMAN10546	HELIO_07810
OG0000201	HUMAN25906, HUMAN20134	HELIO_03794
OG0000201	HUMAN20007, HUMAN20008, HUMAN20009, HUMAN11788, HUMAN04555	HELIO_07497
OG0000201	HUMAN12206, HUMAN19902	HELIO_09400
OG0000202	HUMAN08594, HUMAN08593, HUMAN23063, HUMAN27722, HUMAN27584, HUMAN27582, HUMAN27587, HUMAN03812, HUMAN18643, HUMAN24147, HUMAN03775, HUMAN01794	HELIO_09483, HELIO_08601
OG0000203	HUMAN27942, HUMAN25548, HUMAN00779	HELIO_11397
OG0000203	HUMAN21966, HUMAN00014	HELIO_01088
OG0000203	HUMAN00153, HUMAN00154	HELIO_02460
OG0000204	HUMAN18516	HELIO_05116
OG0000204	HUMAN04275, HUMAN06256	HELIO_05845
OG0000205	HUMAN08496, HUMAN02469	HELIO_00076
OG0000205	HUMAN12678, HUMAN20579, HUMAN06361	HELIO_00236
OG0000205	HUMAN13147, HUMAN27255, HUMAN27254, HUMAN17799	HELIO_00235, HELIO_07450
OG0000206	HUMAN03735	HELIO_09072, HELIO_05036, HELIO_06863, HELIO_08368
OG0000207	HUMAN13832, HUMAN19141	HELIO_04136, HELIO_05670, HELIO_01226, HELIO_01015, HELIO_08023
OG0000208	HUMAN19119, HUMAN11858, HUMAN12257, HUMAN12256, HUMAN27010, HUMAN26894	HELIO_06822, HELIO_08975
OG0000210	HUMAN01117	HELIO_02498
OG0000210	HUMAN22011, HUMAN22010	HELIO_12121
OG0000211	HUMAN05541	HELIO_11401
OG0000211	HUMAN18718	HELIO_00554
OG0000211	HUMAN10119, HUMAN10120, HUMAN28797	HELIO_04759
OG0000211	HUMAN14218, HUMAN10060	HELIO_11035
OG0000213	HUMAN11846, HUMAN07075	HELIO_04918, HELIO_01073, HELIO_04313, HELIO_04336, HELIO_06549
OG0000215	HUMAN23880, HUMAN18661	HELIO_05873, HELIO_05161, HELIO_03905
OG0000218	HUMAN21084, HUMAN05261	HELIO_12321
OG0000220	HUMAN03287	HELIO_04722
OG0000220	HUMAN28206	HELIO_04300, HELIO_10035, HELIO_12042
OG0000221	HUMAN18223, HUMAN20676, HUMAN12806, HUMAN12805	HELIO_06860
OG0000221	HUMAN21691, HUMAN00105, HUMAN00104	HELIO_10767
