Orthogroup	HUMAN	ORYLA
OG0000075	HUMAN06328	ORYLA15751
OG0000075	HUMAN01424, HUMAN01425	ORYLA13961, ORYLA13960, ORYLA15787, ORYLA15785, ORYLA15786
OG0000075	HUMAN26867	ORYLA20334
OG0000075	HUMAN05783	ORYLA11054
OG0000075	HUMAN21047	ORYLA15824
OG0000075	HUMAN20335	ORYLA14687, ORYLA10924
OG0000075	HUMAN20336	ORYLA15926
OG0000075	HUMAN26884	ORYLA19688
OG0000077	HUMAN18656	ORYLA00390
OG0000077	HUMAN24161	ORYLA03856, ORYLA01218
OG0000077	HUMAN27605, HUMAN27606	ORYLA02852, ORYLA17787
OG0000077	HUMAN21328	ORYLA09130
OG0000077	HUMAN05501	ORYLA06009, ORYLA03431
OG0000077	HUMAN17351	ORYLA17383
OG0000077	HUMAN03646	ORYLA00897
OG0000077	HUMAN22147, HUMAN22146	ORYLA00844, ORYLA07409
OG0000077	HUMAN25299	ORYLA10378, ORYLA11807
OG0000077	HUMAN00457	ORYLA10356
OG0000077	HUMAN21175	ORYLA09729
OG0000077	HUMAN23402	ORYLA17450
OG0000077	HUMAN03419	ORYLA17911, ORYLA04823
OG0000078	HUMAN15000	ORYLA13083
OG0000078	HUMAN06996	ORYLA13994, ORYLA10833
