Orthogroup	HUMAN	AMPFI_ok
OG0000007	HUMAN08248	AMPFI_23280
OG0000008	HUMAN14538, HUMAN01095	AMPFI_03619
OG0000008	HUMAN29311, HUMAN29312	AMPFI_18464
OG0000010	HUMAN06424, HUMAN00318, HUMAN00317, HUMAN00316, HUMAN00439, HUMAN00440, HUMAN00441, HUMAN11412, HUMAN11410, HUMAN11411, HUMAN11268	AMPFI_14170
OG0000010	HUMAN18382	AMPFI_04353
OG0000011	HUMAN08916	AMPFI_20107
OG0000012	HUMAN21758, HUMAN26719, HUMAN26720	AMPFI_05035, AMPFI_18913
OG0000012	HUMAN11191	AMPFI_16130
OG0000013	HUMAN18418, HUMAN18417, HUMAN18416, HUMAN18419, HUMAN18410, HUMAN18413, HUMAN18411, HUMAN18412, HUMAN18415, HUMAN22469, HUMAN22470, HUMAN22464, HUMAN22463, HUMAN22465, HUMAN22466, HUMAN22467, HUMAN22462, HUMAN22468, HUMAN22460, HUMAN22461	AMPFI_13640
OG0000014	HUMAN11875, HUMAN11876, HUMAN01436, HUMAN06713, HUMAN20148, HUMAN13605, HUMAN13607, HUMAN13308, HUMAN13309, HUMAN03416, HUMAN01394	AMPFI_05504, AMPFI_16319
OG0000014	HUMAN18336, HUMAN03159	AMPFI_18330
OG0000014	HUMAN25476, HUMAN30053	AMPFI_16339
OG0000015	HUMAN29611, HUMAN30168, HUMAN23062, HUMAN24113	AMPFI_23995
OG0000016	HUMAN11007, HUMAN11006, HUMAN21858	AMPFI_14639
OG0000016	HUMAN07767	AMPFI_02509, AMPFI_18398, AMPFI_25432, AMPFI_13256, AMPFI_19016, AMPFI_14283, AMPFI_00661, AMPFI_20589, AMPFI_24031, AMPFI_06919, AMPFI_11939
OG0000016	HUMAN25103	AMPFI_06248
OG0000016	HUMAN25104	AMPFI_18220
OG0000019	HUMAN27262, HUMAN06385, HUMAN06383, HUMAN12384, HUMAN12385, HUMAN18277	AMPFI_01264, AMPFI_06523
OG0000019	HUMAN22980	AMPFI_03780
OG0000020	HUMAN22329, HUMAN20815, HUMAN12659, HUMAN17841	AMPFI_07852
OG0000020	HUMAN26061	AMPFI_03773
OG0000020	HUMAN08344	AMPFI_19334
OG0000020	HUMAN00926	AMPFI_23773
OG0000020	HUMAN02350, HUMAN02349	AMPFI_11019
OG0000020	HUMAN17840	AMPFI_06907
OG0000020	HUMAN05209, HUMAN21854, HUMAN21853	AMPFI_24792
OG0000020	HUMAN02145	AMPFI_07932
OG0000020	HUMAN30100, HUMAN07717, HUMAN22328	AMPFI_12343
OG0000020	HUMAN00010	AMPFI_25813
OG0000020	HUMAN23847	AMPFI_21494
OG0000020	HUMAN22639	AMPFI_07388
OG0000020	HUMAN20816	AMPFI_13969
OG0000021	HUMAN20539, HUMAN05765, HUMAN05766, HUMAN20499	AMPFI_08825
OG0000021	HUMAN04273, HUMAN30251	AMPFI_16391, AMPFI_25518, AMPFI_19616, AMPFI_08794, AMPFI_23196, AMPFI_19941
OG0000021	HUMAN00882, HUMAN00880, HUMAN00881	AMPFI_00389, AMPFI_07405, AMPFI_24716, AMPFI_19890, AMPFI_10085, AMPFI_07684
OG0000023	HUMAN03767	AMPFI_05477
OG0000023	HUMAN05402	AMPFI_11289, AMPFI_18034
OG0000023	HUMAN19878, HUMAN19879, HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367	AMPFI_14885, AMPFI_23006, AMPFI_10764
OG0000023	HUMAN11130	AMPFI_11290
OG0000026	HUMAN00402	AMPFI_12171
OG0000026	HUMAN16545	AMPFI_08394, AMPFI_03099, AMPFI_18185, AMPFI_25697, AMPFI_04674, AMPFI_24667, AMPFI_01870, AMPFI_14564, AMPFI_11288, AMPFI_23391
OG0000026	HUMAN07669, HUMAN21745	AMPFI_01077, AMPFI_16904
OG0000026	HUMAN26724, HUMAN26725	AMPFI_17661, AMPFI_08447, AMPFI_21379, AMPFI_14524, AMPFI_00667, AMPFI_07824, AMPFI_23957
OG0000028	HUMAN22344, HUMAN03982, HUMAN09209	AMPFI_19162
OG0000029	HUMAN15611	AMPFI_24572, AMPFI_17682, AMPFI_23832
OG0000029	HUMAN07316, HUMAN05232, HUMAN14995, HUMAN11203, HUMAN18356, HUMAN17029	AMPFI_13521, AMPFI_10300, AMPFI_01562, AMPFI_19753
OG0000030	HUMAN23234, HUMAN23233, HUMAN23232	AMPFI_02183
OG0000030	HUMAN01740, HUMAN28679	AMPFI_03176
OG0000031	HUMAN17850	AMPFI_06256
OG0000031	HUMAN26043	AMPFI_14304
OG0000031	HUMAN26979, HUMAN14235	AMPFI_01333
OG0000031	HUMAN14922, HUMAN14786	AMPFI_05075
OG0000031	HUMAN07726, HUMAN22322	AMPFI_10833
OG0000031	HUMAN18122, HUMAN18121, HUMAN02818, HUMAN02819	AMPFI_02985
OG0000032	HUMAN06107, HUMAN06100, HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105, HUMAN21527, HUMAN05202, HUMAN10072	AMPFI_10091, AMPFI_08698, AMPFI_15533, AMPFI_18245, AMPFI_03345, AMPFI_07304
OG0000032	HUMAN19258	AMPFI_03594
OG0000032	HUMAN23633, HUMAN23632	AMPFI_03370
OG0000034	HUMAN07187	AMPFI_19171
OG0000034	HUMAN11672, HUMAN11673	AMPFI_04753
OG0000034	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933	AMPFI_00398
OG0000035	HUMAN06576	AMPFI_17275
OG0000035	HUMAN09866	AMPFI_20705
OG0000035	HUMAN06191, HUMAN03898	AMPFI_13261
OG0000035	HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810	AMPFI_07620, AMPFI_08859, AMPFI_16822
OG0000035	HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844	AMPFI_12878
OG0000035	HUMAN04383	AMPFI_11303
OG0000035	HUMAN06190	AMPFI_24961
OG0000036	HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233	AMPFI_11948
OG0000036	HUMAN11289	AMPFI_06932
OG0000036	HUMAN22872	AMPFI_14775, AMPFI_19912
OG0000036	HUMAN27983, HUMAN15223	AMPFI_15407, AMPFI_19204, AMPFI_07474, AMPFI_19635, AMPFI_18831, AMPFI_22411
OG0000037	HUMAN25007, HUMAN25008, HUMAN25010, HUMAN25009, HUMAN25006, HUMAN02504, HUMAN08759, HUMAN04817	AMPFI_11581
OG0000037	HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443	AMPFI_25668
OG0000038	HUMAN18259	AMPFI_07007, AMPFI_22984, AMPFI_19985, AMPFI_07006
OG0000038	HUMAN18258	AMPFI_03880
OG0000038	HUMAN19701	AMPFI_11821, AMPFI_12065
OG0000039	HUMAN29023	AMPFI_15658
OG0000039	HUMAN02446, HUMAN02447, HUMAN02449, HUMAN02450, HUMAN02444	AMPFI_14066
OG0000039	HUMAN13199	AMPFI_20335, AMPFI_20685, AMPFI_03724
OG0000040	HUMAN26646, HUMAN26642	AMPFI_24657
OG0000040	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640	AMPFI_02741
OG0000044	HUMAN22107, HUMAN27712, HUMAN24292, HUMAN22106, HUMAN27711, HUMAN03716, HUMAN03718, HUMAN03717	AMPFI_13059
OG0000044	HUMAN22417, HUMAN24391, HUMAN07519	AMPFI_10491
OG0000044	HUMAN07517	AMPFI_12455
OG0000044	HUMAN24293	AMPFI_22026, AMPFI_08823, AMPFI_04139
OG0000046	HUMAN23116	AMPFI_02275, AMPFI_17068
OG0000046	HUMAN29094	AMPFI_00292
OG0000047	HUMAN22761	AMPFI_23686
OG0000048	HUMAN16328	AMPFI_22758
OG0000048	HUMAN16644	AMPFI_10591, AMPFI_13556
OG0000048	HUMAN11449	AMPFI_08767
OG0000049	HUMAN26913	AMPFI_21057
OG0000051	HUMAN22678	AMPFI_25569
OG0000051	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201	AMPFI_01376, AMPFI_01979, AMPFI_15572, AMPFI_18266, AMPFI_05878, AMPFI_02130, AMPFI_25599
OG0000054	HUMAN23119	AMPFI_10274
OG0000054	HUMAN00960, HUMAN00959, HUMAN00963, HUMAN00962, HUMAN00961, HUMAN00964	AMPFI_23388, AMPFI_23387, AMPFI_06988, AMPFI_13427, AMPFI_13250, AMPFI_25267, AMPFI_10354, AMPFI_24076, AMPFI_02790, AMPFI_02789, AMPFI_19023
OG0000056	HUMAN22445, HUMAN01195, HUMAN14849, HUMAN14869, HUMAN14864, HUMAN14480, HUMAN01194	AMPFI_10015
OG0000056	HUMAN14865	AMPFI_13952, AMPFI_00302
OG0000057	HUMAN23569, HUMAN10014	AMPFI_01580, AMPFI_02256
OG0000057	HUMAN29650	AMPFI_22187, AMPFI_02601, AMPFI_04153, AMPFI_22527
OG0000058	HUMAN17378, HUMAN03592	AMPFI_18481
OG0000060	HUMAN25284	AMPFI_23758
OG0000060	HUMAN24595, HUMAN24596, HUMAN24599, HUMAN24598, HUMAN24597	AMPFI_20631
OG0000062	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195	AMPFI_04452, AMPFI_07777, AMPFI_07778, AMPFI_06193
OG0000062	HUMAN25285	AMPFI_05434
OG0000063	HUMAN21099	AMPFI_21664
OG0000063	HUMAN00859, HUMAN28501	AMPFI_25718, AMPFI_20407, AMPFI_07613
OG0000066	HUMAN29798	AMPFI_09400
OG0000067	HUMAN24070, HUMAN22809	AMPFI_09466, AMPFI_18191, AMPFI_01682, AMPFI_10236, AMPFI_18458, AMPFI_18044, AMPFI_00280, AMPFI_18852, AMPFI_24558, AMPFI_14845, AMPFI_03396, AMPFI_25574, AMPFI_12403, AMPFI_06999
OG0000068	HUMAN26983	AMPFI_02504
OG0000068	HUMAN30510, HUMAN30509, HUMAN20837, HUMAN20380, HUMAN30511, HUMAN21486, HUMAN06933	AMPFI_04870
OG0000068	HUMAN20381	AMPFI_25645
OG0000069	HUMAN01509, HUMAN24625, HUMAN24602, HUMAN24629, HUMAN24631, HUMAN24608, HUMAN24669, HUMAN24667, HUMAN02614, HUMAN24605, HUMAN24620, HUMAN24658	AMPFI_12140, AMPFI_20704, AMPFI_07178
OG0000072	HUMAN22965, HUMAN22964, HUMAN04101	AMPFI_26076
OG0000072	HUMAN22852	AMPFI_21820
OG0000073	HUMAN19028, HUMAN27930, HUMAN11516, HUMAN27929, HUMAN06831, HUMAN06836	AMPFI_10119
OG0000074	HUMAN07045, HUMAN07044, HUMAN21437	AMPFI_22998, AMPFI_09812, AMPFI_05452
OG0000074	HUMAN09283	AMPFI_19576
OG0000074	HUMAN15238, HUMAN13822	AMPFI_22923, AMPFI_25359, AMPFI_19392, AMPFI_00530, AMPFI_02296
OG0000075	HUMAN12839, HUMAN02593	AMPFI_17345, AMPFI_17344
OG0000075	HUMAN18233	AMPFI_12462
OG0000075	HUMAN06329	AMPFI_03839
OG0000075	HUMAN00444	AMPFI_10510
OG0000075	HUMAN18234, HUMAN06328	AMPFI_15829
OG0000075	HUMAN01424, HUMAN01425, HUMAN26867	AMPFI_15139
OG0000075	HUMAN05783, HUMAN21047	AMPFI_15917
OG0000075	HUMAN26884	AMPFI_17574
OG0000078	HUMAN15000, HUMAN04284, HUMAN06996	AMPFI_10742, AMPFI_19118, AMPFI_00030, AMPFI_21986
OG0000079	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848	AMPFI_09380
OG0000079	HUMAN22600, HUMAN22601, HUMAN24340	AMPFI_09436, AMPFI_07753, AMPFI_20678, AMPFI_00442
OG0000079	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260	AMPFI_24805
OG0000079	HUMAN14208	AMPFI_06359, AMPFI_07521
OG0000082	HUMAN29167	AMPFI_21007
OG0000082	HUMAN23869	AMPFI_06890
OG0000082	HUMAN23871	AMPFI_13856
OG0000085	HUMAN12866, HUMAN20608, HUMAN17788	AMPFI_20771
OG0000085	HUMAN13119, HUMAN07215	AMPFI_09379
OG0000085	HUMAN26172	AMPFI_25819
OG0000085	HUMAN25832	AMPFI_04349
OG0000087	HUMAN11957	AMPFI_08050
OG0000087	HUMAN02557	AMPFI_01947
OG0000087	HUMAN21001	AMPFI_07196
OG0000087	HUMAN18010	AMPFI_09489, AMPFI_05588, AMPFI_13769
OG0000087	HUMAN21063	AMPFI_08649
OG0000087	HUMAN10659	AMPFI_11171
OG0000088	HUMAN03260, HUMAN04395, HUMAN21618, HUMAN29776, HUMAN11422, HUMAN11423, HUMAN11367	AMPFI_08023, AMPFI_23228, AMPFI_23443, AMPFI_08159, AMPFI_22112, AMPFI_19709, AMPFI_17224, AMPFI_20465, AMPFI_07330, AMPFI_26016, AMPFI_13620, AMPFI_12147, AMPFI_09459
OG0000089	HUMAN21235	AMPFI_21827
OG0000089	HUMAN25675	AMPFI_00096
OG0000094	HUMAN14813	AMPFI_02587
OG0000094	HUMAN21040	AMPFI_04666
OG0000094	HUMAN02204, HUMAN29518, HUMAN14811	AMPFI_18905, AMPFI_06525
OG0000096	HUMAN30343, HUMAN07778, HUMAN21683	AMPFI_12180
OG0000096	HUMAN01418, HUMAN23507, HUMAN06774	AMPFI_22693
OG0000096	HUMAN27289	AMPFI_24766
OG0000096	HUMAN13889, HUMAN01832	AMPFI_09837
OG0000096	HUMAN06142, HUMAN01455, HUMAN03867, HUMAN06143, HUMAN03866	AMPFI_11230
OG0000096	HUMAN21561	AMPFI_25309
OG0000098	HUMAN15990, HUMAN03957, HUMAN18424, HUMAN19602	AMPFI_13259, AMPFI_24967
OG0000098	HUMAN28791, HUMAN09489, HUMAN28772, HUMAN28773, HUMAN09201, HUMAN28771	AMPFI_07962, AMPFI_03629
OG0000101	HUMAN11236, HUMAN11477, HUMAN11479, HUMAN11478	AMPFI_17596, AMPFI_21293
OG0000101	HUMAN22036, HUMAN22037	AMPFI_14310, AMPFI_02729
OG0000101	HUMAN06575, HUMAN06643, HUMAN06644, HUMAN06642, HUMAN17830	AMPFI_08160
OG0000102	HUMAN08946, HUMAN02473	AMPFI_04172, AMPFI_16803
OG0000103	HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080	AMPFI_21097
OG0000104	HUMAN05724, HUMAN19523	AMPFI_14148
OG0000104	HUMAN26011, HUMAN26009, HUMAN26010, HUMAN21916, HUMAN21915, HUMAN12742	AMPFI_11040
OG0000104	HUMAN05721, HUMAN19524, HUMAN05723, HUMAN05722	AMPFI_02710
OG0000104	HUMAN19373	AMPFI_20370
OG0000104	HUMAN02405, HUMAN02404, HUMAN06960, HUMAN29799	AMPFI_08614
OG0000106	HUMAN11182, HUMAN29629, HUMAN29628, HUMAN11556, HUMAN27976, HUMAN27977, HUMAN27979, HUMAN27978	AMPFI_02407, AMPFI_14321
OG0000106	HUMAN01589, HUMAN09602	AMPFI_12383, AMPFI_11950, AMPFI_07347, AMPFI_24930, AMPFI_15540, AMPFI_00989
OG0000107	HUMAN24661	AMPFI_13094
OG0000108	HUMAN21927, HUMAN07479, HUMAN07482, HUMAN05619, HUMAN00450	AMPFI_15531
OG0000108	HUMAN12801, HUMAN02912, HUMAN06356, HUMAN17551	AMPFI_21796, AMPFI_17500, AMPFI_00251, AMPFI_21770, AMPFI_12442, AMPFI_00608, AMPFI_24859, AMPFI_14656, AMPFI_01818, AMPFI_06648, AMPFI_19726, AMPFI_13596, AMPFI_03071
OG0000113	HUMAN00919	AMPFI_03282
OG0000114	HUMAN22220, HUMAN22219, HUMAN00197, HUMAN00198, HUMAN00199	AMPFI_03529
OG0000116	HUMAN18678	AMPFI_12986
OG0000117	HUMAN04356, HUMAN04357	AMPFI_05731, AMPFI_15869, AMPFI_04658
OG0000117	HUMAN14532	AMPFI_16640
OG0000117	HUMAN14531	AMPFI_18184
OG0000119	HUMAN17875, HUMAN06568, HUMAN12949	AMPFI_25431
OG0000119	HUMAN17960, HUMAN06534, HUMAN02909, HUMAN12779	AMPFI_07345, AMPFI_07307
OG0000119	HUMAN17940, HUMAN20669	AMPFI_24152
OG0000119	HUMAN06569	AMPFI_09636, AMPFI_09635
OG0000120	HUMAN29071, HUMAN29070	AMPFI_15831
OG0000121	HUMAN22782	AMPFI_02289, AMPFI_15541
OG0000121	HUMAN14877	AMPFI_04429
OG0000121	HUMAN18067	AMPFI_13452, AMPFI_13451, AMPFI_13453, AMPFI_00305, AMPFI_14275, AMPFI_23932, AMPFI_18364, AMPFI_02010, AMPFI_17011, AMPFI_02841, AMPFI_25340
OG0000122	HUMAN12772, HUMAN27264, HUMAN18288	AMPFI_13850, AMPFI_04566, AMPFI_20620
OG0000122	HUMAN20607, HUMAN17789, HUMAN06426, HUMAN06427	AMPFI_09948
OG0000123	HUMAN03664, HUMAN27696, HUMAN24043	AMPFI_23454
OG0000123	HUMAN24256	AMPFI_03553
OG0000124	HUMAN03991	AMPFI_24111
OG0000124	HUMAN00442, HUMAN00443	AMPFI_02885
OG0000124	HUMAN09305, HUMAN02618	AMPFI_01689
OG0000125	HUMAN20601, HUMAN20600, HUMAN12568, HUMAN12567, HUMAN12566, HUMAN06479, HUMAN06480	AMPFI_03211
OG0000125	HUMAN20598, HUMAN20599, HUMAN12556	AMPFI_16776
OG0000125	HUMAN04438, HUMAN04439, HUMAN16073	AMPFI_12865
OG0000126	HUMAN07866, HUMAN30407, HUMAN21845	AMPFI_13551
OG0000126	HUMAN07493, HUMAN22359	AMPFI_06519
OG0000126	HUMAN14005, HUMAN14232, HUMAN14231, HUMAN01769, HUMAN01768, HUMAN09480	AMPFI_19042
OG0000127	HUMAN07859, HUMAN30409, HUMAN21844	AMPFI_23284
OG0000127	HUMAN21549, HUMAN07766	AMPFI_11705
OG0000127	HUMAN24572, HUMAN16589, HUMAN18562	AMPFI_13476
OG0000127	HUMAN27422, HUMAN19318	AMPFI_18794
OG0000128	HUMAN04482, HUMAN05330, HUMAN05329	AMPFI_00795
OG0000128	HUMAN21997	AMPFI_16622, AMPFI_18803, AMPFI_04850
OG0000129	HUMAN02545, HUMAN04877, HUMAN25129, HUMAN02543, HUMAN15464, HUMAN02634, HUMAN09344	AMPFI_15379
OG0000129	HUMAN05233, HUMAN30228	AMPFI_05870
OG0000130	HUMAN26940, HUMAN21484	AMPFI_19363
OG0000131	HUMAN19899	AMPFI_01527, AMPFI_14039, AMPFI_21381
OG0000132	HUMAN24615, HUMAN24626, HUMAN24666, HUMAN24609, HUMAN24612, HUMAN24601	AMPFI_17725, AMPFI_13763, AMPFI_00592, AMPFI_22956, AMPFI_02003
OG0000132	HUMAN20126	AMPFI_25895
OG0000133	HUMAN27246, HUMAN27250, HUMAN27247, HUMAN27249, HUMAN27245, HUMAN27244	AMPFI_00173
OG0000137	HUMAN13481	AMPFI_02989
OG0000137	HUMAN25150, HUMAN25149	AMPFI_12246
OG0000139	HUMAN26414	AMPFI_23602, AMPFI_03549
OG0000141	HUMAN27964, HUMAN30567	AMPFI_07634, AMPFI_00765, AMPFI_18896
OG0000145	HUMAN15368	AMPFI_23097
OG0000147	HUMAN24559, HUMAN27635	AMPFI_01784, AMPFI_00036, AMPFI_00137
OG0000147	HUMAN02299	AMPFI_25058
OG0000147	HUMAN18714, HUMAN18712	AMPFI_22384
OG0000148	HUMAN30520, HUMAN20407, HUMAN26826, HUMAN02390, HUMAN02389	AMPFI_23558
OG0000148	HUMAN20409, HUMAN21158, HUMAN20413, HUMAN20412, HUMAN05377, HUMAN02391, HUMAN06229	AMPFI_06814
OG0000148	HUMAN06230	AMPFI_00060
OG0000149	HUMAN10034, HUMAN23690	AMPFI_19578, AMPFI_11805
OG0000151	HUMAN14595, HUMAN29381, HUMAN29382, HUMAN24889, HUMAN01320	AMPFI_12292
OG0000151	HUMAN26562, HUMAN12958, HUMAN06281, HUMAN17972, HUMAN17973	AMPFI_07369, AMPFI_13120
OG0000153	HUMAN26709, HUMAN15537	AMPFI_16848, AMPFI_17135
OG0000155	HUMAN25228, HUMAN25227, HUMAN25225, HUMAN00773, HUMAN00771	AMPFI_11674
OG0000157	HUMAN28808, HUMAN14307	AMPFI_07870
OG0000159	HUMAN27903	AMPFI_14640
OG0000159	HUMAN25418	AMPFI_09235
OG0000159	HUMAN04389, HUMAN23217, HUMAN11668	AMPFI_11148
OG0000160	HUMAN18884, HUMAN18883	AMPFI_10740
OG0000163	HUMAN20181, HUMAN13484	AMPFI_03655
OG0000163	HUMAN13482, HUMAN13483	AMPFI_02815
OG0000163	HUMAN13485, HUMAN13486, HUMAN20190	AMPFI_01484
OG0000163	HUMAN12888, HUMAN06524, HUMAN26092	AMPFI_15100
OG0000165	HUMAN22846, HUMAN23999, HUMAN27465, HUMAN07472, HUMAN30066, HUMAN05822, HUMAN05073, HUMAN22589, HUMAN05074, HUMAN09475, HUMAN23325, HUMAN14142, HUMAN30404, HUMAN30403, HUMAN30402, HUMAN11922, HUMAN21957, HUMAN07815, HUMAN07814	AMPFI_20099
OG0000166	HUMAN10732	AMPFI_20566
OG0000167	HUMAN00657, HUMAN00658	AMPFI_21928
OG0000168	HUMAN04351	AMPFI_17580, AMPFI_14464
OG0000168	HUMAN14875, HUMAN23273, HUMAN01023, HUMAN28467	AMPFI_03245, AMPFI_18586, AMPFI_18585
OG0000168	HUMAN04352	AMPFI_17991
OG0000171	HUMAN26251, HUMAN03748, HUMAN18622, HUMAN03747	AMPFI_21332
OG0000171	HUMAN26252	AMPFI_03812, AMPFI_02526
OG0000171	HUMAN23027	AMPFI_16514
OG0000172	HUMAN06695, HUMAN06696, HUMAN18231, HUMAN17598	AMPFI_14014
OG0000173	HUMAN27146, HUMAN26710, HUMAN21895, HUMAN21533, HUMAN00452, HUMAN18290, HUMAN22447, HUMAN21180, HUMAN21189, HUMAN00447, HUMAN00448, HUMAN00343, HUMAN27169, HUMAN00752, HUMAN00751, HUMAN25381	AMPFI_14468
OG0000174	HUMAN28400, HUMAN02927	AMPFI_12146
OG0000174	HUMAN27541, HUMAN27540, HUMAN22731	AMPFI_25103
OG0000175	HUMAN27918, HUMAN27828, HUMAN27827	AMPFI_13786
OG0000179	HUMAN01511, HUMAN01513, HUMAN01517, HUMAN01565, HUMAN01540, HUMAN01553, HUMAN01502, HUMAN26276, HUMAN03337, HUMAN03338	AMPFI_12504
OG0000179	HUMAN23712, HUMAN09621	AMPFI_16964
OG0000179	HUMAN22996, HUMAN17836	AMPFI_00481
OG0000181	HUMAN06326	AMPFI_08987, AMPFI_15077, AMPFI_13877
OG0000181	HUMAN08369	AMPFI_12882
OG0000182	HUMAN03114	AMPFI_21714
OG0000183	HUMAN15779, HUMAN08957, HUMAN04785, HUMAN02522	AMPFI_14083
OG0000183	HUMAN05532	AMPFI_03468
OG0000184	HUMAN02122, HUMAN02125, HUMAN02123, HUMAN02124, HUMAN02120, HUMAN01543	AMPFI_03874, AMPFI_09399, AMPFI_14819
OG0000186	HUMAN15852, HUMAN16941, HUMAN08784, HUMAN16942	AMPFI_23623
OG0000188	HUMAN27535, HUMAN03482, HUMAN23029	AMPFI_08253
OG0000190	HUMAN01178, HUMAN29208, HUMAN01179, HUMAN29207	AMPFI_22113
OG0000191	HUMAN28068	AMPFI_16167
OG0000192	HUMAN01281, HUMAN28989, HUMAN14173	AMPFI_10868
OG0000192	HUMAN10321	AMPFI_03281
OG0000193	HUMAN05474	AMPFI_04703, AMPFI_20306
OG0000194	HUMAN21679, HUMAN21678, HUMAN21808, HUMAN00275, HUMAN00276	AMPFI_11397, AMPFI_18683, AMPFI_21267, AMPFI_04833, AMPFI_22313, AMPFI_03138, AMPFI_07873, AMPFI_23469, AMPFI_21495, AMPFI_14332, AMPFI_14028
OG0000195	HUMAN21628, HUMAN21627, HUMAN21626, HUMAN11913, HUMAN11912, HUMAN21624	AMPFI_05326
OG0000197	HUMAN09888, HUMAN01887, HUMAN09887	AMPFI_00635, AMPFI_18783, AMPFI_00480
