Orthogroup	HUMAN	APOSJ_ok
OG0000031	HUMAN07725	APOSJ_02849, APOSJ_17365, APOSJ_17366, APOSJ_17367, APOSJ_17368, APOSJ_17369, APOSJ_17370, APOSJ_43784, APOSJ_40601, APOSJ_23164, APOSJ_23163, APOSJ_23162
OG0000031	HUMAN14922, HUMAN14786	APOSJ_01762
OG0000031	HUMAN18122, HUMAN18121, HUMAN02818, HUMAN02819	APOSJ_03114, APOSJ_03115
OG0000032	HUMAN06107, HUMAN06100, HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105, HUMAN21527, HUMAN05202, HUMAN10072	APOSJ_63625, APOSJ_17321, APOSJ_24315, APOSJ_38033, APOSJ_36724, APOSJ_59877, APOSJ_31217, APOSJ_63913, APOSJ_63912, APOSJ_31215, APOSJ_31212, APOSJ_31211, APOSJ_36562, APOSJ_36563, APOSJ_36564, APOSJ_20979
OG0000032	HUMAN19258	APOSJ_07369, APOSJ_07366, APOSJ_07368, APOSJ_41042, APOSJ_07370, APOSJ_06491, APOSJ_04310, APOSJ_21314, APOSJ_04323, APOSJ_04322, APOSJ_21313, APOSJ_21315, APOSJ_10405, APOSJ_04319, APOSJ_22088, APOSJ_38003, APOSJ_62080, APOSJ_03906, APOSJ_24168, APOSJ_31058, APOSJ_63203, APOSJ_63204, APOSJ_63202, APOSJ_31060, APOSJ_31059, APOSJ_31055, APOSJ_31054, APOSJ_31053, APOSJ_01319, APOSJ_12995, APOSJ_15569
OG0000034	HUMAN11672, HUMAN11673	APOSJ_42844, APOSJ_62192, APOSJ_62189, APOSJ_62188, APOSJ_62186, APOSJ_59239, APOSJ_59236, APOSJ_59237, APOSJ_59235, APOSJ_59234, APOSJ_42840, APOSJ_29082, APOSJ_03040, APOSJ_42835, APOSJ_42836, APOSJ_42837, APOSJ_42838, APOSJ_42841, APOSJ_59238, APOSJ_59240, APOSJ_62187, APOSJ_62190, APOSJ_62191, APOSJ_62193
OG0000034	HUMAN16090, HUMAN04116, HUMAN06217, HUMAN01449	APOSJ_17818, APOSJ_17819
OG0000034	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933	APOSJ_09404, APOSJ_13545, APOSJ_44168
OG0000034	HUMAN01831, HUMAN13891	APOSJ_60565, APOSJ_21305
OG0000034	HUMAN04678	APOSJ_17132, APOSJ_23482, APOSJ_23483, APOSJ_18928
OG0000034	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093	APOSJ_63084, APOSJ_59127
OG0000034	HUMAN04988	APOSJ_46606, APOSJ_46602, APOSJ_39468, APOSJ_58455, APOSJ_46604, APOSJ_46601, APOSJ_39472, APOSJ_58458, APOSJ_39471, APOSJ_46600, APOSJ_39470, APOSJ_58457, APOSJ_39469, APOSJ_46608, APOSJ_58456, APOSJ_39467, APOSJ_46603, APOSJ_46607
OG0000035	HUMAN06576	APOSJ_28930, APOSJ_28931, APOSJ_28932, APOSJ_28929
OG0000035	HUMAN09866	APOSJ_13857
OG0000035	HUMAN06191, HUMAN03898	APOSJ_11969, APOSJ_09937
OG0000035	HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844	APOSJ_53790, APOSJ_18309, APOSJ_18310, APOSJ_50254, APOSJ_18311
OG0000035	HUMAN04383	APOSJ_14503
OG0000036	HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233	APOSJ_00559, APOSJ_00560, APOSJ_09590, APOSJ_59128, APOSJ_28626, APOSJ_23280
OG0000036	HUMAN11289	APOSJ_40313, APOSJ_57892, APOSJ_57894
OG0000036	HUMAN22872	APOSJ_56208, APOSJ_19171, APOSJ_64125, APOSJ_37192, APOSJ_32710, APOSJ_16924, APOSJ_44485, APOSJ_44482, APOSJ_49668
OG0000036	HUMAN27983, HUMAN15223	APOSJ_49777, APOSJ_42183, APOSJ_42178, APOSJ_53453, APOSJ_49780, APOSJ_34471, APOSJ_42404, APOSJ_48372, APOSJ_48557, APOSJ_48377, APOSJ_48373, APOSJ_48374, APOSJ_42406, APOSJ_42405, APOSJ_00237, APOSJ_00230, APOSJ_00218, APOSJ_17179, APOSJ_05137, APOSJ_05138, APOSJ_31800, APOSJ_05136, APOSJ_07074, APOSJ_07075, APOSJ_52025, APOSJ_18384, APOSJ_18382, APOSJ_18383, APOSJ_21951, APOSJ_21954, APOSJ_57893, APOSJ_57895, APOSJ_33193, APOSJ_10054
OG0000037	HUMAN25007, HUMAN25008, HUMAN25010, HUMAN25009, HUMAN25006, HUMAN02504, HUMAN08759, HUMAN04817	APOSJ_63529, APOSJ_64474, APOSJ_63530
OG0000037	HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443	APOSJ_40888, APOSJ_40889
OG0000037	HUMAN19040, HUMAN28273, HUMAN16721	APOSJ_41930, APOSJ_41929
OG0000037	HUMAN03689	APOSJ_19984, APOSJ_19985, APOSJ_59245
OG0000038	HUMAN17661, HUMAN07446, HUMAN17632	APOSJ_44498, APOSJ_44500
OG0000038	HUMAN18259	APOSJ_08121, APOSJ_08120
OG0000038	HUMAN18258	APOSJ_07933, APOSJ_58733
OG0000038	HUMAN18257	APOSJ_30481
OG0000039	HUMAN02107, HUMAN02110, HUMAN02111	APOSJ_36538, APOSJ_23775, APOSJ_06567
OG0000039	HUMAN29023	APOSJ_23948
OG0000039	HUMAN13199	APOSJ_29534, APOSJ_02269, APOSJ_02270, APOSJ_29535, APOSJ_19644, APOSJ_19642, APOSJ_19643
OG0000040	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640	APOSJ_18915, APOSJ_27166, APOSJ_49316, APOSJ_27168, APOSJ_27165, APOSJ_20487, APOSJ_61474, APOSJ_16915, APOSJ_16914, APOSJ_31565, APOSJ_44161, APOSJ_32230, APOSJ_32274, APOSJ_44162, APOSJ_59917, APOSJ_18917, APOSJ_27167, APOSJ_18916, APOSJ_27164, APOSJ_49313, APOSJ_22639, APOSJ_32774, APOSJ_32770, APOSJ_32773, APOSJ_32772, APOSJ_32771, APOSJ_08219, APOSJ_13680, APOSJ_13682, APOSJ_13677, APOSJ_13681, APOSJ_20336, APOSJ_13679
OG0000041	HUMAN15981, HUMAN01398, HUMAN05838, HUMAN01400, HUMAN01399, HUMAN05837, HUMAN01401, HUMAN05836, HUMAN04298	APOSJ_07883
OG0000041	HUMAN19139, HUMAN27913, HUMAN16617, HUMAN16643, HUMAN28077, HUMAN19052	APOSJ_00247
OG0000044	HUMAN22107, HUMAN27712, HUMAN24292, HUMAN22106, HUMAN27711, HUMAN03716, HUMAN03718, HUMAN03717	APOSJ_20279, APOSJ_20278
OG0000044	HUMAN07517	APOSJ_57354, APOSJ_57355
OG0000045	HUMAN02932	APOSJ_29368, APOSJ_29369
OG0000046	HUMAN23116	APOSJ_42127, APOSJ_64323, APOSJ_42125
OG0000048	HUMAN16328	APOSJ_03221, APOSJ_10764
OG0000048	HUMAN16644	APOSJ_60260, APOSJ_60261, APOSJ_61046, APOSJ_60262, APOSJ_34779
OG0000048	HUMAN11449	APOSJ_12442
OG0000049	HUMAN25699, HUMAN05316	APOSJ_51843
OG0000049	HUMAN20965, HUMAN26499	APOSJ_36502
OG0000049	HUMAN26500	APOSJ_36462
OG0000051	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201	APOSJ_30249, APOSJ_30251, APOSJ_01654, APOSJ_47098
OG0000054	HUMAN23119	APOSJ_18612, APOSJ_52518, APOSJ_18611, APOSJ_31400, APOSJ_07291, APOSJ_45891, APOSJ_07290, APOSJ_24181, APOSJ_58354, APOSJ_58353, APOSJ_58350, APOSJ_58351, APOSJ_58352
OG0000056	HUMAN22445, HUMAN01195, HUMAN14849, HUMAN14869, HUMAN14864, HUMAN14480, HUMAN01194	APOSJ_39271, APOSJ_39270, APOSJ_48773, APOSJ_45665
OG0000057	HUMAN29650	APOSJ_24024, APOSJ_17502, APOSJ_17503, APOSJ_17501, APOSJ_17500, APOSJ_17499
OG0000058	HUMAN17378, HUMAN03592	APOSJ_27364, APOSJ_40682, APOSJ_27363
OG0000058	HUMAN02623, HUMAN09237, HUMAN17157, HUMAN03406	APOSJ_01990, APOSJ_45171, APOSJ_56047, APOSJ_62157, APOSJ_01986, APOSJ_12231, APOSJ_01994, APOSJ_62154, APOSJ_01988, APOSJ_62155
OG0000059	HUMAN21611	APOSJ_34977, APOSJ_41112, APOSJ_15943, APOSJ_15944
OG0000059	HUMAN05382, HUMAN22839, HUMAN23845	APOSJ_00361, APOSJ_32459
OG0000060	HUMAN25284	APOSJ_62502, APOSJ_14511, APOSJ_62507, APOSJ_14509, APOSJ_53301, APOSJ_53299, APOSJ_62506, APOSJ_08035, APOSJ_62505
OG0000060	HUMAN16007, HUMAN16006, HUMAN04276, HUMAN06988	APOSJ_24727, APOSJ_46788
OG0000061	HUMAN17964, HUMAN26554	APOSJ_58339, APOSJ_18222, APOSJ_18226, APOSJ_18220, APOSJ_58336, APOSJ_24082, APOSJ_18227, APOSJ_18225, APOSJ_18223, APOSJ_24083, APOSJ_24098, APOSJ_58337, APOSJ_58338, APOSJ_18224
OG0000061	HUMAN18142, HUMAN20809, HUMAN13555, HUMAN15809, HUMAN25004, HUMAN12027, HUMAN17562, HUMAN17563, HUMAN20727, HUMAN26146, HUMAN26147, HUMAN26149, HUMAN27338, HUMAN27337	APOSJ_04549, APOSJ_04550
OG0000061	HUMAN26138, HUMAN26137, HUMAN12821	APOSJ_15713, APOSJ_15716, APOSJ_15714, APOSJ_33562, APOSJ_15715, APOSJ_53824, APOSJ_08464, APOSJ_14395
OG0000062	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195	APOSJ_36645, APOSJ_36644, APOSJ_36646, APOSJ_36641, APOSJ_36638, APOSJ_36643, APOSJ_36647, APOSJ_36642, APOSJ_61539, APOSJ_03520, APOSJ_50534, APOSJ_50538, APOSJ_50533, APOSJ_50536, APOSJ_39442
OG0000062	HUMAN25285	APOSJ_42177, APOSJ_42181, APOSJ_42180, APOSJ_42182
OG0000063	HUMAN14398, HUMAN28499, HUMAN00858	APOSJ_62799, APOSJ_60703
OG0000063	HUMAN21099	APOSJ_45342, APOSJ_45340, APOSJ_35186, APOSJ_45343, APOSJ_45341, APOSJ_16611
OG0000063	HUMAN00859, HUMAN28501	APOSJ_17401, APOSJ_34559, APOSJ_34558, APOSJ_34560, APOSJ_41274, APOSJ_48780
OG0000063	HUMAN18628, HUMAN03783, HUMAN03782	APOSJ_58298, APOSJ_58293, APOSJ_19476
OG0000065	HUMAN29458, HUMAN05357, HUMAN25383, HUMAN14424, HUMAN14423, HUMAN14422	APOSJ_35430, APOSJ_06253
OG0000066	HUMAN29798	APOSJ_56697, APOSJ_30328
OG0000067	HUMAN24070, HUMAN22809	APOSJ_18931, APOSJ_56850, APOSJ_56847, APOSJ_06153, APOSJ_13448, APOSJ_19493, APOSJ_58325, APOSJ_58331, APOSJ_58341, APOSJ_48159, APOSJ_48158, APOSJ_48156, APOSJ_19490, APOSJ_19487, APOSJ_13449, APOSJ_13447, APOSJ_13446, APOSJ_13442, APOSJ_13444, APOSJ_13443, APOSJ_13445, APOSJ_07651, APOSJ_07650, APOSJ_07653, APOSJ_07654, APOSJ_13441, APOSJ_11553, APOSJ_07655, APOSJ_07652, APOSJ_12441, APOSJ_12440, APOSJ_22342, APOSJ_56300, APOSJ_56301, APOSJ_56298, APOSJ_56299
OG0000069	HUMAN13361, HUMAN02574	APOSJ_04756
OG0000070	HUMAN25671, HUMAN29634, HUMAN30393	APOSJ_54993
OG0000070	HUMAN14161	APOSJ_32199, APOSJ_32200, APOSJ_19014, APOSJ_41483, APOSJ_41485, APOSJ_41484, APOSJ_45156, APOSJ_39050, APOSJ_15810, APOSJ_02571, APOSJ_07700, APOSJ_07702, APOSJ_07701
OG0000072	HUMAN22965, HUMAN22964, HUMAN04101	APOSJ_38815, APOSJ_48482
OG0000072	HUMAN22852	APOSJ_48834, APOSJ_48835, APOSJ_48833
OG0000073	HUMAN24982	APOSJ_38490, APOSJ_38489
OG0000074	HUMAN07045, HUMAN07044, HUMAN21437	APOSJ_13143
OG0000074	HUMAN09283	APOSJ_54927, APOSJ_51986, APOSJ_40639, APOSJ_38988, APOSJ_51984, APOSJ_54925
OG0000074	HUMAN15238, HUMAN13822	APOSJ_06601, APOSJ_29080, APOSJ_29087, APOSJ_64653, APOSJ_20688, APOSJ_48776, APOSJ_18171, APOSJ_07443, APOSJ_11506
OG0000075	HUMAN12839, HUMAN02593	APOSJ_20337, APOSJ_34520, APOSJ_34522, APOSJ_34524, APOSJ_34523, APOSJ_34521, APOSJ_34519, APOSJ_20338, APOSJ_34518, APOSJ_17256
OG0000075	HUMAN18233	APOSJ_40363, APOSJ_40364, APOSJ_40365, APOSJ_40366, APOSJ_40367, APOSJ_40368
OG0000075	HUMAN06329	APOSJ_54695, APOSJ_54693
OG0000075	HUMAN00444	APOSJ_58877, APOSJ_16929, APOSJ_58880
OG0000075	HUMAN18234, HUMAN06328	APOSJ_41648
OG0000075	HUMAN01424, HUMAN01425, HUMAN26867	APOSJ_33309, APOSJ_33308
OG0000075	HUMAN05783, HUMAN21047	APOSJ_16193, APOSJ_16195
OG0000075	HUMAN20335, HUMAN20336, HUMAN20532	APOSJ_55514, APOSJ_55515
OG0000075	HUMAN26884	APOSJ_22770
OG0000078	HUMAN15000, HUMAN04284, HUMAN06996	APOSJ_09078, APOSJ_48664, APOSJ_48665, APOSJ_28712, APOSJ_28714, APOSJ_20960, APOSJ_02350, APOSJ_61846
OG0000079	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848	APOSJ_50875, APOSJ_50877, APOSJ_64501, APOSJ_18723, APOSJ_32515, APOSJ_37152
OG0000079	HUMAN22600, HUMAN22601, HUMAN24340	APOSJ_18254
OG0000079	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260	APOSJ_28991, APOSJ_28990
OG0000079	HUMAN14208	APOSJ_06559, APOSJ_06558
OG0000081	HUMAN03680, HUMAN03679, HUMAN03681, HUMAN03678	APOSJ_65213, APOSJ_65212, APOSJ_52934, APOSJ_61033
OG0000082	HUMAN29167	APOSJ_25535
OG0000082	HUMAN23869	APOSJ_31175, APOSJ_61283, APOSJ_41067, APOSJ_61284, APOSJ_61286, APOSJ_61287
OG0000082	HUMAN23871	APOSJ_10612
OG0000083	HUMAN07535, HUMAN22993	APOSJ_11498, APOSJ_11497
OG0000084	HUMAN03696, HUMAN22975	APOSJ_15697
OG0000084	HUMAN05352	APOSJ_24644, APOSJ_24645
OG0000085	HUMAN12866, HUMAN20608, HUMAN17788	APOSJ_64863
OG0000085	HUMAN13119, HUMAN07215	APOSJ_41027, APOSJ_41023, APOSJ_41020, APOSJ_41026, APOSJ_41024, APOSJ_41021, APOSJ_41025, APOSJ_41022
OG0000085	HUMAN26172	APOSJ_25761
OG0000085	HUMAN19734, HUMAN19733, HUMAN05027	APOSJ_04663, APOSJ_04662
OG0000087	HUMAN11956	APOSJ_44974
OG0000087	HUMAN11957	APOSJ_45252
OG0000087	HUMAN02557	APOSJ_17272
OG0000087	HUMAN17213	APOSJ_35198
OG0000087	HUMAN21001	APOSJ_02933
OG0000087	HUMAN18010	APOSJ_19002, APOSJ_64596, APOSJ_35346
OG0000087	HUMAN21063	APOSJ_59532
OG0000087	HUMAN10659	APOSJ_03507, APOSJ_10114
OG0000088	HUMAN03260, HUMAN04395, HUMAN21618, HUMAN29776, HUMAN11422, HUMAN11423, HUMAN11367	APOSJ_63869, APOSJ_63868, APOSJ_31116, APOSJ_63535, APOSJ_35086, APOSJ_63797, APOSJ_63809, APOSJ_42039, APOSJ_42040, APOSJ_36688, APOSJ_22725, APOSJ_36687, APOSJ_22750, APOSJ_39202, APOSJ_45270
OG0000089	HUMAN21235	APOSJ_36819, APOSJ_36818
OG0000089	HUMAN29653, HUMAN25674	APOSJ_32496, APOSJ_32445, APOSJ_52135, APOSJ_15609
OG0000089	HUMAN25675	APOSJ_01323, APOSJ_40758, APOSJ_40759
OG0000090	HUMAN24709	APOSJ_38878, APOSJ_38877, APOSJ_38876
OG0000090	HUMAN28948	APOSJ_22326
OG0000094	HUMAN05793, HUMAN05794, HUMAN21039, HUMAN14813, HUMAN21040, HUMAN29866	APOSJ_44228, APOSJ_55244, APOSJ_44217, APOSJ_44221
