Orthogroup	HUMAN	AENJA_ok
OG0000006	HUMAN23524	AENJA_00662
OG0000006	HUMAN03111	AENJA_07549, AENJA_15373
OG0000006	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823	AENJA_18450
OG0000006	HUMAN08856, HUMAN19716	AENJA_01590
OG0000006	HUMAN08442, HUMAN17032, HUMAN15898	AENJA_09210
OG0000006	HUMAN24331	AENJA_15474
OG0000007	HUMAN24418, HUMAN11538	AENJA_18325
OG0000007	HUMAN09570, HUMAN28803	AENJA_18163
OG0000007	HUMAN15831, HUMAN18759, HUMAN08323	AENJA_00810
OG0000007	HUMAN28730, HUMAN28754, HUMAN28742, HUMAN28745, HUMAN28436, HUMAN17539, HUMAN01097, HUMAN23486, HUMAN00971	AENJA_25020
OG0000007	HUMAN24202, HUMAN17278, HUMAN03780	AENJA_23908
OG0000007	HUMAN21567	AENJA_19234
OG0000007	HUMAN11539	AENJA_18326
OG0000007	HUMAN28408	AENJA_06479, AENJA_16018
OG0000007	HUMAN24417, HUMAN11533	AENJA_18328
OG0000007	HUMAN13635	AENJA_07359
OG0000007	HUMAN12258, HUMAN07103, HUMAN07102	AENJA_09687
OG0000007	HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949	AENJA_07358
OG0000007	HUMAN25936, HUMAN13634	AENJA_11277
OG0000007	HUMAN13395	AENJA_22886
OG0000007	HUMAN00818, HUMAN00819, HUMAN05935	AENJA_16981
OG0000007	HUMAN08248	AENJA_26507
OG0000008	HUMAN14538, HUMAN01095	AENJA_15934, AENJA_26738
OG0000008	HUMAN29311, HUMAN29312	AENJA_24404, AENJA_14450
OG0000010	HUMAN16120	AENJA_20491
OG0000010	HUMAN06405, HUMAN06406	AENJA_00347
OG0000011	HUMAN08916	AENJA_03543, AENJA_24193
OG0000012	HUMAN21758, HUMAN26719, HUMAN26720	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014
OG0000012	HUMAN11190	AENJA_02869
OG0000014	HUMAN25476, HUMAN30053	AENJA_25536
OG0000015	HUMAN24177, HUMAN22373, HUMAN09170	AENJA_19636
OG0000015	HUMAN24184, HUMAN22368, HUMAN09174, HUMAN09175, HUMAN30469, HUMAN22369, HUMAN24183, HUMAN30472, HUMAN09173, HUMAN22372, HUMAN24180, HUMAN24179, HUMAN24178	AENJA_18653
OG0000015	HUMAN29611, HUMAN30168, HUMAN23062, HUMAN24113	AENJA_17614, AENJA_19630
OG0000015	HUMAN30169, HUMAN09177	AENJA_02597
OG0000016	HUMAN11007, HUMAN11006, HUMAN21858	AENJA_04784, AENJA_04814, AENJA_14549, AENJA_07664
OG0000016	HUMAN10581, HUMAN10583, HUMAN12987	AENJA_11513
OG0000016	HUMAN07767	AENJA_26671, AENJA_26677
OG0000016	HUMAN25103	AENJA_02781
OG0000016	HUMAN06120, HUMAN04223	AENJA_03282, AENJA_18791, AENJA_08816, AENJA_02864
OG0000019	HUMAN27262, HUMAN06385, HUMAN06383, HUMAN12384, HUMAN12385, HUMAN18277	AENJA_24818, AENJA_20016
OG0000019	HUMAN22980	AENJA_14332, AENJA_12746, AENJA_14337, AENJA_14334, AENJA_14338
OG0000020	HUMAN12659	AENJA_21688, AENJA_05309
OG0000020	HUMAN17841	AENJA_01003, AENJA_08406
OG0000020	HUMAN26061	AENJA_02593, AENJA_02596
OG0000020	HUMAN08344	AENJA_15791
OG0000020	HUMAN00926	AENJA_12903
OG0000020	HUMAN02350, HUMAN02349	AENJA_09502
OG0000020	HUMAN17840	AENJA_18052
OG0000020	HUMAN05209, HUMAN21854, HUMAN21853	AENJA_23718, AENJA_02408
OG0000020	HUMAN02145	AENJA_16929
OG0000020	HUMAN30100, HUMAN07717, HUMAN22328	AENJA_04727
OG0000020	HUMAN00010	AENJA_10912
OG0000020	HUMAN23847	AENJA_11444
OG0000020	HUMAN22639	AENJA_14659
OG0000020	HUMAN20816	AENJA_12495
OG0000021	HUMAN20500	AENJA_14639
OG0000021	HUMAN11054, HUMAN23166	AENJA_16593
OG0000021	HUMAN12331	AENJA_24950
OG0000021	HUMAN04273, HUMAN30251	AENJA_24226, AENJA_26459, AENJA_15672, AENJA_17125, AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163, AENJA_10523, AENJA_13306, AENJA_20227
OG0000021	HUMAN00882, HUMAN00880, HUMAN00881	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711
OG0000023	HUMAN03767	AENJA_06341
OG0000023	HUMAN19878, HUMAN19879, HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367	AENJA_11919, AENJA_06566, AENJA_06565, AENJA_12125, AENJA_11618, AENJA_11620, AENJA_11621, AENJA_22520, AENJA_19106, AENJA_11920
OG0000023	HUMAN06585, HUMAN06584	AENJA_19909
OG0000023	HUMAN04007, HUMAN05393, HUMAN05394, HUMAN05401, HUMAN05399, HUMAN05395, HUMAN05400, HUMAN05396, HUMAN05404, HUMAN11050, HUMAN19103, HUMAN05403	AENJA_03895
OG0000026	HUMAN16545	AENJA_07099, AENJA_18950
OG0000026	HUMAN07669, HUMAN21745	AENJA_21657
OG0000026	HUMAN26724, HUMAN26725	AENJA_10129, AENJA_23516
OG0000028	HUMAN09209	AENJA_04861, AENJA_01184
OG0000029	HUMAN15611	AENJA_10650
OG0000030	HUMAN01740, HUMAN28679	AENJA_17283
OG0000031	HUMAN17850	AENJA_09856
OG0000031	HUMAN06489, HUMAN17883, HUMAN26042	AENJA_09858
OG0000031	HUMAN26043	AENJA_20966
OG0000031	HUMAN09203	AENJA_08759
OG0000031	HUMAN26979, HUMAN14235	AENJA_10722
OG0000031	HUMAN21432	AENJA_02955
OG0000031	HUMAN07725	AENJA_05740
OG0000031	HUMAN14922, HUMAN14786	AENJA_14258, AENJA_15917, AENJA_14260
OG0000031	HUMAN18122, HUMAN18121, HUMAN02818, HUMAN02819	AENJA_15028
OG0000032	HUMAN27902	AENJA_06514
OG0000032	HUMAN06107, HUMAN06100, HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105, HUMAN21527, HUMAN05202, HUMAN10072	AENJA_15445, AENJA_10949, AENJA_16462, AENJA_19113, AENJA_19112, AENJA_01972, AENJA_01667, AENJA_01332
OG0000032	HUMAN19258	AENJA_12718, AENJA_12280, AENJA_12491
OG0000032	HUMAN23633, HUMAN23632	AENJA_12283
OG0000034	HUMAN07187	AENJA_02790
OG0000034	HUMAN11672, HUMAN11673	AENJA_21749
OG0000034	HUMAN16090, HUMAN04116, HUMAN06217, HUMAN01449	AENJA_26717
OG0000034	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933	AENJA_02791
OG0000034	HUMAN01831, HUMAN13891	AENJA_23686
OG0000034	HUMAN04678	AENJA_13785
OG0000034	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093	AENJA_15701
OG0000034	HUMAN04988	AENJA_16616
OG0000035	HUMAN06576	AENJA_01174
OG0000035	HUMAN09866	AENJA_22033
OG0000035	HUMAN06191, HUMAN03898	AENJA_08825
OG0000035	HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810	AENJA_12732
OG0000035	HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844	AENJA_12364, AENJA_26037
OG0000035	HUMAN04383	AENJA_21683
OG0000035	HUMAN06190	AENJA_02191
OG0000036	HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233	AENJA_22120, AENJA_22191, AENJA_22190
OG0000036	HUMAN11289	AENJA_26206, AENJA_19267, AENJA_16633
OG0000036	HUMAN22872	AENJA_15638, AENJA_15641, AENJA_15644
OG0000036	HUMAN27983, HUMAN15223	AENJA_21299, AENJA_21302, AENJA_21301
OG0000037	HUMAN25007, HUMAN25008, HUMAN25010, HUMAN25009, HUMAN25006, HUMAN02504, HUMAN08759, HUMAN04817	AENJA_20944
OG0000037	HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443	AENJA_05483, AENJA_06274
OG0000037	HUMAN19040, HUMAN28273, HUMAN16721	AENJA_13632
OG0000037	HUMAN03689	AENJA_06403, AENJA_22611, AENJA_22610
OG0000038	HUMAN17661, HUMAN07446, HUMAN17632	AENJA_05691
OG0000038	HUMAN18259, HUMAN18258	AENJA_26313
OG0000038	HUMAN19701	AENJA_16130
OG0000039	HUMAN29023	AENJA_10484, AENJA_20870, AENJA_17497
OG0000039	HUMAN02446, HUMAN02447, HUMAN02449, HUMAN02450	AENJA_07945
OG0000039	HUMAN13199	AENJA_07277
OG0000040	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640	AENJA_07541, AENJA_11361
OG0000041	HUMAN15981, HUMAN01398, HUMAN05838, HUMAN01400, HUMAN01399, HUMAN05837, HUMAN01401, HUMAN05836, HUMAN04298	AENJA_24560
OG0000041	HUMAN19139, HUMAN27913, HUMAN16617, HUMAN16643, HUMAN28077, HUMAN19052	AENJA_03404, AENJA_03405
OG0000044	HUMAN22107, HUMAN27712, HUMAN24292, HUMAN22106, HUMAN27711, HUMAN03716, HUMAN03718, HUMAN03717	AENJA_12079
OG0000044	HUMAN03043	AENJA_24602
OG0000044	HUMAN24293	AENJA_25117
OG0000045	HUMAN02932	AENJA_09277
OG0000046	HUMAN23116	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759
OG0000046	HUMAN29094	AENJA_16259, AENJA_09014, AENJA_24111, AENJA_07378, AENJA_17464, AENJA_14643, AENJA_17407, AENJA_18744, AENJA_06489, AENJA_17691, AENJA_14608, AENJA_08340
OG0000047	HUMAN22761	AENJA_09237
OG0000048	HUMAN16328	AENJA_09360
OG0000048	HUMAN16644	AENJA_16735, AENJA_16736
OG0000048	HUMAN11449	AENJA_25506
OG0000049	HUMAN25699, HUMAN05316	AENJA_20702
OG0000049	HUMAN20965, HUMAN26499	AENJA_25756
OG0000049	HUMAN05318	AENJA_26413
OG0000051	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201	AENJA_24250
OG0000054	HUMAN23119	AENJA_06676, AENJA_23371
OG0000056	HUMAN22445, HUMAN01195, HUMAN14849, HUMAN14869, HUMAN14864, HUMAN14480, HUMAN01194	AENJA_20268
OG0000056	HUMAN07396, HUMAN07395	AENJA_05228
OG0000056	HUMAN14865	AENJA_19769, AENJA_19772, AENJA_25728, AENJA_23915, AENJA_20579, AENJA_01631, AENJA_03114
OG0000057	HUMAN23569, HUMAN10014	AENJA_05247, AENJA_22751, AENJA_20208, AENJA_16752, AENJA_23652
OG0000057	HUMAN29650	AENJA_11025
OG0000058	HUMAN17378, HUMAN03592	AENJA_23345
OG0000058	HUMAN02623, HUMAN09237, HUMAN17157, HUMAN03406	AENJA_12354
OG0000059	HUMAN21611	AENJA_13132
OG0000059	HUMAN05382, HUMAN22839, HUMAN23845	AENJA_11199, AENJA_02561, AENJA_02562
OG0000060	HUMAN25284	AENJA_17233
OG0000060	HUMAN24595, HUMAN24596, HUMAN24599, HUMAN24598, HUMAN24597	AENJA_00816
OG0000060	HUMAN16007, HUMAN16006, HUMAN04276, HUMAN06988	AENJA_23597
OG0000061	HUMAN17964, HUMAN26554	AENJA_07301
OG0000061	HUMAN18142, HUMAN20809, HUMAN13555, HUMAN15809, HUMAN25004, HUMAN12027, HUMAN17562, HUMAN17563, HUMAN20727, HUMAN26146, HUMAN26147, HUMAN26149, HUMAN27338, HUMAN27337	AENJA_07183
OG0000061	HUMAN26138, HUMAN26137, HUMAN12821	AENJA_26614, AENJA_08766
OG0000062	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195	AENJA_00352, AENJA_09642, AENJA_22683
OG0000062	HUMAN25285	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995
OG0000063	HUMAN14398, HUMAN28499, HUMAN00858	AENJA_20321
OG0000063	HUMAN21099	AENJA_03789
OG0000063	HUMAN00859, HUMAN28501	AENJA_04323
OG0000063	HUMAN18628, HUMAN03783, HUMAN03782	AENJA_26394
OG0000066	HUMAN29798	AENJA_12655, AENJA_09505
OG0000067	HUMAN24070, HUMAN22809	AENJA_21686, AENJA_02413, AENJA_06386, AENJA_10791, AENJA_00788, AENJA_00783, AENJA_04376, AENJA_10553, AENJA_00784, AENJA_00787, AENJA_00786, AENJA_17339, AENJA_11630, AENJA_04270
OG0000070	HUMAN25671, HUMAN29634, HUMAN30393	AENJA_15427, AENJA_23180, AENJA_12319, AENJA_24460, AENJA_25453, AENJA_07501
OG0000070	HUMAN14161	AENJA_09128, AENJA_05824, AENJA_17346, AENJA_12868, AENJA_23218, AENJA_23720, AENJA_23723, AENJA_26750
OG0000072	HUMAN22965, HUMAN22964, HUMAN04101	AENJA_13128
OG0000072	HUMAN22852	AENJA_02450
OG0000072	HUMAN03255, HUMAN03252	AENJA_25944, AENJA_05445
OG0000073	HUMAN24982	AENJA_08518, AENJA_08515
OG0000074	HUMAN07045, HUMAN07044, HUMAN21437	AENJA_05555, AENJA_12312, AENJA_06058
OG0000074	HUMAN09283	AENJA_24714
OG0000074	HUMAN15238, HUMAN13822	AENJA_19802, AENJA_22095, AENJA_10992, AENJA_15679, AENJA_14253, AENJA_25976, AENJA_03334, AENJA_21322, AENJA_11103, AENJA_23926, AENJA_22408, AENJA_25285, AENJA_25284
OG0000075	HUMAN12839, HUMAN02593	AENJA_23745
OG0000075	HUMAN00444	AENJA_05831
OG0000075	HUMAN00445	AENJA_18277
OG0000075	HUMAN21048	AENJA_12917
OG0000075	HUMAN01424, HUMAN01425, HUMAN26867	AENJA_21406
OG0000075	HUMAN05783, HUMAN21047	AENJA_12918
OG0000075	HUMAN26884	AENJA_12839
OG0000077	HUMAN18656, HUMAN24161, HUMAN27605, HUMAN27606	AENJA_13107
OG0000077	HUMAN17351, HUMAN03646, HUMAN22147, HUMAN22146	AENJA_07475
OG0000077	HUMAN03419	AENJA_04661
OG0000078	HUMAN15000, HUMAN04284, HUMAN06996	AENJA_06551
OG0000079	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848	AENJA_16186
OG0000079	HUMAN22600, HUMAN22601, HUMAN24340	AENJA_02482
OG0000079	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260	AENJA_17442
OG0000079	HUMAN13037	AENJA_11789
OG0000079	HUMAN14208	AENJA_10507
OG0000079	HUMAN14194, HUMAN14192	AENJA_05095
OG0000081	HUMAN03680, HUMAN03679, HUMAN03681, HUMAN03678	AENJA_04625, AENJA_04630, AENJA_04629
OG0000081	HUMAN27509	AENJA_23269
OG0000082	HUMAN23869	AENJA_25747
OG0000082	HUMAN23871	AENJA_11460
OG0000083	HUMAN07535, HUMAN22993	AENJA_21795
OG0000084	HUMAN03696, HUMAN22975	AENJA_24814
OG0000084	HUMAN05352	AENJA_24184
OG0000085	HUMAN12866, HUMAN20608, HUMAN17788	AENJA_05556
OG0000085	HUMAN13119, HUMAN07215	AENJA_06487
OG0000085	HUMAN26172	AENJA_24493
OG0000085	HUMAN19734, HUMAN19733, HUMAN05027	AENJA_20539
OG0000085	HUMAN25832	AENJA_08917
OG0000087	HUMAN11956	AENJA_23251
OG0000087	HUMAN02557	AENJA_19109
OG0000087	HUMAN17213	AENJA_08976
OG0000087	HUMAN21001	AENJA_19775
OG0000087	HUMAN18010	AENJA_03163
OG0000087	HUMAN21063	AENJA_19935
OG0000087	HUMAN10659	AENJA_04374, AENJA_10299
OG0000088	HUMAN03260, HUMAN04395, HUMAN21618, HUMAN29776, HUMAN11422, HUMAN11423, HUMAN11367	AENJA_07097, AENJA_08556, AENJA_07105, AENJA_07098, AENJA_07104, AENJA_11026, AENJA_11029, AENJA_15119, AENJA_13877, AENJA_03166, AENJA_03175, AENJA_08500
OG0000089	HUMAN21235	AENJA_09905, AENJA_09906, AENJA_05338, AENJA_04745, AENJA_16486, AENJA_16485, AENJA_22237, AENJA_02539, AENJA_15610, AENJA_01496
OG0000089	HUMAN25675	AENJA_01807
OG0000090	HUMAN24709	AENJA_10145
OG0000090	HUMAN28948	AENJA_01954
OG0000094	HUMAN05793, HUMAN05794, HUMAN21039, HUMAN14813, HUMAN21040, HUMAN29866	AENJA_14582
OG0000094	HUMAN02204, HUMAN29518, HUMAN14811	AENJA_26553
OG0000096	HUMAN30343, HUMAN07778, HUMAN21683	AENJA_25727
OG0000096	HUMAN13889, HUMAN01832	AENJA_21947
OG0000096	HUMAN04201	AENJA_09240
OG0000096	HUMAN21561	AENJA_14053
OG0000097	HUMAN01224, HUMAN01225, HUMAN01226	AENJA_19407, AENJA_02407
OG0000098	HUMAN15990, HUMAN03957, HUMAN18424, HUMAN19602	AENJA_10136, AENJA_10137
OG0000098	HUMAN28791, HUMAN09489, HUMAN28772, HUMAN28773, HUMAN09201, HUMAN28771	AENJA_22563, AENJA_15215
OG0000099	HUMAN05424	AENJA_19631
OG0000099	HUMAN15639, HUMAN15638, HUMAN05635, HUMAN25408, HUMAN00740, HUMAN19390	AENJA_07638, AENJA_14869
OG0000101	HUMAN11236, HUMAN11477, HUMAN11479, HUMAN11478	AENJA_26592
OG0000101	HUMAN22036, HUMAN22037	AENJA_06142
OG0000101	HUMAN06575, HUMAN06643, HUMAN06644, HUMAN06642, HUMAN17830	AENJA_14914, AENJA_21479, AENJA_11421
OG0000102	HUMAN08946, HUMAN02473	AENJA_05030, AENJA_01229, AENJA_14532, AENJA_03604, AENJA_09290, AENJA_02099, AENJA_11586, AENJA_05172, AENJA_21823, AENJA_22292, AENJA_08727, AENJA_26596, AENJA_03728, AENJA_05251, AENJA_05418, AENJA_25773, AENJA_16535, AENJA_01181, AENJA_19177, AENJA_19154, AENJA_17660, AENJA_22655, AENJA_11696, AENJA_07164
OG0000102	HUMAN29446, HUMAN29103	AENJA_06075
OG0000103	HUMAN12034, HUMAN12033, HUMAN12032, HUMAN12035, HUMAN12031, HUMAN12036, HUMAN08164, HUMAN08165, HUMAN21265, HUMAN18888	AENJA_10812
OG0000103	HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080	AENJA_14367
OG0000104	HUMAN05724, HUMAN19523	AENJA_04107
OG0000104	HUMAN26011, HUMAN26009, HUMAN26010, HUMAN21916, HUMAN21915, HUMAN12742	AENJA_02684
OG0000104	HUMAN05721, HUMAN19524, HUMAN05723, HUMAN05722	AENJA_26666
OG0000106	HUMAN11182, HUMAN29629, HUMAN29628, HUMAN11556, HUMAN27976, HUMAN27977, HUMAN27979, HUMAN27978	AENJA_21591
OG0000106	HUMAN27844	AENJA_13743
OG0000106	HUMAN01589, HUMAN09602	AENJA_23816, AENJA_15640, AENJA_15584, AENJA_15585, AENJA_15161, AENJA_24394, AENJA_24395
OG0000108	HUMAN21927, HUMAN07479, HUMAN07482, HUMAN05619, HUMAN00450	AENJA_09590, AENJA_26619, AENJA_12891, AENJA_12893, AENJA_12894
OG0000113	HUMAN26991	AENJA_09826
OG0000114	HUMAN22220, HUMAN22219, HUMAN00197, HUMAN00198, HUMAN00199	AENJA_23585, AENJA_23588, AENJA_23590, AENJA_26073
OG0000116	HUMAN18678	AENJA_23563, AENJA_23564
OG0000117	HUMAN04356, HUMAN04357	AENJA_02548
OG0000119	HUMAN17875, HUMAN06568, HUMAN12949	AENJA_18357, AENJA_20512
OG0000119	HUMAN17940, HUMAN20669	AENJA_08115, AENJA_08491
OG0000121	HUMAN23092, HUMAN03659	AENJA_09065
OG0000121	HUMAN14877	AENJA_24297
OG0000121	HUMAN18067	AENJA_07109, AENJA_25145
OG0000122	HUMAN12772, HUMAN27264, HUMAN18288	AENJA_09263
OG0000122	HUMAN20607, HUMAN17789, HUMAN06426, HUMAN06427	AENJA_14198
OG0000123	HUMAN22221, HUMAN24254	AENJA_11261
OG0000123	HUMAN03664, HUMAN27696, HUMAN24043	AENJA_22182
OG0000123	HUMAN24040, HUMAN24041	AENJA_08161
OG0000123	HUMAN24256	AENJA_11939, AENJA_11934, AENJA_04063
OG0000124	HUMAN03991	AENJA_03116, AENJA_25792
OG0000124	HUMAN13586, HUMAN25969, HUMAN20106	AENJA_04495
OG0000124	HUMAN00442, HUMAN00443	AENJA_09769, AENJA_03187
OG0000124	HUMAN08498, HUMAN16926	AENJA_26736
OG0000124	HUMAN09305, HUMAN02618	AENJA_05859
OG0000125	HUMAN12557, HUMAN20597	AENJA_09264
OG0000125	HUMAN20601, HUMAN20600, HUMAN12568, HUMAN12567, HUMAN12566, HUMAN06479, HUMAN06480	AENJA_18946
OG0000125	HUMAN20598, HUMAN20599, HUMAN12556	AENJA_04836
OG0000125	HUMAN04438, HUMAN04439, HUMAN16073	AENJA_07272
OG0000126	HUMAN07866, HUMAN30407, HUMAN21845	AENJA_24273
OG0000126	HUMAN14005, HUMAN14232, HUMAN14231, HUMAN01769, HUMAN01768, HUMAN09480	AENJA_07507
OG0000127	HUMAN07859, HUMAN30409, HUMAN21844	AENJA_11132
OG0000127	HUMAN21549, HUMAN07766	AENJA_20308
OG0000127	HUMAN24572, HUMAN16589, HUMAN18562	AENJA_04153
OG0000127	HUMAN27422, HUMAN19318	AENJA_17569
OG0000127	HUMAN10225, HUMAN20144, HUMAN20145, HUMAN13245	AENJA_00497
OG0000128	HUMAN04854, HUMAN04855	AENJA_22594, AENJA_22595
OG0000128	HUMAN04482, HUMAN05330, HUMAN05329	AENJA_07850, AENJA_17413, AENJA_26743
OG0000128	HUMAN21997	AENJA_21735
OG0000129	HUMAN02545, HUMAN04877, HUMAN25129, HUMAN02543, HUMAN15464, HUMAN02634, HUMAN09344	AENJA_11469
OG0000129	HUMAN05233, HUMAN30228	AENJA_21737
OG0000129	HUMAN18494, HUMAN18495	AENJA_12119, AENJA_20942, AENJA_12123
OG0000131	HUMAN19899	AENJA_13807, AENJA_21097
OG0000131	HUMAN18503, HUMAN18504	AENJA_26204, AENJA_02558, AENJA_02442, AENJA_02441
OG0000133	HUMAN27246, HUMAN27250, HUMAN27247, HUMAN27249, HUMAN27245, HUMAN27244	AENJA_22212
OG0000137	HUMAN28180, HUMAN25590, HUMAN25594	AENJA_26083
OG0000137	HUMAN13481	AENJA_25528, AENJA_11173
OG0000137	HUMAN25150, HUMAN25149	AENJA_09533
OG0000139	HUMAN26414	AENJA_14233, AENJA_10490, AENJA_13897, AENJA_14832, AENJA_14830
OG0000140	HUMAN27223	AENJA_01263
OG0000140	HUMAN03909, HUMAN06860, HUMAN05842, HUMAN03908	AENJA_05753
OG0000141	HUMAN27964, HUMAN30567	AENJA_11870, AENJA_15985, AENJA_19700, AENJA_22297, AENJA_26376, AENJA_05407
OG0000145	HUMAN15368	AENJA_05166
OG0000145	HUMAN15367	AENJA_06072
OG0000147	HUMAN18499, HUMAN00218	AENJA_03761
OG0000147	HUMAN24559, HUMAN27635	AENJA_12275
OG0000147	HUMAN02299	AENJA_03922
OG0000147	HUMAN18714, HUMAN18712	AENJA_10787
OG0000148	HUMAN20409, HUMAN21158, HUMAN20413, HUMAN20412, HUMAN05377, HUMAN02391, HUMAN06229	AENJA_21220
OG0000149	HUMAN23614, HUMAN23616, HUMAN23619	AENJA_12114
OG0000149	HUMAN10034, HUMAN23690	AENJA_12111, AENJA_03471, AENJA_12512
OG0000149	HUMAN22790	AENJA_18447
OG0000151	HUMAN14595, HUMAN29381, HUMAN29382, HUMAN24889, HUMAN01320	AENJA_13408
OG0000151	HUMAN29073, HUMAN01218, HUMAN01219	AENJA_03698
OG0000153	HUMAN26709, HUMAN15537	AENJA_14215
OG0000154	HUMAN19436	AENJA_18738
OG0000155	HUMAN25228, HUMAN25227, HUMAN25225, HUMAN00773, HUMAN00771	AENJA_20550
OG0000157	HUMAN11058, HUMAN11059	AENJA_07142
OG0000158	HUMAN19321, HUMAN25759, HUMAN27804	AENJA_06739
OG0000159	HUMAN27903	AENJA_16647, AENJA_17890
OG0000159	HUMAN29307	AENJA_06073
OG0000159	HUMAN04389, HUMAN23217, HUMAN11668	AENJA_25487
OG0000160	HUMAN18884, HUMAN18883	AENJA_06959
OG0000160	HUMAN19901, HUMAN19900, HUMAN19910, HUMAN19911, HUMAN18777, HUMAN19703, HUMAN19833, HUMAN19781	AENJA_13005
OG0000162	HUMAN17808, HUMAN17813, HUMAN17807	AENJA_09371
OG0000163	HUMAN20181, HUMAN13484	AENJA_14266
OG0000163	HUMAN13482, HUMAN13483	AENJA_00250
OG0000163	HUMAN13485, HUMAN13486, HUMAN20190	AENJA_14265
OG0000163	HUMAN12888, HUMAN06524, HUMAN26092	AENJA_02338
