Orthogroup	HUMAN	STRPU_ok
OG0000004	HUMAN03733	STRPU_07212, STRPU_07214, STRPU_07213, STRPU_18646, STRPU_18644, STRPU_05673, STRPU_18587, STRPU_18596, STRPU_18643, STRPU_18598, STRPU_02836, STRPU_18641, STRPU_18592, STRPU_18603, STRPU_18636, STRPU_18639, STRPU_18645, STRPU_18591, STRPU_18600, STRPU_18604, STRPU_18595, STRPU_05674, STRPU_02831, STRPU_18647, STRPU_18588, STRPU_18648, STRPU_18590
OG0000005	HUMAN01465	STRPU_02665, STRPU_01699
OG0000006	HUMAN20053	STRPU_12837
OG0000006	HUMAN00944	STRPU_04777
OG0000006	HUMAN22351, HUMAN05133	STRPU_05111, STRPU_05037
OG0000006	HUMAN21718, HUMAN29537	STRPU_06684
OG0000006	HUMAN02118, HUMAN29294	STRPU_19989
OG0000006	HUMAN01388, HUMAN06884, HUMAN04380	STRPU_12594, STRPU_12593
OG0000006	HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640	STRPU_20521
OG0000006	HUMAN25905	STRPU_09165, STRPU_02127
OG0000006	HUMAN23524	STRPU_27184, STRPU_27203
OG0000006	HUMAN03111	STRPU_07314
OG0000006	HUMAN14338, HUMAN14017	STRPU_27126
OG0000006	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823	STRPU_04454, STRPU_04403, STRPU_04401
OG0000006	HUMAN08856, HUMAN19716	STRPU_21069
OG0000006	HUMAN08442, HUMAN17032, HUMAN15898	STRPU_21071
OG0000006	HUMAN24331	STRPU_14340
OG0000007	HUMAN24418, HUMAN11538	STRPU_25459
OG0000007	HUMAN09570, HUMAN28803	STRPU_26581
OG0000007	HUMAN15831, HUMAN18759, HUMAN08323	STRPU_21427
OG0000007	HUMAN28730, HUMAN28754, HUMAN28742, HUMAN28745, HUMAN28436, HUMAN17539, HUMAN01097, HUMAN23486, HUMAN00971	STRPU_18763
OG0000007	HUMAN24202, HUMAN17278, HUMAN03780	STRPU_09815
OG0000007	HUMAN21567	STRPU_10770
OG0000007	HUMAN11539	STRPU_25460
OG0000007	HUMAN24416	STRPU_25304
OG0000007	HUMAN24417, HUMAN11533	STRPU_25458
OG0000007	HUMAN12258, HUMAN07103, HUMAN07102	STRPU_16477
OG0000007	HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949	STRPU_21790
OG0000007	HUMAN25936, HUMAN13634	STRPU_08442
OG0000007	HUMAN13395	STRPU_08417
OG0000007	HUMAN00818, HUMAN00819, HUMAN05935	STRPU_10590
OG0000007	HUMAN08248	STRPU_21559
OG0000008	HUMAN29384, HUMAN29385, HUMAN29383, HUMAN00569	STRPU_10510
OG0000012	HUMAN21758, HUMAN26719, HUMAN26720	STRPU_06380, STRPU_06825
OG0000012	HUMAN11190	STRPU_23513
OG0000014	HUMAN25476, HUMAN30053	STRPU_17754, STRPU_17755
OG0000014	HUMAN13227	STRPU_19509
OG0000015	HUMAN24211, HUMAN00090, HUMAN24177, HUMAN22373, HUMAN09170	STRPU_05546, STRPU_05605
OG0000015	HUMAN24184, HUMAN22368, HUMAN09174, HUMAN09175, HUMAN30469, HUMAN22369, HUMAN24183, HUMAN30472, HUMAN09173, HUMAN22372, HUMAN24180, HUMAN24179, HUMAN24178	STRPU_05547, STRPU_05606
OG0000015	HUMAN29611, HUMAN30168, HUMAN23062, HUMAN24113	STRPU_21905
OG0000016	HUMAN11007, HUMAN11006, HUMAN21858	STRPU_06927, STRPU_06051, STRPU_06086, STRPU_06084, STRPU_06503, STRPU_06525, STRPU_06574, STRPU_06085, STRPU_06200, STRPU_06221
OG0000016	HUMAN10581, HUMAN10583, HUMAN12987	STRPU_09277
OG0000016	HUMAN07767	STRPU_19934, STRPU_02593, STRPU_06663, STRPU_23484
OG0000016	HUMAN25103	STRPU_15361, STRPU_21110
OG0000016	HUMAN06120, HUMAN04223	STRPU_22684, STRPU_23485, STRPU_23482, STRPU_23488, STRPU_23483, STRPU_23481, STRPU_23477, STRPU_23478, STRPU_22637, STRPU_00667, STRPU_23082
OG0000019	HUMAN27262, HUMAN06385, HUMAN06383, HUMAN12384, HUMAN12385, HUMAN18277	STRPU_23414, STRPU_01023
OG0000020	HUMAN12659	STRPU_13949
OG0000020	HUMAN08344	STRPU_20580
OG0000020	HUMAN00926	STRPU_19028, STRPU_00464
OG0000020	HUMAN02350, HUMAN02349	STRPU_22748, STRPU_01903
OG0000020	HUMAN17840	STRPU_07115
OG0000020	HUMAN05209, HUMAN21854, HUMAN21853	STRPU_26678
OG0000020	HUMAN02145	STRPU_19861, STRPU_19888
OG0000020	HUMAN30100, HUMAN07717, HUMAN22328	STRPU_05007
OG0000020	HUMAN00010	STRPU_11453
OG0000020	HUMAN23847	STRPU_04309, STRPU_04336
OG0000020	HUMAN22639	STRPU_05521
OG0000020	HUMAN20816	STRPU_21977
OG0000021	HUMAN20500	STRPU_23367
OG0000021	HUMAN11054, HUMAN23166	STRPU_25829
OG0000021	HUMAN12331	STRPU_02205, STRPU_15603
OG0000021	HUMAN04273, HUMAN30251	STRPU_18709, STRPU_19164, STRPU_19932, STRPU_02595, STRPU_19514, STRPU_20213
OG0000021	HUMAN00882, HUMAN00880, HUMAN00881	STRPU_05019, STRPU_05298, STRPU_05227, STRPU_05132, STRPU_05059
OG0000023	HUMAN03767	STRPU_09714, STRPU_09758
OG0000023	HUMAN19878, HUMAN19879, HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367	STRPU_05490, STRPU_14357, STRPU_15269, STRPU_14358
OG0000023	HUMAN04007, HUMAN05393, HUMAN05394, HUMAN05401, HUMAN05399, HUMAN05395, HUMAN05400, HUMAN05396, HUMAN05404, HUMAN11050, HUMAN19103, HUMAN05403	STRPU_20382, STRPU_04831, STRPU_00750, STRPU_00747, STRPU_00749, STRPU_00748
OG0000026	HUMAN16545	STRPU_24999
OG0000026	HUMAN26724, HUMAN26725	STRPU_13435, STRPU_25665, STRPU_06675, STRPU_06676, STRPU_21822, STRPU_10195
OG0000028	HUMAN09193, HUMAN09206	STRPU_27008
OG0000029	HUMAN15611	STRPU_25978
OG0000029	HUMAN07316, HUMAN05232, HUMAN14995, HUMAN11203, HUMAN18356, HUMAN17029	STRPU_09836, STRPU_17433, STRPU_17432
OG0000029	HUMAN24898, HUMAN21852	STRPU_14123
OG0000030	HUMAN01740, HUMAN28679	STRPU_23383
OG0000031	HUMAN17850	STRPU_24640
OG0000031	HUMAN06489, HUMAN17883, HUMAN26042	STRPU_24955
OG0000031	HUMAN26043	STRPU_24636
OG0000031	HUMAN26979, HUMAN14235	STRPU_08004, STRPU_23584
OG0000031	HUMAN07725	STRPU_05537, STRPU_05597
OG0000031	HUMAN14922, HUMAN14786	STRPU_18994
OG0000031	HUMAN07726, HUMAN22322	STRPU_05368
OG0000031	HUMAN18122, HUMAN18121, HUMAN02818, HUMAN02819	STRPU_24676
OG0000032	HUMAN06107, HUMAN06100, HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105, HUMAN21527, HUMAN05202, HUMAN10072	STRPU_21234, STRPU_24774, STRPU_24776, STRPU_02932, STRPU_12458
OG0000032	HUMAN19258	STRPU_24275, STRPU_24481, STRPU_24338, STRPU_24339, STRPU_24455, STRPU_24337, STRPU_24336, STRPU_24340, STRPU_24341, STRPU_09346, STRPU_24445, STRPU_24444, STRPU_24276, STRPU_24277, STRPU_24816
OG0000034	HUMAN11672, HUMAN11673	STRPU_15245, STRPU_15189
OG0000034	HUMAN16090, HUMAN04116, HUMAN06217, HUMAN01449	STRPU_11798
OG0000034	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933	STRPU_11930, STRPU_11885
OG0000034	HUMAN01831, HUMAN13891	STRPU_27315
OG0000034	HUMAN04678	STRPU_11793
OG0000034	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093	STRPU_04070
OG0000034	HUMAN04988	STRPU_12141, STRPU_12106
OG0000035	HUMAN06576	STRPU_25195, STRPU_01880, STRPU_04279, STRPU_01879, STRPU_25194
OG0000035	HUMAN09866	STRPU_27002
OG0000035	HUMAN06191, HUMAN03898	STRPU_13051
OG0000035	HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810	STRPU_12705, STRPU_12704
OG0000035	HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844	STRPU_12998, STRPU_12553
OG0000035	HUMAN04383	STRPU_12700
OG0000036	HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233	STRPU_26319, STRPU_09906, STRPU_26130, STRPU_25659
OG0000036	HUMAN11289	STRPU_09907
OG0000036	HUMAN27983, HUMAN15223	STRPU_26325, STRPU_26324, STRPU_26321, STRPU_16183, STRPU_16230, STRPU_25724
OG0000037	HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443	STRPU_20762
OG0000037	HUMAN19040, HUMAN28273, HUMAN16721	STRPU_24785
OG0000037	HUMAN03689	STRPU_10295, STRPU_10296, STRPU_10297
OG0000038	HUMAN02828	STRPU_18076, STRPU_01766
OG0000038	HUMAN17661, HUMAN07446, HUMAN17632	STRPU_18085, STRPU_01774, STRPU_18078, STRPU_18077, STRPU_18081, STRPU_01769, STRPU_18084, STRPU_01773, STRPU_01768, STRPU_18080, STRPU_06238, STRPU_18079, STRPU_01767, STRPU_18082, STRPU_01770, STRPU_18086
OG0000038	HUMAN18259, HUMAN18258	STRPU_17414, STRPU_17415
OG0000038	HUMAN18257	STRPU_18075, STRPU_01765
OG0000039	HUMAN02107, HUMAN02110, HUMAN02111	STRPU_13266
OG0000039	HUMAN29023	STRPU_05101, STRPU_05100, STRPU_05180
OG0000040	HUMAN26646, HUMAN26642	STRPU_00136
OG0000040	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640	STRPU_21773, STRPU_17271, STRPU_21617, STRPU_22119, STRPU_03662, STRPU_03674, STRPU_03673, STRPU_03661, STRPU_01945, STRPU_22786, STRPU_01944, STRPU_25141, STRPU_21378, STRPU_03732, STRPU_03735, STRPU_03733, STRPU_03734, STRPU_08305, STRPU_03737, STRPU_08238
OG0000041	HUMAN15981, HUMAN01398, HUMAN05838, HUMAN01400, HUMAN01399, HUMAN05837, HUMAN01401, HUMAN05836, HUMAN04298	STRPU_13000
OG0000044	HUMAN22107, HUMAN27712, HUMAN24292, HUMAN22106, HUMAN27711, HUMAN03716, HUMAN03718, HUMAN03717	STRPU_09802
OG0000044	HUMAN07517	STRPU_13229, STRPU_13213
OG0000044	HUMAN03043	STRPU_00051
OG0000046	HUMAN23116	STRPU_24167, STRPU_08327, STRPU_08328
OG0000048	HUMAN29550	STRPU_05493
OG0000048	HUMAN16328	STRPU_20602
OG0000048	HUMAN16644	STRPU_20482
OG0000048	HUMAN11449	STRPU_26191
OG0000049	HUMAN25699, HUMAN05316	STRPU_17072
OG0000049	HUMAN20965, HUMAN26499	STRPU_23537
OG0000049	HUMAN05318	STRPU_17073
OG0000049	HUMAN26500	STRPU_23536
OG0000051	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201	STRPU_17901, STRPU_17577, STRPU_17576, STRPU_17547, STRPU_17574, STRPU_17579, STRPU_17578, STRPU_17575, STRPU_02970, STRPU_16946
OG0000054	HUMAN23119	STRPU_04629, STRPU_04651, STRPU_21552, STRPU_04633, STRPU_04661, STRPU_04884, STRPU_04631, STRPU_04653
OG0000056	HUMAN22445, HUMAN01195, HUMAN14849, HUMAN14869, HUMAN14864, HUMAN14480, HUMAN01194	STRPU_19327
OG0000056	HUMAN07396, HUMAN07395	STRPU_12248, STRPU_11783
OG0000056	HUMAN14865	STRPU_06434
OG0000057	HUMAN23569, HUMAN10014	STRPU_09574, STRPU_09581, STRPU_15511, STRPU_15515, STRPU_15513, STRPU_15522, STRPU_15517, STRPU_15521, STRPU_15512, STRPU_15518, STRPU_15524, STRPU_15520, STRPU_15523, STRPU_15510, STRPU_15514, STRPU_06456, STRPU_18393, STRPU_10377, STRPU_10376, STRPU_03172, STRPU_10378, STRPU_10379, STRPU_11849, STRPU_11850, STRPU_11851, STRPU_10380, STRPU_16444, STRPU_10382
OG0000057	HUMAN29650	STRPU_09580
OG0000058	HUMAN17378, HUMAN03592	STRPU_10155, STRPU_10092
OG0000058	HUMAN23378	STRPU_08934
OG0000058	HUMAN02623, HUMAN09237, HUMAN17157, HUMAN03406	STRPU_09783
OG0000059	HUMAN21611	STRPU_05220
OG0000059	HUMAN05382, HUMAN22839, HUMAN23845	STRPU_24694, STRPU_24697, STRPU_24828, STRPU_24005
OG0000060	HUMAN25284	STRPU_24855
OG0000060	HUMAN16007, HUMAN16006, HUMAN04276, HUMAN06988	STRPU_12994
OG0000061	HUMAN17964, HUMAN26554	STRPU_13962
OG0000061	HUMAN18142, HUMAN20809, HUMAN13555, HUMAN15809, HUMAN25004, HUMAN12027, HUMAN17562, HUMAN17563, HUMAN20727, HUMAN26146, HUMAN26147, HUMAN26149, HUMAN27338, HUMAN27337	STRPU_02428, STRPU_13635
OG0000061	HUMAN26138, HUMAN26137, HUMAN12821	STRPU_13960, STRPU_13959, STRPU_13958
OG0000062	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195	STRPU_12717, STRPU_26540, STRPU_26538, STRPU_26536, STRPU_26537, STRPU_12721, STRPU_24303, STRPU_12720, STRPU_12719, STRPU_26408
OG0000062	HUMAN25285	STRPU_08191
OG0000063	HUMAN14398, HUMAN28499, HUMAN00858	STRPU_18989
OG0000063	HUMAN21099	STRPU_23711
OG0000063	HUMAN00859, HUMAN28501	STRPU_18990, STRPU_18981, STRPU_07188
OG0000063	HUMAN18628, HUMAN03783, HUMAN03782	STRPU_18657
OG0000066	HUMAN29798	STRPU_19100
OG0000067	HUMAN24070, HUMAN22809	STRPU_24522, STRPU_10727, STRPU_10726, STRPU_04075, STRPU_11266, STRPU_11228, STRPU_16178, STRPU_16224, STRPU_16227, STRPU_16177, STRPU_02655, STRPU_16176, STRPU_16181, STRPU_16229, STRPU_11824, STRPU_10905, STRPU_00137, STRPU_11385
OG0000068	HUMAN26983	STRPU_23284
OG0000068	HUMAN20381	STRPU_07505, STRPU_07509, STRPU_07512, STRPU_07511, STRPU_21952, STRPU_21938, STRPU_07506, STRPU_21941, STRPU_21953, STRPU_07515, STRPU_07507, STRPU_07503, STRPU_21942, STRPU_21954, STRPU_21943, STRPU_21939
OG0000069	HUMAN01509, HUMAN24625, HUMAN24602, HUMAN24629, HUMAN24631, HUMAN24608, HUMAN24669, HUMAN24667, HUMAN02614, HUMAN24605, HUMAN24620, HUMAN24658	STRPU_26328, STRPU_04107, STRPU_05473, STRPU_05020, STRPU_25384, STRPU_24249, STRPU_09003, STRPU_01056, STRPU_05927, STRPU_06003, STRPU_05936, STRPU_05932, STRPU_06000
OG0000070	HUMAN25671, HUMAN29634, HUMAN30393	STRPU_17447, STRPU_05505
OG0000070	HUMAN14161	STRPU_26776, STRPU_26437, STRPU_26424, STRPU_13775, STRPU_13137, STRPU_13158, STRPU_13139, STRPU_13160, STRPU_26426, STRPU_26931, STRPU_26775, STRPU_26438, STRPU_26932
OG0000072	HUMAN24108, HUMAN23125, HUMAN05334	STRPU_05231
OG0000072	HUMAN22965, HUMAN22964, HUMAN04101	STRPU_05349
OG0000072	HUMAN22852	STRPU_05343
OG0000072	HUMAN03255, HUMAN03252	STRPU_04704, STRPU_04707
OG0000073	HUMAN25174, HUMAN25175	STRPU_10042, STRPU_10116, STRPU_06184, STRPU_06189, STRPU_06216, STRPU_06191, STRPU_06178, STRPU_06177, STRPU_16126, STRPU_04632, STRPU_04654, STRPU_21421, STRPU_21420
OG0000073	HUMAN19028, HUMAN27930, HUMAN11516, HUMAN27929, HUMAN06831, HUMAN06836	STRPU_14789
OG0000074	HUMAN07045, HUMAN07044, HUMAN21437	STRPU_24425, STRPU_15226, STRPU_25840, STRPU_24424, STRPU_09406, STRPU_01552, STRPU_16196, STRPU_16237, STRPU_01870, STRPU_25185, STRPU_01871, STRPU_25186
OG0000074	HUMAN09283	STRPU_05573, STRPU_05632
OG0000074	HUMAN15238, HUMAN13822	STRPU_26349, STRPU_17860, STRPU_17858, STRPU_22932, STRPU_22800, STRPU_22801, STRPU_13956, STRPU_22802, STRPU_01961
OG0000075	HUMAN12839, HUMAN02593	STRPU_25005
OG0000075	HUMAN18233	STRPU_25123
OG0000075	HUMAN06329	STRPU_25122
OG0000075	HUMAN00444	STRPU_10595
OG0000075	HUMAN18234, HUMAN06328	STRPU_25157
OG0000075	HUMAN05783, HUMAN21047	STRPU_01897, STRPU_22743
OG0000075	HUMAN20335, HUMAN20336, HUMAN20532	STRPU_23530
OG0000075	HUMAN26884	STRPU_23991
OG0000077	HUMAN18656, HUMAN24161, HUMAN27605, HUMAN27606	STRPU_09555
OG0000077	HUMAN17351, HUMAN03646, HUMAN22147, HUMAN22146	STRPU_10408
OG0000077	HUMAN25299, HUMAN00457, HUMAN21175, HUMAN25341, HUMAN23402	STRPU_07855
OG0000078	HUMAN15000, HUMAN04284, HUMAN06996	STRPU_07324, STRPU_07628, STRPU_07626, STRPU_07630, STRPU_07061, STRPU_03530, STRPU_03595, STRPU_07100, STRPU_07101
OG0000079	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848	STRPU_23093, STRPU_23381, STRPU_23773
OG0000079	HUMAN22600, HUMAN22601, HUMAN24340	STRPU_04091
OG0000079	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260	STRPU_02493, STRPU_15115
OG0000079	HUMAN13037	STRPU_15116, STRPU_02495
OG0000079	HUMAN14208, HUMAN14194, HUMAN14192	STRPU_26495, STRPU_19060
OG0000081	HUMAN03680, HUMAN03679, HUMAN03681, HUMAN03678	STRPU_10387, STRPU_19245, STRPU_19246
OG0000082	HUMAN29167	STRPU_19842
OG0000082	HUMAN23869	STRPU_09694, STRPU_09737
OG0000082	HUMAN23871	STRPU_18951
OG0000083	HUMAN07535, HUMAN22993	STRPU_05477, STRPU_05480, STRPU_05479
OG0000084	HUMAN03696, HUMAN22975	STRPU_10120, STRPU_10047
OG0000084	HUMAN05352	STRPU_09358
OG0000085	HUMAN12866, HUMAN20608, HUMAN17788	STRPU_24977
OG0000085	HUMAN13119, HUMAN07215	STRPU_15094
OG0000085	HUMAN26172	STRPU_25637
OG0000085	HUMAN19734, HUMAN19733, HUMAN05027	STRPU_14802
OG0000085	HUMAN25832	STRPU_17832
OG0000087	HUMAN11956	STRPU_06300, STRPU_06346
OG0000087	HUMAN02557	STRPU_20681
OG0000087	HUMAN17213	STRPU_22865
OG0000087	HUMAN21001	STRPU_08915, STRPU_00613
OG0000087	HUMAN18010	STRPU_25132
OG0000087	HUMAN21063	STRPU_23330
OG0000087	HUMAN10659	STRPU_08212
OG0000088	HUMAN03260, HUMAN04395, HUMAN21618, HUMAN29776, HUMAN11422, HUMAN11423, HUMAN11367	STRPU_22547, STRPU_21931, STRPU_22061, STRPU_09861, STRPU_06425, STRPU_12997, STRPU_24674, STRPU_07045, STRPU_20838, STRPU_20875, STRPU_13326, STRPU_11713, STRPU_13712, STRPU_00232, STRPU_25974, STRPU_22714, STRPU_00696, STRPU_12904, STRPU_12905, STRPU_07251, STRPU_07272, STRPU_21273, STRPU_21272, STRPU_26899, STRPU_19492, STRPU_00779, STRPU_19792, STRPU_04079, STRPU_04080, STRPU_26089
OG0000089	HUMAN21235	STRPU_10589
OG0000089	HUMAN29653, HUMAN25674	STRPU_17838, STRPU_22395
OG0000089	HUMAN25675	STRPU_08016, STRPU_25351
OG0000090	HUMAN24709	STRPU_20024, STRPU_20023
OG0000090	HUMAN28948	STRPU_15706
OG0000093	HUMAN25814, HUMAN25815, HUMAN26490, HUMAN26491, HUMAN20914	STRPU_16292, STRPU_19475, STRPU_19473, STRPU_19480, STRPU_17622, STRPU_02298, STRPU_02299, STRPU_02300, STRPU_17621, STRPU_13630, STRPU_15251, STRPU_25013, STRPU_15508, STRPU_01856, STRPU_01855, STRPU_03976, STRPU_24512, STRPU_15196, STRPU_17525, STRPU_17526, STRPU_15252
OG0000094	HUMAN05793, HUMAN05794, HUMAN21039, HUMAN14813, HUMAN21040, HUMAN29866	STRPU_22767, STRPU_01923
OG0000094	HUMAN02204, HUMAN29518, HUMAN14811	STRPU_19407
OG0000096	HUMAN30343, HUMAN07778, HUMAN21683	STRPU_06019
OG0000096	HUMAN01418, HUMAN23507, HUMAN06774	STRPU_23963, STRPU_23937
OG0000096	HUMAN27289	STRPU_22229
OG0000096	HUMAN13889, HUMAN01832	STRPU_27319
OG0000096	HUMAN06142, HUMAN01455, HUMAN03867, HUMAN06143, HUMAN03866	STRPU_15853, STRPU_15805
OG0000096	HUMAN04200, HUMAN04201, HUMAN16028	STRPU_11677
OG0000096	HUMAN21561	STRPU_13124, STRPU_02569
OG0000098	HUMAN15990, HUMAN03957, HUMAN18424, HUMAN19602	STRPU_22565, STRPU_22567, STRPU_16696
OG0000098	HUMAN28791, HUMAN09489, HUMAN28772, HUMAN28773, HUMAN09201, HUMAN28771	STRPU_26921, STRPU_27157
OG0000099	HUMAN05424	STRPU_05601, STRPU_05541, STRPU_05542, STRPU_05545, STRPU_05604
OG0000099	HUMAN15639, HUMAN15638, HUMAN05635, HUMAN25408, HUMAN00740, HUMAN19390	STRPU_16997, STRPU_16998
OG0000101	HUMAN11236, HUMAN11477, HUMAN11479, HUMAN11478	STRPU_12617
OG0000101	HUMAN22036, HUMAN22037	STRPU_17399, STRPU_17409
OG0000101	HUMAN06575, HUMAN06643, HUMAN06644, HUMAN06642, HUMAN17830	STRPU_00056, STRPU_00044, STRPU_13993, STRPU_09278, STRPU_14078, STRPU_00843, STRPU_14047
OG0000102	HUMAN08946, HUMAN02473	STRPU_21344
OG0000103	HUMAN12034, HUMAN12033, HUMAN12032, HUMAN12035, HUMAN12031, HUMAN12036, HUMAN08164, HUMAN08165, HUMAN21265, HUMAN18888	STRPU_08665
OG0000103	HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080	STRPU_08161
OG0000104	HUMAN05724, HUMAN19523	STRPU_03670, STRPU_03681
OG0000104	HUMAN26011, HUMAN26009, HUMAN26010, HUMAN21916, HUMAN21915, HUMAN12742	STRPU_22118
OG0000104	HUMAN05721, HUMAN19524, HUMAN05723, HUMAN05722	STRPU_03688, STRPU_03686
OG0000104	HUMAN19373	STRPU_02772
OG0000104	HUMAN02405, HUMAN02404, HUMAN06960, HUMAN29799	STRPU_23716
OG0000106	HUMAN11182, HUMAN29629, HUMAN29628, HUMAN11556, HUMAN27976, HUMAN27977, HUMAN27979, HUMAN27978	STRPU_25282
OG0000106	HUMAN27844	STRPU_25442
OG0000106	HUMAN01589, HUMAN09602	STRPU_24881, STRPU_24880, STRPU_01718, STRPU_24866, STRPU_24879, STRPU_24865, STRPU_18866, STRPU_18929, STRPU_18927, STRPU_18867, STRPU_14313, STRPU_24306, STRPU_24307
OG0000107	HUMAN24662	STRPU_24418
OG0000107	HUMAN24661	STRPU_10381, STRPU_06034, STRPU_24248, STRPU_05021, STRPU_06004, STRPU_05934, STRPU_24099, STRPU_25385, STRPU_10863, STRPU_13897, STRPU_01057, STRPU_02949, STRPU_05929, STRPU_03377, STRPU_05996, STRPU_04108, STRPU_05474, STRPU_10843, STRPU_09004
OG0000113	HUMAN00919	STRPU_10396, STRPU_18172
OG0000114	HUMAN22220, HUMAN22219, HUMAN00197, HUMAN00198, HUMAN00199	STRPU_06721, STRPU_06060, STRPU_06062, STRPU_11249, STRPU_11210
OG0000115	HUMAN11469, HUMAN11468	STRPU_25508, STRPU_12373, STRPU_23313
OG0000116	HUMAN18678	STRPU_21801, STRPU_21802
OG0000117	HUMAN01029	STRPU_18287
OG0000117	HUMAN04356, HUMAN04357	STRPU_16027
OG0000119	HUMAN17875, HUMAN06568, HUMAN12949	STRPU_13902
OG0000119	HUMAN17960, HUMAN06534, HUMAN02909, HUMAN12779	STRPU_13282, STRPU_14005, STRPU_13283, STRPU_13285, STRPU_04923, STRPU_13455, STRPU_13951
OG0000119	HUMAN17940, HUMAN20669	STRPU_13805, STRPU_13905
OG0000121	HUMAN23092, HUMAN03659	STRPU_17646, STRPU_02277
OG0000122	HUMAN12772, HUMAN27264, HUMAN18288	STRPU_24150
