Orthogroup	HUMAN	BRALA
OG0000002	HUMAN03456, HUMAN03459, HUMAN03828, HUMAN03454, HUMAN03455, HUMAN03453, HUMAN15589, HUMAN15587, HUMAN15585, HUMAN15586, HUMAN15588	BRALA21492, BRALA22510, BRALA17577, BRALA01102, BRALA16253, BRALA11862, BRALA13544, BRALA13542, BRALA01271, BRALA00868, BRALA05067, BRALA24317, BRALA30805, BRALA05068, BRALA05069, BRALA16745, BRALA10425, BRALA30468
OG0000002	HUMAN20270	BRALA20754
OG0000003	HUMAN10010	BRALA29565
OG0000004	HUMAN27462, HUMAN27463, HUMAN27619	BRALA09016
OG0000004	HUMAN27575	BRALA16167
OG0000004	HUMAN22815	BRALA03918
OG0000004	HUMAN05919, HUMAN05921, HUMAN01911	BRALA02003, BRALA02015
OG0000005	HUMAN23763, HUMAN23764	BRALA11141, BRALA20236, BRALA24081, BRALA25210, BRALA25209, BRALA24049, BRALA24867, BRALA34270, BRALA18306, BRALA18305, BRALA22610, BRALA18416
OG0000005	HUMAN25469	BRALA00625, BRALA18455, BRALA18454, BRALA18460, BRALA18459, BRALA12234
OG0000006	HUMAN17033	BRALA27911
OG0000006	HUMAN20053	BRALA07705
OG0000006	HUMAN30182, HUMAN30280, HUMAN21060	BRALA17590
OG0000006	HUMAN00944	BRALA06686
OG0000006	HUMAN22351, HUMAN05133	BRALA19242
OG0000006	HUMAN21718, HUMAN29537	BRALA06109
OG0000006	HUMAN29691	BRALA23800
OG0000006	HUMAN01388, HUMAN06884, HUMAN04380	BRALA07568, BRALA29276
OG0000006	HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640	BRALA22280
OG0000006	HUMAN25905	BRALA06185
OG0000006	HUMAN23524	BRALA17603
OG0000006	HUMAN03111	BRALA03602
OG0000006	HUMAN14017	BRALA17591
OG0000006	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823	BRALA24372
OG0000006	HUMAN08856, HUMAN19716	BRALA24993
OG0000006	HUMAN08442, HUMAN17032, HUMAN15898	BRALA24994
OG0000006	HUMAN24331	BRALA22628
OG0000007	HUMAN24418, HUMAN11538	BRALA03259
OG0000007	HUMAN09570, HUMAN28803	BRALA13447, BRALA13448
OG0000007	HUMAN15831, HUMAN18759, HUMAN08323	BRALA20872, BRALA20870
OG0000007	HUMAN24202, HUMAN17278, HUMAN03780	BRALA31416
OG0000007	HUMAN21567	BRALA11149
OG0000007	HUMAN11539	BRALA03260
OG0000007	HUMAN28408	BRALA20579
OG0000007	HUMAN24416	BRALA03286
OG0000007	HUMAN24417, HUMAN11533	BRALA03282
OG0000007	HUMAN12258, HUMAN07103	BRALA26097
OG0000007	HUMAN07102	BRALA14947
OG0000007	HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949	BRALA22487
OG0000007	HUMAN25936, HUMAN13634	BRALA06491
OG0000007	HUMAN13395	BRALA18647
OG0000007	HUMAN00818, HUMAN00819, HUMAN05935	BRALA05625
OG0000007	HUMAN08248	BRALA30788
OG0000008	HUMAN14538, HUMAN01095	BRALA05591
OG0000008	HUMAN29311, HUMAN29312	BRALA27340
OG0000008	HUMAN29384, HUMAN29385, HUMAN29383, HUMAN00569	BRALA26171, BRALA33769, BRALA26174, BRALA26137, BRALA30164, BRALA05954
OG0000008	HUMAN14600	BRALA05759, BRALA05754, BRALA05767, BRALA05758, BRALA05753, BRALA05580, BRALA32014
OG0000008	HUMAN00243	BRALA20418
OG0000010	HUMAN11412, HUMAN11410, HUMAN11411, HUMAN11268	BRALA13736, BRALA14215, BRALA13464, BRALA24211, BRALA24209
OG0000010	HUMAN18382	BRALA24210, BRALA03886
OG0000010	HUMAN16109, HUMAN16111, HUMAN16121, HUMAN16110, HUMAN16122, HUMAN16101, HUMAN16115, HUMAN27128, HUMAN27130, HUMAN27129, HUMAN28616, HUMAN28615	BRALA23756, BRALA23757, BRALA23755, BRALA23754
OG0000011	HUMAN08916	BRALA26291
OG0000012	HUMAN21758, HUMAN26719, HUMAN26720	BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215
OG0000012	HUMAN11190	BRALA22947
OG0000012	HUMAN11191	BRALA20558, BRALA12213, BRALA23779, BRALA32735
OG0000013	HUMAN18418, HUMAN18417, HUMAN18416, HUMAN18419, HUMAN18410, HUMAN18413, HUMAN18411, HUMAN18412, HUMAN18415, HUMAN22469, HUMAN22470, HUMAN22464, HUMAN22463, HUMAN22465, HUMAN22466, HUMAN22467, HUMAN22462, HUMAN22468, HUMAN22460, HUMAN22461	BRALA32294, BRALA12236, BRALA30121, BRALA23251, BRALA30117, BRALA15745, BRALA16184, BRALA26074, BRALA19927, BRALA16969, BRALA20536, BRALA31575, BRALA04855, BRALA20488, BRALA16980, BRALA30511, BRALA16953, BRALA16964, BRALA28033, BRALA16970, BRALA23206, BRALA31240, BRALA23084, BRALA03245, BRALA05270, BRALA21240, BRALA11603, BRALA32226, BRALA32225, BRALA14863, BRALA11595, BRALA11594, BRALA14897, BRALA10656, BRALA10655, BRALA22697, BRALA13629, BRALA13628, BRALA10659, BRALA13631
OG0000014	HUMAN11875, HUMAN11876	BRALA21801, BRALA21800, BRALA21799, BRALA01526, BRALA01524, BRALA18301, BRALA01520, BRALA04327, BRALA00445, BRALA00446, BRALA17457, BRALA17456
OG0000014	HUMAN03416	BRALA05967, BRALA05963, BRALA16193, BRALA05964, BRALA05965, BRALA06004, BRALA12570, BRALA24203, BRALA14273, BRALA09954, BRALA14267, BRALA14269, BRALA14274, BRALA07196
OG0000014	HUMAN01394	BRALA14079
OG0000014	HUMAN25476, HUMAN30053	BRALA28626, BRALA28625, BRALA28624
OG0000014	HUMAN13227	BRALA09953, BRALA20835, BRALA21213, BRALA14270
OG0000015	HUMAN24211, HUMAN00090	BRALA21862, BRALA21864, BRALA21860, BRALA21861, BRALA07518, BRALA07541, BRALA18254, BRALA18253, BRALA26423, BRALA21859, BRALA21858
OG0000015	HUMAN24177, HUMAN22373, HUMAN09170	BRALA22448
OG0000015	HUMAN24184, HUMAN22368, HUMAN09174, HUMAN09175, HUMAN30469, HUMAN22369, HUMAN24183, HUMAN30472, HUMAN09173, HUMAN22372, HUMAN24180, HUMAN24179, HUMAN24178	BRALA22447
OG0000015	HUMAN29611, HUMAN30168, HUMAN23062, HUMAN24113	BRALA18748, BRALA15755, BRALA03405, BRALA12137, BRALA14251, BRALA11669, BRALA11671, BRALA11672, BRALA13048, BRALA14342, BRALA19701, BRALA22042, BRALA22048, BRALA22438
OG0000016	HUMAN26870	BRALA34743
OG0000016	HUMAN11007, HUMAN11006, HUMAN21858	BRALA00485
OG0000016	HUMAN10581, HUMAN10583, HUMAN12987	BRALA32113, BRALA10406
OG0000016	HUMAN07767	BRALA12120, BRALA09688
OG0000016	HUMAN25103	BRALA24127
OG0000016	HUMAN06120, HUMAN04223	BRALA22170
OG0000019	HUMAN06384	BRALA00002
OG0000019	HUMAN00033, HUMAN05851, HUMAN10700, HUMAN10699, HUMAN10698	BRALA16757, BRALA35055, BRALA10428
OG0000019	HUMAN27262, HUMAN06385, HUMAN06383, HUMAN12384, HUMAN12385, HUMAN18277	BRALA00404, BRALA00405
OG0000019	HUMAN22980	BRALA23253, BRALA16935, BRALA16938, BRALA16161, BRALA13485, BRALA13484, BRALA13482, BRALA33941, BRALA13483, BRALA08371, BRALA00611, BRALA01467, BRALA08352, BRALA01468, BRALA26666, BRALA08383, BRALA00610, BRALA13160
OG0000020	HUMAN26158	BRALA12010
OG0000020	HUMAN22329, HUMAN20815	BRALA28177, BRALA04365
OG0000020	HUMAN12659	BRALA09135
OG0000020	HUMAN26061	BRALA27241
OG0000020	HUMAN08344	BRALA28848
OG0000020	HUMAN00926	BRALA05608
OG0000020	HUMAN02350, HUMAN02349	BRALA18984
OG0000020	HUMAN16669	BRALA21902, BRALA16840
OG0000020	HUMAN00163	BRALA05743, BRALA25854, BRALA14414
OG0000020	HUMAN17840	BRALA16287
OG0000020	HUMAN05209, HUMAN21854	BRALA09492, BRALA12060, BRALA03276, BRALA03275, BRALA15785, BRALA31112, BRALA12011, BRALA22630, BRALA11869
OG0000020	HUMAN21853	BRALA14062
OG0000020	HUMAN02145	BRALA27392
OG0000020	HUMAN30100, HUMAN07717, HUMAN22328	BRALA11912
OG0000020	HUMAN22639	BRALA12599
OG0000020	HUMAN20816	BRALA10628
OG0000021	HUMAN20500	BRALA18963
OG0000021	HUMAN20539, HUMAN05765, HUMAN05766, HUMAN20499	BRALA18043
OG0000021	HUMAN11054, HUMAN23166	BRALA22428
OG0000021	HUMAN12331	BRALA30352
OG0000021	HUMAN04273	BRALA06012
OG0000021	HUMAN00882, HUMAN00880, HUMAN00881	BRALA20360, BRALA20164
OG0000021	HUMAN24068	BRALA20364, BRALA11803, BRALA20363, BRALA20361
OG0000023	HUMAN03767	BRALA34393, BRALA34449, BRALA33273
OG0000023	HUMAN05402	BRALA29325, BRALA12288
OG0000023	HUMAN19878, HUMAN19879	BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062
OG0000023	HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367	BRALA25437
OG0000023	HUMAN06585, HUMAN06584	BRALA29841, BRALA06984, BRALA06983
OG0000023	HUMAN11130	BRALA33103
OG0000026	HUMAN16545	BRALA11498
OG0000026	HUMAN07669, HUMAN21745	BRALA18399, BRALA07898, BRALA07900, BRALA07899, BRALA34641, BRALA22918
OG0000026	HUMAN26724, HUMAN26725	BRALA09041, BRALA20501, BRALA28179, BRALA02475, BRALA29792, BRALA23720, BRALA33266, BRALA32596, BRALA29794, BRALA27975, BRALA26635, BRALA07999, BRALA07996, BRALA27524, BRALA27525, BRALA11644, BRALA11643, BRALA01094, BRALA31858, BRALA29917, BRALA18251, BRALA01767, BRALA23099, BRALA26971, BRALA26970, BRALA13781
OG0000027	HUMAN16847	BRALA15148, BRALA12240, BRALA23216, BRALA17841, BRALA12241, BRALA12239, BRALA32630, BRALA08245, BRALA08233, BRALA23546, BRALA24920, BRALA12814, BRALA00447, BRALA25835, BRALA13009, BRALA00483, BRALA00450, BRALA09026, BRALA26977, BRALA09028, BRALA03738, BRALA18788, BRALA11602, BRALA32150
OG0000028	HUMAN03982	BRALA06262, BRALA06265, BRALA11957, BRALA28259, BRALA27261
OG0000028	HUMAN01776, HUMAN09895	BRALA08537, BRALA08538, BRALA08539, BRALA08540, BRALA08541, BRALA08543, BRALA08542
OG0000028	HUMAN09894, HUMAN27765, HUMAN27611, HUMAN19281	BRALA08547, BRALA15654
OG0000028	HUMAN27764, HUMAN17889	BRALA01199, BRALA17029, BRALA17030
OG0000028	HUMAN09193, HUMAN09206	BRALA08523
OG0000029	HUMAN24898, HUMAN21852	BRALA18593, BRALA15599, BRALA21105, BRALA06813, BRALA30989, BRALA00525, BRALA00526, BRALA00527, BRALA00523, BRALA00522, BRALA00528, BRALA09392, BRALA20510, BRALA08676
OG0000030	HUMAN23234, HUMAN23233, HUMAN23232	BRALA13442
OG0000031	HUMAN17850	BRALA04543
OG0000031	HUMAN06489, HUMAN17883, HUMAN26042	BRALA04547
OG0000031	HUMAN26043	BRALA04610
OG0000031	HUMAN09203	BRALA05046
OG0000031	HUMAN26979, HUMAN14235	BRALA16640
OG0000031	HUMAN21432	BRALA09408
OG0000031	HUMAN07725	BRALA28311
OG0000032	HUMAN27902	BRALA10240
OG0000032	HUMAN19258	BRALA11179, BRALA11177, BRALA09647
OG0000032	HUMAN23633, HUMAN23632	BRALA04146, BRALA04145, BRALA04144, BRALA00632, BRALA09098, BRALA21017, BRALA21018, BRALA21016, BRALA22581, BRALA14174
OG0000034	HUMAN10850, HUMAN11671, HUMAN07186, HUMAN11672, HUMAN11673	BRALA27570
OG0000034	HUMAN16090, HUMAN04116, HUMAN06217, HUMAN01449	BRALA08751
OG0000034	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933	BRALA08901, BRALA03079
OG0000034	HUMAN01831, HUMAN13891	BRALA17580
OG0000034	HUMAN04678	BRALA08885
OG0000034	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093	BRALA23966, BRALA06594
OG0000034	HUMAN04988	BRALA02412
OG0000035	HUMAN06576	BRALA21367, BRALA35402
OG0000035	HUMAN06191, HUMAN03898	BRALA13921
OG0000035	HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810	BRALA29588
OG0000035	HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844	BRALA13915, BRALA22877
OG0000035	HUMAN04383	BRALA13917
OG0000036	HUMAN08124, HUMAN11288	BRALA03126, BRALA19967
OG0000036	HUMAN11555	BRALA22400
OG0000036	HUMAN08152, HUMAN08151, HUMAN15233	BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181
OG0000036	HUMAN11289	BRALA35896
OG0000036	HUMAN22872	BRALA31321, BRALA06755, BRALA06753, BRALA18345
OG0000036	HUMAN27983, HUMAN15223	BRALA22402, BRALA22404
OG0000037	HUMAN25007, HUMAN25008, HUMAN25010, HUMAN25009, HUMAN25006, HUMAN02504, HUMAN08759, HUMAN04817	BRALA22282
OG0000037	HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443	BRALA22275
OG0000037	HUMAN19040, HUMAN28273, HUMAN16721	BRALA16015
OG0000037	HUMAN03689	BRALA16388
OG0000038	HUMAN18258	BRALA13194
OG0000038	HUMAN19701	BRALA18077
OG0000038	HUMAN18257	BRALA27417
OG0000039	HUMAN29023	BRALA01170, BRALA17648, BRALA19632, BRALA19635
OG0000039	HUMAN02446, HUMAN02447, HUMAN02449, HUMAN02450	BRALA31558
OG0000039	HUMAN13199	BRALA19542
OG0000040	HUMAN26641	BRALA14370, BRALA31974, BRALA33437, BRALA17918, BRALA12447, BRALA02395
OG0000040	HUMAN26646, HUMAN26642	BRALA35825, BRALA27751
OG0000040	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640	BRALA11729, BRALA05958, BRALA30125, BRALA25190, BRALA05957, BRALA05956, BRALA24498, BRALA28368, BRALA17917, BRALA31975, BRALA14369, BRALA25635, BRALA14529, BRALA07729, BRALA29177, BRALA06759, BRALA31556, BRALA17916, BRALA33438, BRALA30900, BRALA15606
OG0000041	HUMAN01400	BRALA35158
OG0000041	HUMAN19139, HUMAN27913, HUMAN16617, HUMAN16643, HUMAN28077, HUMAN19052	BRALA27215
OG0000042	HUMAN21251, HUMAN05520, HUMAN05519, HUMAN05521	BRALA27880, BRALA05311, BRALA25919, BRALA28670, BRALA19166, BRALA23184, BRALA28669, BRALA16191, BRALA25918, BRALA30415, BRALA29610, BRALA04826, BRALA22020, BRALA21500, BRALA22237, BRALA26652
OG0000044	HUMAN22107, HUMAN27712	BRALA16330, BRALA33207
OG0000044	HUMAN03043	BRALA27747
OG0000044	HUMAN24293	BRALA34838
OG0000045	HUMAN02932	BRALA29043, BRALA32667
OG0000045	HUMAN28768	BRALA19490, BRALA19482
OG0000046	HUMAN23116	BRALA28946
OG0000046	HUMAN29094	BRALA23725, BRALA23726, BRALA19361, BRALA20352, BRALA19394, BRALA23187, BRALA19360, BRALA17712, BRALA30574, BRALA17713, BRALA15856, BRALA28385, BRALA34030
OG0000048	HUMAN29550	BRALA08224
OG0000048	HUMAN16328	BRALA17809
OG0000048	HUMAN16644	BRALA10830
OG0000048	HUMAN11449	BRALA03524
OG0000049	HUMAN25699, HUMAN05316	BRALA08950, BRALA08951
OG0000049	HUMAN20965, HUMAN26499	BRALA15334
OG0000049	HUMAN24353, HUMAN24922, HUMAN24921, HUMAN26912, HUMAN20433	BRALA15336, BRALA15335
OG0000049	HUMAN26500	BRALA16919, BRALA35874, BRALA15337
OG0000051	HUMAN22678	BRALA17952
OG0000051	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201	BRALA22978, BRALA25416
OG0000053	HUMAN01064	BRALA16213, BRALA07330
OG0000054	HUMAN23119	BRALA02118
OG0000054	HUMAN00960, HUMAN00959, HUMAN00963, HUMAN00962, HUMAN00961, HUMAN00964	BRALA12332, BRALA22995, BRALA22164, BRALA21314, BRALA18426, BRALA25220, BRALA21960, BRALA06303, BRALA29468, BRALA09095, BRALA20505, BRALA23115, BRALA28620, BRALA24808, BRALA15699, BRALA01267, BRALA17804, BRALA17806, BRALA00882, BRALA05257
OG0000055	HUMAN02616	BRALA13087
OG0000056	HUMAN22445	BRALA00682
OG0000056	HUMAN07396, HUMAN07395	BRALA21309
OG0000057	HUMAN23569, HUMAN10014	BRALA05192, BRALA22206, BRALA11691, BRALA27516, BRALA21236
OG0000058	HUMAN14551	BRALA29633
OG0000058	HUMAN17378, HUMAN03592	BRALA24063
OG0000058	HUMAN23378	BRALA06324
OG0000058	HUMAN02623, HUMAN09237, HUMAN17157, HUMAN03406	BRALA25998, BRALA27305, BRALA06328, BRALA03972, BRALA06644, BRALA08742, BRALA24463, BRALA24460
OG0000058	HUMAN13532, HUMAN25949	BRALA11173, BRALA06327
OG0000059	HUMAN30238, HUMAN07577	BRALA13206
OG0000059	HUMAN21611	BRALA11568
OG0000059	HUMAN05382, HUMAN22839, HUMAN23845	BRALA19963, BRALA20366
OG0000060	HUMAN25284	BRALA01718
OG0000061	HUMAN17964, HUMAN26554	BRALA07400
OG0000061	HUMAN18142, HUMAN20809	BRALA23690, BRALA23691, BRALA23692, BRALA33700, BRALA14844
OG0000061	HUMAN13555, HUMAN15809, HUMAN25004, HUMAN12027, HUMAN17562, HUMAN17563, HUMAN20727, HUMAN26146, HUMAN26147, HUMAN26149, HUMAN27338, HUMAN27337	BRALA22663, BRALA26552, BRALA22659, BRALA26551, BRALA26563
OG0000061	HUMAN26138, HUMAN26137, HUMAN12821	BRALA09017, BRALA07401, BRALA14793, BRALA14792
OG0000062	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195	BRALA21141, BRALA30349, BRALA21142
OG0000062	HUMAN25285	BRALA31607
OG0000063	HUMAN00859, HUMAN28501	BRALA00957
OG0000063	HUMAN18628, HUMAN03783, HUMAN03782	BRALA04998, BRALA01208, BRALA05262, BRALA05245, BRALA05098, BRALA01012, BRALA05297
OG0000066	HUMAN29798	BRALA25733
OG0000067	HUMAN23532	BRALA20114, BRALA23146, BRALA20125, BRALA07853, BRALA09449
OG0000067	HUMAN24070, HUMAN22809	BRALA35634, BRALA09451
OG0000068	HUMAN26983	BRALA17338
OG0000068	HUMAN30510, HUMAN30509, HUMAN20837, HUMAN20380, HUMAN30511, HUMAN21486, HUMAN06933	BRALA17343
OG0000069	HUMAN01574	BRALA27564
OG0000069	HUMAN13360	BRALA06255
OG0000069	HUMAN02573	BRALA22501
OG0000069	HUMAN13361, HUMAN02574	BRALA11725
OG0000069	HUMAN01509, HUMAN24625, HUMAN24602, HUMAN24629, HUMAN24631, HUMAN24608, HUMAN24669, HUMAN24667, HUMAN02614, HUMAN24605, HUMAN24620, HUMAN24658	BRALA18787
OG0000069	HUMAN01571	BRALA33181
OG0000069	HUMAN01569	BRALA06393, BRALA06457, BRALA31410
OG0000070	HUMAN25671, HUMAN29634, HUMAN30393	BRALA19019, BRALA19027, BRALA19020
OG0000070	HUMAN14161	BRALA24904, BRALA14166, BRALA14168, BRALA14506, BRALA14507, BRALA14508, BRALA00869, BRALA13923, BRALA21904, BRALA31816, BRALA28174, BRALA29611, BRALA33117, BRALA16447, BRALA14504, BRALA14505, BRALA15434, BRALA07382, BRALA09112, BRALA15447, BRALA14512, BRALA07371, BRALA14167, BRALA10327, BRALA03588, BRALA09032, BRALA02167, BRALA22763, BRALA01254
OG0000071	HUMAN17352	BRALA05660
OG0000072	HUMAN22965, HUMAN22964, HUMAN04101	BRALA12631
OG0000072	HUMAN22852	BRALA33639, BRALA31916
OG0000073	HUMAN06831, HUMAN06836	BRALA22888
OG0000074	HUMAN09283	BRALA08058
OG0000075	HUMAN12839, HUMAN02593	BRALA11316
OG0000075	HUMAN06329	BRALA07062
OG0000075	HUMAN00444	BRALA18754
OG0000075	HUMAN05218	BRALA16174
OG0000075	HUMAN18234, HUMAN06328	BRALA11318
OG0000075	HUMAN01424, HUMAN01425, HUMAN26867	BRALA17353, BRALA17352
OG0000075	HUMAN05783, HUMAN21047	BRALA20309
OG0000075	HUMAN20335, HUMAN20336, HUMAN20532	BRALA25719
OG0000075	HUMAN26884	BRALA17324
OG0000077	HUMAN18656, HUMAN24161, HUMAN27605, HUMAN27606	BRALA11472
OG0000077	HUMAN21328, HUMAN05501	BRALA02324
OG0000077	HUMAN17351, HUMAN03646, HUMAN22147, HUMAN22146	BRALA30355, BRALA30354, BRALA30353, BRALA27919, BRALA16173, BRALA31380, BRALA32410, BRALA09728, BRALA00278, BRALA10708, BRALA22743, BRALA22531, BRALA27588, BRALA21944, BRALA21945
OG0000077	HUMAN25299, HUMAN00457, HUMAN21175, HUMAN25341, HUMAN23402	BRALA35746, BRALA06424
OG0000078	HUMAN16744	BRALA17098
OG0000078	HUMAN15000, HUMAN04284, HUMAN06996	BRALA02325, BRALA02320, BRALA02318, BRALA10234, BRALA02688, BRALA30889, BRALA02317, BRALA11328
OG0000079	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848	BRALA00097, BRALA00109
OG0000079	HUMAN22600, HUMAN22601, HUMAN24340	BRALA18105
OG0000079	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260	BRALA22809
OG0000079	HUMAN14208	BRALA13477
OG0000079	HUMAN14194, HUMAN14192	BRALA16237, BRALA25844, BRALA16235
OG0000081	HUMAN03680, HUMAN03679, HUMAN03681, HUMAN03678	BRALA18450, BRALA18449, BRALA18446, BRALA18452, BRALA05158, BRALA05161
OG0000081	HUMAN13949, HUMAN13947, HUMAN13948, HUMAN27508, HUMAN09549, HUMAN21908, HUMAN19354, HUMAN21352	BRALA05164, BRALA21995, BRALA12438, BRALA12435
OG0000081	HUMAN21909, HUMAN27509	BRALA35664
OG0000082	HUMAN29167	BRALA23665
OG0000082	HUMAN23869	BRALA23991
OG0000082	HUMAN23871	BRALA12024
OG0000083	HUMAN07535, HUMAN22993	BRALA11838, BRALA11834
OG0000084	HUMAN03696	BRALA16357
OG0000084	HUMAN22750, HUMAN17196, HUMAN03227	BRALA27744
OG0000085	HUMAN12866, HUMAN20608, HUMAN17788	BRALA10231
OG0000085	HUMAN13119, HUMAN07215	BRALA35021
OG0000085	HUMAN26172	BRALA20574
OG0000085	HUMAN30084, HUMAN01484, HUMAN25335, HUMAN25334	BRALA19315
OG0000085	HUMAN07214, HUMAN13120	BRALA25446
OG0000085	HUMAN25832	BRALA18829
OG0000087	HUMAN11957	BRALA14258
OG0000087	HUMAN21001	BRALA02414
OG0000087	HUMAN18010	BRALA11394
OG0000088	HUMAN03260, HUMAN04395, HUMAN21618, HUMAN29776, HUMAN11422, HUMAN11423, HUMAN11367	BRALA15338, BRALA01326, BRALA11261, BRALA04185, BRALA11262, BRALA11263, BRALA13073, BRALA15449, BRALA28619, BRALA23225, BRALA05764, BRALA00340, BRALA17728
OG0000089	HUMAN21235	BRALA30280, BRALA11321, BRALA01875, BRALA04469, BRALA29882, BRALA04174, BRALA10340, BRALA11376, BRALA20593
OG0000089	HUMAN29653, HUMAN25674	BRALA34209, BRALA08976, BRALA35711, BRALA10278, BRALA30045
OG0000090	HUMAN24709	BRALA02611
OG0000090	HUMAN28948	BRALA04706
OG0000093	HUMAN25814, HUMAN25815	BRALA25999, BRALA23972
OG0000093	HUMAN26490, HUMAN26491, HUMAN20914	BRALA01382, BRALA01380
OG0000094	HUMAN14813	BRALA34518
OG0000094	HUMAN02204, HUMAN29518, HUMAN14811	BRALA09222, BRALA24092
OG0000096	HUMAN30343, HUMAN07778, HUMAN21683	BRALA29898, BRALA29897
OG0000096	HUMAN06336, HUMAN27289	BRALA16859
OG0000096	HUMAN06142, HUMAN01455, HUMAN03867, HUMAN06143, HUMAN03866	BRALA08595, BRALA28945
OG0000096	HUMAN04201	BRALA02509
OG0000096	HUMAN21561	BRALA24883
OG0000097	HUMAN01224, HUMAN01225, HUMAN01226	BRALA14234
OG0000098	HUMAN15990, HUMAN03957, HUMAN18424, HUMAN19602	BRALA00433
OG0000098	HUMAN28791, HUMAN09489, HUMAN28772, HUMAN28773, HUMAN09201, HUMAN28771	BRALA09558
OG0000099	HUMAN22987, HUMAN30307, HUMAN05422, HUMAN24115	BRALA22450, BRALA22449
OG0000099	HUMAN05424	BRALA35493
OG0000099	HUMAN15639, HUMAN15638, HUMAN05635	BRALA15695, BRALA29540
OG0000099	HUMAN25408, HUMAN00740, HUMAN19390	BRALA29541
OG0000101	HUMAN11236, HUMAN11477, HUMAN11479, HUMAN11478	BRALA27830
OG0000101	HUMAN22036, HUMAN22037	BRALA35778, BRALA34308
