Orthogroup	HUMAN	LYTVA_ok
OG0000029	HUMAN24898, HUMAN21852	LYTVA_02569, LYTVA_10073
OG0000030	HUMAN23235, HUMAN23234, HUMAN23233, HUMAN23232	LYTVA_13667
OG0000030	HUMAN01740, HUMAN28679	LYTVA_26760
OG0000031	HUMAN17850	LYTVA_04157, LYTVA_03000
OG0000031	HUMAN06489, HUMAN17883, HUMAN26042	LYTVA_07242
OG0000031	HUMAN26043	LYTVA_07394
OG0000031	HUMAN26979, HUMAN14235	LYTVA_13645
OG0000031	HUMAN07725	LYTVA_05124
OG0000031	HUMAN14922, HUMAN14786	LYTVA_29658
OG0000031	HUMAN18122, HUMAN18121, HUMAN02818, HUMAN02819	LYTVA_09735
OG0000032	HUMAN06107, HUMAN06100, HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105, HUMAN21527, HUMAN05202, HUMAN10072	LYTVA_21601, LYTVA_15486, LYTVA_13671, LYTVA_08468, LYTVA_02734
OG0000032	HUMAN19258	LYTVA_00916, LYTVA_07790, LYTVA_22021, LYTVA_08868, LYTVA_21508, LYTVA_13715, LYTVA_12246, LYTVA_11875, LYTVA_02746
OG0000034	HUMAN11672, HUMAN11673	LYTVA_20191
OG0000034	HUMAN16090, HUMAN04116, HUMAN06217, HUMAN01449	LYTVA_09293
OG0000034	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933	LYTVA_04080
OG0000034	HUMAN01831, HUMAN13891	LYTVA_29167, LYTVA_10612
OG0000034	HUMAN04678	LYTVA_11788
OG0000034	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093	LYTVA_12673
OG0000034	HUMAN04988	LYTVA_06697
OG0000035	HUMAN06191, HUMAN03898	LYTVA_27828
OG0000035	HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810	LYTVA_22468
OG0000035	HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844	LYTVA_12116
OG0000035	HUMAN04383	LYTVA_04128
OG0000036	HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233	LYTVA_03325, LYTVA_20435, LYTVA_20437, LYTVA_25631, LYTVA_25629, LYTVA_25630, LYTVA_25628, LYTVA_10478, LYTVA_03947
OG0000036	HUMAN11289	LYTVA_14662, LYTVA_10525, LYTVA_29789, LYTVA_04431, LYTVA_20434
OG0000036	HUMAN27983, HUMAN15223	LYTVA_07532, LYTVA_03326, LYTVA_18880, LYTVA_25896
OG0000037	HUMAN19040, HUMAN28273, HUMAN16721	LYTVA_02747
OG0000037	HUMAN03689	LYTVA_25050, LYTVA_25057, LYTVA_25048
OG0000038	HUMAN02828	LYTVA_09822
OG0000038	HUMAN17661, HUMAN07446, HUMAN17632	LYTVA_09820, LYTVA_11687, LYTVA_19608, LYTVA_04587
OG0000038	HUMAN18259, HUMAN18258	LYTVA_00437
OG0000038	HUMAN19701	LYTVA_05063
OG0000038	HUMAN18257	LYTVA_09823
OG0000039	HUMAN29023	LYTVA_16233
OG0000040	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640	LYTVA_16039, LYTVA_16036, LYTVA_22091, LYTVA_29527, LYTVA_27351, LYTVA_03168, LYTVA_11912, LYTVA_06756, LYTVA_18912, LYTVA_12532, LYTVA_15738, LYTVA_27452, LYTVA_05580, LYTVA_25285
OG0000041	HUMAN15981, HUMAN01398, HUMAN05838, HUMAN01400, HUMAN01399, HUMAN05837, HUMAN01401, HUMAN05836, HUMAN04298	LYTVA_25852
OG0000041	HUMAN19139, HUMAN27913	LYTVA_03177
OG0000044	HUMAN22107, HUMAN27712, HUMAN24292, HUMAN22106, HUMAN27711, HUMAN03716, HUMAN03718, HUMAN03717	LYTVA_11853
OG0000044	HUMAN22417, HUMAN24391, HUMAN07519	LYTVA_10017
OG0000044	HUMAN07517	LYTVA_14074
OG0000046	HUMAN23116	LYTVA_22286
OG0000047	HUMAN22761	LYTVA_09701
OG0000048	HUMAN29550	LYTVA_06179
OG0000048	HUMAN16328	LYTVA_27999
OG0000048	HUMAN16644	LYTVA_08149
OG0000048	HUMAN11449	LYTVA_11620
OG0000049	HUMAN25699, HUMAN05316	LYTVA_16567
OG0000049	HUMAN20965, HUMAN26499	LYTVA_21152
OG0000049	HUMAN26500	LYTVA_02138
OG0000051	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201	LYTVA_02533, LYTVA_15636, LYTVA_24100, LYTVA_12428
OG0000054	HUMAN23119	LYTVA_11502, LYTVA_10035, LYTVA_09103
OG0000056	HUMAN22445, HUMAN01195, HUMAN14849, HUMAN14869, HUMAN14864, HUMAN14480, HUMAN01194	LYTVA_03272
OG0000056	HUMAN07396, HUMAN07395	LYTVA_17286
OG0000056	HUMAN14865	LYTVA_00266, LYTVA_13357
OG0000057	HUMAN23569, HUMAN10014	LYTVA_05797, LYTVA_22815
OG0000058	HUMAN23378	LYTVA_14430
OG0000058	HUMAN02623, HUMAN09237, HUMAN17157, HUMAN03406	LYTVA_16698
OG0000059	HUMAN21611	LYTVA_18957
OG0000059	HUMAN05382, HUMAN22839, HUMAN23845	LYTVA_06967, LYTVA_19211, LYTVA_17534
OG0000060	HUMAN25284	LYTVA_30158, LYTVA_18098
OG0000060	HUMAN16007, HUMAN16006, HUMAN04276, HUMAN06988	LYTVA_10196
OG0000061	HUMAN17964, HUMAN26554	LYTVA_16102
OG0000061	HUMAN18142, HUMAN20809, HUMAN13555, HUMAN15809, HUMAN25004, HUMAN12027, HUMAN17562, HUMAN17563, HUMAN20727, HUMAN26146, HUMAN26147, HUMAN26149, HUMAN27338, HUMAN27337	LYTVA_20900
OG0000061	HUMAN26139	LYTVA_09585, LYTVA_28339
OG0000061	HUMAN26138, HUMAN26137, HUMAN12821	LYTVA_02993, LYTVA_26455, LYTVA_26459
OG0000062	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195	LYTVA_15332, LYTVA_27501, LYTVA_24383, LYTVA_01528, LYTVA_05092
OG0000062	HUMAN25285	LYTVA_18550
OG0000063	HUMAN14398, HUMAN28499, HUMAN00858	LYTVA_03474
OG0000063	HUMAN21099	LYTVA_28622
OG0000063	HUMAN18628, HUMAN03783, HUMAN03782	LYTVA_16178
OG0000066	HUMAN29798	LYTVA_14724
OG0000067	HUMAN24070, HUMAN22809	LYTVA_07502, LYTVA_25538, LYTVA_09112, LYTVA_09554, LYTVA_15190, LYTVA_26045
OG0000068	HUMAN20381	LYTVA_07218, LYTVA_11696, LYTVA_13367, LYTVA_16452, LYTVA_16451, LYTVA_16446, LYTVA_11505, LYTVA_21833, LYTVA_15019, LYTVA_02519, LYTVA_23071, LYTVA_16450
OG0000069	HUMAN13361, HUMAN02574	LYTVA_19096
OG0000069	HUMAN01509, HUMAN24625, HUMAN24602, HUMAN24629, HUMAN24631, HUMAN24608, HUMAN24669, HUMAN24667, HUMAN02614, HUMAN24605, HUMAN24620, HUMAN24658	LYTVA_07535, LYTVA_16092, LYTVA_19233, LYTVA_24451, LYTVA_10412, LYTVA_00397, LYTVA_12821
OG0000070	HUMAN25671, HUMAN29634, HUMAN30393	LYTVA_12849
OG0000070	HUMAN14161	LYTVA_15079, LYTVA_12105, LYTVA_23845, LYTVA_23846, LYTVA_20695, LYTVA_28943, LYTVA_15085, LYTVA_24840, LYTVA_07974, LYTVA_17344, LYTVA_15317
OG0000072	HUMAN22965, HUMAN22964, HUMAN04101	LYTVA_26888
OG0000072	HUMAN22852	LYTVA_23422
OG0000072	HUMAN03255, HUMAN03252	LYTVA_09419
OG0000073	HUMAN19028, HUMAN27930, HUMAN11516, HUMAN27929, HUMAN06831, HUMAN06836	LYTVA_03728
OG0000074	HUMAN07045, HUMAN07044, HUMAN21437	LYTVA_27116, LYTVA_29211, LYTVA_07270, LYTVA_29253, LYTVA_09687
OG0000074	HUMAN09283	LYTVA_24139
OG0000074	HUMAN15238, HUMAN13822	LYTVA_23288, LYTVA_24012, LYTVA_15630, LYTVA_11187, LYTVA_06007, LYTVA_06008, LYTVA_06009, LYTVA_06154
OG0000075	HUMAN12839, HUMAN02593	LYTVA_00904
OG0000075	HUMAN18233	LYTVA_07044
OG0000075	HUMAN06329	LYTVA_01857
OG0000075	HUMAN20335, HUMAN20336, HUMAN20532	LYTVA_12523
OG0000077	HUMAN18656, HUMAN24161, HUMAN27605, HUMAN27606	LYTVA_24286
OG0000077	HUMAN17351, HUMAN03646, HUMAN22147, HUMAN22146	LYTVA_08553
OG0000078	HUMAN15000, HUMAN04284, HUMAN06996	LYTVA_29043, LYTVA_19852, LYTVA_29449, LYTVA_29039, LYTVA_11835, LYTVA_17100, LYTVA_30099, LYTVA_09049, LYTVA_20648
OG0000079	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848	LYTVA_19637, LYTVA_24538, LYTVA_21250
OG0000079	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260	LYTVA_05934
OG0000079	HUMAN14208, HUMAN14194, HUMAN14192	LYTVA_06214, LYTVA_17750
OG0000081	HUMAN03680, HUMAN03679, HUMAN03681, HUMAN03678	LYTVA_25424
OG0000082	HUMAN29167	LYTVA_25888
OG0000082	HUMAN23869	LYTVA_18803
OG0000083	HUMAN07535, HUMAN22993	LYTVA_26815
OG0000084	HUMAN03696, HUMAN22975	LYTVA_14799
OG0000085	HUMAN12866, HUMAN20608, HUMAN17788	LYTVA_19136
OG0000085	HUMAN13119, HUMAN07215	LYTVA_13307
OG0000085	HUMAN26172	LYTVA_05365
OG0000085	HUMAN19734, HUMAN19733, HUMAN05027	LYTVA_17776
OG0000085	HUMAN25832	LYTVA_06708
OG0000087	HUMAN11956	LYTVA_15159
OG0000087	HUMAN02557	LYTVA_06727
OG0000087	HUMAN17213	LYTVA_24079
OG0000087	HUMAN21001	LYTVA_22406
OG0000087	HUMAN18010	LYTVA_22963
OG0000087	HUMAN21063	LYTVA_04512
OG0000087	HUMAN10659	LYTVA_18728
OG0000088	HUMAN03260, HUMAN04395, HUMAN21618, HUMAN29776, HUMAN11422, HUMAN11423, HUMAN11367	LYTVA_25176, LYTVA_22082, LYTVA_14006, LYTVA_21232, LYTVA_01236, LYTVA_20639, LYTVA_10043, LYTVA_19532, LYTVA_01363, LYTVA_15031, LYTVA_01366, LYTVA_27296, LYTVA_08261, LYTVA_00566, LYTVA_29559, LYTVA_14054, LYTVA_14936, LYTVA_12867, LYTVA_29601, LYTVA_12865, LYTVA_28455
OG0000089	HUMAN21235	LYTVA_19844
OG0000089	HUMAN29653, HUMAN25674	LYTVA_06777, LYTVA_25975
OG0000089	HUMAN25675	LYTVA_12984, LYTVA_16551, LYTVA_28799, LYTVA_00948
OG0000090	HUMAN24709	LYTVA_02577
OG0000090	HUMAN28948	LYTVA_18395, LYTVA_13128
OG0000093	HUMAN25814, HUMAN25815, HUMAN26490, HUMAN26491, HUMAN20914	LYTVA_29075, LYTVA_25106, LYTVA_28477, LYTVA_25104
OG0000094	HUMAN05793, HUMAN05794, HUMAN21039, HUMAN14813, HUMAN21040, HUMAN29866	LYTVA_10290
OG0000094	HUMAN02204, HUMAN29518, HUMAN14811	LYTVA_09221
OG0000096	HUMAN30343, HUMAN07778, HUMAN21683	LYTVA_28490
OG0000096	HUMAN01418, HUMAN23507, HUMAN06774	LYTVA_12286
OG0000096	HUMAN27289	LYTVA_21388
OG0000096	HUMAN13889, HUMAN01832	LYTVA_10606
OG0000096	HUMAN06142, HUMAN01455, HUMAN03867, HUMAN06143, HUMAN03866	LYTVA_19397
OG0000096	HUMAN04200, HUMAN04201, HUMAN16028	LYTVA_24298
OG0000096	HUMAN21561	LYTVA_20858
OG0000098	HUMAN15990, HUMAN03957, HUMAN18424, HUMAN19602	LYTVA_15643
OG0000098	HUMAN28791, HUMAN09489, HUMAN28772, HUMAN28773, HUMAN09201, HUMAN28771	LYTVA_24589, LYTVA_16909
OG0000099	HUMAN05424	LYTVA_22524, LYTVA_05673, LYTVA_26003
OG0000099	HUMAN15639, HUMAN15638, HUMAN05635, HUMAN25408, HUMAN00740, HUMAN19390	LYTVA_09301, LYTVA_14363, LYTVA_14362
OG0000101	HUMAN11236, HUMAN11477, HUMAN11479, HUMAN11478	LYTVA_13163
OG0000101	HUMAN22036, HUMAN22037	LYTVA_03793
OG0000101	HUMAN06575, HUMAN06643, HUMAN06644, HUMAN06642, HUMAN17830	LYTVA_25292, LYTVA_25291
OG0000102	HUMAN08946, HUMAN02473	LYTVA_23145
OG0000103	HUMAN12034, HUMAN12033, HUMAN12032, HUMAN12035, HUMAN12031, HUMAN12036, HUMAN08164, HUMAN08165, HUMAN21265, HUMAN18888	LYTVA_05784
OG0000103	HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080	LYTVA_08412
OG0000104	HUMAN05724, HUMAN19523	LYTVA_24486
OG0000104	HUMAN26011, HUMAN26009, HUMAN26010, HUMAN21916, HUMAN21915, HUMAN12742	LYTVA_21210
OG0000104	HUMAN05721, HUMAN19524, HUMAN05723, HUMAN05722	LYTVA_17806
OG0000104	HUMAN19373	LYTVA_12502
OG0000104	HUMAN02405, HUMAN02404, HUMAN06960, HUMAN29799	LYTVA_12996
OG0000106	HUMAN27844	LYTVA_01037
OG0000106	HUMAN01589, HUMAN09602	LYTVA_12933, LYTVA_15504, LYTVA_30171, LYTVA_06537, LYTVA_25256
OG0000107	HUMAN24628	LYTVA_12329
OG0000107	HUMAN24661	LYTVA_02473, LYTVA_17709, LYTVA_19232, LYTVA_06216, LYTVA_16091, LYTVA_24448
OG0000113	HUMAN00919	LYTVA_11625
OG0000113	HUMAN26991	LYTVA_06725
OG0000114	HUMAN22220, HUMAN22219, HUMAN00197, HUMAN00198, HUMAN00199	LYTVA_18980, LYTVA_05208, LYTVA_13458
OG0000115	HUMAN11469, HUMAN11468	LYTVA_15799, LYTVA_02089
OG0000116	HUMAN18678	LYTVA_00275, LYTVA_00276, LYTVA_12381
OG0000119	HUMAN17875, HUMAN06568, HUMAN12949	LYTVA_11474
OG0000119	HUMAN17960, HUMAN06534, HUMAN02909, HUMAN12779	LYTVA_08592, LYTVA_07119, LYTVA_19356
OG0000119	HUMAN17940, HUMAN20669	LYTVA_04285, LYTVA_11467
OG0000121	HUMAN23092, HUMAN03659	LYTVA_23606, LYTVA_10086
OG0000121	HUMAN18067	LYTVA_03587
OG0000122	HUMAN12772, HUMAN27264, HUMAN18288	LYTVA_10750
OG0000122	HUMAN17166, HUMAN22503, HUMAN22502, HUMAN23904, HUMAN17167, HUMAN20607, HUMAN17789, HUMAN06426, HUMAN06427	LYTVA_18458
OG0000123	HUMAN22221, HUMAN24254	LYTVA_03404
OG0000123	HUMAN03664, HUMAN27696, HUMAN24043	LYTVA_12956
OG0000123	HUMAN24256	LYTVA_28852, LYTVA_16769
OG0000124	HUMAN03991	LYTVA_14993
OG0000124	HUMAN00442, HUMAN00443	LYTVA_27850
OG0000124	HUMAN08498, HUMAN16926	LYTVA_05622
OG0000124	HUMAN09305, HUMAN02618	LYTVA_20699
OG0000125	HUMAN20601, HUMAN20600, HUMAN12568, HUMAN12567, HUMAN12566, HUMAN06479, HUMAN06480	LYTVA_16406
OG0000125	HUMAN20598, HUMAN20599, HUMAN12556	LYTVA_25487
OG0000125	HUMAN04438, HUMAN04439, HUMAN16073	LYTVA_01832
OG0000126	HUMAN07866, HUMAN30407, HUMAN21845	LYTVA_19767
OG0000126	HUMAN07493, HUMAN22359	LYTVA_03902
OG0000126	HUMAN14005, HUMAN14232, HUMAN14231, HUMAN01769, HUMAN01768, HUMAN09480	LYTVA_29180
OG0000127	HUMAN07859, HUMAN30409, HUMAN21844	LYTVA_27169
OG0000127	HUMAN21549, HUMAN07766	LYTVA_12856
OG0000127	HUMAN24572, HUMAN16589, HUMAN18562	LYTVA_21563
OG0000127	HUMAN27422, HUMAN19318	LYTVA_12830
OG0000127	HUMAN10225, HUMAN20144, HUMAN20145, HUMAN13245	LYTVA_20093
OG0000128	HUMAN04854, HUMAN04855	LYTVA_01369, LYTVA_05348, LYTVA_25678
OG0000128	HUMAN04482, HUMAN05330, HUMAN05329	LYTVA_25569, LYTVA_25568
OG0000128	HUMAN21997	LYTVA_25168
OG0000129	HUMAN02545, HUMAN04877, HUMAN25129, HUMAN02543, HUMAN15464, HUMAN02634, HUMAN09344	LYTVA_24420, LYTVA_06816
OG0000129	HUMAN05233, HUMAN30228	LYTVA_27162
OG0000130	HUMAN22786	LYTVA_19257
OG0000130	HUMAN25167	LYTVA_15064
OG0000130	HUMAN26940, HUMAN21484	LYTVA_05651
OG0000130	HUMAN03377	LYTVA_15765, LYTVA_27521
OG0000131	HUMAN19899	LYTVA_24487, LYTVA_12418, LYTVA_04259, LYTVA_21090
OG0000132	HUMAN24615, HUMAN24626, HUMAN24666, HUMAN24609, HUMAN24612, HUMAN24601	LYTVA_12161, LYTVA_21000, LYTVA_22030, LYTVA_12450, LYTVA_13402
OG0000137	HUMAN28180, HUMAN25590, HUMAN25594	LYTVA_14649
OG0000137	HUMAN13481	LYTVA_14169, LYTVA_05475
OG0000137	HUMAN25150, HUMAN25149	LYTVA_25469, LYTVA_15627
OG0000140	HUMAN27223	LYTVA_30020
OG0000140	HUMAN05841	LYTVA_19546
OG0000140	HUMAN03909	LYTVA_07124, LYTVA_07121
OG0000141	HUMAN27964, HUMAN30567	LYTVA_04353, LYTVA_16633, LYTVA_23463, LYTVA_05955, LYTVA_05956, LYTVA_05957, LYTVA_05958, LYTVA_17141, LYTVA_11297, LYTVA_29166, LYTVA_09438, LYTVA_09439, LYTVA_25402
OG0000142	HUMAN29488, HUMAN14465, HUMAN24745	LYTVA_01494
OG0000147	HUMAN18499, HUMAN00218	LYTVA_06334
OG0000147	HUMAN24559, HUMAN27635	LYTVA_24464
OG0000147	HUMAN02299	LYTVA_06610, LYTVA_07302
OG0000147	HUMAN18714, HUMAN18712	LYTVA_18928
OG0000148	HUMAN30520, HUMAN20407, HUMAN26826, HUMAN02390, HUMAN02389	LYTVA_19008
OG0000149	HUMAN23614, HUMAN23616, HUMAN23619	LYTVA_27288
OG0000149	HUMAN10034, HUMAN23690	LYTVA_06518, LYTVA_19439, LYTVA_27853, LYTVA_06524, LYTVA_14878, LYTVA_23613, LYTVA_03219, LYTVA_27903, LYTVA_15256, LYTVA_09082
OG0000149	HUMAN22790	LYTVA_24788
OG0000151	HUMAN14595, HUMAN29381, HUMAN29382, HUMAN24889, HUMAN01320	LYTVA_06631
OG0000151	HUMAN29073, HUMAN01218, HUMAN01219	LYTVA_13428, LYTVA_13427
OG0000155	HUMAN28367, HUMAN28368, HUMAN25231, HUMAN00772, HUMAN25229, HUMAN28369	LYTVA_12158
OG0000155	HUMAN25228, HUMAN25227, HUMAN25225, HUMAN00773, HUMAN00771	LYTVA_22929
OG0000158	HUMAN19321, HUMAN25759, HUMAN27804	LYTVA_03807
OG0000159	HUMAN25418	LYTVA_25766
OG0000159	HUMAN29307	LYTVA_12728
OG0000159	HUMAN04389, HUMAN23217, HUMAN11668	LYTVA_16500, LYTVA_10738, LYTVA_17708, LYTVA_06313, LYTVA_13868, LYTVA_10736
OG0000160	HUMAN19901, HUMAN19900, HUMAN19910, HUMAN19911, HUMAN18777, HUMAN19703, HUMAN19833, HUMAN19781	LYTVA_11099
OG0000163	HUMAN20181, HUMAN13484	LYTVA_26726
OG0000163	HUMAN12888, HUMAN06524, HUMAN26092	LYTVA_16156
