Orthogroup	HUMAN	CAEEL
OG0000019	HUMAN06384	CAEEL15403
OG0000019	HUMAN00033, HUMAN05851, HUMAN10700, HUMAN10699, HUMAN10698	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513
OG0000020	HUMAN22329, HUMAN20815	CAEEL07399
OG0000020	HUMAN02145	CAEEL00627
OG0000020	HUMAN00010, HUMAN23847, HUMAN23024	CAEEL05927
OG0000020	HUMAN22639	CAEEL13362
OG0000020	HUMAN20816	CAEEL09273
OG0000021	HUMAN20500	CAEEL15603
OG0000021	HUMAN12331	CAEEL00422
OG0000021	HUMAN04273, HUMAN30251	CAEEL00784, CAEEL15377
OG0000023	HUMAN04007, HUMAN05393, HUMAN05394, HUMAN05401, HUMAN05399, HUMAN05395, HUMAN05400, HUMAN05396, HUMAN05404, HUMAN11050, HUMAN19103, HUMAN05403	CAEEL13426
OG0000023	HUMAN11130	CAEEL06641
OG0000027	HUMAN16847	CAEEL17825
OG0000028	HUMAN01776, HUMAN09895, HUMAN09894, HUMAN27765, HUMAN27611, HUMAN19281, HUMAN27764, HUMAN17889	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656
OG0000028	HUMAN09193, HUMAN09206	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517
OG0000029	HUMAN15611	CAEEL20320
OG0000029	HUMAN07316, HUMAN05232, HUMAN14995, HUMAN11203, HUMAN18356, HUMAN17029	CAEEL20612
OG0000030	HUMAN01740, HUMAN28679	CAEEL00681, CAEEL00682, CAEEL00680
OG0000031	HUMAN29956	CAEEL17953
OG0000031	HUMAN17850, HUMAN06489, HUMAN17883, HUMAN26042, HUMAN12874	CAEEL02023
OG0000031	HUMAN09203	CAEEL04718
OG0000031	HUMAN07725	CAEEL07076
OG0000032	HUMAN06107, HUMAN06100, HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105, HUMAN21527, HUMAN05202, HUMAN10072	CAEEL19615
OG0000032	HUMAN19258, HUMAN23633, HUMAN23632	CAEEL08739, CAEEL18742, CAEEL18342
OG0000034	HUMAN07187	CAEEL20539
OG0000034	HUMAN10850, HUMAN11671, HUMAN07186, HUMAN11672, HUMAN11673	CAEEL07900
OG0000034	HUMAN16090, HUMAN04116, HUMAN06217, HUMAN01449	CAEEL13037
OG0000034	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034
OG0000034	HUMAN01831, HUMAN13891	CAEEL01132
OG0000034	HUMAN04678	CAEEL03140, CAEEL03141
OG0000035	HUMAN06576	CAEEL01943
OG0000035	HUMAN06190	CAEEL04743, CAEEL01696, CAEEL19995, CAEEL19624
OG0000036	HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233	CAEEL18405, CAEEL11240, CAEEL15057
OG0000036	HUMAN27983, HUMAN15223	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948
OG0000037	HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443	CAEEL17629, CAEEL17628
OG0000037	HUMAN19040, HUMAN28273, HUMAN16721	CAEEL03654, CAEEL20275
OG0000037	HUMAN03689	CAEEL09012, CAEEL08645
OG0000038	HUMAN02828	CAEEL01554
OG0000038	HUMAN18257	CAEEL07106
OG0000039	HUMAN13199	CAEEL18993
OG0000041	HUMAN01392	CAEEL16024, CAEEL05122, CAEEL05121
OG0000041	HUMAN16072, HUMAN04227, HUMAN06826, HUMAN01391	CAEEL19747
OG0000041	HUMAN15981, HUMAN01398, HUMAN05838, HUMAN01400, HUMAN01399, HUMAN05837, HUMAN01401, HUMAN05836, HUMAN04298	CAEEL05494
OG0000041	HUMAN16617, HUMAN16643, HUMAN28077, HUMAN19052	CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427
OG0000044	HUMAN24293	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097
OG0000047	HUMAN22761	CAEEL17846
OG0000049	HUMAN25699, HUMAN05316	CAEEL02028
OG0000049	HUMAN20965, HUMAN26499	CAEEL19631
OG0000049	HUMAN24353, HUMAN24922, HUMAN24921, HUMAN26912, HUMAN20433	CAEEL10349
OG0000051	HUMAN22678	CAEEL19606
OG0000051	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201	CAEEL09464
OG0000054	HUMAN23119	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176
OG0000055	HUMAN24594, HUMAN02616, HUMAN24656, HUMAN24660, HUMAN24663, HUMAN24607, HUMAN24616, HUMAN24621, HUMAN24623, HUMAN24613, HUMAN24632, HUMAN24617, HUMAN01576, HUMAN24671, HUMAN24630, HUMAN01568, HUMAN24645, HUMAN24649, HUMAN19580	CAEEL06327, CAEEL06332, CAEEL10935, CAEEL10929, CAEEL06323, CAEEL14939, CAEEL14938, CAEEL16893, CAEEL14854, CAEEL14953, CAEEL14952, CAEEL15123, CAEEL11701, CAEEL11692, CAEEL11711, CAEEL10738
OG0000056	HUMAN22445, HUMAN01195, HUMAN14849, HUMAN14869, HUMAN14864, HUMAN14480, HUMAN01194	CAEEL05273
OG0000058	HUMAN17378, HUMAN03592	CAEEL06550
OG0000058	HUMAN02623, HUMAN09237, HUMAN17157, HUMAN03406	CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541
OG0000060	HUMAN24595, HUMAN24596, HUMAN24599, HUMAN24598, HUMAN24597	CAEEL10777, CAEEL19591, CAEEL14860, CAEEL00284, CAEEL15063
OG0000061	HUMAN17964, HUMAN26554	CAEEL08422
OG0000062	HUMAN25285	CAEEL02955
OG0000063	HUMAN14398, HUMAN28499, HUMAN00858	CAEEL05773
OG0000063	HUMAN18628, HUMAN03783, HUMAN03782	CAEEL04400
OG0000065	HUMAN29458, HUMAN05357, HUMAN25383, HUMAN14424, HUMAN14423, HUMAN14422	CAEEL04467, CAEEL04169, CAEEL03695, CAEEL04171, CAEEL05243
OG0000066	HUMAN29798	CAEEL20109
OG0000068	HUMAN30510, HUMAN30509, HUMAN20837, HUMAN20380, HUMAN30511, HUMAN21486, HUMAN06933	CAEEL09504
OG0000068	HUMAN20381	CAEEL06439
OG0000069	HUMAN01509, HUMAN24625, HUMAN24602, HUMAN24629, HUMAN24631, HUMAN24608, HUMAN24669, HUMAN24667, HUMAN02614, HUMAN24605, HUMAN24620, HUMAN24658	CAEEL06325, CAEEL10740, CAEEL11694, CAEEL10933, CAEEL14936, CAEEL19176, CAEEL14950, CAEEL14856, CAEEL16895, CAEEL14955, CAEEL11715, CAEEL06329, CAEEL06330, CAEEL06334, CAEEL11699
OG0000070	HUMAN20129, HUMAN13391, HUMAN14097	CAEEL06499
OG0000072	HUMAN24108, HUMAN23125, HUMAN05334	CAEEL07368
OG0000073	HUMAN24982	CAEEL07620
OG0000075	HUMAN00444	CAEEL03008
OG0000075	HUMAN05783, HUMAN21047	CAEEL11367
OG0000075	HUMAN20335, HUMAN20336, HUMAN20532, HUMAN26884	CAEEL11291
OG0000077	HUMAN18656, HUMAN24161, HUMAN27605, HUMAN27606	CAEEL01559
OG0000077	HUMAN17351, HUMAN03646, HUMAN22147, HUMAN22146	CAEEL18883
OG0000077	HUMAN25299, HUMAN00457, HUMAN21175, HUMAN25341, HUMAN23402	CAEEL06904
OG0000079	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848	CAEEL18822
OG0000079	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260, HUMAN13037	CAEEL07248
OG0000082	HUMAN29167	CAEEL18954, CAEEL04897
OG0000082	HUMAN23869	CAEEL13927
OG0000082	HUMAN24823, HUMAN24822, HUMAN24821, HUMAN02032, HUMAN08513, HUMAN05645	CAEEL12687
OG0000084	HUMAN03696, HUMAN22975	CAEEL10610, CAEEL18185
OG0000084	HUMAN22750, HUMAN17196, HUMAN03227	CAEEL08514, CAEEL10452
OG0000085	HUMAN12866, HUMAN20608, HUMAN17788	CAEEL06909
OG0000085	HUMAN13119, HUMAN07215	CAEEL07542
OG0000085	HUMAN26172	CAEEL03085
OG0000085	HUMAN19734, HUMAN19733, HUMAN05027	CAEEL08077
OG0000090	HUMAN24709	CAEEL18451
OG0000090	HUMAN28948	CAEEL10114
OG0000094	HUMAN02308, HUMAN05793, HUMAN05794, HUMAN21039, HUMAN14813, HUMAN21040, HUMAN29866	CAEEL10719
OG0000094	HUMAN02204, HUMAN29518, HUMAN14811, HUMAN14814, HUMAN29867, HUMAN14812	CAEEL18425
OG0000095	HUMAN26970, HUMAN26969, HUMAN26968, HUMAN26971, HUMAN26972, HUMAN27896, HUMAN27895, HUMAN07634, HUMAN21634, HUMAN21633, HUMAN18120	CAEEL03536
OG0000096	HUMAN30343, HUMAN07778, HUMAN21683	CAEEL16555
OG0000096	HUMAN01418, HUMAN23507, HUMAN06774	CAEEL11088
OG0000096	HUMAN06337, HUMAN06336, HUMAN27289	CAEEL08533
OG0000096	HUMAN06142, HUMAN01455, HUMAN03867, HUMAN06143, HUMAN03866	CAEEL11776
OG0000096	HUMAN04200, HUMAN04201, HUMAN16028	CAEEL06051
OG0000096	HUMAN21561	CAEEL07422
OG0000098	HUMAN28791, HUMAN09489, HUMAN28772, HUMAN28773, HUMAN09201, HUMAN28771	CAEEL11671, CAEEL01601, CAEEL11678
OG0000099	HUMAN22987, HUMAN30307, HUMAN05422, HUMAN24115, HUMAN05424	CAEEL07999, CAEEL08340
OG0000099	HUMAN15639, HUMAN15638, HUMAN05635, HUMAN25408, HUMAN00740, HUMAN19390	CAEEL05000, CAEEL01295
OG0000101	HUMAN06575, HUMAN06643, HUMAN06644, HUMAN06642, HUMAN17830	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201
OG0000103	HUMAN12034, HUMAN12033, HUMAN12032, HUMAN12035, HUMAN12031, HUMAN12036, HUMAN08164, HUMAN08165, HUMAN21265, HUMAN18888	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258
OG0000103	HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080	CAEEL01469, CAEEL18445
OG0000104	HUMAN05724, HUMAN19523	CAEEL04070
OG0000104	HUMAN26011, HUMAN26009, HUMAN26010, HUMAN21916, HUMAN21915, HUMAN12742, HUMAN05721, HUMAN19524, HUMAN05723, HUMAN05722, HUMAN19373, HUMAN02405, HUMAN02404, HUMAN06960, HUMAN29799, HUMAN18236	CAEEL18800
OG0000106	HUMAN01590	CAEEL00505
OG0000106	HUMAN13103, HUMAN13104, HUMAN13105, HUMAN01589, HUMAN09602	CAEEL19130, CAEEL20701
OG0000107	HUMAN24661	CAEEL06331, CAEEL14935, CAEEL14956, CAEEL11700, CAEEL06324, CAEEL11716, CAEEL01947, CAEEL10932, CAEEL15125, CAEEL06328, CAEEL14949, CAEEL14857, CAEEL16896, CAEEL10739, CAEEL11693, CAEEL19175
OG0000111	HUMAN10226, HUMAN20105, HUMAN13252, HUMAN08327, HUMAN18760, HUMAN30250, HUMAN19322, HUMAN27802, HUMAN27801, HUMAN00609, HUMAN25761, HUMAN25760, HUMAN27800, HUMAN19324	CAEEL20845
OG0000113	HUMAN00919, HUMAN02822, HUMAN02821, HUMAN02823, HUMAN02825, HUMAN02826, HUMAN27021, HUMAN02820, HUMAN26992, HUMAN26993, HUMAN26990	CAEEL06358, CAEEL06359, CAEEL06360
OG0000114	HUMAN22220, HUMAN22219, HUMAN00197, HUMAN00198, HUMAN00199	CAEEL18136
OG0000116	HUMAN18678	CAEEL14875
OG0000119	HUMAN17875, HUMAN06568, HUMAN12949	CAEEL08480
OG0000119	HUMAN17960, HUMAN06534, HUMAN02909, HUMAN12779	CAEEL08396
OG0000120	HUMAN19084	CAEEL15157
OG0000121	HUMAN14877	CAEEL06288, CAEEL12116
OG0000122	HUMAN17166, HUMAN22503, HUMAN22502, HUMAN23904, HUMAN17167, HUMAN20607, HUMAN17789, HUMAN06426, HUMAN06427	CAEEL01544
OG0000124	HUMAN03991	CAEEL19897
OG0000124	HUMAN00442, HUMAN00443	CAEEL04963
OG0000124	HUMAN09305, HUMAN02618	CAEEL15384, CAEEL15382
OG0000126	HUMAN22375, HUMAN24176, HUMAN09168	CAEEL08841, CAEEL04611
OG0000126	HUMAN07493, HUMAN22359	CAEEL09101
OG0000126	HUMAN14005, HUMAN14232, HUMAN14231, HUMAN01769, HUMAN01768, HUMAN09480	CAEEL10194
OG0000127	HUMAN07859, HUMAN30409, HUMAN21844	CAEEL19207
OG0000127	HUMAN21549, HUMAN07766	CAEEL20452
OG0000127	HUMAN24572, HUMAN16589, HUMAN18562	CAEEL00838
OG0000128	HUMAN04854, HUMAN04855, HUMAN04482, HUMAN05330, HUMAN05329	CAEEL18038, CAEEL19894, CAEEL19895
OG0000129	HUMAN02545, HUMAN04877, HUMAN25129, HUMAN02543, HUMAN15464, HUMAN02634, HUMAN09344	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187
OG0000129	HUMAN05233, HUMAN30228	CAEEL12325
OG0000129	HUMAN18494, HUMAN18495	CAEEL08188
OG0000131	HUMAN19899	CAEEL08663
OG0000132	HUMAN20126	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417
OG0000137	HUMAN23088	CAEEL18416, CAEEL11601
OG0000137	HUMAN25150, HUMAN25149	CAEEL10559
OG0000140	HUMAN06860, HUMAN05842, HUMAN03908	CAEEL04513
OG0000142	HUMAN11653, HUMAN13737	CAEEL19259
OG0000142	HUMAN19224	CAEEL08844, CAEEL07256, CAEEL07175
OG0000147	HUMAN18499, HUMAN00218	CAEEL04811
OG0000147	HUMAN24559, HUMAN27635	CAEEL18488
OG0000148	HUMAN30520, HUMAN20407, HUMAN26826, HUMAN02390, HUMAN02389	CAEEL09804
OG0000148	HUMAN06230	CAEEL04213
OG0000149	HUMAN23614, HUMAN23616, HUMAN23619	CAEEL02847
OG0000149	HUMAN10034, HUMAN23690	CAEEL15543, CAEEL15991, CAEEL08694
OG0000154	HUMAN19436	CAEEL02932
OG0000155	HUMAN25690, HUMAN25689, HUMAN28367, HUMAN28368, HUMAN25231, HUMAN00772, HUMAN25229, HUMAN28369	CAEEL02327, CAEEL02328, CAEEL02326, CAEEL10961, CAEEL10957
OG0000157	HUMAN28808, HUMAN14307	CAEEL00241
OG0000157	HUMAN11058, HUMAN11059	CAEEL01390
OG0000158	HUMAN02259, HUMAN02258, HUMAN02257, HUMAN02214, HUMAN02213, HUMAN02058, HUMAN02060, HUMAN02059, HUMAN29068, HUMAN02261, HUMAN02256, HUMAN02260, HUMAN19321, HUMAN25759, HUMAN27804	CAEEL20117, CAEEL08684
OG0000158	HUMAN03704	CAEEL06141
OG0000159	HUMAN27903	CAEEL19486
OG0000159	HUMAN25418	CAEEL02031
OG0000159	HUMAN29307, HUMAN04389, HUMAN23217, HUMAN11668	CAEEL05281
OG0000160	HUMAN18884, HUMAN18883, HUMAN19901, HUMAN19900, HUMAN19910, HUMAN19911, HUMAN18777, HUMAN19703, HUMAN19833, HUMAN19781	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528
OG0000163	HUMAN20181, HUMAN13484, HUMAN13482, HUMAN13483	CAEEL08313
OG0000163	HUMAN12888, HUMAN06524, HUMAN26092	CAEEL20194, CAEEL08850
OG0000165	HUMAN05822, HUMAN05073, HUMAN22589, HUMAN05074, HUMAN09475, HUMAN23325, HUMAN14142, HUMAN30404, HUMAN30403, HUMAN30402, HUMAN11922, HUMAN21957, HUMAN07815, HUMAN07814	CAEEL07846
OG0000167	HUMAN25492	CAEEL00196
OG0000168	HUMAN14875, HUMAN23273, HUMAN01023, HUMAN28467, HUMAN04352, HUMAN17049, HUMAN15865, HUMAN15864	CAEEL19018
OG0000171	HUMAN23027	CAEEL11480
OG0000173	HUMAN27146, HUMAN26710, HUMAN21895, HUMAN21533, HUMAN00452, HUMAN18290, HUMAN22447, HUMAN21180, HUMAN21189, HUMAN00447, HUMAN00448, HUMAN00343, HUMAN27169, HUMAN00752, HUMAN00751, HUMAN25381	CAEEL04156
OG0000174	HUMAN28400, HUMAN02927	CAEEL12711
OG0000174	HUMAN27541, HUMAN27540, HUMAN22731	CAEEL09479
OG0000175	HUMAN22641, HUMAN22640	CAEEL19241
OG0000175	HUMAN27918, HUMAN27828, HUMAN27827	CAEEL15650, CAEEL01525, CAEEL01870
OG0000179	HUMAN01511, HUMAN01513, HUMAN01517, HUMAN01565, HUMAN01540, HUMAN01553, HUMAN01502, HUMAN26276, HUMAN03337, HUMAN03338	CAEEL13640
OG0000179	HUMAN23712, HUMAN09621	CAEEL02965, CAEEL06713
OG0000179	HUMAN22996, HUMAN17836	CAEEL19466, CAEEL07193
OG0000180	HUMAN19779	CAEEL03002, CAEEL02981, CAEEL03753
OG0000181	HUMAN06327, HUMAN02594	CAEEL07684
OG0000181	HUMAN26916, HUMAN21065	CAEEL10858
OG0000181	HUMAN07664, HUMAN21747	CAEEL10772
OG0000181	HUMAN08369	CAEEL12632
OG0000183	HUMAN15779, HUMAN08957, HUMAN04785, HUMAN02522	CAEEL16310, CAEEL16311, CAEEL16312
OG0000183	HUMAN05463, HUMAN19339, HUMAN19578, HUMAN05532, HUMAN05533	CAEEL18435
OG0000184	HUMAN02122, HUMAN02125, HUMAN02123, HUMAN02124, HUMAN02120, HUMAN01543	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164
OG0000185	HUMAN11020, HUMAN08224, HUMAN23184	CAEEL14200
OG0000186	HUMAN00084	CAEEL04404, CAEEL00795, CAEEL05654
OG0000188	HUMAN27535, HUMAN03482, HUMAN23029	CAEEL20699
OG0000191	HUMAN28068	CAEEL19421, CAEEL09443, CAEEL19122, CAEEL15476
OG0000193	HUMAN05474	CAEEL09482, CAEEL14826
OG0000193	HUMAN26464, HUMAN26463, HUMAN07238, HUMAN07239, HUMAN23343, HUMAN15327, HUMAN15326, HUMAN05473, HUMAN05475, HUMAN19343, HUMAN19575, HUMAN19345, HUMAN19577, HUMAN19344, HUMAN19576	CAEEL11204, CAEEL11203, CAEEL08224, CAEEL02079
OG0000194	HUMAN21679, HUMAN21678, HUMAN21808, HUMAN00275, HUMAN00276	CAEEL11235, CAEEL19589, CAEEL17687, CAEEL19382
OG0000195	HUMAN21625	CAEEL16482, CAEEL10039, CAEEL10038, CAEEL10040, CAEEL02220, CAEEL16481
OG0000197	HUMAN09888, HUMAN01887, HUMAN09887	CAEEL04387
OG0000197	HUMAN00631, HUMAN25533, HUMAN25532, HUMAN27956, HUMAN27958, HUMAN27961, HUMAN27960, HUMAN27957, HUMAN27959	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188
OG0000198	HUMAN07259, HUMAN00404, HUMAN00406, HUMAN00407, HUMAN00405, HUMAN00408, HUMAN10546	CAEEL03057, CAEEL05629, CAEEL09718
OG0000200	HUMAN21772	CAEEL12936, CAEEL14770, CAEEL14767, CAEEL14769, CAEEL14768, CAEEL14529, CAEEL12940, CAEEL13152
OG0000201	HUMAN20007, HUMAN20008, HUMAN20009, HUMAN11788, HUMAN04555	CAEEL07587
OG0000202	HUMAN08594, HUMAN08593, HUMAN23063, HUMAN27722, HUMAN27584, HUMAN27582, HUMAN27587, HUMAN03812, HUMAN18643, HUMAN24147, HUMAN03775, HUMAN01794	CAEEL20283
OG0000203	HUMAN21966, HUMAN00014, HUMAN00153, HUMAN00154, HUMAN11982, HUMAN00109	CAEEL09812
OG0000205	HUMAN08496, HUMAN02469	CAEEL13029
OG0000205	HUMAN13147, HUMAN27255, HUMAN27254, HUMAN17799	CAEEL07272, CAEEL07274, CAEEL07273
OG0000207	HUMAN13832, HUMAN19141, HUMAN28598, HUMAN00876, HUMAN21341, HUMAN02010	CAEEL05874, CAEEL00203
OG0000208	HUMAN19120	CAEEL08447, CAEEL07330, CAEEL20488, CAEEL08722
OG0000209	HUMAN10642, HUMAN10641	CAEEL07432
OG0000210	HUMAN22011, HUMAN22010	CAEEL19469
OG0000211	HUMAN18718	CAEEL15290
OG0000211	HUMAN23611	CAEEL01111, CAEEL01112
OG0000211	HUMAN14218, HUMAN10060	CAEEL02311
OG0000215	HUMAN23880, HUMAN18661	CAEEL10179, CAEEL11490, CAEEL11487, CAEEL11489, CAEEL10284, CAEEL15289
OG0000218	HUMAN21084, HUMAN05261	CAEEL07824, CAEEL20213
OG0000220	HUMAN22834, HUMAN17090, HUMAN03354, HUMAN03353, HUMAN22580	CAEEL07565, CAEEL08758
OG0000221	HUMAN18223, HUMAN20676, HUMAN12806, HUMAN12805	CAEEL10747
OG0000221	HUMAN18037, HUMAN20574	CAEEL06648
OG0000223	HUMAN03439	CAEEL01621, CAEEL00892
OG0000225	HUMAN26821, HUMAN26818, HUMAN02411, HUMAN20859, HUMAN20858, HUMAN26781, HUMAN06681, HUMAN06682, HUMAN28017, HUMAN28016, HUMAN22075, HUMAN22076, HUMAN24061	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881
OG0000226	HUMAN18050, HUMAN16817	CAEEL12318
OG0000227	HUMAN09614, HUMAN14351, HUMAN18012, HUMAN26229, HUMAN14350, HUMAN09613, HUMAN09611, HUMAN21404, HUMAN10994, HUMAN24420, HUMAN18815	CAEEL19645
OG0000229	HUMAN02983, HUMAN29674	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478
OG0000230	HUMAN27790, HUMAN16569	CAEEL14845, CAEEL19792
OG0000231	HUMAN30467, HUMAN17388, HUMAN22380, HUMAN04081	CAEEL08481
OG0000231	HUMAN11124, HUMAN27993, HUMAN27994	CAEEL01724
OG0000232	HUMAN24032, HUMAN24036, HUMAN24033, HUMAN24038, HUMAN24037, HUMAN28599, HUMAN28600, HUMAN24027	CAEEL18532, CAEEL19887
OG0000234	HUMAN14313, HUMAN13886, HUMAN13884, HUMAN09743, HUMAN01653	CAEEL02295
OG0000234	HUMAN02863, HUMAN02862, HUMAN04453	CAEEL03013, CAEEL03014
OG0000235	HUMAN09679, HUMAN22334, HUMAN07552, HUMAN17686, HUMAN22277	CAEEL10795, CAEEL07012
OG0000236	HUMAN01231, HUMAN01232	CAEEL19835
OG0000238	HUMAN10740	CAEEL15430, CAEEL15432, CAEEL15171, CAEEL15387
OG0000239	HUMAN08545	CAEEL14926
OG0000239	HUMAN12754, HUMAN26078	CAEEL00570
OG0000242	HUMAN06809, HUMAN17638	CAEEL05291
OG0000242	HUMAN06808, HUMAN04472, HUMAN16342	CAEEL05302
OG0000242	HUMAN17637, HUMAN26476	CAEEL01149, CAEEL01953, CAEEL01038, CAEEL11304, CAEEL00585, CAEEL01041, CAEEL01477
