Orthogroup	HUMAN	BRAFL
OG0000006	HUMAN08442, HUMAN17032, HUMAN15898	bflo_15412
OG0000006	HUMAN24331	bflo_10980
OG0000007	HUMAN24418, HUMAN11538	bflo_13266
OG0000007	HUMAN09570, HUMAN28803	bflo_05651
OG0000007	HUMAN15831, HUMAN18759, HUMAN08323	bflo_16444, bflo_15598
OG0000007	HUMAN28730, HUMAN28754, HUMAN28742, HUMAN28745, HUMAN28436, HUMAN17539, HUMAN01097, HUMAN23486, HUMAN00971	bflo_25603
OG0000007	HUMAN24202, HUMAN17278, HUMAN03780	bflo_10207
OG0000007	HUMAN21567	bflo_23632
OG0000007	HUMAN11539	bflo_13761
OG0000007	HUMAN28408	bflo_13742
OG0000007	HUMAN24416	bflo_13892
OG0000007	HUMAN24417, HUMAN11533	bflo_13084
OG0000007	HUMAN12258, HUMAN07103	bflo_12369
OG0000007	HUMAN07102	bflo_21087
OG0000007	HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949	bflo_23309
OG0000007	HUMAN25936, HUMAN13634	bflo_23091
OG0000007	HUMAN13395	bflo_23283
OG0000007	HUMAN00818, HUMAN00819, HUMAN05935	bflo_24497
OG0000007	HUMAN08248	bflo_11392
OG0000008	HUMAN14538, HUMAN01095	bflo_24920
OG0000008	HUMAN29384, HUMAN29385, HUMAN29383, HUMAN00569	bflo_18246, bflo_18438, bflo_17494, bflo_17234, bflo_17491, bflo_17495, bflo_05246, bflo_16441, bflo_26042, bflo_18070, bflo_16203, bflo_16234, bflo_16238, bflo_16233, bflo_16235, bflo_16231, bflo_16161, bflo_25263, bflo_24546
OG0000008	HUMAN14600	bflo_24820, bflo_25017, bflo_24835, bflo_05883, bflo_24836, bflo_23968, bflo_00088, bflo_24054, bflo_24837, bflo_24839, bflo_24838, bflo_24924
OG0000008	HUMAN00243	bflo_20071
OG0000010	HUMAN11412, HUMAN11410, HUMAN11411, HUMAN11268	bflo_01925, bflo_02047, bflo_02046, bflo_01877, bflo_01910, bflo_21331, bflo_22061, bflo_21857
OG0000010	HUMAN18382	bflo_00973
OG0000010	HUMAN16109, HUMAN16111, HUMAN16121, HUMAN16110, HUMAN16122, HUMAN16101, HUMAN16115, HUMAN27128, HUMAN27130, HUMAN27129, HUMAN28616, HUMAN28615	bflo_06245, bflo_06244, bflo_00460, bflo_18660, bflo_18213
OG0000012	HUMAN21758, HUMAN26719, HUMAN26720	bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370
OG0000012	HUMAN11190	bflo_14731, bflo_13607, bflo_24594
OG0000013	HUMAN18418, HUMAN18417, HUMAN18416, HUMAN18419, HUMAN18410, HUMAN18413, HUMAN18411, HUMAN18412, HUMAN18415, HUMAN22469, HUMAN22470, HUMAN22464, HUMAN22463, HUMAN22465, HUMAN22466, HUMAN22467, HUMAN22462, HUMAN22468, HUMAN22460, HUMAN22461	bflo_12350, bflo_25396, bflo_04269, bflo_21374, bflo_15079, bflo_14235, bflo_24199, bflo_11867, bflo_21976, bflo_21462, bflo_21463, bflo_14721, bflo_14629, bflo_04810, bflo_11784, bflo_21577, bflo_26129, bflo_21900, bflo_25566, bflo_21578, bflo_03861, bflo_16342, bflo_25995, bflo_16188, bflo_16183, bflo_16341, bflo_15584, bflo_14996, bflo_14997, bflo_14998, bflo_00389, bflo_21646, bflo_00400, bflo_21337, bflo_21640, bflo_06006, bflo_21919, bflo_21643, bflo_21642, bflo_21641, bflo_21338
OG0000014	HUMAN11875, HUMAN11876	bflo_15593, bflo_15583, bflo_06812, bflo_06282, bflo_09943, bflo_00188, bflo_05813, bflo_02920, bflo_08010, bflo_08009, bflo_26434, bflo_00922, bflo_18033, bflo_03941
OG0000014	HUMAN03416	bflo_22331, bflo_22489, bflo_01842, bflo_22542, bflo_25978, bflo_21218, bflo_10799, bflo_22565, bflo_06456, bflo_22034, bflo_22564, bflo_21315, bflo_06680, bflo_02758, bflo_20044, bflo_19893
OG0000014	HUMAN01394	bflo_18525, bflo_05141
OG0000014	HUMAN25476, HUMAN30053	bflo_04326, bflo_04339, bflo_04331
OG0000014	HUMAN13227	bflo_06816
OG0000015	HUMAN24211, HUMAN00090	bflo_11749, bflo_12200, bflo_12395, bflo_12178, bflo_08868, bflo_08913, bflo_09485, bflo_09837, bflo_09947, bflo_12135, bflo_12473
OG0000015	HUMAN24177, HUMAN22373, HUMAN09170	bflo_14872
OG0000015	HUMAN24184, HUMAN22368, HUMAN09174, HUMAN09175, HUMAN30469, HUMAN22369, HUMAN24183, HUMAN30472, HUMAN09173, HUMAN22372, HUMAN24180, HUMAN24179, HUMAN24178	bflo_14874
OG0000015	HUMAN29611, HUMAN30168, HUMAN23062, HUMAN24113	bflo_24142, bflo_23928, bflo_13822, bflo_22604, bflo_21321, bflo_22116, bflo_21512, bflo_22110, bflo_22066, bflo_22701, bflo_24955, bflo_17773, bflo_17747, bflo_17701, bflo_14970
OG0000016	HUMAN10581, HUMAN10583, HUMAN12987	bflo_22718, bflo_13606, bflo_23097, bflo_23092
OG0000016	HUMAN25103	bflo_12769
OG0000016	HUMAN06120, HUMAN04223	bflo_20387
OG0000019	HUMAN06384	bflo_04871
OG0000019	HUMAN00033, HUMAN05851, HUMAN10700, HUMAN10699, HUMAN10698	bflo_22767, bflo_06001, bflo_05746, bflo_23533
OG0000019	HUMAN27262, HUMAN06385, HUMAN06383, HUMAN12384, HUMAN12385, HUMAN18277	bflo_26518, bflo_26519, bflo_04870
OG0000019	HUMAN22980	bflo_15319, bflo_14638, bflo_14407, bflo_14408, bflo_21582, bflo_05781, bflo_06551, bflo_06786, bflo_05478, bflo_06552, bflo_02039, bflo_04152, bflo_18281, bflo_02884, bflo_17342, bflo_17343, bflo_02918, bflo_02876, bflo_25580, bflo_02890, bflo_06715, bflo_06719, bflo_02868, bflo_04218, bflo_15434, bflo_14556
OG0000020	HUMAN26158	bflo_12668
OG0000020	HUMAN12659	bflo_19465
OG0000020	HUMAN26061	bflo_19726
OG0000020	HUMAN08344	bflo_17473, bflo_27211
OG0000020	HUMAN00926	bflo_24908
OG0000020	HUMAN02350, HUMAN02349	bflo_12267
OG0000020	HUMAN28205	bflo_11497
OG0000020	HUMAN16669	bflo_01316, bflo_26255, bflo_05601
OG0000020	HUMAN00163	bflo_24504, bflo_09206, bflo_24474
OG0000020	HUMAN05209, HUMAN21854	bflo_09699, bflo_21336, bflo_13053, bflo_12684, bflo_25143, bflo_24001, bflo_22065, bflo_14513
OG0000020	HUMAN02145	bflo_16368
OG0000020	HUMAN30100, HUMAN07717, HUMAN22328	bflo_14118
OG0000020	HUMAN23847	bflo_07448
OG0000020	HUMAN22639	bflo_14450
OG0000020	HUMAN20816	bflo_00687
OG0000021	HUMAN20500	bflo_11723
OG0000021	HUMAN20539, HUMAN05765, HUMAN05766, HUMAN20499	bflo_11166, bflo_11165, bflo_11164
OG0000021	HUMAN11054, HUMAN23166	bflo_12821
OG0000021	HUMAN12331	bflo_20935
OG0000021	HUMAN04273	bflo_27402, bflo_22537
OG0000021	HUMAN30251	bflo_22539, bflo_22305
OG0000021	HUMAN00882, HUMAN00880, HUMAN00881	bflo_14957, bflo_14617, bflo_14568
OG0000021	HUMAN24068	bflo_15084, bflo_14963, bflo_15001, bflo_14964, bflo_14616, bflo_14965
OG0000023	HUMAN03767	bflo_10816, bflo_10061
OG0000023	HUMAN19878, HUMAN19879	bflo_24815, bflo_00728, bflo_26486, bflo_18293, bflo_17225, bflo_17512
OG0000023	HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367	bflo_20456
OG0000023	HUMAN12427	bflo_20896
OG0000023	HUMAN06585, HUMAN06584	bflo_10033, bflo_02724, bflo_02807
OG0000023	HUMAN11130	bflo_20954
OG0000026	HUMAN00402	bflo_21516, bflo_21519, bflo_21523
OG0000026	HUMAN07669, HUMAN21745	bflo_26853, bflo_07376
OG0000026	HUMAN26724, HUMAN26725	bflo_03704, bflo_21877, bflo_14509, bflo_02973, bflo_03705, bflo_02969, bflo_17121, bflo_03998, bflo_09675, bflo_07770, bflo_18066, bflo_05329, bflo_21515, bflo_21517, bflo_21247, bflo_21501, bflo_21518, bflo_01508, bflo_00408, bflo_21522, bflo_21831, bflo_17285, bflo_17283, bflo_17284, bflo_05278, bflo_09823, bflo_06473, bflo_14607, bflo_03670, bflo_03671, bflo_14608, bflo_14866, bflo_15396, bflo_15364, bflo_15390, bflo_15388, bflo_15386, bflo_15381, bflo_09643, bflo_15362, bflo_08780
OG0000027	HUMAN16847	bflo_00954, bflo_21377, bflo_21771, bflo_21770, bflo_21767, bflo_21295, bflo_27379, bflo_21769, bflo_21480, bflo_16406, bflo_21376, bflo_21766, bflo_20722, bflo_08571, bflo_13573, bflo_15160, bflo_18041, bflo_15157, bflo_15155, bflo_15156, bflo_01209, bflo_15798, bflo_12491, bflo_18645, bflo_18636, bflo_10841, bflo_00669, bflo_00360, bflo_26536, bflo_26537, bflo_19407, bflo_19400, bflo_19409, bflo_19408, bflo_19405, bflo_05073, bflo_08278, bflo_24610
OG0000028	HUMAN03982	bflo_23186, bflo_23170, bflo_06699, bflo_04841
OG0000028	HUMAN09209	bflo_14636, bflo_15358
OG0000028	HUMAN01776, HUMAN09895	bflo_06411, bflo_06696, bflo_05765, bflo_05766, bflo_06406, bflo_05767, bflo_05958, bflo_06305, bflo_05959
OG0000028	HUMAN09894, HUMAN27765, HUMAN27611, HUMAN19281	bflo_06498, bflo_18107
OG0000028	HUMAN27764, HUMAN17889	bflo_25761, bflo_19766, bflo_19099
OG0000028	HUMAN09193, HUMAN09206	bflo_06341
OG0000029	HUMAN15611	bflo_00003
OG0000029	HUMAN24898, HUMAN21852	bflo_00742, bflo_13634, bflo_26557, bflo_21595, bflo_21596, bflo_08663, bflo_08664, bflo_03929, bflo_00132, bflo_10187, bflo_00840, bflo_00865, bflo_12518, bflo_00853, bflo_00841, bflo_00854, bflo_00848, bflo_00836, bflo_11153, bflo_10901, bflo_25901, bflo_24407
OG0000030	HUMAN23234, HUMAN23233, HUMAN23232	bflo_05230
OG0000031	HUMAN17850	bflo_02624
OG0000031	HUMAN06489, HUMAN17883, HUMAN26042	bflo_02501
OG0000031	HUMAN26043	bflo_02849
OG0000031	HUMAN09203	bflo_25562
OG0000031	HUMAN26979, HUMAN14235	bflo_06369
OG0000031	HUMAN21432	bflo_11397
OG0000031	HUMAN07725	bflo_15458
OG0000031	HUMAN07726, HUMAN22322	bflo_15459
OG0000031	HUMAN18122, HUMAN18121, HUMAN02818, HUMAN02819	bflo_02405
OG0000032	HUMAN27902	bflo_12824, bflo_01429
OG0000032	HUMAN19258	bflo_23561, bflo_23038, bflo_01635
OG0000032	HUMAN23633, HUMAN23632	bflo_08328, bflo_07783, bflo_19844, bflo_19585, bflo_19127, bflo_19062, bflo_19061, bflo_19371, bflo_18653, bflo_19388
OG0000034	HUMAN10850, HUMAN11671, HUMAN07186, HUMAN11672, HUMAN11673	bflo_20326
OG0000034	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933	bflo_03308, bflo_13145
OG0000034	HUMAN01831, HUMAN13891	bflo_05871
OG0000034	HUMAN04678	bflo_03310
OG0000034	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093	bflo_07712, bflo_08443
OG0000034	HUMAN04988	bflo_03379
OG0000035	HUMAN06576	bflo_02157
OG0000035	HUMAN06191, HUMAN03898	bflo_10385
OG0000035	HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810	bflo_09462
OG0000035	HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844	bflo_09767, bflo_09277
OG0000035	HUMAN04383	bflo_10386
OG0000036	HUMAN08124, HUMAN11288	bflo_13405, bflo_09641, bflo_13747, bflo_13748
OG0000036	HUMAN11555	bflo_13764, bflo_12886
OG0000036	HUMAN08152, HUMAN08151, HUMAN15233	bflo_13765, bflo_13767, bflo_03188
OG0000036	HUMAN22872	bflo_08259, bflo_08260, bflo_16423, bflo_16325
OG0000036	HUMAN27983, HUMAN15223	bflo_12806, bflo_12805
OG0000037	HUMAN25007, HUMAN25008, HUMAN25010, HUMAN25009, HUMAN25006, HUMAN02504, HUMAN08759, HUMAN04817	bflo_18550, bflo_02879
OG0000037	HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443	bflo_10999
OG0000037	HUMAN19040, HUMAN28273, HUMAN16721	bflo_01343, bflo_01342
OG0000037	HUMAN03689	bflo_10180
OG0000038	HUMAN19701	bflo_10654
OG0000038	HUMAN18257	bflo_18855
OG0000038	HUMAN19700	bflo_11477
OG0000039	HUMAN29023	bflo_25339, bflo_22047, bflo_13127, bflo_13500, bflo_25066, bflo_24169
OG0000039	HUMAN13199	bflo_15832
OG0000040	HUMAN26646, HUMAN26642	bflo_18133
OG0000040	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640	bflo_18120, bflo_22334, bflo_22335, bflo_22336, bflo_18296, bflo_21600, bflo_21601, bflo_19151, bflo_22337, bflo_22516, bflo_10596, bflo_03642, bflo_03265, bflo_03263, bflo_03262, bflo_09253, bflo_09254, bflo_10559, bflo_12515, bflo_12514, bflo_21148, bflo_10618, bflo_07354, bflo_26520, bflo_13862, bflo_03226, bflo_18603, bflo_08965, bflo_03641, bflo_03272
OG0000041	HUMAN19139, HUMAN27913, HUMAN16617, HUMAN16643, HUMAN28077, HUMAN19052	bflo_05956
OG0000042	HUMAN21251, HUMAN05520, HUMAN05519, HUMAN05521	bflo_10929, bflo_25898, bflo_02971, bflo_02974, bflo_03714, bflo_26102, bflo_03006, bflo_22040, bflo_03610, bflo_26101, bflo_02981, bflo_11796, bflo_02991, bflo_03706, bflo_26342, bflo_25465, bflo_00903
OG0000044	HUMAN22107, HUMAN27712	bflo_09762
OG0000044	HUMAN03043	bflo_07748
OG0000045	HUMAN02932	bflo_20899, bflo_17244
OG0000045	HUMAN28768	bflo_03910
OG0000046	HUMAN23116	bflo_09128, bflo_05621
OG0000046	HUMAN29094	bflo_17346, bflo_17140, bflo_17411, bflo_17138, bflo_15946, bflo_19960, bflo_03865, bflo_11219, bflo_01794, bflo_19942, bflo_19982, bflo_19954, bflo_19961, bflo_19955, bflo_19958, bflo_19956, bflo_19962, bflo_11929, bflo_19932, bflo_10620, bflo_14470, bflo_15030
OG0000048	HUMAN29550	bflo_15152
OG0000048	HUMAN16328	bflo_17669
OG0000048	HUMAN16644	bflo_20353
OG0000048	HUMAN11449	bflo_12849
OG0000049	HUMAN25699, HUMAN05316	bflo_17665
OG0000049	HUMAN20965, HUMAN26499	bflo_12099
OG0000049	HUMAN24353, HUMAN24922, HUMAN24921, HUMAN26912, HUMAN20433	bflo_12470, bflo_11081
OG0000049	HUMAN26500	bflo_17096, bflo_11847
OG0000051	HUMAN22678	bflo_08711
OG0000051	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201	bflo_18195, bflo_17371
OG0000053	HUMAN01064	bflo_21932, bflo_21926, bflo_18879, bflo_19026
OG0000054	HUMAN23119	bflo_04388
OG0000054	HUMAN00960, HUMAN00959, HUMAN00963, HUMAN00962, HUMAN00961, HUMAN00964	bflo_20488, bflo_15707, bflo_15703, bflo_15905, bflo_15752, bflo_23344, bflo_22720, bflo_19106, bflo_09085, bflo_09133, bflo_05501, bflo_06007, bflo_03912, bflo_17229, bflo_17691, bflo_18295, bflo_18294, bflo_26044, bflo_24306, bflo_10355, bflo_13684, bflo_13746, bflo_10411, bflo_13726, bflo_13740, bflo_13675, bflo_13693, bflo_25983, bflo_26141, bflo_25284
OG0000055	HUMAN02616	bflo_23399
OG0000056	HUMAN22445	bflo_25516
OG0000056	HUMAN07396, HUMAN07395	bflo_15952
OG0000056	HUMAN14865	bflo_22428
OG0000057	HUMAN23569, HUMAN10014	bflo_15406, bflo_07670, bflo_18359, bflo_16293, bflo_17114, bflo_13221
OG0000058	HUMAN14551	bflo_24517
OG0000058	HUMAN17378, HUMAN03592	bflo_09194
OG0000058	HUMAN23378	bflo_23140
OG0000058	HUMAN02623, HUMAN09237, HUMAN17157, HUMAN03406	bflo_24603, bflo_01016, bflo_16790, bflo_24608, bflo_23137, bflo_07524, bflo_08605, bflo_23941, bflo_23940, bflo_23938, bflo_27442, bflo_23937, bflo_23936, bflo_23939, bflo_23943, bflo_23942, bflo_23935
OG0000058	HUMAN13532, HUMAN25949	bflo_23048, bflo_23141
OG0000059	HUMAN30238, HUMAN07577	bflo_15172
OG0000059	HUMAN21611	bflo_21855
OG0000059	HUMAN05382, HUMAN22839, HUMAN23845	bflo_13996, bflo_14747
OG0000060	HUMAN25284	bflo_01659, bflo_06661
OG0000060	HUMAN16007, HUMAN16006, HUMAN04276, HUMAN06988	bflo_01384
OG0000061	HUMAN17964, HUMAN26554	bflo_18545
OG0000061	HUMAN18142, HUMAN20809	bflo_19266, bflo_18688, bflo_18686, bflo_18896
OG0000061	HUMAN13555, HUMAN15809, HUMAN25004, HUMAN12027, HUMAN17562, HUMAN17563, HUMAN20727, HUMAN26146, HUMAN26147, HUMAN26149, HUMAN27338, HUMAN27337	bflo_18999, bflo_19344
OG0000061	HUMAN26138, HUMAN26137, HUMAN12821	bflo_19609, bflo_18544, bflo_19608, bflo_19290
OG0000062	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195	bflo_17250, bflo_01624
OG0000062	HUMAN25285	bflo_13529
OG0000063	HUMAN00859, HUMAN28501	bflo_25923
OG0000063	HUMAN18628, HUMAN03783, HUMAN03782	bflo_26112, bflo_25384, bflo_25322, bflo_25330, bflo_25162, bflo_25268, bflo_25241, bflo_25374, bflo_05397, bflo_25266, bflo_25753
OG0000066	HUMAN29798	bflo_04761, bflo_11842
OG0000067	HUMAN23532	bflo_06923, bflo_06916, bflo_24559, bflo_02686, bflo_17376, bflo_24606, bflo_18581, bflo_07727, bflo_04022, bflo_03936
OG0000068	HUMAN26983	bflo_12119
OG0000069	HUMAN01574	bflo_26384
OG0000069	HUMAN13360	bflo_05168
OG0000069	HUMAN13361, HUMAN02574	bflo_07771
OG0000069	HUMAN01509, HUMAN24625, HUMAN24602, HUMAN24629, HUMAN24631, HUMAN24608, HUMAN24669, HUMAN24667, HUMAN02614, HUMAN24605, HUMAN24620, HUMAN24658	bflo_24611
OG0000069	HUMAN01571	bflo_25591
OG0000069	HUMAN01569	bflo_26381
OG0000070	HUMAN25671, HUMAN29634, HUMAN30393	bflo_17097, bflo_18391, bflo_18274
OG0000070	HUMAN14161	bflo_19712, bflo_19610, bflo_18938, bflo_18939, bflo_18680, bflo_18677, bflo_08024, bflo_18676, bflo_06405, bflo_17765, bflo_24928, bflo_03653, bflo_13031, bflo_19530, bflo_18681, bflo_18560, bflo_19218, bflo_19322, bflo_19716, bflo_18678, bflo_18529, bflo_05505, bflo_19611, bflo_01821, bflo_08623, bflo_19607, bflo_03948, bflo_15003, bflo_25235
OG0000071	HUMAN17352	bflo_24861
OG0000072	HUMAN24108, HUMAN23125, HUMAN05334	bflo_14354
OG0000072	HUMAN22965, HUMAN22964, HUMAN04101	bflo_14484, bflo_04637
OG0000072	HUMAN22852	bflo_14474
OG0000073	HUMAN25174, HUMAN25175	bflo_23562
OG0000073	HUMAN19028, HUMAN27930, HUMAN11516, HUMAN27929	bflo_15886
OG0000073	HUMAN06831, HUMAN06836	bflo_10835
OG0000074	HUMAN07045, HUMAN07044, HUMAN21437	bflo_10921
OG0000074	HUMAN09283	bflo_14737
OG0000075	HUMAN12839, HUMAN02593	bflo_02192
OG0000075	HUMAN18233	bflo_02500
OG0000075	HUMAN06329	bflo_02607
OG0000075	HUMAN00444	bflo_24625
OG0000075	HUMAN05218	bflo_21844
OG0000075	HUMAN18234, HUMAN06328	bflo_02487
OG0000075	HUMAN01424, HUMAN01425, HUMAN26867	bflo_12189
OG0000075	HUMAN05783, HUMAN21047	bflo_11040
OG0000075	HUMAN20335, HUMAN20336, HUMAN20532	bflo_12166
OG0000075	HUMAN26884	bflo_11652
OG0000077	HUMAN18656, HUMAN24161, HUMAN27605, HUMAN27606	bflo_09725
OG0000077	HUMAN17351, HUMAN03646, HUMAN22147, HUMAN22146	bflo_20919, bflo_20836, bflo_03467, bflo_21221, bflo_01044, bflo_00674, bflo_00541, bflo_14967, bflo_10820, bflo_23366
OG0000077	HUMAN25299, HUMAN00457, HUMAN21175, HUMAN25341, HUMAN23402	bflo_18777, bflo_23174
OG0000078	HUMAN16744	bflo_05955
OG0000078	HUMAN15000, HUMAN04284, HUMAN06996	bflo_03225, bflo_03224, bflo_03600, bflo_00994, bflo_16269, bflo_01905, bflo_16844, bflo_16039, bflo_09080, bflo_03425, bflo_02138
OG0000079	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848	bflo_00523
OG0000079	HUMAN22600, HUMAN22601, HUMAN24340	bflo_07371
OG0000079	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260	bflo_20026
OG0000079	HUMAN14208	bflo_01658
OG0000079	HUMAN14194, HUMAN14192	bflo_15789, bflo_21965, bflo_10278, bflo_21970, bflo_21968
OG0000081	HUMAN03680, HUMAN03679, HUMAN03681, HUMAN03678	bflo_15913, bflo_15912, bflo_16774, bflo_16578, bflo_25892, bflo_26241
OG0000081	HUMAN13949, HUMAN13947, HUMAN13948, HUMAN27508, HUMAN09549, HUMAN21908, HUMAN19354, HUMAN21352	bflo_25900, bflo_13564, bflo_13563
OG0000082	HUMAN29167	bflo_15900
OG0000082	HUMAN23869	bflo_04889
OG0000083	HUMAN07535, HUMAN22993	bflo_14979, bflo_14980, bflo_14849, bflo_14850, bflo_15203, bflo_08533
OG0000084	HUMAN03696	bflo_10754
OG0000084	HUMAN22750, HUMAN17196, HUMAN03227	bflo_08430
OG0000085	HUMAN12866, HUMAN20608, HUMAN17788	bflo_00992
OG0000085	HUMAN26172	bflo_12569
OG0000085	HUMAN30084, HUMAN01484, HUMAN25335, HUMAN25334	bflo_17482
OG0000085	HUMAN07214, HUMAN13120	bflo_20149
OG0000085	HUMAN25832	bflo_18272, bflo_18210
OG0000087	HUMAN11956	bflo_21260
OG0000087	HUMAN02557	bflo_15474, bflo_15461
OG0000087	HUMAN17213	bflo_08208
OG0000087	HUMAN21001	bflo_02993
OG0000087	HUMAN18010	bflo_02949, bflo_07784, bflo_11840
OG0000087	HUMAN21063	bflo_11911
OG0000087	HUMAN10659	bflo_22659
OG0000088	HUMAN03260, HUMAN04395, HUMAN21618, HUMAN29776, HUMAN11422, HUMAN11423, HUMAN11367	bflo_12484, bflo_25913, bflo_26055, bflo_02835, bflo_07337, bflo_02839, bflo_02837, bflo_19718, bflo_03903, bflo_20323, bflo_00738, bflo_20465
OG0000089	HUMAN21235	bflo_02193, bflo_05485, bflo_04536, bflo_25331, bflo_08302, bflo_01704, bflo_02380, bflo_07198, bflo_24284, bflo_27461, bflo_24333, bflo_05569, bflo_17128, bflo_12545, bflo_05487
OG0000089	HUMAN29653, HUMAN25674	bflo_17962, bflo_17832, bflo_01283, bflo_21188
OG0000090	HUMAN24709	bflo_16621
OG0000090	HUMAN28948	bflo_02393
OG0000093	HUMAN25814, HUMAN25815	bflo_08402, bflo_20451
