Orthogroup	APOSC_ok	DANRE
OG0000044	APOSC_22317	DANRE24280
OG0000045	APOSC_22122, APOSC_09364, APOSC_16917	DANRE38824
OG0000045	APOSC_22210, APOSC_25137, APOSC_21940	DANRE05823
OG0000046	APOSC_27956	DANRE15742
OG0000048	APOSC_06436	DANRE33718
OG0000048	APOSC_11695	DANRE17556, DANRE05472
OG0000048	APOSC_03220	DANRE26183
OG0000049	APOSC_16875	DANRE18176, DANRE10819, DANRE00818, DANRE08853, DANRE08855, DANRE08854
OG0000049	APOSC_03799	DANRE36715, DANRE36714, DANRE02678, DANRE12445
OG0000049	APOSC_10378	DANRE22104, DANRE39773, DANRE39775, DANRE39774, DANRE02437, DANRE02436, DANRE36818, DANRE36819, DANRE30745, DANRE25833
OG0000049	APOSC_13440	DANRE30744
OG0000050	APOSC_08507, APOSC_18416, APOSC_29121, APOSC_04063, APOSC_09709	DANRE32914
OG0000050	APOSC_20758, APOSC_27570	DANRE05388, DANRE16154, DANRE21370, DANRE14263, DANRE25768, DANRE00430, DANRE32860, DANRE42655, DANRE31654, DANRE32311, DANRE20964
OG0000050	APOSC_04902, APOSC_20128	DANRE33098, DANRE32869, DANRE33097, DANRE32870
OG0000051	APOSC_17477, APOSC_05458, APOSC_29038	DANRE04454, DANRE04455, DANRE04456, DANRE04458, DANRE04457
OG0000054	APOSC_11718, APOSC_21385, APOSC_21386, APOSC_08913, APOSC_09151	DANRE06791, DANRE15743
OG0000056	APOSC_00208, APOSC_00207, APOSC_00209	DANRE01913, DANRE01914, DANRE39460, DANRE39459, DANRE15877, DANRE15878, DANRE15879, DANRE39458, DANRE26297, DANRE26296, DANRE26298, DANRE26299, DANRE30224, DANRE30223, DANRE17147, DANRE17148, DANRE17149, DANRE30238, DANRE01911, DANRE01910
OG0000057	APOSC_23236, APOSC_24402, APOSC_06368	DANRE02560, DANRE02558, DANRE02559
OG0000058	APOSC_09888	DANRE01466, DANRE01467
OG0000058	APOSC_06035	DANRE03528
OG0000058	APOSC_07162	DANRE15450
OG0000059	APOSC_10184	DANRE23878, DANRE23877, DANRE23876
OG0000059	APOSC_00480	DANRE19797, DANRE19798, DANRE19796, DANRE13287, DANRE06156, DANRE06155, DANRE06072, DANRE06071, DANRE00651
OG0000060	APOSC_15645	DANRE15035, DANRE15034, DANRE05268
OG0000060	APOSC_08992	DANRE29003, DANRE24797, DANRE24796, DANRE38454, DANRE38453, DANRE38452, DANRE26104, DANRE12576
OG0000061	APOSC_14996	DANRE42668, DANRE35791, DANRE35790, DANRE14876, DANRE23684
OG0000061	APOSC_00292	DANRE21357, DANRE21356, DANRE21355, DANRE42236, DANRE42238, DANRE42237, DANRE03323, DANRE26316, DANRE26315, DANRE16979, DANRE30135, DANRE08363, DANRE08364, DANRE41399, DANRE24234, DANRE26883, DANRE26882, DANRE28200, DANRE36395, DANRE36396, DANRE36397, DANRE03215, DANRE23525, DANRE23526, DANRE28197, DANRE28196, DANRE28198, DANRE28195, DANRE28199, DANRE28194, DANRE28193, DANRE36398, DANRE24481, DANRE24482
OG0000061	APOSC_26114, APOSC_02472	DANRE26341, DANRE29170
OG0000062	APOSC_13553, APOSC_13555, APOSC_22259, APOSC_22260, APOSC_26763	DANRE08107, DANRE08104, DANRE08105, DANRE08102, DANRE08103, DANRE08106, DANRE08101, DANRE08100, DANRE28562, DANRE28568, DANRE28566, DANRE28565, DANRE28573, DANRE28574, DANRE28576, DANRE28571, DANRE28572, DANRE28569, DANRE28442, DANRE28441, DANRE28577, DANRE28578, DANRE43388, DANRE28579, DANRE28570
OG0000062	APOSC_18486, APOSC_01084	DANRE18807, DANRE18806
OG0000063	APOSC_25041	DANRE20941, DANRE20940, DANRE20939, DANRE43110, DANRE15766, DANRE15767, DANRE15768, DANRE15769, DANRE26798, DANRE26796, DANRE26797, DANRE35514, DANRE35513
OG0000063	APOSC_17949	DANRE30783, DANRE30785, DANRE30782, DANRE01805, DANRE01806, DANRE36784, DANRE36785
OG0000063	APOSC_22074, APOSC_13172, APOSC_22080	DANRE15770
OG0000063	APOSC_13886, APOSC_04832	DANRE19500, DANRE19501, DANRE11531, DANRE11532, DANRE04204, DANRE04205, DANRE21781
OG0000066	APOSC_20821	DANRE40339, DANRE40338, DANRE40337, DANRE40336
OG0000067	APOSC_06312, APOSC_24028, APOSC_22826, APOSC_27789, APOSC_07620, APOSC_22825, APOSC_12297, APOSC_15268, APOSC_06846	DANRE05059, DANRE06045, DANRE20513, DANRE39179
OG0000068	APOSC_20989, APOSC_25395, APOSC_02568	DANRE22551
OG0000069	APOSC_25357, APOSC_25356	DANRE26091
OG0000069	APOSC_27459	DANRE24751, DANRE34404, DANRE30153, DANRE08957, DANRE08956
OG0000069	APOSC_11021	DANRE37416
OG0000070	APOSC_18875, APOSC_15113, APOSC_18604, APOSC_18402, APOSC_17719, APOSC_06564, APOSC_13706, APOSC_09948	DANRE27422, DANRE27423, DANRE35328, DANRE35329, DANRE35330
OG0000072	APOSC_26208	DANRE15952, DANRE15953, DANRE00858, DANRE00856, DANRE00857, DANRE08517
OG0000072	APOSC_12820	DANRE08498, DANRE08497, DANRE06006
OG0000073	APOSC_07375	DANRE23559
OG0000073	APOSC_27321	DANRE23044, DANRE24104, DANRE24103, DANRE27229, DANRE39355, DANRE27228, DANRE27227, DANRE24102, DANRE30709, DANRE30708, DANRE12382
OG0000074	APOSC_10399, APOSC_08687, APOSC_25382	DANRE30953, DANRE23378, DANRE15580, DANRE43367, DANRE15578, DANRE15579, DANRE15576, DANRE15577, DANRE15581, DANRE15589, DANRE15590
OG0000074	APOSC_18220	DANRE17935
OG0000074	APOSC_05606, APOSC_18640, APOSC_15236, APOSC_01404, APOSC_16347, APOSC_00195, APOSC_13504	DANRE25680
OG0000075	APOSC_14489	DANRE03709, DANRE26359, DANRE26360
OG0000075	APOSC_10923	DANRE41686, DANRE41687, DANRE35873, DANRE35872
OG0000075	APOSC_12033	DANRE09985, DANRE09984, DANRE09983, DANRE02787
OG0000075	APOSC_07538	DANRE41688, DANRE23132
OG0000075	APOSC_06620	DANRE36834, DANRE40515, DANRE12778
OG0000075	APOSC_08706	DANRE30937, DANRE41300
OG0000075	APOSC_20859	DANRE24998, DANRE31372, DANRE31373, DANRE22408, DANRE02483
OG0000075	APOSC_19754	DANRE31021, DANRE31022
OG0000077	APOSC_15032	DANRE16390, DANRE20043, DANRE07192, DANRE00591, DANRE00590, DANRE39691
OG0000077	APOSC_19689	DANRE11696, DANRE11492, DANRE16170, DANRE41853, DANRE41854, DANRE17386, DANRE40644, DANRE19656, DANRE19657
OG0000078	APOSC_28185, APOSC_19588, APOSC_19587, APOSC_28007	DANRE39894, DANRE39895, DANRE39896, DANRE26111, DANRE26112, DANRE36848, DANRE30865, DANRE30864
OG0000079	APOSC_14016, APOSC_18637, APOSC_09201	DANRE41428, DANRE41431, DANRE41432, DANRE41429, DANRE41430, DANRE23441, DANRE01701, DANRE07129, DANRE07131, DANRE06662
OG0000079	APOSC_14696	DANRE00163, DANRE00164, DANRE00165, DANRE19082, DANRE19083, DANRE06228, DANRE06227, DANRE06226, DANRE06225, DANRE06229
OG0000079	APOSC_10552, APOSC_10551	DANRE08425, DANRE08424, DANRE08423, DANRE08420, DANRE08416, DANRE08419, DANRE08415, DANRE01231, DANRE01230, DANRE08421, DANRE08418, DANRE08422, DANRE40812, DANRE40811, DANRE40809, DANRE40810, DANRE33381, DANRE40813
OG0000079	APOSC_06744	DANRE01827, DANRE01825, DANRE01824, DANRE01826
OG0000082	APOSC_14161	DANRE33308
OG0000082	APOSC_20096	DANRE06377
OG0000082	APOSC_13154	DANRE00971
OG0000082	APOSC_11149	DANRE00969, DANRE00972, DANRE00973, DANRE08030, DANRE08710
OG0000082	APOSC_00026	DANRE08031
OG0000082	APOSC_17996, APOSC_15864, APOSC_18149	DANRE00970
OG0000083	APOSC_20881	DANRE01056, DANRE08510, DANRE34355, DANRE07334, DANRE07333
OG0000084	APOSC_25447	DANRE07814, DANRE11583, DANRE40782, DANRE01412, DANRE01413, DANRE15534, DANRE15533, DANRE15962, DANRE15961, DANRE06459
OG0000084	APOSC_27325	DANRE33759
OG0000085	APOSC_13201	DANRE03872, DANRE13568, DANRE10642, DANRE42815, DANRE01947
OG0000085	APOSC_00722	DANRE34010, DANRE34949, DANRE08303, DANRE08302, DANRE35408
OG0000085	APOSC_00825	DANRE10316
OG0000085	APOSC_21002	DANRE33578, DANRE33579
OG0000085	APOSC_25216	DANRE14204, DANRE04562
OG0000086	APOSC_09013	DANRE07765
OG0000087	APOSC_20552	DANRE02654, DANRE02653
OG0000087	APOSC_26769, APOSC_05507	DANRE42135
OG0000087	APOSC_26553, APOSC_26554	DANRE22805, DANRE22804
OG0000088	APOSC_25039, APOSC_29170, APOSC_01733, APOSC_28334, APOSC_03375, APOSC_28335, APOSC_05697, APOSC_25335, APOSC_07827	DANRE05341, DANRE04380, DANRE25416, DANRE12560, DANRE26544, DANRE23867, DANRE36501, DANRE26035
OG0000089	APOSC_18760	DANRE00866, DANRE06893, DANRE01120, DANRE01121, DANRE24411, DANRE18395, DANRE18394, DANRE18393
OG0000089	APOSC_22092, APOSC_06490	DANRE18392
OG0000090	APOSC_26110	DANRE14575, DANRE14574, DANRE08600, DANRE08601
OG0000090	APOSC_03937	DANRE14775, DANRE14776
OG0000094	APOSC_02606, APOSC_02607	DANRE31445, DANRE31446, DANRE02712, DANRE02711, DANRE02713, DANRE41259, DANRE40961, DANRE40960, DANRE40286
OG0000094	APOSC_21896, APOSC_21895	DANRE26291, DANRE26290, DANRE39959, DANRE39958, DANRE34093, DANRE34091, DANRE34092, DANRE34090, DANRE34094, DANRE34095, DANRE19459, DANRE19458, DANRE39957, DANRE29718, DANRE29719, DANRE29717, DANRE02593, DANRE02592, DANRE02591
OG0000096	APOSC_05085	DANRE06854, DANRE41409, DANRE15329, DANRE13475
OG0000096	APOSC_03162	DANRE40526, DANRE02165, DANRE31394, DANRE31393
OG0000096	APOSC_04023	DANRE02166
OG0000096	APOSC_25015	DANRE36045, DANRE24893
OG0000096	APOSC_00869	DANRE14485
OG0000096	APOSC_16859	DANRE25948, DANRE29004, DANRE39826, DANRE25796, DANRE38945, DANRE38946, DANRE38947
OG0000096	APOSC_21738	DANRE38250, DANRE38251, DANRE29625, DANRE29623
OG0000096	APOSC_21519	DANRE42235, DANRE21352, DANRE21353, DANRE21354
OG0000098	APOSC_13176, APOSC_13174, APOSC_13175	DANRE29634, DANRE03194, DANRE03198, DANRE03197, DANRE03193, DANRE03195, DANRE03196, DANRE38926, DANRE38925, DANRE42853, DANRE42852, DANRE42851
OG0000098	APOSC_27629, APOSC_10815	DANRE43096, DANRE26020, DANRE38317, DANRE38316, DANRE38318, DANRE26021, DANRE38315, DANRE33952, DANRE33953
OG0000099	APOSC_25391, APOSC_06951	DANRE19933
OG0000099	APOSC_01352, APOSC_23267	DANRE09258, DANRE09257, DANRE09256, DANRE09255, DANRE09254, DANRE13816, DANRE08158, DANRE13815, DANRE08996, DANRE09030, DANRE08830, DANRE08829, DANRE00831, DANRE00829
OG0000100	APOSC_10597	DANRE00427, DANRE20889, DANRE00226
OG0000101	APOSC_08305	DANRE38569, DANRE26131, DANRE26132
OG0000101	APOSC_23688	DANRE23836
OG0000101	APOSC_25079, APOSC_09250	DANRE42773, DANRE42772, DANRE21261, DANRE21260, DANRE42774
