Orthogroup	APOSC_ok	AENJA_ok
OG0000004	APOSC_18755	AENJA_25009
OG0000004	APOSC_28260, APOSC_25240	AENJA_04481
OG0000004	APOSC_27205, APOSC_09030, APOSC_06178, APOSC_04579, APOSC_04580, APOSC_19837	AENJA_00155, AENJA_00156, AENJA_25730, AENJA_04758, AENJA_14459
OG0000005	APOSC_24691	AENJA_12565
OG0000005	APOSC_28430, APOSC_12554	AENJA_11751, AENJA_17797, AENJA_13656, AENJA_17582, AENJA_06910, AENJA_07536, AENJA_08989
OG0000005	APOSC_26754	AENJA_12050
OG0000005	APOSC_18788, APOSC_17600, APOSC_23686, APOSC_20145, APOSC_28502, APOSC_09638, APOSC_03673, APOSC_25607, APOSC_10189, APOSC_26644	AENJA_09524, AENJA_07535, AENJA_03459, AENJA_00744, AENJA_03458, AENJA_12049, AENJA_03583, AENJA_26129
OG0000005	APOSC_23541	AENJA_26322, AENJA_26127, AENJA_12569, AENJA_08345
OG0000005	APOSC_21707	AENJA_02291, AENJA_00056, AENJA_09464
OG0000006	APOSC_10640	AENJA_22158
OG0000006	APOSC_17637	AENJA_13126
OG0000006	APOSC_08216	AENJA_02691
OG0000006	APOSC_08805	AENJA_20911
OG0000006	APOSC_27173, APOSC_08430, APOSC_08431	AENJA_07226
OG0000006	APOSC_25251, APOSC_25252	AENJA_22522
OG0000006	APOSC_19228	AENJA_09814
OG0000006	APOSC_11581	AENJA_00662
OG0000006	APOSC_02745	AENJA_15373
OG0000006	APOSC_28483, APOSC_20785, APOSC_25644	AENJA_18450
OG0000006	APOSC_06790, APOSC_06791	AENJA_09210
OG0000007	APOSC_04982	AENJA_18325
OG0000007	APOSC_19545	AENJA_18163
OG0000007	APOSC_11262	AENJA_00810
OG0000007	APOSC_29119	AENJA_25020
OG0000007	APOSC_07509	AENJA_23908
OG0000007	APOSC_11745	AENJA_18326
OG0000007	APOSC_20868	AENJA_06479, AENJA_16018
OG0000007	APOSC_25152	AENJA_18328
OG0000007	APOSC_15698	AENJA_11851
OG0000007	APOSC_04562	AENJA_09687
OG0000007	APOSC_09541, APOSC_09542	AENJA_07358
OG0000007	APOSC_22651	AENJA_11277
OG0000007	APOSC_10715	AENJA_22886
OG0000007	APOSC_26829	AENJA_20902
OG0000007	APOSC_17950	AENJA_16981
OG0000007	APOSC_07482	AENJA_26507
OG0000008	APOSC_12318	AENJA_21419
OG0000008	APOSC_21668	AENJA_21542
OG0000008	APOSC_05395	AENJA_24404, AENJA_14450
OG0000008	APOSC_21976, APOSC_21294, APOSC_21293	AENJA_21421, AENJA_04271
OG0000008	APOSC_25161	AENJA_00959
OG0000009	APOSC_02892	AENJA_01292, AENJA_04656, AENJA_14742
OG0000009	APOSC_21088	AENJA_25388
OG0000009	APOSC_25141	AENJA_13658, AENJA_07747
OG0000009	APOSC_14853	AENJA_00113, AENJA_11818
OG0000009	APOSC_04604	AENJA_25347
OG0000009	APOSC_16035	AENJA_03229, AENJA_08449, AENJA_02891, AENJA_01343
OG0000009	APOSC_02463	AENJA_12983
OG0000009	APOSC_08876	AENJA_12645
OG0000009	APOSC_15628	AENJA_26356, AENJA_04329
OG0000009	APOSC_17848	AENJA_17727, AENJA_21677
OG0000009	APOSC_14640	AENJA_26815, AENJA_17953
OG0000009	APOSC_18792, APOSC_21389, APOSC_26160, APOSC_24355, APOSC_01128	AENJA_22062
OG0000009	APOSC_09422	AENJA_04430, AENJA_13761, AENJA_01619, AENJA_12594, AENJA_08938
OG0000009	APOSC_11617	AENJA_19291, AENJA_12021, AENJA_05571, AENJA_12773
OG0000009	APOSC_16724, APOSC_19765	AENJA_22152
OG0000010	APOSC_12174	AENJA_06639
OG0000010	APOSC_14960	AENJA_15586
OG0000010	APOSC_11855	AENJA_16004, AENJA_09141
OG0000010	APOSC_18394, APOSC_00478, APOSC_18393, APOSC_18395, APOSC_12160	AENJA_00347
OG0000011	APOSC_02459	AENJA_16502
OG0000011	APOSC_11940	AENJA_19273, AENJA_01290
OG0000011	APOSC_24460	AENJA_08483, AENJA_20159, AENJA_01152
OG0000011	APOSC_21593	AENJA_06710
OG0000011	APOSC_28649	AENJA_18099
OG0000011	APOSC_24862	AENJA_11078
OG0000011	APOSC_01416, APOSC_25932	AENJA_02877, AENJA_17352
OG0000011	APOSC_13118	AENJA_14414
OG0000011	APOSC_19810	AENJA_17241, AENJA_22685, AENJA_26020
OG0000011	APOSC_13795, APOSC_12778	AENJA_21439
OG0000011	APOSC_01800	AENJA_23691
OG0000011	APOSC_09019, APOSC_09279, APOSC_11006, APOSC_12345	AENJA_24664
OG0000011	APOSC_11207	AENJA_01682
OG0000011	APOSC_13969, APOSC_10113	AENJA_22850
OG0000011	APOSC_24720	AENJA_24133, AENJA_12015
OG0000011	APOSC_20093	AENJA_00474, AENJA_17934
OG0000011	APOSC_22195	AENJA_12186
OG0000012	APOSC_26906	AENJA_21729, AENJA_07862, AENJA_07861
OG0000012	APOSC_13089	AENJA_02014
OG0000012	APOSC_13014, APOSC_18904, APOSC_16185, APOSC_27929, APOSC_28450, APOSC_10605	AENJA_22984, AENJA_22983
OG0000012	APOSC_00485, APOSC_13929, APOSC_27839, APOSC_02220, APOSC_02306, APOSC_12260, APOSC_27838, APOSC_16677, APOSC_16678, APOSC_19749, APOSC_06066, APOSC_04391	AENJA_06607
OG0000012	APOSC_26545	AENJA_02869
OG0000013	APOSC_16736	AENJA_11516
OG0000014	APOSC_12674	AENJA_09518, AENJA_09012
OG0000014	APOSC_19789	AENJA_12276, AENJA_23299
OG0000014	APOSC_00187	AENJA_25536
OG0000015	APOSC_08494	AENJA_19634
OG0000015	APOSC_14290, APOSC_28281, APOSC_03142	AENJA_25011
OG0000015	APOSC_04279	AENJA_18653
OG0000016	APOSC_05404	AENJA_04814, AENJA_14549
OG0000016	APOSC_06852, APOSC_19259	AENJA_07664
OG0000016	APOSC_09216	AENJA_11513
OG0000016	APOSC_00060, APOSC_00061, APOSC_17734, APOSC_26907	AENJA_26671, AENJA_26677
OG0000016	APOSC_26372, APOSC_26868, APOSC_26028	AENJA_21813, AENJA_16651
OG0000016	APOSC_14883	AENJA_02781
OG0000017	APOSC_21350	AENJA_08416, AENJA_23360
OG0000017	APOSC_13768, APOSC_04701	AENJA_05535, AENJA_05683, AENJA_04765, AENJA_17536, AENJA_11492
OG0000017	APOSC_10126	AENJA_25974, AENJA_24207, AENJA_07794, AENJA_19441, AENJA_07002, AENJA_08981
OG0000017	APOSC_04363	AENJA_00793
OG0000017	APOSC_17962	AENJA_05284, AENJA_20820, AENJA_23397
OG0000017	APOSC_16160	AENJA_20255, AENJA_12755, AENJA_11961, AENJA_18790, AENJA_13918, AENJA_10470, AENJA_03539, AENJA_15181
OG0000017	APOSC_27563	AENJA_16724, AENJA_21433, AENJA_25229, AENJA_26186
OG0000017	APOSC_14184, APOSC_24575, APOSC_11424, APOSC_16019, APOSC_08524	AENJA_00442
OG0000017	APOSC_17481	AENJA_14928, AENJA_06318
OG0000017	APOSC_14095	AENJA_08674, AENJA_21573
OG0000017	APOSC_11982	AENJA_20264, AENJA_00879
OG0000017	APOSC_11683	AENJA_13357
OG0000017	APOSC_01963	AENJA_06463
OG0000017	APOSC_00742, APOSC_00743	AENJA_05719, AENJA_19475, AENJA_19562, AENJA_23073, AENJA_21676, AENJA_10851, AENJA_14649
OG0000017	APOSC_28296	AENJA_12775, AENJA_13083, AENJA_06685, AENJA_01563
OG0000017	APOSC_15991	AENJA_10043
OG0000017	APOSC_27905	AENJA_26572, AENJA_20803
OG0000018	APOSC_17923	AENJA_26707, AENJA_02019, AENJA_10850, AENJA_17832, AENJA_06089, AENJA_04764, AENJA_25702, AENJA_25620, AENJA_26224, AENJA_03350, AENJA_17081
OG0000018	APOSC_01143, APOSC_05051, APOSC_27730, APOSC_15473, APOSC_09190, APOSC_02455	AENJA_24490, AENJA_10833
OG0000018	APOSC_04585, APOSC_04584	AENJA_00794, AENJA_03347
OG0000018	APOSC_18020	AENJA_20865
OG0000018	APOSC_25698	AENJA_10761, AENJA_12683
OG0000018	APOSC_08452, APOSC_21594, APOSC_14592	AENJA_07360
OG0000018	APOSC_15394	AENJA_25137
OG0000018	APOSC_12393	AENJA_18142
OG0000019	APOSC_11237	AENJA_02273
OG0000019	APOSC_11447	AENJA_11007, AENJA_11047, AENJA_17709
OG0000019	APOSC_14801, APOSC_11507	AENJA_24818
OG0000020	APOSC_14708	AENJA_21688, AENJA_05309
OG0000020	APOSC_20703	AENJA_01003, AENJA_08406
OG0000020	APOSC_13376	AENJA_15791
OG0000020	APOSC_28648	AENJA_12903
OG0000020	APOSC_26550	AENJA_16747
OG0000020	APOSC_09964	AENJA_15954
OG0000020	APOSC_00691	AENJA_16929
OG0000020	APOSC_03094	AENJA_04727
OG0000020	APOSC_05461	AENJA_11444
OG0000020	APOSC_07853	AENJA_07947
OG0000020	APOSC_14067	AENJA_14659
OG0000020	APOSC_25230	AENJA_12495
OG0000021	APOSC_23251, APOSC_13950, APOSC_23254, APOSC_23253	AENJA_21621, AENJA_21623
OG0000021	APOSC_11990	AENJA_14639
OG0000021	APOSC_13612	AENJA_26606, AENJA_10786
OG0000021	APOSC_02202	AENJA_24950
OG0000021	APOSC_27384	AENJA_19175
OG0000021	APOSC_09814	AENJA_25124
OG0000021	APOSC_03399	AENJA_17125
OG0000021	APOSC_23486, APOSC_20200	AENJA_10523
OG0000021	APOSC_00458, APOSC_17587, APOSC_13199, APOSC_11609, APOSC_23651, APOSC_17223, APOSC_20614	AENJA_13306, AENJA_20227
OG0000021	APOSC_04995, APOSC_08508, APOSC_08509, APOSC_11901, APOSC_23082	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711
OG0000023	APOSC_14758	AENJA_06341
OG0000023	APOSC_23823	AENJA_11919
OG0000023	APOSC_12992	AENJA_11618, AENJA_11620, AENJA_11621
OG0000023	APOSC_08983, APOSC_08982	AENJA_22520, AENJA_19106
OG0000023	APOSC_18183, APOSC_27088, APOSC_07209, APOSC_18870	AENJA_26230
OG0000023	APOSC_12268	AENJA_07520, AENJA_17438
OG0000023	APOSC_15754, APOSC_15753	AENJA_19908
OG0000023	APOSC_23115	AENJA_03895
OG0000023	APOSC_15512, APOSC_29076	AENJA_11915
OG0000024	APOSC_14174	AENJA_19836, AENJA_22674, AENJA_01541
OG0000024	APOSC_24397	AENJA_03429
OG0000024	APOSC_23909	AENJA_26384
OG0000024	APOSC_28972	AENJA_23336, AENJA_21942, AENJA_20896, AENJA_05575, AENJA_18891
OG0000024	APOSC_20140	AENJA_25408
OG0000024	APOSC_15738, APOSC_15739, APOSC_26406	AENJA_14854
OG0000024	APOSC_03353	AENJA_14951
OG0000024	APOSC_05070	AENJA_04797
OG0000024	APOSC_18490, APOSC_18489, APOSC_21491	AENJA_03136, AENJA_18708
OG0000024	APOSC_21649	AENJA_02356
OG0000024	APOSC_27461, APOSC_10842	AENJA_04068
OG0000025	APOSC_07695, APOSC_28723, APOSC_05951, APOSC_03667, APOSC_14715, APOSC_08289, APOSC_16063, APOSC_22831, APOSC_28153, APOSC_04066	AENJA_11195
OG0000025	APOSC_09169	AENJA_03985
OG0000025	APOSC_02742, APOSC_11466	AENJA_21079
OG0000025	APOSC_27399	AENJA_14413
OG0000025	APOSC_26832, APOSC_25716, APOSC_04817, APOSC_15835, APOSC_10002, APOSC_03320, APOSC_08050, APOSC_11235, APOSC_13630, APOSC_13492, APOSC_02242	AENJA_09551
OG0000026	APOSC_25312	AENJA_07099, AENJA_18950
OG0000026	APOSC_13965	AENJA_21657
OG0000026	APOSC_14214	AENJA_10129
OG0000027	APOSC_23292, APOSC_07467, APOSC_02536, APOSC_10438, APOSC_21792	AENJA_05706, AENJA_05707
OG0000028	APOSC_00641	AENJA_03335, AENJA_05182, AENJA_05184, AENJA_05181
OG0000028	APOSC_02251	AENJA_25112
OG0000028	APOSC_18684	AENJA_02274
OG0000028	APOSC_14441	AENJA_15999
OG0000028	APOSC_22599	AENJA_25121
OG0000028	APOSC_22919, APOSC_22920	AENJA_19954
OG0000029	APOSC_04700	AENJA_26395
OG0000029	APOSC_18084	AENJA_05610
OG0000029	APOSC_15506	AENJA_05280
OG0000030	APOSC_21869, APOSC_21866, APOSC_21868, APOSC_21867	AENJA_17283
OG0000030	APOSC_00359	AENJA_12274
OG0000030	APOSC_18052, APOSC_19478	AENJA_21030
OG0000030	APOSC_12431, APOSC_12430	AENJA_05226
OG0000031	APOSC_14687	AENJA_09856
OG0000031	APOSC_14535	AENJA_09858
OG0000031	APOSC_00328	AENJA_08759
OG0000031	APOSC_01319	AENJA_10722
OG0000031	APOSC_17680	AENJA_05740
OG0000031	APOSC_02579	AENJA_14258, AENJA_15917, AENJA_14260
OG0000031	APOSC_22997	AENJA_15028
OG0000032	APOSC_07613, APOSC_02397, APOSC_12691, APOSC_10351, APOSC_01318, APOSC_23129, APOSC_10044	AENJA_15445, AENJA_10949
OG0000032	APOSC_24218	AENJA_12718
OG0000032	APOSC_15369, APOSC_23030, APOSC_14347, APOSC_17486, APOSC_15168, APOSC_06921, APOSC_26892, APOSC_15726	AENJA_12280, AENJA_12491
OG0000032	APOSC_11250, APOSC_11249, APOSC_24933	AENJA_06513
OG0000034	APOSC_28767, APOSC_28766	AENJA_21749
OG0000034	APOSC_01056	AENJA_26717
OG0000034	APOSC_00389	AENJA_02791
OG0000034	APOSC_10138	AENJA_23686
OG0000034	APOSC_10830	AENJA_13785
OG0000034	APOSC_23397	AENJA_15701
OG0000034	APOSC_00072	AENJA_24919
OG0000034	APOSC_15909	AENJA_16616
OG0000035	APOSC_27035	AENJA_01174
OG0000035	APOSC_22023, APOSC_22024, APOSC_12588, APOSC_03857, APOSC_23863, APOSC_01826	AENJA_26793
OG0000035	APOSC_25872	AENJA_22033
OG0000035	APOSC_04998	AENJA_08825
OG0000035	APOSC_25573	AENJA_12732
OG0000035	APOSC_08656	AENJA_12364
OG0000035	APOSC_21135, APOSC_21136	AENJA_26037
OG0000035	APOSC_16251	AENJA_21682
OG0000035	APOSC_27270	AENJA_21683
OG0000036	APOSC_08020	AENJA_22120
OG0000036	APOSC_04631, APOSC_04630	AENJA_22191
OG0000036	APOSC_05772, APOSC_15090, APOSC_26588	AENJA_16633
OG0000036	APOSC_00378	AENJA_06167, AENJA_03477, AENJA_19964, AENJA_15639, AENJA_09986
OG0000036	APOSC_21353, APOSC_15807, APOSC_21905, APOSC_27485	AENJA_15638, AENJA_15641, AENJA_15644
OG0000036	APOSC_22964, APOSC_22965	AENJA_21299, AENJA_21302
OG0000036	APOSC_06557, APOSC_05790, APOSC_07698, APOSC_26587, APOSC_05773, APOSC_15091, APOSC_15092	AENJA_21301
OG0000037	APOSC_17096	AENJA_21842, AENJA_00885
OG0000037	APOSC_16399	AENJA_06908, AENJA_02989
OG0000037	APOSC_03749, APOSC_00065	AENJA_17768, AENJA_10696
OG0000037	APOSC_01516	AENJA_20944
OG0000037	APOSC_24133	AENJA_05483, AENJA_06274
OG0000037	APOSC_28740	AENJA_13632
OG0000037	APOSC_09580, APOSC_09579	AENJA_22610
OG0000038	APOSC_26556, APOSC_03113	AENJA_05691
OG0000038	APOSC_28935, APOSC_28699, APOSC_05456, APOSC_13411, APOSC_17001, APOSC_06556	AENJA_26313
OG0000038	APOSC_17727, APOSC_26790, APOSC_06670, APOSC_12872, APOSC_10359, APOSC_20091, APOSC_10945, APOSC_22530	AENJA_16130
OG0000038	APOSC_05746	AENJA_05700
OG0000038	APOSC_08888	AENJA_05696
OG0000039	APOSC_00666	AENJA_10484, AENJA_20870, AENJA_17497
OG0000039	APOSC_17065	AENJA_07945
OG0000039	APOSC_22387	AENJA_20163
OG0000039	APOSC_06140, APOSC_06138, APOSC_06139, APOSC_14138, APOSC_03802, APOSC_26119, APOSC_03803, APOSC_06401, APOSC_25262	AENJA_07277
OG0000040	APOSC_12799, APOSC_05455, APOSC_11724, APOSC_11723, APOSC_18664, APOSC_11832, APOSC_16301, APOSC_16488, APOSC_28921, APOSC_07234	AENJA_11361
OG0000041	APOSC_19034	AENJA_08471
OG0000041	APOSC_26184	AENJA_24560
OG0000041	APOSC_00445, APOSC_29024	AENJA_03404, AENJA_03405
OG0000042	APOSC_17021, APOSC_22500	AENJA_20216
OG0000044	APOSC_25765	AENJA_12079
OG0000044	APOSC_27143	AENJA_26664
OG0000044	APOSC_11406	AENJA_06141
OG0000045	APOSC_16764	AENJA_25503
OG0000045	APOSC_22122, APOSC_09364, APOSC_16917	AENJA_09277
OG0000045	APOSC_22585, APOSC_21035, APOSC_21563, APOSC_17346	AENJA_04220, AENJA_24299
OG0000045	APOSC_08754	AENJA_18923, AENJA_18166, AENJA_08775
OG0000045	APOSC_22210, APOSC_25137, APOSC_21940	AENJA_20791
OG0000045	APOSC_07318	AENJA_09131
OG0000046	APOSC_27956	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759
OG0000046	APOSC_17204, APOSC_26711	AENJA_13407, AENJA_01687, AENJA_01592, AENJA_15828
OG0000047	APOSC_04373, APOSC_04376	AENJA_18097
OG0000047	APOSC_11509	AENJA_04006, AENJA_04734
OG0000047	APOSC_01752	AENJA_17021
OG0000047	APOSC_18729	AENJA_17689
OG0000047	APOSC_28474	AENJA_14228, AENJA_15629, AENJA_01851
OG0000047	APOSC_13017	AENJA_23065
OG0000047	APOSC_04377	AENJA_19353
OG0000047	APOSC_04375	AENJA_25047
OG0000048	APOSC_06436	AENJA_11619
OG0000048	APOSC_03154	AENJA_21713
OG0000048	APOSC_05588	AENJA_09360
OG0000048	APOSC_11695	AENJA_16735
OG0000048	APOSC_03220	AENJA_25506
OG0000049	APOSC_16875	AENJA_20702
OG0000049	APOSC_03799	AENJA_25756
OG0000049	APOSC_21344	AENJA_10359
OG0000049	APOSC_16928	AENJA_24580
OG0000049	APOSC_08279, APOSC_26768, APOSC_02986, APOSC_00276	AENJA_11158
OG0000049	APOSC_12037, APOSC_12038	AENJA_02953, AENJA_07586
OG0000049	APOSC_06675, APOSC_16013, APOSC_03058, APOSC_16012	AENJA_17680
OG0000050	APOSC_10217, APOSC_23849, APOSC_23848, APOSC_00680, APOSC_13214, APOSC_23760, APOSC_25497, APOSC_25946, APOSC_16367, APOSC_02924, APOSC_04909	AENJA_04055, AENJA_09800, AENJA_19193
OG0000050	APOSC_21186	AENJA_01528, AENJA_02355, AENJA_00087
OG0000050	APOSC_09709	AENJA_04583
OG0000050	APOSC_26396, APOSC_18309, APOSC_00165	AENJA_20003, AENJA_05632
OG0000050	APOSC_04902	AENJA_14035, AENJA_00443, AENJA_08509, AENJA_02533
OG0000050	APOSC_20128	AENJA_06100, AENJA_07442, AENJA_06078, AENJA_06097
OG0000051	APOSC_12406, APOSC_19227, APOSC_13392, APOSC_24381, APOSC_14991, APOSC_06697, APOSC_26726, APOSC_24540, APOSC_13520, APOSC_16788, APOSC_16789	AENJA_12662
OG0000051	APOSC_17477, APOSC_05458, APOSC_29038	AENJA_24250
OG0000052	APOSC_25118	AENJA_25939
OG0000053	APOSC_10479	AENJA_14744
OG0000053	APOSC_18028	AENJA_04227, AENJA_07517, AENJA_07516
OG0000053	APOSC_02303	AENJA_19076
OG0000053	APOSC_21377	AENJA_06824, AENJA_02299, AENJA_15417
OG0000053	APOSC_21378, APOSC_28641, APOSC_01208, APOSC_23789	AENJA_26082
OG0000053	APOSC_19400, APOSC_15301, APOSC_25850	AENJA_25816, AENJA_09489
OG0000054	APOSC_11718, APOSC_21385, APOSC_21386, APOSC_08913, APOSC_09151	AENJA_06676, AENJA_23371
OG0000054	APOSC_12589	AENJA_12232, AENJA_06677
OG0000056	APOSC_00208, APOSC_00207, APOSC_00209	AENJA_20268
OG0000056	APOSC_28851	AENJA_08324, AENJA_08326, AENJA_10099
OG0000057	APOSC_23236, APOSC_24402, APOSC_06368	AENJA_11025
OG0000058	APOSC_09888	AENJA_23345
OG0000058	APOSC_22361, APOSC_16962, APOSC_27470, APOSC_25169, APOSC_25682	AENJA_10634
OG0000059	APOSC_10184	AENJA_13132
OG0000059	APOSC_17410	AENJA_17651
OG0000059	APOSC_25638	AENJA_18423, AENJA_19757
OG0000059	APOSC_08890	AENJA_26400
OG0000059	APOSC_00480	AENJA_11199, AENJA_02561, AENJA_02562
OG0000060	APOSC_15645	AENJA_17233
OG0000060	APOSC_26756	AENJA_19748
OG0000060	APOSC_08992	AENJA_23597
OG0000061	APOSC_14996	AENJA_07301
OG0000061	APOSC_00292	AENJA_07183
OG0000061	APOSC_02472	AENJA_26614, AENJA_08766
OG0000061	APOSC_22657, APOSC_15254	AENJA_06999
OG0000061	APOSC_00372	AENJA_07304
OG0000062	APOSC_20110, APOSC_00579, APOSC_00578, APOSC_25920	AENJA_11363
OG0000062	APOSC_02209	AENJA_21914
OG0000062	APOSC_22259, APOSC_22260, APOSC_26763	AENJA_09642
OG0000062	APOSC_18486, APOSC_01084	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995
OG0000062	APOSC_00580	AENJA_03699
OG0000063	APOSC_25041	AENJA_20321
OG0000063	APOSC_17949	AENJA_03789
OG0000063	APOSC_04214, APOSC_22074, APOSC_13172, APOSC_22080, APOSC_00283, APOSC_03289, APOSC_03344, APOSC_25427, APOSC_07856, APOSC_00623	AENJA_04323
OG0000063	APOSC_13886, APOSC_04832	AENJA_26394
OG0000064	APOSC_20441, APOSC_24674	AENJA_16750
OG0000064	APOSC_02280, APOSC_23584	AENJA_15514
OG0000064	APOSC_05495	AENJA_22603
OG0000065	APOSC_12531, APOSC_10714, APOSC_21764, APOSC_21765, APOSC_14736, APOSC_03698, APOSC_03697, APOSC_01129, APOSC_00150, APOSC_01985, APOSC_25088, APOSC_15108, APOSC_28621, APOSC_19931, APOSC_19932, APOSC_12157, APOSC_09424	AENJA_08288
OG0000065	APOSC_03762, APOSC_19098	AENJA_15523
OG0000066	APOSC_14672, APOSC_14673	AENJA_19946
OG0000066	APOSC_20821	AENJA_12655, AENJA_09505
OG0000066	APOSC_10537	AENJA_20318
OG0000066	APOSC_00077	AENJA_04513
OG0000066	APOSC_19084	AENJA_22621
OG0000067	APOSC_04289, APOSC_00615, APOSC_00616	AENJA_21171
OG0000067	APOSC_06312	AENJA_21686
OG0000067	APOSC_22826	AENJA_02413
OG0000067	APOSC_06846	AENJA_04270
OG0000068	APOSC_04447, APOSC_04446, APOSC_11083, APOSC_11080, APOSC_11082	AENJA_08649
OG0000068	APOSC_02568	AENJA_02187, AENJA_15847, AENJA_18813, AENJA_15846, AENJA_08645, AENJA_17392, AENJA_01993, AENJA_10902
OG0000068	APOSC_02111, APOSC_25732, APOSC_09494	AENJA_20175, AENJA_10908, AENJA_08647
OG0000069	APOSC_25357, APOSC_25356	AENJA_15982
OG0000070	APOSC_23675	AENJA_17946, AENJA_17947
OG0000070	APOSC_18875	AENJA_09128
OG0000070	APOSC_15113, APOSC_18604, APOSC_18402	AENJA_05824
OG0000070	APOSC_17719	AENJA_17346
OG0000070	APOSC_06564	AENJA_12868
OG0000070	APOSC_13706	AENJA_23218
OG0000070	APOSC_09948	AENJA_23720, AENJA_23723
OG0000071	APOSC_15139	AENJA_19944
OG0000071	APOSC_13628	AENJA_11228, AENJA_11157
OG0000071	APOSC_00250	AENJA_22629, AENJA_19685, AENJA_10216, AENJA_21722, AENJA_10228, AENJA_19682
OG0000072	APOSC_14045	AENJA_14652
OG0000072	APOSC_26208	AENJA_13128
OG0000072	APOSC_12820	AENJA_02450
OG0000072	APOSC_12732, APOSC_13636, APOSC_07172	AENJA_05444
OG0000072	APOSC_22786, APOSC_22112	AENJA_24050, AENJA_00746
OG0000073	APOSC_07375	AENJA_08518, AENJA_08515
OG0000073	APOSC_01871, APOSC_01872, APOSC_01870, APOSC_11296, APOSC_05382, APOSC_28014, APOSC_10969, APOSC_08177, APOSC_13622, APOSC_23229, APOSC_06244, APOSC_06245, APOSC_15423, APOSC_02893, APOSC_02894, APOSC_25469, APOSC_25468	AENJA_03975, AENJA_15428
OG0000074	APOSC_10399	AENJA_05555
OG0000074	APOSC_08687	AENJA_12312
OG0000074	APOSC_25382	AENJA_06058
OG0000074	APOSC_18220	AENJA_24714
OG0000074	APOSC_05606, APOSC_18640, APOSC_15236, APOSC_01404, APOSC_16347	AENJA_19802, AENJA_22095, AENJA_10992
OG0000074	APOSC_13504	AENJA_03334, AENJA_21322, AENJA_11103, AENJA_23926, AENJA_22408, AENJA_25285, AENJA_25284
OG0000075	APOSC_14489	AENJA_23745
OG0000075	APOSC_12033	AENJA_05831
OG0000075	APOSC_06620	AENJA_21406
OG0000075	APOSC_08706	AENJA_12918
OG0000075	APOSC_19754	AENJA_12839
OG0000076	APOSC_27192, APOSC_24774, APOSC_00610	AENJA_00663, AENJA_09864, AENJA_18581, AENJA_25057
