Orthogroup	APOSC_ok	ORYLA
OG0000010	APOSC_18394, APOSC_00478, APOSC_18393, APOSC_18395, APOSC_12160	ORYLA15708
OG0000010	APOSC_25939	ORYLA20398
OG0000012	APOSC_26906, APOSC_13089	ORYLA07628
OG0000012	APOSC_26545	ORYLA15199
OG0000013	APOSC_00689	ORYLA00386
OG0000013	APOSC_26024, APOSC_17612	ORYLA20078, ORYLA06697, ORYLA06696, ORYLA19175, ORYLA17235, ORYLA08330, ORYLA16166, ORYLA16167, ORYLA07272, ORYLA19251, ORYLA12627, ORYLA12626, ORYLA19586, ORYLA04041, ORYLA12625, ORYLA19174
OG0000014	APOSC_00187	ORYLA11600, ORYLA01088
OG0000015	APOSC_22269	ORYLA00867, ORYLA20430, ORYLA00866
OG0000015	APOSC_04279	ORYLA03899, ORYLA10757, ORYLA08711, ORYLA01414, ORYLA19970, ORYLA04333, ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513, ORYLA01230, ORYLA01413, ORYLA19971
OG0000016	APOSC_05404, APOSC_06852, APOSC_19259	ORYLA12720, ORYLA00945
OG0000016	APOSC_09216	ORYLA17171, ORYLA00784, ORYLA19764
OG0000016	APOSC_00060, APOSC_00061, APOSC_17734, APOSC_26907	ORYLA09921
OG0000016	APOSC_14883	ORYLA00030
OG0000016	APOSC_28721	ORYLA08665
OG0000016	APOSC_19884	ORYLA11245, ORYLA15380
OG0000018	APOSC_08452, APOSC_21594, APOSC_14592, APOSC_10136, APOSC_24463, APOSC_06216, APOSC_11694, APOSC_11405, APOSC_11402, APOSC_28174, APOSC_28173, APOSC_15394, APOSC_07808, APOSC_07807	ORYLA02836, ORYLA14501
OG0000018	APOSC_18141, APOSC_26690, APOSC_28962, APOSC_22915, APOSC_22631, APOSC_07163, APOSC_26689	ORYLA18860, ORYLA00684, ORYLA17944
OG0000019	APOSC_14801, APOSC_11507	ORYLA07041, ORYLA14014, ORYLA15975, ORYLA16411, ORYLA20089, ORYLA20088
OG0000020	APOSC_14708	ORYLA12531
OG0000020	APOSC_13376	ORYLA10559
OG0000020	APOSC_28648	ORYLA06663
OG0000020	APOSC_09964	ORYLA16727
OG0000020	APOSC_00691	ORYLA06780
OG0000020	APOSC_03094	ORYLA01097, ORYLA00349
OG0000020	APOSC_05461	ORYLA00902
OG0000020	APOSC_14067	ORYLA02546
OG0000020	APOSC_25230	ORYLA06519
OG0000021	APOSC_11990	ORYLA13904, ORYLA15936, ORYLA11094
OG0000021	APOSC_06563, APOSC_06562	ORYLA20207, ORYLA15834
OG0000021	APOSC_02202	ORYLA03698, ORYLA17601
OG0000021	APOSC_27384	ORYLA04373
OG0000021	APOSC_03399, APOSC_23486, APOSC_20200, APOSC_20201, APOSC_00458, APOSC_17587, APOSC_13199, APOSC_11609, APOSC_23651, APOSC_17223, APOSC_20614	ORYLA12092, ORYLA14389
OG0000021	APOSC_04995, APOSC_08508, APOSC_08509, APOSC_11901, APOSC_23082	ORYLA06753
OG0000023	APOSC_14758	ORYLA08126
OG0000023	APOSC_23823, APOSC_12992, APOSC_08983, APOSC_08982	ORYLA02861, ORYLA18687, ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476
OG0000023	APOSC_23115	ORYLA03721, ORYLA03720, ORYLA12643, ORYLA15685, ORYLA18659, ORYLA18660
OG0000024	APOSC_12646, APOSC_04236, APOSC_19476, APOSC_14174, APOSC_24397, APOSC_23909, APOSC_28972, APOSC_07572, APOSC_01461, APOSC_26217, APOSC_01854, APOSC_01855, APOSC_18488, APOSC_05397, APOSC_28827, APOSC_12673, APOSC_17746, APOSC_17532, APOSC_17533, APOSC_28434, APOSC_09826, APOSC_02940, APOSC_15787, APOSC_15998, APOSC_01155, APOSC_26603, APOSC_13066, APOSC_21939, APOSC_21316	ORYLA12557, ORYLA19130, ORYLA18208, ORYLA03774, ORYLA18873, ORYLA03822, ORYLA04064
OG0000024	APOSC_27461, APOSC_10842	ORYLA17936, ORYLA08736, ORYLA06589, ORYLA12747
OG0000024	APOSC_04012, APOSC_04013, APOSC_04014, APOSC_08549	ORYLA12762
OG0000024	APOSC_17589	ORYLA08413, ORYLA19485, ORYLA02911, ORYLA10288
OG0000026	APOSC_13965	ORYLA09539
OG0000028	APOSC_17838, APOSC_17839	ORYLA20303, ORYLA20302, ORYLA00834, ORYLA01103, ORYLA05749, ORYLA01547
OG0000029	APOSC_07574, APOSC_20436	ORYLA01422, ORYLA01423, ORYLA13081, ORYLA13154, ORYLA04292, ORYLA04294, ORYLA04293, ORYLA15257, ORYLA13110, ORYLA02813, ORYLA04764, ORYLA00213, ORYLA03112
OG0000029	APOSC_20307, APOSC_21722, APOSC_14165, APOSC_23954, APOSC_24664, APOSC_08971	ORYLA08651, ORYLA09837
OG0000030	APOSC_06833, APOSC_14874, APOSC_04381	ORYLA18077
OG0000030	APOSC_21869, APOSC_21866, APOSC_21868, APOSC_21867	ORYLA01628, ORYLA19626, ORYLA02922
OG0000030	APOSC_00359	ORYLA07170
OG0000030	APOSC_12149	ORYLA20234
OG0000031	APOSC_14687	ORYLA09861, ORYLA15740
OG0000031	APOSC_14535	ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771
OG0000031	APOSC_00328	ORYLA06561
OG0000031	APOSC_22115	ORYLA05367
OG0000031	APOSC_01319	ORYLA00795, ORYLA10394, ORYLA11971
OG0000031	APOSC_17680	ORYLA04591, ORYLA04917
OG0000031	APOSC_02579	ORYLA06754, ORYLA07156, ORYLA02513
OG0000031	APOSC_22997	ORYLA09459, ORYLA08614, ORYLA06390
OG0000031	APOSC_06756, APOSC_06755	ORYLA06240
OG0000032	APOSC_07613, APOSC_02397, APOSC_12691, APOSC_10351, APOSC_01318, APOSC_23129, APOSC_10044	ORYLA14771, ORYLA03482, ORYLA10827, ORYLA12826, ORYLA04475, ORYLA04474, ORYLA14976, ORYLA12717
OG0000032	APOSC_24218, APOSC_15369, APOSC_23030, APOSC_14347, APOSC_17486, APOSC_15168, APOSC_06921, APOSC_26892, APOSC_15726	ORYLA15502
OG0000032	APOSC_11250, APOSC_11249, APOSC_24933	ORYLA06416
OG0000034	APOSC_01056	ORYLA16358, ORYLA12476, ORYLA15138, ORYLA11195, ORYLA16147
OG0000034	APOSC_00389	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558
OG0000034	APOSC_10138	ORYLA07312
OG0000034	APOSC_10830	ORYLA12339, ORYLA14860
OG0000034	APOSC_23397	ORYLA19697
OG0000034	APOSC_15909	ORYLA14655
OG0000035	APOSC_27035	ORYLA16101
OG0000035	APOSC_25872	ORYLA17474, ORYLA12588, ORYLA14952
OG0000035	APOSC_04998	ORYLA11104, ORYLA14870, ORYLA12119
OG0000035	APOSC_25573	ORYLA18031, ORYLA17191, ORYLA15336, ORYLA11216
OG0000035	APOSC_08656, APOSC_21135, APOSC_21136	ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268
OG0000035	APOSC_27270	ORYLA17117, ORYLA14783
OG0000036	APOSC_08020, APOSC_04631, APOSC_04630, APOSC_25667	ORYLA15615, ORYLA15153, ORYLA07495, ORYLA20280, ORYLA12724
OG0000036	APOSC_21353, APOSC_15807, APOSC_21905, APOSC_27485	ORYLA20440, ORYLA11184
OG0000036	APOSC_22964, APOSC_22965, APOSC_06557, APOSC_05790, APOSC_07698, APOSC_26587, APOSC_05773, APOSC_15091, APOSC_15092	ORYLA12571
OG0000037	APOSC_01516	ORYLA10680, ORYLA05584, ORYLA10681, ORYLA11814, ORYLA12530, ORYLA11609, ORYLA10251, ORYLA04338, ORYLA01058
OG0000037	APOSC_24133	ORYLA05151, ORYLA08136, ORYLA03090
OG0000037	APOSC_28740	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448
OG0000037	APOSC_09580, APOSC_09579	ORYLA04725
OG0000038	APOSC_27834	ORYLA16079
OG0000038	APOSC_06537, APOSC_16047, APOSC_06107, APOSC_14280, APOSC_05817, APOSC_20988, APOSC_17092	ORYLA16179
OG0000038	APOSC_25222, APOSC_10656	ORYLA08393, ORYLA09754
OG0000039	APOSC_12842, APOSC_27514	ORYLA13584, ORYLA13588, ORYLA13587
OG0000039	APOSC_00666	ORYLA07496
OG0000039	APOSC_22387	ORYLA16124
OG0000039	APOSC_06140, APOSC_06138, APOSC_06139, APOSC_14138, APOSC_03802, APOSC_26119, APOSC_03803, APOSC_06401, APOSC_25262, APOSC_17567, APOSC_27255	ORYLA05812, ORYLA00801, ORYLA00802
OG0000040	APOSC_11722	ORYLA18356
OG0000040	APOSC_12799, APOSC_05455, APOSC_11724, APOSC_11723, APOSC_18664, APOSC_11832, APOSC_16301, APOSC_16488, APOSC_28921, APOSC_07234	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406
OG0000041	APOSC_19034	ORYLA07969, ORYLA14839, ORYLA15678, ORYLA15677
OG0000041	APOSC_26184	ORYLA16345, ORYLA07970, ORYLA13989, ORYLA15806, ORYLA13990, ORYLA15807, ORYLA14735, ORYLA19535, ORYLA15808, ORYLA14736, ORYLA19536, ORYLA12118
OG0000041	APOSC_00445	ORYLA13695, ORYLA09068
OG0000043	APOSC_12898	ORYLA03853, ORYLA11281, ORYLA00044, ORYLA03854
OG0000044	APOSC_25765	ORYLA04503, ORYLA10718, ORYLA02275, ORYLA17868, ORYLA05261
OG0000044	APOSC_03195	ORYLA01028, ORYLA01286, ORYLA09105, ORYLA12800
OG0000045	APOSC_22122, APOSC_09364, APOSC_16917	ORYLA09208, ORYLA09207
OG0000046	APOSC_27956	ORYLA00520
OG0000048	APOSC_06436	ORYLA17217
OG0000048	APOSC_05588	ORYLA08002
OG0000048	APOSC_11695	ORYLA11420
OG0000048	APOSC_03220	ORYLA15054
OG0000049	APOSC_16875	ORYLA11559, ORYLA19044, ORYLA04067, ORYLA03584
OG0000049	APOSC_03799	ORYLA13704, ORYLA13828, ORYLA15018
OG0000049	APOSC_10378	ORYLA11032, ORYLA11031, ORYLA14189, ORYLA20256, ORYLA14320, ORYLA15992, ORYLA14028, ORYLA14561, ORYLA15871
OG0000049	APOSC_13440	ORYLA14190, ORYLA14191, ORYLA11029
OG0000051	APOSC_17477, APOSC_05458, APOSC_29038	ORYLA05117
OG0000052	APOSC_24676, APOSC_06083, APOSC_25118, APOSC_15608, APOSC_21574, APOSC_12782, APOSC_22044	ORYLA18368, ORYLA18615, ORYLA19851
OG0000054	APOSC_11718, APOSC_21385, APOSC_21386, APOSC_08913, APOSC_09151	ORYLA00519
OG0000056	APOSC_00208, APOSC_00207, APOSC_00209	ORYLA07324, ORYLA00315, ORYLA13076, ORYLA07014, ORYLA16605, ORYLA00874, ORYLA00878, ORYLA16604, ORYLA13077
OG0000057	APOSC_23236, APOSC_24402, APOSC_06368	ORYLA13554, ORYLA12219
OG0000058	APOSC_06035	ORYLA18104
OG0000058	APOSC_22832, APOSC_21555	ORYLA18102
OG0000059	APOSC_10184	ORYLA09176
OG0000059	APOSC_00480	ORYLA04122, ORYLA03135, ORYLA01146
OG0000060	APOSC_15645	ORYLA01946, ORYLA04743
OG0000060	APOSC_08992	ORYLA16841, ORYLA08032, ORYLA12328, ORYLA14832, ORYLA15092
OG0000061	APOSC_14996	ORYLA09666, ORYLA08403, ORYLA01785, ORYLA15422
OG0000061	APOSC_00292	ORYLA10018, ORYLA07904, ORYLA07058, ORYLA16623, ORYLA08006, ORYLA08288, ORYLA08710, ORYLA09144, ORYLA06720, ORYLA07094, ORYLA13357, ORYLA13574, ORYLA07095, ORYLA13356, ORYLA06400, ORYLA19115
OG0000061	APOSC_26114, APOSC_02472	ORYLA07060, ORYLA08273
OG0000062	APOSC_13553, APOSC_13555, APOSC_22259, APOSC_22260, APOSC_26763	ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546
OG0000062	APOSC_18486, APOSC_01084	ORYLA10585, ORYLA11804
OG0000063	APOSC_16969	ORYLA07168
OG0000063	APOSC_25041	ORYLA06843, ORYLA13091, ORYLA13092, ORYLA07328, ORYLA00312, ORYLA12933
OG0000063	APOSC_17949	ORYLA19987, ORYLA10868, ORYLA20199
OG0000063	APOSC_13886, APOSC_04832	ORYLA14082, ORYLA04940, ORYLA08134
OG0000066	APOSC_20821	ORYLA06398
OG0000067	APOSC_06312, APOSC_24028, APOSC_22826, APOSC_27789, APOSC_07620, APOSC_22825, APOSC_12297, APOSC_15268, APOSC_06846	ORYLA04851, ORYLA01183, ORYLA06203, ORYLA19414
OG0000069	APOSC_27459	ORYLA08015
OG0000069	APOSC_07708	ORYLA00084, ORYLA03826
OG0000070	APOSC_18875, APOSC_15113, APOSC_18604, APOSC_18402, APOSC_17719, APOSC_06564, APOSC_13706, APOSC_09948	ORYLA07085, ORYLA17312
OG0000072	APOSC_26208	ORYLA00527, ORYLA04050, ORYLA03176
OG0000072	APOSC_12820	ORYLA20464
OG0000073	APOSC_07375	ORYLA20002
OG0000073	APOSC_27321	ORYLA09058, ORYLA06772, ORYLA12397, ORYLA18725
OG0000074	APOSC_10399, APOSC_08687, APOSC_25382	ORYLA10949, ORYLA14220, ORYLA15431, ORYLA07396, ORYLA07397
OG0000075	APOSC_14489	ORYLA08229, ORYLA07050
OG0000075	APOSC_10923	ORYLA10050
OG0000075	APOSC_12033	ORYLA05870, ORYLA14226
OG0000075	APOSC_07538	ORYLA10049, ORYLA15751
OG0000075	APOSC_06620	ORYLA13961, ORYLA13960, ORYLA15787, ORYLA15785, ORYLA15786, ORYLA20334
OG0000075	APOSC_08706	ORYLA11054, ORYLA15824
OG0000075	APOSC_20859	ORYLA14687, ORYLA10924, ORYLA15926
OG0000075	APOSC_19754	ORYLA19688
OG0000077	APOSC_15032	ORYLA00390, ORYLA03856, ORYLA01218, ORYLA02852, ORYLA17787
OG0000077	APOSC_19689	ORYLA10378, ORYLA11807, ORYLA10356, ORYLA09729, ORYLA17450
OG0000078	APOSC_28185, APOSC_19588, APOSC_19587, APOSC_28007	ORYLA13083, ORYLA13994, ORYLA10833
OG0000079	APOSC_14016, APOSC_18637, APOSC_09201	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903
OG0000079	APOSC_14696	ORYLA02351, ORYLA01210, ORYLA04604
OG0000079	APOSC_10552, APOSC_10551	ORYLA04303, ORYLA04302, ORYLA14111, ORYLA18726
OG0000079	APOSC_06744	ORYLA13165
OG0000080	APOSC_15378	ORYLA09642, ORYLA12801
OG0000082	APOSC_14161	ORYLA02580
OG0000082	APOSC_20096	ORYLA01470
OG0000082	APOSC_05443, APOSC_27848, APOSC_13154, APOSC_11148, APOSC_10803, APOSC_18436, APOSC_27594, APOSC_20710, APOSC_10804, APOSC_10807, APOSC_10806, APOSC_23423	ORYLA09330
OG0000082	APOSC_11149	ORYLA03293, ORYLA05560
OG0000082	APOSC_17996	ORYLA19108
OG0000083	APOSC_20881	ORYLA04024, ORYLA20424
OG0000084	APOSC_25447	ORYLA03408, ORYLA10403, ORYLA17750, ORYLA02676, ORYLA07195, ORYLA01287
OG0000085	APOSC_13201	ORYLA08236, ORYLA01683, ORYLA05503, ORYLA09818
OG0000085	APOSC_00722	ORYLA04311, ORYLA03740, ORYLA02606
OG0000085	APOSC_00825	ORYLA06168
OG0000085	APOSC_21002	ORYLA17935
OG0000085	APOSC_25216	ORYLA02243, ORYLA05178
OG0000086	APOSC_09013	ORYLA18822
OG0000087	APOSC_06838, APOSC_06839, APOSC_06840	ORYLA07293
OG0000087	APOSC_26553, APOSC_26554	ORYLA15867
OG0000088	APOSC_25039, APOSC_29170, APOSC_01733, APOSC_28334, APOSC_03375, APOSC_28335, APOSC_05697, APOSC_25335, APOSC_07827	ORYLA04999, ORYLA08099, ORYLA14560, ORYLA12098, ORYLA15363, ORYLA09175, ORYLA13524
OG0000089	APOSC_18760	ORYLA03928, ORYLA01015, ORYLA09345, ORYLA11332
OG0000090	APOSC_26110	ORYLA02080, ORYLA06082
OG0000090	APOSC_03937	ORYLA01746, ORYLA06194
OG0000094	APOSC_02606, APOSC_02607	ORYLA11069, ORYLA13785, ORYLA15547, ORYLA16049, ORYLA16240
OG0000094	APOSC_21896, APOSC_21895	ORYLA07022, ORYLA13648, ORYLA16827, ORYLA02928, ORYLA18149
OG0000096	APOSC_05085	ORYLA01048, ORYLA09916, ORYLA08764, ORYLA06904, ORYLA03328
OG0000096	APOSC_03162	ORYLA16077, ORYLA13956, ORYLA11296
OG0000096	APOSC_25015	ORYLA13747, ORYLA08870
OG0000096	APOSC_16859	ORYLA15103, ORYLA16842, ORYLA19281, ORYLA15104
OG0000096	APOSC_21738	ORYLA12353, ORYLA17186
OG0000096	APOSC_21519	ORYLA10017
OG0000098	APOSC_13176, APOSC_13174, APOSC_13175	ORYLA17178, ORYLA07954, ORYLA12107, ORYLA12108, ORYLA09777
OG0000098	APOSC_27629, APOSC_10815	ORYLA12605, ORYLA17802, ORYLA17803, ORYLA14930, ORYLA14929, ORYLA14928, ORYLA12061, ORYLA17722, ORYLA17721
OG0000099	APOSC_01352, APOSC_23267	ORYLA05907, ORYLA01597, ORYLA03439, ORYLA11498, ORYLA05408, ORYLA05964, ORYLA03167, ORYLA04063
OG0000101	APOSC_08305	ORYLA12058
OG0000101	APOSC_23688	ORYLA09166, ORYLA09165
OG0000101	APOSC_25079, APOSC_09250	ORYLA09845, ORYLA13979, ORYLA09844, ORYLA08653, ORYLA08654
OG0000102	APOSC_11388	ORYLA19358, ORYLA00094
OG0000103	APOSC_08194	ORYLA06785, ORYLA13767, ORYLA13768, ORYLA18738, ORYLA18739, ORYLA16588, ORYLA16584, ORYLA16587, ORYLA18654, ORYLA16586, ORYLA15171, ORYLA18507, ORYLA11651, ORYLA06786, ORYLA06787, ORYLA08966
OG0000103	APOSC_19265	ORYLA05784, ORYLA17049, ORYLA00063, ORYLA17050, ORYLA16263, ORYLA00786, ORYLA17085, ORYLA00059
OG0000104	APOSC_15082, APOSC_15083, APOSC_15085, APOSC_15084	ORYLA03680, ORYLA06072
OG0000104	APOSC_11443, APOSC_11444, APOSC_11442	ORYLA19284, ORYLA06159, ORYLA19393, ORYLA08226
OG0000104	APOSC_16135	ORYLA03679
OG0000104	APOSC_04087, APOSC_04088	ORYLA09408
OG0000104	APOSC_13374	ORYLA14236, ORYLA14756, ORYLA10856
OG0000106	APOSC_22868	ORYLA15151, ORYLA15152, ORYLA06558, ORYLA09282
OG0000106	APOSC_21078	ORYLA06794
OG0000106	APOSC_19922, APOSC_04238, APOSC_13779, APOSC_13776, APOSC_13777, APOSC_13780, APOSC_13778, APOSC_25862, APOSC_25863	ORYLA05764, ORYLA14913, ORYLA14914
OG0000108	APOSC_10956	ORYLA11649, ORYLA11648, ORYLA16478, ORYLA16477
OG0000113	APOSC_22087, APOSC_26451	ORYLA17645, ORYLA13433
OG0000113	APOSC_05289, APOSC_24456, APOSC_21846, APOSC_16966, APOSC_27198, APOSC_04616, APOSC_09550, APOSC_06453, APOSC_14352	ORYLA15283
OG0000114	APOSC_10928, APOSC_00248, APOSC_23655, APOSC_06012, APOSC_17348, APOSC_05416	ORYLA00753, ORYLA04661, ORYLA14079, ORYLA02708, ORYLA14069, ORYLA20181, ORYLA17626, ORYLA17625, ORYLA15653
OG0000115	APOSC_04786	ORYLA10019, ORYLA12386
OG0000116	APOSC_28097, APOSC_09224	ORYLA19541
OG0000119	APOSC_11483	ORYLA06828, ORYLA09873, ORYLA13916, ORYLA00923, ORYLA07823
OG0000119	APOSC_20728, APOSC_03029, APOSC_22358, APOSC_01445, APOSC_04311, APOSC_04310, APOSC_02102	ORYLA09647, ORYLA14223, ORYLA16119, ORYLA05654
OG0000119	APOSC_19027, APOSC_11438, APOSC_25237, APOSC_25238	ORYLA09477, ORYLA05169
OG0000120	APOSC_04315	ORYLA02744, ORYLA02745, ORYLA18396, ORYLA14915
OG0000120	APOSC_18873	ORYLA18874
OG0000120	APOSC_13215	ORYLA01786, ORYLA01787
OG0000120	APOSC_05045	ORYLA09667
OG0000121	APOSC_24649, APOSC_24650, APOSC_11574, APOSC_15665, APOSC_05374, APOSC_28387, APOSC_12126, APOSC_08548, APOSC_10960, APOSC_00676, APOSC_02343	ORYLA19087, ORYLA18511
OG0000122	APOSC_25177	ORYLA07892, ORYLA16400, ORYLA09254, ORYLA06471
OG0000122	APOSC_11178	ORYLA02327, ORYLA17983, ORYLA02410, ORYLA19820, ORYLA19819, ORYLA01684, ORYLA06197, ORYLA08626, ORYLA09819, ORYLA20153
OG0000123	APOSC_03443	ORYLA19007, ORYLA01318, ORYLA03924, ORYLA00364
OG0000123	APOSC_20465	ORYLA07863, ORYLA17749, ORYLA01334, ORYLA03949
OG0000123	APOSC_23180	ORYLA04317, ORYLA01144
OG0000124	APOSC_29022	ORYLA04499, ORYLA01264
OG0000124	APOSC_26551	ORYLA16732, ORYLA16407, ORYLA16733, ORYLA07798
OG0000124	APOSC_03695	ORYLA05871, ORYLA01892, ORYLA14227, ORYLA16018, ORYLA14228, ORYLA16019
OG0000124	APOSC_13919	ORYLA04689
OG0000124	APOSC_09834	ORYLA11954, ORYLA03395, ORYLA00019, ORYLA12516
OG0000125	APOSC_10519, APOSC_10520, APOSC_10518	ORYLA01994, ORYLA06133, ORYLA07833, ORYLA15765, ORYLA14368
OG0000125	APOSC_27450	ORYLA01977, ORYLA08228, ORYLA17147
OG0000125	APOSC_26262, APOSC_07039, APOSC_19200	ORYLA12115
OG0000126	APOSC_16760	ORYLA08773, ORYLA09545, ORYLA01000
OG0000126	APOSC_16759	ORYLA02839
OG0000126	APOSC_21117	ORYLA09118
OG0000126	APOSC_28093	ORYLA02980, ORYLA13012, ORYLA19785, ORYLA05724, ORYLA19714, ORYLA14802
OG0000127	APOSC_24103	ORYLA09546, ORYLA01017, ORYLA13298
OG0000127	APOSC_09690	ORYLA18247, ORYLA09922
OG0000127	APOSC_02788	ORYLA05476, ORYLA10382
OG0000127	APOSC_16052, APOSC_16050, APOSC_16051	ORYLA11714, ORYLA16210, ORYLA09241, ORYLA09240
OG0000127	APOSC_04103	ORYLA16687, ORYLA17012, ORYLA18446, ORYLA16683
OG0000128	APOSC_22700, APOSC_06337	ORYLA17289
OG0000128	APOSC_23630, APOSC_23631, APOSC_15987, APOSC_15026, APOSC_22520, APOSC_16380	ORYLA03587
OG0000129	APOSC_12123, APOSC_24173	ORYLA19656, ORYLA05200, ORYLA05199, ORYLA05198, ORYLA07545, ORYLA18786, ORYLA11464, ORYLA10766
OG0000129	APOSC_21068	ORYLA04565, ORYLA03107, ORYLA04189, ORYLA04190, ORYLA07452
OG0000130	APOSC_11111	ORYLA06999, ORYLA11637, ORYLA11367
OG0000130	APOSC_28750	ORYLA17513, ORYLA02633, ORYLA02632, ORYLA06522, ORYLA08153, ORYLA04772
OG0000131	APOSC_21472, APOSC_03272, APOSC_06150	ORYLA02651, ORYLA17218
OG0000132	APOSC_20151, APOSC_15845, APOSC_15846	ORYLA13789
OG0000132	APOSC_13028, APOSC_01542, APOSC_27288, APOSC_18201, APOSC_28955, APOSC_10689	ORYLA03852, ORYLA04393, ORYLA00046, ORYLA00081, ORYLA00043
OG0000132	APOSC_24064, APOSC_09777, APOSC_09775, APOSC_09776	ORYLA08009
