Orthogroup	APOSC_ok	CAEEL
OG0000013	APOSC_22031, APOSC_08183, APOSC_13994, APOSC_09045, APOSC_26026, APOSC_00689, APOSC_26024, APOSC_17612, APOSC_16736, APOSC_08254, APOSC_05351, APOSC_14121, APOSC_11339, APOSC_25496, APOSC_21152, APOSC_27245, APOSC_17089	CAEEL19127
OG0000015	APOSC_28752	CAEEL07962, CAEEL08800, CAEEL08801, CAEEL08799, CAEEL20727, CAEEL14381, CAEEL17815, CAEEL12449, CAEEL00283, CAEEL04309
OG0000015	APOSC_04279	CAEEL15587
OG0000016	APOSC_05404, APOSC_06852, APOSC_19259	CAEEL20493
OG0000016	APOSC_09217, APOSC_09216	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078
OG0000016	APOSC_00060, APOSC_00061, APOSC_17734, APOSC_26907, APOSC_26372, APOSC_26868, APOSC_26028	CAEEL18647
OG0000019	APOSC_15479, APOSC_17249, APOSC_17250, APOSC_21840	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513
OG0000020	APOSC_00691	CAEEL00627
OG0000020	APOSC_05461	CAEEL05927
OG0000020	APOSC_14067	CAEEL13362
OG0000020	APOSC_25230	CAEEL09273
OG0000021	APOSC_11990	CAEEL15603
OG0000021	APOSC_02202	CAEEL00422
OG0000021	APOSC_23486, APOSC_20200	CAEEL00784, CAEEL15377
OG0000023	APOSC_23115	CAEEL13426
OG0000023	APOSC_29076	CAEEL20104
OG0000028	APOSC_18684	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656
OG0000028	APOSC_17838, APOSC_17839	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517
OG0000028	APOSC_22919, APOSC_22920	CAEEL19515, CAEEL07887
OG0000029	APOSC_07574, APOSC_20436	CAEEL11851, CAEEL20612
OG0000030	APOSC_21869, APOSC_21866, APOSC_21868, APOSC_21867	CAEEL00681, CAEEL00682, CAEEL00680
OG0000030	APOSC_18052, APOSC_19478, APOSC_12431, APOSC_12430	CAEEL04353
OG0000030	APOSC_21747	CAEEL12022, CAEEL10844, CAEEL09837, CAEEL06465, CAEEL19862, CAEEL12505
OG0000030	APOSC_27610	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830
OG0000031	APOSC_14687, APOSC_14535	CAEEL02023
OG0000031	APOSC_00328	CAEEL04718
OG0000031	APOSC_17680	CAEEL07076
OG0000032	APOSC_07613, APOSC_02397, APOSC_12691, APOSC_10351, APOSC_01318, APOSC_23129, APOSC_10044	CAEEL19615
OG0000032	APOSC_24218, APOSC_15369, APOSC_23030, APOSC_14347, APOSC_17486, APOSC_15168, APOSC_06921, APOSC_26892, APOSC_15726, APOSC_11250, APOSC_11249, APOSC_24933	CAEEL08739, CAEEL18742, CAEEL18342
OG0000034	APOSC_28767, APOSC_28766	CAEEL07900
OG0000034	APOSC_01056	CAEEL13037
OG0000034	APOSC_00389	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034
OG0000034	APOSC_10138	CAEEL01132
OG0000034	APOSC_10830	CAEEL03140, CAEEL03141
OG0000035	APOSC_27035	CAEEL01943
OG0000035	APOSC_16251	CAEEL20458
OG0000036	APOSC_08020, APOSC_04631, APOSC_04630, APOSC_25667	CAEEL15057
OG0000036	APOSC_22964, APOSC_22965, APOSC_06557, APOSC_05790, APOSC_07698, APOSC_26587, APOSC_05773, APOSC_15091, APOSC_15092	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948
OG0000037	APOSC_24133	CAEEL17629, CAEEL17628
OG0000037	APOSC_28740	CAEEL20275
OG0000037	APOSC_09580, APOSC_09579	CAEEL09012, CAEEL08645
OG0000038	APOSC_20988	CAEEL05762
OG0000038	APOSC_25222, APOSC_10656	CAEEL07106
OG0000039	APOSC_22387	CAEEL00466
OG0000039	APOSC_06140, APOSC_06138, APOSC_06139, APOSC_14138, APOSC_03802, APOSC_26119, APOSC_03803, APOSC_06401, APOSC_25262	CAEEL18993
OG0000041	APOSC_19034	CAEEL16024, CAEEL05122, CAEEL05121, CAEEL19747
OG0000041	APOSC_26184	CAEEL05494
OG0000044	APOSC_11406	CAEEL08025
OG0000048	APOSC_04736, APOSC_11238	CAEEL17799
OG0000048	APOSC_11343	CAEEL04880, CAEEL12789, CAEEL04867, CAEEL06450, CAEEL06447, CAEEL04866
OG0000049	APOSC_16875	CAEEL02028
OG0000049	APOSC_03799	CAEEL19631
OG0000049	APOSC_10378	CAEEL10349
OG0000051	APOSC_27336, APOSC_26514, APOSC_20666, APOSC_22461, APOSC_22344, APOSC_05956, APOSC_05955, APOSC_12406, APOSC_19227, APOSC_13392, APOSC_24381, APOSC_14991, APOSC_06697, APOSC_26726, APOSC_24540, APOSC_13520, APOSC_16788, APOSC_16789	CAEEL18565
OG0000051	APOSC_17477, APOSC_05458, APOSC_29038	CAEEL09464
OG0000054	APOSC_11718, APOSC_21385, APOSC_21386, APOSC_08913, APOSC_09151	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176
OG0000054	APOSC_12589	CAEEL16985, CAEEL06374, CAEEL13227, CAEEL14665, CAEEL12767, CAEEL15574, CAEEL15151
OG0000056	APOSC_00208, APOSC_00207, APOSC_00209	CAEEL05273
OG0000058	APOSC_09888	CAEEL06550
OG0000058	APOSC_12335, APOSC_12752, APOSC_07162, APOSC_24215, APOSC_12336	CAEEL09297
OG0000059	APOSC_17410	CAEEL08332
OG0000061	APOSC_14996	CAEEL08422
OG0000061	APOSC_22657, APOSC_15254	CAEEL07898
OG0000061	APOSC_00372	CAEEL20509
OG0000062	APOSC_18486, APOSC_01084	CAEEL02955
OG0000063	APOSC_25041	CAEEL05773
OG0000063	APOSC_13886, APOSC_04832	CAEEL04400
OG0000066	APOSC_13619, APOSC_03780, APOSC_14672, APOSC_14673, APOSC_20821, APOSC_10537, APOSC_19939, APOSC_15688	CAEEL20109
OG0000068	APOSC_04447, APOSC_04446, APOSC_11083, APOSC_11080, APOSC_11082, APOSC_20989, APOSC_25395, APOSC_02568	CAEEL06439
OG0000069	APOSC_25357, APOSC_25356	CAEEL14766
OG0000069	APOSC_09914, APOSC_04180, APOSC_28736	CAEEL19293
OG0000069	APOSC_11021	CAEEL06325, CAEEL10740, CAEEL11694, CAEEL10933, CAEEL14936, CAEEL19176, CAEEL14950, CAEEL14856, CAEEL16895, CAEEL14955, CAEEL11715, CAEEL06329, CAEEL06330, CAEEL06334, CAEEL11699
OG0000070	APOSC_23675	CAEEL19861
OG0000071	APOSC_00250	CAEEL00127, CAEEL07218, CAEEL19627, CAEEL19032, CAEEL20453, CAEEL07787, CAEEL04311, CAEEL04929, CAEEL18077
OG0000072	APOSC_14045	CAEEL07368
OG0000073	APOSC_07375, APOSC_28527	CAEEL07620
OG0000075	APOSC_12033	CAEEL03008
OG0000075	APOSC_08706	CAEEL11367
OG0000075	APOSC_20859, APOSC_19754	CAEEL11291
OG0000077	APOSC_15032	CAEEL01559
OG0000077	APOSC_19689	CAEEL06904
OG0000077	APOSC_21239	CAEEL18420
OG0000079	APOSC_14016, APOSC_18637, APOSC_09201	CAEEL18822, CAEEL09849
OG0000079	APOSC_14696	CAEEL10489
OG0000079	APOSC_10552, APOSC_10551	CAEEL07248
OG0000082	APOSC_14161	CAEEL18954, CAEEL04897
OG0000082	APOSC_20096	CAEEL13927
OG0000082	APOSC_05443, APOSC_27848, APOSC_13154, APOSC_11148, APOSC_10803, APOSC_18436, APOSC_27594, APOSC_20710, APOSC_10804, APOSC_10807, APOSC_10806, APOSC_23423, APOSC_11149	CAEEL12687
OG0000082	APOSC_04906, APOSC_05380, APOSC_05381	CAEEL01784, CAEEL05942, CAEEL05941
OG0000084	APOSC_25447	CAEEL10610, CAEEL18185
OG0000084	APOSC_11978, APOSC_20094	CAEEL10989
OG0000085	APOSC_13201	CAEEL06909
OG0000085	APOSC_00722	CAEEL07542
OG0000085	APOSC_00825	CAEEL03085
OG0000085	APOSC_21002	CAEEL08077
OG0000090	APOSC_26110	CAEEL18451
OG0000090	APOSC_13932, APOSC_15022, APOSC_05442, APOSC_12792, APOSC_14834, APOSC_03327, APOSC_05480, APOSC_23845, APOSC_00523, APOSC_03937	CAEEL10114
OG0000094	APOSC_02606, APOSC_02607, APOSC_24152	CAEEL10719
OG0000094	APOSC_21896, APOSC_21895	CAEEL18425
OG0000095	APOSC_15000, APOSC_11760, APOSC_06417, APOSC_17239, APOSC_19404, APOSC_13013, APOSC_05229, APOSC_05033, APOSC_14575, APOSC_16159, APOSC_18748, APOSC_18747	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114
OG0000096	APOSC_05085	CAEEL16555
OG0000096	APOSC_03162	CAEEL11088
OG0000096	APOSC_25015	CAEEL08533
OG0000096	APOSC_16859	CAEEL11776
OG0000096	APOSC_21738	CAEEL06051
OG0000096	APOSC_21519	CAEEL07422
OG0000098	APOSC_27629, APOSC_10815	CAEEL11671, CAEEL01601, CAEEL11678
OG0000099	APOSC_25391, APOSC_06951	CAEEL07999, CAEEL08340
OG0000099	APOSC_01352, APOSC_23267	CAEEL05000, CAEEL01295
OG0000101	APOSC_25079, APOSC_09250	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201
OG0000103	APOSC_08194	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258
OG0000103	APOSC_19265	CAEEL01469, CAEEL18445
OG0000104	APOSC_15082, APOSC_15083, APOSC_15085, APOSC_15084	CAEEL04070
OG0000104	APOSC_11443, APOSC_11444, APOSC_11442, APOSC_16135, APOSC_04087, APOSC_04088, APOSC_13374	CAEEL18800
OG0000106	APOSC_19922, APOSC_04238, APOSC_13779, APOSC_13776, APOSC_13777, APOSC_13780, APOSC_13778, APOSC_25862, APOSC_25863	CAEEL19130, CAEEL20701
OG0000107	APOSC_21347	CAEEL16896
OG0000110	APOSC_15633, APOSC_20613, APOSC_13751	CAEEL10319, CAEEL17689
OG0000111	APOSC_16477, APOSC_00783, APOSC_25506	CAEEL20845
OG0000113	APOSC_22087, APOSC_26451	CAEEL06358, CAEEL06359, CAEEL06360
OG0000114	APOSC_19632	CAEEL03306, CAEEL13040
OG0000114	APOSC_10928, APOSC_00248, APOSC_23655, APOSC_06012, APOSC_17348, APOSC_05416	CAEEL18136
OG0000116	APOSC_28097, APOSC_09224	CAEEL14875
OG0000117	APOSC_01933	CAEEL07433
OG0000119	APOSC_11483	CAEEL08480
OG0000119	APOSC_20728, APOSC_03029, APOSC_22358, APOSC_01445, APOSC_04311, APOSC_04310, APOSC_02102	CAEEL08396
OG0000120	APOSC_04315	CAEEL14397, CAEEL15688, CAEEL15686, CAEEL09375, CAEEL15884, CAEEL09381, CAEEL15380, CAEEL16714, CAEEL14049, CAEEL13989, CAEEL13988, CAEEL13987, CAEEL14052, CAEEL13986, CAEEL15745, CAEEL18572, CAEEL15034, CAEEL14053
OG0000122	APOSC_11178, APOSC_05959	CAEEL01544
OG0000124	APOSC_29022	CAEEL19897
OG0000124	APOSC_05277	CAEEL12548, CAEEL09889
OG0000124	APOSC_03695	CAEEL04963
OG0000124	APOSC_09834	CAEEL15384, CAEEL15382
OG0000125	APOSC_23201, APOSC_16306, APOSC_27003, APOSC_23884, APOSC_27002	CAEEL19671
OG0000126	APOSC_21117	CAEEL09101
OG0000126	APOSC_28093	CAEEL10194
OG0000127	APOSC_24103	CAEEL19207
OG0000127	APOSC_09690	CAEEL20452
OG0000127	APOSC_02788	CAEEL00838
OG0000128	APOSC_01674, APOSC_22700, APOSC_06337, APOSC_23630, APOSC_23631, APOSC_15987, APOSC_15026, APOSC_22520, APOSC_16380, APOSC_16568, APOSC_16647, APOSC_16648, APOSC_09785	CAEEL18038, CAEEL19894, CAEEL19895
OG0000129	APOSC_12123	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187
OG0000129	APOSC_21068	CAEEL12325
OG0000131	APOSC_21472, APOSC_03272, APOSC_06150	CAEEL08663
OG0000131	APOSC_07777	CAEEL07634
OG0000132	APOSC_24064, APOSC_09777, APOSC_09775, APOSC_09776	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417
OG0000137	APOSC_01981, APOSC_01895, APOSC_21797	CAEEL10559
OG0000140	APOSC_13035	CAEEL04513
OG0000147	APOSC_05531, APOSC_20902	CAEEL04811
OG0000147	APOSC_16682	CAEEL18488
OG0000148	APOSC_14879, APOSC_14878	CAEEL09804
OG0000148	APOSC_25505, APOSC_02226	CAEEL04213
OG0000148	APOSC_27225, APOSC_07145	CAEEL12387, CAEEL10870
OG0000149	APOSC_17921, APOSC_17920, APOSC_17820	CAEEL02847
OG0000155	APOSC_09923, APOSC_09921, APOSC_09922	CAEEL02327, CAEEL02328, CAEEL02326, CAEEL10961, CAEEL10957
OG0000157	APOSC_02266	CAEEL00241
OG0000157	APOSC_27261	CAEEL01390
OG0000158	APOSC_22004	CAEEL20117, CAEEL08684
OG0000158	APOSC_02468	CAEEL06141
OG0000159	APOSC_05622	CAEEL19486
OG0000159	APOSC_25144	CAEEL02031
OG0000159	APOSC_27680	CAEEL05281
OG0000160	APOSC_01085, APOSC_17800	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528
OG0000163	APOSC_26564, APOSC_17645	CAEEL08313
OG0000163	APOSC_20618	CAEEL20194, CAEEL08850
OG0000164	APOSC_25458	CAEEL09304
OG0000165	APOSC_28761	CAEEL07846
OG0000167	APOSC_04566, APOSC_04565	CAEEL02846
OG0000168	APOSC_27887, APOSC_13167, APOSC_07254, APOSC_08432, APOSC_07255	CAEEL19018
OG0000169	APOSC_05319	CAEEL15798
OG0000171	APOSC_01598	CAEEL11480
OG0000172	APOSC_02167	CAEEL04412
OG0000173	APOSC_10054, APOSC_10053, APOSC_10055	CAEEL04156
OG0000174	APOSC_21578, APOSC_07934, APOSC_01234, APOSC_10955, APOSC_03912, APOSC_03913	CAEEL12711
OG0000175	APOSC_27959, APOSC_10607	CAEEL19241
OG0000175	APOSC_02663, APOSC_15663, APOSC_16993, APOSC_02106, APOSC_04816	CAEEL15650, CAEEL01525, CAEEL01870
OG0000179	APOSC_21690, APOSC_12111, APOSC_21863, APOSC_17377, APOSC_21864	CAEEL13640
OG0000179	APOSC_01350	CAEEL02965, CAEEL06713
OG0000179	APOSC_25599, APOSC_26324	CAEEL16607, CAEEL16605, CAEEL09314, CAEEL16384
OG0000179	APOSC_01246	CAEEL19466, CAEEL07193
OG0000180	APOSC_05039	CAEEL06539
OG0000181	APOSC_01446, APOSC_07714	CAEEL10858
OG0000181	APOSC_21154, APOSC_23852	CAEEL10772
OG0000181	APOSC_04711	CAEEL12632
OG0000183	APOSC_14059, APOSC_14061, APOSC_14060	CAEEL16310, CAEEL16311, CAEEL16312
OG0000183	APOSC_02686, APOSC_08693, APOSC_25503	CAEEL18435
OG0000184	APOSC_16994, APOSC_24858, APOSC_05158	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164
OG0000185	APOSC_15583, APOSC_15582	CAEEL14200
OG0000185	APOSC_24326	CAEEL14122
OG0000186	APOSC_28113, APOSC_05570	CAEEL18013
OG0000186	APOSC_09256	CAEEL13010
OG0000188	APOSC_13702	CAEEL20699
OG0000192	APOSC_13284	CAEEL00285
OG0000193	APOSC_02060	CAEEL09482, CAEEL14826
OG0000193	APOSC_04930	CAEEL11204, CAEEL11203, CAEEL08224, CAEEL02079
OG0000194	APOSC_23755	CAEEL11235, CAEEL19589, CAEEL17687, CAEEL19382
OG0000195	APOSC_17248, APOSC_07635, APOSC_25597, APOSC_05403, APOSC_26673, APOSC_09319, APOSC_28768	CAEEL13568, CAEEL02653, CAEEL02314, CAEEL02312
OG0000197	APOSC_04368, APOSC_08761	CAEEL04387
OG0000197	APOSC_01929	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188
OG0000200	APOSC_22552	CAEEL12936, CAEEL14770, CAEEL14767, CAEEL14769, CAEEL14768, CAEEL14529, CAEEL12940, CAEEL13152
OG0000201	APOSC_24036	CAEEL07587
OG0000202	APOSC_27982, APOSC_06419	CAEEL20283
OG0000203	APOSC_04458, APOSC_04459, APOSC_05921, APOSC_26559	CAEEL09812
OG0000205	APOSC_28253, APOSC_04935	CAEEL13029
OG0000205	APOSC_19060, APOSC_17853	CAEEL07272, CAEEL07274, CAEEL07273
OG0000207	APOSC_21181, APOSC_21969, APOSC_12332	CAEEL05874, CAEEL00203
OG0000209	APOSC_19505	CAEEL07432
OG0000210	APOSC_11707	CAEEL19469
OG0000211	APOSC_15302	CAEEL15290
OG0000211	APOSC_11394, APOSC_11393	CAEEL02311
OG0000215	APOSC_21728, APOSC_28864, APOSC_28443, APOSC_20327, APOSC_20078, APOSC_21643, APOSC_28418, APOSC_16074, APOSC_04161, APOSC_17247	CAEEL10179, CAEEL11490, CAEEL11487, CAEEL11489, CAEEL10284, CAEEL15289
OG0000218	APOSC_25955, APOSC_07899, APOSC_15398, APOSC_28536, APOSC_15666, APOSC_28102, APOSC_02595, APOSC_03663, APOSC_06119, APOSC_06118	CAEEL07824, CAEEL20213
OG0000221	APOSC_16263	CAEEL10747
OG0000223	APOSC_13895	CAEEL01621, CAEEL00892
OG0000225	APOSC_17424, APOSC_17423, APOSC_28152, APOSC_13403, APOSC_16327, APOSC_12109	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881
OG0000226	APOSC_01170, APOSC_23826, APOSC_10383, APOSC_17762, APOSC_04918, APOSC_07323, APOSC_02474	CAEEL12318
OG0000227	APOSC_28503, APOSC_12980, APOSC_05191, APOSC_01281, APOSC_13947	CAEEL19645
OG0000229	APOSC_25375, APOSC_24814, APOSC_12350, APOSC_16701, APOSC_14149, APOSC_22408, APOSC_21651, APOSC_15293, APOSC_09519, APOSC_02374	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478
OG0000230	APOSC_01215, APOSC_01213	CAEEL14845, CAEEL19792
OG0000230	APOSC_06712, APOSC_26272, APOSC_14213, APOSC_14212, APOSC_08307, APOSC_05636, APOSC_13314, APOSC_16355, APOSC_16356, APOSC_07355	CAEEL16226, CAEEL13679, CAEEL03009, CAEEL10796, CAEEL05825
OG0000230	APOSC_01214	CAEEL13030
OG0000231	APOSC_23746	CAEEL08481
OG0000231	APOSC_06034	CAEEL01724
OG0000232	APOSC_03253, APOSC_19277	CAEEL18532, CAEEL19887
OG0000233	APOSC_20492, APOSC_20491, APOSC_08594, APOSC_20493	CAEEL19660, CAEEL15634
OG0000234	APOSC_09141, APOSC_09142	CAEEL02295
OG0000235	APOSC_09954, APOSC_14007, APOSC_05733, APOSC_17704, APOSC_05734, APOSC_09538	CAEEL10795, CAEEL07012
OG0000236	APOSC_18403	CAEEL19835
OG0000238	APOSC_11219	CAEEL15430, CAEEL15432, CAEEL15171, CAEEL15387
OG0000238	APOSC_20889	CAEEL15431
OG0000239	APOSC_24359, APOSC_24358	CAEEL14926
OG0000239	APOSC_04749, APOSC_04748, APOSC_04747	CAEEL00570
OG0000242	APOSC_16970, APOSC_16971, APOSC_15793	CAEEL05302
OG0000242	APOSC_24338	CAEEL01149, CAEEL01953, CAEEL01038, CAEEL11304, CAEEL00585, CAEEL01041, CAEEL01477
OG0000244	APOSC_19143, APOSC_10917, APOSC_19144, APOSC_27515	CAEEL11789, CAEEL12688
OG0000245	APOSC_24749	CAEEL20391
OG0000249	APOSC_27309, APOSC_27310, APOSC_27307, APOSC_27308	CAEEL00206
OG0000250	APOSC_27451	CAEEL11963
OG0000250	APOSC_09132	CAEEL07261
OG0000250	APOSC_03832	CAEEL04698
OG0000250	APOSC_25705	CAEEL06732
OG0000251	APOSC_00515	CAEEL03667
OG0000251	APOSC_07566	CAEEL03882, CAEEL05921, CAEEL16332, CAEEL04207
OG0000255	APOSC_00435	CAEEL05168
OG0000255	APOSC_25370, APOSC_25369, APOSC_04436, APOSC_05899	CAEEL05715
OG0000256	APOSC_10246	CAEEL11937, CAEEL19468
OG0000257	APOSC_04351	CAEEL01910, CAEEL15386
OG0000258	APOSC_06996	CAEEL19537
OG0000258	APOSC_15815	CAEEL09342
OG0000258	APOSC_03499, APOSC_03498	CAEEL15770
OG0000260	APOSC_16649, APOSC_19872, APOSC_16650	CAEEL11482
OG0000261	APOSC_25025	CAEEL20767
OG0000265	APOSC_09241	CAEEL20581
OG0000265	APOSC_08586	CAEEL10364
OG0000268	APOSC_11531	CAEEL08164
OG0000271	APOSC_22134, APOSC_20500, APOSC_20499, APOSC_09034, APOSC_17153, APOSC_17154, APOSC_00586	CAEEL07236
OG0000272	APOSC_08495, APOSC_11181, APOSC_11180	CAEEL11804, CAEEL19905
OG0000273	APOSC_08345	CAEEL18644
OG0000273	APOSC_21319, APOSC_14604	CAEEL20077
OG0000275	APOSC_04862, APOSC_10305, APOSC_10306	CAEEL14783
OG0000275	APOSC_01987	CAEEL11381, CAEEL10050
OG0000277	APOSC_02311	CAEEL07730, CAEEL07729
OG0000277	APOSC_25568, APOSC_09509, APOSC_02219, APOSC_09507, APOSC_28785, APOSC_09508, APOSC_28781, APOSC_28786, APOSC_28782, APOSC_28783	CAEEL11066
OG0000278	APOSC_09086	CAEEL07740
OG0000278	APOSC_04559, APOSC_08877, APOSC_00087, APOSC_12407	CAEEL09180
OG0000278	APOSC_09423	CAEEL07099
OG0000280	APOSC_03992	CAEEL09702
OG0000282	APOSC_17576, APOSC_17574, APOSC_17573, APOSC_18715, APOSC_17575, APOSC_26306, APOSC_25877, APOSC_02484, APOSC_07889	CAEEL11864
OG0000284	APOSC_08790, APOSC_20570, APOSC_16476, APOSC_24928, APOSC_16455	CAEEL18846
OG0000285	APOSC_12091, APOSC_04006, APOSC_04005, APOSC_21541, APOSC_24563	CAEEL14297, CAEEL16730
OG0000287	APOSC_09187, APOSC_09188	CAEEL18837
OG0000295	APOSC_20995, APOSC_16630, APOSC_16753, APOSC_10930, APOSC_14533, APOSC_03427, APOSC_18908, APOSC_16631	CAEEL04248, CAEEL10950
OG0000296	APOSC_11176	CAEEL14675
OG0000301	APOSC_09425	CAEEL11399
OG0000301	APOSC_18104	CAEEL18767
OG0000302	APOSC_23935	CAEEL08099
OG0000305	APOSC_10995	CAEEL19499
OG0000305	APOSC_03005, APOSC_02552	CAEEL15162, CAEEL10872, CAEEL15163
OG0000306	APOSC_12440	CAEEL11447, CAEEL11444, CAEEL11445, CAEEL11448, CAEEL11446
OG0000308	APOSC_12039, APOSC_05445, APOSC_04644, APOSC_17328, APOSC_02947	CAEEL00748
OG0000311	APOSC_08779	CAEEL19230
OG0000312	APOSC_08606	CAEEL19323
OG0000312	APOSC_07994, APOSC_07993	CAEEL16684
OG0000312	APOSC_18962	CAEEL08464
OG0000314	APOSC_06634	CAEEL12578
OG0000314	APOSC_05854, APOSC_12491	CAEEL14227, CAEEL02951
OG0000315	APOSC_23860	CAEEL07409
OG0000315	APOSC_12783, APOSC_12784	CAEEL07609
OG0000315	APOSC_19230	CAEEL07292
OG0000316	APOSC_03229	CAEEL01799
OG0000317	APOSC_04469	CAEEL18155
OG0000319	APOSC_19574	CAEEL00889, CAEEL10346
OG0000321	APOSC_12634	CAEEL19255
OG0000322	APOSC_03031, APOSC_02053, APOSC_27632, APOSC_16922, APOSC_26374, APOSC_18256	CAEEL18855, CAEEL09291, CAEEL09109
OG0000323	APOSC_04441, APOSC_04442, APOSC_01088, APOSC_27646	CAEEL08030
OG0000327	APOSC_17692	CAEEL18527
OG0000327	APOSC_09780	CAEEL06891
OG0000328	APOSC_17161	CAEEL02700, CAEEL20663
OG0000329	APOSC_01657, APOSC_01654, APOSC_01655, APOSC_01656, APOSC_11373, APOSC_11372, APOSC_11371, APOSC_11374	CAEEL05342
OG0000333	APOSC_28267	CAEEL20574
OG0000338	APOSC_28658, APOSC_13614, APOSC_13615	CAEEL02726
OG0000341	APOSC_14766, APOSC_14765	CAEEL02829
OG0000343	APOSC_28356, APOSC_10760, APOSC_10761, APOSC_10758, APOSC_10759, APOSC_28355, APOSC_28357	CAEEL00542
OG0000345	APOSC_04411, APOSC_16470, APOSC_14110, APOSC_14111	CAEEL09288
OG0000346	APOSC_23310	CAEEL04767
OG0000350	APOSC_03927	CAEEL13904
OG0000352	APOSC_22930, APOSC_22928, APOSC_22929	CAEEL05587
OG0000353	APOSC_05239, APOSC_05240	CAEEL10431
