Orthogroup	APOSC_ok	CAPO3
OG0000066	APOSC_23538, APOSC_05447, APOSC_13619, APOSC_03780, APOSC_14672, APOSC_14673, APOSC_20821, APOSC_10537, APOSC_19939, APOSC_15688, APOSC_00077, APOSC_07080, APOSC_23919, APOSC_19084	CAPO308057
OG0000069	APOSC_25357, APOSC_25356	CAPO302182
OG0000069	APOSC_27459, APOSC_09914, APOSC_04180, APOSC_28736	CAPO301523, CAPO305173
OG0000079	APOSC_18934, APOSC_10580	CAPO302518
OG0000082	APOSC_14161	CAPO304738
OG0000082	APOSC_20096	CAPO306626
OG0000082	APOSC_05443, APOSC_27848, APOSC_13154, APOSC_11148, APOSC_10803, APOSC_18436, APOSC_27594, APOSC_20710, APOSC_10804, APOSC_10807, APOSC_10806, APOSC_23423, APOSC_11149	CAPO300843
OG0000082	APOSC_04906, APOSC_05380, APOSC_05381	CAPO306232
OG0000085	APOSC_13201, APOSC_26270	CAPO303061
OG0000085	APOSC_00722, APOSC_00825, APOSC_21002, APOSC_14889, APOSC_25216	CAPO303047
OG0000089	APOSC_18998, APOSC_16361, APOSC_16362, APOSC_16332, APOSC_03222, APOSC_09284, APOSC_18760, APOSC_16196, APOSC_09635, APOSC_22092, APOSC_06490	CAPO300386, CAPO300810, CAPO302098
OG0000090	APOSC_26679	CAPO304460, CAPO304458, CAPO303991
OG0000091	APOSC_22685, APOSC_22687, APOSC_09354, APOSC_25431, APOSC_27981, APOSC_22686, APOSC_20969, APOSC_00118, APOSC_04431, APOSC_00071, APOSC_26465, APOSC_28469, APOSC_08986, APOSC_19169, APOSC_16352	CAPO301134
OG0000095	APOSC_15000, APOSC_11760, APOSC_06417, APOSC_17239, APOSC_19404, APOSC_13013, APOSC_05229, APOSC_05033, APOSC_14575, APOSC_16159, APOSC_18748, APOSC_18747	CAPO301288, CAPO306046
OG0000096	APOSC_03162	CAPO301431
OG0000096	APOSC_04023	CAPO303349
OG0000096	APOSC_25015	CAPO307955
OG0000096	APOSC_00869	CAPO307522
OG0000096	APOSC_16859	CAPO300294
OG0000096	APOSC_21738, APOSC_21519	CAPO307017
OG0000101	APOSC_08305, APOSC_10387, APOSC_23688, APOSC_25079, APOSC_09250	CAPO306858
OG0000103	APOSC_08194, APOSC_19265	CAPO302453
OG0000106	APOSC_22868, APOSC_21078, APOSC_19922, APOSC_04238, APOSC_13779, APOSC_13776, APOSC_13777, APOSC_13780, APOSC_13778, APOSC_25862, APOSC_25863	CAPO300017
OG0000110	APOSC_20398, APOSC_08788, APOSC_17988, APOSC_15633, APOSC_20613, APOSC_13751	CAPO300387
OG0000116	APOSC_28097, APOSC_09224	CAPO305622
OG0000119	APOSC_11483, APOSC_20728, APOSC_03029, APOSC_22358, APOSC_01445, APOSC_04311, APOSC_04310, APOSC_02102, APOSC_19027, APOSC_11438, APOSC_25237, APOSC_25238	CAPO304642
OG0000122	APOSC_15847, APOSC_25177, APOSC_11178, APOSC_05959	CAPO307824
OG0000124	APOSC_26551	CAPO304324
OG0000124	APOSC_03695	CAPO302553
OG0000126	APOSC_16760	CAPO302484
OG0000126	APOSC_16759	CAPO306676
OG0000126	APOSC_21117, APOSC_28093	CAPO300572
OG0000128	APOSC_01674, APOSC_22700, APOSC_06337, APOSC_23630, APOSC_23631, APOSC_15987, APOSC_15026, APOSC_22520, APOSC_16380, APOSC_16568, APOSC_16647, APOSC_16648, APOSC_09785	CAPO306991, CAPO304956
OG0000129	APOSC_12123, APOSC_24173, APOSC_21068	CAPO303361
OG0000132	APOSC_20151, APOSC_15845, APOSC_15846	CAPO305174
OG0000137	APOSC_04370, APOSC_14845, APOSC_20394, APOSC_26237, APOSC_01998, APOSC_01981, APOSC_01895, APOSC_21797	CAPO305369
OG0000142	APOSC_24389, APOSC_05931, APOSC_06545, APOSC_21775, APOSC_20241, APOSC_07546, APOSC_00286, APOSC_07201, APOSC_14102, APOSC_15551	CAPO302031, CAPO302030
OG0000147	APOSC_16682	CAPO308132
OG0000147	APOSC_20013, APOSC_18428, APOSC_05853	CAPO304230
OG0000149	APOSC_17921, APOSC_17920, APOSC_17820, APOSC_12513, APOSC_00444, APOSC_02449, APOSC_02196, APOSC_09540, APOSC_20238	CAPO305206, CAPO306214
OG0000157	APOSC_02266	CAPO305956
OG0000157	APOSC_27008	CAPO302981
OG0000157	APOSC_25645, APOSC_27261	CAPO305824
OG0000160	APOSC_17800	CAPO301680
OG0000167	APOSC_04566, APOSC_04565, APOSC_29004, APOSC_28695, APOSC_16551, APOSC_17983, APOSC_26820, APOSC_24407, APOSC_10227	CAPO301364, CAPO303476
OG0000171	APOSC_07430, APOSC_07431, APOSC_14851, APOSC_03334, APOSC_09017, APOSC_01598	CAPO304813
OG0000174	APOSC_21578, APOSC_07934, APOSC_01234, APOSC_10955, APOSC_03912, APOSC_03913, APOSC_08266	CAPO304629
OG0000175	APOSC_02663, APOSC_15663, APOSC_16993, APOSC_02106, APOSC_04816	CAPO303513
OG0000179	APOSC_21863, APOSC_17377, APOSC_21864	CAPO300694
OG0000179	APOSC_01350	CAPO303342
OG0000181	APOSC_01446, APOSC_07714	CAPO302034
OG0000181	APOSC_21154, APOSC_23852	CAPO307692
OG0000181	APOSC_04711	CAPO300374
OG0000183	APOSC_14059, APOSC_14061, APOSC_14060	CAPO305638
OG0000183	APOSC_02686, APOSC_08693, APOSC_25503	CAPO305829
OG0000184	APOSC_17807	CAPO307711
OG0000184	APOSC_16994, APOSC_24858, APOSC_05158	CAPO304928
OG0000186	APOSC_17386	CAPO301875
OG0000192	APOSC_22909, APOSC_22908	CAPO300533
OG0000192	APOSC_18847, APOSC_26537, APOSC_16524, APOSC_16523	CAPO301980
OG0000193	APOSC_09839, APOSC_24547, APOSC_08719, APOSC_15391, APOSC_02060, APOSC_04930	CAPO302628
OG0000194	APOSC_08244, APOSC_28959, APOSC_12079, APOSC_02139, APOSC_23179, APOSC_16403, APOSC_17541, APOSC_23977, APOSC_23755	CAPO305195
OG0000195	APOSC_18323, APOSC_17248, APOSC_07635, APOSC_25597, APOSC_05403, APOSC_26673, APOSC_09319, APOSC_28768	CAPO305454
OG0000201	APOSC_29091, APOSC_29090	CAPO307729
OG0000203	APOSC_26461, APOSC_04458, APOSC_04459, APOSC_05921, APOSC_26559	CAPO302139
OG0000204	APOSC_15076, APOSC_25272, APOSC_13121, APOSC_25275, APOSC_25274, APOSC_25273	CAPO303090
OG0000207	APOSC_21181, APOSC_21969, APOSC_12332	CAPO304105, CAPO304106, CAPO304714
OG0000211	APOSC_20059, APOSC_12887, APOSC_15302, APOSC_11394, APOSC_11393	CAPO306209
OG0000218	APOSC_25955, APOSC_07899, APOSC_15398, APOSC_28536, APOSC_15666, APOSC_28102, APOSC_02595, APOSC_03663, APOSC_06119, APOSC_06118	CAPO300559
OG0000220	APOSC_23437, APOSC_08157, APOSC_17903, APOSC_13363, APOSC_13606, APOSC_11773, APOSC_08941, APOSC_26772, APOSC_26773	CAPO306780, CAPO307695
OG0000221	APOSC_16263, APOSC_14357, APOSC_14358, APOSC_14359, APOSC_15397	CAPO300247
OG0000222	APOSC_08995, APOSC_00148, APOSC_21408, APOSC_17306, APOSC_24662, APOSC_18810, APOSC_29111	CAPO304211
OG0000223	APOSC_25707, APOSC_25708, APOSC_05271, APOSC_16511, APOSC_16512, APOSC_13895	CAPO308126
OG0000225	APOSC_17424, APOSC_17423, APOSC_28152, APOSC_13403, APOSC_16327, APOSC_12109	CAPO305347
OG0000234	APOSC_09141, APOSC_09142, APOSC_24843, APOSC_24844	CAPO301359
OG0000238	APOSC_11219, APOSC_20889	CAPO305428
OG0000239	APOSC_21234, APOSC_24359, APOSC_24358, APOSC_04749, APOSC_04748, APOSC_04747	CAPO302089
OG0000240	APOSC_07530	CAPO303214
OG0000240	APOSC_23062	CAPO303372
OG0000242	APOSC_24338	CAPO304847
OG0000244	APOSC_19143, APOSC_10917, APOSC_19144, APOSC_27515	CAPO301556
OG0000246	APOSC_00635, APOSC_17922, APOSC_11583	CAPO303496
OG0000248	APOSC_23190, APOSC_23191, APOSC_15009, APOSC_21579, APOSC_22139, APOSC_26499, APOSC_26498	CAPO307635, CAPO302481, CAPO302487
OG0000250	APOSC_09132	CAPO305827
OG0000255	APOSC_21297, APOSC_00489, APOSC_18233, APOSC_18232, APOSC_19496	CAPO306632
OG0000255	APOSC_00435	CAPO301531
OG0000255	APOSC_25370, APOSC_25369, APOSC_04436, APOSC_05899	CAPO300499
OG0000256	APOSC_10246	CAPO307884
OG0000256	APOSC_16681, APOSC_15086, APOSC_11495, APOSC_27505, APOSC_22638	CAPO306483
OG0000257	APOSC_04351, APOSC_27295, APOSC_28760, APOSC_11827, APOSC_11826, APOSC_18481, APOSC_16995, APOSC_02805	CAPO300414
OG0000258	APOSC_06996	CAPO301106
OG0000258	APOSC_15815, APOSC_03499, APOSC_03498	CAPO301746
OG0000260	APOSC_19872	CAPO300399
OG0000265	APOSC_09241	CAPO306126
OG0000265	APOSC_08586	CAPO306540
OG0000271	APOSC_22134, APOSC_20500, APOSC_20499, APOSC_09034, APOSC_17153, APOSC_17154, APOSC_00586	CAPO304641
OG0000272	APOSC_15206	CAPO304601
OG0000273	APOSC_08345	CAPO305109
OG0000273	APOSC_08532	CAPO300804
OG0000273	APOSC_21319, APOSC_14604	CAPO306869
OG0000277	APOSC_02311	CAPO303621
OG0000277	APOSC_25568, APOSC_09509, APOSC_02219, APOSC_09507, APOSC_28785, APOSC_09508, APOSC_28781, APOSC_28786, APOSC_28782, APOSC_28783	CAPO301295
OG0000278	APOSC_24937	CAPO300620
OG0000278	APOSC_05327, APOSC_27564, APOSC_09085, APOSC_14802, APOSC_14052, APOSC_13967	CAPO300274
OG0000278	APOSC_00087, APOSC_12407	CAPO305822
OG0000278	APOSC_09423	CAPO302023
OG0000282	APOSC_17576, APOSC_17574, APOSC_17573, APOSC_18715, APOSC_17575, APOSC_26306, APOSC_25877, APOSC_02484, APOSC_07889	CAPO308183
OG0000284	APOSC_24065, APOSC_13238, APOSC_13237	CAPO305695
OG0000285	APOSC_13024, APOSC_12091, APOSC_04006, APOSC_04005, APOSC_21541, APOSC_24563	CAPO303377
OG0000288	APOSC_09838	CAPO305142
OG0000289	APOSC_06815, APOSC_19166, APOSC_00919, APOSC_19609	CAPO307835
OG0000295	APOSC_20995, APOSC_16630, APOSC_16753, APOSC_10930, APOSC_14533, APOSC_03427, APOSC_18908, APOSC_16631, APOSC_02326, APOSC_22548, APOSC_17856	CAPO302113, CAPO302799
OG0000299	APOSC_09122, APOSC_09123, APOSC_09121	CAPO306599
OG0000305	APOSC_03005	CAPO307183
OG0000306	APOSC_12440, APOSC_12441, APOSC_12439	CAPO308212
OG0000308	APOSC_12039	CAPO304037
OG0000308	APOSC_05445, APOSC_04644	CAPO303083
OG0000310	APOSC_16775, APOSC_10135, APOSC_16800, APOSC_25840, APOSC_00375	CAPO305978
OG0000312	APOSC_08606	CAPO304557
OG0000312	APOSC_18962	CAPO302691
OG0000313	APOSC_29019, APOSC_14496	CAPO307072
OG0000313	APOSC_05787	CAPO301348
OG0000314	APOSC_06634, APOSC_05854, APOSC_12491, APOSC_21537, APOSC_18008	CAPO304303
OG0000315	APOSC_23860	CAPO307611
OG0000315	APOSC_19230	CAPO308167
OG0000316	APOSC_03624, APOSC_07155	CAPO307924, CAPO300321
OG0000317	APOSC_04469	CAPO306620
OG0000319	APOSC_19574, APOSC_08469, APOSC_22174, APOSC_22173, APOSC_02658	CAPO303225
OG0000320	APOSC_08545, APOSC_05429, APOSC_01585	CAPO308077
OG0000322	APOSC_03031, APOSC_02053, APOSC_27632, APOSC_16922, APOSC_26374, APOSC_18256	CAPO306406
OG0000326	APOSC_12910	CAPO308358, CAPO307947
OG0000326	APOSC_26060	CAPO303322
OG0000327	APOSC_17692, APOSC_09780	CAPO308120
OG0000334	APOSC_21997, APOSC_22742, APOSC_12460, APOSC_12461, APOSC_17465, APOSC_17466, APOSC_15654, APOSC_06862, APOSC_16465, APOSC_00746, APOSC_25390, APOSC_25389, APOSC_00116, APOSC_14183, APOSC_26541, APOSC_09486, APOSC_09488, APOSC_18452, APOSC_09782	CAPO300337
OG0000335	APOSC_21388, APOSC_05830, APOSC_20600, APOSC_20599, APOSC_24834, APOSC_23453	CAPO307753
OG0000338	APOSC_28658, APOSC_13614, APOSC_13615, APOSC_13420, APOSC_13421	CAPO304735
OG0000339	APOSC_26779, APOSC_02256, APOSC_24003, APOSC_07700, APOSC_07699, APOSC_25922, APOSC_18854, APOSC_05940	CAPO305264
OG0000343	APOSC_28356, APOSC_10760, APOSC_10761, APOSC_10758, APOSC_10759, APOSC_28355, APOSC_28357	CAPO306429
OG0000345	APOSC_14110, APOSC_14111	CAPO300769
OG0000352	APOSC_22930, APOSC_22928, APOSC_22929, APOSC_17716, APOSC_00546, APOSC_20597	CAPO300356
OG0000357	APOSC_07835	CAPO301487
OG0000359	APOSC_09932	CAPO305417
OG0000359	APOSC_27927	CAPO301540
OG0000359	APOSC_15516	CAPO306866
OG0000360	APOSC_15593, APOSC_20087, APOSC_13633, APOSC_13959	CAPO300757
OG0000364	APOSC_25470, APOSC_07012, APOSC_07011, APOSC_21706, APOSC_11625, APOSC_14243	CAPO301330, CAPO300908
OG0000367	APOSC_08227, APOSC_15610	CAPO301272
OG0000371	APOSC_28569, APOSC_01199, APOSC_08098, APOSC_04175, APOSC_11261, APOSC_07491, APOSC_07490, APOSC_23168, APOSC_23169	CAPO307503
OG0000372	APOSC_18539, APOSC_25246, APOSC_15484	CAPO307553
OG0000373	APOSC_15950, APOSC_23382, APOSC_21401	CAPO301744
OG0000385	APOSC_00509, APOSC_23259	CAPO300182, CAPO305781, CAPO305517
OG0000390	APOSC_28058	CAPO301433, CAPO301477
OG0000390	APOSC_10442, APOSC_04435, APOSC_14413	CAPO307000
OG0000392	APOSC_15558, APOSC_15557, APOSC_15559, APOSC_15556, APOSC_15555	CAPO300351
OG0000393	APOSC_00406, APOSC_21190, APOSC_09454, APOSC_01755, APOSC_03383, APOSC_19188	CAPO307627
OG0000397	APOSC_08278	CAPO304372
OG0000399	APOSC_04841, APOSC_02547, APOSC_12700, APOSC_12699, APOSC_12371	CAPO302781
OG0000402	APOSC_11815	CAPO300999
OG0000405	APOSC_22532, APOSC_22533	CAPO300636
OG0000412	APOSC_20667	CAPO306116
OG0000412	APOSC_01194, APOSC_01195, APOSC_14273	CAPO307159
OG0000413	APOSC_03087, APOSC_04045	CAPO302663
OG0000413	APOSC_03086	CAPO304678
OG0000416	APOSC_21493, APOSC_24151, APOSC_10067	CAPO300647, CAPO303519
OG0000419	APOSC_08566, APOSC_11016	CAPO304227
OG0000420	APOSC_12771, APOSC_26953, APOSC_23391	CAPO307162
OG0000422	APOSC_02348	CAPO301071
OG0000424	APOSC_27699, APOSC_11109	CAPO302770, CAPO306814
OG0000426	APOSC_23818	CAPO302714
OG0000426	APOSC_28032	CAPO306829
OG0000427	APOSC_26405	CAPO303813
OG0000429	APOSC_08336	CAPO300725
OG0000431	APOSC_21271	CAPO306585
OG0000431	APOSC_09355	CAPO304684
OG0000433	APOSC_25213, APOSC_25212	CAPO304838, CAPO302573
OG0000434	APOSC_23652, APOSC_03817, APOSC_08439, APOSC_02608, APOSC_08391, APOSC_20834, APOSC_03026	CAPO304471
OG0000435	APOSC_05189, APOSC_28530	CAPO308080
OG0000436	APOSC_07601, APOSC_07603, APOSC_07602, APOSC_07600	CAPO305799
OG0000437	APOSC_08659	CAPO300952
OG0000442	APOSC_25495	CAPO302753, CAPO302633
OG0000444	APOSC_22420	CAPO305423
OG0000444	APOSC_27883, APOSC_27884, APOSC_27885	CAPO301239
OG0000445	APOSC_13085, APOSC_27582, APOSC_29169, APOSC_06451, APOSC_22086, APOSC_02475, APOSC_03261, APOSC_24400, APOSC_00457, APOSC_22414, APOSC_04719, APOSC_02253	CAPO301584
OG0000447	APOSC_18957, APOSC_18959, APOSC_00311, APOSC_00312, APOSC_18960, APOSC_18958	CAPO300691
OG0000450	APOSC_13051	CAPO307586, CAPO307446
OG0000453	APOSC_12948, APOSC_06792	CAPO305025
OG0000454	APOSC_04570	CAPO301952
OG0000461	APOSC_17795, APOSC_01522	CAPO303645, CAPO304085, CAPO303531
OG0000461	APOSC_17426	CAPO307456
OG0000467	APOSC_24466	CAPO302815
OG0000467	APOSC_08499, APOSC_08498	CAPO302214
OG0000468	APOSC_15884, APOSC_04385, APOSC_04384, APOSC_23794, APOSC_02625	CAPO302003, CAPO303185
OG0000469	APOSC_06315	CAPO306584, CAPO302277
OG0000469	APOSC_00048	CAPO302982
OG0000470	APOSC_06373, APOSC_13511	CAPO307521
OG0000474	APOSC_06438, APOSC_01743, APOSC_06626	CAPO307766
OG0000475	APOSC_03227	CAPO303779
OG0000476	APOSC_05340	CAPO306104
OG0000479	APOSC_19125	CAPO303549
OG0000479	APOSC_05602, APOSC_05603	CAPO304267
OG0000480	APOSC_23759, APOSC_15162, APOSC_11842	CAPO307201
OG0000481	APOSC_15444	CAPO300053
OG0000481	APOSC_09024	CAPO304800
OG0000481	APOSC_07226	CAPO304355
OG0000484	APOSC_17564	CAPO304750
OG0000485	APOSC_22490, APOSC_07829, APOSC_29014	CAPO303224, CAPO303026
OG0000486	APOSC_27933, APOSC_23293, APOSC_14127, APOSC_20131, APOSC_06301, APOSC_18885, APOSC_05208	CAPO306048, CAPO306972
OG0000491	APOSC_11927	CAPO306985
OG0000491	APOSC_02630	CAPO305506
OG0000494	APOSC_11332, APOSC_16566	CAPO300277
OG0000506	APOSC_08969, APOSC_08968, APOSC_08970	CAPO304587
OG0000508	APOSC_05722	CAPO303408, CAPO307945
OG0000508	APOSC_10035, APOSC_10034, APOSC_01187	CAPO302590
OG0000510	APOSC_13254, APOSC_09949, APOSC_08521	CAPO303128, CAPO305095
OG0000511	APOSC_04210	CAPO301322
OG0000514	APOSC_03985, APOSC_03987, APOSC_03986, APOSC_03988	CAPO307292
OG0000519	APOSC_08070, APOSC_07952, APOSC_07867, APOSC_26169, APOSC_12522, APOSC_03973	CAPO300709
OG0000520	APOSC_24142, APOSC_24141	CAPO304720
OG0000522	APOSC_19448, APOSC_02708, APOSC_02709, APOSC_19474	CAPO306204
OG0000528	APOSC_21072, APOSC_27896, APOSC_27895, APOSC_27894, APOSC_10006	CAPO300417
OG0000530	APOSC_02543, APOSC_02542, APOSC_23277	CAPO306919
OG0000532	APOSC_22447, APOSC_22554, APOSC_21968, APOSC_00030, APOSC_23439, APOSC_03161, APOSC_27092, APOSC_13775, APOSC_10762	CAPO301913
OG0000538	APOSC_00020, APOSC_00021, APOSC_00019	CAPO300039
OG0000548	APOSC_19082, APOSC_15990, APOSC_28441	CAPO307253, CAPO307370
OG0000549	APOSC_08202, APOSC_11264, APOSC_04931, APOSC_21216, APOSC_12322, APOSC_09908, APOSC_27494, APOSC_06706, APOSC_02592, APOSC_02591, APOSC_11384	CAPO305341
OG0000551	APOSC_25334	CAPO305700
OG0000552	APOSC_17802, APOSC_27388, APOSC_24689	CAPO302805
OG0000553	APOSC_24608, APOSC_24201	CAPO302261
OG0000554	APOSC_16563	CAPO300205
OG0000561	APOSC_03200, APOSC_16141, APOSC_11810, APOSC_07680	CAPO307817, CAPO304686, CAPO304296
OG0000563	APOSC_00239, APOSC_04439, APOSC_16157, APOSC_09253	CAPO305151
OG0000566	APOSC_11934, APOSC_11935, APOSC_15450	CAPO306820
OG0000567	APOSC_14517, APOSC_18883, APOSC_10800, APOSC_03648, APOSC_00240	CAPO300710, CAPO302895
OG0000569	APOSC_02396, APOSC_00479, APOSC_17883, APOSC_19992, APOSC_19991, APOSC_15256	CAPO302672
OG0000572	APOSC_00810, APOSC_09082	CAPO302048
OG0000573	APOSC_00916	CAPO301573
OG0000573	APOSC_06381	CAPO300482
OG0000574	APOSC_08284, APOSC_25605, APOSC_12973	CAPO303025
OG0000578	APOSC_19019	CAPO305505
OG0000583	APOSC_07446, APOSC_07447	CAPO302594
OG0000585	APOSC_02435	CAPO302010
OG0000586	APOSC_22177, APOSC_09041, APOSC_22806	CAPO304818
OG0000587	APOSC_07501	CAPO304868
OG0000588	APOSC_23369	CAPO300701
OG0000590	APOSC_14417	CAPO302664
OG0000590	APOSC_05832	CAPO307990
OG0000591	APOSC_29125, APOSC_25553	CAPO300885
OG0000591	APOSC_18730	CAPO301508, CAPO306921
OG0000592	APOSC_07367, APOSC_26247	CAPO302552
OG0000593	APOSC_19192, APOSC_02138	CAPO303950
OG0000594	APOSC_26355, APOSC_27194, APOSC_06591	CAPO305185
OG0000597	APOSC_18654, APOSC_09238	CAPO305949
OG0000600	APOSC_25418, APOSC_09338, APOSC_04542, APOSC_04543	CAPO302133
OG0000603	APOSC_11168	CAPO300286
OG0000604	APOSC_28543, APOSC_28930, APOSC_08014, APOSC_08012	CAPO304248
OG0000609	APOSC_15758	CAPO306415
OG0000611	APOSC_10183	CAPO305139
OG0000611	APOSC_21101	CAPO302505
OG0000612	APOSC_01590	CAPO308174
OG0000612	APOSC_11557	CAPO300901
OG0000613	APOSC_03778, APOSC_26003	CAPO306741, CAPO303985
OG0000614	APOSC_01606, APOSC_01607	CAPO308097
OG0000614	APOSC_29108, APOSC_13391, APOSC_01420, APOSC_13390	CAPO306138, CAPO304207
