Orthogroup	APOSC_ok	YEAST
OG0000175	APOSC_11434, APOSC_18274, APOSC_04788, APOSC_04789, APOSC_01015, APOSC_18455, APOSC_27959, APOSC_10607, APOSC_02663, APOSC_15663, APOSC_16993, APOSC_02106, APOSC_04816	YEAST00850, YEAST04327
OG0000179	APOSC_21690, APOSC_12111, APOSC_21863, APOSC_17377, APOSC_21864	YEAST01123, YEAST04430
OG0000179	APOSC_01350, APOSC_01107	YEAST02911, YEAST01281
OG0000179	APOSC_01246	YEAST04108, YEAST03346
OG0000181	APOSC_02361, APOSC_18007, APOSC_09899, APOSC_22437, APOSC_01446, APOSC_07714, APOSC_21154, APOSC_23852, APOSC_04711, APOSC_19141	YEAST00824, YEAST00771
OG0000186	APOSC_16659, APOSC_28113, APOSC_05570, APOSC_02026, APOSC_05569, APOSC_09256, APOSC_05572, APOSC_05481, APOSC_17386, APOSC_05571, APOSC_24483	YEAST00336
OG0000194	APOSC_08244, APOSC_28959, APOSC_12079, APOSC_02139, APOSC_23179, APOSC_16403, APOSC_17541, APOSC_23977, APOSC_23755	YEAST01410
OG0000195	APOSC_18323, APOSC_17248, APOSC_07635, APOSC_25597, APOSC_05403, APOSC_26673, APOSC_09319, APOSC_28768	YEAST03414
OG0000211	APOSC_20059, APOSC_12887, APOSC_15302, APOSC_11394, APOSC_11393	YEAST04964
OG0000221	APOSC_16263, APOSC_14357, APOSC_14358, APOSC_14359, APOSC_15397	YEAST05872
OG0000222	APOSC_08995, APOSC_00148, APOSC_21408, APOSC_17306, APOSC_24662, APOSC_18810, APOSC_29111	YEAST01460
OG0000225	APOSC_17424, APOSC_17423, APOSC_28152, APOSC_13403, APOSC_16327, APOSC_12109	YEAST06146
OG0000227	APOSC_28503, APOSC_12980, APOSC_05191, APOSC_01281, APOSC_13947	YEAST05815
OG0000228	APOSC_19530, APOSC_19529, APOSC_24474	YEAST04750
OG0000233	APOSC_20492, APOSC_20491, APOSC_08594, APOSC_20493, APOSC_17951, APOSC_12310, APOSC_03772	YEAST03726, YEAST03241, YEAST03242
OG0000238	APOSC_11219, APOSC_20889, APOSC_02443, APOSC_14952, APOSC_02534, APOSC_12649	YEAST06340, YEAST03834
OG0000240	APOSC_07530, APOSC_14411, APOSC_06029, APOSC_05934, APOSC_25321, APOSC_06614, APOSC_28074, APOSC_28072, APOSC_28073	YEAST03827
OG0000240	APOSC_23062	YEAST04973
OG0000242	APOSC_14781, APOSC_16970, APOSC_16971, APOSC_15793, APOSC_24338	YEAST00734
OG0000246	APOSC_00635, APOSC_17922, APOSC_11583	YEAST01746, YEAST01747
OG0000250	APOSC_27451, APOSC_09132, APOSC_03832, APOSC_25705	YEAST04716
OG0000255	APOSC_21297, APOSC_00489, APOSC_18233, APOSC_18232, APOSC_19496, APOSC_00435, APOSC_25370, APOSC_25369, APOSC_04436, APOSC_05899	YEAST02822
OG0000256	APOSC_10246, APOSC_16681, APOSC_15086, APOSC_11495, APOSC_27505, APOSC_22638	YEAST00266
OG0000258	APOSC_06996, APOSC_15815, APOSC_03499, APOSC_03498	YEAST00118
OG0000260	APOSC_16649, APOSC_19872, APOSC_16650	YEAST04323
OG0000265	APOSC_08586	YEAST03885, YEAST03714
OG0000272	APOSC_07402, APOSC_13898, APOSC_13899, APOSC_03422, APOSC_08495, APOSC_11181, APOSC_11180, APOSC_15206	YEAST02076, YEAST01066
OG0000274	APOSC_21422, APOSC_26007, APOSC_02789, APOSC_24118, APOSC_24119, APOSC_27636, APOSC_02243, APOSC_06313, APOSC_21473	YEAST02118, YEAST04573, YEAST01485
OG0000278	APOSC_09086	YEAST03847
OG0000278	APOSC_04559, APOSC_08877, APOSC_00087, APOSC_12407	YEAST03806
OG0000278	APOSC_09423	YEAST04060
OG0000284	APOSC_08790, APOSC_20570, APOSC_16476, APOSC_24928, APOSC_16455, APOSC_24065, APOSC_13238, APOSC_13237	YEAST05621
OG0000289	APOSC_06815, APOSC_19166, APOSC_00919, APOSC_19609	YEAST00645
OG0000305	APOSC_10995, APOSC_22799, APOSC_03005, APOSC_02552	YEAST04899
OG0000308	APOSC_12039, APOSC_05445, APOSC_04644, APOSC_17328, APOSC_02947	YEAST02548
OG0000310	APOSC_16775, APOSC_10135, APOSC_16800, APOSC_25840, APOSC_00375	YEAST02635
OG0000312	APOSC_01999, APOSC_08606, APOSC_07994, APOSC_07993, APOSC_18962	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102
OG0000313	APOSC_29019, APOSC_14496	YEAST05106
OG0000315	APOSC_19230	YEAST04684
OG0000316	APOSC_26260, APOSC_09172, APOSC_03229, APOSC_03624, APOSC_07155	YEAST01673
OG0000317	APOSC_15951, APOSC_01541, APOSC_04469, APOSC_01628	YEAST01356
OG0000321	APOSC_16887, APOSC_23475, APOSC_12634	YEAST03264
OG0000323	APOSC_04441, APOSC_04442, APOSC_01088, APOSC_27646	YEAST02249
OG0000326	APOSC_12910	YEAST06268, YEAST05286
OG0000326	APOSC_26060	YEAST06056
OG0000327	APOSC_17692, APOSC_09780	YEAST01354
OG0000334	APOSC_21997, APOSC_22742, APOSC_12460, APOSC_12461, APOSC_17465, APOSC_17466, APOSC_15654, APOSC_06862, APOSC_16465, APOSC_00746, APOSC_25390, APOSC_25389, APOSC_00116, APOSC_14183, APOSC_26541, APOSC_09486, APOSC_09488, APOSC_18452, APOSC_09782	YEAST05626
OG0000338	APOSC_28658, APOSC_13614, APOSC_13615	YEAST02967
OG0000338	APOSC_13420, APOSC_13421	YEAST04211
OG0000343	APOSC_28356, APOSC_10760, APOSC_10761, APOSC_10758, APOSC_10759, APOSC_28355, APOSC_28357	YEAST03024, YEAST02736
OG0000345	APOSC_15380, APOSC_00930, APOSC_22342, APOSC_04411, APOSC_16470, APOSC_14110, APOSC_14111	YEAST01884
OG0000352	APOSC_22930, APOSC_22928, APOSC_22929, APOSC_17716, APOSC_00546, APOSC_20597	YEAST04069
OG0000357	APOSC_23713, APOSC_05413, APOSC_05414, APOSC_05412, APOSC_07835	YEAST01925
OG0000359	APOSC_09932, APOSC_27927, APOSC_15516	YEAST02489
OG0000363	APOSC_11763, APOSC_10288, APOSC_14583	YEAST04081, YEAST05870
OG0000365	APOSC_16992, APOSC_16991, APOSC_16935, APOSC_06515	YEAST05831
OG0000367	APOSC_08227, APOSC_15610	YEAST02141, YEAST03746, YEAST03210
OG0000372	APOSC_18539, APOSC_25246, APOSC_15484, APOSC_13917, APOSC_25245	YEAST05988
OG0000373	APOSC_15950, APOSC_23382, APOSC_21401	YEAST02023
OG0000373	APOSC_15290, APOSC_10379	YEAST04495, YEAST01417, YEAST05964
OG0000385	APOSC_00509, APOSC_23259	YEAST03496
OG0000393	APOSC_00406, APOSC_21190, APOSC_09454, APOSC_01755, APOSC_03383	YEAST04072, YEAST04071
OG0000393	APOSC_19188	YEAST01302
OG0000397	APOSC_08278	YEAST05080
OG0000399	APOSC_04841, APOSC_02547, APOSC_12700, APOSC_12699, APOSC_12371	YEAST02160
OG0000400	APOSC_28932, APOSC_28931, APOSC_14098, APOSC_23996	YEAST05911
OG0000402	APOSC_11815	YEAST01657, YEAST01929
OG0000405	APOSC_22532, APOSC_22533	YEAST06055, YEAST00411
OG0000412	APOSC_01194, APOSC_01195, APOSC_14273	YEAST04469
OG0000413	APOSC_03087, APOSC_04045	YEAST04905, YEAST05340
OG0000413	APOSC_03086	YEAST02838
OG0000419	APOSC_27054, APOSC_19811, APOSC_19812, APOSC_08628, APOSC_01698, APOSC_08566, APOSC_11016	YEAST05989
OG0000420	APOSC_12771, APOSC_26953, APOSC_23391	YEAST03886
OG0000424	APOSC_27699, APOSC_11109	YEAST03563
OG0000426	APOSC_23818	YEAST03440
OG0000427	APOSC_26405, APOSC_18019, APOSC_12867, APOSC_10303, APOSC_10299, APOSC_10304, APOSC_10301	YEAST02655, YEAST02439
OG0000429	APOSC_25050, APOSC_11210, APOSC_21310, APOSC_08336, APOSC_22406, APOSC_25805	YEAST02285
OG0000431	APOSC_26482, APOSC_21271, APOSC_09355	YEAST04014
OG0000433	APOSC_27672, APOSC_27673, APOSC_25213, APOSC_25212	YEAST06177, YEAST00117
OG0000437	APOSC_22443, APOSC_08659, APOSC_05623, APOSC_25255, APOSC_13437, APOSC_18716, APOSC_21833, APOSC_27007, APOSC_04756	YEAST03074, YEAST02073
OG0000442	APOSC_01037, APOSC_25495, APOSC_28475	YEAST05012
OG0000444	APOSC_22420, APOSC_27883, APOSC_27884, APOSC_27885	YEAST01115, YEAST04019
OG0000445	APOSC_13085, APOSC_27582, APOSC_29169, APOSC_06451, APOSC_22086, APOSC_02475, APOSC_03261, APOSC_24400, APOSC_00457, APOSC_22414, APOSC_04719, APOSC_02253	YEAST03068
OG0000450	APOSC_13051	YEAST04709, YEAST05909
OG0000461	APOSC_17426	YEAST00120
OG0000467	APOSC_24466	YEAST05317
OG0000467	APOSC_08499, APOSC_08498	YEAST03162
OG0000468	APOSC_15884, APOSC_04385, APOSC_04384, APOSC_23794, APOSC_02625	YEAST04372
OG0000469	APOSC_06315	YEAST02179, YEAST05440
OG0000469	APOSC_00048	YEAST02333, YEAST00863
OG0000474	APOSC_24332, APOSC_14236, APOSC_20732, APOSC_06438, APOSC_01743, APOSC_06626	YEAST02384
OG0000476	APOSC_19907, APOSC_10161, APOSC_04632, APOSC_05340	YEAST03038
OG0000479	APOSC_19125, APOSC_05602, APOSC_05603	YEAST04139
OG0000480	APOSC_23759, APOSC_15162, APOSC_11842	YEAST05750
OG0000481	APOSC_15444	YEAST01040
OG0000481	APOSC_09024	YEAST00916
OG0000481	APOSC_07226	YEAST00827, YEAST00774
OG0000484	APOSC_17564	YEAST05824
OG0000486	APOSC_27933, APOSC_23293, APOSC_14127, APOSC_20131, APOSC_06301, APOSC_18885, APOSC_05208	YEAST03122, YEAST04270
OG0000487	APOSC_05499, APOSC_00762, APOSC_10037, APOSC_17459, APOSC_22887	YEAST02728
OG0000488	APOSC_04230, APOSC_04229, APOSC_26548, APOSC_08190, APOSC_08192, APOSC_15904, APOSC_04231, APOSC_08193, APOSC_08191	YEAST01414
OG0000490	APOSC_08204	YEAST04297, YEAST00894
OG0000491	APOSC_11927	YEAST06196, YEAST00317
OG0000491	APOSC_28528	YEAST04587, YEAST03679
OG0000505	APOSC_03312, APOSC_13727, APOSC_13726	YEAST03067
OG0000508	APOSC_05722, APOSC_10035, APOSC_10034, APOSC_01187	YEAST04626
OG0000510	APOSC_13254, APOSC_09949, APOSC_08521	YEAST04569, YEAST05730
OG0000515	APOSC_18973, APOSC_22528, APOSC_08425, APOSC_11404, APOSC_03268, APOSC_06129, APOSC_25779, APOSC_03503, APOSC_09118, APOSC_21512, APOSC_13179, APOSC_03267, APOSC_23560, APOSC_23565, APOSC_11787, APOSC_24998	YEAST04784, YEAST05876
OG0000519	APOSC_08070, APOSC_07952, APOSC_07867, APOSC_26169, APOSC_12522, APOSC_03973	YEAST04594, YEAST03616
OG0000520	APOSC_12204, APOSC_12202, APOSC_12203, APOSC_24142, APOSC_24141	YEAST02979
OG0000523	APOSC_17136, APOSC_11385	YEAST01952, YEAST05838, YEAST06082
OG0000529	APOSC_19112, APOSC_19113, APOSC_19111, APOSC_23098	YEAST05790, YEAST00048
OG0000534	APOSC_19109, APOSC_19108, APOSC_19110, APOSC_25538, APOSC_15159	YEAST04932
OG0000538	APOSC_00020, APOSC_00021, APOSC_00019	YEAST00499
OG0000549	APOSC_08202, APOSC_11264, APOSC_04931, APOSC_21216, APOSC_12322, APOSC_09908, APOSC_27494, APOSC_06706, APOSC_02592, APOSC_02591, APOSC_11384	YEAST06280, YEAST02610, YEAST05060
OG0000552	APOSC_17802, APOSC_27388, APOSC_24689	YEAST05717
OG0000561	APOSC_03200, APOSC_16141, APOSC_11810, APOSC_07680	YEAST06202, YEAST00331
OG0000562	APOSC_06195, APOSC_20626	YEAST00314
OG0000563	APOSC_00239, APOSC_04439, APOSC_16157, APOSC_09253	YEAST01406
OG0000566	APOSC_11934, APOSC_11935, APOSC_15450	YEAST05789, YEAST00049
OG0000573	APOSC_00916, APOSC_06381	YEAST05675
OG0000576	APOSC_14912, APOSC_14911	YEAST00470, YEAST00193
OG0000578	APOSC_19019	YEAST01208, YEAST00759
OG0000579	APOSC_16538	YEAST02484
OG0000582	APOSC_22258, APOSC_19007, APOSC_19006	YEAST03615
OG0000587	APOSC_07501	YEAST04063
OG0000587	APOSC_00084	YEAST03372
OG0000588	APOSC_14978, APOSC_23369	YEAST05197
OG0000590	APOSC_14417, APOSC_05832	YEAST05110, YEAST05552, YEAST03727
OG0000592	APOSC_07367, APOSC_26247	YEAST00388
OG0000597	APOSC_18654, APOSC_09238, APOSC_11831	YEAST04330
OG0000609	APOSC_21629, APOSC_15758	YEAST05180
OG0000612	APOSC_01590	YEAST02370
OG0000612	APOSC_11557	YEAST03629
OG0000613	APOSC_03778, APOSC_26003	YEAST01072
OG0000623	APOSC_11408, APOSC_11407	YEAST02411
OG0000623	APOSC_25178, APOSC_25179, APOSC_28396	YEAST05090
OG0000627	APOSC_21489, APOSC_19887	YEAST02116, YEAST03957
OG0000639	APOSC_28763, APOSC_01472	YEAST02015
OG0000642	APOSC_28101, APOSC_19716, APOSC_19520, APOSC_21780, APOSC_15545	YEAST00618
OG0000645	APOSC_03352	YEAST05140
OG0000645	APOSC_00638, APOSC_09352	YEAST04743
OG0000647	APOSC_09611	YEAST04534
OG0000648	APOSC_03595, APOSC_17710, APOSC_17709, APOSC_15129, APOSC_14173, APOSC_08045	YEAST04178, YEAST05641
OG0000657	APOSC_07236, APOSC_28772, APOSC_17511, APOSC_28771	YEAST03846
OG0000660	APOSC_15989, APOSC_26737, APOSC_25408	YEAST05150, YEAST01587
OG0000662	APOSC_10023, APOSC_20576, APOSC_08470, APOSC_08472	YEAST05937
OG0000663	APOSC_03380, APOSC_10431	YEAST02675, YEAST03294
OG0000665	APOSC_24789	YEAST03843
OG0000672	APOSC_13094, APOSC_20369, APOSC_17793, APOSC_27234, APOSC_11490	YEAST03771
OG0000672	APOSC_05056	YEAST00984
OG0000676	APOSC_12565	YEAST01503
OG0000676	APOSC_24592	YEAST02962
OG0000683	APOSC_06085, APOSC_22743	YEAST03152, YEAST03537, YEAST05938
OG0000690	APOSC_12924	YEAST04874
OG0000690	APOSC_06851	YEAST02296
OG0000692	APOSC_26279	YEAST01969
OG0000692	APOSC_09929	YEAST03487
OG0000694	APOSC_21845	YEAST05978
OG0000699	APOSC_23924, APOSC_18614, APOSC_12142	YEAST05706
OG0000701	APOSC_29144, APOSC_29143	YEAST02239, YEAST02223
OG0000703	APOSC_08255, APOSC_12548	YEAST05314
OG0000708	APOSC_22565, APOSC_22564, APOSC_04164	YEAST05997
OG0000709	APOSC_21004, APOSC_01261	YEAST00057
OG0000724	APOSC_04422, APOSC_04423	YEAST02013
OG0000732	APOSC_01005, APOSC_22697, APOSC_22696	YEAST04978
OG0000733	APOSC_15598, APOSC_14468	YEAST05474
OG0000735	APOSC_08541, APOSC_08542	YEAST05945
OG0000737	APOSC_18824, APOSC_08933, APOSC_08934, APOSC_08935	YEAST05188
OG0000744	APOSC_21453, APOSC_21454, APOSC_22851	YEAST05951
OG0000745	APOSC_07957, APOSC_07956, APOSC_27337, APOSC_27338, APOSC_10295, APOSC_02392	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102
OG0000752	APOSC_04900, APOSC_11897, APOSC_20705	YEAST01432, YEAST04483
OG0000753	APOSC_17933, APOSC_23432	YEAST01034, YEAST02037
OG0000757	APOSC_21066, APOSC_13824	YEAST01489
OG0000758	APOSC_04627, APOSC_04628, APOSC_04626	YEAST01504
OG0000759	APOSC_10203	YEAST02878, YEAST05681
OG0000765	APOSC_04654	YEAST05027, YEAST03009, YEAST01404
OG0000768	APOSC_11098, APOSC_11096, APOSC_11097	YEAST02560, YEAST04269
OG0000772	APOSC_24323, APOSC_04766, APOSC_17782	YEAST04929
OG0000776	APOSC_14658, APOSC_04219, APOSC_04218, APOSC_26884, APOSC_23547, APOSC_14259, APOSC_20069, APOSC_25314, APOSC_15172, APOSC_01907	YEAST04571, YEAST00195, YEAST00312
OG0000777	APOSC_00730, APOSC_16029, APOSC_06075	YEAST06297, YEAST02627
OG0000779	APOSC_20892, APOSC_15142	YEAST03812
OG0000782	APOSC_02046, APOSC_02045	YEAST01393, YEAST05616
OG0000791	APOSC_26179, APOSC_26180	YEAST02375
OG0000794	APOSC_25175, APOSC_12304, APOSC_28540, APOSC_17611, APOSC_08351, APOSC_01861, APOSC_03932	YEAST04627
OG0000800	APOSC_27669	YEAST03636
OG0000809	APOSC_01373, APOSC_01372	YEAST01998
OG0000817	APOSC_13738, APOSC_22901	YEAST00389
OG0000817	APOSC_07767	YEAST06112
OG0000824	APOSC_26516	YEAST01319, YEAST02883
OG0000828	APOSC_05791	YEAST00945, YEAST05476, YEAST00075
OG0000828	APOSC_22977, APOSC_11571	YEAST02290
OG0000837	APOSC_28068, APOSC_14436, APOSC_00892, APOSC_07079, APOSC_28069, APOSC_28067, APOSC_06905, APOSC_04004, APOSC_12041, APOSC_06484, APOSC_27044, APOSC_21308	YEAST06222
OG0000841	APOSC_26322, APOSC_23985, APOSC_23987, APOSC_23986	YEAST02416
OG0000847	APOSC_10143	YEAST02881, YEAST03544, YEAST06198
OG0000847	APOSC_11562	YEAST02530, YEAST00209
OG0000849	APOSC_27634, APOSC_09266, APOSC_03689	YEAST04475
OG0000850	APOSC_08264, APOSC_00774, APOSC_23927	YEAST04287
OG0000852	APOSC_20285, APOSC_20286, APOSC_02824	YEAST01266
OG0000855	APOSC_08922, APOSC_08923, APOSC_26256	YEAST04755
OG0000857	APOSC_24744	YEAST00309
OG0000868	APOSC_23188, APOSC_17550, APOSC_06087, APOSC_13101, APOSC_22114	YEAST06157
OG0000871	APOSC_16796, APOSC_20272, APOSC_28302, APOSC_27777, APOSC_03183, APOSC_14488	YEAST03857
OG0000872	APOSC_01621, APOSC_01620	YEAST03222, YEAST03741
OG0000875	APOSC_06925, APOSC_26698, APOSC_26697, APOSC_10108, APOSC_10816, APOSC_05938	YEAST00077
OG0000876	APOSC_13414	YEAST05556
OG0000879	APOSC_13173, APOSC_26037, APOSC_25589, APOSC_19618	YEAST06123
OG0000888	APOSC_22842, APOSC_02163	YEAST00288
OG0000889	APOSC_15049, APOSC_07753, APOSC_09768, APOSC_28468	YEAST00175
OG0000894	APOSC_05906, APOSC_06317, APOSC_02796, APOSC_02797	YEAST03763
OG0000896	APOSC_16669	YEAST04923
OG0000898	APOSC_16195	YEAST06255, YEAST03431
OG0000905	APOSC_09225, APOSC_09226	YEAST00599
OG0000907	APOSC_00840	YEAST02193
OG0000913	APOSC_04388	YEAST03557, YEAST05101
OG0000914	APOSC_12098	YEAST04745
OG0000921	APOSC_26555, APOSC_24063	YEAST02526
OG0000925	APOSC_04534, APOSC_05628	YEAST05667, YEAST06025
OG0000932	APOSC_20073, APOSC_27821, APOSC_27820	YEAST03525
OG0000933	APOSC_28945	YEAST06306
OG0000934	APOSC_15771	YEAST02582, YEAST06252
OG0000934	APOSC_01130	YEAST05040
OG0000935	APOSC_07475	YEAST02843
OG0000943	APOSC_21318, APOSC_16658	YEAST03805
OG0000944	APOSC_18987	YEAST04878
OG0000954	APOSC_16116, APOSC_16117, APOSC_17406, APOSC_17405	YEAST05503, YEAST01249
OG0000955	APOSC_05735	YEAST00837
OG0000955	APOSC_04505	YEAST04295
OG0000963	APOSC_02511, APOSC_02848	YEAST03685, YEAST00482, YEAST01749
