Orthogroup	APOSC_ok	SCHMD
OG0000084	APOSC_11978, APOSC_20094	SCHMD22494, SCHMD00101, SCHMD19528, SCHMD27116, SCHMD16538, SCHMD01409
OG0000085	APOSC_26270	SCHMD12837
OG0000085	APOSC_00722	SCHMD12836
OG0000085	APOSC_00825	SCHMD12466
OG0000085	APOSC_21002	SCHMD18327
OG0000087	APOSC_11638	SCHMD25358
OG0000087	APOSC_20551	SCHMD03394
OG0000087	APOSC_26769	SCHMD23919
OG0000090	APOSC_26679	SCHMD10805, SCHMD21388
OG0000090	APOSC_16212	SCHMD15560
OG0000090	APOSC_12792, APOSC_14834	SCHMD06769
OG0000093	APOSC_06754, APOSC_15822	SCHMD04238
OG0000094	APOSC_02606, APOSC_02607	SCHMD23746, SCHMD24402, SCHMD07078, SCHMD24401, SCHMD13656, SCHMD18841, SCHMD20088, SCHMD18376, SCHMD14753
OG0000094	APOSC_14430	SCHMD21133, SCHMD07079
OG0000094	APOSC_21896, APOSC_21895	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097
OG0000095	APOSC_19404, APOSC_13013, APOSC_05229	SCHMD24112, SCHMD21858, SCHMD25769, SCHMD20853, SCHMD22035, SCHMD24353, SCHMD22942
OG0000096	APOSC_03162	SCHMD07753
OG0000096	APOSC_04023	SCHMD18607
OG0000096	APOSC_21738, APOSC_21519	SCHMD10033
OG0000097	APOSC_11461, APOSC_17572, APOSC_20070, APOSC_12562, APOSC_06529, APOSC_13979, APOSC_01469, APOSC_01422, APOSC_10466, APOSC_25749, APOSC_17618, APOSC_12110, APOSC_26471, APOSC_20407	SCHMD22037, SCHMD20326
OG0000098	APOSC_27629, APOSC_10815	SCHMD29644, SCHMD22119
OG0000099	APOSC_10853, APOSC_02624	SCHMD03930, SCHMD15019
OG0000099	APOSC_25391, APOSC_06951	SCHMD11735, SCHMD29475, SCHMD24883, SCHMD19972
OG0000099	APOSC_01352, APOSC_23267	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543
OG0000101	APOSC_10387	SCHMD06502, SCHMD06505, SCHMD06506
OG0000102	APOSC_09106	SCHMD01941, SCHMD14185, SCHMD04701, SCHMD06158
OG0000103	APOSC_08194	SCHMD29081, SCHMD19673
OG0000103	APOSC_19265	SCHMD08147
OG0000106	APOSC_22868, APOSC_21078, APOSC_19922, APOSC_04238, APOSC_13779, APOSC_13776, APOSC_13777, APOSC_13780, APOSC_13778, APOSC_25862, APOSC_25863	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496
OG0000110	APOSC_15633, APOSC_20613, APOSC_13751	SCHMD11887
OG0000113	APOSC_22087, APOSC_26451	SCHMD06629, SCHMD02664
OG0000114	APOSC_23462	SCHMD19276
OG0000114	APOSC_10928, APOSC_00248, APOSC_23655, APOSC_06012, APOSC_17348, APOSC_05416	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739
OG0000115	APOSC_26367	SCHMD28271, SCHMD15320
OG0000116	APOSC_00704	SCHMD19106
OG0000116	APOSC_02575	SCHMD19105
OG0000117	APOSC_01933	SCHMD07660, SCHMD02896, SCHMD11493
OG0000117	APOSC_08799	SCHMD14102
OG0000119	APOSC_11483, APOSC_20728, APOSC_03029, APOSC_22358, APOSC_01445, APOSC_04311, APOSC_04310, APOSC_02102, APOSC_19027, APOSC_11438, APOSC_25237, APOSC_25238	SCHMD02911
OG0000120	APOSC_04315	SCHMD07084
OG0000122	APOSC_11178	SCHMD00543, SCHMD16641, SCHMD09849
OG0000123	APOSC_24903	SCHMD11518, SCHMD04649, SCHMD20176, SCHMD20977
OG0000124	APOSC_29022, APOSC_26551, APOSC_24532, APOSC_05277	SCHMD10270, SCHMD10271
OG0000124	APOSC_08819	SCHMD11964, SCHMD20871, SCHMD16822
OG0000124	APOSC_03695	SCHMD08774
OG0000126	APOSC_16760	SCHMD24144
OG0000126	APOSC_16759	SCHMD06494
OG0000126	APOSC_21117	SCHMD01813, SCHMD04253
OG0000127	APOSC_09690	SCHMD03781
OG0000127	APOSC_16975	SCHMD18620
OG0000128	APOSC_01674, APOSC_22700, APOSC_06337, APOSC_23630, APOSC_23631, APOSC_15987, APOSC_15026, APOSC_22520, APOSC_16380, APOSC_16568, APOSC_16647, APOSC_16648, APOSC_09785	SCHMD25789, SCHMD19594
OG0000129	APOSC_12123	SCHMD20816
OG0000129	APOSC_24173	SCHMD05405
OG0000129	APOSC_21068	SCHMD03224
OG0000130	APOSC_17960, APOSC_11450	SCHMD02824, SCHMD13205
OG0000130	APOSC_28750	SCHMD17609
OG0000132	APOSC_13028, APOSC_01542, APOSC_27288, APOSC_18201, APOSC_28955, APOSC_10689	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374
OG0000135	APOSC_15099, APOSC_08214, APOSC_08213	SCHMD24143, SCHMD24147
OG0000137	APOSC_01981, APOSC_01895, APOSC_21797	SCHMD09558
OG0000139	APOSC_05339	SCHMD18769, SCHMD20210, SCHMD18241, SCHMD26472, SCHMD14124
OG0000140	APOSC_21817, APOSC_06250	SCHMD02421, SCHMD05316, SCHMD01679
OG0000140	APOSC_13035	SCHMD01677
OG0000142	APOSC_24389	SCHMD14394
OG0000142	APOSC_05931	SCHMD01440, SCHMD00718
OG0000142	APOSC_06545, APOSC_21775, APOSC_20241, APOSC_07546, APOSC_00286, APOSC_07201, APOSC_14102	SCHMD03732, SCHMD10133, SCHMD15810, SCHMD15070, SCHMD02364
OG0000147	APOSC_20902	SCHMD11019
OG0000148	APOSC_22996	SCHMD08056
OG0000148	APOSC_25505, APOSC_02226	SCHMD08055
OG0000151	APOSC_26828, APOSC_02355, APOSC_10983, APOSC_26533, APOSC_24307, APOSC_20523, APOSC_17583, APOSC_11077, APOSC_11076	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274
OG0000151	APOSC_27430	SCHMD02747, SCHMD12342
OG0000155	APOSC_09923, APOSC_09921, APOSC_09922	SCHMD23773, SCHMD18379, SCHMD09661, SCHMD07787
OG0000157	APOSC_02266	SCHMD03548, SCHMD06363
OG0000157	APOSC_27261	SCHMD24948, SCHMD15302, SCHMD05230, SCHMD01802, SCHMD01418
OG0000158	APOSC_22004	SCHMD18936
OG0000158	APOSC_17391	SCHMD09898, SCHMD12271, SCHMD07912
OG0000158	APOSC_02468	SCHMD15100, SCHMD15049
OG0000159	APOSC_05622	SCHMD26601, SCHMD09606
OG0000159	APOSC_25144, APOSC_27680	SCHMD14942
OG0000162	APOSC_14431	SCHMD01637
OG0000163	APOSC_12914, APOSC_26564, APOSC_17645, APOSC_12728	SCHMD23090
OG0000163	APOSC_20618	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554
OG0000166	APOSC_18977	SCHMD08400
OG0000166	APOSC_14630	SCHMD15704, SCHMD08401
OG0000166	APOSC_14571	SCHMD28623, SCHMD22442
OG0000167	APOSC_17983	SCHMD10169, SCHMD14397, SCHMD01901, SCHMD10730
OG0000168	APOSC_13167	SCHMD29139
OG0000168	APOSC_07254	SCHMD28842, SCHMD22979, SCHMD29401
OG0000169	APOSC_19852, APOSC_05319	SCHMD00386
OG0000174	APOSC_08266	SCHMD08354, SCHMD22729
OG0000175	APOSC_11434	SCHMD23748, SCHMD18438, SCHMD03520
OG0000175	APOSC_18274, APOSC_04788, APOSC_04789, APOSC_01015, APOSC_18455, APOSC_27959, APOSC_10607, APOSC_02663, APOSC_15663, APOSC_16993, APOSC_02106, APOSC_04816	SCHMD18439, SCHMD17544
OG0000179	APOSC_21690, APOSC_12111, APOSC_21863, APOSC_17377, APOSC_21864	SCHMD11075
OG0000179	APOSC_01350	SCHMD01320
OG0000179	APOSC_10769, APOSC_20405, APOSC_23055	SCHMD18057, SCHMD09466, SCHMD10031, SCHMD16482, SCHMD14348, SCHMD09468
OG0000180	APOSC_05039	SCHMD20813
OG0000181	APOSC_18007, APOSC_09899, APOSC_22437	SCHMD27609, SCHMD12097, SCHMD28522
OG0000181	APOSC_21154, APOSC_23852	SCHMD03915, SCHMD03917, SCHMD09330, SCHMD09328
OG0000181	APOSC_19141	SCHMD11453
OG0000182	APOSC_10765	SCHMD24741
OG0000182	APOSC_12587, APOSC_26166, APOSC_07989	SCHMD07603
OG0000183	APOSC_14059, APOSC_14061, APOSC_14060	SCHMD21103, SCHMD28756
OG0000183	APOSC_02686, APOSC_08693, APOSC_25503	SCHMD12130, SCHMD10333
OG0000186	APOSC_16659	SCHMD16812
OG0000186	APOSC_09256	SCHMD01519, SCHMD14176, SCHMD06313
OG0000192	APOSC_25727, APOSC_10785, APOSC_13284	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443
OG0000194	APOSC_08244, APOSC_28959, APOSC_12079, APOSC_02139, APOSC_23179, APOSC_16403, APOSC_17541, APOSC_23977, APOSC_23755	SCHMD11912, SCHMD12565
OG0000195	APOSC_18323	SCHMD06851
OG0000195	APOSC_07635, APOSC_25597	SCHMD06771
OG0000197	APOSC_01929	SCHMD10696, SCHMD17861, SCHMD23209
OG0000200	APOSC_22552	SCHMD07833, SCHMD18193, SCHMD17707
OG0000201	APOSC_29091, APOSC_29090	SCHMD28886, SCHMD20370, SCHMD17233
OG0000201	APOSC_24036	SCHMD00317, SCHMD09035
OG0000201	APOSC_29029	SCHMD10520
OG0000202	APOSC_17939	SCHMD21440, SCHMD09501, SCHMD21441
OG0000203	APOSC_26461	SCHMD13221
OG0000204	APOSC_15076	SCHMD05946, SCHMD11236, SCHMD20783
OG0000205	APOSC_28253	SCHMD14902, SCHMD14453
OG0000205	APOSC_24958	SCHMD18472, SCHMD00599, SCHMD27278
OG0000205	APOSC_17853	SCHMD07996
OG0000207	APOSC_21181, APOSC_21969, APOSC_12332	SCHMD06438, SCHMD26342, SCHMD25964, SCHMD04396
OG0000208	APOSC_28634	SCHMD02566, SCHMD12405, SCHMD11985, SCHMD22998, SCHMD11986, SCHMD02567, SCHMD02568, SCHMD12406, SCHMD01555, SCHMD12407, SCHMD05900
OG0000210	APOSC_25463, APOSC_18166, APOSC_09940, APOSC_02817, APOSC_26680, APOSC_11554, APOSC_01663	SCHMD17714, SCHMD17668, SCHMD15550, SCHMD10082, SCHMD15038, SCHMD22393
OG0000210	APOSC_12084	SCHMD26754
OG0000210	APOSC_11707	SCHMD24015
OG0000211	APOSC_15302	SCHMD21436
OG0000214	APOSC_10084	SCHMD27341
OG0000215	APOSC_22144	SCHMD27729, SCHMD15945
OG0000218	APOSC_25955, APOSC_07899	SCHMD01527
OG0000218	APOSC_15398, APOSC_28536, APOSC_15666, APOSC_28102, APOSC_02595, APOSC_03663	SCHMD26821
OG0000220	APOSC_08157, APOSC_17903	SCHMD15387, SCHMD08237
OG0000220	APOSC_13363, APOSC_13606, APOSC_11773	SCHMD07645
OG0000221	APOSC_16263, APOSC_14357, APOSC_14358, APOSC_14359, APOSC_15397	SCHMD10720
OG0000222	APOSC_08995, APOSC_00148, APOSC_21408, APOSC_17306, APOSC_24662, APOSC_18810, APOSC_29111	SCHMD21612, SCHMD08502
OG0000223	APOSC_25707, APOSC_25708	SCHMD02890, SCHMD03920
OG0000223	APOSC_16511, APOSC_16512	SCHMD07139, SCHMD25635, SCHMD26287, SCHMD25493
OG0000223	APOSC_13895	SCHMD07141
OG0000225	APOSC_17424, APOSC_17423, APOSC_28152, APOSC_13403, APOSC_16327, APOSC_12109	SCHMD14160, SCHMD23340, SCHMD13094, SCHMD25261, SCHMD22794, SCHMD14161
OG0000226	APOSC_12183, APOSC_02105, APOSC_01718	SCHMD28582
OG0000227	APOSC_12980	SCHMD05353
OG0000227	APOSC_05191, APOSC_01281, APOSC_13947	SCHMD04380
OG0000230	APOSC_01215, APOSC_01213	SCHMD23835, SCHMD14315
OG0000230	APOSC_01214	SCHMD27521, SCHMD14316
OG0000231	APOSC_23746	SCHMD15225, SCHMD17377
OG0000231	APOSC_19155, APOSC_10082, APOSC_10081, APOSC_18444, APOSC_12966	SCHMD23026
OG0000231	APOSC_06034	SCHMD24769, SCHMD25604
OG0000232	APOSC_17893	SCHMD14178, SCHMD02027
OG0000233	APOSC_03772	SCHMD01146, SCHMD07435, SCHMD22145
OG0000234	APOSC_24843, APOSC_24844	SCHMD19058, SCHMD11623, SCHMD10215, SCHMD25368
OG0000236	APOSC_18403	SCHMD00730
OG0000238	APOSC_20889	SCHMD22146, SCHMD14066
OG0000239	APOSC_21234	SCHMD18522
OG0000239	APOSC_24359, APOSC_24358	SCHMD03432
OG0000239	APOSC_04749, APOSC_04748, APOSC_04747	SCHMD06547
OG0000240	APOSC_07530	SCHMD06226, SCHMD00582
OG0000241	APOSC_07674	SCHMD13993
OG0000242	APOSC_24338	SCHMD20260
OG0000243	APOSC_27135, APOSC_11085	SCHMD17682, SCHMD15912, SCHMD11668
OG0000244	APOSC_19143	SCHMD21826
OG0000244	APOSC_27515	SCHMD15740, SCHMD18441, SCHMD21827
OG0000246	APOSC_00635, APOSC_17922	SCHMD16891, SCHMD17961, SCHMD12289
OG0000250	APOSC_27451	SCHMD07715, SCHMD11126
OG0000250	APOSC_09132	SCHMD00165
OG0000250	APOSC_25705	SCHMD03762, SCHMD05189
OG0000255	APOSC_00435	SCHMD14618, SCHMD25034
OG0000256	APOSC_10246	SCHMD06220
OG0000257	APOSC_27295, APOSC_28760	SCHMD24197
OG0000257	APOSC_16995	SCHMD15360
OG0000258	APOSC_06996	SCHMD00959
OG0000260	APOSC_19872, APOSC_16650	SCHMD00231
OG0000261	APOSC_25025	SCHMD06264, SCHMD17166
OG0000263	APOSC_27502, APOSC_02979, APOSC_24093, APOSC_12168, APOSC_25671, APOSC_21095, APOSC_06394, APOSC_10812, APOSC_22715, APOSC_17374	SCHMD21152, SCHMD16080, SCHMD25801, SCHMD26173, SCHMD15861, SCHMD05150
OG0000265	APOSC_09241	SCHMD14945, SCHMD03613, SCHMD19985
OG0000265	APOSC_08586	SCHMD18240, SCHMD09007
OG0000266	APOSC_17650	SCHMD08189
