Orthogroup	APOSC_ok	HUMAN
OG0000029	APOSC_20307, APOSC_21722, APOSC_14165, APOSC_23954, APOSC_24664, APOSC_08971	HUMAN17820, HUMAN02270, HUMAN21749, HUMAN19538
OG0000030	APOSC_06833, APOSC_14874, APOSC_04381	HUMAN23235, HUMAN23234, HUMAN23233, HUMAN23232
OG0000030	APOSC_21869, APOSC_21866, APOSC_21868, APOSC_21867	HUMAN01740, HUMAN28679
OG0000031	APOSC_14687	HUMAN17850
OG0000031	APOSC_14535	HUMAN06489, HUMAN17883, HUMAN26042
OG0000031	APOSC_22115, APOSC_01319	HUMAN26979, HUMAN14235
OG0000031	APOSC_17680	HUMAN07725
OG0000031	APOSC_02579	HUMAN14922, HUMAN14786
OG0000031	APOSC_22997	HUMAN18122, HUMAN18121, HUMAN02818, HUMAN02819
OG0000032	APOSC_07613, APOSC_02397, APOSC_12691, APOSC_10351, APOSC_01318, APOSC_23129, APOSC_10044	HUMAN06107, HUMAN06100, HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105, HUMAN21527, HUMAN05202, HUMAN10072
OG0000032	APOSC_24218, APOSC_15369, APOSC_23030, APOSC_14347, APOSC_17486, APOSC_15168, APOSC_06921, APOSC_26892, APOSC_15726	HUMAN19258
OG0000034	APOSC_28767, APOSC_28766	HUMAN11672, HUMAN11673
OG0000034	APOSC_01056	HUMAN16090, HUMAN04116, HUMAN06217, HUMAN01449
OG0000034	APOSC_00389	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933
OG0000034	APOSC_10138	HUMAN01831, HUMAN13891
OG0000034	APOSC_10830	HUMAN04678
OG0000034	APOSC_23397	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093
OG0000034	APOSC_15909	HUMAN04988
OG0000035	APOSC_27035	HUMAN06576
OG0000035	APOSC_25872	HUMAN09866
OG0000035	APOSC_04998	HUMAN06191, HUMAN03898
OG0000035	APOSC_25573	HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810
OG0000035	APOSC_08656, APOSC_21135, APOSC_21136	HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844
OG0000035	APOSC_27270	HUMAN04383
OG0000036	APOSC_08020, APOSC_04631, APOSC_04630, APOSC_25667	HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233
OG0000036	APOSC_05772, APOSC_15090, APOSC_26588	HUMAN11289
OG0000036	APOSC_21353, APOSC_15807, APOSC_21905, APOSC_27485	HUMAN22872
OG0000036	APOSC_22964, APOSC_22965, APOSC_06557, APOSC_05790, APOSC_07698, APOSC_26587, APOSC_05773, APOSC_15091, APOSC_15092	HUMAN27983, HUMAN15223
OG0000037	APOSC_01516	HUMAN25007, HUMAN25008, HUMAN25010, HUMAN25009, HUMAN25006, HUMAN02504, HUMAN08759, HUMAN04817
OG0000037	APOSC_24133	HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443
OG0000037	APOSC_28740	HUMAN19040, HUMAN28273, HUMAN16721
OG0000037	APOSC_09580, APOSC_09579	HUMAN03689
OG0000038	APOSC_26556, APOSC_03113	HUMAN17661, HUMAN07446, HUMAN17632
OG0000038	APOSC_28699	HUMAN18259
OG0000038	APOSC_13411, APOSC_17001	HUMAN18258
OG0000038	APOSC_12872, APOSC_10359, APOSC_20091, APOSC_10945	HUMAN19701
OG0000038	APOSC_25222, APOSC_10656	HUMAN18257
OG0000039	APOSC_12842, APOSC_27514	HUMAN02107, HUMAN02110, HUMAN02111
OG0000039	APOSC_00666	HUMAN29023
OG0000039	APOSC_17065	HUMAN02446, HUMAN02447, HUMAN02449, HUMAN02450
OG0000039	APOSC_06140, APOSC_06138, APOSC_06139, APOSC_14138, APOSC_03802, APOSC_26119, APOSC_03803, APOSC_06401, APOSC_25262, APOSC_17567, APOSC_27255	HUMAN13199
OG0000040	APOSC_12799, APOSC_05455, APOSC_11724, APOSC_11723, APOSC_18664, APOSC_11832, APOSC_16301, APOSC_16488, APOSC_28921, APOSC_07234	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640
OG0000041	APOSC_19034	HUMAN01392, HUMAN16072, HUMAN04227, HUMAN06826, HUMAN01391
OG0000041	APOSC_26184	HUMAN15981, HUMAN01398, HUMAN05838, HUMAN01400, HUMAN01399, HUMAN05837, HUMAN01401, HUMAN05836, HUMAN04298
OG0000041	APOSC_00445	HUMAN19139, HUMAN27913
OG0000044	APOSC_25765	HUMAN22107, HUMAN27712, HUMAN24292, HUMAN22106, HUMAN27711, HUMAN03716, HUMAN03718, HUMAN03717
OG0000044	APOSC_03195	HUMAN22417, HUMAN24391, HUMAN07519
OG0000044	APOSC_22317	HUMAN07517
OG0000045	APOSC_22122, APOSC_09364, APOSC_16917	HUMAN02932
OG0000046	APOSC_27956	HUMAN23116
OG0000047	APOSC_11734	HUMAN22760
OG0000048	APOSC_05588	HUMAN16328
OG0000048	APOSC_11695	HUMAN16644
OG0000048	APOSC_03220	HUMAN11449
OG0000049	APOSC_16875	HUMAN25699, HUMAN05316
OG0000049	APOSC_03799	HUMAN20965, HUMAN26499
OG0000049	APOSC_10378	HUMAN24353, HUMAN24922, HUMAN24921, HUMAN26912, HUMAN20433
OG0000049	APOSC_13440	HUMAN26500
OG0000051	APOSC_17477, APOSC_05458, APOSC_29038	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201
OG0000054	APOSC_11718, APOSC_21385, APOSC_21386, APOSC_08913, APOSC_09151	HUMAN23119
OG0000056	APOSC_00208, APOSC_00207, APOSC_00209	HUMAN22445, HUMAN01195, HUMAN14849, HUMAN14869, HUMAN14864, HUMAN14480, HUMAN01194
OG0000057	APOSC_23236, APOSC_24402, APOSC_06368	HUMAN29650
OG0000058	APOSC_09888	HUMAN17378, HUMAN03592
OG0000058	APOSC_06035, APOSC_20919	HUMAN23378
OG0000059	APOSC_10184	HUMAN21611
OG0000059	APOSC_00480	HUMAN05382, HUMAN22839, HUMAN23845
OG0000060	APOSC_15645	HUMAN25284
OG0000060	APOSC_08992	HUMAN16007, HUMAN16006, HUMAN04276, HUMAN06988
OG0000061	APOSC_14996	HUMAN17964, HUMAN26554
OG0000061	APOSC_00292	HUMAN18142, HUMAN20809, HUMAN13555, HUMAN15809, HUMAN25004, HUMAN12027, HUMAN17562, HUMAN17563, HUMAN20727, HUMAN26146, HUMAN26147, HUMAN26149, HUMAN27338, HUMAN27337
OG0000061	APOSC_26114, APOSC_02472	HUMAN26138, HUMAN26137, HUMAN12821
OG0000062	APOSC_13553, APOSC_13555, APOSC_22259, APOSC_22260, APOSC_26763	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195
OG0000062	APOSC_18486, APOSC_01084	HUMAN25285
OG0000063	APOSC_25041	HUMAN14398, HUMAN28499, HUMAN00858
OG0000063	APOSC_17949	HUMAN21099
OG0000063	APOSC_22074, APOSC_13172, APOSC_22080	HUMAN00859, HUMAN28501
OG0000063	APOSC_13886, APOSC_04832	HUMAN18628, HUMAN03783, HUMAN03782
OG0000066	APOSC_20821	HUMAN29798
OG0000067	APOSC_06312, APOSC_24028, APOSC_22826, APOSC_27789, APOSC_07620, APOSC_22825, APOSC_12297, APOSC_15268, APOSC_06846	HUMAN24070, HUMAN22809
OG0000068	APOSC_25733	HUMAN26983
OG0000069	APOSC_27459	HUMAN13360, HUMAN02573, HUMAN06204
OG0000069	APOSC_07708	HUMAN13361, HUMAN02574
OG0000069	APOSC_11021	HUMAN01509, HUMAN24625, HUMAN24602, HUMAN24629, HUMAN24631, HUMAN24608, HUMAN24669, HUMAN24667, HUMAN02614, HUMAN24605, HUMAN24620, HUMAN24658
OG0000070	APOSC_18875, APOSC_15113, APOSC_18604, APOSC_18402, APOSC_17719, APOSC_06564, APOSC_13706, APOSC_09948	HUMAN14161
OG0000072	APOSC_26208	HUMAN22965, HUMAN22964, HUMAN04101
OG0000072	APOSC_12820	HUMAN22852
OG0000073	APOSC_07375	HUMAN24982
OG0000073	APOSC_27321	HUMAN19028, HUMAN27930, HUMAN11516, HUMAN27929, HUMAN06831, HUMAN06836
OG0000074	APOSC_10399, APOSC_08687, APOSC_25382	HUMAN07045, HUMAN07044, HUMAN21437
OG0000074	APOSC_18220	HUMAN09283
OG0000074	APOSC_05606, APOSC_18640, APOSC_15236, APOSC_01404, APOSC_16347, APOSC_00195, APOSC_13504	HUMAN15238, HUMAN13822
OG0000075	APOSC_14489	HUMAN12839, HUMAN02593
OG0000075	APOSC_10923	HUMAN18233
OG0000075	APOSC_12033	HUMAN00444
OG0000075	APOSC_07538	HUMAN18234, HUMAN06328
OG0000075	APOSC_06620	HUMAN01424, HUMAN01425, HUMAN26867
OG0000075	APOSC_08706	HUMAN05783, HUMAN21047
OG0000075	APOSC_20859	HUMAN20335, HUMAN20336, HUMAN20532
OG0000075	APOSC_19754	HUMAN26884
OG0000077	APOSC_15032	HUMAN18656, HUMAN24161, HUMAN27605, HUMAN27606
OG0000077	APOSC_19689	HUMAN25299, HUMAN00457, HUMAN21175, HUMAN25341, HUMAN23402
OG0000078	APOSC_28185, APOSC_19588, APOSC_19587, APOSC_28007	HUMAN15000, HUMAN04284, HUMAN06996
OG0000079	APOSC_14016, APOSC_18637, APOSC_09201	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848
OG0000079	APOSC_14696	HUMAN22600, HUMAN22601, HUMAN24340
OG0000079	APOSC_10552, APOSC_10551	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260
OG0000079	APOSC_06744	HUMAN14208
OG0000079	APOSC_18934, APOSC_10580	HUMAN14194, HUMAN14192
OG0000081	APOSC_01179, APOSC_09602, APOSC_20049, APOSC_01834	HUMAN03680, HUMAN03679, HUMAN03681, HUMAN03678
OG0000082	APOSC_14161	HUMAN29167
OG0000082	APOSC_20096	HUMAN23869
OG0000082	APOSC_11149	HUMAN05645
OG0000082	APOSC_15864	HUMAN23871
OG0000083	APOSC_20881	HUMAN07535, HUMAN22993
OG0000084	APOSC_25447	HUMAN03696, HUMAN22975
OG0000084	APOSC_27325	HUMAN05352
OG0000085	APOSC_13201	HUMAN12866, HUMAN20608, HUMAN17788
OG0000085	APOSC_00722	HUMAN13119, HUMAN07215
OG0000085	APOSC_00825	HUMAN26172
OG0000085	APOSC_21002	HUMAN19734, HUMAN19733, HUMAN05027
OG0000085	APOSC_25216	HUMAN25832
OG0000087	APOSC_11638, APOSC_06339	HUMAN02557
OG0000087	APOSC_20552	HUMAN21001
OG0000087	APOSC_26769, APOSC_05507	HUMAN18010
OG0000087	APOSC_26553, APOSC_26554	HUMAN21063
OG0000088	APOSC_25039, APOSC_29170, APOSC_01733, APOSC_28334, APOSC_03375, APOSC_28335, APOSC_05697, APOSC_25335, APOSC_07827	HUMAN03260, HUMAN04395, HUMAN21618, HUMAN29776, HUMAN11422, HUMAN11423, HUMAN11367
OG0000089	APOSC_18760	HUMAN29653, HUMAN25674
OG0000089	APOSC_22092, APOSC_06490	HUMAN25675
OG0000090	APOSC_26110	HUMAN24709
OG0000090	APOSC_03937	HUMAN28948
OG0000094	APOSC_02606, APOSC_02607	HUMAN05793, HUMAN05794, HUMAN21039, HUMAN14813, HUMAN21040, HUMAN29866
OG0000094	APOSC_21896, APOSC_21895	HUMAN02204, HUMAN29518, HUMAN14811
OG0000096	APOSC_05085	HUMAN30343, HUMAN07778, HUMAN21683
OG0000096	APOSC_03162	HUMAN01418, HUMAN23507, HUMAN06774
OG0000096	APOSC_25015	HUMAN27289
OG0000096	APOSC_00869	HUMAN13889, HUMAN01832
OG0000096	APOSC_16859	HUMAN06142, HUMAN01455, HUMAN03867, HUMAN06143, HUMAN03866
OG0000096	APOSC_21738	HUMAN04200, HUMAN04201, HUMAN16028
OG0000096	APOSC_21519	HUMAN21561
OG0000098	APOSC_13176, APOSC_13174, APOSC_13175	HUMAN15990, HUMAN03957, HUMAN18424, HUMAN19602
OG0000098	APOSC_27629, APOSC_10815	HUMAN28791, HUMAN09489, HUMAN28772, HUMAN28773, HUMAN09201, HUMAN28771
OG0000099	APOSC_25391, APOSC_06951	HUMAN05424
OG0000099	APOSC_01352, APOSC_23267	HUMAN15639, HUMAN15638, HUMAN05635, HUMAN25408, HUMAN00740, HUMAN19390
OG0000101	APOSC_08305	HUMAN11236, HUMAN11477, HUMAN11479, HUMAN11478
OG0000101	APOSC_23688	HUMAN22036, HUMAN22037
OG0000101	APOSC_25079, APOSC_09250	HUMAN06575, HUMAN06643, HUMAN06644, HUMAN06642, HUMAN17830
OG0000102	APOSC_11388	HUMAN08946, HUMAN02473
OG0000103	APOSC_08194	HUMAN12034, HUMAN12033, HUMAN12032, HUMAN12035, HUMAN12031, HUMAN12036, HUMAN08164, HUMAN08165, HUMAN21265, HUMAN18888
OG0000103	APOSC_19265	HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080
OG0000104	APOSC_15082, APOSC_15083, APOSC_15085, APOSC_15084	HUMAN05724, HUMAN19523
OG0000104	APOSC_11443, APOSC_11444, APOSC_11442	HUMAN26011, HUMAN26009, HUMAN26010, HUMAN21916, HUMAN21915, HUMAN12742
OG0000104	APOSC_16135	HUMAN05721, HUMAN19524, HUMAN05723, HUMAN05722
OG0000104	APOSC_04087, APOSC_04088	HUMAN19373
OG0000104	APOSC_13374	HUMAN02405, HUMAN02404, HUMAN06960, HUMAN29799
OG0000106	APOSC_22868	HUMAN11182, HUMAN29629, HUMAN29628, HUMAN11556, HUMAN27976, HUMAN27977, HUMAN27979, HUMAN27978
OG0000106	APOSC_21078	HUMAN27844
OG0000106	APOSC_19922, APOSC_04238, APOSC_13779, APOSC_13776, APOSC_13777, APOSC_13780, APOSC_13778, APOSC_25862, APOSC_25863	HUMAN01589, HUMAN09602
OG0000107	APOSC_21347	HUMAN24661
OG0000113	APOSC_22087, APOSC_26451	HUMAN00919
OG0000114	APOSC_10928, APOSC_00248, APOSC_23655, APOSC_06012, APOSC_17348, APOSC_05416	HUMAN22220, HUMAN22219, HUMAN00197, HUMAN00198, HUMAN00199
OG0000115	APOSC_04786	HUMAN11469, HUMAN11468
OG0000116	APOSC_28097, APOSC_09224	HUMAN18678
OG0000117	APOSC_19840, APOSC_25285	HUMAN14532
OG0000119	APOSC_11483	HUMAN17875, HUMAN06568, HUMAN12949
OG0000119	APOSC_20728, APOSC_03029, APOSC_22358, APOSC_01445, APOSC_04311, APOSC_04310, APOSC_02102	HUMAN17960, HUMAN06534, HUMAN02909, HUMAN12779
OG0000119	APOSC_19027, APOSC_11438, APOSC_25237, APOSC_25238	HUMAN17940, HUMAN20669
OG0000120	APOSC_04315	HUMAN29071, HUMAN29070
OG0000120	APOSC_18873	HUMAN15435, HUMAN15439, HUMAN15434
OG0000120	APOSC_13215	HUMAN26557
OG0000120	APOSC_05045	HUMAN17966, HUMAN17965
OG0000121	APOSC_24649, APOSC_24650, APOSC_11574, APOSC_15665, APOSC_05374, APOSC_28387, APOSC_12126, APOSC_08548, APOSC_10960, APOSC_00676, APOSC_02343	HUMAN22782
OG0000122	APOSC_25177	HUMAN12772, HUMAN27264, HUMAN18288
OG0000122	APOSC_11178	HUMAN17166, HUMAN22503, HUMAN22502, HUMAN23904, HUMAN17167, HUMAN20607, HUMAN17789, HUMAN06426, HUMAN06427
OG0000123	APOSC_03443	HUMAN22221, HUMAN24254
OG0000123	APOSC_20465	HUMAN03664, HUMAN27696, HUMAN24043
OG0000123	APOSC_23180	HUMAN24256
OG0000124	APOSC_29022	HUMAN03991
OG0000124	APOSC_26551	HUMAN13586, HUMAN25969, HUMAN20106
OG0000124	APOSC_03695	HUMAN00442, HUMAN00443
OG0000124	APOSC_13919	HUMAN08498, HUMAN16926
OG0000124	APOSC_09834	HUMAN09305, HUMAN02618
OG0000125	APOSC_10519, APOSC_10520, APOSC_10518	HUMAN20601, HUMAN20600, HUMAN12568, HUMAN12567, HUMAN12566, HUMAN06479, HUMAN06480
OG0000125	APOSC_27450	HUMAN20598, HUMAN20599, HUMAN12556
OG0000125	APOSC_26262, APOSC_07039, APOSC_19200	HUMAN04438, HUMAN04439, HUMAN16073
OG0000126	APOSC_16760	HUMAN07866, HUMAN30407, HUMAN21845
OG0000126	APOSC_21117	HUMAN07493, HUMAN22359
OG0000126	APOSC_28093	HUMAN14005, HUMAN14232, HUMAN14231, HUMAN01769, HUMAN01768, HUMAN09480
OG0000127	APOSC_24103	HUMAN07859, HUMAN30409, HUMAN21844
OG0000127	APOSC_09690	HUMAN21549, HUMAN07766
OG0000127	APOSC_02788	HUMAN24572, HUMAN16589, HUMAN18562
OG0000127	APOSC_16052, APOSC_16050, APOSC_16051	HUMAN27422, HUMAN19318
OG0000127	APOSC_04103	HUMAN10225, HUMAN20144, HUMAN20145, HUMAN13245
OG0000128	APOSC_22700, APOSC_06337	HUMAN04854, HUMAN04855
OG0000128	APOSC_23630, APOSC_23631, APOSC_15987, APOSC_15026, APOSC_22520, APOSC_16380	HUMAN04482, HUMAN05330, HUMAN05329
OG0000129	APOSC_12123, APOSC_24173	HUMAN02545, HUMAN04877, HUMAN25129, HUMAN02543, HUMAN15464, HUMAN02634, HUMAN09344
OG0000129	APOSC_21068	HUMAN05233, HUMAN30228
OG0000130	APOSC_11963	HUMAN22786
OG0000130	APOSC_11111	HUMAN25167
OG0000130	APOSC_28750	HUMAN03377
OG0000131	APOSC_21472, APOSC_03272, APOSC_06150	HUMAN19899
OG0000132	APOSC_13028, APOSC_01542, APOSC_27288, APOSC_18201, APOSC_28955, APOSC_10689	HUMAN24615, HUMAN24626, HUMAN24666, HUMAN24609, HUMAN24612, HUMAN24601
OG0000132	APOSC_24064, APOSC_09777, APOSC_09775, APOSC_09776	HUMAN20126
OG0000133	APOSC_10890, APOSC_11662, APOSC_00731, APOSC_10887, APOSC_29109, APOSC_28597, APOSC_18469, APOSC_23463	HUMAN27246, HUMAN27250, HUMAN27247, HUMAN27249, HUMAN27245, HUMAN27244, HUMAN27243
OG0000137	APOSC_04370	HUMAN28180, HUMAN25590, HUMAN25594
OG0000137	APOSC_14845, APOSC_20394, APOSC_26237, APOSC_01998	HUMAN13481
OG0000137	APOSC_01981, APOSC_01895, APOSC_21797	HUMAN25150, HUMAN25149
OG0000139	APOSC_05339	HUMAN26414
OG0000140	APOSC_20679	HUMAN27223
OG0000140	APOSC_21817, APOSC_06250	HUMAN05841
OG0000140	APOSC_13035	HUMAN06860, HUMAN05842
OG0000141	APOSC_16747, APOSC_12558, APOSC_00130, APOSC_04354, APOSC_22998, APOSC_22734, APOSC_11878, APOSC_03319, APOSC_15420, APOSC_14671	HUMAN27964, HUMAN30567
OG0000147	APOSC_05531, APOSC_20902	HUMAN18499, HUMAN00218
OG0000147	APOSC_16682	HUMAN24559, HUMAN27635
OG0000147	APOSC_25363	HUMAN02299
OG0000147	APOSC_20013	HUMAN18714, HUMAN18712
OG0000148	APOSC_14879, APOSC_14878	HUMAN30520, HUMAN20407, HUMAN26826, HUMAN02390, HUMAN02389
OG0000148	APOSC_22996	HUMAN20409, HUMAN21158, HUMAN20413, HUMAN20412, HUMAN05377, HUMAN02391, HUMAN06229
OG0000148	APOSC_25505, APOSC_02226	HUMAN06230
