Orthogroup	APOSC_ok	NEMVE
OG0000051	APOSC_27336, APOSC_26514, APOSC_20666, APOSC_22461, APOSC_22344, APOSC_05956, APOSC_05955, APOSC_12406, APOSC_19227, APOSC_13392, APOSC_24381, APOSC_14991, APOSC_06697, APOSC_26726, APOSC_24540, APOSC_13520, APOSC_16788, APOSC_16789	NEMVE14426, NEMVE13406, NEMVE08489, NEMVE22548
OG0000051	APOSC_17477, APOSC_05458, APOSC_29038	NEMVE18951, NEMVE15008
OG0000053	APOSC_18028	NEMVE21440
OG0000054	APOSC_11718, APOSC_21385, APOSC_21386, APOSC_08913, APOSC_09151	NEMVE15086, NEMVE10916
OG0000055	APOSC_17351	NEMVE16653
OG0000056	APOSC_00208, APOSC_00207, APOSC_00209	NEMVE01724, NEMVE05835, NEMVE01653
OG0000056	APOSC_17578, APOSC_21646	NEMVE11865, NEMVE19274, NEMVE04833, NEMVE10670
OG0000056	APOSC_28851	NEMVE04649, NEMVE01116
OG0000056	APOSC_04228	NEMVE16234
OG0000057	APOSC_21283	NEMVE11351, NEMVE10421
OG0000057	APOSC_23236, APOSC_24402, APOSC_06368	NEMVE08590, NEMVE08584, NEMVE02970, NEMVE11676
OG0000058	APOSC_09888	NEMVE13151
OG0000058	APOSC_07162	NEMVE00498
OG0000058	APOSC_22832, APOSC_21555	NEMVE17922, NEMVE24060, NEMVE22352, NEMVE13854, NEMVE14802
OG0000059	APOSC_00480	NEMVE15315, NEMVE02009, NEMVE06154
OG0000060	APOSC_26756	NEMVE15983, NEMVE23420, NEMVE00402
OG0000060	APOSC_09536, APOSC_09537	NEMVE02438
OG0000060	APOSC_08992	NEMVE01006, NEMVE11210, NEMVE00908, NEMVE18881, NEMVE00777
OG0000062	APOSC_18486, APOSC_01084	NEMVE14126
OG0000062	APOSC_00580	NEMVE00002, NEMVE17871
OG0000063	APOSC_25041	NEMVE05614
OG0000063	APOSC_17949	NEMVE00961
OG0000063	APOSC_22074, APOSC_13172, APOSC_22080	NEMVE23740, NEMVE18393
OG0000063	APOSC_13886, APOSC_04832	NEMVE09684
OG0000064	APOSC_21665, APOSC_24643, APOSC_02073, APOSC_18105, APOSC_02888, APOSC_19510, APOSC_15388, APOSC_20038, APOSC_07444, APOSC_02613, APOSC_05716, APOSC_25945, APOSC_15039, APOSC_20441, APOSC_24674, APOSC_13863, APOSC_14837, APOSC_08886, APOSC_12172, APOSC_00123, APOSC_00124, APOSC_02280, APOSC_23584, APOSC_05495, APOSC_01296, APOSC_15130, APOSC_09884, APOSC_19159	NEMVE19911, NEMVE17597, NEMVE15687
OG0000065	APOSC_12531, APOSC_10714, APOSC_21764, APOSC_21765, APOSC_14736, APOSC_03698, APOSC_03697, APOSC_01129, APOSC_00150, APOSC_01985, APOSC_25088, APOSC_15108, APOSC_28621, APOSC_19931, APOSC_19932, APOSC_12157, APOSC_09424, APOSC_03762, APOSC_19098	NEMVE02128, NEMVE02142, NEMVE07842, NEMVE11941, NEMVE09169, NEMVE17235, NEMVE07009, NEMVE07010, NEMVE01667, NEMVE07812, NEMVE11483, NEMVE06777, NEMVE05666, NEMVE09396, NEMVE07281, NEMVE13551
OG0000066	APOSC_05447	NEMVE00883
OG0000066	APOSC_10537	NEMVE08925
OG0000066	APOSC_19939, APOSC_15688	NEMVE05032
OG0000066	APOSC_19084	NEMVE05988
OG0000067	APOSC_04289, APOSC_00615, APOSC_00616	NEMVE10714
OG0000067	APOSC_06312, APOSC_24028, APOSC_22826, APOSC_27789, APOSC_07620, APOSC_22825, APOSC_12297, APOSC_15268, APOSC_06846	NEMVE14139, NEMVE14099
OG0000068	APOSC_25733, APOSC_04447, APOSC_04446, APOSC_11083, APOSC_11080, APOSC_11082, APOSC_20989, APOSC_25395, APOSC_02568, APOSC_02111, APOSC_25732, APOSC_09494	NEMVE24661, NEMVE20048
OG0000069	APOSC_25356	NEMVE14181
OG0000069	APOSC_27459, APOSC_09914, APOSC_04180, APOSC_28736	NEMVE15092
OG0000069	APOSC_07708	NEMVE19917, NEMVE02861
OG0000069	APOSC_11021	NEMVE13176, NEMVE12607
OG0000071	APOSC_15139	NEMVE11425, NEMVE00556, NEMVE14043
OG0000071	APOSC_13628	NEMVE03090
OG0000071	APOSC_00250	NEMVE23762, NEMVE04901
OG0000072	APOSC_14045	NEMVE01460
OG0000072	APOSC_26208	NEMVE07818
OG0000074	APOSC_12600, APOSC_10370	NEMVE06258
OG0000074	APOSC_18220	NEMVE04681
OG0000075	APOSC_14489	NEMVE23844
OG0000075	APOSC_12033	NEMVE15115
OG0000075	APOSC_07538	NEMVE18051
OG0000075	APOSC_06620	NEMVE24197
OG0000075	APOSC_08706	NEMVE22411
OG0000075	APOSC_20859	NEMVE17771
OG0000075	APOSC_19754	NEMVE07707
OG0000076	APOSC_27192, APOSC_24774, APOSC_00610	NEMVE11640
OG0000076	APOSC_13547, APOSC_27046, APOSC_06553, APOSC_03640, APOSC_24931, APOSC_02646, APOSC_07341, APOSC_25810, APOSC_11913	NEMVE17640, NEMVE07717, NEMVE12326
OG0000076	APOSC_15374, APOSC_08363	NEMVE17885
OG0000076	APOSC_15410, APOSC_03196, APOSC_11772, APOSC_00749	NEMVE11563
OG0000077	APOSC_15032, APOSC_19689, APOSC_21239, APOSC_06807	NEMVE04990
OG0000078	APOSC_00200, APOSC_02992, APOSC_10949, APOSC_21464, APOSC_21465	NEMVE13703, NEMVE01522
OG0000079	APOSC_15669	NEMVE09220
OG0000079	APOSC_14016, APOSC_18637, APOSC_09201	NEMVE07219, NEMVE03189
OG0000079	APOSC_14696	NEMVE02220
OG0000079	APOSC_10552, APOSC_10551	NEMVE08009
OG0000080	APOSC_24368, APOSC_04715, APOSC_01450, APOSC_22940, APOSC_28029, APOSC_24503, APOSC_15378, APOSC_18689, APOSC_22834, APOSC_25525, APOSC_01210, APOSC_13316, APOSC_20361, APOSC_15858, APOSC_21235, APOSC_10809, APOSC_25615, APOSC_14922, APOSC_07639, APOSC_12622	NEMVE06862
OG0000082	APOSC_14161	NEMVE19066
OG0000082	APOSC_20096	NEMVE05388
OG0000082	APOSC_05443, APOSC_27848, APOSC_13154, APOSC_11148, APOSC_10803, APOSC_18436, APOSC_27594, APOSC_20710, APOSC_10804, APOSC_10807, APOSC_10806, APOSC_23423, APOSC_11149	NEMVE14867, NEMVE15134
