Orthogroup	APOSC_ok	ASTMX
OG0000007	APOSC_10715	ASTMX18779, ASTMX07711
OG0000007	APOSC_17950	ASTMX15846, ASTMX15847, ASTMX10097
OG0000007	APOSC_07482	ASTMX10986, ASTMX01681, ASTMX08450
OG0000008	APOSC_05395	ASTMX13345, ASTMX11364
OG0000008	APOSC_25161	ASTMX13129
OG0000010	APOSC_17642	ASTMX00597, ASTMX00598
OG0000010	APOSC_18394, APOSC_00478, APOSC_18393, APOSC_18395, APOSC_12160	ASTMX11060
OG0000010	APOSC_25939	ASTMX06728, ASTMX17688, ASTMX18214
OG0000011	APOSC_14101, APOSC_22534, APOSC_11940	ASTMX22966, ASTMX22692
OG0000011	APOSC_16967	ASTMX07900
OG0000011	APOSC_21593	ASTMX20794
OG0000011	APOSC_01416, APOSC_25932	ASTMX01926
OG0000011	APOSC_19810	ASTMX21375, ASTMX22962, ASTMX22920
OG0000011	APOSC_09019, APOSC_09279, APOSC_11006, APOSC_12345	ASTMX23073, ASTMX20022, ASTMX23051
OG0000012	APOSC_26906, APOSC_13089	ASTMX22063, ASTMX16492
OG0000012	APOSC_26545	ASTMX06265
OG0000013	APOSC_26024, APOSC_17612	ASTMX14510, ASTMX15685, ASTMX16246, ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557, ASTMX19252, ASTMX15992, ASTMX02064, ASTMX06990, ASTMX20933, ASTMX21137, ASTMX05203, ASTMX03702
OG0000014	APOSC_00187	ASTMX12908, ASTMX11632
OG0000015	APOSC_22269	ASTMX21958, ASTMX03764, ASTMX21759
OG0000015	APOSC_04279	ASTMX18335, ASTMX18098, ASTMX06037, ASTMX18099, ASTMX04658, ASTMX18334, ASTMX04125, ASTMX06038, ASTMX08008, ASTMX04657, ASTMX18333
OG0000016	APOSC_05404, APOSC_06852, APOSC_19259	ASTMX03544, ASTMX11482, ASTMX09207
OG0000016	APOSC_09216	ASTMX17817, ASTMX17818, ASTMX05407, ASTMX11675
OG0000016	APOSC_00060, APOSC_00061, APOSC_17734, APOSC_26907	ASTMX00540
OG0000016	APOSC_14883	ASTMX02874
OG0000016	APOSC_28721	ASTMX17395
OG0000016	APOSC_19884	ASTMX13275, ASTMX19540, ASTMX20114, ASTMX00361
OG0000018	APOSC_00300	ASTMX23058
OG0000018	APOSC_01211, APOSC_18141, APOSC_26690, APOSC_28962, APOSC_22915, APOSC_22631, APOSC_07163, APOSC_26689	ASTMX14731, ASTMX14730, ASTMX09170, ASTMX13804
OG0000019	APOSC_14801, APOSC_11507	ASTMX19662, ASTMX20251, ASTMX21077, ASTMX14834, ASTMX14832, ASTMX21241, ASTMX14833, ASTMX15190, ASTMX17156
OG0000020	APOSC_14708	ASTMX04834
OG0000020	APOSC_13376	ASTMX12285
OG0000020	APOSC_28648	ASTMX15062
OG0000020	APOSC_09964	ASTMX16028
OG0000020	APOSC_00691	ASTMX17320
OG0000020	APOSC_03094	ASTMX04750, ASTMX21042
OG0000020	APOSC_05461	ASTMX04710
OG0000020	APOSC_14067	ASTMX07754
OG0000020	APOSC_25230	ASTMX13875
OG0000021	APOSC_11990	ASTMX05285, ASTMX16996, ASTMX01998
OG0000021	APOSC_06563, APOSC_06562	ASTMX04046, ASTMX15305
OG0000021	APOSC_02202	ASTMX02310, ASTMX16342
OG0000021	APOSC_27384	ASTMX09645
OG0000021	APOSC_03399, APOSC_23486, APOSC_20200, APOSC_20201, APOSC_00458, APOSC_17587, APOSC_13199, APOSC_11609, APOSC_23651, APOSC_17223, APOSC_20614	ASTMX21461, ASTMX05545
OG0000021	APOSC_04995, APOSC_08508, APOSC_08509, APOSC_11901, APOSC_23082	ASTMX13864
OG0000023	APOSC_14758	ASTMX18896
OG0000023	APOSC_23823, APOSC_12992, APOSC_08983, APOSC_08982	ASTMX07788, ASTMX10048, ASTMX07031, ASTMX08985, ASTMX18700, ASTMX14127, ASTMX07394, ASTMX07336, ASTMX04478, ASTMX03414
OG0000023	APOSC_23115	ASTMX02981, ASTMX04385, ASTMX04386, ASTMX11217, ASTMX00199, ASTMX01795, ASTMX02984, ASTMX02983
OG0000024	APOSC_01461, APOSC_26217, APOSC_01854, APOSC_01855, APOSC_18488, APOSC_05397, APOSC_28827, APOSC_12673, APOSC_17746, APOSC_17532, APOSC_17533, APOSC_28434, APOSC_09826, APOSC_02940	ASTMX13912, ASTMX19678, ASTMX01482, ASTMX02027, ASTMX06069, ASTMX05426
OG0000026	APOSC_25312	ASTMX06810
OG0000026	APOSC_13965	ASTMX12978
OG0000028	APOSC_17838, APOSC_17839	ASTMX01721, ASTMX15155, ASTMX14212
OG0000029	APOSC_07574, APOSC_20436	ASTMX02055, ASTMX06262, ASTMX11166, ASTMX03267, ASTMX11576, ASTMX22545
OG0000029	APOSC_20307, APOSC_21722, APOSC_14165, APOSC_23954, APOSC_24664, APOSC_08971	ASTMX12065, ASTMX05431, ASTMX02396, ASTMX13116, ASTMX01708
OG0000030	APOSC_06833, APOSC_14874, APOSC_04381	ASTMX06934
OG0000030	APOSC_21869, APOSC_21866, APOSC_21868, APOSC_21867	ASTMX13784, ASTMX06816, ASTMX18369
OG0000030	APOSC_00359	ASTMX02378, ASTMX18821
OG0000030	APOSC_12149	ASTMX22293
OG0000031	APOSC_16590	ASTMX05563
OG0000031	APOSC_14603	ASTMX17418, ASTMX22504, ASTMX18990, ASTMX06321, ASTMX15039, ASTMX21321, ASTMX15065
OG0000031	APOSC_14687	ASTMX08659, ASTMX04771
OG0000031	APOSC_14535	ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571
OG0000031	APOSC_00328	ASTMX06525
OG0000031	APOSC_01319	ASTMX11402, ASTMX09693, ASTMX17541
OG0000031	APOSC_17680	ASTMX03912, ASTMX00105
OG0000031	APOSC_02579	ASTMX13865, ASTMX02854, ASTMX20534, ASTMX14725
OG0000031	APOSC_22997	ASTMX13001, ASTMX20334, ASTMX13774, ASTMX02637
OG0000031	APOSC_06756, APOSC_06755	ASTMX03166
OG0000032	APOSC_07613, APOSC_02397, APOSC_12691, APOSC_10351, APOSC_01318, APOSC_23129, APOSC_10044	ASTMX19317, ASTMX01989, ASTMX01990, ASTMX01991, ASTMX08768, ASTMX12211, ASTMX09018
OG0000032	APOSC_24218, APOSC_15369, APOSC_23030, APOSC_14347, APOSC_17486, APOSC_15168, APOSC_06921, APOSC_26892, APOSC_15726	ASTMX06705
OG0000034	APOSC_28767, APOSC_28766	ASTMX03519
OG0000034	APOSC_01056	ASTMX17020, ASTMX02547, ASTMX01081, ASTMX20715, ASTMX17446
OG0000034	APOSC_00389	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372
OG0000034	APOSC_10138	ASTMX09860, ASTMX06813, ASTMX07013
OG0000034	APOSC_10830	ASTMX12428, ASTMX02190
OG0000034	APOSC_23397	ASTMX01548
OG0000034	APOSC_15909	ASTMX02136
OG0000035	APOSC_27035	ASTMX17732
OG0000035	APOSC_25872	ASTMX22713, ASTMX21245
OG0000035	APOSC_04998	ASTMX07147, ASTMX00613, ASTMX06338
OG0000035	APOSC_25573	ASTMX07340, ASTMX07227, ASTMX07114
OG0000035	APOSC_08656, APOSC_21135, APOSC_21136	ASTMX00989, ASTMX19852, ASTMX00242, ASTMX02614, ASTMX08545
OG0000035	APOSC_27270	ASTMX15321, ASTMX20966
OG0000036	APOSC_08020, APOSC_04631, APOSC_04630, APOSC_25667	ASTMX18592, ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566
OG0000036	APOSC_21353, APOSC_15807, APOSC_21905, APOSC_27485	ASTMX18312, ASTMX10284
OG0000036	APOSC_22964, APOSC_22965, APOSC_06557, APOSC_05790, APOSC_07698, APOSC_26587, APOSC_05773, APOSC_15091, APOSC_15092	ASTMX01338, ASTMX03570
OG0000037	APOSC_01516	ASTMX04826, ASTMX04827, ASTMX08066, ASTMX04828, ASTMX18303, ASTMX08083, ASTMX01399, ASTMX03952, ASTMX04639
OG0000037	APOSC_24133	ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313
OG0000037	APOSC_28740	ASTMX15913, ASTMX19727, ASTMX16533
OG0000037	APOSC_09580, APOSC_09579	ASTMX03275
OG0000038	APOSC_10282, APOSC_28935, APOSC_28699, APOSC_05456, APOSC_13411, APOSC_17001, APOSC_06556, APOSC_03890, APOSC_04299	ASTMX05291
OG0000038	APOSC_25222, APOSC_10656	ASTMX12685, ASTMX17002
OG0000039	APOSC_12842, APOSC_27514	ASTMX03851
OG0000039	APOSC_00666	ASTMX16971
OG0000039	APOSC_28386, APOSC_17065	ASTMX14711
OG0000039	APOSC_06140, APOSC_06138, APOSC_06139, APOSC_14138, APOSC_03802, APOSC_26119, APOSC_03803, APOSC_06401, APOSC_25262, APOSC_17567, APOSC_27255	ASTMX10108, ASTMX07819
OG0000040	APOSC_12799, APOSC_05455, APOSC_11724, APOSC_11723, APOSC_18664, APOSC_11832, APOSC_16301, APOSC_16488, APOSC_28921, APOSC_07234	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242
OG0000041	APOSC_19034	ASTMX07372, ASTMX15974, ASTMX00243, ASTMX02219, ASTMX19274, ASTMX15919
OG0000041	APOSC_26184	ASTMX19739, ASTMX18949, ASTMX00985, ASTMX20382, ASTMX18641, ASTMX00986, ASTMX20384, ASTMX19436, ASTMX18640, ASTMX22118, ASTMX00987, ASTMX18639, ASTMX00232
OG0000041	APOSC_00445	ASTMX00945, ASTMX01024, ASTMX08027, ASTMX12746
OG0000044	APOSC_25765	ASTMX03900, ASTMX14800, ASTMX17272, ASTMX12948
OG0000044	APOSC_03195	ASTMX08796, ASTMX20812, ASTMX22549, ASTMX06174, ASTMX11109
OG0000044	APOSC_22317	ASTMX06176
OG0000045	APOSC_22122, APOSC_09364, APOSC_16917	ASTMX14022
OG0000046	APOSC_27956	ASTMX22281
OG0000048	APOSC_06436	ASTMX13714
OG0000048	APOSC_05588	ASTMX15600
OG0000048	APOSC_11695	ASTMX04570
OG0000048	APOSC_03220	ASTMX00590
OG0000049	APOSC_16875	ASTMX10248, ASTMX08138, ASTMX03713, ASTMX05857
OG0000049	APOSC_03799	ASTMX00928, ASTMX08370, ASTMX07196
OG0000049	APOSC_10378	ASTMX04011, ASTMX18609, ASTMX01014, ASTMX00951, ASTMX05170, ASTMX00786
OG0000050	APOSC_10217, APOSC_23849, APOSC_23848, APOSC_00680, APOSC_13214, APOSC_23760, APOSC_25497, APOSC_25946, APOSC_16367, APOSC_02924, APOSC_04909, APOSC_12511, APOSC_15058, APOSC_21186, APOSC_08507, APOSC_18416, APOSC_29121, APOSC_04063, APOSC_09709, APOSC_20758, APOSC_27570, APOSC_26396, APOSC_18309, APOSC_00165, APOSC_04902, APOSC_20128	ASTMX16561
OG0000051	APOSC_17477, APOSC_05458, APOSC_29038	ASTMX02511
OG0000054	APOSC_11718, APOSC_21385, APOSC_21386, APOSC_08913, APOSC_09151	ASTMX04679
OG0000056	APOSC_00208, APOSC_00207, APOSC_00209	ASTMX22444, ASTMX01590, ASTMX01617, ASTMX02364, ASTMX08903, ASTMX17902, ASTMX14177, ASTMX02363
OG0000057	APOSC_23236, APOSC_24402, APOSC_06368	ASTMX18685, ASTMX11838
OG0000058	APOSC_09888	ASTMX10002
OG0000058	APOSC_06035	ASTMX01061
OG0000058	APOSC_07162	ASTMX07660
OG0000059	APOSC_10184	ASTMX20918
OG0000059	APOSC_00480	ASTMX06113, ASTMX17681, ASTMX08000, ASTMX00300, ASTMX18960
OG0000060	APOSC_15645	ASTMX04292, ASTMX07603
OG0000060	APOSC_08992	ASTMX21094, ASTMX10197, ASTMX00223, ASTMX00445, ASTMX07264
OG0000061	APOSC_14996	ASTMX00680, ASTMX05396, ASTMX12006, ASTMX20657
OG0000061	APOSC_00292	ASTMX10422, ASTMX12960, ASTMX20513, ASTMX13746, ASTMX21095, ASTMX14165, ASTMX02316, ASTMX11665, ASTMX13598, ASTMX06207, ASTMX18339, ASTMX05474, ASTMX04490, ASTMX01934, ASTMX05473, ASTMX16790, ASTMX15449
OG0000061	APOSC_26114, APOSC_02472	ASTMX18729, ASTMX15987
OG0000062	APOSC_13553, APOSC_13555, APOSC_22259, APOSC_22260, APOSC_26763	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342
OG0000062	APOSC_18486, APOSC_01084	ASTMX01260
OG0000063	APOSC_25041	ASTMX13776, ASTMX04927, ASTMX01608, ASTMX01645, ASTMX00504, ASTMX10324
OG0000063	APOSC_17949	ASTMX11259, ASTMX01032
OG0000063	APOSC_22074, APOSC_13172, APOSC_22080	ASTMX13777, ASTMX12583
OG0000063	APOSC_13886, APOSC_04832	ASTMX10350, ASTMX13375, ASTMX12584
OG0000066	APOSC_20821	ASTMX01776
OG0000067	APOSC_06312, APOSC_24028, APOSC_22826, APOSC_27789, APOSC_07620, APOSC_22825, APOSC_12297, APOSC_15268, APOSC_06846	ASTMX12120, ASTMX00316, ASTMX18001, ASTMX19454
OG0000068	APOSC_25733	ASTMX15456
OG0000068	APOSC_02568	ASTMX22587
OG0000069	APOSC_27459	ASTMX20491
OG0000070	APOSC_18875, APOSC_15113, APOSC_18604, APOSC_18402, APOSC_17719, APOSC_06564, APOSC_13706, APOSC_09948	ASTMX17316, ASTMX02948
OG0000072	APOSC_26208	ASTMX19895, ASTMX03692, ASTMX11241
OG0000072	APOSC_12820	ASTMX11250, ASTMX11618
OG0000073	APOSC_07375	ASTMX01961
OG0000073	APOSC_27321	ASTMX12734, ASTMX08034, ASTMX18790, ASTMX08033, ASTMX12735, ASTMX19270, ASTMX02619
OG0000074	APOSC_10399, APOSC_08687, APOSC_25382	ASTMX16165, ASTMX17638, ASTMX00966
OG0000074	APOSC_18220	ASTMX12476
OG0000074	APOSC_05606, APOSC_18640, APOSC_15236, APOSC_01404, APOSC_16347, APOSC_00195, APOSC_13504	ASTMX07079, ASTMX08304
OG0000075	APOSC_14489	ASTMX13833, ASTMX15058
OG0000075	APOSC_10923	ASTMX17154
OG0000075	APOSC_12033	ASTMX10641, ASTMX00718
OG0000075	APOSC_07538	ASTMX16716, ASTMX04759
OG0000075	APOSC_06620	ASTMX01001, ASTMX08839, ASTMX10263
OG0000075	APOSC_08706	ASTMX12953, ASTMX02098
OG0000075	APOSC_20859	ASTMX15785, ASTMX16080, ASTMX14559, ASTMX03441
OG0000075	APOSC_19754	ASTMX07134
OG0000077	APOSC_15032	ASTMX17041, ASTMX09313, ASTMX18035, ASTMX05112
OG0000077	APOSC_19689	ASTMX07586, ASTMX09935, ASTMX03249, ASTMX04186, ASTMX07562, ASTMX09286, ASTMX05084
OG0000078	APOSC_28185, APOSC_19588, APOSC_19587, APOSC_28007	ASTMX02053, ASTMX00440, ASTMX00992, ASTMX08539
OG0000079	APOSC_14016, APOSC_18637, APOSC_09201	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709
OG0000079	APOSC_14696	ASTMX21145, ASTMX21146, ASTMX03966, ASTMX14883
OG0000079	APOSC_10552, APOSC_10551	ASTMX02337, ASTMX02996, ASTMX05046
OG0000079	APOSC_06744	ASTMX02943
OG0000080	APOSC_24368, APOSC_04715, APOSC_01450	ASTMX22762
OG0000080	APOSC_21235	ASTMX03885
OG0000081	APOSC_01179, APOSC_09602, APOSC_20049, APOSC_01834	ASTMX02774
OG0000082	APOSC_14161	ASTMX06917
OG0000082	APOSC_20096	ASTMX17888
OG0000082	APOSC_13154	ASTMX17248
OG0000082	APOSC_11149	ASTMX10849, ASTMX11876, ASTMX19980
OG0000083	APOSC_20881	ASTMX03686, ASTMX11244, ASTMX09107, ASTMX14864
OG0000084	APOSC_25447	ASTMX18467, ASTMX12487, ASTMX09980, ASTMX22125, ASTMX15418, ASTMX20810
OG0000084	APOSC_27325	ASTMX08038
OG0000085	APOSC_13201	ASTMX01460, ASTMX20784, ASTMX14674
OG0000085	APOSC_00722	ASTMX16335, ASTMX03461, ASTMX09889, ASTMX09760
OG0000085	APOSC_00825	ASTMX19538
OG0000085	APOSC_21002	ASTMX21189, ASTMX20129
OG0000085	APOSC_25216	ASTMX08704, ASTMX02521
OG0000086	APOSC_19919	ASTMX18109
OG0000087	APOSC_20551	ASTMX08347
OG0000087	APOSC_26769	ASTMX17718
OG0000087	APOSC_05507	ASTMX17717
OG0000087	APOSC_26553, APOSC_26554	ASTMX06381
OG0000088	APOSC_25039, APOSC_29170, APOSC_01733, APOSC_28334, APOSC_03375, APOSC_28335, APOSC_05697, APOSC_25335, APOSC_07827	ASTMX06621, ASTMX21370, ASTMX21470, ASTMX22555, ASTMX07254, ASTMX06506, ASTMX20919, ASTMX06028, ASTMX21971
OG0000089	APOSC_18760	ASTMX12140, ASTMX19290, ASTMX07948, ASTMX03871, ASTMX13992
OG0000090	APOSC_26110	ASTMX15822, ASTMX13800, ASTMX19765
OG0000090	APOSC_03937	ASTMX12258, ASTMX10648
OG0000094	APOSC_02606, APOSC_02607	ASTMX14395, ASTMX02106, ASTMX08390, ASTMX03425, ASTMX08393, ASTMX01747
OG0000094	APOSC_14430	ASTMX19353
OG0000094	APOSC_21896, APOSC_21895	ASTMX08913, ASTMX02078, ASTMX14341, ASTMX03427, ASTMX19974, ASTMX14525, ASTMX20671
OG0000096	APOSC_05085	ASTMX11824, ASTMX12057, ASTMX18217
OG0000096	APOSC_03162	ASTMX13693, ASTMX16094, ASTMX16093
OG0000096	APOSC_04023	ASTMX08845
OG0000096	APOSC_25015	ASTMX18278, ASTMX15892
OG0000096	APOSC_00869	ASTMX09859
OG0000096	APOSC_16859	ASTMX00377, ASTMX10196, ASTMX13339, ASTMX00337, ASTMX00376, ASTMX22998
OG0000096	APOSC_21738	ASTMX19590, ASTMX07352
OG0000096	APOSC_21519	ASTMX10423, ASTMX12959
OG0000098	APOSC_13176, APOSC_13174, APOSC_13175	ASTMX07347, ASTMX04481, ASTMX14487, ASTMX14764
OG0000098	APOSC_27629, APOSC_10815	ASTMX18980, ASTMX20779, ASTMX21996, ASTMX18982, ASTMX20777, ASTMX05127, ASTMX21313, ASTMX18164, ASTMX20778
OG0000099	APOSC_25391, APOSC_06951	ASTMX21430
OG0000099	APOSC_01352, APOSC_23267	ASTMX08745, ASTMX06768, ASTMX09878, ASTMX08746, ASTMX19321, ASTMX05749, ASTMX05771, ASTMX19085, ASTMX03707
OG0000100	APOSC_10597	ASTMX20880
OG0000101	APOSC_08305	ASTMX00206, ASTMX00424
OG0000101	APOSC_23688	ASTMX08413
OG0000101	APOSC_25079, APOSC_09250	ASTMX14248, ASTMX12706, ASTMX02894
OG0000102	APOSC_11388	ASTMX10991, ASTMX16111
OG0000103	APOSC_08194	ASTMX21446, ASTMX16835, ASTMX09444, ASTMX11660, ASTMX22226, ASTMX10672, ASTMX15124, ASTMX06401, ASTMX04972
OG0000103	APOSC_19265	ASTMX06869, ASTMX11394, ASTMX17816, ASTMX11412, ASTMX14316
OG0000104	APOSC_15082, APOSC_15083, APOSC_15085, APOSC_15084	ASTMX07046, ASTMX03729, ASTMX19421
OG0000104	APOSC_11443, APOSC_11444, APOSC_11442	ASTMX16255, ASTMX08642, ASTMX17146, ASTMX01448
OG0000104	APOSC_16135	ASTMX03728, ASTMX07045
OG0000104	APOSC_04087, APOSC_04088	ASTMX00149
OG0000104	APOSC_13374	ASTMX00709, ASTMX16073
OG0000106	APOSC_22868	ASTMX14703, ASTMX18591, ASTMX08015
OG0000106	APOSC_21078	ASTMX03154
OG0000106	APOSC_19922, APOSC_04238, APOSC_13779, APOSC_13776, APOSC_13777, APOSC_13780, APOSC_13778, APOSC_25862, APOSC_25863	ASTMX10570, ASTMX00462
OG0000108	APOSC_10956	ASTMX16847, ASTMX07881, ASTMX08427, ASTMX08437, ASTMX04339, ASTMX03583
OG0000110	APOSC_20398, APOSC_08788, APOSC_17988, APOSC_15633, APOSC_20613, APOSC_13751	ASTMX08508
OG0000113	APOSC_22087, APOSC_26451	ASTMX19383, ASTMX05472
OG0000113	APOSC_05289, APOSC_24456, APOSC_21846, APOSC_16966, APOSC_27198, APOSC_04616, APOSC_09550, APOSC_06453, APOSC_14352	ASTMX07205
OG0000114	APOSC_23462	ASTMX06800
OG0000114	APOSC_10928, APOSC_00248, APOSC_23655, APOSC_06012, APOSC_17348, APOSC_05416	ASTMX06593, ASTMX08587, ASTMX15325, ASTMX13938, ASTMX21972, ASTMX17058, ASTMX09459, ASTMX10616, ASTMX05249
OG0000115	APOSC_24198	ASTMX01700
OG0000115	APOSC_04786	ASTMX08993, ASTMX16595
OG0000116	APOSC_28097, APOSC_09224	ASTMX01410
OG0000117	APOSC_19840, APOSC_25285	ASTMX21002, ASTMX14024
OG0000117	APOSC_01933	ASTMX14023
OG0000118	APOSC_13283	ASTMX10091, ASTMX22719
OG0000119	APOSC_11483	ASTMX04143, ASTMX08665, ASTMX05337, ASTMX14891, ASTMX21636
OG0000119	APOSC_20728, APOSC_03029, APOSC_22358, APOSC_01445, APOSC_04311, APOSC_04310, APOSC_02102	ASTMX16721, ASTMX15474, ASTMX01803, ASTMX19905
OG0000119	APOSC_19027, APOSC_11438, APOSC_25237, APOSC_25238	ASTMX00656, ASTMX18233
OG0000120	APOSC_04315	ASTMX21836, ASTMX22567, ASTMX00463
OG0000120	APOSC_18873	ASTMX04437
OG0000120	APOSC_13215	ASTMX12007
OG0000120	APOSC_05045	ASTMX00681, ASTMX22880
OG0000121	APOSC_24649, APOSC_24650, APOSC_11574, APOSC_15665, APOSC_05374, APOSC_28387, APOSC_12126, APOSC_08548, APOSC_10960, APOSC_00676, APOSC_02343	ASTMX13884, ASTMX13883, ASTMX13882, ASTMX20607
OG0000122	APOSC_25177	ASTMX10444, ASTMX20272, ASTMX16361, ASTMX12761, ASTMX10832
OG0000122	APOSC_11178	ASTMX22053, ASTMX06000, ASTMX18931, ASTMX06001, ASTMX16780, ASTMX11273, ASTMX05998, ASTMX22052, ASTMX20363, ASTMX17092, ASTMX18973, ASTMX14675, ASTMX09421
OG0000123	APOSC_03443	ASTMX19107, ASTMX20866, ASTMX07971, ASTMX04078
OG0000123	APOSC_20465	ASTMX01522, ASTMX09979, ASTMX12484, ASTMX14953, ASTMX15212
OG0000123	APOSC_23180	ASTMX14814, ASTMX00304
OG0000124	APOSC_29022	ASTMX09338, ASTMX18149, ASTMX01149
OG0000124	APOSC_26551	ASTMX16401, ASTMX07748
OG0000124	APOSC_03695	ASTMX10640, ASTMX14745, ASTMX06441
OG0000124	APOSC_13919	ASTMX10817, ASTMX14412
OG0000124	APOSC_09834	ASTMX15641, ASTMX13821, ASTMX22615, ASTMX05824
OG0000125	APOSC_10519, APOSC_10520, APOSC_10518	ASTMX13565, ASTMX10452, ASTMX15866, ASTMX05329
OG0000125	APOSC_27450	ASTMX19681, ASTMX13832
OG0000125	APOSC_26262, APOSC_07039, APOSC_19200	ASTMX00267
OG0000126	APOSC_16760	ASTMX08551, ASTMX08784, ASTMX11157
OG0000126	APOSC_16759	ASTMX09154
OG0000126	APOSC_21117	ASTMX06187, ASTMX17244
OG0000126	APOSC_28093	ASTMX07769, ASTMX02408, ASTMX15338, ASTMX09155, ASTMX05148
OG0000127	APOSC_24103	ASTMX09798, ASTMX08552, ASTMX08785, ASTMX11156, ASTMX05665, ASTMX21500
OG0000127	APOSC_09690	ASTMX08750, ASTMX03142, ASTMX00541, ASTMX00032
OG0000127	APOSC_02788	ASTMX11418, ASTMX00918, ASTMX13409, ASTMX07588, ASTMX13478
