Orthogroup	BRALA	SCHMD
OG0000030	BRALA13443	SCHMD20495, SCHMD12490
OG0000030	BRALA12205	SCHMD25384, SCHMD27555
OG0000030	BRALA32549, BRALA32573	SCHMD26819, SCHMD26942, SCHMD20336, SCHMD29499, SCHMD22579
OG0000030	BRALA31250, BRALA14315, BRALA04297, BRALA10449	SCHMD25391
OG0000030	BRALA06142	SCHMD25427
OG0000031	BRALA04543, BRALA04547	SCHMD16950
OG0000031	BRALA04610	SCHMD11094
OG0000031	BRALA16640	SCHMD00185
OG0000031	BRALA09408, BRALA28311	SCHMD17865
OG0000031	BRALA15572	SCHMD04192
OG0000034	BRALA27570	SCHMD13190, SCHMD26745
OG0000034	BRALA08901, BRALA03079	SCHMD11160, SCHMD18247
OG0000034	BRALA17580	SCHMD04875
OG0000034	BRALA02412	SCHMD07081
OG0000035	BRALA21367, BRALA35402	SCHMD10019, SCHMD14794, SCHMD08606
OG0000035	BRALA13915, BRALA22877	SCHMD15627, SCHMD19701
OG0000036	BRALA22400, BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181	SCHMD19876, SCHMD28731, SCHMD01107, SCHMD15808
OG0000036	BRALA35896	SCHMD03343, SCHMD25206, SCHMD18787, SCHMD10086
OG0000037	BRALA22282, BRALA22275	SCHMD19933
OG0000037	BRALA16015	SCHMD00542, SCHMD17538
OG0000037	BRALA16388	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781
OG0000038	BRALA07354, BRALA07351	SCHMD06293
OG0000038	BRALA13194	SCHMD07372
OG0000038	BRALA19648	SCHMD28404
OG0000039	BRALA06993, BRALA34379, BRALA19136, BRALA31749, BRALA29745, BRALA19134, BRALA23918, BRALA06990, BRALA17755, BRALA26668, BRALA19135, BRALA00263, BRALA19137, BRALA11768, BRALA25325, BRALA17518, BRALA26162, BRALA32574, BRALA32576, BRALA25316, BRALA21159, BRALA17814, BRALA17816, BRALA17817, BRALA32621, BRALA09388, BRALA21591, BRALA21590, BRALA32620, BRALA26161, BRALA30705, BRALA32623, BRALA17815, BRALA32622, BRALA25326, BRALA35483, BRALA01170, BRALA17648, BRALA19632, BRALA19635, BRALA01164, BRALA31558, BRALA21586, BRALA02916, BRALA20258, BRALA27882, BRALA01626, BRALA01628, BRALA23751, BRALA01619, BRALA01617, BRALA01627, BRALA01624, BRALA01620, BRALA01618, BRALA04466, BRALA04471, BRALA01927, BRALA16092, BRALA35729, BRALA19542	SCHMD12270
OG0000040	BRALA14370, BRALA31974, BRALA33437, BRALA17918, BRALA12447, BRALA02395	SCHMD19421
OG0000040	BRALA35825, BRALA27751	SCHMD01747, SCHMD05915, SCHMD23179, SCHMD12014, SCHMD13145, SCHMD01745, SCHMD27992, SCHMD24413, SCHMD19420, SCHMD24395
OG0000041	BRALA29257	SCHMD24504, SCHMD27330, SCHMD22218, SCHMD24321, SCHMD16915
OG0000041	BRALA07763, BRALA29216, BRALA11960, BRALA35158	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856
OG0000041	BRALA12406	SCHMD04612
OG0000041	BRALA27215	SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678
OG0000043	BRALA27558, BRALA29904, BRALA27561, BRALA27544, BRALA25261, BRALA20700, BRALA31404, BRALA31409, BRALA11161, BRALA06431, BRALA06417, BRALA06396, BRALA06445, BRALA06452, BRALA06409, BRALA06468, BRALA20694, BRALA06439, BRALA20722	SCHMD11455
OG0000043	BRALA06458, BRALA06464, BRALA06413, BRALA06474, BRALA06478	SCHMD17991, SCHMD07284, SCHMD04436, SCHMD10964, SCHMD10708, SCHMD11041, SCHMD12622, SCHMD10248, SCHMD06829, SCHMD01198, SCHMD04068
OG0000043	BRALA09159	SCHMD29206, SCHMD09758
OG0000044	BRALA34838	SCHMD03626, SCHMD00319, SCHMD06706, SCHMD06550, SCHMD21748
OG0000046	BRALA22862	SCHMD07994
OG0000048	BRALA35359, BRALA30640, BRALA30891, BRALA13398, BRALA28757, BRALA17823, BRALA17828, BRALA17827, BRALA14637, BRALA17826, BRALA20466, BRALA05845, BRALA13397, BRALA31649, BRALA31651, BRALA13408, BRALA13407	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319
OG0000049	BRALA08952	SCHMD02961, SCHMD14840
OG0000049	BRALA17285	SCHMD17006
OG0000049	BRALA16919, BRALA35874, BRALA15337	SCHMD22370
OG0000051	BRALA34311, BRALA03595, BRALA20239, BRALA03865, BRALA03866, BRALA03867, BRALA03864, BRALA03859, BRALA03860, BRALA03861, BRALA03862, BRALA03858, BRALA07177, BRALA07182, BRALA34503, BRALA07183, BRALA31110, BRALA03328, BRALA07178, BRALA07180, BRALA07181, BRALA03815, BRALA03814, BRALA03593, BRALA17952	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279
OG0000055	BRALA31408	SCHMD17892, SCHMD29195
OG0000057	BRALA00966, BRALA09850, BRALA13889, BRALA10001, BRALA13910, BRALA23224, BRALA06484, BRALA33854, BRALA09469, BRALA07816, BRALA07817, BRALA07813, BRALA34412, BRALA23522, BRALA07814, BRALA23123, BRALA16040	SCHMD08094
OG0000058	BRALA24063	SCHMD04270
OG0000058	BRALA06324	SCHMD06371
OG0000059	BRALA20365	SCHMD15435, SCHMD14720, SCHMD05184, SCHMD07481, SCHMD24928
OG0000059	BRALA28531, BRALA32778, BRALA23279	SCHMD27096
OG0000059	BRALA15311, BRALA34589, BRALA15310, BRALA15309, BRALA15308	SCHMD20167, SCHMD15436, SCHMD05187, SCHMD26092, SCHMD18312, SCHMD29210, SCHMD05186, SCHMD20166, SCHMD27942, SCHMD05188, SCHMD13278
OG0000060	BRALA00658, BRALA22074	SCHMD17528
OG0000060	BRALA13737	SCHMD01311, SCHMD15619, SCHMD01313, SCHMD03061
OG0000060	BRALA02440, BRALA02437, BRALA02438, BRALA02435, BRALA02439, BRALA02436, BRALA08276, BRALA08275, BRALA08274, BRALA08273, BRALA08272, BRALA01703, BRALA01702	SCHMD16998
OG0000060	BRALA12851	SCHMD17292
OG0000061	BRALA07400	SCHMD24930
OG0000061	BRALA09017, BRALA07401, BRALA14793, BRALA14792	SCHMD11039
OG0000062	BRALA21141, BRALA30349, BRALA21142, BRALA31607	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769
OG0000063	BRALA00957, BRALA27402	SCHMD24452
OG0000063	BRALA12767	SCHMD26478, SCHMD21709
OG0000066	BRALA25173, BRALA12022, BRALA14833, BRALA25174, BRALA14834, BRALA12019, BRALA12020, BRALA12018, BRALA25175, BRALA31760, BRALA14835, BRALA12017	SCHMD06601
OG0000066	BRALA25733	SCHMD06030
OG0000066	BRALA28825, BRALA18292, BRALA11955, BRALA06903, BRALA28617, BRALA09971	SCHMD05807
OG0000069	BRALA06255, BRALA22501	SCHMD05798, SCHMD12262
OG0000069	BRALA11725	SCHMD18974
OG0000070	BRALA19019, BRALA19027, BRALA19020, BRALA21094	SCHMD06745
OG0000070	BRALA13025	SCHMD27266, SCHMD15308
OG0000070	BRALA06340	SCHMD25128, SCHMD25923, SCHMD18099, SCHMD09836, SCHMD24858
OG0000071	BRALA32052, BRALA20842, BRALA32055, BRALA20769	SCHMD08674, SCHMD04226
OG0000072	BRALA35244, BRALA33817, BRALA31368, BRALA07174	SCHMD16868, SCHMD20563
OG0000072	BRALA18063	SCHMD14329
OG0000073	BRALA03064	SCHMD13212, SCHMD07291, SCHMD22957
OG0000075	BRALA16174	SCHMD10965
OG0000075	BRALA17353, BRALA17352	SCHMD03704
OG0000075	BRALA20309	SCHMD21424
OG0000077	BRALA11472	SCHMD17571
OG0000077	BRALA30355, BRALA30354, BRALA30353, BRALA27919, BRALA16173, BRALA31380, BRALA32410, BRALA09728, BRALA00278, BRALA10708, BRALA22743, BRALA22531, BRALA27588, BRALA21944, BRALA21945	SCHMD23576
OG0000077	BRALA35746, BRALA06424	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499
OG0000077	BRALA09898	SCHMD17078, SCHMD07689, SCHMD07695, SCHMD07696, SCHMD19383, SCHMD13911, SCHMD21639, SCHMD26936, SCHMD03670, SCHMD19917, SCHMD15537, SCHMD13624
OG0000077	BRALA03171	SCHMD27493
OG0000077	BRALA35849	SCHMD25666
OG0000077	BRALA06425	SCHMD20144
OG0000078	BRALA02325	SCHMD04824, SCHMD04525
OG0000079	BRALA00097, BRALA00109	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114
OG0000079	BRALA18105	SCHMD16559, SCHMD24052, SCHMD18199
OG0000079	BRALA13477, BRALA00141, BRALA16237, BRALA25844, BRALA16235	SCHMD06941, SCHMD04736
OG0000080	BRALA16765, BRALA29553, BRALA02745, BRALA15989, BRALA02542	SCHMD10387, SCHMD06434
OG0000082	BRALA23665	SCHMD03263, SCHMD10119
OG0000082	BRALA10738	SCHMD29028
OG0000082	BRALA12025	SCHMD03363
OG0000082	BRALA12024	SCHMD08895, SCHMD09092, SCHMD13034, SCHMD06892, SCHMD23210
OG0000083	BRALA34234, BRALA06829	SCHMD16633
OG0000084	BRALA16357	SCHMD19821, SCHMD23941, SCHMD23870
OG0000084	BRALA06698, BRALA06701, BRALA06699	SCHMD28183
OG0000084	BRALA03784	SCHMD28182, SCHMD25065, SCHMD21106
OG0000085	BRALA35080, BRALA33501	SCHMD12837
OG0000085	BRALA35021	SCHMD12836
OG0000085	BRALA20574	SCHMD12466
OG0000087	BRALA14258	SCHMD09408
OG0000087	BRALA11394	SCHMD23919
OG0000087	BRALA11395	SCHMD21804, SCHMD25814, SCHMD16934
OG0000087	BRALA13093	SCHMD17003, SCHMD07336
OG0000087	BRALA20310	SCHMD07337
OG0000090	BRALA02609	SCHMD10805, SCHMD21388
OG0000090	BRALA09731	SCHMD06769
OG0000093	BRALA19443	SCHMD03688, SCHMD07490
OG0000093	BRALA28377, BRALA20522, BRALA17985, BRALA09980, BRALA27134, BRALA10169, BRALA26746, BRALA09214, BRALA09292, BRALA09217, BRALA09420, BRALA04873, BRALA21833, BRALA30465, BRALA09212, BRALA07003, BRALA04758, BRALA20840, BRALA13823, BRALA28274, BRALA31045, BRALA13918, BRALA16091, BRALA31189	SCHMD04238
OG0000093	BRALA17742, BRALA34625, BRALA10168, BRALA18179, BRALA28273, BRALA32179	SCHMD14744
OG0000093	BRALA01722	SCHMD00352
OG0000093	BRALA28375, BRALA33749	SCHMD02917
OG0000093	BRALA11908, BRALA24397, BRALA24396, BRALA11910, BRALA11909, BRALA28868, BRALA21888, BRALA08104, BRALA25999, BRALA23972, BRALA01382, BRALA01380, BRALA08219, BRALA08221, BRALA08220, BRALA11214, BRALA23556, BRALA22226, BRALA29727, BRALA11781, BRALA11780, BRALA23126, BRALA16469, BRALA00842, BRALA15704	SCHMD01278, SCHMD01279, SCHMD01277, SCHMD05526, SCHMD06457, SCHMD10241, SCHMD12867, SCHMD09341, SCHMD22057, SCHMD07249, SCHMD07880, SCHMD11553, SCHMD07387, SCHMD04028
OG0000094	BRALA34518	SCHMD23746
OG0000094	BRALA24093	SCHMD21133, SCHMD07079
OG0000094	BRALA09222	SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375
OG0000094	BRALA24092	SCHMD07074, SCHMD27097
OG0000095	BRALA15122, BRALA25718, BRALA09730, BRALA09773, BRALA27146, BRALA20760, BRALA08842	SCHMD24112, SCHMD21858, SCHMD25769, SCHMD20853, SCHMD22035, SCHMD24353, SCHMD22942, SCHMD01761
OG0000096	BRALA02509, BRALA24883	SCHMD10033
OG0000097	BRALA05554, BRALA04778, BRALA14234, BRALA05553, BRALA14233, BRALA32615, BRALA14235, BRALA25549, BRALA20028	SCHMD22037, SCHMD20326
OG0000098	BRALA09558	SCHMD29644, SCHMD22119
OG0000099	BRALA05456, BRALA05455, BRALA15007, BRALA04427, BRALA28285, BRALA23905, BRALA22774, BRALA16697, BRALA06674, BRALA22893	SCHMD03930, SCHMD15019
OG0000099	BRALA35493	SCHMD11735, SCHMD29475, SCHMD24883, SCHMD19972
OG0000099	BRALA15695, BRALA29540, BRALA29541	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543
OG0000106	BRALA03306, BRALA03304, BRALA03303, BRALA03302, BRALA03305, BRALA17617, BRALA24272, BRALA34814, BRALA05381, BRALA14365, BRALA14367	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496
OG0000107	BRALA06444	SCHMD04920, SCHMD23362, SCHMD21301, SCHMD11381, SCHMD05934
OG0000107	BRALA25263	SCHMD11257
OG0000110	BRALA25611, BRALA22080, BRALA22078, BRALA05100, BRALA05295	SCHMD06031, SCHMD29673, SCHMD14183, SCHMD14809, SCHMD14182, SCHMD18955, SCHMD13898, SCHMD27056
OG0000110	BRALA29111, BRALA29112, BRALA24555, BRALA29879, BRALA15145, BRALA25881, BRALA05405, BRALA34750	SCHMD11887
OG0000111	BRALA19068	SCHMD18184, SCHMD22856, SCHMD10726, SCHMD13982
OG0000113	BRALA05711, BRALA05736, BRALA10598, BRALA02148, BRALA02143, BRALA02144, BRALA02149	SCHMD06629, SCHMD02664
OG0000114	BRALA11944, BRALA13019, BRALA11943, BRALA15794, BRALA06610	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739
OG0000116	BRALA13339	SCHMD19106
OG0000117	BRALA22187	SCHMD24345, SCHMD14483, SCHMD27351
OG0000117	BRALA12964	SCHMD02591
OG0000117	BRALA18688, BRALA13613	SCHMD11493
OG0000119	BRALA06707, BRALA09190, BRALA09113, BRALA09057, BRALA09056, BRALA14028, BRALA14029	SCHMD02911
OG0000121	BRALA02169	SCHMD07020
OG0000123	BRALA11476	SCHMD11518, SCHMD04649, SCHMD20176, SCHMD20977
OG0000124	BRALA26544	SCHMD10270, SCHMD10271
OG0000124	BRALA00429	SCHMD11964, SCHMD20871, SCHMD16822
OG0000124	BRALA05628	SCHMD08774
OG0000126	BRALA11509	SCHMD00122, SCHMD06495, SCHMD00127
OG0000126	BRALA11885	SCHMD01813, SCHMD04253
OG0000127	BRALA25100, BRALA25099	SCHMD21110
OG0000127	BRALA06066	SCHMD03781
OG0000127	BRALA34798	SCHMD18620
OG0000128	BRALA08606, BRALA13534, BRALA13533, BRALA21885, BRALA21891, BRALA03636, BRALA10967, BRALA10966, BRALA17194, BRALA16474, BRALA15948, BRALA13405, BRALA32930, BRALA32135, BRALA32136, BRALA13384	SCHMD25789, SCHMD19594
OG0000128	BRALA31378	SCHMD29825
OG0000129	BRALA27239	SCHMD23245, SCHMD26510, SCHMD08406
OG0000129	BRALA31934, BRALA31933	SCHMD20816
OG0000129	BRALA13415	SCHMD05405
OG0000129	BRALA11658	SCHMD03224
OG0000130	BRALA16322, BRALA12329, BRALA22977, BRALA28126	SCHMD02824, SCHMD13205
OG0000130	BRALA22517, BRALA05250, BRALA05249, BRALA22519, BRALA22518, BRALA06672, BRALA27303	SCHMD17609
OG0000132	BRALA31411, BRALA31406, BRALA27565, BRALA27560, BRALA27542, BRALA27536, BRALA33655, BRALA33182, BRALA20698, BRALA20702, BRALA25262, BRALA11726, BRALA20134, BRALA33962, BRALA06392, BRALA06433, BRALA06447, BRALA06441, BRALA06456, BRALA06479, BRALA06414	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374
OG0000135	BRALA34007	SCHMD24143, SCHMD24147
OG0000137	BRALA28974, BRALA04537	SCHMD04306
OG0000137	BRALA25430, BRALA25424, BRALA35631, BRALA30028	SCHMD09558
OG0000140	BRALA29073	SCHMD02421, SCHMD05316, SCHMD01679
OG0000140	BRALA12989	SCHMD01677
OG0000142	BRALA11507	SCHMD14394, SCHMD01440, SCHMD00718
OG0000142	BRALA24723, BRALA02306	SCHMD03732, SCHMD10133, SCHMD15810, SCHMD15070, SCHMD02364
OG0000145	BRALA21332, BRALA01491, BRALA20200, BRALA22128, BRALA17183, BRALA33209	SCHMD03152
OG0000147	BRALA33037	SCHMD11019
OG0000147	BRALA34645	SCHMD11020, SCHMD11018, SCHMD11022, SCHMD11969, SCHMD22708, SCHMD11025
OG0000148	BRALA19052, BRALA19046, BRALA19045, BRALA19050, BRALA19051	SCHMD08056
OG0000151	BRALA00287, BRALA18487	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274
OG0000151	BRALA21767, BRALA30997	SCHMD02747, SCHMD12342
OG0000153	BRALA19462	SCHMD18559
OG0000153	BRALA16384	SCHMD05163, SCHMD05160
OG0000153	BRALA09706	SCHMD02381
OG0000155	BRALA16575	SCHMD13125
OG0000157	BRALA34949	SCHMD06364
OG0000157	BRALA27057	SCHMD03548, SCHMD06363
OG0000159	BRALA09776	SCHMD26601, SCHMD09606
OG0000159	BRALA02187, BRALA12258, BRALA02682, BRALA07694, BRALA07731, BRALA07711	SCHMD14942
OG0000160	BRALA17752, BRALA19774	SCHMD26548, SCHMD20557, SCHMD26050, SCHMD24982, SCHMD19560, SCHMD11814, SCHMD15584, SCHMD21777, SCHMD19430
OG0000162	BRALA34185	SCHMD08934, SCHMD09890
OG0000162	BRALA34897	SCHMD01637
OG0000162	BRALA29217, BRALA32848, BRALA35892, BRALA35512, BRALA28170, BRALA34322, BRALA34430, BRALA35671, BRALA34178	SCHMD26694
OG0000162	BRALA33970	SCHMD05631, SCHMD22574, SCHMD09891
OG0000163	BRALA16731, BRALA16733, BRALA16732	SCHMD23090
OG0000163	BRALA00110	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554
OG0000166	BRALA33546	SCHMD08400
OG0000166	BRALA35030	SCHMD28623, SCHMD22442
OG0000167	BRALA00255	SCHMD16214, SCHMD15187
OG0000169	BRALA08147, BRALA04305	SCHMD00386
OG0000169	BRALA11953	SCHMD00387
OG0000171	BRALA35313	SCHMD26790, SCHMD13950
OG0000171	BRALA35602	SCHMD07239
OG0000171	BRALA06159	SCHMD01258, SCHMD16118
OG0000173	BRALA05385	SCHMD20107, SCHMD19855, SCHMD02094, SCHMD02093
OG0000173	BRALA20993	SCHMD19854, SCHMD17711
OG0000174	BRALA01909	SCHMD09838
OG0000174	BRALA10706, BRALA03775	SCHMD22727, SCHMD14760, SCHMD22728
OG0000175	BRALA24671, BRALA14699, BRALA14698	SCHMD18439, SCHMD17544
OG0000179	BRALA13816	SCHMD11075
OG0000179	BRALA15064, BRALA15063	SCHMD01320
OG0000179	BRALA03686	SCHMD18057, SCHMD09466, SCHMD10031, SCHMD16482, SCHMD14348, SCHMD09468
OG0000180	BRALA18756, BRALA05592	SCHMD14947
OG0000180	BRALA18766	SCHMD20813
OG0000181	BRALA20263	SCHMD27609, SCHMD12097, SCHMD28522
OG0000181	BRALA25948	SCHMD03915, SCHMD03917, SCHMD09330, SCHMD09328
OG0000182	BRALA20922	SCHMD20312
OG0000182	BRALA31663, BRALA29126, BRALA30715, BRALA27456, BRALA11689, BRALA27176, BRALA11168, BRALA04970	SCHMD07603
OG0000183	BRALA29461	SCHMD22220
OG0000183	BRALA34386	SCHMD21103, SCHMD28756
OG0000183	BRALA17782, BRALA17781, BRALA30657	SCHMD12130, SCHMD10333
OG0000185	BRALA17010	SCHMD07834
OG0000186	BRALA29207, BRALA31124	SCHMD07850, SCHMD22114, SCHMD12081
OG0000186	BRALA08975, BRALA08973, BRALA08974	SCHMD11605
OG0000186	BRALA21576	SCHMD24594
OG0000188	BRALA06044, BRALA06043, BRALA06042, BRALA06041, BRALA01596, BRALA12092	SCHMD07283
OG0000191	BRALA12908, BRALA03962	SCHMD25599, SCHMD19773, SCHMD22587, SCHMD26985, SCHMD17165, SCHMD21346, SCHMD23922
OG0000192	BRALA05274	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443
OG0000192	BRALA03467	SCHMD03934
OG0000193	BRALA21700	SCHMD03682, SCHMD08341
OG0000193	BRALA35297	SCHMD22652, SCHMD22559
OG0000194	BRALA06145, BRALA06143, BRALA24202, BRALA32166, BRALA06144, BRALA05240, BRALA29709, BRALA24201, BRALA30621, BRALA19294, BRALA04421, BRALA06130, BRALA14291, BRALA14295, BRALA14297	SCHMD11912, SCHMD12565
OG0000195	BRALA27202, BRALA33299, BRALA21846, BRALA14189	SCHMD06851
OG0000195	BRALA01750, BRALA01749, BRALA08338, BRALA22184	SCHMD06771
OG0000197	BRALA10218	SCHMD10696, SCHMD17861, SCHMD23209
OG0000198	BRALA19290, BRALA21496	SCHMD19721, SCHMD14674, SCHMD25939
OG0000199	BRALA12693	SCHMD15299
OG0000200	BRALA02802, BRALA02803, BRALA02804	SCHMD07833, SCHMD18193, SCHMD17707
OG0000201	BRALA11221	SCHMD28886, SCHMD20370, SCHMD17233
OG0000201	BRALA14937	SCHMD00317, SCHMD09035
OG0000201	BRALA35436	SCHMD06305, SCHMD14342, SCHMD21248, SCHMD10519
OG0000201	BRALA24651	SCHMD10520
OG0000202	BRALA31828	SCHMD17013
OG0000203	BRALA30533, BRALA06689, BRALA14737	SCHMD13221
OG0000204	BRALA02308	SCHMD00861
