Orthogroup	BRALA	DROME
OG0000049	BRALA16919, BRALA35874, BRALA15337	DROME18357, DROME18359, DROME18358
OG0000051	BRALA17952	DROME06654, DROME06655
OG0000054	BRALA24089	DROME20361
OG0000054	BRALA02118	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360
OG0000054	BRALA20506, BRALA19923, BRALA12332, BRALA22995, BRALA22164, BRALA21314, BRALA18426, BRALA25220, BRALA21960, BRALA06303, BRALA29468, BRALA09095, BRALA20505, BRALA23115, BRALA28620, BRALA24808, BRALA15699, BRALA01267, BRALA17804, BRALA17806, BRALA00882, BRALA05257, BRALA17805, BRALA33752, BRALA25223	DROME21992
OG0000055	BRALA34592, BRALA06465, BRALA06467, BRALA13087, BRALA06446, BRALA27563, BRALA27545, BRALA25264, BRALA25260, BRALA27539, BRALA20701, BRALA06443, BRALA06419, BRALA06416, BRALA06397, BRALA06394, BRALA31408, BRALA11246, BRALA06430, BRALA06473, BRALA06477	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677
OG0000058	BRALA24063	DROME14598
OG0000058	BRALA25998, BRALA27305, BRALA06328, BRALA03972, BRALA06644, BRALA08742, BRALA24463, BRALA24460	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731
OG0000059	BRALA20365	DROME17819, DROME17820
OG0000060	BRALA00658, BRALA22074	DROME18201
OG0000060	BRALA02440, BRALA02437, BRALA02438, BRALA02435, BRALA02439, BRALA02436, BRALA08276, BRALA08275, BRALA08274, BRALA08273, BRALA08272, BRALA01703, BRALA01702	DROME07035, DROME07034, DROME07036, DROME07859, DROME07858, DROME04014, DROME07857, DROME07856, DROME07855, DROME07854, DROME18200, DROME07037, DROME07038, DROME04458, DROME04457, DROME19175, DROME06539, DROME06538, DROME20480, DROME07291, DROME06112, DROME00867, DROME00220
OG0000060	BRALA20908	DROME15948
OG0000060	BRALA12851	DROME00430
OG0000061	BRALA07400	DROME05786, DROME05785, DROME05787, DROME20453
OG0000061	BRALA09017, BRALA07401, BRALA14793, BRALA14792	DROME05579, DROME05580, DROME06033
OG0000061	BRALA07399, BRALA11283, BRALA07094, BRALA17504	DROME18900, DROME18901, DROME18899
OG0000062	BRALA31607	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444
OG0000067	BRALA04453	DROME11908, DROME11924, DROME11927, DROME05633
OG0000068	BRALA17343	DROME18366, DROME18368, DROME18367
OG0000069	BRALA33707, BRALA33706, BRALA10090, BRALA31904, BRALA27769, BRALA28929, BRALA02441	DROME03713
OG0000069	BRALA27564	DROME03782
OG0000069	BRALA06442	DROME03778
OG0000069	BRALA27543	DROME03748
OG0000069	BRALA27559	DROME03680
OG0000069	BRALA06475	DROME03708
OG0000069	BRALA31405	DROME03689, DROME03743, DROME03723, DROME03773
OG0000069	BRALA06255	DROME19859
OG0000069	BRALA18787	DROME03718
OG0000069	BRALA27537	DROME03728
OG0000069	BRALA33181	DROME03753
OG0000070	BRALA19019, BRALA19027, BRALA19020	DROME04028, DROME04029, DROME06783
OG0000070	BRALA21094	DROME04912
OG0000070	BRALA00642, BRALA00640, BRALA22018, BRALA22019, BRALA21248, BRALA08298, BRALA06340	DROME17588, DROME17589, DROME19032
OG0000072	BRALA08308	DROME12247, DROME12248
OG0000072	BRALA35229, BRALA34984, BRALA33639, BRALA31916	DROME00750
OG0000072	BRALA18086	DROME14913
OG0000072	BRALA18063	DROME11831, DROME14422
OG0000075	BRALA07062	DROME01373
OG0000075	BRALA11318	DROME01375
OG0000075	BRALA25719	DROME04883, DROME04882
OG0000077	BRALA30355, BRALA30354, BRALA30353, BRALA27919, BRALA16173, BRALA31380, BRALA32410, BRALA09728, BRALA00278, BRALA10708, BRALA22743, BRALA22531, BRALA27588, BRALA21944, BRALA21945	DROME15696, DROME15698, DROME15697
OG0000077	BRALA35746, BRALA06424	DROME07079, DROME07077, DROME07078
OG0000077	BRALA09898	DROME18051
OG0000079	BRALA00097	DROME14752
OG0000079	BRALA18105	DROME14749, DROME14748, DROME14747, DROME14750
OG0000079	BRALA22809	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810
OG0000079	BRALA13477	DROME01298
OG0000081	BRALA35664	DROME17351, DROME17349, DROME17350, DROME17347, DROME17348, DROME17352, DROME17353, DROME01507, DROME01508, DROME09227, DROME00965, DROME00434, DROME00435, DROME00431, DROME03003, DROME06593
OG0000081	BRALA34121, BRALA18692, BRALA18695, BRALA14921, BRALA17428	DROME19345, DROME19344
OG0000082	BRALA23665	DROME20298
OG0000082	BRALA23991	DROME05998
OG0000082	BRALA10738	DROME11174, DROME11173, DROME15008
OG0000082	BRALA12025	DROME14666, DROME14429, DROME14428, DROME14566, DROME14568, DROME14567, DROME14565, DROME16705
OG0000083	BRALA11838, BRALA11834	DROME17112
OG0000084	BRALA16357	DROME13292, DROME13291, DROME13289, DROME13290
OG0000084	BRALA27744	DROME14181, DROME14182, DROME17832, DROME17834, DROME17833
OG0000085	BRALA35021	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133
OG0000085	BRALA20574	DROME00999, DROME00998, DROME01000
OG0000085	BRALA18829, BRALA18828	DROME10832, DROME10831
OG0000086	BRALA08255	DROME14954
OG0000087	BRALA14258	DROME06460
OG0000087	BRALA04156	DROME21450
OG0000087	BRALA11394	DROME03097
OG0000087	BRALA11395, BRALA20088	DROME08842
OG0000087	BRALA11396, BRALA13093, BRALA20310	DROME09495
OG0000088	BRALA15338, BRALA01326, BRALA11261, BRALA04185, BRALA11262, BRALA11263, BRALA13073, BRALA15449, BRALA28619, BRALA23225, BRALA05764, BRALA00340	DROME01198, DROME01197
OG0000090	BRALA02611	DROME02752
OG0000090	BRALA22440	DROME00161, DROME00160, DROME00159, DROME00158
OG0000090	BRALA04706	DROME16241, DROME16240, DROME16239
OG0000091	BRALA26173	DROME20804
OG0000091	BRALA11558, BRALA34552, BRALA15596, BRALA32931, BRALA32607, BRALA11562, BRALA12688, BRALA11559, BRALA24219, BRALA20646, BRALA26643, BRALA12340	DROME00247, DROME16587, DROME05722, DROME16586, DROME16589, DROME16588, DROME21691, DROME21692, DROME21693, DROME16133, DROME19941
OG0000094	BRALA34518	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879
OG0000094	BRALA09222, BRALA24092	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341
OG0000095	BRALA15122, BRALA25718, BRALA09730, BRALA09773, BRALA27146, BRALA20760, BRALA08842	DROME01438
OG0000096	BRALA29898, BRALA29897	DROME08195, DROME08196
OG0000096	BRALA16859	DROME13163
OG0000096	BRALA08595, BRALA28945	DROME13915
OG0000096	BRALA02509	DROME09341
OG0000098	BRALA09558	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214
OG0000099	BRALA22450, BRALA22449, BRALA35493	DROME10335, DROME10334, DROME09743
OG0000099	BRALA29541	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996
OG0000100	BRALA10562	DROME09951
OG0000100	BRALA17244, BRALA33594, BRALA15348, BRALA09332, BRALA34789, BRALA22356	DROME10813
OG0000101	BRALA14227, BRALA01723, BRALA14232, BRALA14229, BRALA14228, BRALA34771, BRALA35778, BRALA34308	DROME05458
OG0000103	BRALA12702, BRALA24770, BRALA25187, BRALA25191, BRALA31877, BRALA22032, BRALA34609, BRALA35379, BRALA31987, BRALA22034, BRALA22033	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989
OG0000104	BRALA24676, BRALA24677	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670
OG0000104	BRALA26650	DROME16895, DROME16894
OG0000104	BRALA24675	DROME16546, DROME16548, DROME16547, DROME16549
OG0000104	BRALA25097, BRALA25098	DROME17321, DROME17322
OG0000106	BRALA03306	DROME19783
OG0000106	BRALA03304, BRALA03303, BRALA03302, BRALA03305	DROME02609
OG0000106	BRALA24272, BRALA34814, BRALA05381, BRALA14365, BRALA14367	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895
OG0000107	BRALA20703, BRALA11727, BRALA20699	DROME03683, DROME03679, DROME03732, DROME03722, DROME03762, DROME03717, DROME03767, DROME03727, DROME03772, DROME03712, DROME03702, DROME03707, DROME03737, DROME03674, DROME03692, DROME03697, DROME03688, DROME03742, DROME14911, DROME03777, DROME03747, DROME03757, DROME03752
OG0000110	BRALA25611, BRALA22080, BRALA22078, BRALA05100, BRALA05295	DROME04794, DROME04795, DROME04798, DROME11669, DROME11670, DROME20727
OG0000111	BRALA06221, BRALA13079, BRALA13080, BRALA29475, BRALA06649, BRALA13382, BRALA01140, BRALA16920, BRALA06787, BRALA06786, BRALA05323, BRALA06788, BRALA06341, BRALA13026, BRALA06344, BRALA16169, BRALA10270	DROME11971, DROME11972, DROME11973, DROME11975
OG0000113	BRALA05711, BRALA05736, BRALA10598, BRALA02148, BRALA02143, BRALA02144, BRALA02149	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762
OG0000113	BRALA05737, BRALA34204, BRALA28295	DROME10947, DROME09281, DROME09280, DROME04114, DROME10948, DROME22089, DROME22090
OG0000114	BRALA11944, BRALA13019, BRALA11943, BRALA15794, BRALA06610	DROME04013, DROME04512, DROME04513
OG0000117	BRALA18688, BRALA13613	DROME17123
OG0000119	BRALA06707, BRALA09190	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501
OG0000119	BRALA09113, BRALA09057, BRALA09056	DROME21220, DROME21219
OG0000119	BRALA14028, BRALA14029	DROME06207, DROME06208, DROME08017, DROME06209
OG0000121	BRALA20434, BRALA03923	DROME17781, DROME08015
OG0000121	BRALA32320	DROME10532
OG0000122	BRALA04629	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476
OG0000122	BRALA07001	DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364
OG0000123	BRALA11476	DROME17732, DROME17730, DROME17731
OG0000124	BRALA26544	DROME08713, DROME09900
OG0000124	BRALA05628	DROME21734
OG0000125	BRALA07049	DROME11932, DROME11934, DROME11935, DROME11936, DROME11933
OG0000126	BRALA11509	DROME01805, DROME01804
OG0000126	BRALA11885	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804
OG0000126	BRALA21733	DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471
OG0000127	BRALA06066	DROME11205, DROME11204
OG0000127	BRALA17083	DROME08158
OG0000127	BRALA16654	DROME05986
OG0000127	BRALA06242	DROME18062
OG0000129	BRALA31934, BRALA31933	DROME07177, DROME07176, DROME07178, DROME10520
OG0000129	BRALA13416	DROME21055
OG0000130	BRALA06672, BRALA27303	DROME11753, DROME15905, DROME02314, DROME10893, DROME15098, DROME15702, DROME15860
OG0000131	BRALA24562	DROME18073, DROME18075, DROME18074
OG0000132	BRALA31411, BRALA31406, BRALA27565, BRALA27560, BRALA27542, BRALA27536, BRALA33655, BRALA33182, BRALA20698, BRALA20702, BRALA25262, BRALA11726, BRALA20134, BRALA33962, BRALA06392, BRALA06433, BRALA06447, BRALA06441, BRALA06456, BRALA06479, BRALA06414	DROME03704, DROME03676, DROME03724, DROME03709, DROME03749, DROME03779, DROME03759, DROME03681, DROME03754, DROME03744, DROME03694, DROME03690, DROME03714, DROME03739, DROME03719, DROME03672, DROME03685, DROME03734, DROME03699, DROME03764, DROME03769, DROME03729, DROME03774
OG0000142	BRALA24723, BRALA02306	DROME07188
OG0000144	BRALA30071, BRALA21424, BRALA11545	DROME21183
OG0000147	BRALA33037	DROME06557, DROME06554, DROME06558, DROME06555, DROME06553, DROME06552, DROME06556
OG0000147	BRALA16538	DROME03466
OG0000147	BRALA30660	DROME17452, DROME17451
OG0000148	BRALA09428	DROME19762, DROME19761, DROME19763
OG0000148	BRALA19052, BRALA19046, BRALA19045, BRALA19050, BRALA19051	DROME12939
OG0000149	BRALA04476, BRALA12518, BRALA28887	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236
OG0000149	BRALA24371	DROME14698, DROME14702, DROME14703, DROME14701, DROME14700, DROME14699
OG0000155	BRALA16575	DROME05911, DROME05917, DROME05907, DROME05916, DROME05914, DROME05908, DROME05904, DROME05910, DROME05918, DROME05912, DROME05898, DROME05915, DROME05902, DROME05905, DROME05913, DROME05909, DROME05900, DROME05901, DROME05906, DROME05903, DROME05899
OG0000157	BRALA34949	DROME05619, DROME05620, DROME05621
OG0000157	BRALA27057	DROME05618, DROME05617, DROME05616
OG0000157	BRALA28027	DROME09786
OG0000159	BRALA12258	DROME09571, DROME09570
OG0000160	BRALA07274, BRALA19400, BRALA19362, BRALA07285, BRALA07284, BRALA07278, BRALA07280, BRALA33017, BRALA19401, BRALA17753, BRALA19403, BRALA07279, BRALA11586, BRALA07275, BRALA14771	DROME21236, DROME21232, DROME21234, DROME21233, DROME21235, DROME20353
OG0000162	BRALA29217, BRALA32848, BRALA35892, BRALA35512, BRALA28170, BRALA34322, BRALA34430, BRALA35671, BRALA34178	DROME21138, DROME21116
OG0000162	BRALA33970	DROME21145, DROME21122, DROME21105, DROME21144, DROME21140, DROME21154, DROME21132
OG0000162	BRALA10232	DROME08394, DROME08390, DROME08396, DROME08397, DROME08395, DROME08392, DROME08391, DROME08389, DROME08393
OG0000163	BRALA16731, BRALA16733, BRALA16732	DROME12520
OG0000163	BRALA00110	DROME16444
OG0000164	BRALA23092	DROME08486
OG0000165	BRALA35730	DROME15840, DROME15841
OG0000167	BRALA17123	DROME04018, DROME04019
OG0000168	BRALA01020, BRALA13286, BRALA13283	DROME01783
OG0000171	BRALA28419	DROME21195, DROME21196, DROME21202, DROME21201, DROME21198, DROME21197, DROME21200, DROME21199
OG0000171	BRALA09972, BRALA09975, BRALA34620, BRALA11421, BRALA23749, BRALA04631, BRALA06721	DROME18491, DROME18493, DROME18496, DROME18497, DROME18494, DROME18492, DROME18495
OG0000172	BRALA19684, BRALA24662	DROME05153, DROME05152, DROME05600, DROME14157, DROME11999, DROME15739, DROME15740, DROME07019, DROME09308
OG0000172	BRALA23427, BRALA05075, BRALA09367, BRALA05284	DROME14415
OG0000173	BRALA05388	DROME18317, DROME18316, DROME18314, DROME18318, DROME18315
OG0000174	BRALA10706, BRALA03775	DROME10165, DROME11306
OG0000175	BRALA24671	DROME19671, DROME02329, DROME16486, DROME16483
OG0000175	BRALA14699, BRALA14698	DROME03593, DROME00840
OG0000179	BRALA13816	DROME11221, DROME21050
OG0000179	BRALA15064, BRALA15063	DROME07796
OG0000179	BRALA28779	DROME10428
OG0000180	BRALA18777, BRALA18757	DROME21739, DROME21740
OG0000181	BRALA20263	DROME12775
OG0000181	BRALA09404	DROME18397
OG0000181	BRALA11436	DROME06226
OG0000182	BRALA20922	DROME13778
OG0000183	BRALA34386	DROME07200, DROME07199, DROME07201, DROME07198, DROME07192, DROME07195, DROME07191, DROME07194, DROME07196, DROME07193
OG0000183	BRALA17782, BRALA17781	DROME07197
OG0000183	BRALA30657	DROME07008
OG0000185	BRALA17010	DROME08939, DROME08940, DROME11667, DROME11668
OG0000185	BRALA20218	DROME12225, DROME12226
OG0000185	BRALA09638	DROME03791, DROME03792
OG0000186	BRALA29207, BRALA31124	DROME18591
OG0000186	BRALA08975, BRALA08973, BRALA08974	DROME04472
OG0000188	BRALA03655	DROME16886, DROME16887
OG0000193	BRALA21700	DROME21697, DROME21696, DROME21698
OG0000193	BRALA29049	DROME08054
OG0000195	BRALA27202, BRALA33299, BRALA21846	DROME10558, DROME10557, DROME10559, DROME09087
OG0000197	BRALA10218	DROME14335, DROME14334, DROME14336
