Orthogroup	BRALA	MOUSE
OG0000004	BRALA09016	MOUSE12693, MOUSE12692
OG0000004	BRALA16167	MOUSE21111
OG0000004	BRALA03918	MOUSE31437
OG0000004	BRALA02003, BRALA02015	MOUSE46906, MOUSE46905, MOUSE41373, MOUSE41374, MOUSE30144
OG0000005	BRALA11141, BRALA20236, BRALA24081, BRALA25210, BRALA25209, BRALA24049, BRALA24867, BRALA34270, BRALA18306, BRALA18305, BRALA22610, BRALA18416	MOUSE03525, MOUSE03521, MOUSE03523, MOUSE03522, MOUSE03519
OG0000006	BRALA07705	MOUSE48684, MOUSE48683
OG0000006	BRALA17590	MOUSE11220
OG0000006	BRALA06686	MOUSE33561, MOUSE33562
OG0000006	BRALA19242	MOUSE36359, MOUSE36360, MOUSE45321
OG0000006	BRALA06109	MOUSE29952, MOUSE29953, MOUSE29954, MOUSE29955
OG0000006	BRALA23800	MOUSE54497
OG0000006	BRALA07568, BRALA29276	MOUSE31158, MOUSE02096, MOUSE02095, MOUSE02097, MOUSE27112, MOUSE27111
OG0000006	BRALA22280	MOUSE28165, MOUSE07632, MOUSE07631
OG0000006	BRALA06185	MOUSE38532, MOUSE38531
OG0000006	BRALA17603	MOUSE10280
OG0000006	BRALA03602	MOUSE11440, MOUSE11438, MOUSE11439
OG0000006	BRALA17591	MOUSE19675
OG0000006	BRALA24372	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567
OG0000006	BRALA24993	MOUSE08011, MOUSE15296
OG0000006	BRALA24994	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798
OG0000006	BRALA22628	MOUSE03398
OG0000007	BRALA03259	MOUSE09063, MOUSE49748
OG0000007	BRALA13447, BRALA13448	MOUSE51845, MOUSE20686
OG0000007	BRALA20872, BRALA20870	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122
OG0000007	BRALA31416	MOUSE03187, MOUSE40199, MOUSE40198, MOUSE46807
OG0000007	BRALA11149	MOUSE52320
OG0000007	BRALA03260	MOUSE49749
OG0000007	BRALA20579	MOUSE13954
OG0000007	BRALA03286	MOUSE09061
OG0000007	BRALA03282	MOUSE09062, MOUSE49739
OG0000007	BRALA26097	MOUSE04689, MOUSE37388
OG0000007	BRALA22487	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807
OG0000007	BRALA06491	MOUSE38586, MOUSE06525
OG0000007	BRALA18647	MOUSE06204
OG0000007	BRALA05625	MOUSE33792, MOUSE33790, MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793, MOUSE41340, MOUSE41339
OG0000007	BRALA30788	MOUSE07031, MOUSE07030
OG0000008	BRALA16035	MOUSE25500
OG0000008	BRALA05591	MOUSE17513, MOUSE17514, MOUSE33182
OG0000008	BRALA27340	MOUSE25728
OG0000008	BRALA26171, BRALA33769, BRALA26174, BRALA26137, BRALA30164, BRALA05954	MOUSE25499, MOUSE25498, MOUSE25349
OG0000008	BRALA05759, BRALA05754, BRALA05767, BRALA05758, BRALA05753, BRALA05580, BRALA32014	MOUSE50311
OG0000008	BRALA20418	MOUSE34799
OG0000010	BRALA13736, BRALA14215, BRALA13464, BRALA24211, BRALA24209	MOUSE49605, MOUSE49413
OG0000010	BRALA24210, BRALA03886	MOUSE22876
OG0000010	BRALA03920, BRALA03888, BRALA03922	MOUSE09529
OG0000010	BRALA01026, BRALA09806	MOUSE36610, MOUSE36609
OG0000010	BRALA23756, BRALA23757, BRALA23755, BRALA23754	MOUSE43880, MOUSE43876, MOUSE43866, MOUSE43868, MOUSE43865, MOUSE43883, MOUSE43882, MOUSE43870, MOUSE43871, MOUSE39501, MOUSE39500, MOUSE39499, MOUSE39528, MOUSE39527, MOUSE39532, MOUSE39534, MOUSE39533, MOUSE39531, MOUSE39530, MOUSE39535, MOUSE39529, MOUSE39498
OG0000011	BRALA26291	MOUSE08113
OG0000011	BRALA34301	MOUSE47282
OG0000012	BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314
OG0000012	BRALA22947	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309
OG0000012	BRALA20558, BRALA12213, BRALA23779, BRALA32735	MOUSE38313
OG0000013	BRALA32294, BRALA12236, BRALA30121, BRALA23251, BRALA30117, BRALA15745, BRALA16184, BRALA26074, BRALA19927, BRALA16969, BRALA20536, BRALA31575, BRALA04855, BRALA20488, BRALA16980, BRALA30511, BRALA16953, BRALA16964, BRALA28033, BRALA16970, BRALA23206, BRALA31240, BRALA23084, BRALA03245, BRALA05270, BRALA21240, BRALA11603, BRALA32226, BRALA32225, BRALA14863, BRALA11595, BRALA11594, BRALA14897, BRALA10656, BRALA10655, BRALA22697, BRALA13629, BRALA13628, BRALA10659, BRALA13631	MOUSE22949, MOUSE22948, MOUSE22951, MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943, MOUSE22945, MOUSE22946, MOUSE36635, MOUSE36633, MOUSE36632, MOUSE36634, MOUSE36630, MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627
OG0000014	BRALA21801, BRALA21800, BRALA21799, BRALA01526, BRALA01524, BRALA18301, BRALA01520, BRALA04327, BRALA00445, BRALA00446, BRALA17457, BRALA17456	MOUSE04189, MOUSE04186, MOUSE04184, MOUSE04187
OG0000014	BRALA05967, BRALA05963, BRALA16193, BRALA05964, BRALA05965, BRALA06004, BRALA12570, BRALA24203, BRALA14273, BRALA09954, BRALA14267, BRALA14269, BRALA14274, BRALA07196	MOUSE20912
OG0000014	BRALA14079	MOUSE31149, MOUSE31150
OG0000014	BRALA28626, BRALA28625, BRALA28624	MOUSE00504, MOUSE00505, MOUSE00503, MOUSE54686
OG0000014	BRALA09953, BRALA20835, BRALA21213, BRALA14270	MOUSE04190, MOUSE04192, MOUSE05979, MOUSE05978, MOUSE05977, MOUSE05976
OG0000015	BRALA21862, BRALA21864, BRALA21860, BRALA21861, BRALA07518, BRALA07541, BRALA18254, BRALA18253, BRALA26423, BRALA21859, BRALA21858	MOUSE03176, MOUSE35079
OG0000015	BRALA22448	MOUSE03220, MOUSE03221, MOUSE36411, MOUSE36410, MOUSE44503, MOUSE44502, MOUSE44501, MOUSE44500
OG0000015	BRALA22447	MOUSE03210, MOUSE03208, MOUSE03209, MOUSE36400, MOUSE36401, MOUSE44497, MOUSE54205, MOUSE36402, MOUSE03212, MOUSE03211, MOUSE54208, MOUSE54207, MOUSE44499, MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219
OG0000015	BRALA18748, BRALA15755, BRALA03405, BRALA12137, BRALA14251, BRALA11669, BRALA11671, BRALA11672, BRALA13048, BRALA14342, BRALA19701, BRALA22042, BRALA22048, BRALA22438	MOUSE55359, MOUSE54956, MOUSE48246, MOUSE03594, MOUSE03595, MOUSE03596
OG0000016	BRALA34743	MOUSE44325
OG0000016	BRALA00485	MOUSE48959, MOUSE48960, MOUSE15414
OG0000016	BRALA32113, BRALA10406	MOUSE15161, MOUSE15160, MOUSE44326, MOUSE05122, MOUSE05123
OG0000016	BRALA12120, BRALA09688	MOUSE13078, MOUSE13077
OG0000016	BRALA24127	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196
OG0000016	BRALA22170	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938, MOUSE44332, MOUSE44335
OG0000019	BRALA16757, BRALA35055, BRALA10428	MOUSE41500, MOUSE41496, MOUSE41501, MOUSE41497, MOUSE41498, MOUSE41499, MOUSE46139, MOUSE46138, MOUSE46137
OG0000019	BRALA00404, BRALA00405	MOUSE35476, MOUSE35477, MOUSE14689, MOUSE14688, MOUSE35478, MOUSE04790, MOUSE04791, MOUSE22639, MOUSE22640
OG0000019	BRALA23253, BRALA16935, BRALA16938, BRALA16161, BRALA13485, BRALA13484, BRALA13482, BRALA33941, BRALA13483, BRALA08371, BRALA00611, BRALA01467, BRALA08352, BRALA01468, BRALA26666, BRALA08383, BRALA00610, BRALA13160	MOUSE30063, MOUSE30064
OG0000020	BRALA12010	MOUSE39911
OG0000020	BRALA28177, BRALA04365	MOUSE45177
OG0000020	BRALA09135	MOUSE05499, MOUSE05500
OG0000020	BRALA27241	MOUSE53015
OG0000020	BRALA28848	MOUSE07164
OG0000020	BRALA05608	MOUSE33588
OG0000020	BRALA18984	MOUSE23587, MOUSE23586
OG0000020	BRALA21902, BRALA16840	MOUSE06637, MOUSE06636
OG0000020	BRALA05743, BRALA25854, BRALA14414	MOUSE34933
OG0000020	BRALA16287	MOUSE26371
OG0000020	BRALA09492, BRALA12060, BRALA03276, BRALA03275, BRALA15785, BRALA31112, BRALA12011, BRALA22630, BRALA11869	MOUSE45175, MOUSE15405
OG0000020	BRALA14062	MOUSE15402
OG0000020	BRALA27392	MOUSE24012
OG0000020	BRALA11912	MOUSE54806, MOUSE54808, MOUSE54807, MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284
OG0000020	BRALA12599	MOUSE37001, MOUSE37002
OG0000020	BRALA10628	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013
OG0000021	BRALA18963	MOUSE41024, MOUSE41023
OG0000021	BRALA18043	MOUSE40749, MOUSE41285, MOUSE41283, MOUSE41287, MOUSE41281, MOUSE41022
OG0000021	BRALA22428	MOUSE49041, MOUSE09998
OG0000021	BRALA30352	MOUSE04592
OG0000021	BRALA06012	MOUSE44445
OG0000021	BRALA20360, BRALA20164	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665
OG0000021	BRALA20364, BRALA11803, BRALA20363, BRALA20361	MOUSE19587
OG0000023	BRALA34393, BRALA34449, BRALA33273	MOUSE46773, MOUSE46772
OG0000023	BRALA29325, BRALA12288	MOUSE49036
OG0000023	BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062	MOUSE01124
OG0000023	BRALA25437	MOUSE12258, MOUSE12260, MOUSE49191, MOUSE28391, MOUSE32112, MOUSE32114, MOUSE38000, MOUSE16835
OG0000023	BRALA29841, BRALA06984, BRALA06983	MOUSE02558, MOUSE02557
OG0000026	BRALA33267	MOUSE30101
OG0000026	BRALA18399, BRALA07898, BRALA07900, BRALA07899, BRALA34641, BRALA22918	MOUSE12605
OG0000026	BRALA09041, BRALA20501, BRALA28179, BRALA02475, BRALA29792, BRALA23720, BRALA33266, BRALA32596, BRALA29794, BRALA27975, BRALA26635, BRALA07999, BRALA07996, BRALA27524, BRALA27525, BRALA11644, BRALA11643, BRALA01094, BRALA31858, BRALA29917, BRALA18251, BRALA01767, BRALA23099, BRALA26971, BRALA26970, BRALA13781	MOUSE38308, MOUSE38309
OG0000027	BRALA30064	MOUSE18680
OG0000027	BRALA15148, BRALA12240, BRALA23216, BRALA17841, BRALA12241, BRALA12239, BRALA32630, BRALA08245, BRALA08233, BRALA23546, BRALA24920, BRALA12814, BRALA00447, BRALA25835, BRALA13009, BRALA00483, BRALA00450, BRALA09026, BRALA26977, BRALA09028, BRALA03738, BRALA18788, BRALA11602, BRALA32150	MOUSE18678, MOUSE18679
OG0000028	BRALA06262, BRALA06265, BRALA11957, BRALA28259, BRALA27261	MOUSE45380
OG0000028	BRALA08537, BRALA08538, BRALA08539, BRALA08540, BRALA08541, BRALA08543, BRALA08542	MOUSE30414, MOUSE30413, MOUSE51349
OG0000028	BRALA08547, BRALA15654	MOUSE51347, MOUSE51348, MOUSE47957, MOUSE12712, MOUSE29157, MOUSE29159
OG0000028	BRALA01199, BRALA17029, BRALA17030	MOUSE47956, MOUSE47954, MOUSE47955, MOUSE26458
OG0000028	BRALA08523	MOUSE44525
OG0000029	BRALA18593, BRALA15599, BRALA21105, BRALA06813, BRALA30989, BRALA00525, BRALA00526, BRALA00527, BRALA00523, BRALA00522, BRALA00528, BRALA09392, BRALA20510, BRALA08676	MOUSE17544, MOUSE15400
OG0000030	BRALA13442	MOUSE13263, MOUSE13264, MOUSE13265
OG0000031	BRALA28310	MOUSE36272
OG0000031	BRALA04543	MOUSE26385
OG0000031	BRALA04547	MOUSE14840, MOUSE26448, MOUSE08530
OG0000031	BRALA04610	MOUSE08528, MOUSE08527
OG0000031	BRALA05046	MOUSE44529
OG0000031	BRALA16640	MOUSE39309, MOUSE01505
OG0000031	BRALA09408	MOUSE40719, MOUSE40720
OG0000031	BRALA28311	MOUSE13006, MOUSE13005
OG0000031	BRALA15572	MOUSE13008
OG0000032	BRALA10240	MOUSE21598, MOUSE21599, MOUSE21602, MOUSE21601, MOUSE21600
OG0000032	BRALA11179, BRALA11177, BRALA09647	MOUSE29123
OG0000032	BRALA04146, BRALA04145, BRALA04144, BRALA00632, BRALA09098, BRALA21017, BRALA21018, BRALA21016, BRALA22581, BRALA14174	MOUSE23164
OG0000034	BRALA27570	MOUSE46353, MOUSE46347, MOUSE04536, MOUSE19996, MOUSE37608, MOUSE04537, MOUSE04538, MOUSE04539
OG0000034	BRALA08751	MOUSE43921, MOUSE45737, MOUSE14480, MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011
OG0000034	BRALA08901, BRALA03079	MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176
OG0000034	BRALA17580	MOUSE30287, MOUSE30289, MOUSE30288, MOUSE19105
OG0000034	BRALA08885	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480
OG0000034	BRALA23966, BRALA06594	MOUSE11491, MOUSE11490
OG0000034	BRALA02412	MOUSE20059
OG0000035	BRALA21367, BRALA35402	MOUSE02570, MOUSE02571
OG0000035	BRALA13921	MOUSE41545, MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092
OG0000035	BRALA29588	MOUSE31138, MOUSE47097, MOUSE47099, MOUSE47098, MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546
OG0000035	BRALA13915, BRALA22877	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974, MOUSE47243, MOUSE47244, MOUSE47242, MOUSE41507
OG0000035	BRALA13917	MOUSE27104
OG0000036	BRALA03126, BRALA19967	MOUSE12248, MOUSE49436
OG0000036	BRALA22400	MOUSE49768
OG0000036	BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181	MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708
OG0000036	BRALA35896	MOUSE12250, MOUSE12249, MOUSE12252, MOUSE12251, MOUSE49440, MOUSE49439
OG0000036	BRALA31321, BRALA06755, BRALA06753, BRALA18345	MOUSE29724, MOUSE29725
OG0000036	BRALA22402, BRALA22404	MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723
OG0000036	BRALA03476	MOUSE49438
OG0000037	BRALA22282	MOUSE10993, MOUSE10994, MOUSE10992, MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745, MOUSE07837, MOUSE07836, MOUSE07835, MOUSE20306
OG0000037	BRALA22275	MOUSE49952, MOUSE49951, MOUSE20178, MOUSE43378
OG0000037	BRALA16015	MOUSE28645, MOUSE28646, MOUSE13720, MOUSE35631
OG0000037	BRALA16388	MOUSE21441
OG0000038	BRALA27417	MOUSE22591, MOUSE22592
OG0000039	BRALA01170, BRALA17648, BRALA19632, BRALA19635	MOUSE32704
OG0000039	BRALA31558	MOUSE23391, MOUSE23392, MOUSE23393, MOUSE23385, MOUSE23384, MOUSE23386, MOUSE24868
OG0000039	BRALA02916, BRALA20258, BRALA27882, BRALA01626, BRALA01628, BRALA23751, BRALA01619, BRALA01617, BRALA01627, BRALA01624, BRALA01620, BRALA01618, BRALA04466, BRALA04471, BRALA01927, BRALA16092	MOUSE23387
OG0000040	BRALA35825, BRALA27751	MOUSE38749, MOUSE38739, MOUSE38746, MOUSE38748
OG0000040	BRALA11729, BRALA05958, BRALA30125, BRALA25190, BRALA05957, BRALA05956, BRALA24498, BRALA28368, BRALA17917, BRALA31975, BRALA14369, BRALA25635, BRALA14529, BRALA07729, BRALA29177, BRALA06759, BRALA31556, BRALA17916, BRALA33438, BRALA30900, BRALA15606	MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413
OG0000041	BRALA27215	MOUSE28829, MOUSE21621, MOUSE06756, MOUSE06702, MOUSE13395, MOUSE28657
OG0000042	BRALA34429	MOUSE51171
OG0000042	BRALA27880, BRALA05311, BRALA25919, BRALA28670, BRALA19166, BRALA23184, BRALA28669, BRALA16191, BRALA25918, BRALA30415, BRALA29610, BRALA04826, BRALA22020, BRALA21500, BRALA22237, BRALA26652	MOUSE15999, MOUSE51169, MOUSE51168, MOUSE51170, MOUSE51172, MOUSE38450, MOUSE38449, MOUSE38448, MOUSE38451
OG0000044	BRALA16330, BRALA33207	MOUSE35862, MOUSE46639
OG0000044	BRALA27747	MOUSE41161, MOUSE41162
OG0000045	BRALA29043, BRALA32667	MOUSE25074
OG0000045	BRALA19490, BRALA19482	MOUSE20735
OG0000045	BRALA22894	MOUSE17353, MOUSE07193
OG0000046	BRALA28946	MOUSE48114, MOUSE48113
OG0000046	BRALA00828, BRALA17402, BRALA17400	MOUSE54722, MOUSE34003
OG0000046	BRALA23725, BRALA23726, BRALA19361, BRALA20352, BRALA19394, BRALA23187, BRALA19360, BRALA17712, BRALA30574, BRALA17713, BRALA15856, BRALA28385, BRALA34030	MOUSE32874
OG0000048	BRALA08224	MOUSE55730
OG0000048	BRALA17809	MOUSE42201, MOUSE42202
OG0000048	BRALA10830	MOUSE06701
OG0000048	BRALA03524	MOUSE49641, MOUSE49640, MOUSE49639
OG0000049	BRALA08950, BRALA08951	MOUSE00124, MOUSE00123, MOUSE44987, MOUSE44986
OG0000049	BRALA15334	MOUSE52606, MOUSE52607, MOUSE52608, MOUSE35311
OG0000049	BRALA15336, BRALA15335	MOUSE03391, MOUSE17233, MOUSE17232, MOUSE39154, MOUSE39153, MOUSE40910, MOUSE40909
OG0000049	BRALA16919, BRALA35874, BRALA15337	MOUSE40908, MOUSE39155
OG0000051	BRALA17952	MOUSE40003
OG0000051	BRALA22978, BRALA25416	MOUSE52051, MOUSE52052, MOUSE21678, MOUSE21679, MOUSE52055, MOUSE52053, MOUSE52054, MOUSE52063, MOUSE52065, MOUSE52064
OG0000053	BRALA16213, BRALA07330	MOUSE33288
OG0000054	BRALA02118	MOUSE48109
OG0000054	BRALA12332, BRALA22995, BRALA22164, BRALA21314, BRALA18426, BRALA25220, BRALA21960, BRALA06303, BRALA29468, BRALA09095, BRALA20505, BRALA23115, BRALA28620, BRALA24808, BRALA15699, BRALA01267, BRALA17804, BRALA17806, BRALA00882, BRALA05257	MOUSE33537, MOUSE33539, MOUSE33538, MOUSE33523, MOUSE33524, MOUSE33525, MOUSE33528, MOUSE33529, MOUSE33527, MOUSE33526, MOUSE33530, MOUSE33531, MOUSE33536, MOUSE33533, MOUSE33535, MOUSE33532, MOUSE33534
OG0000054	BRALA17805, BRALA33752	MOUSE48639
OG0000055	BRALA13087	MOUSE03681, MOUSE08929
OG0000056	BRALA00682	MOUSE36572, MOUSE36574, MOUSE36579, MOUSE36583, MOUSE36576, MOUSE36586, MOUSE36571, MOUSE36575, MOUSE36582, MOUSE36587, MOUSE36573, MOUSE36590, MOUSE36585, MOUSE36584, MOUSE36589, MOUSE36588, MOUSE36577, MOUSE36580, MOUSE36578, MOUSE36581
OG0000056	BRALA21309	MOUSE37995, MOUSE37994
OG0000057	BRALA05192, BRALA22206, BRALA11691, BRALA27516, BRALA21236	MOUSE10186, MOUSE10187, MOUSE10188, MOUSE44717, MOUSE44718
OG0000058	BRALA29633	MOUSE17481
OG0000058	BRALA24063	MOUSE21857, MOUSE21254
OG0000058	BRALA06324	MOUSE10546
OG0000058	BRALA14300	MOUSE40446, MOUSE40445
OG0000058	BRALA24917, BRALA27306	MOUSE06405
OG0000058	BRALA14302	MOUSE38610
OG0000058	BRALA25998, BRALA27305, BRALA06328, BRALA03972, BRALA06644, BRALA08742, BRALA24463, BRALA24460	MOUSE49898, MOUSE27373, MOUSE40443, MOUSE20899
OG0000058	BRALA11173, BRALA06327	MOUSE06401, MOUSE38608
OG0000058	BRALA27304	MOUSE38609, MOUSE40444
OG0000059	BRALA13206	MOUSE55069, MOUSE29771, MOUSE29770, MOUSE29769
OG0000059	BRALA11568	MOUSE52262, MOUSE52259, MOUSE52258
OG0000059	BRALA20365	MOUSE50100, MOUSE09595, MOUSE09590, MOUSE09592
OG0000059	BRALA19963, BRALA20366	MOUSE50099, MOUSE50101, MOUSE29617, MOUSE09593, MOUSE09594, MOUSE09591, MOUSE09588, MOUSE09589
OG0000060	BRALA01718	MOUSE52080, MOUSE52079
OG0000061	BRALA07400	MOUSE26618, MOUSE38907, MOUSE38906
OG0000061	BRALA23690, BRALA23691, BRALA23692, BRALA33700, BRALA14844	MOUSE22377, MOUSE22378, MOUSE53042
OG0000061	BRALA22663, BRALA26552, BRALA22659, BRALA26551, BRALA26563	MOUSE06425, MOUSE42762, MOUSE17361, MOUSE03955, MOUSE03956, MOUSE23297, MOUSE23298, MOUSE53307, MOUSE39884, MOUSE39883, MOUSE39889, MOUSE39886, MOUSE39890, MOUSE39885, MOUSE39887, MOUSE39892, MOUSE39891, MOUSE08504, MOUSE08505
OG0000061	BRALA09017, BRALA07401, BRALA14793, BRALA14792	MOUSE39874, MOUSE39873, MOUSE39878, MOUSE39876, MOUSE39877, MOUSE05785
OG0000062	BRALA21141, BRALA30349, BRALA21142	MOUSE41585, MOUSE41584, MOUSE41295, MOUSE41296, MOUSE41297, MOUSE41294, MOUSE41586
OG0000062	BRALA31607	MOUSE52081
OG0000063	BRALA00957	MOUSE33697
OG0000063	BRALA04998, BRALA01208, BRALA05262, BRALA05245, BRALA05098, BRALA01012, BRALA05297	MOUSE27866, MOUSE27867, MOUSE46812, MOUSE46810, MOUSE46811, MOUSE46809
OG0000066	BRALA25733	MOUSE53763
OG0000066	BRALA28825, BRALA18292, BRALA11955, BRALA06903	MOUSE13756
OG0000067	BRALA20114, BRALA23146, BRALA20125, BRALA07853, BRALA09449	MOUSE10267
OG0000067	BRALA35634, BRALA09451	MOUSE19580, MOUSE31455
OG0000068	BRALA17343	MOUSE54270, MOUSE52919, MOUSE52920, MOUSE52921, MOUSE14430, MOUSE41087, MOUSE41088, MOUSE02009
OG0000069	BRALA33707, BRALA33706, BRALA10090, BRALA31904, BRALA27769, BRALA28929, BRALA02441	MOUSE30824
OG0000069	BRALA06442	MOUSE30828
OG0000069	BRALA27543	MOUSE08907, MOUSE30830
OG0000069	BRALA06255, BRALA22501	MOUSE24595
OG0000069	BRALA11725	MOUSE24597, MOUSE24598, MOUSE24599
OG0000069	BRALA18787	MOUSE08934, MOUSE08905, MOUSE08822, MOUSE08829
OG0000070	BRALA19019, BRALA19027, BRALA19020	MOUSE00175, MOUSE00176, MOUSE00177, MOUSE00178, MOUSE55320, MOUSE54102
OG0000070	BRALA24904, BRALA14166, BRALA14168, BRALA14506, BRALA14507, BRALA14508, BRALA00869, BRALA13923, BRALA21904, BRALA31816, BRALA28174, BRALA29611, BRALA33117, BRALA16447, BRALA14504, BRALA14505, BRALA15434, BRALA07382, BRALA09112, BRALA15447, BRALA14512, BRALA07371, BRALA14167, BRALA10327, BRALA03588, BRALA09032, BRALA02167, BRALA22763, BRALA01254	MOUSE01400, MOUSE01399
