Orthogroup	BRALA	ORYLA
OG0000023	BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062	ORYLA02861, ORYLA18687
OG0000023	BRALA25437	ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476
OG0000023	BRALA29841, BRALA06984, BRALA06983	ORYLA14352, ORYLA16095
OG0000024	BRALA13162, BRALA17266	ORYLA17936, ORYLA08736, ORYLA06589, ORYLA12747, ORYLA12762, ORYLA04610, ORYLA19341, ORYLA19215, ORYLA19658, ORYLA15436, ORYLA19199, ORYLA01579, ORYLA16205, ORYLA18587, ORYLA16917, ORYLA16913, ORYLA08363, ORYLA17880, ORYLA10832, ORYLA08908, ORYLA08437, ORYLA19498, ORYLA08413, ORYLA19485, ORYLA02911, ORYLA10288
OG0000026	BRALA01049	ORYLA06726
OG0000026	BRALA18399, BRALA07898, BRALA07900, BRALA07899, BRALA34641, BRALA22918	ORYLA09539
OG0000027	BRALA15148, BRALA12240, BRALA23216, BRALA17841, BRALA12241, BRALA12239, BRALA32630, BRALA08245, BRALA08233, BRALA23546, BRALA24920, BRALA12814, BRALA00447, BRALA25835, BRALA13009, BRALA00483, BRALA00450, BRALA09026, BRALA26977, BRALA09028, BRALA03738, BRALA18788, BRALA11602, BRALA32150	ORYLA04739
OG0000028	BRALA26965	ORYLA01165
OG0000028	BRALA06262, BRALA06265, BRALA11957, BRALA28259, BRALA27261	ORYLA03205, ORYLA04463
OG0000028	BRALA08537, BRALA08538, BRALA08539, BRALA08540, BRALA08541, BRALA08543, BRALA08542	ORYLA01107, ORYLA00838, ORYLA05731, ORYLA12623
OG0000028	BRALA08547, BRALA15654	ORYLA12624, ORYLA00837, ORYLA01106, ORYLA11312, ORYLA15414
OG0000028	BRALA01199, BRALA17029, BRALA17030	ORYLA01105, ORYLA00835, ORYLA09887, ORYLA09886, ORYLA04684
OG0000028	BRALA08523	ORYLA20303, ORYLA20302, ORYLA00834, ORYLA01103, ORYLA05749, ORYLA01547
OG0000029	BRALA18593, BRALA15599, BRALA21105, BRALA06813, BRALA30989, BRALA00525, BRALA00526, BRALA00527, BRALA00523, BRALA00522, BRALA00528, BRALA09392, BRALA20510, BRALA08676	ORYLA15906
OG0000030	BRALA13442	ORYLA18077
OG0000030	BRALA32573	ORYLA07170
OG0000030	BRALA10449	ORYLA20234
OG0000031	BRALA04543	ORYLA09861, ORYLA15740
OG0000031	BRALA04547	ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771
OG0000031	BRALA04610	ORYLA01770
OG0000031	BRALA13458	ORYLA06561
OG0000031	BRALA05046	ORYLA14932
OG0000031	BRALA16640	ORYLA10394, ORYLA11971
OG0000031	BRALA09408	ORYLA14237, ORYLA15433
OG0000031	BRALA28311	ORYLA04591, ORYLA04917
OG0000031	BRALA15572	ORYLA06240
OG0000032	BRALA10240	ORYLA09076, ORYLA06417
OG0000032	BRALA11179, BRALA11177, BRALA09647	ORYLA15502
OG0000033	BRALA02126, BRALA10869, BRALA21237, BRALA19989, BRALA30335, BRALA15631, BRALA30896, BRALA03164, BRALA20948, BRALA16265, BRALA26467, BRALA30133, BRALA27954, BRALA26545, BRALA09893, BRALA08428, BRALA32889, BRALA32814, BRALA17887, BRALA29128, BRALA31215, BRALA32952, BRALA32013, BRALA31320, BRALA22662, BRALA32689, BRALA12445, BRALA24903, BRALA28184, BRALA24591, BRALA03863, BRALA29419, BRALA17987, BRALA31131, BRALA12002, BRALA31883, BRALA11190, BRALA28120, BRALA30008, BRALA33243, BRALA07269, BRALA32916, BRALA30826, BRALA27795, BRALA10774, BRALA00010, BRALA20279, BRALA10423, BRALA34048, BRALA34732, BRALA33801, BRALA32426, BRALA32153, BRALA20280, BRALA29143, BRALA29939, BRALA09522, BRALA32831, BRALA19307, BRALA23155, BRALA27594, BRALA22615, BRALA32032, BRALA32815, BRALA33133, BRALA19402, BRALA00758, BRALA22567, BRALA31294, BRALA28294	ORYLA01373
OG0000034	BRALA27570	ORYLA07927, ORYLA16241, ORYLA04579, ORYLA02286, ORYLA17781
OG0000034	BRALA08751	ORYLA16358, ORYLA12476, ORYLA15138, ORYLA11195, ORYLA16147
OG0000034	BRALA08901, BRALA03079	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558
OG0000034	BRALA17580	ORYLA07312
OG0000034	BRALA08885	ORYLA12339, ORYLA14860
OG0000034	BRALA23966, BRALA06594	ORYLA19697
OG0000034	BRALA02412	ORYLA14655
OG0000035	BRALA21367, BRALA35402	ORYLA16101
OG0000035	BRALA13921	ORYLA11104, ORYLA14870, ORYLA12119
OG0000035	BRALA29588	ORYLA18031, ORYLA17191, ORYLA15336, ORYLA11216
OG0000035	BRALA13915, BRALA22877	ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268
OG0000035	BRALA13917	ORYLA17117, ORYLA14783
OG0000036	BRALA03126, BRALA19967	ORYLA07477, ORYLA12738, ORYLA06564, ORYLA02184
OG0000036	BRALA22400	ORYLA15615, ORYLA15153
OG0000036	BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181	ORYLA07495, ORYLA20280, ORYLA12724
OG0000036	BRALA31321, BRALA06755, BRALA06753, BRALA18345	ORYLA20440, ORYLA11184
OG0000036	BRALA22402, BRALA22404	ORYLA12571
OG0000037	BRALA22282	ORYLA10680, ORYLA05584, ORYLA10681, ORYLA11814, ORYLA12530, ORYLA11609, ORYLA10251, ORYLA04338, ORYLA01058
OG0000037	BRALA22275	ORYLA05151, ORYLA08136, ORYLA03090
OG0000037	BRALA16015	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448
OG0000037	BRALA16388	ORYLA04725
OG0000038	BRALA07451	ORYLA16180
OG0000038	BRALA32346	ORYLA16179
OG0000038	BRALA27417	ORYLA08393, ORYLA09754
OG0000039	BRALA01170, BRALA17648, BRALA19632, BRALA19635	ORYLA07496
OG0000039	BRALA02916, BRALA20258, BRALA27882, BRALA01626, BRALA01628, BRALA23751, BRALA01619, BRALA01617, BRALA01627, BRALA01624, BRALA01620, BRALA01618, BRALA04466, BRALA04471, BRALA01927, BRALA16092	ORYLA16124
OG0000039	BRALA19542	ORYLA05812, ORYLA00801, ORYLA00802
OG0000040	BRALA35825, BRALA27751	ORYLA04846, ORYLA04844
OG0000040	BRALA11729, BRALA05958, BRALA30125, BRALA25190, BRALA05957, BRALA05956, BRALA24498, BRALA28368, BRALA17917, BRALA31975, BRALA14369, BRALA25635, BRALA14529, BRALA07729, BRALA29177, BRALA06759, BRALA31556, BRALA17916, BRALA33438, BRALA30900, BRALA15606	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406
OG0000041	BRALA27215	ORYLA13695, ORYLA09068, ORYLA11484, ORYLA11472, ORYLA05357, ORYLA19350
OG0000042	BRALA27880, BRALA05311, BRALA25919, BRALA28670, BRALA19166, BRALA23184, BRALA28669, BRALA16191, BRALA25918, BRALA30415, BRALA29610, BRALA04826, BRALA22020, BRALA21500, BRALA22237, BRALA26652	ORYLA12797, ORYLA10877, ORYLA10878
OG0000043	BRALA09159	ORYLA03388
OG0000044	BRALA27747	ORYLA05288
OG0000044	BRALA34838	ORYLA05174
OG0000045	BRALA29043, BRALA32667	ORYLA09208, ORYLA09207
OG0000045	BRALA19490, BRALA19482	ORYLA02913
OG0000046	BRALA28946	ORYLA00520
OG0000046	BRALA00828, BRALA17402, BRALA17400	ORYLA18815, ORYLA05911
OG0000048	BRALA08224	ORYLA19472
OG0000048	BRALA06772	ORYLA14101
OG0000048	BRALA17823, BRALA17828, BRALA17827, BRALA14637, BRALA17826, BRALA20466, BRALA05845, BRALA13397, BRALA31649, BRALA31651, BRALA13408, BRALA13407	ORYLA19631
OG0000048	BRALA17809	ORYLA08002
OG0000048	BRALA10830	ORYLA11420
OG0000048	BRALA03524	ORYLA15054
OG0000049	BRALA08950, BRALA08951	ORYLA11559, ORYLA19044, ORYLA04067, ORYLA03584
OG0000049	BRALA15334	ORYLA13704, ORYLA13828, ORYLA15018
OG0000049	BRALA15336, BRALA15335	ORYLA11032, ORYLA11031, ORYLA14189, ORYLA20256, ORYLA14320, ORYLA15992, ORYLA14028, ORYLA14561, ORYLA15871
OG0000049	BRALA16919, BRALA35874, BRALA15337	ORYLA14190, ORYLA14191, ORYLA11029
OG0000051	BRALA22978, BRALA25416	ORYLA05117
OG0000052	BRALA31597, BRALA31990, BRALA23098, BRALA32359, BRALA01546, BRALA12749, BRALA03474, BRALA26667, BRALA27854, BRALA32884, BRALA17972, BRALA09204, BRALA19103, BRALA16841, BRALA01500, BRALA27314, BRALA07522, BRALA11636, BRALA13254, BRALA17955, BRALA23616, BRALA18886, BRALA12690, BRALA12254, BRALA10985, BRALA26548, BRALA15676, BRALA26833, BRALA21382, BRALA22722, BRALA22656, BRALA07767, BRALA20131, BRALA29503, BRALA17971, BRALA30145, BRALA21483, BRALA32358	ORYLA03847, ORYLA07122
OG0000052	BRALA32354, BRALA33745, BRALA29046, BRALA22655, BRALA21383, BRALA13065, BRALA12991, BRALA11152, BRALA07766, BRALA07479, BRALA01433, BRALA01406, BRALA12590, BRALA24634, BRALA02553, BRALA25928, BRALA33391, BRALA10645, BRALA26537, BRALA17284, BRALA18010, BRALA07472, BRALA28158, BRALA14154, BRALA03903, BRALA35146, BRALA04107, BRALA33473, BRALA20142, BRALA23347, BRALA14114, BRALA26653, BRALA01780, BRALA19636, BRALA03448, BRALA25177, BRALA34774, BRALA19340, BRALA19337, BRALA13175, BRALA29756, BRALA21907, BRALA29760, BRALA26550, BRALA11628, BRALA30906, BRALA27793, BRALA29469, BRALA18478, BRALA20881, BRALA32444, BRALA27554, BRALA22559, BRALA28706, BRALA23403, BRALA12582, BRALA24313, BRALA03336, BRALA01309, BRALA00341, BRALA01921, BRALA17134, BRALA09402, BRALA13022, BRALA11458, BRALA26226, BRALA32281, BRALA31303, BRALA31150, BRALA08315, BRALA02042, BRALA32550, BRALA14048, BRALA33106, BRALA15526	ORYLA18368, ORYLA18615, ORYLA19851
OG0000053	BRALA16213, BRALA07330	ORYLA12857
OG0000054	BRALA02118	ORYLA00519
OG0000054	BRALA12332, BRALA22995, BRALA22164, BRALA21314, BRALA18426, BRALA25220, BRALA21960, BRALA06303, BRALA29468, BRALA09095, BRALA20505, BRALA23115, BRALA28620, BRALA24808, BRALA15699, BRALA01267, BRALA17804, BRALA17806, BRALA00882, BRALA05257	ORYLA05953
OG0000055	BRALA13087	ORYLA00098, ORYLA00083, ORYLA00100
OG0000056	BRALA00682	ORYLA07324, ORYLA00315
OG0000056	BRALA22096	ORYLA00874
OG0000056	BRALA21309	ORYLA17860
OG0000057	BRALA05192, BRALA22206, BRALA11691, BRALA27516, BRALA21236	ORYLA17686, ORYLA14639, ORYLA12170
OG0000058	BRALA06324	ORYLA18104
OG0000058	BRALA25998, BRALA27305, BRALA06328, BRALA03972, BRALA06644, BRALA08742, BRALA24463, BRALA24460	ORYLA11895, ORYLA12524, ORYLA19070
OG0000058	BRALA11173, BRALA06327	ORYLA00576, ORYLA16972
OG0000058	BRALA06325	ORYLA18100, ORYLA18099, ORYLA18101, ORYLA18068
OG0000059	BRALA13206	ORYLA07253, ORYLA03181, ORYLA04042
OG0000059	BRALA11568	ORYLA09176
OG0000059	BRALA19963, BRALA20366	ORYLA04122, ORYLA03135, ORYLA01146
OG0000060	BRALA01718	ORYLA01946, ORYLA04743
OG0000061	BRALA07400	ORYLA09666, ORYLA08403, ORYLA01785, ORYLA15422
OG0000061	BRALA23690, BRALA23691, BRALA23692, BRALA33700, BRALA14844	ORYLA10018, ORYLA07904, ORYLA07058
OG0000061	BRALA22663, BRALA26552, BRALA22659, BRALA26551, BRALA26563	ORYLA16623, ORYLA08006, ORYLA08288, ORYLA08710, ORYLA09144, ORYLA06720, ORYLA07094, ORYLA13357, ORYLA13574, ORYLA07095, ORYLA13356, ORYLA06400, ORYLA19115
OG0000061	BRALA09017, BRALA07401, BRALA14793, BRALA14792	ORYLA07060, ORYLA08273
OG0000062	BRALA21141, BRALA30349, BRALA21142	ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546
OG0000062	BRALA31607	ORYLA10585, ORYLA11804
OG0000063	BRALA04998, BRALA01208, BRALA05262, BRALA05245, BRALA05098, BRALA01012, BRALA05297	ORYLA14082, ORYLA04940, ORYLA08134
OG0000066	BRALA25733	ORYLA06398
OG0000067	BRALA20114, BRALA23146, BRALA20125, BRALA07853, BRALA09449	ORYLA02381
OG0000067	BRALA35634, BRALA09451	ORYLA04851, ORYLA01183, ORYLA06203, ORYLA19414
OG0000068	BRALA17343	ORYLA16122, ORYLA20259, ORYLA15438, ORYLA14153, ORYLA11242, ORYLA11243, ORYLA14701, ORYLA15913, ORYLA10852
OG0000069	BRALA06442	ORYLA03855
OG0000069	BRALA27559	ORYLA00227, ORYLA00099, ORYLA00041
OG0000069	BRALA06255, BRALA22501	ORYLA08015
OG0000069	BRALA11725	ORYLA00084, ORYLA03826
OG0000070	BRALA19019, BRALA19027, BRALA19020	ORYLA11329, ORYLA09412
OG0000070	BRALA24904, BRALA14166, BRALA14168, BRALA14506, BRALA14507, BRALA14508, BRALA00869, BRALA13923, BRALA21904, BRALA31816, BRALA28174, BRALA29611, BRALA33117, BRALA16447, BRALA14504, BRALA14505, BRALA15434, BRALA07382, BRALA09112, BRALA15447, BRALA14512, BRALA07371, BRALA14167, BRALA10327, BRALA03588, BRALA09032, BRALA02167, BRALA22763, BRALA01254	ORYLA07085, ORYLA17312
OG0000071	BRALA05660	ORYLA12049, ORYLA12050, ORYLA20329, ORYLA09791, ORYLA09793, ORYLA09792, ORYLA11588, ORYLA18704, ORYLA12712, ORYLA12714, ORYLA12716
OG0000072	BRALA12631	ORYLA00527, ORYLA04050, ORYLA03176
OG0000072	BRALA33639, BRALA31916	ORYLA20464
OG0000074	BRALA15329	ORYLA15428
OG0000075	BRALA11316	ORYLA08229, ORYLA07050
OG0000075	BRALA07062	ORYLA15750
OG0000075	BRALA18754	ORYLA05870, ORYLA14226
OG0000075	BRALA16174	ORYLA04438
OG0000075	BRALA11318	ORYLA10049, ORYLA15751
OG0000075	BRALA17353, BRALA17352	ORYLA13961, ORYLA13960, ORYLA15787, ORYLA15785, ORYLA15786, ORYLA20334
OG0000075	BRALA20309	ORYLA11054, ORYLA15824
OG0000075	BRALA25719	ORYLA14687, ORYLA10924, ORYLA15926
OG0000075	BRALA17324	ORYLA19688
OG0000077	BRALA11472	ORYLA00390, ORYLA03856, ORYLA01218, ORYLA02852, ORYLA17787
OG0000077	BRALA02324	ORYLA09130, ORYLA06009, ORYLA03431
OG0000077	BRALA30355, BRALA30354, BRALA30353, BRALA27919, BRALA16173, BRALA31380, BRALA32410, BRALA09728, BRALA00278, BRALA10708, BRALA22743, BRALA22531, BRALA27588, BRALA21944, BRALA21945	ORYLA17383, ORYLA00897, ORYLA04945, ORYLA12034, ORYLA00844, ORYLA07409
OG0000077	BRALA35746, BRALA06424	ORYLA10378, ORYLA11807, ORYLA10356, ORYLA09729, ORYLA17450
OG0000078	BRALA02325, BRALA02320, BRALA02318, BRALA10234, BRALA02688, BRALA30889, BRALA02317, BRALA11328	ORYLA13083, ORYLA13994, ORYLA10833
OG0000079	BRALA00097, BRALA00109	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903
OG0000079	BRALA18105	ORYLA02351, ORYLA01210, ORYLA04604
OG0000079	BRALA22809	ORYLA04303, ORYLA04302, ORYLA14111, ORYLA18726
OG0000079	BRALA13477	ORYLA13165
OG0000080	BRALA29553, BRALA02745, BRALA15989, BRALA02542	ORYLA09642, ORYLA12801
OG0000081	BRALA05164, BRALA21995, BRALA12438, BRALA12435	ORYLA17325, ORYLA13622, ORYLA13621, ORYLA13623, ORYLA12409, ORYLA04160, ORYLA09392
OG0000082	BRALA23665	ORYLA02580
OG0000082	BRALA23991	ORYLA01470
OG0000082	BRALA10738	ORYLA09330
OG0000082	BRALA12024	ORYLA19108
OG0000083	BRALA11838, BRALA11834	ORYLA04024, ORYLA20424
OG0000084	BRALA16357	ORYLA03408, ORYLA10403, ORYLA17750, ORYLA02676
