Orthogroup	BRALA	APOSJ_ok
OG0000009	BRALA12697, BRALA27847	APOSJ_56376, APOSJ_43608, APOSJ_01836, APOSJ_01834, APOSJ_01831, APOSJ_62939, APOSJ_62936, APOSJ_43607, APOSJ_49147, APOSJ_49146, APOSJ_49148, APOSJ_04209, APOSJ_00134, APOSJ_53043
OG0000009	BRALA32265, BRALA29866, BRALA26277, BRALA33071, BRALA32981, BRALA30024, BRALA26298, BRALA26297, BRALA06338	APOSJ_08607, APOSJ_33774, APOSJ_21638
OG0000010	BRALA17508, BRALA01650, BRALA02432, BRALA03920, BRALA03888, BRALA03922	APOSJ_03628
OG0000010	BRALA23788	APOSJ_10822
OG0000010	BRALA26959, BRALA34111, BRALA03882, BRALA23970, BRALA23974, BRALA23975, BRALA23976, BRALA23977	APOSJ_36301, APOSJ_36300, APOSJ_03568, APOSJ_03074
OG0000011	BRALA06520, BRALA31196	APOSJ_54377, APOSJ_54378, APOSJ_54376, APOSJ_54379, APOSJ_52118, APOSJ_51528, APOSJ_27819, APOSJ_51532, APOSJ_27817, APOSJ_52112, APOSJ_51531, APOSJ_51530, APOSJ_32958, APOSJ_27820, APOSJ_42157, APOSJ_42159, APOSJ_64504
OG0000011	BRALA14401, BRALA26140, BRALA10514, BRALA15580, BRALA11289, BRALA08054, BRALA04532, BRALA22147	APOSJ_55692, APOSJ_01636, APOSJ_36340, APOSJ_37738, APOSJ_37733, APOSJ_37734, APOSJ_17966, APOSJ_17967, APOSJ_17965
OG0000011	BRALA26291	APOSJ_09282
OG0000011	BRALA22896, BRALA17910	APOSJ_37350
OG0000011	BRALA19887, BRALA33147	APOSJ_60676
OG0000011	BRALA07657, BRALA07658, BRALA14523, BRALA24764, BRALA15476, BRALA23449, BRALA24766, BRALA32763, BRALA07512, BRALA05037	APOSJ_62559, APOSJ_16662, APOSJ_58824, APOSJ_37653, APOSJ_37652, APOSJ_55526, APOSJ_64837, APOSJ_25699, APOSJ_25700, APOSJ_25698, APOSJ_25688, APOSJ_14502, APOSJ_17494, APOSJ_12065, APOSJ_65282, APOSJ_53792, APOSJ_01874, APOSJ_41471
OG0000011	BRALA06517, BRALA01847, BRALA32798	APOSJ_25283, APOSJ_25285
OG0000011	BRALA04980	APOSJ_47306, APOSJ_12931, APOSJ_25047, APOSJ_12932, APOSJ_19075, APOSJ_19074, APOSJ_02231, APOSJ_02230, APOSJ_02232, APOSJ_13434, APOSJ_24519, APOSJ_52847
OG0000011	BRALA19792	APOSJ_57608
OG0000012	BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902, APOSJ_08161, APOSJ_08160
OG0000012	BRALA00546	APOSJ_08662
OG0000012	BRALA22947	APOSJ_20422
OG0000012	BRALA08457	APOSJ_24428
OG0000013	BRALA32294, BRALA12236, BRALA30121, BRALA23251, BRALA30117, BRALA15745, BRALA16184, BRALA26074, BRALA19927, BRALA16969, BRALA20536, BRALA31575, BRALA04855, BRALA20488, BRALA16980, BRALA30511, BRALA16953, BRALA16964, BRALA28033, BRALA16970, BRALA23206, BRALA31240, BRALA23084, BRALA03245, BRALA05270, BRALA21240, BRALA11603, BRALA32226, BRALA32225, BRALA14863, BRALA11595, BRALA11594, BRALA14897, BRALA10656, BRALA10655, BRALA22697, BRALA13629, BRALA13628, BRALA10659, BRALA13631	APOSJ_50056, APOSJ_01943
OG0000014	BRALA28626, BRALA28625, BRALA28624	APOSJ_28331, APOSJ_28332
OG0000014	BRALA09953, BRALA20835, BRALA21213, BRALA14270	APOSJ_23867, APOSJ_22503
OG0000015	BRALA06628	APOSJ_56210
OG0000015	BRALA22448	APOSJ_09441, APOSJ_10165
OG0000015	BRALA22447	APOSJ_53813, APOSJ_50846, APOSJ_50844
OG0000016	BRALA00485	APOSJ_25810, APOSJ_25809
OG0000016	BRALA32113, BRALA10406	APOSJ_40020
OG0000016	BRALA09688	APOSJ_06716, APOSJ_06717
OG0000016	BRALA21418, BRALA29534, BRALA13585	APOSJ_45352, APOSJ_32030, APOSJ_32038, APOSJ_05163, APOSJ_32039, APOSJ_32033, APOSJ_32031, APOSJ_56442, APOSJ_56443, APOSJ_56445, APOSJ_56441
OG0000016	BRALA33945, BRALA35656, BRALA16777, BRALA04807, BRALA04808	APOSJ_21975
OG0000016	BRALA09686	APOSJ_58384
OG0000016	BRALA22170	APOSJ_11248
OG0000018	BRALA25938, BRALA02443, BRALA07959, BRALA03388, BRALA27096, BRALA25561	APOSJ_19512, APOSJ_19514, APOSJ_19516, APOSJ_57743, APOSJ_53955
OG0000018	BRALA32899, BRALA10376, BRALA33972, BRALA06055, BRALA32913, BRALA27818, BRALA31950, BRALA27816	APOSJ_55745, APOSJ_55748, APOSJ_55746
OG0000018	BRALA27097	APOSJ_27177, APOSJ_35802, APOSJ_41144, APOSJ_61457, APOSJ_61458, APOSJ_62289, APOSJ_61461, APOSJ_61462, APOSJ_41143, APOSJ_61459, APOSJ_65410, APOSJ_56262, APOSJ_12569, APOSJ_25320, APOSJ_04276, APOSJ_51121, APOSJ_05958
OG0000018	BRALA30292	APOSJ_64894
OG0000018	BRALA26026	APOSJ_32266, APOSJ_22620
OG0000018	BRALA21060, BRALA29268, BRALA14856, BRALA33527, BRALA20529, BRALA31173, BRALA31798, BRALA31682, BRALA20809, BRALA22881, BRALA23260, BRALA10388, BRALA26529, BRALA24038, BRALA26479, BRALA10888, BRALA14857, BRALA26062, BRALA19814, BRALA25485	APOSJ_12404, APOSJ_49135, APOSJ_49134, APOSJ_02340, APOSJ_02344, APOSJ_62914
OG0000019	BRALA31027, BRALA00002, BRALA17788	APOSJ_25021
OG0000019	BRALA00309, BRALA00310, BRALA00311	APOSJ_50969, APOSJ_54491, APOSJ_65164, APOSJ_10516, APOSJ_17340, APOSJ_10420, APOSJ_51391, APOSJ_51392, APOSJ_58483
OG0000019	BRALA00404, BRALA00405	APOSJ_49365
OG0000020	BRALA11913	APOSJ_38031
OG0000020	BRALA09135	APOSJ_03215
OG0000020	BRALA28848	APOSJ_60863, APOSJ_38143, APOSJ_60862
OG0000020	BRALA05608	APOSJ_25225, APOSJ_25228, APOSJ_25227, APOSJ_25226, APOSJ_25224, APOSJ_25223
OG0000020	BRALA27392	APOSJ_34911, APOSJ_34912, APOSJ_34909, APOSJ_34910
OG0000020	BRALA11912	APOSJ_51246, APOSJ_35639
OG0000020	BRALA18130	APOSJ_38030, APOSJ_38032
OG0000020	BRALA12599	APOSJ_64610, APOSJ_31490
OG0000020	BRALA10628	APOSJ_45120
OG0000021	BRALA18963	APOSJ_47375, APOSJ_47376
OG0000021	BRALA18098	APOSJ_50915
OG0000021	BRALA34639, BRALA31905	APOSJ_56015, APOSJ_08859
OG0000021	BRALA06012	APOSJ_34733, APOSJ_17339, APOSJ_22470, APOSJ_22469, APOSJ_16747, APOSJ_22471, APOSJ_33890, APOSJ_34732, APOSJ_64645, APOSJ_43284, APOSJ_00001, APOSJ_41267, APOSJ_41269, APOSJ_41268, APOSJ_41270, APOSJ_41946, APOSJ_13685, APOSJ_41948, APOSJ_41949, APOSJ_63243, APOSJ_38075, APOSJ_38077, APOSJ_38079, APOSJ_38078, APOSJ_38076, APOSJ_38073, APOSJ_38080, APOSJ_38074, APOSJ_38072, APOSJ_31173, APOSJ_63744, APOSJ_63745
OG0000021	BRALA20360, BRALA20164	APOSJ_46341, APOSJ_46342, APOSJ_14192, APOSJ_54489, APOSJ_54488
OG0000023	BRALA34393, BRALA34449, BRALA33273	APOSJ_12541
OG0000023	BRALA25880	APOSJ_48375, APOSJ_27694, APOSJ_27692
OG0000023	BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062, BRALA25437	APOSJ_14254, APOSJ_65297, APOSJ_31405, APOSJ_14258, APOSJ_14259, APOSJ_31406, APOSJ_19021, APOSJ_14257, APOSJ_14256, APOSJ_14255, APOSJ_14253, APOSJ_27677, APOSJ_27676, APOSJ_27675, APOSJ_27674, APOSJ_01239
OG0000023	BRALA19145, BRALA14945, BRALA23600, BRALA23601, BRALA02985, BRALA02983, BRALA35419, BRALA11100, BRALA28758	APOSJ_20171
OG0000023	BRALA17881, BRALA21074, BRALA03421	APOSJ_01093, APOSJ_01092, APOSJ_01091
OG0000024	BRALA13162, BRALA17266	APOSJ_60940, APOSJ_60942, APOSJ_30595, APOSJ_35643, APOSJ_00017, APOSJ_53177, APOSJ_53178, APOSJ_04339, APOSJ_61804, APOSJ_31223, APOSJ_29329, APOSJ_60754, APOSJ_47192, APOSJ_09230, APOSJ_62494, APOSJ_62492
OG0000025	BRALA34205	APOSJ_62497
OG0000025	BRALA32180	APOSJ_00453
OG0000025	BRALA21990, BRALA01764, BRALA20092	APOSJ_21548
OG0000025	BRALA29928, BRALA29404	APOSJ_36900, APOSJ_46981, APOSJ_46982
OG0000025	BRALA01670, BRALA20143, BRALA15727, BRALA11574, BRALA26555	APOSJ_40203, APOSJ_18926, APOSJ_49254, APOSJ_08542, APOSJ_00709, APOSJ_00710, APOSJ_31778, APOSJ_31779, APOSJ_31780, APOSJ_35118, APOSJ_61680, APOSJ_61679, APOSJ_61678, APOSJ_24072, APOSJ_60332, APOSJ_29178, APOSJ_23732, APOSJ_23733, APOSJ_31291, APOSJ_31292, APOSJ_21544, APOSJ_21546, APOSJ_21547, APOSJ_05694, APOSJ_39166, APOSJ_21545, APOSJ_21543, APOSJ_26122, APOSJ_26128, APOSJ_33728, APOSJ_26125
OG0000025	BRALA25473, BRALA25823, BRALA08078, BRALA28867, BRALA19412, BRALA08149, BRALA12844, BRALA13976, BRALA21247, BRALA25435, BRALA28795, BRALA26554, BRALA29691, BRALA31389, BRALA33393, BRALA22035, BRALA31817, BRALA04997	APOSJ_02655, APOSJ_02652
OG0000025	BRALA15728, BRALA15173, BRALA17925, BRALA20091, BRALA25964, BRALA20492, BRALA24129, BRALA01765, BRALA32347	APOSJ_06201, APOSJ_57840, APOSJ_45165, APOSJ_40043, APOSJ_52771, APOSJ_31676, APOSJ_57603, APOSJ_57606, APOSJ_64591, APOSJ_01272, APOSJ_34348
OG0000026	BRALA07901, BRALA07423	APOSJ_59563
OG0000026	BRALA18399, BRALA07898, BRALA07900, BRALA07899, BRALA34641, BRALA22918	APOSJ_14352, APOSJ_14353
OG0000026	BRALA01048	APOSJ_58273, APOSJ_64303
OG0000026	BRALA17325, BRALA20027, BRALA16217, BRALA10481, BRALA13063, BRALA15952, BRALA05914, BRALA05915, BRALA10202, BRALA12591, BRALA01447, BRALA05916, BRALA05917, BRALA23569, BRALA17359	APOSJ_35516, APOSJ_06323, APOSJ_55016, APOSJ_59562, APOSJ_59558, APOSJ_59559, APOSJ_38381
OG0000026	BRALA01767	APOSJ_00259, APOSJ_43475
OG0000027	BRALA16500, BRALA16502	APOSJ_61281, APOSJ_17811, APOSJ_17810, APOSJ_62251, APOSJ_62252, APOSJ_62253, APOSJ_62250, APOSJ_61176, APOSJ_57015, APOSJ_57014
OG0000028	BRALA08523	APOSJ_13359, APOSJ_13358
OG0000028	BRALA00011, BRALA12956, BRALA12957	APOSJ_31043, APOSJ_25716, APOSJ_25715, APOSJ_57817
OG0000029	BRALA01099	APOSJ_13377
OG0000029	BRALA00240	APOSJ_45558
OG0000030	BRALA13443	APOSJ_26580
OG0000030	BRALA32573	APOSJ_46611, APOSJ_46610
OG0000030	BRALA13032	APOSJ_42302, APOSJ_42296, APOSJ_42301, APOSJ_42295, APOSJ_02556, APOSJ_42297, APOSJ_42298
OG0000030	BRALA10449	APOSJ_24666, APOSJ_08058
OG0000030	BRALA32176	APOSJ_13201
OG0000030	BRALA06142	APOSJ_45466
OG0000031	BRALA28310, BRALA01948, BRALA09437, BRALA32909, BRALA01946, BRALA12064, BRALA09438, BRALA01951, BRALA14885, BRALA09441, BRALA09439, BRALA32910, BRALA01947, BRALA01952, BRALA14882, BRALA23662, BRALA14883, BRALA19306, BRALA05713, BRALA17265, BRALA15256, BRALA15254, BRALA01977, BRALA22606	APOSJ_37355
OG0000031	BRALA04543	APOSJ_56428
OG0000031	BRALA04547	APOSJ_58452
OG0000031	BRALA13458	APOSJ_43290, APOSJ_43294, APOSJ_43291, APOSJ_43293
OG0000031	BRALA16640	APOSJ_07842, APOSJ_07841
OG0000031	BRALA28311	APOSJ_02849, APOSJ_17365, APOSJ_17366, APOSJ_17367, APOSJ_17368, APOSJ_17369, APOSJ_17370, APOSJ_43784, APOSJ_40601, APOSJ_23164, APOSJ_23163, APOSJ_23162
OG0000031	BRALA15572	APOSJ_44849, APOSJ_44847, APOSJ_44846, APOSJ_44844
OG0000032	BRALA11179, BRALA11177, BRALA09647	APOSJ_07369, APOSJ_07366, APOSJ_07368, APOSJ_41042, APOSJ_07370, APOSJ_06491, APOSJ_04310, APOSJ_21314, APOSJ_04323, APOSJ_04322, APOSJ_21313, APOSJ_21315, APOSJ_10405, APOSJ_04319, APOSJ_22088, APOSJ_38003, APOSJ_62080, APOSJ_03906, APOSJ_24168, APOSJ_31058, APOSJ_63203, APOSJ_63204, APOSJ_63202, APOSJ_31060, APOSJ_31059, APOSJ_31055, APOSJ_31054, APOSJ_31053, APOSJ_01319, APOSJ_12995, APOSJ_15569
OG0000033	BRALA28522, BRALA30287, BRALA30197, BRALA08162, BRALA08034, BRALA23164, BRALA33510, BRALA33145	APOSJ_27205, APOSJ_27204
OG0000034	BRALA27570	APOSJ_42844, APOSJ_62192, APOSJ_62189, APOSJ_62188, APOSJ_62186, APOSJ_59239, APOSJ_59236, APOSJ_59237, APOSJ_59235, APOSJ_59234, APOSJ_42840, APOSJ_29082, APOSJ_03040, APOSJ_42835, APOSJ_42836, APOSJ_42837, APOSJ_42838, APOSJ_42841, APOSJ_59238, APOSJ_59240, APOSJ_62187, APOSJ_62190, APOSJ_62191, APOSJ_62193, APOSJ_42839, APOSJ_42842, APOSJ_42843
OG0000034	BRALA08751	APOSJ_17818, APOSJ_17819
OG0000034	BRALA08901, BRALA03079	APOSJ_09404, APOSJ_13545, APOSJ_44168
OG0000034	BRALA17580	APOSJ_60565, APOSJ_21305
OG0000034	BRALA08885	APOSJ_17132, APOSJ_23482, APOSJ_23483, APOSJ_18928
OG0000034	BRALA06594	APOSJ_63084, APOSJ_59127
OG0000034	BRALA18444	APOSJ_09729
OG0000034	BRALA02412	APOSJ_46606, APOSJ_46602, APOSJ_39468, APOSJ_58455, APOSJ_46604, APOSJ_46601, APOSJ_39472, APOSJ_58458, APOSJ_39471, APOSJ_46600, APOSJ_39470, APOSJ_58457, APOSJ_39469, APOSJ_46608, APOSJ_58456, APOSJ_39467, APOSJ_46603, APOSJ_46607
OG0000035	BRALA21367, BRALA35402	APOSJ_28930, APOSJ_28931, APOSJ_28932, APOSJ_28929
OG0000035	BRALA13925	APOSJ_64100, APOSJ_64034, APOSJ_48933, APOSJ_44915, APOSJ_44916, APOSJ_44917, APOSJ_45491
OG0000035	BRALA13921	APOSJ_11969, APOSJ_09937
OG0000035	BRALA13915, BRALA22877	APOSJ_53790, APOSJ_18309, APOSJ_18310, APOSJ_50254, APOSJ_18311
OG0000035	BRALA13917	APOSJ_14503
OG0000036	BRALA22400, BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181	APOSJ_00559, APOSJ_00560, APOSJ_09590, APOSJ_59128, APOSJ_28626, APOSJ_23280
OG0000036	BRALA06754	APOSJ_44483, APOSJ_44484
OG0000036	BRALA31321, BRALA06755, BRALA06753, BRALA18345	APOSJ_56208, APOSJ_19171, APOSJ_64125, APOSJ_37192, APOSJ_32710, APOSJ_16924, APOSJ_44485, APOSJ_44482, APOSJ_49668
OG0000036	BRALA22402, BRALA22404	APOSJ_49777, APOSJ_42183, APOSJ_42178, APOSJ_53453, APOSJ_49780, APOSJ_34471, APOSJ_42404, APOSJ_48372, APOSJ_48557, APOSJ_48377, APOSJ_48373, APOSJ_48374, APOSJ_42406, APOSJ_42405, APOSJ_00237, APOSJ_00230, APOSJ_00218, APOSJ_17179, APOSJ_05137, APOSJ_05138, APOSJ_31800, APOSJ_05136, APOSJ_07074, APOSJ_07075, APOSJ_52025, APOSJ_18384, APOSJ_18382, APOSJ_18383, APOSJ_21951, APOSJ_21954, APOSJ_57893, APOSJ_57895, APOSJ_33193, APOSJ_10054
OG0000037	BRALA22282	APOSJ_63529, APOSJ_64474, APOSJ_63530
OG0000037	BRALA22275	APOSJ_40888, APOSJ_40889
OG0000037	BRALA16015	APOSJ_41930, APOSJ_41929
OG0000037	BRALA16388	APOSJ_19984, APOSJ_19985, APOSJ_59245
OG0000038	BRALA32346	APOSJ_06808, APOSJ_11405
OG0000038	BRALA13194	APOSJ_58733
OG0000038	BRALA18077	APOSJ_26569
OG0000038	BRALA04779	APOSJ_44501, APOSJ_44499, APOSJ_44497
OG0000038	BRALA27417	APOSJ_30481
OG0000039	BRALA01170, BRALA17648, BRALA19632, BRALA19635, BRALA01164	APOSJ_23948
OG0000039	BRALA19542	APOSJ_29534, APOSJ_02269, APOSJ_02270, APOSJ_29535
OG0000040	BRALA28368, BRALA17917, BRALA31975, BRALA14369, BRALA25635, BRALA14529, BRALA07729, BRALA29177, BRALA06759, BRALA31556, BRALA17916, BRALA33438, BRALA30900, BRALA15606	APOSJ_18915, APOSJ_27166, APOSJ_49316, APOSJ_27168, APOSJ_27165, APOSJ_20487, APOSJ_61474, APOSJ_16915, APOSJ_16914, APOSJ_31565, APOSJ_44161, APOSJ_32230, APOSJ_32274, APOSJ_44162, APOSJ_59917, APOSJ_18917, APOSJ_27167, APOSJ_18916, APOSJ_27164, APOSJ_49313, APOSJ_22639, APOSJ_32774, APOSJ_32770, APOSJ_32773, APOSJ_32772, APOSJ_32771, APOSJ_08219, APOSJ_13680, APOSJ_13682, APOSJ_13677, APOSJ_13681, APOSJ_20336, APOSJ_13679
OG0000041	BRALA07763, BRALA29216, BRALA11960, BRALA35158	APOSJ_07883
OG0000041	BRALA27215	APOSJ_00247
OG0000043	BRALA06468, BRALA20694	APOSJ_56130
OG0000044	BRALA16330, BRALA33207	APOSJ_20279, APOSJ_20278
OG0000044	BRALA28596	APOSJ_22626, APOSJ_55615, APOSJ_55614, APOSJ_28339, APOSJ_28351, APOSJ_28336, APOSJ_22636, APOSJ_03631
OG0000044	BRALA34838	APOSJ_55841
OG0000044	BRALA12952	APOSJ_25176, APOSJ_21325
OG0000045	BRALA29043, BRALA32667	APOSJ_29368, APOSJ_29369
OG0000045	BRALA00161, BRALA00165, BRALA00163, BRALA00162	APOSJ_45950, APOSJ_27349, APOSJ_04409, APOSJ_04407, APOSJ_04408
OG0000045	BRALA00175, BRALA00172, BRALA00173	APOSJ_04410
OG0000045	BRALA00168, BRALA00164	APOSJ_44902, APOSJ_44899, APOSJ_44901, APOSJ_54328, APOSJ_02525, APOSJ_27472
OG0000045	BRALA01913, BRALA01918, BRALA01920	APOSJ_15992, APOSJ_12916, APOSJ_12920, APOSJ_12919, APOSJ_12914, APOSJ_12918, APOSJ_12915, APOSJ_12917
OG0000046	BRALA28946	APOSJ_42127, APOSJ_64323, APOSJ_42125
OG0000046	BRALA05184, BRALA05187, BRALA01521, BRALA01523, BRALA00548, BRALA15946	APOSJ_02618, APOSJ_32175, APOSJ_31531
OG0000047	BRALA08165	APOSJ_33981, APOSJ_33983, APOSJ_33984, APOSJ_33982
OG0000047	BRALA26369, BRALA32034, BRALA34020, BRALA28823, BRALA03575, BRALA05399, BRALA24725, BRALA07480, BRALA17974, BRALA28047, BRALA13926	APOSJ_25287
OG0000047	BRALA33326, BRALA22587	APOSJ_39640, APOSJ_39638
OG0000047	BRALA19798, BRALA16113, BRALA21906, BRALA29547, BRALA27015, BRALA09602, BRALA19327, BRALA19328, BRALA08009, BRALA30249, BRALA22247, BRALA27495, BRALA28592, BRALA15305, BRALA21551, BRALA30124, BRALA25680, BRALA18589, BRALA30988, BRALA33052	APOSJ_07377
