Orthogroup	BRALA	CAPO3
OG0000016	BRALA32113, BRALA10406	CAPO304360
OG0000016	BRALA12120, BRALA09688, BRALA21418, BRALA29534, BRALA13585, BRALA05543	CAPO306803
OG0000016	BRALA24127	CAPO303259
OG0000016	BRALA33945, BRALA35656, BRALA16777, BRALA04807, BRALA04808, BRALA09686, BRALA22170, BRALA33982	CAPO300936
OG0000023	BRALA34393, BRALA34449, BRALA33273, BRALA29325, BRALA12288, BRALA25880, BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062, BRALA25437, BRALA19145, BRALA14945, BRALA23600, BRALA23601, BRALA02985, BRALA02983, BRALA35419, BRALA11100, BRALA28758, BRALA17881, BRALA21074, BRALA03421, BRALA29841, BRALA06984, BRALA06983, BRALA04762, BRALA33103	CAPO307690
OG0000029	BRALA01099, BRALA00240, BRALA18593, BRALA15599, BRALA21105, BRALA06813, BRALA30989, BRALA00525, BRALA00526, BRALA00527, BRALA00523, BRALA00522, BRALA00528, BRALA09392, BRALA20510, BRALA08676	CAPO307131
OG0000030	BRALA04160, BRALA13442	CAPO300110
OG0000030	BRALA21433, BRALA12198, BRALA13443, BRALA12205, BRALA32549, BRALA32573, BRALA13032, BRALA33797, BRALA14671, BRALA31250, BRALA14315, BRALA04297, BRALA10449, BRALA29985, BRALA29147, BRALA32176, BRALA06142	CAPO305356, CAPO301638, CAPO307563
OG0000031	BRALA16640	CAPO303729
OG0000031	BRALA09408	CAPO302122
OG0000035	BRALA21367, BRALA35402, BRALA13925, BRALA13921, BRALA29588, BRALA13912, BRALA13913, BRALA30368, BRALA30375, BRALA30377, BRALA30378, BRALA30374, BRALA30370, BRALA34080, BRALA13915, BRALA22877, BRALA13917	CAPO307346, CAPO308354
OG0000039	BRALA06993, BRALA34379, BRALA19136, BRALA31749, BRALA29745, BRALA19134, BRALA23918, BRALA06990, BRALA17755, BRALA26668, BRALA19135, BRALA00263, BRALA19137	CAPO302254
OG0000041	BRALA24286, BRALA29257, BRALA00505, BRALA16473, BRALA00235, BRALA34487, BRALA22373, BRALA12409, BRALA12410, BRALA15735, BRALA29856, BRALA12407, BRALA24919, BRALA22127, BRALA14462, BRALA07763, BRALA29216, BRALA11960, BRALA35158, BRALA12406, BRALA33023, BRALA09775, BRALA27215	CAPO308025, CAPO306861
OG0000043	BRALA27558, BRALA29904, BRALA27561, BRALA27544, BRALA25261, BRALA20700, BRALA31404, BRALA31409, BRALA11161, BRALA06431, BRALA06417, BRALA06396, BRALA06445, BRALA06452, BRALA06409, BRALA06468, BRALA20694, BRALA06439, BRALA20722, BRALA06458, BRALA06464, BRALA06413, BRALA06474, BRALA06478	CAPO308256
OG0000048	BRALA08224	CAPO305301
OG0000048	BRALA03524	CAPO304823
OG0000049	BRALA24160, BRALA08952, BRALA08950, BRALA08951, BRALA15334, BRALA15336, BRALA15335, BRALA17285, BRALA26771, BRALA08954, BRALA23719, BRALA24162, BRALA13111, BRALA24161, BRALA16919, BRALA35874, BRALA15337	CAPO304018
OG0000051	BRALA30678, BRALA34311, BRALA03595, BRALA20239, BRALA03865, BRALA03866, BRALA03867, BRALA03864, BRALA03859, BRALA03860, BRALA03861, BRALA03862, BRALA03858, BRALA07177, BRALA07182, BRALA34503, BRALA07183, BRALA31110, BRALA03328, BRALA07178, BRALA07180, BRALA07181, BRALA03815, BRALA03814, BRALA03593, BRALA17952, BRALA31109, BRALA22978, BRALA25416	CAPO307809, CAPO301249
OG0000054	BRALA24089	CAPO303213, CAPO305653
OG0000054	BRALA02118	CAPO302015
OG0000054	BRALA20506, BRALA19923, BRALA12332, BRALA22995, BRALA22164, BRALA21314, BRALA18426, BRALA25220, BRALA21960, BRALA06303, BRALA29468, BRALA09095, BRALA20505, BRALA23115, BRALA28620, BRALA24808, BRALA15699, BRALA01267, BRALA17804, BRALA17806, BRALA00882, BRALA05257, BRALA17805, BRALA33752, BRALA25223	CAPO303797
OG0000055	BRALA31408, BRALA11246, BRALA06430, BRALA06473, BRALA06477	CAPO301479, CAPO301432
OG0000056	BRALA00682, BRALA22096, BRALA17447, BRALA17448, BRALA17452, BRALA17449, BRALA21309, BRALA08250	CAPO305974, CAPO306012, CAPO306941
OG0000058	BRALA07698, BRALA29633, BRALA08669, BRALA24063	CAPO305595
OG0000058	BRALA06324	CAPO307225
OG0000060	BRALA01718, BRALA00658, BRALA22074, BRALA13737, BRALA02440, BRALA02437, BRALA02438, BRALA02435, BRALA02439, BRALA02436, BRALA08276, BRALA08275, BRALA08274, BRALA08273, BRALA08272, BRALA01703, BRALA01702, BRALA20908, BRALA19913, BRALA12851, BRALA31735, BRALA31736, BRALA35394	CAPO305373
OG0000062	BRALA21141, BRALA30349, BRALA21142, BRALA31607, BRALA35327, BRALA00098	CAPO300910
OG0000063	BRALA00957, BRALA27402, BRALA12767, BRALA05064, BRALA05065, BRALA01329, BRALA01330, BRALA04998, BRALA01208, BRALA05262, BRALA05245, BRALA05098, BRALA01012, BRALA05297	CAPO300270
OG0000066	BRALA00370, BRALA00373, BRALA26242, BRALA12021, BRALA25173, BRALA12022, BRALA14833, BRALA25174, BRALA14834, BRALA12019, BRALA12020, BRALA12018, BRALA25175, BRALA31760, BRALA14835, BRALA12017, BRALA01873, BRALA35618, BRALA16563, BRALA21024, BRALA34957, BRALA21025, BRALA29041, BRALA32504, BRALA07717, BRALA26784, BRALA25733, BRALA28825, BRALA18292, BRALA11955, BRALA06903, BRALA28617, BRALA09971, BRALA34593, BRALA24323, BRALA27164	CAPO308057
OG0000069	BRALA10090, BRALA31904, BRALA27769, BRALA28929	CAPO302182
OG0000069	BRALA06255, BRALA22501	CAPO301523, CAPO305173
OG0000079	BRALA00141, BRALA16237, BRALA25844, BRALA16235	CAPO302518
OG0000082	BRALA23665	CAPO304738
OG0000082	BRALA23991	CAPO306626
OG0000082	BRALA10738	CAPO300843
OG0000082	BRALA12025	CAPO306232
OG0000085	BRALA10231, BRALA23235, BRALA35080, BRALA33501	CAPO303061
OG0000085	BRALA35021, BRALA20574, BRALA19315, BRALA25446, BRALA25560, BRALA18829, BRALA18828	CAPO303047
OG0000089	BRALA35828	CAPO300001
OG0000089	BRALA30280, BRALA11321, BRALA01875, BRALA04469, BRALA29882, BRALA04174, BRALA10340, BRALA11376, BRALA20593, BRALA34209, BRALA08976, BRALA35711, BRALA10278, BRALA30045, BRALA34579	CAPO300386, CAPO300810, CAPO302098
OG0000090	BRALA02609	CAPO304460, CAPO304458, CAPO303991
OG0000091	BRALA15793, BRALA15791, BRALA21812, BRALA21813, BRALA21766, BRALA17200, BRALA17198, BRALA20643, BRALA24218, BRALA11634, BRALA07640, BRALA34071, BRALA10846, BRALA26173, BRALA11558, BRALA34552, BRALA15596, BRALA32931, BRALA32607, BRALA11562, BRALA12688, BRALA11559, BRALA24219, BRALA20646, BRALA26643, BRALA12340	CAPO301134
OG0000095	BRALA15122, BRALA25718, BRALA09730, BRALA09773, BRALA27146, BRALA20760, BRALA08842	CAPO301288, CAPO306046
OG0000096	BRALA16859	CAPO307955
OG0000096	BRALA08595, BRALA28945	CAPO300294
OG0000096	BRALA02509, BRALA24883	CAPO307017
OG0000101	BRALA27830, BRALA34770, BRALA14230, BRALA14227, BRALA01723, BRALA14232, BRALA14229, BRALA14228, BRALA34771, BRALA35778, BRALA34308, BRALA07967, BRALA07968, BRALA07970, BRALA07971, BRALA07969, BRALA14905, BRALA34983, BRALA04209, BRALA32337, BRALA04500, BRALA17899, BRALA22970	CAPO306858
OG0000103	BRALA12702, BRALA24770, BRALA25187, BRALA25191, BRALA31877, BRALA22032, BRALA34609, BRALA35379, BRALA31987, BRALA22034, BRALA22033	CAPO302453
OG0000106	BRALA03306, BRALA03304, BRALA03303, BRALA03302, BRALA03305, BRALA17617, BRALA24272, BRALA34814, BRALA05381, BRALA14365, BRALA14367	CAPO300017
OG0000107	BRALA20703, BRALA11727, BRALA20699	CAPO301524
OG0000110	BRALA16587, BRALA25611, BRALA22080, BRALA22078, BRALA05100, BRALA05295, BRALA05542, BRALA08593, BRALA22079, BRALA25609, BRALA15143, BRALA30278, BRALA29111, BRALA29112, BRALA24555, BRALA29879, BRALA15145, BRALA25881, BRALA05405, BRALA34750	CAPO300387
OG0000119	BRALA06707, BRALA09190, BRALA09113, BRALA09057, BRALA09056, BRALA14028, BRALA14029	CAPO304642
OG0000122	BRALA04629, BRALA07001	CAPO307824
OG0000124	BRALA26544	CAPO304324
OG0000124	BRALA05628	CAPO302553
OG0000126	BRALA11509	CAPO301836
OG0000126	BRALA11885, BRALA21733	CAPO300572
OG0000128	BRALA08606, BRALA13534, BRALA13533, BRALA21885, BRALA21891, BRALA03636, BRALA10967, BRALA10966, BRALA17194, BRALA16474, BRALA15948, BRALA13405, BRALA32930, BRALA32135, BRALA32136, BRALA13384	CAPO306991, CAPO304956
OG0000129	BRALA27239, BRALA31934, BRALA31933, BRALA13415, BRALA13416, BRALA11658, BRALA33036, BRALA19532, BRALA15020, BRALA27240	CAPO303361
OG0000137	BRALA21689, BRALA16648, BRALA28974, BRALA04537, BRALA12643, BRALA12641, BRALA02192, BRALA12642, BRALA14840, BRALA06017, BRALA11495, BRALA27466, BRALA25430, BRALA25424, BRALA35631, BRALA30028	CAPO305369
OG0000142	BRALA11507, BRALA06235, BRALA24723, BRALA02306	CAPO302031, CAPO302030
OG0000147	BRALA34645	CAPO305863
OG0000147	BRALA30660	CAPO304230
OG0000149	BRALA04476, BRALA12518, BRALA28887, BRALA24371	CAPO305206, CAPO306214
OG0000157	BRALA34949, BRALA27057	CAPO305956
OG0000157	BRALA11237	CAPO302981
OG0000157	BRALA28027	CAPO305824
OG0000160	BRALA09740	CAPO301680
OG0000167	BRALA21923, BRALA17123, BRALA00255, BRALA14209, BRALA17893, BRALA33074, BRALA33075	CAPO301364, CAPO303476
OG0000171	BRALA31073, BRALA34610, BRALA35313, BRALA35602, BRALA10000, BRALA06159, BRALA33750, BRALA28419, BRALA09972, BRALA09975, BRALA34620, BRALA11421, BRALA23749, BRALA04631, BRALA06721	CAPO304813
OG0000174	BRALA01909, BRALA10706, BRALA03775, BRALA26657, BRALA29586	CAPO304629
OG0000175	BRALA21252, BRALA16465	CAPO303920
OG0000179	BRALA13816	CAPO300694
OG0000179	BRALA15064, BRALA15063, BRALA32738	CAPO303342
OG0000181	BRALA20263	CAPO301108
OG0000181	BRALA09404	CAPO302034
OG0000181	BRALA25948	CAPO307692
OG0000181	BRALA11436	CAPO300374
OG0000183	BRALA29461, BRALA34386	CAPO305638
OG0000183	BRALA17782, BRALA17781	CAPO302591
OG0000183	BRALA30657	CAPO305829
OG0000184	BRALA24654	CAPO307711
OG0000184	BRALA24349, BRALA24348, BRALA24345, BRALA13027, BRALA24344	CAPO304928
OG0000192	BRALA03467	CAPO304141
OG0000192	BRALA03466	CAPO300533
OG0000192	BRALA25029	CAPO301980
OG0000193	BRALA13336, BRALA13337, BRALA21700, BRALA29049, BRALA35297	CAPO302628
OG0000194	BRALA06145, BRALA06143, BRALA24202, BRALA32166, BRALA06144, BRALA05240, BRALA29709, BRALA24201, BRALA30621, BRALA19294, BRALA04421, BRALA06130, BRALA14291, BRALA14295, BRALA14297	CAPO305195
OG0000195	BRALA27202, BRALA33299, BRALA21846, BRALA14189, BRALA01750, BRALA01749, BRALA08338, BRALA22184	CAPO305454
OG0000201	BRALA11221	CAPO307729
OG0000201	BRALA35564, BRALA31919, BRALA35436	CAPO300462
OG0000203	BRALA30533, BRALA06689, BRALA14737, BRALA25872, BRALA05551, BRALA14396, BRALA14391, BRALA25871, BRALA14399, BRALA15294	CAPO302139
OG0000204	BRALA20764, BRALA02474, BRALA02308	CAPO303090
OG0000207	BRALA15681, BRALA02588, BRALA10030, BRALA10031, BRALA29862, BRALA29863, BRALA17799, BRALA10029, BRALA03383, BRALA12356	CAPO304105, CAPO304106, CAPO304714
OG0000211	BRALA12046, BRALA25506, BRALA13452, BRALA35174, BRALA35905, BRALA33365, BRALA15028, BRALA13475, BRALA13474	CAPO306209
OG0000218	BRALA17567, BRALA27085, BRALA27089, BRALA27086, BRALA12470, BRALA10611, BRALA12469, BRALA27090, BRALA27088, BRALA18542, BRALA27087, BRALA11952, BRALA11951, BRALA00320, BRALA04451, BRALA29590	CAPO300559
OG0000220	BRALA03898, BRALA01840, BRALA01841	CAPO306780, CAPO307695
OG0000221	BRALA04793, BRALA07381, BRALA07380, BRALA10634	CAPO300247
OG0000222	BRALA11750, BRALA11749, BRALA11748, BRALA11747, BRALA17286, BRALA09521	CAPO304211
OG0000223	BRALA24481, BRALA11482, BRALA12163	CAPO308126
OG0000225	BRALA20442, BRALA20435	CAPO305347
OG0000226	BRALA31446, BRALA01942	CAPO306934
OG0000226	BRALA24234, BRALA31118, BRALA21113, BRALA21112, BRALA31079, BRALA29759, BRALA31078	CAPO303463
OG0000234	BRALA04116, BRALA02072	CAPO301359
OG0000238	BRALA11216, BRALA11218, BRALA11219, BRALA11217	CAPO305428
OG0000239	BRALA04987, BRALA30155, BRALA34063, BRALA34087, BRALA29970	CAPO302089
OG0000240	BRALA26625	CAPO303214
OG0000240	BRALA20674, BRALA20673	CAPO303372
OG0000242	BRALA11080, BRALA10999	CAPO304847
OG0000244	BRALA12481, BRALA28034, BRALA16560	CAPO301556
OG0000246	BRALA33867, BRALA30813, BRALA02252, BRALA29247, BRALA14673, BRALA16837, BRALA30601, BRALA16836, BRALA30599, BRALA16835, BRALA09816, BRALA25342, BRALA14675, BRALA14676, BRALA18019, BRALA29474	CAPO303496
OG0000248	BRALA30267, BRALA30265, BRALA30263, BRALA30268, BRALA30271, BRALA30270, BRALA12363, BRALA12308, BRALA16095, BRALA27868	CAPO307635, CAPO302481, CAPO302487
OG0000250	BRALA11863	CAPO305827
OG0000255	BRALA25790	CAPO306632
OG0000255	BRALA00871, BRALA11731, BRALA31615	CAPO301531
OG0000255	BRALA02467, BRALA20756, BRALA08872, BRALA09849, BRALA09857, BRALA27836	CAPO300499
OG0000256	BRALA10199	CAPO307884
OG0000256	BRALA09570, BRALA17466, BRALA00793, BRALA13439, BRALA13440, BRALA13438, BRALA30583	CAPO306483
OG0000257	BRALA18496, BRALA09564, BRALA08492, BRALA15240, BRALA09566, BRALA26949	CAPO300414
OG0000258	BRALA13021	CAPO301106
OG0000258	BRALA20081, BRALA24991	CAPO301746
OG0000260	BRALA15356	CAPO300399
OG0000265	BRALA18329	CAPO306126
OG0000265	BRALA12823	CAPO306540
OG0000271	BRALA11413, BRALA09066, BRALA09068, BRALA17558, BRALA18501, BRALA17563, BRALA11414	CAPO304641
OG0000273	BRALA05275	CAPO305109
OG0000273	BRALA15018	CAPO300804
OG0000273	BRALA14731	CAPO306869
OG0000277	BRALA26639	CAPO303621
OG0000277	BRALA25256	CAPO301295
OG0000277	BRALA35852, BRALA29891	CAPO300254
OG0000277	BRALA06081	CAPO307814, CAPO307752
OG0000278	BRALA21572	CAPO302023
OG0000278	BRALA03801	CAPO303638
OG0000282	BRALA23685, BRALA27475, BRALA29869, BRALA11493	CAPO308183
OG0000284	BRALA01827, BRALA00852	CAPO305695
OG0000285	BRALA26168, BRALA30720, BRALA23371, BRALA23370, BRALA11165, BRALA23372, BRALA19155, BRALA33619, BRALA11166, BRALA02428, BRALA03238, BRALA31583, BRALA32871, BRALA35420, BRALA32202, BRALA35583, BRALA24652, BRALA11771, BRALA17774	CAPO303377
OG0000288	BRALA35660, BRALA15870, BRALA21967, BRALA31105, BRALA09698	CAPO305142
OG0000289	BRALA16624, BRALA13907, BRALA01040, BRALA18235, BRALA18234	CAPO307835
OG0000295	BRALA26979, BRALA26980, BRALA22435, BRALA05907, BRALA02617, BRALA05908, BRALA05913, BRALA05912, BRALA06482	CAPO302113, CAPO302799
OG0000299	BRALA17872	CAPO306599
OG0000305	BRALA18598	CAPO307183
OG0000306	BRALA03883	CAPO308212
OG0000308	BRALA35067, BRALA07362	CAPO304037
OG0000308	BRALA29439	CAPO303083
OG0000310	BRALA13697, BRALA13599, BRALA23270, BRALA13590, BRALA14259, BRALA15274, BRALA15276, BRALA15273, BRALA15272, BRALA13010	CAPO305978
OG0000312	BRALA11332, BRALA11333, BRALA11331	CAPO304557
OG0000312	BRALA11891	CAPO302691
OG0000313	BRALA06607, BRALA33057, BRALA35023	CAPO307072
OG0000313	BRALA19728	CAPO301348
OG0000314	BRALA21481, BRALA29813, BRALA00695, BRALA11883, BRALA01413	CAPO304303
OG0000315	BRALA34362	CAPO307611
OG0000315	BRALA25721	CAPO308167
OG0000316	BRALA15637	CAPO307924, CAPO300321
OG0000317	BRALA02907	CAPO306620
OG0000319	BRALA14575, BRALA13880, BRALA04120	CAPO303225
OG0000320	BRALA04738, BRALA17494, BRALA04672, BRALA04669, BRALA04676, BRALA17492, BRALA04680	CAPO304008
OG0000321	BRALA14360	CAPO307156
OG0000322	BRALA07551, BRALA07552, BRALA08284	CAPO306406
OG0000326	BRALA08611	CAPO308358, CAPO307947
OG0000326	BRALA08568, BRALA14598, BRALA14600, BRALA14599, BRALA17896, BRALA16589, BRALA30880	CAPO303322
OG0000327	BRALA13826, BRALA13825, BRALA19890, BRALA19891, BRALA11391, BRALA07661, BRALA19889	CAPO308120
OG0000335	BRALA34973, BRALA34688, BRALA30905, BRALA27316, BRALA03367, BRALA03088, BRALA35387	CAPO307753
OG0000338	BRALA15013, BRALA15015, BRALA03386	CAPO304735
OG0000339	BRALA16110, BRALA24762, BRALA24769, BRALA24739, BRALA16149, BRALA24763, BRALA16108, BRALA24745, BRALA24757, BRALA16111, BRALA24761, BRALA22116, BRALA24768, BRALA24760, BRALA24746	CAPO305264
OG0000343	BRALA09005	CAPO306429
OG0000345	BRALA09664	CAPO300769
OG0000352	BRALA01009, BRALA15685, BRALA28171	CAPO300356
OG0000357	BRALA26089	CAPO301487
OG0000359	BRALA13099	CAPO305417
OG0000359	BRALA32272, BRALA24208, BRALA15205, BRALA09897, BRALA26110, BRALA18714	CAPO301540
OG0000359	BRALA31578	CAPO306866
OG0000360	BRALA22946, BRALA11831, BRALA34738, BRALA28049	CAPO300757
OG0000364	BRALA19406, BRALA19407, BRALA32552, BRALA11746, BRALA11744, BRALA11743, BRALA11742, BRALA23996, BRALA12924	CAPO301330, CAPO300908
OG0000367	BRALA31361, BRALA12833	CAPO301272
OG0000371	BRALA10649, BRALA10658, BRALA08456, BRALA18611, BRALA10647, BRALA17381, BRALA31152, BRALA18606, BRALA18607	CAPO307503
OG0000372	BRALA15783, BRALA08267, BRALA23771	CAPO307553
OG0000373	BRALA31921, BRALA23435	CAPO301744
OG0000390	BRALA23594	CAPO301433, CAPO301477
OG0000390	BRALA00892, BRALA00888, BRALA00889, BRALA00891, BRALA04361, BRALA12713, BRALA26811, BRALA26809, BRALA12705, BRALA08159, BRALA22700, BRALA22699, BRALA23595	CAPO307000
OG0000392	BRALA01209	CAPO300351
OG0000393	BRALA31822, BRALA02241, BRALA15381, BRALA24472, BRALA31821, BRALA03078, BRALA27929, BRALA03160	CAPO307627
OG0000397	BRALA35642, BRALA34670	CAPO304372
OG0000399	BRALA28297, BRALA23772, BRALA04322	CAPO302781
OG0000402	BRALA21413, BRALA17661, BRALA17660	CAPO300999
OG0000405	BRALA21721	CAPO300636
OG0000412	BRALA00561	CAPO306116
OG0000412	BRALA06660, BRALA01758, BRALA10138	CAPO307159
OG0000413	BRALA21468	CAPO302663
OG0000413	BRALA06166	CAPO304678
OG0000416	BRALA31400, BRALA14141, BRALA02178, BRALA17361, BRALA29138, BRALA22835, BRALA29137	CAPO300647, CAPO303519
OG0000416	BRALA02826	CAPO305980
OG0000419	BRALA03697	CAPO304227
OG0000420	BRALA22044, BRALA24622, BRALA13074, BRALA05449, BRALA13072, BRALA13076, BRALA13077, BRALA13078, BRALA04230, BRALA13075, BRALA04225	CAPO307162
OG0000422	BRALA29319, BRALA19742, BRALA15573, BRALA32978, BRALA08206, BRALA17188, BRALA06280, BRALA26893, BRALA01517, BRALA24198, BRALA24289, BRALA01608, BRALA12419, BRALA34491, BRALA33751, BRALA00881, BRALA01803, BRALA16676, BRALA27177, BRALA16622	CAPO301071
OG0000424	BRALA03834, BRALA03844, BRALA29651, BRALA08803	CAPO302770, CAPO306814
OG0000426	BRALA13863	CAPO306829
OG0000427	BRALA09830	CAPO303813
OG0000431	BRALA13675	CAPO304684
OG0000433	BRALA19035	CAPO304838, CAPO302573
OG0000434	BRALA01801, BRALA14574, BRALA04475, BRALA20379	CAPO304471
OG0000435	BRALA00145, BRALA13279	CAPO308080
OG0000436	BRALA00479	CAPO305799
OG0000437	BRALA23658, BRALA22832, BRALA23657, BRALA09050, BRALA03237	CAPO300952
OG0000442	BRALA25405, BRALA33737	CAPO302753, CAPO302633
OG0000444	BRALA29773	CAPO305423
OG0000444	BRALA07745	CAPO301239
OG0000445	BRALA35281, BRALA33201, BRALA05663, BRALA29510, BRALA27780, BRALA00619, BRALA21525, BRALA01672, BRALA24679, BRALA34223	CAPO301584
OG0000447	BRALA30761	CAPO300691
OG0000450	BRALA29697	CAPO307586, CAPO307446
OG0000453	BRALA02456, BRALA02457, BRALA14623, BRALA04109, BRALA28906, BRALA28062, BRALA23580, BRALA19233, BRALA24206, BRALA24207, BRALA35630, BRALA34948, BRALA34318	CAPO305025
OG0000454	BRALA16593	CAPO301952
OG0000461	BRALA10740	CAPO303645, CAPO304085, CAPO303531
OG0000461	BRALA25433	CAPO307456
OG0000467	BRALA17998	CAPO302214
OG0000468	BRALA16180, BRALA28186, BRALA18298, BRALA18299, BRALA18302, BRALA18300, BRALA11917	CAPO302003, CAPO303185
OG0000469	BRALA35215, BRALA33439	CAPO306584, CAPO302277
OG0000470	BRALA24698	CAPO307521
OG0000475	BRALA33310	CAPO303779
OG0000476	BRALA14616, BRALA14614, BRALA14617	CAPO306104
OG0000479	BRALA33937, BRALA19002	CAPO303549
OG0000479	BRALA33783	CAPO304267
OG0000480	BRALA30132, BRALA35901, BRALA28328, BRALA28329	CAPO307201
OG0000481	BRALA27659	CAPO300053
OG0000481	BRALA10023	CAPO304800
OG0000481	BRALA03647	CAPO304355
OG0000484	BRALA35066, BRALA34077	CAPO304750
OG0000485	BRALA07325, BRALA23674, BRALA05059, BRALA21189	CAPO303224, CAPO303026
OG0000486	BRALA01376, BRALA02955, BRALA02954, BRALA02956, BRALA19977, BRALA04760, BRALA04761, BRALA03985	CAPO306048, CAPO306972
OG0000488	BRALA07851	CAPO305871
OG0000491	BRALA11888	CAPO305506
OG0000494	BRALA14931	CAPO300277
OG0000506	BRALA05807	CAPO304587
OG0000508	BRALA17016	CAPO303408, CAPO307945
OG0000508	BRALA24846	CAPO307989
OG0000508	BRALA34227	CAPO301076
OG0000508	BRALA31119	CAPO302590
OG0000510	BRALA00432	CAPO303128, CAPO305095
OG0000511	BRALA35478, BRALA09338, BRALA09340, BRALA33779, BRALA33860, BRALA34653, BRALA29688, BRALA34788, BRALA29694, BRALA35018, BRALA35374, BRALA33126, BRALA12401, BRALA09343, BRALA35119, BRALA33571, BRALA03901, BRALA09344, BRALA12399, BRALA34156, BRALA34761, BRALA12397, BRALA34096, BRALA29693, BRALA34946, BRALA32479, BRALA33387, BRALA34529, BRALA35005	CAPO301322
OG0000514	BRALA19477	CAPO307292
OG0000516	BRALA15544, BRALA02044, BRALA02039, BRALA02037, BRALA32371, BRALA02047, BRALA20757, BRALA02147, BRALA02350, BRALA22353, BRALA02043, BRALA02030, BRALA20755, BRALA08843, BRALA28896, BRALA28892, BRALA28893	CAPO302072
OG0000519	BRALA25441, BRALA22160	CAPO300709
OG0000520	BRALA23459, BRALA35783	CAPO304720
OG0000522	BRALA25053, BRALA25050, BRALA25052	CAPO306204
OG0000528	BRALA08668, BRALA02212, BRALA11348, BRALA11351, BRALA13353	CAPO300417
OG0000530	BRALA27713	CAPO306919
OG0000532	BRALA23832	CAPO300259
OG0000532	BRALA13752, BRALA07475, BRALA19708	CAPO301913
OG0000548	BRALA31695, BRALA21474, BRALA22718	CAPO307253, CAPO307370
OG0000549	BRALA09774, BRALA01654, BRALA11510, BRALA16788, BRALA33866, BRALA19896, BRALA24295, BRALA03880	CAPO305341
OG0000551	BRALA20243, BRALA20242, BRALA03802, BRALA20241, BRALA03089	CAPO305700
OG0000552	BRALA31577, BRALA11014, BRALA19431, BRALA19430, BRALA12172	CAPO302805
OG0000553	BRALA09626, BRALA16722, BRALA35015	CAPO302261
OG0000554	BRALA26471, BRALA28539, BRALA10862, BRALA04712, BRALA32452	CAPO300205
