Orthogroup	BRALA	ASTMX
OG0000002	BRALA21492, BRALA22510, BRALA17577, BRALA01102, BRALA16253, BRALA11862, BRALA13544, BRALA13542, BRALA01271, BRALA00868, BRALA05067, BRALA24317, BRALA30805, BRALA05068, BRALA05069, BRALA16745, BRALA10425, BRALA30468	ASTMX20124, ASTMX02317, ASTMX15953, ASTMX15955, ASTMX15957, ASTMX15958, ASTMX15959, ASTMX15956, ASTMX22714, ASTMX20120
OG0000002	BRALA10501	ASTMX12464
OG0000002	BRALA20754	ASTMX20125
OG0000004	BRALA09016	ASTMX09901
OG0000004	BRALA03918	ASTMX22075, ASTMX12117, ASTMX01551
OG0000004	BRALA02003, BRALA02015	ASTMX20045, ASTMX20996, ASTMX20716, ASTMX20994, ASTMX20995, ASTMX07153, ASTMX20993, ASTMX22082, ASTMX20044, ASTMX18447, ASTMX09630, ASTMX17273
OG0000005	BRALA11141, BRALA20236, BRALA24081, BRALA25210, BRALA25209, BRALA24049, BRALA24867, BRALA34270, BRALA18306, BRALA18305, BRALA22610, BRALA18416	ASTMX07986, ASTMX16020, ASTMX16019, ASTMX16021
OG0000005	BRALA00625, BRALA18455, BRALA18454, BRALA18460, BRALA18459, BRALA12234	ASTMX10242
OG0000006	BRALA07705	ASTMX20216
OG0000006	BRALA17590	ASTMX00775
OG0000006	BRALA06686	ASTMX00495, ASTMX16379
OG0000006	BRALA19242	ASTMX16363, ASTMX04345
OG0000006	BRALA06109	ASTMX11700, ASTMX00138
OG0000006	BRALA23800	ASTMX12191, ASTMX07931
OG0000006	BRALA07568, BRALA29276	ASTMX15917, ASTMX06292, ASTMX15319
OG0000006	BRALA22280	ASTMX03256, ASTMX09680
OG0000006	BRALA06185	ASTMX14682, ASTMX19702
OG0000006	BRALA17603	ASTMX21126, ASTMX03352
OG0000006	BRALA03602	ASTMX06644
OG0000006	BRALA17591	ASTMX04941, ASTMX20531, ASTMX03398
OG0000006	BRALA24372	ASTMX03759, ASTMX02775, ASTMX15412
OG0000006	BRALA24993	ASTMX14827
OG0000006	BRALA24994	ASTMX12518, ASTMX16515, ASTMX08479, ASTMX15103, ASTMX11575, ASTMX03265
OG0000006	BRALA22628	ASTMX10604
OG0000007	BRALA03259	ASTMX14980
OG0000007	BRALA13447, BRALA13448	ASTMX05134, ASTMX21314, ASTMX12498
OG0000007	BRALA20872, BRALA20870	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102
OG0000007	BRALA31416	ASTMX22264, ASTMX09321, ASTMX14799, ASTMX12582
OG0000007	BRALA11149	ASTMX21073, ASTMX16179
OG0000007	BRALA20579	ASTMX20070
OG0000007	BRALA03286	ASTMX22376, ASTMX11119
OG0000007	BRALA03282	ASTMX14979, ASTMX11120, ASTMX02564
OG0000007	BRALA26097	ASTMX18062, ASTMX21262
OG0000007	BRALA22487	ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375
OG0000007	BRALA06491	ASTMX04966, ASTMX11650
OG0000007	BRALA18647	ASTMX18779, ASTMX07711
OG0000007	BRALA05625	ASTMX15846, ASTMX15847, ASTMX10097
OG0000007	BRALA30788	ASTMX10986, ASTMX01681, ASTMX08450
OG0000008	BRALA05591	ASTMX21956, ASTMX05481
OG0000008	BRALA27340	ASTMX13345, ASTMX11364
OG0000008	BRALA20539	ASTMX13129
OG0000008	BRALA28057	ASTMX09448
OG0000008	BRALA20418	ASTMX05709
OG0000008	BRALA19645	ASTMX03297, ASTMX08955
OG0000010	BRALA13736, BRALA14215, BRALA13464, BRALA24211, BRALA24209	ASTMX00210, ASTMX00597, ASTMX00598, ASTMX00209, ASTMX19981
OG0000010	BRALA24210, BRALA03886	ASTMX21265
OG0000010	BRALA01026, BRALA09806	ASTMX02979, ASTMX12532, ASTMX19555
OG0000010	BRALA23756, BRALA23757, BRALA23755, BRALA23754	ASTMX05524, ASTMX05737, ASTMX05736, ASTMX06728, ASTMX17688, ASTMX18214, ASTMX16219, ASTMX16220, ASTMX05525, ASTMX21918
OG0000011	BRALA06520, BRALA31196	ASTMX22966, ASTMX22692
OG0000011	BRALA26291	ASTMX17376, ASTMX20016, ASTMX17522, ASTMX22822, ASTMX10306, ASTMX19041
OG0000011	BRALA22896, BRALA17910	ASTMX20794
OG0000011	BRALA07657, BRALA07658, BRALA14523, BRALA24764, BRALA15476, BRALA23449, BRALA24766, BRALA32763, BRALA07512, BRALA05037	ASTMX21233, ASTMX01926
OG0000011	BRALA06517, BRALA01847, BRALA32798	ASTMX21375, ASTMX22962, ASTMX22920
OG0000012	BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215	ASTMX22063, ASTMX16492
OG0000012	BRALA22947	ASTMX06265
OG0000013	BRALA32294, BRALA12236, BRALA30121, BRALA23251, BRALA30117, BRALA15745, BRALA16184, BRALA26074, BRALA19927, BRALA16969, BRALA20536, BRALA31575, BRALA04855, BRALA20488, BRALA16980, BRALA30511, BRALA16953, BRALA16964, BRALA28033, BRALA16970, BRALA23206, BRALA31240, BRALA23084, BRALA03245, BRALA05270, BRALA21240, BRALA11603, BRALA32226, BRALA32225, BRALA14863, BRALA11595, BRALA11594, BRALA14897, BRALA10656, BRALA10655, BRALA22697, BRALA13629, BRALA13628, BRALA10659, BRALA13631	ASTMX14510, ASTMX15685, ASTMX16246, ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557, ASTMX19252, ASTMX15992, ASTMX02064, ASTMX06990, ASTMX20933, ASTMX21137, ASTMX05203, ASTMX03702
OG0000014	BRALA21801, BRALA21800, BRALA21799, BRALA01526, BRALA01524, BRALA18301, BRALA01520, BRALA04327, BRALA00445, BRALA00446, BRALA17457, BRALA17456	ASTMX02678, ASTMX08608, ASTMX07233
OG0000014	BRALA05967, BRALA05963, BRALA16193, BRALA05964, BRALA05965, BRALA06004, BRALA12570, BRALA24203, BRALA14273, BRALA09954, BRALA14267, BRALA14269, BRALA14274, BRALA07196	ASTMX03213, ASTMX07656
OG0000014	BRALA14079	ASTMX01801
OG0000014	BRALA28626, BRALA28625, BRALA28624	ASTMX12908, ASTMX11632
OG0000014	BRALA09953, BRALA20835, BRALA21213, BRALA14270	ASTMX01423, ASTMX16397
OG0000015	BRALA21862, BRALA21864, BRALA21860, BRALA21861, BRALA07518, BRALA07541, BRALA18254, BRALA18253, BRALA26423, BRALA21859, BRALA21858	ASTMX01476, ASTMX13504, ASTMX02112
OG0000015	BRALA22448	ASTMX15417, ASTMX08007, ASTMX06039, ASTMX15203, ASTMX18097
OG0000015	BRALA22447	ASTMX18335, ASTMX18098, ASTMX06037, ASTMX18099, ASTMX04658, ASTMX18334, ASTMX04125, ASTMX06038, ASTMX08008, ASTMX04657, ASTMX18333
OG0000015	BRALA18748, BRALA15755, BRALA03405, BRALA12137, BRALA14251, BRALA11669, BRALA11671, BRALA11672, BRALA13048, BRALA14342, BRALA19701, BRALA22042, BRALA22048, BRALA22438	ASTMX00011, ASTMX10695, ASTMX18288, ASTMX04727
OG0000016	BRALA00485	ASTMX03544, ASTMX11482, ASTMX09207
OG0000016	BRALA32113, BRALA10406	ASTMX17817, ASTMX17818, ASTMX05407, ASTMX11675
OG0000016	BRALA12120, BRALA09688	ASTMX00540
OG0000016	BRALA24127	ASTMX02874
OG0000016	BRALA22170	ASTMX13275, ASTMX19540, ASTMX20114, ASTMX00361
OG0000018	BRALA29803, BRALA00712, BRALA26026, BRALA21060, BRALA29268, BRALA14856, BRALA33527, BRALA20529, BRALA31173, BRALA31798, BRALA31682, BRALA20809, BRALA22881, BRALA23260, BRALA10388, BRALA26529, BRALA24038, BRALA26479, BRALA10888, BRALA14857, BRALA26062, BRALA19814, BRALA25485	ASTMX14731, ASTMX14730, ASTMX09170, ASTMX13804
OG0000019	BRALA00002	ASTMX14084, ASTMX03976, ASTMX18923
OG0000019	BRALA00404, BRALA00405	ASTMX19662, ASTMX20251, ASTMX21077, ASTMX14834, ASTMX14832, ASTMX21241, ASTMX14833, ASTMX15190, ASTMX17156
OG0000020	BRALA12010	ASTMX12654
OG0000020	BRALA09135	ASTMX04834
OG0000020	BRALA27241	ASTMX22432
OG0000020	BRALA28848	ASTMX12285
OG0000020	BRALA05608	ASTMX15062
OG0000020	BRALA18984	ASTMX14060
OG0000020	BRALA21902, BRALA16840	ASTMX14107, ASTMX08186
OG0000020	BRALA05743, BRALA25854, BRALA14414	ASTMX17613
OG0000020	BRALA16287	ASTMX00490, ASTMX12696
OG0000020	BRALA09492, BRALA12060, BRALA03276, BRALA03275, BRALA15785, BRALA31112, BRALA12011, BRALA22630, BRALA11869	ASTMX03725, ASTMX07958, ASTMX18318
OG0000020	BRALA14062	ASTMX16689
OG0000020	BRALA11167	ASTMX16030
OG0000020	BRALA27392	ASTMX17320
OG0000020	BRALA11912	ASTMX04750, ASTMX21042
OG0000020	BRALA12599	ASTMX07754
OG0000020	BRALA10628	ASTMX13875
OG0000021	BRALA18963	ASTMX05285, ASTMX16996, ASTMX01998
OG0000021	BRALA18043	ASTMX00802, ASTMX04036, ASTMX09468, ASTMX09467, ASTMX09435, ASTMX07052, ASTMX07051, ASTMX06325, ASTMX15788, ASTMX05284
OG0000021	BRALA22428	ASTMX00201, ASTMX09085
OG0000021	BRALA30352	ASTMX02310, ASTMX16342
OG0000021	BRALA34639, BRALA31905	ASTMX09645
OG0000021	BRALA06012	ASTMX21461
OG0000021	BRALA20360, BRALA20164	ASTMX13864
OG0000021	BRALA20364, BRALA11803, BRALA20363, BRALA20361	ASTMX09336
OG0000023	BRALA34393, BRALA34449, BRALA33273	ASTMX18896
OG0000023	BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062	ASTMX07788
OG0000023	BRALA25437	ASTMX10048, ASTMX07031, ASTMX08985, ASTMX18700, ASTMX14127, ASTMX07394, ASTMX07336, ASTMX04478, ASTMX03414
OG0000023	BRALA29841, BRALA06984, BRALA06983	ASTMX14286, ASTMX19623
OG0000026	BRALA11498	ASTMX06810
OG0000026	BRALA18399, BRALA07898, BRALA07900, BRALA07899, BRALA34641, BRALA22918	ASTMX12978
OG0000027	BRALA15148, BRALA12240, BRALA23216, BRALA17841, BRALA12241, BRALA12239, BRALA32630, BRALA08245, BRALA08233, BRALA23546, BRALA24920, BRALA12814, BRALA00447, BRALA25835, BRALA13009, BRALA00483, BRALA00450, BRALA09026, BRALA26977, BRALA09028, BRALA03738, BRALA18788, BRALA11602, BRALA32150	ASTMX01680
OG0000028	BRALA06262, BRALA06265, BRALA11957, BRALA28259, BRALA27261	ASTMX11297, ASTMX12202
OG0000028	BRALA08537, BRALA08538, BRALA08539, BRALA08540, BRALA08541, BRALA08543, BRALA08542	ASTMX14889, ASTMX21200, ASTMX09164, ASTMX21506
OG0000028	BRALA08547, BRALA15654	ASTMX21505, ASTMX21832, ASTMX08169, ASTMX10814, ASTMX02886
OG0000028	BRALA01199, BRALA17029, BRALA17030	ASTMX14890, ASTMX22400, ASTMX17696, ASTMX05417
OG0000028	BRALA08523	ASTMX01721, ASTMX15155, ASTMX14212
OG0000029	BRALA18593, BRALA15599, BRALA21105, BRALA06813, BRALA30989, BRALA00525, BRALA00526, BRALA00527, BRALA00523, BRALA00522, BRALA00528, BRALA09392, BRALA20510, BRALA08676	ASTMX19971, ASTMX06514, ASTMX07156
OG0000030	BRALA13442	ASTMX06934
OG0000030	BRALA32573	ASTMX02378, ASTMX18821
OG0000030	BRALA10449	ASTMX22293
OG0000031	BRALA28310, BRALA01948, BRALA09437, BRALA32909, BRALA01946, BRALA12064, BRALA09438, BRALA01951, BRALA14885, BRALA09441, BRALA09439, BRALA32910, BRALA01947, BRALA01952, BRALA14882, BRALA23662, BRALA14883, BRALA19306, BRALA05713, BRALA17265, BRALA15256, BRALA15254, BRALA01977, BRALA22606	ASTMX22504
OG0000031	BRALA04543	ASTMX08659, ASTMX04771
OG0000031	BRALA04547	ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571
OG0000031	BRALA04610	ASTMX12572
OG0000031	BRALA13458	ASTMX06525
OG0000031	BRALA05046	ASTMX05128
OG0000031	BRALA16640	ASTMX09693, ASTMX17541
OG0000031	BRALA09408	ASTMX00710, ASTMX00969, ASTMX17640
OG0000031	BRALA28311	ASTMX03912, ASTMX00105
OG0000031	BRALA15572	ASTMX03166
OG0000032	BRALA10240	ASTMX08687, ASTMX18764
OG0000032	BRALA11179, BRALA11177, BRALA09647	ASTMX06705
OG0000034	BRALA27570	ASTMX17089, ASTMX19482, ASTMX22636, ASTMX03521, ASTMX02060, ASTMX05967, ASTMX21201, ASTMX03519
OG0000034	BRALA08751	ASTMX17020, ASTMX02547, ASTMX01081, ASTMX20715, ASTMX17446
OG0000034	BRALA08901, BRALA03079	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372
OG0000034	BRALA17580	ASTMX09860, ASTMX06813, ASTMX07013
OG0000034	BRALA08885	ASTMX12428, ASTMX02190
OG0000034	BRALA23966, BRALA06594	ASTMX01548
OG0000034	BRALA02412	ASTMX02136
OG0000035	BRALA21367, BRALA35402	ASTMX17732
OG0000035	BRALA13921	ASTMX07147, ASTMX00613, ASTMX06338
OG0000035	BRALA29588	ASTMX07340, ASTMX07227, ASTMX07114
OG0000035	BRALA13915, BRALA22877	ASTMX00989, ASTMX19852, ASTMX00242, ASTMX02614, ASTMX08545
OG0000035	BRALA13917	ASTMX15321, ASTMX20966
OG0000036	BRALA03126, BRALA19967	ASTMX05584, ASTMX00843
OG0000036	BRALA22400	ASTMX18592
OG0000036	BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181	ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566
OG0000036	BRALA35896	ASTMX19120
OG0000036	BRALA31321, BRALA06755, BRALA06753, BRALA18345	ASTMX18312, ASTMX10284
OG0000036	BRALA22402, BRALA22404	ASTMX01338, ASTMX03570
OG0000037	BRALA22282	ASTMX04826, ASTMX04827, ASTMX08066, ASTMX04828, ASTMX18303, ASTMX08083, ASTMX01399, ASTMX03952, ASTMX04639
OG0000037	BRALA22275	ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313
OG0000037	BRALA16015	ASTMX15913, ASTMX19727, ASTMX16533
OG0000037	BRALA16388	ASTMX03275
OG0000038	BRALA15513, BRALA22708, BRALA13194	ASTMX05291
OG0000038	BRALA27417	ASTMX12685, ASTMX17002
OG0000039	BRALA01170, BRALA17648, BRALA19632, BRALA19635	ASTMX16971
OG0000039	BRALA31558	ASTMX14711
OG0000039	BRALA19542	ASTMX10108, ASTMX07819
OG0000040	BRALA11729, BRALA05958, BRALA30125, BRALA25190, BRALA05957, BRALA05956, BRALA24498, BRALA28368, BRALA17917, BRALA31975, BRALA14369, BRALA25635, BRALA14529, BRALA07729, BRALA29177, BRALA06759, BRALA31556, BRALA17916, BRALA33438, BRALA30900, BRALA15606	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242
OG0000041	BRALA27215	ASTMX00945, ASTMX01024, ASTMX08027, ASTMX12746, ASTMX04559, ASTMX04569, ASTMX22600, ASTMX18276
OG0000042	BRALA27880, BRALA05311, BRALA25919, BRALA28670, BRALA19166, BRALA23184, BRALA28669, BRALA16191, BRALA25918, BRALA30415, BRALA29610, BRALA04826, BRALA22020, BRALA21500, BRALA22237, BRALA26652	ASTMX00117, ASTMX11615
OG0000043	BRALA09159	ASTMX09533
OG0000044	BRALA27747	ASTMX07618
OG0000044	BRALA34838	ASTMX17555, ASTMX11110
OG0000045	BRALA29043, BRALA32667	ASTMX14022
OG0000045	BRALA19490, BRALA19482	ASTMX10022, ASTMX03368
OG0000045	BRALA22894	ASTMX16178
OG0000046	BRALA28946	ASTMX22281
OG0000046	BRALA00828, BRALA17402, BRALA17400	ASTMX11904, ASTMX11903, ASTMX12229, ASTMX06773, ASTMX12983, ASTMX09167
OG0000048	BRALA08224	ASTMX04189
OG0000048	BRALA06772	ASTMX03384
OG0000048	BRALA17823, BRALA17828, BRALA17827, BRALA14637, BRALA17826, BRALA20466, BRALA05845, BRALA13397, BRALA31649, BRALA31651, BRALA13408, BRALA13407	ASTMX04258, ASTMX18409
OG0000048	BRALA17809	ASTMX15600
OG0000048	BRALA10830	ASTMX04570
OG0000048	BRALA03524	ASTMX00590
OG0000049	BRALA08950, BRALA08951	ASTMX10248, ASTMX08138, ASTMX03713, ASTMX05857
OG0000049	BRALA15334	ASTMX00928, ASTMX08370, ASTMX07196
OG0000049	BRALA15336, BRALA15335	ASTMX04011, ASTMX18609, ASTMX01014, ASTMX00951, ASTMX05170, ASTMX00786
OG0000050	BRALA29504, BRALA33239, BRALA23285, BRALA26334, BRALA27959, BRALA01945, BRALA33449, BRALA32066, BRALA01944, BRALA30000, BRALA21559, BRALA15438, BRALA30119, BRALA35714, BRALA21077, BRALA32686, BRALA08624, BRALA30084, BRALA32951, BRALA13973, BRALA32451, BRALA35669, BRALA28793, BRALA27960, BRALA31232, BRALA08623, BRALA31915, BRALA10559	ASTMX16561
OG0000051	BRALA22978, BRALA25416	ASTMX02511
OG0000053	BRALA16213, BRALA07330	ASTMX12784
OG0000054	BRALA10120	ASTMX21203
OG0000054	BRALA02118	ASTMX04679
OG0000054	BRALA12332, BRALA22995, BRALA22164, BRALA21314, BRALA18426, BRALA25220, BRALA21960, BRALA06303, BRALA29468, BRALA09095, BRALA20505, BRALA23115, BRALA28620, BRALA24808, BRALA15699, BRALA01267, BRALA17804, BRALA17806, BRALA00882, BRALA05257	ASTMX05759
OG0000054	BRALA17805, BRALA33752	ASTMX21204
OG0000055	BRALA13087	ASTMX22616
OG0000056	BRALA00682	ASTMX01590, ASTMX01617
OG0000056	BRALA21309	ASTMX18310
OG0000057	BRALA05192, BRALA22206, BRALA11691, BRALA27516, BRALA21236	ASTMX16761, ASTMX17228, ASTMX14491, ASTMX16762, ASTMX21257
OG0000058	BRALA24063	ASTMX10002
OG0000058	BRALA06324	ASTMX01061
OG0000058	BRALA14300	ASTMX07660
OG0000058	BRALA25998, BRALA27305, BRALA06328, BRALA03972, BRALA06644, BRALA08742, BRALA24463, BRALA24460	ASTMX17542, ASTMX11001, ASTMX18630, ASTMX08080
OG0000058	BRALA11173, BRALA06327	ASTMX12315
OG0000059	BRALA13206	ASTMX11234, ASTMX03699
OG0000059	BRALA11568	ASTMX20918
OG0000059	BRALA20365	ASTMX21875
OG0000059	BRALA19963, BRALA20366	ASTMX06113, ASTMX17681, ASTMX08000, ASTMX00300, ASTMX18960
OG0000060	BRALA01718	ASTMX04292, ASTMX07603
OG0000061	BRALA07400	ASTMX00680, ASTMX05396, ASTMX12006, ASTMX20657
OG0000061	BRALA23690, BRALA23691, BRALA23692, BRALA33700, BRALA14844	ASTMX10422, ASTMX12960, ASTMX20513, ASTMX13746
OG0000061	BRALA22663, BRALA26552, BRALA22659, BRALA26551, BRALA26563	ASTMX21095, ASTMX14165, ASTMX02316, ASTMX11665, ASTMX13598, ASTMX06207, ASTMX18339, ASTMX05474, ASTMX04490, ASTMX01934, ASTMX05473, ASTMX16790, ASTMX15449
OG0000061	BRALA09017, BRALA07401, BRALA14793, BRALA14792	ASTMX18729, ASTMX15987
OG0000062	BRALA21141, BRALA30349, BRALA21142	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342
OG0000062	BRALA31607	ASTMX01260
OG0000063	BRALA00957	ASTMX13777
OG0000063	BRALA12767	ASTMX12583
OG0000063	BRALA04998, BRALA01208, BRALA05262, BRALA05245, BRALA05098, BRALA01012, BRALA05297	ASTMX10350, ASTMX13375, ASTMX12584
OG0000066	BRALA25733	ASTMX01776
OG0000067	BRALA20114, BRALA23146, BRALA20125, BRALA07853, BRALA09449	ASTMX19815
OG0000067	BRALA35634, BRALA09451	ASTMX12120, ASTMX00316, ASTMX18001, ASTMX19454
OG0000068	BRALA17338	ASTMX15456
OG0000068	BRALA17343	ASTMX20702, ASTMX04017, ASTMX10771, ASTMX00977, ASTMX02175, ASTMX13274, ASTMX19064, ASTMX03044
OG0000069	BRALA06255, BRALA22501	ASTMX20491
OG0000070	BRALA19019, BRALA19027, BRALA19020	ASTMX03868, ASTMX11850
OG0000070	BRALA13025	ASTMX10727
OG0000070	BRALA24904, BRALA14166, BRALA14168, BRALA14506, BRALA14507, BRALA14508, BRALA00869, BRALA13923, BRALA21904, BRALA31816, BRALA28174, BRALA29611, BRALA33117, BRALA16447, BRALA14504, BRALA14505, BRALA15434, BRALA07382, BRALA09112, BRALA15447, BRALA14512, BRALA07371, BRALA14167, BRALA10327, BRALA03588, BRALA09032, BRALA02167, BRALA22763, BRALA01254	ASTMX17316, ASTMX02948
OG0000071	BRALA05660	ASTMX03580, ASTMX03579, ASTMX03578, ASTMX03576, ASTMX03577, ASTMX01732, ASTMX18909, ASTMX18910, ASTMX10408
OG0000072	BRALA12631	ASTMX19895, ASTMX03692, ASTMX11241
OG0000072	BRALA33639, BRALA31916	ASTMX11250, ASTMX11618
OG0000073	BRALA03064	ASTMX22931
OG0000073	BRALA22888	ASTMX19270, ASTMX02619
OG0000074	BRALA08058	ASTMX12476
OG0000075	BRALA11316	ASTMX13833, ASTMX15058
OG0000075	BRALA07062	ASTMX04760
OG0000075	BRALA18754	ASTMX10641, ASTMX00718
OG0000075	BRALA16174	ASTMX12169, ASTMX18152
OG0000075	BRALA11318	ASTMX16716, ASTMX04759
OG0000075	BRALA17353, BRALA17352	ASTMX01001, ASTMX08839, ASTMX10263
OG0000075	BRALA20309	ASTMX12953, ASTMX02098
OG0000075	BRALA25719	ASTMX15785, ASTMX16080, ASTMX14559, ASTMX03441
OG0000075	BRALA17324	ASTMX07134
OG0000077	BRALA11472	ASTMX17041, ASTMX09313, ASTMX18035, ASTMX05112
OG0000077	BRALA02324	ASTMX06199, ASTMX03488, ASTMX12363
OG0000077	BRALA30355, BRALA30354, BRALA30353, BRALA27919, BRALA16173, BRALA31380, BRALA32410, BRALA09728, BRALA00278, BRALA10708, BRALA22743, BRALA22531, BRALA27588, BRALA21944, BRALA21945	ASTMX15936, ASTMX10508, ASTMX07977, ASTMX12178, ASTMX18081, ASTMX01594
OG0000077	BRALA35746, BRALA06424	ASTMX07586, ASTMX09935, ASTMX03249, ASTMX04186, ASTMX07562, ASTMX09286, ASTMX05084
OG0000078	BRALA17098	ASTMX08154, ASTMX03860
OG0000078	BRALA02325, BRALA02320, BRALA02318, BRALA10234, BRALA02688, BRALA30889, BRALA02317, BRALA11328	ASTMX02053, ASTMX00440, ASTMX00992, ASTMX08539
OG0000079	BRALA00097, BRALA00109	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709
OG0000079	BRALA18105	ASTMX21145, ASTMX21146, ASTMX03966, ASTMX14883
OG0000079	BRALA22809	ASTMX02337, ASTMX02996, ASTMX05046
OG0000079	BRALA13477	ASTMX02943
OG0000080	BRALA16765	ASTMX22762, ASTMX21534
OG0000081	BRALA18450, BRALA18449, BRALA18446, BRALA18452, BRALA05158, BRALA05161	ASTMX02774
OG0000081	BRALA05164, BRALA21995, BRALA12438, BRALA12435	ASTMX05086, ASTMX02861, ASTMX19704, ASTMX02860, ASTMX00638, ASTMX14294, ASTMX06157, ASTMX15416, ASTMX09818
OG0000082	BRALA23665	ASTMX06917
OG0000082	BRALA23991	ASTMX17888
OG0000082	BRALA10738	ASTMX10851, ASTMX17248
OG0000083	BRALA11838, BRALA11834	ASTMX03686, ASTMX11244, ASTMX09107, ASTMX14864
OG0000084	BRALA16357	ASTMX18467, ASTMX12487, ASTMX09980
OG0000084	BRALA27744	ASTMX17409, ASTMX15441, ASTMX19583, ASTMX06002, ASTMX20667
OG0000085	BRALA10231	ASTMX01460, ASTMX20784, ASTMX14674
OG0000085	BRALA35021	ASTMX16335, ASTMX03461, ASTMX09889, ASTMX09760
OG0000085	BRALA20574	ASTMX19538
OG0000085	BRALA19315	ASTMX01137, ASTMX09823, ASTMX11049
OG0000085	BRALA25446	ASTMX09759, ASTMX09890, ASTMX10718
OG0000085	BRALA18829	ASTMX08704, ASTMX02521
OG0000086	BRALA05165	ASTMX17706, ASTMX09528
OG0000086	BRALA06694, BRALA20910	ASTMX23077
OG0000086	BRALA32069	ASTMX18109
OG0000086	BRALA26007, BRALA33568, BRALA30193, BRALA16688, BRALA15216, BRALA25372	ASTMX05962
OG0000086	BRALA20825, BRALA30781	ASTMX09811
OG0000087	BRALA11394	ASTMX17718
OG0000087	BRALA11396, BRALA13093	ASTMX17716
OG0000088	BRALA15338, BRALA01326, BRALA11261, BRALA04185, BRALA11262, BRALA11263, BRALA13073, BRALA15449, BRALA28619, BRALA23225, BRALA05764, BRALA00340, BRALA17728	ASTMX06621, ASTMX21370, ASTMX21470, ASTMX22555, ASTMX07254, ASTMX06506, ASTMX20919, ASTMX06028, ASTMX21971
