Orthogroup	BRALA	CAEEL
OG0000016	BRALA00485	CAEEL20493
OG0000016	BRALA32113, BRALA10406	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078
OG0000016	BRALA12120, BRALA09688, BRALA21418, BRALA29534, BRALA13585, BRALA05543	CAEEL18647
OG0000019	BRALA31027, BRALA00002, BRALA17788	CAEEL15403
OG0000019	BRALA23254, BRALA08382, BRALA08384, BRALA08351	CAEEL14888, CAEEL00598, CAEEL00512, CAEEL00599, CAEEL00600, CAEEL11130, CAEEL20237, CAEEL20477, CAEEL18562
OG0000019	BRALA16757, BRALA35055, BRALA10428	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513
OG0000020	BRALA28177, BRALA04365	CAEEL07399
OG0000020	BRALA27392	CAEEL00627
OG0000020	BRALA12599	CAEEL13362
OG0000020	BRALA10628	CAEEL09273
OG0000021	BRALA18963	CAEEL15603
OG0000021	BRALA30352	CAEEL00422
OG0000021	BRALA06012	CAEEL00784, CAEEL15377
OG0000023	BRALA33103	CAEEL06641
OG0000026	BRALA22923, BRALA12678, BRALA12677	CAEEL08121
OG0000027	BRALA15148, BRALA12240, BRALA23216, BRALA17841, BRALA12241, BRALA12239, BRALA32630, BRALA08245, BRALA08233, BRALA23546, BRALA24920, BRALA12814, BRALA00447, BRALA25835, BRALA13009, BRALA00483, BRALA00450, BRALA09026, BRALA26977, BRALA09028, BRALA03738, BRALA18788, BRALA11602, BRALA32150	CAEEL17825
OG0000028	BRALA08537, BRALA08538, BRALA08539, BRALA08540, BRALA08541, BRALA08543, BRALA08542, BRALA08547, BRALA15654, BRALA01199, BRALA17029, BRALA17030	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656
OG0000028	BRALA08523	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517
OG0000028	BRALA00011, BRALA12956, BRALA12957	CAEEL19515, CAEEL07887
OG0000030	BRALA13443	CAEEL03646, CAEEL03801
OG0000030	BRALA13032	CAEEL04353
OG0000030	BRALA29985, BRALA29147, BRALA32176, BRALA06142	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830
OG0000031	BRALA04543, BRALA04547	CAEEL02023
OG0000031	BRALA13458, BRALA05046	CAEEL04718
OG0000031	BRALA28311	CAEEL07076
OG0000032	BRALA09747, BRALA09748, BRALA11179, BRALA11177, BRALA09647, BRALA04146, BRALA04145, BRALA04144, BRALA00632, BRALA09098, BRALA21017, BRALA21018, BRALA21016, BRALA22581, BRALA14174	CAEEL08739, CAEEL18742, CAEEL18342
OG0000034	BRALA27570	CAEEL07900
OG0000034	BRALA08751	CAEEL13037
OG0000034	BRALA08901, BRALA03079	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034
OG0000034	BRALA17580	CAEEL01132
OG0000034	BRALA08885	CAEEL03140, CAEEL03141
OG0000035	BRALA21367, BRALA35402	CAEEL01943
OG0000036	BRALA22400, BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181	CAEEL18405, CAEEL11240, CAEEL15057
OG0000036	BRALA22402, BRALA22404	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948
OG0000037	BRALA22275	CAEEL17629, CAEEL17628
OG0000037	BRALA16015	CAEEL20275
OG0000037	BRALA16393, BRALA16390, BRALA16391	CAEEL05341, CAEEL09278, CAEEL15847, CAEEL18667, CAEEL08354, CAEEL04132, CAEEL01670, CAEEL16210, CAEEL20299
OG0000037	BRALA16388	CAEEL09012, CAEEL08645
OG0000038	BRALA00267	CAEEL01714, CAEEL18498
OG0000038	BRALA32346	CAEEL05762
OG0000038	BRALA27417	CAEEL07106
OG0000039	BRALA02916, BRALA20258, BRALA27882, BRALA01626, BRALA01628, BRALA23751, BRALA01619, BRALA01617, BRALA01627, BRALA01624, BRALA01620, BRALA01618, BRALA04466, BRALA04471, BRALA01927, BRALA16092	CAEEL00466
OG0000039	BRALA19542	CAEEL18993
OG0000041	BRALA29257	CAEEL16024, CAEEL05122, CAEEL05121
OG0000041	BRALA00505, BRALA16473, BRALA00235, BRALA34487, BRALA22373, BRALA12409, BRALA12410, BRALA15735, BRALA29856, BRALA12407, BRALA24919, BRALA22127, BRALA14462, BRALA07763, BRALA29216, BRALA11960, BRALA35158	CAEEL05494
OG0000041	BRALA27215	CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427
OG0000044	BRALA34838	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097
OG0000044	BRALA24587	CAEEL08025
OG0000046	BRALA22862	CAEEL08281
OG0000049	BRALA08952, BRALA08950, BRALA08951	CAEEL02028
OG0000049	BRALA15334	CAEEL19631
OG0000049	BRALA15336, BRALA15335	CAEEL10349
OG0000050	BRALA08623, BRALA31915	CAEEL08906
OG0000051	BRALA17952	CAEEL19606, CAEEL18565
OG0000051	BRALA31109	CAEEL05770
OG0000051	BRALA22978, BRALA25416	CAEEL09464
OG0000054	BRALA02118	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176
OG0000055	BRALA13087	CAEEL06327, CAEEL06332, CAEEL10935, CAEEL10929, CAEEL06323, CAEEL14939, CAEEL14938, CAEEL16893, CAEEL14854, CAEEL14953, CAEEL14952, CAEEL15123, CAEEL11701, CAEEL11692, CAEEL11711, CAEEL10738
OG0000055	BRALA31408, BRALA11246, BRALA06430, BRALA06473, BRALA06477	CAEEL14858
OG0000056	BRALA00682, BRALA22096, BRALA17447, BRALA17448, BRALA17452, BRALA17449	CAEEL05273
OG0000058	BRALA24063	CAEEL06550
OG0000058	BRALA14300, BRALA24917, BRALA27306, BRALA14302	CAEEL09297
OG0000058	BRALA25998, BRALA27305, BRALA06328, BRALA03972, BRALA06644, BRALA08742, BRALA24463, BRALA24460	CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541
OG0000059	BRALA28531, BRALA32778, BRALA23279	CAEEL08332
OG0000059	BRALA15311, BRALA34589, BRALA15310, BRALA15309, BRALA15308	CAEEL07152
OG0000060	BRALA20908	CAEEL20840
OG0000060	BRALA12851	CAEEL08749, CAEEL08751, CAEEL08470
OG0000061	BRALA07400	CAEEL08422
OG0000061	BRALA07399, BRALA11283, BRALA07094, BRALA17504	CAEEL07898, CAEEL20509
OG0000062	BRALA31607	CAEEL02955
OG0000063	BRALA04998, BRALA01208, BRALA05262, BRALA05245, BRALA05098, BRALA01012, BRALA05297	CAEEL04400
OG0000066	BRALA00370, BRALA00373, BRALA26242	CAEEL18679
OG0000066	BRALA01873, BRALA35618, BRALA16563, BRALA21024, BRALA34957, BRALA21025, BRALA29041, BRALA32504, BRALA07717, BRALA26784, BRALA25733, BRALA28825, BRALA18292, BRALA11955, BRALA06903, BRALA28617, BRALA09971	CAEEL20109
OG0000067	BRALA11195, BRALA18084, BRALA09471, BRALA06501, BRALA06500, BRALA00630	CAEEL19271
OG0000068	BRALA17343	CAEEL09504
OG0000069	BRALA10090, BRALA31904, BRALA27769, BRALA28929	CAEEL14766
OG0000069	BRALA18787	CAEEL06325, CAEEL10740, CAEEL11694, CAEEL10933, CAEEL14936, CAEEL19176, CAEEL14950, CAEEL14856, CAEEL16895, CAEEL14955, CAEEL11715, CAEEL06329, CAEEL06330, CAEEL06334, CAEEL11699
OG0000070	BRALA21094	CAEEL02606
OG0000070	BRALA13025	CAEEL07192
OG0000070	BRALA00642, BRALA00640, BRALA22018, BRALA22019, BRALA21248, BRALA08298, BRALA06340	CAEEL19861
OG0000071	BRALA32052, BRALA20842, BRALA32055, BRALA20769	CAEEL00127, CAEEL07218, CAEEL19627, CAEEL19032, CAEEL20453, CAEEL07787, CAEEL04311, CAEEL04929, CAEEL18077
OG0000072	BRALA08308	CAEEL07368
OG0000073	BRALA03064	CAEEL09341, CAEEL03298, CAEEL12078, CAEEL13687, CAEEL13686, CAEEL12075, CAEEL12081, CAEEL12108, CAEEL12079, CAEEL12083, CAEEL12080, CAEEL12084, CAEEL12085, CAEEL03838, CAEEL12074, CAEEL11792, CAEEL12073, CAEEL17564, CAEEL17565, CAEEL17725
OG0000075	BRALA18754	CAEEL03008
OG0000075	BRALA20309	CAEEL11367
OG0000075	BRALA25719, BRALA17324	CAEEL11291
OG0000077	BRALA11472	CAEEL01559
OG0000077	BRALA30355, BRALA30354, BRALA30353, BRALA27919, BRALA16173, BRALA31380, BRALA32410, BRALA09728, BRALA00278, BRALA10708, BRALA22743, BRALA22531, BRALA27588, BRALA21944, BRALA21945	CAEEL18883
OG0000077	BRALA35746, BRALA06424	CAEEL06904
OG0000077	BRALA09898	CAEEL18420
OG0000079	BRALA00097	CAEEL18822
OG0000079	BRALA22809	CAEEL07248
OG0000082	BRALA23665	CAEEL18954, CAEEL04897
OG0000082	BRALA23991	CAEEL13927
OG0000082	BRALA10738	CAEEL12687
OG0000082	BRALA12025	CAEEL01784, CAEEL05942, CAEEL05941
OG0000084	BRALA16357	CAEEL10610, CAEEL18185
OG0000084	BRALA06698, BRALA06701, BRALA06699	CAEEL10989
OG0000084	BRALA03784	CAEEL20634
OG0000084	BRALA27744, BRALA31222	CAEEL08514, CAEEL10452
OG0000085	BRALA10231	CAEEL06909
OG0000085	BRALA35021	CAEEL07542
OG0000085	BRALA20574	CAEEL03085
OG0000087	BRALA11395	CAEEL16056
OG0000090	BRALA02611	CAEEL18451
OG0000090	BRALA22440, BRALA09731, BRALA16298, BRALA04706	CAEEL10114
OG0000091	BRALA10846	CAEEL01090
OG0000091	BRALA26173	CAEEL16358, CAEEL07359
OG0000091	BRALA11558, BRALA34552, BRALA15596, BRALA32931, BRALA32607, BRALA11562, BRALA12688, BRALA11559, BRALA24219, BRALA20646, BRALA26643, BRALA12340	CAEEL05045
OG0000094	BRALA34518	CAEEL10719
OG0000094	BRALA09222, BRALA24092	CAEEL18425
OG0000095	BRALA15122, BRALA25718, BRALA09730, BRALA09773, BRALA27146, BRALA20760, BRALA08842	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114
OG0000096	BRALA29898, BRALA29897	CAEEL16555
OG0000096	BRALA16859	CAEEL08533
OG0000096	BRALA08595, BRALA28945	CAEEL11776
OG0000096	BRALA02509	CAEEL06051
OG0000096	BRALA24883	CAEEL07422
OG0000098	BRALA09558	CAEEL11671, CAEEL01601, CAEEL11678
OG0000099	BRALA22450, BRALA22449, BRALA35493	CAEEL07999, CAEEL08340
OG0000099	BRALA15695, BRALA29540, BRALA29541	CAEEL05000, CAEEL01295
OG0000101	BRALA07967, BRALA07968, BRALA07970, BRALA07971, BRALA07969, BRALA14905, BRALA34983, BRALA04209, BRALA32337, BRALA04500, BRALA17899, BRALA22970	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201
OG0000103	BRALA12702, BRALA24770, BRALA25187, BRALA25191, BRALA31877, BRALA22032, BRALA34609, BRALA35379, BRALA31987, BRALA22034, BRALA22033	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258
OG0000104	BRALA24676, BRALA24677	CAEEL04070
OG0000104	BRALA26650, BRALA24675, BRALA25097, BRALA25098, BRALA20458, BRALA20457	CAEEL18800
OG0000106	BRALA03306	CAEEL20256
OG0000106	BRALA24272, BRALA34814, BRALA05381, BRALA14365, BRALA14367	CAEEL19130, CAEEL20701
OG0000107	BRALA31407	CAEEL06331, CAEEL14935, CAEEL14956, CAEEL11700, CAEEL06324, CAEEL11716, CAEEL01947, CAEEL10932, CAEEL15125, CAEEL06328, CAEEL14949, CAEEL14857, CAEEL16896, CAEEL10739, CAEEL11693, CAEEL19175
OG0000110	BRALA25611, BRALA22080, BRALA22078, BRALA05100, BRALA05295	CAEEL18731, CAEEL15167
OG0000110	BRALA15143, BRALA30278, BRALA29111, BRALA29112, BRALA24555, BRALA29879, BRALA15145, BRALA25881, BRALA05405, BRALA34750	CAEEL10319, CAEEL17689
OG0000111	BRALA19068	CAEEL12675
OG0000111	BRALA06221, BRALA13079, BRALA13080, BRALA29475, BRALA06649, BRALA13382, BRALA01140, BRALA16920, BRALA06787, BRALA06786, BRALA05323, BRALA06788, BRALA06341, BRALA13026, BRALA06344, BRALA16169, BRALA10270	CAEEL20845
OG0000113	BRALA05711, BRALA05736, BRALA10598, BRALA02148, BRALA02143, BRALA02144, BRALA02149	CAEEL06358, CAEEL06359, CAEEL06360
OG0000114	BRALA11944, BRALA13019, BRALA11943, BRALA15794, BRALA06610	CAEEL18136
OG0000115	BRALA15566	CAEEL05577
OG0000117	BRALA29346	CAEEL08400
OG0000117	BRALA09293, BRALA09216, BRALA25244, BRALA27129, BRALA10321	CAEEL10762
OG0000117	BRALA12964	CAEEL06492
OG0000117	BRALA18688, BRALA13613	CAEEL07433
OG0000119	BRALA06707, BRALA09190	CAEEL08480
OG0000119	BRALA09113, BRALA09057, BRALA09056	CAEEL08396
OG0000121	BRALA08310	CAEEL06288, CAEEL12116
OG0000122	BRALA07001	CAEEL01544
OG0000124	BRALA23466	CAEEL15384, CAEEL15382
OG0000126	BRALA11509	CAEEL08841, CAEEL04611
OG0000126	BRALA11885	CAEEL09101
OG0000126	BRALA21733	CAEEL10194
OG0000127	BRALA35668, BRALA34921	CAEEL19207
OG0000127	BRALA06066	CAEEL20452
OG0000127	BRALA17083	CAEEL00838
OG0000128	BRALA08606, BRALA13534, BRALA13533, BRALA21885, BRALA21891, BRALA03636, BRALA10967, BRALA10966, BRALA17194, BRALA16474, BRALA15948, BRALA13405, BRALA32930, BRALA32135, BRALA32136, BRALA13384	CAEEL18038, CAEEL19894, CAEEL19895
OG0000129	BRALA31934, BRALA31933	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187
OG0000129	BRALA11658	CAEEL12325
OG0000129	BRALA33036, BRALA19532, BRALA15020, BRALA27240	CAEEL08188
OG0000131	BRALA24562	CAEEL08663
OG0000132	BRALA11245	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417
OG0000137	BRALA28974, BRALA04537	CAEEL18416, CAEEL11601
OG0000137	BRALA25430, BRALA25424, BRALA35631, BRALA30028	CAEEL10559
OG0000140	BRALA12989	CAEEL04513
OG0000147	BRALA33037	CAEEL04811
OG0000148	BRALA09428	CAEEL09804
OG0000153	BRALA19462	CAEEL16188
OG0000157	BRALA27057	CAEEL00241
OG0000159	BRALA09776	CAEEL19486
OG0000159	BRALA12258	CAEEL02031
OG0000159	BRALA02682, BRALA07694, BRALA07731, BRALA07711	CAEEL05281
OG0000160	BRALA17752, BRALA19774, BRALA09740, BRALA07274, BRALA19400, BRALA19362, BRALA07285, BRALA07284, BRALA07278, BRALA07280, BRALA33017, BRALA19401, BRALA17753, BRALA19403, BRALA07279, BRALA11586, BRALA07275, BRALA14771	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528
OG0000163	BRALA16731, BRALA16733, BRALA16732	CAEEL08313
OG0000163	BRALA00110	CAEEL20194, CAEEL08850
OG0000164	BRALA10317, BRALA22107, BRALA10709, BRALA00277, BRALA10710, BRALA07246, BRALA10864	CAEEL09304
OG0000164	BRALA15645	CAEEL05807
OG0000165	BRALA14596	CAEEL07846
OG0000167	BRALA17123	CAEEL02846
OG0000168	BRALA01020, BRALA13286, BRALA13283	CAEEL19018
OG0000169	BRALA08147, BRALA04305	CAEEL15798
OG0000171	BRALA06721	CAEEL11480
OG0000172	BRALA19684, BRALA24662	CAEEL04412
OG0000173	BRALA05385, BRALA20993, BRALA05388	CAEEL04156
OG0000174	BRALA01909	CAEEL09479
OG0000175	BRALA24671	CAEEL19241
OG0000175	BRALA14699, BRALA14698	CAEEL15650, CAEEL01525, CAEEL01870
OG0000179	BRALA13816	CAEEL13640
OG0000179	BRALA15064, BRALA15063	CAEEL02965, CAEEL06713
OG0000179	BRALA14398, BRALA04244	CAEEL16607, CAEEL16605, CAEEL09314, CAEEL16384
OG0000179	BRALA28779	CAEEL19466, CAEEL07193
OG0000180	BRALA18766	CAEEL06539
OG0000181	BRALA20263	CAEEL07684
OG0000181	BRALA09404	CAEEL10858
OG0000181	BRALA25948	CAEEL10772
OG0000181	BRALA11436	CAEEL12632
OG0000183	BRALA29461, BRALA34386	CAEEL16310, CAEEL16311, CAEEL16312
OG0000183	BRALA30657	CAEEL18435
OG0000184	BRALA24349, BRALA24348, BRALA24345, BRALA13027, BRALA24344	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164
OG0000185	BRALA20218	CAEEL14200
OG0000185	BRALA17009	CAEEL14122
OG0000186	BRALA29207, BRALA31124	CAEEL00795, CAEEL05654
OG0000188	BRALA31520	CAEEL13361
OG0000188	BRALA03655	CAEEL20699
OG0000191	BRALA12908	CAEEL13368
OG0000191	BRALA03962	CAEEL19421, CAEEL09443, CAEEL19122, CAEEL15476
OG0000191	BRALA14176, BRALA32847, BRALA14175	CAEEL08724, CAEEL08082
OG0000193	BRALA21700	CAEEL18944
OG0000193	BRALA35297	CAEEL08719, CAEEL15014, CAEEL15011, CAEEL13132, CAEEL16410, CAEEL16409, CAEEL08797, CAEEL15012, CAEEL15013, CAEEL13133, CAEEL18985
OG0000194	BRALA06145, BRALA06143, BRALA24202, BRALA32166, BRALA06144, BRALA05240, BRALA29709, BRALA24201, BRALA30621, BRALA19294, BRALA04421, BRALA06130, BRALA14291, BRALA14295, BRALA14297	CAEEL11235, CAEEL19589, CAEEL17687, CAEEL19382
OG0000195	BRALA01750, BRALA01749, BRALA08338, BRALA22184	CAEEL13568, CAEEL02653, CAEEL02314, CAEEL02312
OG0000197	BRALA29466, BRALA29467, BRALA15189, BRALA19566	CAEEL04387
OG0000197	BRALA10218	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188
OG0000198	BRALA09031, BRALA09030, BRALA09029	CAEEL03057, CAEEL05629, CAEEL09718
OG0000200	BRALA02802, BRALA02803, BRALA02804	CAEEL12936, CAEEL14770, CAEEL14767, CAEEL14769, CAEEL14768, CAEEL14529, CAEEL12940, CAEEL13152
OG0000201	BRALA14937	CAEEL07587
OG0000202	BRALA31830, BRALA31826	CAEEL20283
OG0000202	BRALA31828	CAEEL09165
OG0000203	BRALA25872, BRALA05551, BRALA14396, BRALA14391, BRALA25871, BRALA14399	CAEEL09812
OG0000205	BRALA21195	CAEEL13029
OG0000207	BRALA03383	CAEEL05874, CAEEL00203
OG0000208	BRALA34651	CAEEL08447, CAEEL07330, CAEEL20488, CAEEL08722
OG0000209	BRALA15739, BRALA18078, BRALA21897	CAEEL07432
OG0000210	BRALA05812	CAEEL19469
OG0000211	BRALA25506	CAEEL02936
OG0000211	BRALA35905	CAEEL15290
OG0000211	BRALA33365	CAEEL01111, CAEEL01112
OG0000211	BRALA13475, BRALA13474	CAEEL02311
OG0000218	BRALA17567, BRALA27085, BRALA27089, BRALA27086, BRALA12470, BRALA10611, BRALA12469, BRALA27090, BRALA27088, BRALA18542, BRALA27087, BRALA11952, BRALA11951, BRALA00320	CAEEL07824, CAEEL20213
OG0000218	BRALA04451, BRALA29590	CAEEL19795
OG0000221	BRALA04793, BRALA07381, BRALA07380	CAEEL10747
OG0000221	BRALA10634	CAEEL06648
OG0000223	BRALA11482, BRALA12163	CAEEL01621, CAEEL00892
OG0000225	BRALA20442, BRALA20435	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881
OG0000226	BRALA31446, BRALA01942	CAEEL12318
OG0000226	BRALA24234, BRALA31118, BRALA21113, BRALA21112, BRALA31079, BRALA29759, BRALA31078	CAEEL10068, CAEEL15041
OG0000227	BRALA04968, BRALA04952, BRALA04966, BRALA04957	CAEEL19645
OG0000229	BRALA13906, BRALA25954, BRALA01663, BRALA28141, BRALA05173, BRALA05177, BRALA05176, BRALA00883, BRALA00726, BRALA13406, BRALA22316, BRALA01806, BRALA10794, BRALA01662, BRALA25953, BRALA25949	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478
OG0000230	BRALA01549	CAEEL14845, CAEEL19792
OG0000230	BRALA03506, BRALA03504, BRALA03490, BRALA33964, BRALA33988, BRALA17763, BRALA32045	CAEEL16226, CAEEL13679, CAEEL03009, CAEEL10796, CAEEL05825
OG0000231	BRALA20193	CAEEL08481
OG0000231	BRALA20465	CAEEL01724
OG0000232	BRALA34925, BRALA00968	CAEEL18532, CAEEL19887
OG0000234	BRALA04116	CAEEL02295
OG0000234	BRALA02072	CAEEL03013, CAEEL03014
OG0000235	BRALA31040, BRALA14681, BRALA20084, BRALA35274, BRALA16264, BRALA14680, BRALA27376, BRALA12557, BRALA12556, BRALA24060, BRALA24059, BRALA24061, BRALA32227, BRALA23923, BRALA11596, BRALA35338, BRALA24068, BRALA24058, BRALA24057, BRALA24055, BRALA24056, BRALA24065, BRALA32148, BRALA11597, BRALA04385	CAEEL10795, CAEEL07012
OG0000236	BRALA25217	CAEEL19835
OG0000238	BRALA11216, BRALA11218, BRALA11219, BRALA11217	CAEEL15430, CAEEL15432, CAEEL15171, CAEEL15387
OG0000239	BRALA30155, BRALA34063	CAEEL14926
OG0000242	BRALA18838	CAEEL05291
OG0000242	BRALA02156, BRALA08925	CAEEL05302
OG0000242	BRALA11080, BRALA10999	CAEEL01149, CAEEL01953, CAEEL01038, CAEEL11304, CAEEL00585, CAEEL01041, CAEEL01477
OG0000244	BRALA12481, BRALA28034, BRALA16560	CAEEL11789, CAEEL12688
OG0000245	BRALA06244	CAEEL20391
OG0000248	BRALA30267, BRALA30265, BRALA30263, BRALA30268, BRALA30271, BRALA30270, BRALA12363, BRALA12308, BRALA16095, BRALA27868	CAEEL17077
OG0000249	BRALA08511	CAEEL00206
OG0000250	BRALA11863	CAEEL07261
OG0000250	BRALA06695	CAEEL04698
OG0000250	BRALA09013, BRALA35677	CAEEL06732
OG0000251	BRALA09788, BRALA09787	CAEEL03882, CAEEL05921, CAEEL16332, CAEEL04207
OG0000255	BRALA00871, BRALA11731, BRALA31615	CAEEL05168
OG0000255	BRALA02467, BRALA20756, BRALA08872, BRALA09849, BRALA09857, BRALA27836	CAEEL05715
OG0000256	BRALA10199	CAEEL11937, CAEEL19468
OG0000257	BRALA18496	CAEEL01910, CAEEL15386
OG0000258	BRALA13021	CAEEL19537
OG0000258	BRALA20081	CAEEL09342
OG0000258	BRALA24991	CAEEL15770
OG0000260	BRALA15356, BRALA16338	CAEEL11482
OG0000261	BRALA27354, BRALA31257	CAEEL20767
OG0000265	BRALA18329	CAEEL20581
OG0000265	BRALA12823	CAEEL10364
OG0000266	BRALA01785	CAEEL02706
OG0000268	BRALA01933	CAEEL09209
OG0000268	BRALA32039	CAEEL08164
OG0000269	BRALA08334, BRALA31955	CAEEL10894
