Orthogroup	BRALA	DANRE
OG0000006	BRALA24372	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580
OG0000006	BRALA24993	DANRE11156, DANRE11155
OG0000006	BRALA24994	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329
OG0000006	BRALA22628	DANRE04654, DANRE04655
OG0000007	BRALA03259	DANRE26275, DANRE17982
OG0000007	BRALA13447, BRALA13448	DANRE38320, DANRE26009, DANRE40798, DANRE40799
OG0000007	BRALA20872, BRALA20870	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908
OG0000007	BRALA01304	DANRE40142
OG0000007	BRALA31416	DANRE07035, DANRE20085, DANRE04871, DANRE04210
OG0000007	BRALA11149	DANRE23214, DANRE28394, DANRE07751, DANRE07750
OG0000007	BRALA03260	DANRE12664
OG0000007	BRALA20579	DANRE03447
OG0000007	BRALA03286	DANRE26278, DANRE26279, DANRE17980, DANRE17979
OG0000007	BRALA03282	DANRE26277, DANRE17981, DANRE12992, DANRE12991
OG0000007	BRALA25787	DANRE21702
OG0000007	BRALA26097	DANRE08320, DANRE33659
OG0000007	BRALA22487	DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908
OG0000007	BRALA06491	DANRE30028, DANRE03038, DANRE28801
OG0000007	BRALA18647	DANRE30495, DANRE03657, DANRE03658
OG0000007	BRALA05625	DANRE02453, DANRE09326, DANRE09325
OG0000007	BRALA30788	DANRE11519, DANRE13255, DANRE02905, DANRE04393
OG0000008	BRALA05591	DANRE27059, DANRE36385, DANRE36384, DANRE36386, DANRE36383
OG0000008	BRALA27340	DANRE34310, DANRE39865
OG0000008	BRALA20539	DANRE15160, DANRE15161, DANRE09428, DANRE27450, DANRE27451, DANRE27453, DANRE27452
OG0000008	BRALA28057	DANRE36653
OG0000008	BRALA20418	DANRE41005, DANRE41006
OG0000008	BRALA19645	DANRE18586
OG0000010	BRALA13736, BRALA14215, BRALA13464, BRALA24211, BRALA24209	DANRE38562, DANRE38564, DANRE38563, DANRE08709, DANRE08676, DANRE08677, DANRE08708
OG0000010	BRALA24210, BRALA03886	DANRE28016, DANRE28015, DANRE28014, DANRE30968
OG0000010	BRALA03920, BRALA03888, BRALA03922	DANRE39463, DANRE39462
OG0000010	BRALA01026, BRALA09806	DANRE34456, DANRE07824
OG0000010	BRALA23756, BRALA23757, BRALA23755, BRALA23754	DANRE01777, DANRE23482, DANRE09723, DANRE09722, DANRE13204, DANRE13205, DANRE09716, DANRE09718, DANRE09717, DANRE09779, DANRE09778, DANRE01775, DANRE01774, DANRE01776, DANRE23481
OG0000011	BRALA26291	DANRE22618, DANRE32639, DANRE19908, DANRE03442
OG0000011	BRALA13222	DANRE34035, DANRE34036
OG0000012	BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215	DANRE38177, DANRE38176
OG0000012	BRALA22947	DANRE12655, DANRE12656, DANRE12659
OG0000013	BRALA32294, BRALA12236, BRALA30121, BRALA23251, BRALA30117, BRALA15745, BRALA16184, BRALA26074, BRALA19927, BRALA16969, BRALA20536, BRALA31575, BRALA04855, BRALA20488, BRALA16980, BRALA30511, BRALA16953, BRALA16964, BRALA28033, BRALA16970, BRALA23206, BRALA31240, BRALA23084, BRALA03245, BRALA05270, BRALA21240, BRALA11603, BRALA32226, BRALA32225, BRALA14863, BRALA11595, BRALA11594, BRALA14897, BRALA10656, BRALA10655, BRALA22697, BRALA13629, BRALA13628, BRALA10659, BRALA13631	DANRE02564, DANRE02565, DANRE02567, DANRE02566, DANRE02563, DANRE02568, DANRE41664, DANRE41663, DANRE41661, DANRE41662, DANRE41659, DANRE41658, DANRE41657, DANRE35359, DANRE35361, DANRE35360, DANRE35367, DANRE35365, DANRE35366, DANRE35364, DANRE33461, DANRE33468, DANRE33462, DANRE33466, DANRE33467, DANRE33465, DANRE33464, DANRE33463, DANRE24713, DANRE39935, DANRE39936, DANRE00714, DANRE37989, DANRE12210, DANRE15499, DANRE15493, DANRE15492, DANRE15491, DANRE15498, DANRE15497, DANRE15495, DANRE15494, DANRE25903, DANRE25904, DANRE25905, DANRE13233, DANRE13234, DANRE13231, DANRE13232, DANRE13235, DANRE00838
OG0000014	BRALA21801, BRALA21800, BRALA21799, BRALA01526, BRALA01524, BRALA18301, BRALA01520, BRALA04327, BRALA00445, BRALA00446, BRALA17457, BRALA17456	DANRE37898, DANRE35206, DANRE12526, DANRE12528, DANRE12527
OG0000014	BRALA05967, BRALA05963, BRALA16193, BRALA05964, BRALA05965, BRALA06004, BRALA12570, BRALA24203, BRALA14273, BRALA09954, BRALA14267, BRALA14269, BRALA14274, BRALA07196	DANRE11299, DANRE03520
OG0000014	BRALA14079	DANRE40391
OG0000014	BRALA28626, BRALA28625, BRALA28624	DANRE17251, DANRE43403
OG0000014	BRALA09953, BRALA20835, BRALA21213, BRALA14270	DANRE03675, DANRE03674, DANRE43177, DANRE29871
OG0000015	BRALA21862, BRALA21864, BRALA21860, BRALA21861, BRALA07518, BRALA07541, BRALA18254, BRALA18253, BRALA26423, BRALA21859, BRALA21858	DANRE07037, DANRE07036, DANRE03906, DANRE05961, DANRE41277, DANRE41276
OG0000015	BRALA22448	DANRE06610, DANRE36519, DANRE36518, DANRE36520, DANRE20233, DANRE20234, DANRE04836, DANRE04835, DANRE06611, DANRE20443
OG0000015	BRALA22447	DANRE20436, DANRE20437, DANRE20438, DANRE04834, DANRE04833, DANRE36515, DANRE06150, DANRE04832, DANRE04831, DANRE20439, DANRE20441, DANRE20440, DANRE20520, DANRE36517, DANRE36516, DANRE06608, DANRE06609, DANRE06176, DANRE20442
OG0000015	BRALA18748, BRALA15755, BRALA03405, BRALA12137, BRALA14251, BRALA11669, BRALA11671, BRALA11672, BRALA13048, BRALA14342, BRALA19701, BRALA22042, BRALA22048, BRALA22438	DANRE42903, DANRE42902, DANRE07145, DANRE07146, DANRE07144, DANRE33766, DANRE16271, DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692
OG0000016	BRALA00485	DANRE38616, DANRE06628, DANRE06627, DANRE13366
OG0000016	BRALA32113, BRALA10406	DANRE29900, DANRE29901, DANRE29903, DANRE29904, DANRE35774, DANRE03065, DANRE03064
OG0000016	BRALA12120, BRALA09688	DANRE35611
OG0000016	BRALA24127	DANRE02012
OG0000016	BRALA22170	DANRE31212, DANRE31213, DANRE31211, DANRE25754, DANRE13449, DANRE13448, DANRE25751, DANRE25753
OG0000018	BRALA25938, BRALA02443, BRALA07959, BRALA03388, BRALA27096, BRALA25561	DANRE24545, DANRE35342, DANRE25794, DANRE36083, DANRE25761, DANRE28032, DANRE14196, DANRE38851, DANRE22527, DANRE26621, DANRE11765, DANRE36195, DANRE03525, DANRE11263, DANRE14820, DANRE41490, DANRE37176, DANRE08199, DANRE24881, DANRE08547, DANRE40578, DANRE10138
OG0000018	BRALA27097, BRALA20530, BRALA30320, BRALA33187, BRALA27247, BRALA32183, BRALA17258, BRALA32989, BRALA30091, BRALA20808, BRALA24748, BRALA18020, BRALA23577, BRALA11468, BRALA26056, BRALA02824, BRALA06189, BRALA32094, BRALA32688, BRALA07025, BRALA20941, BRALA31799	DANRE31993, DANRE10860, DANRE34666, DANRE28525, DANRE06532, DANRE42745, DANRE25935, DANRE41823, DANRE28532, DANRE32198, DANRE23599, DANRE04161, DANRE11286, DANRE13094
OG0000018	BRALA29803, BRALA00712, BRALA26026, BRALA21060, BRALA29268, BRALA14856, BRALA33527, BRALA20529, BRALA31173, BRALA31798, BRALA31682, BRALA20809, BRALA22881, BRALA23260, BRALA10388, BRALA26529, BRALA24038, BRALA26479, BRALA10888, BRALA14857, BRALA26062, BRALA19814, BRALA25485	DANRE13954, DANRE13946
OG0000019	BRALA00002	DANRE29946, DANRE21114
OG0000019	BRALA17788	DANRE41681
OG0000019	BRALA00404, BRALA00405	DANRE39715, DANRE24632, DANRE24631, DANRE21113, DANRE21112, DANRE29948, DANRE29945, DANRE29947, DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869
OG0000020	BRALA12010	DANRE03458
OG0000020	BRALA09135	DANRE10827, DANRE10826, DANRE10743
OG0000020	BRALA02483, BRALA23113	DANRE37310
OG0000020	BRALA28848	DANRE10670
OG0000020	BRALA18984	DANRE40536
OG0000020	BRALA21902, BRALA16840	DANRE18650, DANRE10748
OG0000020	BRALA05743, BRALA25854, BRALA14414	DANRE23011
OG0000020	BRALA16287	DANRE42755
OG0000020	BRALA09492, BRALA12060, BRALA03276, BRALA03275, BRALA15785, BRALA31112, BRALA12011, BRALA22630, BRALA11869	DANRE24424, DANRE24423, DANRE27995
OG0000020	BRALA14062	DANRE27624, DANRE27625
OG0000020	BRALA27392	DANRE27431, DANRE27432, DANRE27433
OG0000020	BRALA11912	DANRE06741, DANRE06740, DANRE15747
OG0000020	BRALA12599	DANRE18984
OG0000020	BRALA10628	DANRE27379
OG0000021	BRALA18963	DANRE01661, DANRE22424, DANRE31606, DANRE31605
OG0000021	BRALA18043	DANRE39722, DANRE22090, DANRE36686, DANRE36683, DANRE36685, DANRE36633, DANRE13240, DANRE13243, DANRE13242, DANRE13246, DANRE13245, DANRE13241, DANRE24996, DANRE01663, DANRE01662
OG0000021	BRALA22428	DANRE38577, DANRE08977, DANRE08978, DANRE08976
OG0000021	BRALA30352	DANRE08348, DANRE33679
OG0000021	BRALA34639, BRALA31905	DANRE33712, DANRE33711, DANRE33342, DANRE33343
OG0000021	BRALA06012	DANRE37717
OG0000021	BRALA20360, BRALA20164	DANRE27401, DANRE27403, DANRE27400
OG0000021	BRALA20364, BRALA11803, BRALA20363, BRALA20361	DANRE20108
OG0000022	BRALA26060	DANRE32684, DANRE31894, DANRE07504
OG0000022	BRALA04372	DANRE32187, DANRE31751, DANRE32295, DANRE32760
OG0000023	BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062	DANRE19492, DANRE40604
OG0000023	BRALA25437	DANRE27752, DANRE38057, DANRE39283, DANRE25540, DANRE36925, DANRE26382, DANRE26381, DANRE29650, DANRE29649, DANRE03181, DANRE19476, DANRE19477
OG0000023	BRALA29841, BRALA06984, BRALA06983	DANRE01757
OG0000026	BRALA11498	DANRE09875
OG0000026	BRALA18399, BRALA07898, BRALA07900, BRALA07899, BRALA34641, BRALA22918	DANRE42258, DANRE07529
OG0000027	BRALA15148, BRALA12240, BRALA23216, BRALA17841, BRALA12241, BRALA12239, BRALA32630, BRALA08245, BRALA08233, BRALA23546, BRALA24920, BRALA12814, BRALA00447, BRALA25835, BRALA13009, BRALA00483, BRALA00450, BRALA09026, BRALA26977, BRALA09028, BRALA03738, BRALA18788, BRALA11602, BRALA32150	DANRE02909
OG0000028	BRALA26965	DANRE06013
OG0000028	BRALA06262, BRALA06265, BRALA11957, BRALA28259, BRALA27261	DANRE08736, DANRE08737, DANRE20375
OG0000028	BRALA08537, BRALA08538, BRALA08539, BRALA08540, BRALA08541, BRALA08543, BRALA08542	DANRE07176, DANRE07177, DANRE15857, DANRE15856, DANRE09600, DANRE09601, DANRE13468
OG0000028	BRALA08547, BRALA15654	DANRE13469, DANRE13470, DANRE15855, DANRE10772, DANRE17755, DANRE17756, DANRE02083
OG0000028	BRALA01199, BRALA17029, BRALA17030	DANRE07180, DANRE07179, DANRE15853, DANRE35763
OG0000028	BRALA08523	DANRE39088, DANRE39089, DANRE24974, DANRE15851, DANRE15850, DANRE13964
OG0000029	BRALA18593, BRALA15599, BRALA21105, BRALA06813, BRALA30989, BRALA00525, BRALA00526, BRALA00527, BRALA00523, BRALA00522, BRALA00528, BRALA09392, BRALA20510, BRALA08676	DANRE41268, DANRE41269, DANRE26531, DANRE01944
OG0000030	BRALA13442	DANRE34589, DANRE34588
OG0000030	BRALA12198	DANRE16388, DANRE16389
OG0000030	BRALA10449	DANRE41079, DANRE41078
OG0000030	BRALA06142	DANRE08391
OG0000031	BRALA28310, BRALA01948, BRALA09437, BRALA32909, BRALA01946, BRALA12064, BRALA09438, BRALA01951, BRALA14885, BRALA09441, BRALA09439, BRALA32910, BRALA01947, BRALA01952, BRALA14882, BRALA23662, BRALA14883, BRALA19306, BRALA05713, BRALA17265, BRALA15256, BRALA15254, BRALA01977, BRALA22606	DANRE20694
OG0000031	BRALA04543	DANRE41496, DANRE35535, DANRE23155
OG0000031	BRALA04547	DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505
OG0000031	BRALA04610	DANRE13622, DANRE13623
OG0000031	BRALA13458	DANRE26516
OG0000031	BRALA05046	DANRE26019
OG0000031	BRALA16640	DANRE11621
OG0000031	BRALA09408	DANRE02768, DANRE23382
OG0000031	BRALA28311	DANRE20276, DANRE16190, DANRE42316
OG0000032	BRALA10240	DANRE24196, DANRE27892, DANRE27891
OG0000032	BRALA11179, BRALA11177, BRALA09647	DANRE22486, DANRE22485, DANRE22487, DANRE22488
OG0000034	BRALA27570	DANRE28945, DANRE28944, DANRE35039, DANRE35040, DANRE39926, DANRE00143, DANRE39455, DANRE35041
OG0000034	BRALA08751	DANRE29516, DANRE29515, DANRE12957, DANRE25460, DANRE31029, DANRE31030, DANRE23009, DANRE23010, DANRE02357
OG0000034	BRALA08901, BRALA03079	DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947
OG0000034	BRALA17580	DANRE14484, DANRE09880, DANRE38036
OG0000034	BRALA08885	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613
OG0000034	BRALA23966, BRALA06594	DANRE04100
OG0000034	BRALA02412	DANRE25182
OG0000035	BRALA21367, BRALA35402	DANRE23313
OG0000035	BRALA13921	DANRE31052, DANRE25078, DANRE12998, DANRE12997
OG0000035	BRALA29588	DANRE29644, DANRE29645, DANRE13480, DANRE13479, DANRE12467, DANRE12466, DANRE30988
OG0000035	BRALA13915, BRALA22877	DANRE36852, DANRE22281, DANRE12942, DANRE38472, DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758, DANRE30761
OG0000035	BRALA13917	DANRE38222, DANRE38223, DANRE12948
OG0000036	BRALA03126, BRALA19967	DANRE37867, DANRE38271, DANRE14697
OG0000036	BRALA22400	DANRE25335
OG0000036	BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181	DANRE27775, DANRE38068, DANRE26145, DANRE38623
OG0000036	BRALA31321, BRALA06755, BRALA06753, BRALA18345	DANRE07186, DANRE30853
OG0000036	BRALA22402, BRALA22404	DANRE11991, DANRE38630
OG0000037	BRALA22282	DANRE11959, DANRE17549, DANRE11958, DANRE11635, DANRE11634, DANRE17282, DANRE17582, DANRE10717, DANRE10716, DANRE06286, DANRE06287
OG0000037	BRALA22275	DANRE03950, DANRE03951, DANRE05592, DANRE05591, DANRE37805, DANRE37804, DANRE13383
OG0000037	BRALA16015	DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607
OG0000037	BRALA16388	DANRE11315
OG0000038	BRALA15513, BRALA22708, BRALA13194	DANRE23401
OG0000038	BRALA19648, BRALA18077, BRALA04779	DANRE41584
OG0000038	BRALA27417	DANRE15348
OG0000039	BRALA01170, BRALA17648, BRALA19632, BRALA19635	DANRE38069, DANRE38070
OG0000039	BRALA19542	DANRE09344
OG0000040	BRALA35825, BRALA27751	DANRE30036
OG0000040	BRALA11729, BRALA05958, BRALA30125, BRALA25190, BRALA05957, BRALA05956, BRALA24498, BRALA28368, BRALA17917, BRALA31975, BRALA14369, BRALA25635, BRALA14529, BRALA07729, BRALA29177, BRALA06759, BRALA31556, BRALA17916, BRALA33438, BRALA30900, BRALA15606	DANRE30032, DANRE30031, DANRE30033, DANRE30029, DANRE30030, DANRE30035, DANRE30034, DANRE17230
OG0000041	BRALA35158	DANRE29492
OG0000041	BRALA27215	DANRE36805, DANRE27215, DANRE24076, DANRE27216, DANRE05493, DANRE05492, DANRE18224, DANRE05473, DANRE36043, DANRE17635
OG0000042	BRALA27880, BRALA05311, BRALA25919, BRALA28670, BRALA19166, BRALA23184, BRALA28669, BRALA16191, BRALA25918, BRALA30415, BRALA29610, BRALA04826, BRALA22020, BRALA21500, BRALA22237, BRALA26652	DANRE42454, DANRE42453, DANRE42455, DANRE08533, DANRE08529, DANRE08530, DANRE08535, DANRE08531, DANRE08532, DANRE08528, DANRE08534, DANRE08536, DANRE23872, DANRE23873, DANRE23870, DANRE23868, DANRE23869, DANRE23871, DANRE23875, DANRE23874
OG0000043	BRALA09159	DANRE43265
OG0000044	BRALA27747	DANRE05244, DANRE05245
OG0000044	BRALA34838	DANRE13593
OG0000045	BRALA29043, BRALA32667	DANRE38824
OG0000045	BRALA19490, BRALA19482	DANRE00498, DANRE00497, DANRE34860, DANRE34861
OG0000045	BRALA00168, BRALA00164	DANRE05823
OG0000045	BRALA00181	DANRE28069, DANRE28068
OG0000046	BRALA28946	DANRE15742
OG0000046	BRALA00828, BRALA17402, BRALA17400	DANRE20292, DANRE09276, DANRE42278, DANRE42280, DANRE42172, DANRE42168, DANRE42170, DANRE42174, DANRE42171, DANRE42169, DANRE42167, DANRE42279, DANRE42166, DANRE42173, DANRE42277, DANRE09606, DANRE09605
OG0000048	BRALA08224	DANRE16164, DANRE16166, DANRE16167, DANRE16163
OG0000048	BRALA06772	DANRE19398
OG0000048	BRALA28757	DANRE08311
OG0000048	BRALA17823, BRALA17828, BRALA17827, BRALA14637, BRALA17826, BRALA20466, BRALA05845, BRALA13397, BRALA31649, BRALA31651, BRALA13408, BRALA13407	DANRE14945, DANRE10170, DANRE10169
OG0000048	BRALA10830	DANRE17556, DANRE05472
OG0000048	BRALA03524	DANRE26183
OG0000049	BRALA08950, BRALA08951	DANRE18176, DANRE10819, DANRE00818, DANRE08853, DANRE08855, DANRE08854
OG0000049	BRALA15334	DANRE36715, DANRE36714, DANRE02678, DANRE12445
OG0000049	BRALA15336, BRALA15335	DANRE22104, DANRE39773, DANRE39775, DANRE39774, DANRE02437, DANRE02436, DANRE36818, DANRE36819, DANRE30745, DANRE25833
OG0000049	BRALA16919, BRALA35874, BRALA15337	DANRE30744
OG0000050	BRALA35714	DANRE32914
OG0000050	BRALA21077	DANRE05388, DANRE16154, DANRE21370, DANRE14263, DANRE25768, DANRE00430, DANRE32860, DANRE42655, DANRE31654, DANRE32311, DANRE20964
OG0000050	BRALA28793, BRALA27960, BRALA31232, BRALA08623, BRALA31915, BRALA10559	DANRE33098, DANRE32869, DANRE33097, DANRE32870
OG0000051	BRALA22978, BRALA25416	DANRE04454, DANRE04455, DANRE04456, DANRE04458, DANRE04457
OG0000053	BRALA16213, BRALA07330	DANRE17521
OG0000054	BRALA02118	DANRE06791, DANRE15743
OG0000054	BRALA12332, BRALA22995, BRALA22164, BRALA21314, BRALA18426, BRALA25220, BRALA21960, BRALA06303, BRALA29468, BRALA09095, BRALA20505, BRALA23115, BRALA28620, BRALA24808, BRALA15699, BRALA01267, BRALA17804, BRALA17806, BRALA00882, BRALA05257	DANRE09041, DANRE09042
OG0000055	BRALA13087	DANRE00963
OG0000055	BRALA31408	DANRE26046, DANRE37399
OG0000056	BRALA00682	DANRE01913, DANRE01914, DANRE39460, DANRE39459, DANRE15877, DANRE15878, DANRE15879, DANRE39458, DANRE26297
OG0000056	BRALA21309	DANRE40924, DANRE40923
OG0000057	BRALA05192, BRALA22206, BRALA11691, BRALA27516, BRALA21236	DANRE01491, DANRE01492, DANRE34768, DANRE34769, DANRE25607, DANRE38933
OG0000058	BRALA24063	DANRE01466, DANRE01467
OG0000058	BRALA06324	DANRE03528
OG0000058	BRALA14300, BRALA24917, BRALA27306	DANRE15450
OG0000058	BRALA25998, BRALA27305, BRALA06328, BRALA03972, BRALA06644, BRALA08742, BRALA24463, BRALA24460	DANRE15130, DANRE18090, DANRE05159, DANRE10661, DANRE16833, DANRE17579, DANRE25419, DANRE25420, DANRE03527
OG0000058	BRALA11173, BRALA06327	DANRE30014, DANRE15447
OG0000059	BRALA13206	DANRE15544, DANRE15545, DANRE15546, DANRE20191, DANRE20192, DANRE20189, DANRE15547, DANRE20190, DANRE08539, DANRE00843
OG0000059	BRALA11568	DANRE23878, DANRE23877, DANRE23876
OG0000059	BRALA19963, BRALA20366	DANRE19797, DANRE19798, DANRE19796, DANRE13287, DANRE06156, DANRE06155, DANRE06072, DANRE06071, DANRE00651
OG0000060	BRALA01718	DANRE15035, DANRE15034, DANRE05268
OG0000061	BRALA07400	DANRE42668, DANRE35791, DANRE35790, DANRE14876, DANRE23684
OG0000061	BRALA23690, BRALA23691, BRALA23692, BRALA33700, BRALA14844	DANRE21357, DANRE21356, DANRE21355, DANRE42236, DANRE42238, DANRE42237, DANRE03323, DANRE26316, DANRE26315
OG0000061	BRALA22663, BRALA26552, BRALA22659, BRALA26551, BRALA26563	DANRE16979, DANRE30135, DANRE08363, DANRE08364, DANRE41399, DANRE24234, DANRE26883, DANRE26882, DANRE28200, DANRE36395, DANRE36396, DANRE36397, DANRE03215, DANRE23525, DANRE23526, DANRE28197, DANRE28196, DANRE28198, DANRE28195, DANRE28199, DANRE28194, DANRE28193, DANRE36398, DANRE24481, DANRE24482
OG0000061	BRALA09017, BRALA07401, BRALA14793, BRALA14792	DANRE26341, DANRE29170
OG0000062	BRALA21141, BRALA30349, BRALA21142	DANRE08107, DANRE08104, DANRE08105, DANRE08102, DANRE08103, DANRE08106, DANRE08101, DANRE08100, DANRE28562, DANRE28568, DANRE28566, DANRE28565, DANRE28573, DANRE28574, DANRE28576, DANRE28571, DANRE28572, DANRE28569, DANRE28442, DANRE28441, DANRE28577, DANRE28578, DANRE43388, DANRE28579, DANRE28570
OG0000062	BRALA31607	DANRE18807, DANRE18806
OG0000063	BRALA00957	DANRE15770
OG0000063	BRALA01330	DANRE36896
OG0000063	BRALA04998, BRALA01208, BRALA05262, BRALA05245, BRALA05098, BRALA01012, BRALA05297	DANRE19500, DANRE19501, DANRE11531, DANRE11532, DANRE04204, DANRE04205
OG0000066	BRALA25733	DANRE40339, DANRE40338, DANRE40337, DANRE40336
OG0000067	BRALA20114, BRALA23146, BRALA20125, BRALA07853, BRALA09449	DANRE18991
OG0000067	BRALA35634, BRALA09451	DANRE05059, DANRE06045, DANRE20513, DANRE39179
OG0000068	BRALA17343	DANRE39760, DANRE39761, DANRE22550, DANRE22548, DANRE36056, DANRE22549, DANRE22547, DANRE39762, DANRE25132, DANRE31207, DANRE31206, DANRE31205, DANRE41310, DANRE31358, DANRE31357
