Orthogroup	DANRE	XENTR
OG0000010	DANRE09723, DANRE09722, DANRE13204, DANRE13205	XENTR15256, XENTR18623, XENTR15257, XENTR19183, XENTR15255, XENTR15237, XENTR11415, XENTR11414, XENTR18631, XENTR16282, XENTR15239, XENTR15238
OG0000010	DANRE09716, DANRE09718, DANRE09717	XENTR18247, XENTR18250, XENTR18923, XENTR18245, XENTR18246, XENTR18248
OG0000010	DANRE09779, DANRE09778	XENTR18249
OG0000011	DANRE34035, DANRE34036	XENTR06336, XENTR06335
OG0000012	DANRE38177, DANRE38176	XENTR13810
OG0000012	DANRE12655, DANRE12656, DANRE12659	XENTR07259, XENTR07258, XENTR07257, XENTR07260, XENTR18170, XENTR07256
OG0000013	DANRE15807	XENTR04875
OG0000013	DANRE02564, DANRE02565, DANRE02567, DANRE02566, DANRE02563, DANRE02568, DANRE41664, DANRE41663, DANRE41661, DANRE41662, DANRE41659, DANRE41658, DANRE41657	XENTR01071, XENTR01070, XENTR01094, XENTR01095
OG0000013	DANRE35359, DANRE35361, DANRE35360, DANRE35367, DANRE35365, DANRE35366, DANRE35364, DANRE33461, DANRE33468, DANRE33462, DANRE33466, DANRE33467, DANRE33465, DANRE33464, DANRE33463	XENTR08287, XENTR08288
OG0000013	DANRE24713, DANRE39935, DANRE39936, DANRE00714, DANRE37989, DANRE12210, DANRE15499, DANRE15493, DANRE15492, DANRE15491, DANRE15498, DANRE15497, DANRE15495, DANRE15494, DANRE25903, DANRE25904, DANRE25905, DANRE13233, DANRE13234, DANRE13231, DANRE13232, DANRE13235, DANRE00838	XENTR11527
OG0000014	DANRE37898	XENTR12243
OG0000014	DANRE40509, DANRE36844	XENTR01230
OG0000014	DANRE43146	XENTR14320
OG0000014	DANRE22544	XENTR11284
OG0000014	DANRE29858, DANRE04027	XENTR09795
OG0000014	DANRE30100, DANRE03816	XENTR13716
OG0000014	DANRE11299, DANRE03520	XENTR09521
OG0000014	DANRE11197, DANRE03296	XENTR18803, XENTR09297
OG0000014	DANRE17251	XENTR09147
OG0000014	DANRE43403	XENTR00681
OG0000014	DANRE03675, DANRE03674, DANRE43177, DANRE29871	XENTR14500
OG0000015	DANRE15829, DANRE07077	XENTR05642
OG0000015	DANRE07037, DANRE07036, DANRE03906, DANRE05961	XENTR10336, XENTR08668
OG0000015	DANRE41277, DANRE41276	XENTR08442
OG0000015	DANRE06610	XENTR15573
OG0000015	DANRE20233, DANRE20234	XENTR12597
OG0000015	DANRE04836, DANRE04835	XENTR03461
OG0000015	DANRE11101, DANRE11100, DANRE17308, DANRE17307, DANRE17306	XENTR14250
OG0000015	DANRE17304, DANRE17305	XENTR15058
OG0000015	DANRE24410, DANRE01122, DANRE24409	XENTR02840
OG0000015	DANRE20436, DANRE20437, DANRE20438	XENTR16072
OG0000015	DANRE04832, DANRE04831	XENTR03462
OG0000015	DANRE20439, DANRE20441, DANRE20440	XENTR16073
OG0000015	DANRE20520	XENTR12596
OG0000015	DANRE36517, DANRE36516	XENTR00414
OG0000015	DANRE06608, DANRE06609, DANRE06176, DANRE20442	XENTR17914
OG0000015	DANRE42903, DANRE42902	XENTR13566
OG0000015	DANRE16271	XENTR03288
OG0000015	DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692	XENTR15069
OG0000016	DANRE06628, DANRE06627	XENTR10586
OG0000016	DANRE13366	XENTR06233
OG0000016	DANRE29900	XENTR01362
OG0000016	DANRE29901, DANRE29903, DANRE29904, DANRE35774	XENTR01363
OG0000016	DANRE03065, DANRE03064	XENTR07382
OG0000016	DANRE04448	XENTR09539, XENTR00630
OG0000016	DANRE35611	XENTR12717
OG0000016	DANRE02012	XENTR17802
OG0000016	DANRE13449, DANRE13448	XENTR18390
OG0000018	DANRE31993, DANRE10860, DANRE34666, DANRE28525, DANRE06532, DANRE42745, DANRE25935, DANRE41823, DANRE28532, DANRE32198, DANRE23599, DANRE04161, DANRE11286, DANRE13094	XENTR09178, XENTR08162, XENTR13012, XENTR02564, XENTR05956, XENTR09576, XENTR03694, XENTR00858, XENTR02889, XENTR06547, XENTR13927, XENTR13322, XENTR12397, XENTR08345, XENTR10008, XENTR11346, XENTR19127, XENTR10010
OG0000018	DANRE13954, DANRE13946	XENTR19110, XENTR19228, XENTR16288, XENTR15347, XENTR15469
OG0000019	DANRE29946, DANRE21114	XENTR14707
OG0000019	DANRE39715	XENTR07225
OG0000019	DANRE29948	XENTR02749
OG0000019	DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869	XENTR04194
OG0000020	DANRE03458	XENTR09200
OG0000020	DANRE10827, DANRE10826, DANRE10743	XENTR18565
OG0000020	DANRE10670	XENTR14576
OG0000020	DANRE40536	XENTR13299
OG0000020	DANRE14742, DANRE09733	XENTR15741
OG0000020	DANRE18650, DANRE10748	XENTR07596
OG0000020	DANRE23011	XENTR04090
OG0000020	DANRE42755	XENTR05411
OG0000020	DANRE24424, DANRE24423, DANRE27995	XENTR03248
OG0000020	DANRE27624, DANRE27625	XENTR03249
OG0000020	DANRE27431, DANRE27432, DANRE27433	XENTR04697
OG0000020	DANRE06741, DANRE06740	XENTR07864
OG0000020	DANRE15747	XENTR11783
OG0000020	DANRE22958, DANRE22959	XENTR08063
OG0000020	DANRE15816	XENTR05660
OG0000020	DANRE18984	XENTR15846
OG0000020	DANRE27379	XENTR15636
OG0000021	DANRE01661, DANRE22424	XENTR17791
OG0000021	DANRE31606, DANRE31605	XENTR16377
OG0000021	DANRE39795, DANRE39796	XENTR06809
OG0000021	DANRE22480	XENTR02794
OG0000021	DANRE39722, DANRE22090	XENTR11123
OG0000021	DANRE24996, DANRE01663, DANRE01662	XENTR16378
OG0000021	DANRE38577	XENTR12641
OG0000021	DANRE08977, DANRE08978, DANRE08976	XENTR02936
OG0000021	DANRE08348	XENTR18096
OG0000021	DANRE33679	XENTR01150
OG0000021	DANRE37717	XENTR13705
OG0000021	DANRE02277	XENTR13394, XENTR13393
OG0000021	DANRE27401, DANRE27403, DANRE27400	XENTR00007
OG0000021	DANRE20108	XENTR13780, XENTR17333
OG0000022	DANRE32595, DANRE32643, DANRE32266, DANRE32139, DANRE32913, DANRE07501, DANRE32247, DANRE32031, DANRE32168, DANRE31831, DANRE32169, DANRE31802, DANRE31801, DANRE32692, DANRE32691, DANRE32397, DANRE32360, DANRE32103, DANRE32104, DANRE32300, DANRE32030, DANRE32357, DANRE32680, DANRE31927, DANRE31809, DANRE31719, DANRE43117, DANRE28751, DANRE31750, DANRE31856, DANRE32234, DANRE32804, DANRE32232, DANRE32805, DANRE32437, DANRE31887, DANRE32342, DANRE31900, DANRE32476, DANRE32341, DANRE42966, DANRE32418, DANRE32417, DANRE32334, DANRE31859, DANRE32758, DANRE32203, DANRE32157, DANRE32732, DANRE32152, DANRE32521, DANRE18755, DANRE31860, DANRE32219, DANRE43136, DANRE32065, DANRE32052, DANRE32053, DANRE32441, DANRE32590, DANRE18756, DANRE31650, DANRE32265, DANRE32576, DANRE32577, DANRE32361, DANRE32529, DANRE32427, DANRE31840, DANRE32119, DANRE32118, DANRE31950, DANRE32338, DANRE32654, DANRE31929, DANRE42991, DANRE32346, DANRE42977, DANRE31838, DANRE32616, DANRE31775, DANRE32816, DANRE43000, DANRE31933, DANRE32448, DANRE32447, DANRE32063, DANRE32733, DANRE32697, DANRE32698, DANRE32484, DANRE32790, DANRE32025, DANRE32573, DANRE32574, DANRE32570, DANRE31988, DANRE32821, DANRE31873, DANRE31696, DANRE42997, DANRE42956, DANRE32439, DANRE32740, DANRE31971, DANRE31972, DANRE18754, DANRE18753, DANRE32659, DANRE32658, DANRE32127, DANRE32128, DANRE31970, DANRE31676, DANRE31795, DANRE32586, DANRE32743, DANRE32385, DANRE32036, DANRE32446, DANRE32479, DANRE32204, DANRE32331, DANRE32539, DANRE31978, DANRE31658, DANRE32012, DANRE32560, DANRE32497, DANRE32416, DANRE32227, DANRE32228, DANRE31694, DANRE42996, DANRE32172, DANRE32301, DANRE32514, DANRE32530, DANRE31855, DANRE32205, DANRE32690, DANRE32316, DANRE32171, DANRE32741, DANRE32742, DANRE32757, DANRE32290, DANRE32170, DANRE32291, DANRE32784, DANRE31857, DANRE31858, DANRE32787, DANRE32425, DANRE32215, DANRE31995, DANRE32238, DANRE32117, DANRE43020, DANRE32483, DANRE32482, DANRE43138, DANRE32502, DANRE32426, DANRE32532, DANRE32531, DANRE31932, DANRE43094, DANRE32594, DANRE32606, DANRE32807, DANRE32404, DANRE31674	XENTR19208
OG0000022	DANRE32187	XENTR13499
OG0000023	DANRE19492, DANRE40604	XENTR00841
OG0000023	DANRE27752, DANRE38057	XENTR15918
OG0000023	DANRE39283, DANRE25540	XENTR00481
OG0000023	DANRE36925	XENTR16829
OG0000023	DANRE26382, DANRE26381	XENTR12543
OG0000023	DANRE29650, DANRE29649, DANRE03181	XENTR17774
OG0000023	DANRE19476, DANRE19477	XENTR00784
OG0000023	DANRE07548, DANRE07547	XENTR04037
OG0000023	DANRE01757	XENTR05209, XENTR05210
OG0000023	DANRE01251	XENTR05767, XENTR05768
OG0000023	DANRE08271, DANRE08272, DANRE08270, DANRE08269	XENTR05773
OG0000023	DANRE01246	XENTR05777
OG0000023	DANRE08566, DANRE08567	XENTR05778
OG0000023	DANRE38580	XENTR12643
OG0000023	DANRE40368	XENTR01709, XENTR01708
OG0000026	DANRE42258	XENTR07244
OG0000026	DANRE07529	XENTR03079
OG0000027	DANRE39144	XENTR03739
OG0000027	DANRE10366, DANRE03058, DANRE03059, DANRE03061	XENTR10928, XENTR05419, XENTR05696, XENTR05695
OG0000027	DANRE29465	XENTR11166, XENTR14623
OG0000027	DANRE03471, DANRE22990, DANRE22989	XENTR17763, XENTR19186, XENTR19205, XENTR15608, XENTR17760, XENTR17761, XENTR17759, XENTR18667, XENTR19288
OG0000027	DANRE41021, DANRE41022, DANRE41023, DANRE41020, DANRE41018, DANRE41275, DANRE41019, DANRE41017, DANRE41008, DANRE41009	XENTR11639, XENTR18028, XENTR18027, XENTR18029
OG0000027	DANRE02909	XENTR00202, XENTR00203, XENTR00210, XENTR00209, XENTR00204, XENTR00208
OG0000028	DANRE06013	XENTR03481
OG0000028	DANRE08736, DANRE08737, DANRE20375	XENTR17263
OG0000028	DANRE07176, DANRE07177, DANRE15857, DANRE15856, DANRE09600, DANRE09601	XENTR18279
OG0000028	DANRE13468	XENTR05325
OG0000028	DANRE13469, DANRE13470	XENTR05326
OG0000028	DANRE15855	XENTR17548
OG0000028	DANRE10772, DANRE17755, DANRE17756	XENTR15539
OG0000028	DANRE02083	XENTR18293
OG0000028	DANRE07180, DANRE07179, DANRE15853	XENTR17549
OG0000028	DANRE35763	XENTR05379, XENTR05378
OG0000028	DANRE39088, DANRE39089, DANRE24974	XENTR10277
OG0000028	DANRE15851, DANRE15850	XENTR06737
OG0000029	DANRE39912, DANRE39910, DANRE39911, DANRE39909	XENTR07438, XENTR16899
OG0000029	DANRE12668, DANRE12669	XENTR09562
OG0000029	DANRE40256	XENTR10017
OG0000029	DANRE22155	XENTR09646
OG0000029	DANRE11325, DANRE16818, DANRE16817	XENTR13058
OG0000029	DANRE13326	XENTR12335
OG0000029	DANRE41268, DANRE41269	XENTR11755
OG0000029	DANRE26531, DANRE01944	XENTR10534
OG0000029	DANRE42782	XENTR08766
OG0000029	DANRE21814	XENTR01288
OG0000029	DANRE34060, DANRE21950, DANRE21945, DANRE43307, DANRE21946, DANRE21947, DANRE21900, DANRE21896, DANRE39154	XENTR11880, XENTR11878, XENTR11881, XENTR11879, XENTR11883
OG0000030	DANRE34589, DANRE34588	XENTR08639
OG0000030	DANRE14546, DANRE09884, DANRE09883	XENTR18219
OG0000030	DANRE08390, DANRE08389	XENTR14281
OG0000030	DANRE38993	XENTR00656
OG0000030	DANRE03619	XENTR05598
OG0000030	DANRE03978	XENTR12816
OG0000031	DANRE20274, DANRE20275, DANRE20273	XENTR12583
OG0000031	DANRE41496	XENTR05405
OG0000031	DANRE23155	XENTR03766
OG0000031	DANRE37079	XENTR08553
OG0000031	DANRE41454	XENTR05384
OG0000031	DANRE13621, DANRE09507, DANRE09506, DANRE09505	XENTR03164
OG0000031	DANRE17238	XENTR10836
OG0000031	DANRE13622, DANRE13623	XENTR03163
OG0000031	DANRE26019	XENTR09319
OG0000031	DANRE33954	XENTR06988
OG0000031	DANRE11621	XENTR00229
OG0000031	DANRE02768	XENTR02595
OG0000031	DANRE20276	XENTR12584
OG0000031	DANRE16190, DANRE42316	XENTR00918
OG0000031	DANRE27399	XENTR00006
OG0000031	DANRE21472, DANRE14252	XENTR16792
OG0000031	DANRE15746	XENTR11778
OG0000031	DANRE42215, DANRE15380, DANRE42216	XENTR09425
OG0000032	DANRE24196, DANRE27892, DANRE27891	XENTR06599
OG0000032	DANRE30726, DANRE30725	XENTR18392
OG0000032	DANRE33199, DANRE32929, DANRE32926, DANRE32927, DANRE33203, DANRE33202, DANRE32928, DANRE33200, DANRE33201	XENTR18393
OG0000032	DANRE36261	XENTR06098
OG0000032	DANRE12884, DANRE39037	XENTR03124
OG0000032	DANRE22486, DANRE22485, DANRE22487, DANRE22488	XENTR17016
OG0000034	DANRE28945, DANRE28944	XENTR14967
OG0000034	DANRE00143, DANRE39455	XENTR08246
OG0000034	DANRE35041	XENTR04943
OG0000034	DANRE29516, DANRE29515	XENTR11418, XENTR11419
OG0000034	DANRE12957, DANRE25460	XENTR10883
OG0000034	DANRE31029, DANRE31030, DANRE23009, DANRE23010, DANRE02357	XENTR07417
OG0000034	DANRE37022, DANRE22465	XENTR01252
OG0000034	DANRE31461, DANRE31460, DANRE12388, DANRE12387	XENTR11199, XENTR07072
OG0000034	DANRE25947	XENTR12065
OG0000034	DANRE38036	XENTR15456
OG0000034	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613	XENTR10156
OG0000034	DANRE04100	XENTR16254
OG0000034	DANRE25182	XENTR08340
OG0000035	DANRE23313	XENTR05239
OG0000035	DANRE40563	XENTR05079
OG0000035	DANRE38347, DANRE12928, DANRE12929	XENTR05317
OG0000035	DANRE27654	XENTR05866, XENTR05867
OG0000035	DANRE25078, DANRE12998, DANRE12997	XENTR07648
OG0000035	DANRE29644, DANRE29645	XENTR14129
OG0000035	DANRE13480, DANRE13479	XENTR07651
OG0000035	DANRE12467, DANRE12466, DANRE30988	XENTR11799
OG0000035	DANRE36852, DANRE22281	XENTR11381, XENTR11382
OG0000035	DANRE12942, DANRE38472	XENTR12076
OG0000035	DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758	XENTR01605
OG0000035	DANRE12947, DANRE38221	XENTR09858
OG0000035	DANRE38222, DANRE38223, DANRE12948	XENTR13293, XENTR09857
OG0000036	DANRE37867	XENTR16945
OG0000036	DANRE38271	XENTR13571
OG0000036	DANRE25335	XENTR07761
OG0000036	DANRE27775, DANRE38068	XENTR12415
OG0000036	DANRE26145, DANRE38623	XENTR07272
OG0000036	DANRE07186	XENTR01038
OG0000036	DANRE30853	XENTR15969
OG0000036	DANRE11991	XENTR05174
OG0000036	DANRE38630	XENTR07278
OG0000037	DANRE11959, DANRE17549, DANRE11958	XENTR17072
OG0000037	DANRE11635, DANRE11634, DANRE17282	XENTR05552
OG0000037	DANRE17582, DANRE10717, DANRE10716	XENTR03023
OG0000037	DANRE06286, DANRE06287	XENTR14114
OG0000037	DANRE03950, DANRE03951, DANRE05592, DANRE05591	XENTR16580
OG0000037	DANRE13383	XENTR14770
OG0000037	DANRE22289, DANRE22290	XENTR10865
OG0000037	DANRE13745, DANRE11904, DANRE17607	XENTR10696
OG0000037	DANRE11315	XENTR18131
OG0000038	DANRE04612	XENTR18690, XENTR00755, XENTR00754
OG0000038	DANRE23404, DANRE23403	XENTR06225
OG0000038	DANRE23402	XENTR06224
OG0000038	DANRE40533	XENTR13297
OG0000038	DANRE23401	XENTR04197, XENTR04200
OG0000038	DANRE41584	XENTR04205
OG0000038	DANRE15348	XENTR04206
OG0000039	DANRE18250, DANRE18249	XENTR03946
OG0000039	DANRE18251	XENTR03945
OG0000039	DANRE38069, DANRE38070	XENTR17227
OG0000039	DANRE09344	XENTR17697
OG0000040	DANRE12493, DANRE12492	XENTR14058
OG0000040	DANRE30032, DANRE30031, DANRE30033, DANRE30029, DANRE30030, DANRE30035, DANRE30034, DANRE17230	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473
OG0000041	DANRE24726	XENTR14135
OG0000041	DANRE24718	XENTR16713
OG0000041	DANRE38473, DANRE38474, DANRE38475, DANRE25228	XENTR17286
OG0000041	DANRE30702, DANRE30703, DANRE30699, DANRE30704, DANRE30700	XENTR13662
OG0000041	DANRE40396, DANRE40397	XENTR02569
OG0000041	DANRE36857, DANRE22432	XENTR11378
OG0000041	DANRE25655, DANRE33053	XENTR01609
OG0000041	DANRE36856	XENTR11377
OG0000041	DANRE25654, DANRE43342	XENTR01610
OG0000041	DANRE38441	XENTR10042
OG0000041	DANRE36805	XENTR03001
OG0000041	DANRE27215, DANRE24076	XENTR09331
OG0000041	DANRE05493, DANRE05492, DANRE18224	XENTR13929
OG0000041	DANRE05473	XENTR05159
OG0000041	DANRE36043	XENTR10869
OG0000042	DANRE42454, DANRE42453, DANRE42455	XENTR01504
OG0000042	DANRE08533, DANRE08529, DANRE08530, DANRE08535, DANRE08531, DANRE08532, DANRE08528, DANRE08534, DANRE08536, DANRE23872, DANRE23873, DANRE23870, DANRE23868, DANRE23869, DANRE23871, DANRE23875, DANRE23874	XENTR15510, XENTR10643, XENTR01537, XENTR16342, XENTR16340, XENTR16341, XENTR15423, XENTR15424
OG0000043	DANRE34152	XENTR06023, XENTR06022
OG0000043	DANRE37439, DANRE26092, DANRE39503, DANRE26159, DANRE37409, DANRE26051, DANRE26163, DANRE26169, DANRE26151, DANRE26095, DANRE26087, DANRE26064, DANRE26052, DANRE26099, DANRE37454, DANRE26078, DANRE37464, DANRE37436, DANRE37400, DANRE26085, DANRE39508, DANRE39495, DANRE26174, DANRE26166, DANRE37432, DANRE37396, DANRE37457, DANRE37467, DANRE37447, DANRE37451, DANRE37448, DANRE37433, DANRE37458, DANRE37440, DANRE37415, DANRE37395	XENTR15011
OG0000043	DANRE00964	XENTR02820, XENTR17525, XENTR15026, XENTR16861, XENTR19244, XENTR15665, XENTR15670, XENTR16896, XENTR15671, XENTR16897, XENTR16572, XENTR16573, XENTR17993, XENTR15664
OG0000043	DANRE43265	XENTR13561, XENTR13559
OG0000044	DANRE20253, DANRE20252	XENTR08740
OG0000044	DANRE04869, DANRE04868, DANRE04870	XENTR08871
OG0000044	DANRE01471, DANRE01470, DANRE41195, DANRE41197, DANRE41200, DANRE41196, DANRE41199	XENTR02238
