Orthogroup	DANRE	BRALA
OG0000015	DANRE20436, DANRE20437, DANRE20438, DANRE04834, DANRE04833, DANRE36515, DANRE06150, DANRE04832, DANRE04831, DANRE20439, DANRE20441, DANRE20440, DANRE20520, DANRE36517, DANRE36516, DANRE06608, DANRE06609, DANRE06176, DANRE20442	BRALA22447
OG0000015	DANRE42903, DANRE42902, DANRE07145, DANRE07146, DANRE07144, DANRE33766, DANRE16271, DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692	BRALA18748, BRALA15755, BRALA03405, BRALA12137, BRALA14251, BRALA11669, BRALA11671, BRALA11672, BRALA13048, BRALA14342, BRALA19701, BRALA22042, BRALA22048, BRALA22438
OG0000016	DANRE38616, DANRE06628, DANRE06627, DANRE13366	BRALA00485
OG0000016	DANRE29900, DANRE29901, DANRE29903, DANRE29904, DANRE35774, DANRE03065, DANRE03064	BRALA32113, BRALA10406
OG0000016	DANRE35611	BRALA12120, BRALA09688
OG0000016	DANRE02012	BRALA24127
OG0000016	DANRE31212, DANRE31213, DANRE31211, DANRE25754, DANRE13449, DANRE13448, DANRE25751, DANRE25753	BRALA22170
OG0000018	DANRE24545, DANRE35342, DANRE25794, DANRE36083, DANRE25761, DANRE28032, DANRE14196, DANRE38851, DANRE22527, DANRE26621, DANRE11765, DANRE36195, DANRE03525, DANRE11263, DANRE14820, DANRE41490, DANRE37176, DANRE08199, DANRE24881, DANRE08547, DANRE40578, DANRE10138	BRALA25938, BRALA02443, BRALA07959, BRALA03388, BRALA27096, BRALA25561
OG0000018	DANRE31993, DANRE10860, DANRE34666, DANRE28525, DANRE06532, DANRE42745, DANRE25935, DANRE41823, DANRE28532, DANRE32198, DANRE23599, DANRE04161, DANRE11286, DANRE13094	BRALA27097, BRALA20530, BRALA30320, BRALA33187, BRALA27247, BRALA32183, BRALA17258, BRALA32989, BRALA30091, BRALA20808, BRALA24748, BRALA18020, BRALA23577, BRALA11468, BRALA26056, BRALA02824, BRALA06189, BRALA32094, BRALA32688, BRALA07025, BRALA20941, BRALA31799
OG0000018	DANRE13954, DANRE13946	BRALA29803, BRALA00712, BRALA26026, BRALA21060, BRALA29268, BRALA14856, BRALA33527, BRALA20529, BRALA31173, BRALA31798, BRALA31682, BRALA20809, BRALA22881, BRALA23260, BRALA10388, BRALA26529, BRALA24038, BRALA26479, BRALA10888, BRALA14857, BRALA26062, BRALA19814, BRALA25485
OG0000019	DANRE29946, DANRE21114	BRALA00002
OG0000019	DANRE41681	BRALA17788
OG0000019	DANRE39715, DANRE24632, DANRE24631, DANRE21113, DANRE21112, DANRE29948, DANRE29945, DANRE29947, DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869	BRALA00404, BRALA00405
OG0000020	DANRE03458	BRALA12010
OG0000020	DANRE10827, DANRE10826, DANRE10743	BRALA09135
OG0000020	DANRE37310	BRALA02483, BRALA23113
OG0000020	DANRE10670	BRALA28848
OG0000020	DANRE40536	BRALA18984
OG0000020	DANRE18650, DANRE10748	BRALA21902, BRALA16840
OG0000020	DANRE23011	BRALA05743, BRALA25854, BRALA14414
OG0000020	DANRE42755	BRALA16287
OG0000020	DANRE24424, DANRE24423, DANRE27995	BRALA09492, BRALA12060, BRALA03276, BRALA03275, BRALA15785, BRALA31112, BRALA12011, BRALA22630, BRALA11869
OG0000020	DANRE27624, DANRE27625	BRALA14062
OG0000020	DANRE27431, DANRE27432, DANRE27433	BRALA27392
OG0000020	DANRE06741, DANRE06740, DANRE15747	BRALA11912
OG0000020	DANRE18984	BRALA12599
OG0000020	DANRE27379	BRALA10628
OG0000021	DANRE01661, DANRE22424, DANRE31606, DANRE31605	BRALA18963
OG0000021	DANRE39722, DANRE22090, DANRE36686, DANRE36683, DANRE36685, DANRE36633, DANRE13240, DANRE13243, DANRE13242, DANRE13246, DANRE13245, DANRE13241, DANRE24996, DANRE01663, DANRE01662	BRALA18043
OG0000021	DANRE38577, DANRE08977, DANRE08978, DANRE08976	BRALA22428
OG0000021	DANRE08348, DANRE33679	BRALA30352
OG0000021	DANRE33712, DANRE33711, DANRE33342, DANRE33343	BRALA34639, BRALA31905
OG0000021	DANRE37717	BRALA06012
OG0000021	DANRE27401, DANRE27403, DANRE27400	BRALA20360, BRALA20164
OG0000021	DANRE20108	BRALA20364, BRALA11803, BRALA20363, BRALA20361
OG0000022	DANRE32684, DANRE31894, DANRE07504	BRALA26060
OG0000022	DANRE32187, DANRE31751, DANRE32295, DANRE32760	BRALA04372
OG0000023	DANRE19492, DANRE40604	BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062
OG0000023	DANRE27752, DANRE38057, DANRE39283, DANRE25540, DANRE36925, DANRE26382, DANRE26381, DANRE29650, DANRE29649, DANRE03181, DANRE19476, DANRE19477	BRALA25437
OG0000023	DANRE01757	BRALA29841, BRALA06984, BRALA06983
OG0000026	DANRE09875	BRALA11498
OG0000026	DANRE42258, DANRE07529	BRALA18399, BRALA07898, BRALA07900, BRALA07899, BRALA34641, BRALA22918
OG0000027	DANRE02909	BRALA15148, BRALA12240, BRALA23216, BRALA17841, BRALA12241, BRALA12239, BRALA32630, BRALA08245, BRALA08233, BRALA23546, BRALA24920, BRALA12814, BRALA00447, BRALA25835, BRALA13009, BRALA00483, BRALA00450, BRALA09026, BRALA26977, BRALA09028, BRALA03738, BRALA18788, BRALA11602, BRALA32150
OG0000028	DANRE06013	BRALA26965
OG0000028	DANRE08736, DANRE08737, DANRE20375	BRALA06262, BRALA06265, BRALA11957, BRALA28259, BRALA27261
OG0000028	DANRE07176, DANRE07177, DANRE15857, DANRE15856, DANRE09600, DANRE09601, DANRE13468	BRALA08537, BRALA08538, BRALA08539, BRALA08540, BRALA08541, BRALA08543, BRALA08542
OG0000028	DANRE13469, DANRE13470, DANRE15855, DANRE10772, DANRE17755, DANRE17756, DANRE02083	BRALA08547, BRALA15654
OG0000028	DANRE07180, DANRE07179, DANRE15853, DANRE35763	BRALA01199, BRALA17029, BRALA17030
OG0000028	DANRE39088, DANRE39089, DANRE24974, DANRE15851, DANRE15850, DANRE13964	BRALA08523
OG0000029	DANRE41268, DANRE41269, DANRE26531, DANRE01944	BRALA18593, BRALA15599, BRALA21105, BRALA06813, BRALA30989, BRALA00525, BRALA00526, BRALA00527, BRALA00523, BRALA00522, BRALA00528, BRALA09392, BRALA20510, BRALA08676
OG0000030	DANRE34589, DANRE34588	BRALA13442
OG0000030	DANRE16388, DANRE16389	BRALA12198
OG0000030	DANRE41079, DANRE41078	BRALA10449
OG0000030	DANRE08391	BRALA06142
OG0000031	DANRE20694	BRALA28310, BRALA01948, BRALA09437, BRALA32909, BRALA01946, BRALA12064, BRALA09438, BRALA01951, BRALA14885, BRALA09441, BRALA09439, BRALA32910, BRALA01947, BRALA01952, BRALA14882, BRALA23662, BRALA14883, BRALA19306, BRALA05713, BRALA17265, BRALA15256, BRALA15254, BRALA01977, BRALA22606
OG0000031	DANRE41496, DANRE35535, DANRE23155	BRALA04543
OG0000031	DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505	BRALA04547
OG0000031	DANRE13622, DANRE13623	BRALA04610
OG0000031	DANRE26516	BRALA13458
OG0000031	DANRE26019	BRALA05046
OG0000031	DANRE11621	BRALA16640
OG0000031	DANRE02768, DANRE23382	BRALA09408
OG0000031	DANRE20276, DANRE16190, DANRE42316	BRALA28311
OG0000032	DANRE24196, DANRE27892, DANRE27891	BRALA10240
OG0000032	DANRE22486, DANRE22485, DANRE22487, DANRE22488	BRALA11179, BRALA11177, BRALA09647
OG0000034	DANRE28945, DANRE28944, DANRE35039, DANRE35040, DANRE39926, DANRE00143, DANRE39455, DANRE35041	BRALA27570
OG0000034	DANRE29516, DANRE29515, DANRE12957, DANRE25460, DANRE31029, DANRE31030, DANRE23009, DANRE23010, DANRE02357	BRALA08751
OG0000034	DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947	BRALA08901, BRALA03079
OG0000034	DANRE14484, DANRE09880, DANRE38036	BRALA17580
OG0000034	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613	BRALA08885
OG0000034	DANRE04100	BRALA23966, BRALA06594
OG0000034	DANRE25182	BRALA02412
OG0000035	DANRE23313	BRALA21367, BRALA35402
OG0000035	DANRE31052, DANRE25078, DANRE12998, DANRE12997	BRALA13921
OG0000035	DANRE29644, DANRE29645, DANRE13480, DANRE13479, DANRE12467, DANRE12466, DANRE30988	BRALA29588
OG0000035	DANRE36852, DANRE22281, DANRE12942, DANRE38472, DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758, DANRE30761	BRALA13915, BRALA22877
OG0000035	DANRE38222, DANRE38223, DANRE12948	BRALA13917
OG0000036	DANRE37867, DANRE38271, DANRE14697	BRALA03126, BRALA19967
OG0000036	DANRE25335	BRALA22400
OG0000036	DANRE27775, DANRE38068, DANRE26145, DANRE38623	BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181
OG0000036	DANRE07186, DANRE30853	BRALA31321, BRALA06755, BRALA06753, BRALA18345
OG0000036	DANRE11991, DANRE38630	BRALA22402, BRALA22404
OG0000037	DANRE11959, DANRE17549, DANRE11958, DANRE11635, DANRE11634, DANRE17282, DANRE17582, DANRE10717, DANRE10716, DANRE06286, DANRE06287	BRALA22282
OG0000037	DANRE03950, DANRE03951, DANRE05592, DANRE05591, DANRE37805, DANRE37804, DANRE13383	BRALA22275
OG0000037	DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607	BRALA16015
OG0000037	DANRE11315	BRALA16388
OG0000038	DANRE23401	BRALA15513, BRALA22708, BRALA13194
OG0000038	DANRE41584	BRALA19648, BRALA18077, BRALA04779
OG0000038	DANRE15348	BRALA27417
OG0000039	DANRE38069, DANRE38070	BRALA01170, BRALA17648, BRALA19632, BRALA19635
OG0000039	DANRE09344	BRALA19542
OG0000040	DANRE30036	BRALA35825, BRALA27751
OG0000040	DANRE30032, DANRE30031, DANRE30033, DANRE30029, DANRE30030, DANRE30035, DANRE30034, DANRE17230	BRALA11729, BRALA05958, BRALA30125, BRALA25190, BRALA05957, BRALA05956, BRALA24498, BRALA28368, BRALA17917, BRALA31975, BRALA14369, BRALA25635, BRALA14529, BRALA07729, BRALA29177, BRALA06759, BRALA31556, BRALA17916, BRALA33438, BRALA30900, BRALA15606
OG0000041	DANRE29492	BRALA35158
OG0000041	DANRE36805, DANRE27215, DANRE24076, DANRE27216, DANRE05493, DANRE05492, DANRE18224, DANRE05473, DANRE36043, DANRE17635	BRALA27215
OG0000042	DANRE42454, DANRE42453, DANRE42455, DANRE08533, DANRE08529, DANRE08530, DANRE08535, DANRE08531, DANRE08532, DANRE08528, DANRE08534, DANRE08536, DANRE23872, DANRE23873, DANRE23870, DANRE23868, DANRE23869, DANRE23871, DANRE23875, DANRE23874	BRALA27880, BRALA05311, BRALA25919, BRALA28670, BRALA19166, BRALA23184, BRALA28669, BRALA16191, BRALA25918, BRALA30415, BRALA29610, BRALA04826, BRALA22020, BRALA21500, BRALA22237, BRALA26652
OG0000043	DANRE43265	BRALA09159
OG0000044	DANRE05244, DANRE05245	BRALA27747
OG0000044	DANRE13593	BRALA34838
OG0000045	DANRE38824	BRALA29043, BRALA32667
OG0000045	DANRE00498, DANRE00497, DANRE34860, DANRE34861	BRALA19490, BRALA19482
OG0000045	DANRE05823	BRALA00168, BRALA00164
OG0000045	DANRE28069, DANRE28068	BRALA00181
OG0000046	DANRE15742	BRALA28946
OG0000046	DANRE20292, DANRE09276, DANRE42278, DANRE42280, DANRE42172, DANRE42168, DANRE42170, DANRE42174, DANRE42171, DANRE42169, DANRE42167, DANRE42279, DANRE42166, DANRE42173, DANRE42277, DANRE09606, DANRE09605	BRALA00828, BRALA17402, BRALA17400
OG0000048	DANRE16164, DANRE16166, DANRE16167, DANRE16163	BRALA08224
OG0000048	DANRE19398	BRALA06772
OG0000048	DANRE08311	BRALA28757
OG0000048	DANRE14945, DANRE10170, DANRE10169	BRALA17823, BRALA17828, BRALA17827, BRALA14637, BRALA17826, BRALA20466, BRALA05845, BRALA13397, BRALA31649, BRALA31651, BRALA13408, BRALA13407
OG0000048	DANRE17556, DANRE05472	BRALA10830
OG0000048	DANRE26183	BRALA03524
OG0000049	DANRE18176, DANRE10819, DANRE00818, DANRE08853, DANRE08855, DANRE08854	BRALA08950, BRALA08951
OG0000049	DANRE36715, DANRE36714, DANRE02678, DANRE12445	BRALA15334
OG0000049	DANRE22104, DANRE39773, DANRE39775, DANRE39774, DANRE02437, DANRE02436, DANRE36818, DANRE36819, DANRE30745, DANRE25833	BRALA15336, BRALA15335
OG0000049	DANRE30744	BRALA16919, BRALA35874, BRALA15337
OG0000050	DANRE32914	BRALA35714
OG0000050	DANRE05388, DANRE16154, DANRE21370, DANRE14263, DANRE25768, DANRE00430, DANRE32860, DANRE42655, DANRE31654, DANRE32311, DANRE20964	BRALA21077
OG0000050	DANRE33098, DANRE32869, DANRE33097, DANRE32870	BRALA28793, BRALA27960, BRALA31232, BRALA08623, BRALA31915, BRALA10559
OG0000051	DANRE04454, DANRE04455, DANRE04456, DANRE04458, DANRE04457	BRALA22978, BRALA25416
OG0000053	DANRE17521	BRALA16213, BRALA07330
OG0000054	DANRE06791, DANRE15743	BRALA02118
OG0000054	DANRE09041, DANRE09042	BRALA12332, BRALA22995, BRALA22164, BRALA21314, BRALA18426, BRALA25220, BRALA21960, BRALA06303, BRALA29468, BRALA09095, BRALA20505, BRALA23115, BRALA28620, BRALA24808, BRALA15699, BRALA01267, BRALA17804, BRALA17806, BRALA00882, BRALA05257
OG0000055	DANRE00963	BRALA13087
OG0000055	DANRE26046, DANRE37399	BRALA31408
OG0000056	DANRE01913, DANRE01914, DANRE39460, DANRE39459, DANRE15877, DANRE15878, DANRE15879, DANRE39458, DANRE26297	BRALA00682
OG0000056	DANRE40924, DANRE40923	BRALA21309
OG0000057	DANRE01491, DANRE01492, DANRE34768, DANRE34769, DANRE25607, DANRE38933	BRALA05192, BRALA22206, BRALA11691, BRALA27516, BRALA21236
OG0000058	DANRE01466, DANRE01467	BRALA24063
OG0000058	DANRE03528	BRALA06324
OG0000058	DANRE15450	BRALA14300, BRALA24917, BRALA27306
OG0000058	DANRE15130, DANRE18090, DANRE05159, DANRE10661, DANRE16833, DANRE17579, DANRE25419, DANRE25420, DANRE03527	BRALA25998, BRALA27305, BRALA06328, BRALA03972, BRALA06644, BRALA08742, BRALA24463, BRALA24460
OG0000058	DANRE30014, DANRE15447	BRALA11173, BRALA06327
OG0000059	DANRE15544, DANRE15545, DANRE15546, DANRE20191, DANRE20192, DANRE20189, DANRE15547, DANRE20190, DANRE08539, DANRE00843	BRALA13206
OG0000059	DANRE23878, DANRE23877, DANRE23876	BRALA11568
OG0000059	DANRE19797, DANRE19798, DANRE19796, DANRE13287, DANRE06156, DANRE06155, DANRE06072, DANRE06071, DANRE00651	BRALA19963, BRALA20366
OG0000060	DANRE15035, DANRE15034, DANRE05268	BRALA01718
OG0000061	DANRE42668, DANRE35791, DANRE35790, DANRE14876, DANRE23684	BRALA07400
OG0000061	DANRE21357, DANRE21356, DANRE21355, DANRE42236, DANRE42238, DANRE42237, DANRE03323, DANRE26316, DANRE26315	BRALA23690, BRALA23691, BRALA23692, BRALA33700, BRALA14844
OG0000061	DANRE16979, DANRE30135, DANRE08363, DANRE08364, DANRE41399, DANRE24234, DANRE26883, DANRE26882, DANRE28200, DANRE36395, DANRE36396, DANRE36397, DANRE03215, DANRE23525, DANRE23526, DANRE28197, DANRE28196, DANRE28198, DANRE28195, DANRE28199, DANRE28194, DANRE28193, DANRE36398, DANRE24481, DANRE24482	BRALA22663, BRALA26552, BRALA22659, BRALA26551, BRALA26563
OG0000061	DANRE26341, DANRE29170	BRALA09017, BRALA07401, BRALA14793, BRALA14792
OG0000062	DANRE08107, DANRE08104, DANRE08105, DANRE08102, DANRE08103, DANRE08106, DANRE08101, DANRE08100, DANRE28562, DANRE28568, DANRE28566, DANRE28565, DANRE28573, DANRE28574, DANRE28576, DANRE28571, DANRE28572, DANRE28569, DANRE28442, DANRE28441, DANRE28577, DANRE28578, DANRE43388, DANRE28579, DANRE28570	BRALA21141, BRALA30349, BRALA21142
OG0000062	DANRE18807, DANRE18806	BRALA31607
OG0000063	DANRE15770	BRALA00957
OG0000063	DANRE36896	BRALA01330
OG0000063	DANRE19500, DANRE19501, DANRE11531, DANRE11532, DANRE04204, DANRE04205	BRALA04998, BRALA01208, BRALA05262, BRALA05245, BRALA05098, BRALA01012, BRALA05297
OG0000066	DANRE40339, DANRE40338, DANRE40337, DANRE40336	BRALA25733
OG0000067	DANRE18991	BRALA20114, BRALA23146, BRALA20125, BRALA07853, BRALA09449
OG0000067	DANRE05059, DANRE06045, DANRE20513, DANRE39179	BRALA35634, BRALA09451
OG0000068	DANRE39760, DANRE39761, DANRE22550, DANRE22548, DANRE36056, DANRE22549, DANRE22547, DANRE39762, DANRE25132, DANRE31207, DANRE31206, DANRE31205, DANRE41310, DANRE31358, DANRE31357	BRALA17343
