Orthogroup	DANRE	DROME
OG0000014	DANRE37898, DANRE35206, DANRE12526, DANRE12528, DANRE12527, DANRE40509, DANRE36844, DANRE43146, DANRE22544, DANRE03629, DANRE29858, DANRE04027, DANRE04029, DANRE04028, DANRE30100, DANRE03816, DANRE11299, DANRE03520, DANRE40391	DROME05409, DROME03987
OG0000014	DANRE17251, DANRE43403	DROME14595, DROME14594
OG0000015	DANRE11101, DANRE11100, DANRE17308, DANRE17307, DANRE17306, DANRE17304, DANRE17305, DANRE12114, DANRE24410, DANRE01122, DANRE24409	DROME20983
OG0000015	DANRE20436, DANRE20437, DANRE20438, DANRE04834, DANRE04833, DANRE36515, DANRE06150, DANRE04832, DANRE04831, DANRE20439, DANRE20441, DANRE20440, DANRE20520, DANRE36517, DANRE36516, DANRE06608, DANRE06609, DANRE06176, DANRE20442	DROME11913, DROME20981, DROME20982
OG0000015	DANRE42903, DANRE42902, DANRE07145, DANRE07146, DANRE07144, DANRE33766, DANRE16271, DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692	DROME15824, DROME15834, DROME15829, DROME15825, DROME15826, DROME15832, DROME15828, DROME15833, DROME15830, DROME15827, DROME15831
OG0000016	DANRE29900, DANRE29901, DANRE29903, DANRE29904, DANRE35774, DANRE03065, DANRE03064, DANRE04448	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425
OG0000016	DANRE35611	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589
OG0000016	DANRE02012	DROME01609
OG0000019	DANRE29946, DANRE21114, DANRE41681	DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290
OG0000020	DANRE10827, DANRE10826, DANRE10743	DROME22108
OG0000020	DANRE10670	DROME02490
OG0000020	DANRE27431, DANRE27432, DANRE27433	DROME11466, DROME11467
OG0000020	DANRE06741, DANRE06740, DANRE15747	DROME19890, DROME19889, DROME19888, DROME19891
OG0000020	DANRE22958, DANRE22959	DROME07045, DROME07043, DROME07044, DROME07042
OG0000020	DANRE06663, DANRE06664, DANRE15816	DROME03151, DROME03150
OG0000020	DANRE27379	DROME14454, DROME14455
OG0000021	DANRE01661, DANRE22424, DANRE31606, DANRE31605	DROME18320, DROME18321
OG0000021	DANRE08348, DANRE33679	DROME08269
OG0000021	DANRE33712, DANRE33711, DANRE33342, DANRE33343	DROME00802, DROME00801
OG0000021	DANRE37717, DANRE02277	DROME08091
OG0000021	DANRE20108	DROME01446, DROME01445, DROME04932, DROME10331, DROME19246
OG0000023	DANRE19492, DANRE40604, DANRE27752, DANRE38057, DANRE39283, DANRE25540, DANRE36925, DANRE26382, DANRE26381, DANRE29650, DANRE29649, DANRE03181, DANRE19476, DANRE19477	DROME04919, DROME04917, DROME04918
OG0000028	DANRE07178	DROME09421
OG0000028	DANRE07176, DANRE07177, DANRE15857, DANRE15856, DANRE09600, DANRE09601, DANRE13468, DANRE13469, DANRE13470, DANRE15855, DANRE10772, DANRE17755, DANRE17756, DANRE02083, DANRE07180, DANRE07179, DANRE15853, DANRE35763	DROME09420, DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818
OG0000028	DANRE39088, DANRE39089, DANRE24974, DANRE15851, DANRE15850, DANRE13964	DROME01857, DROME01860, DROME01861, DROME01859, DROME01862, DROME01858, DROME21647, DROME21646, DROME02664
OG0000030	DANRE34589, DANRE34588	DROME12966
OG0000030	DANRE14546, DANRE09884, DANRE09883, DANRE34902	DROME15149
OG0000030	DANRE41079, DANRE41078	DROME06898
OG0000030	DANRE08391	DROME12965
OG0000031	DANRE41496, DANRE35535, DANRE23155	DROME19945
OG0000031	DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505	DROME19947, DROME19946, DROME19949, DROME19948
OG0000031	DANRE20276, DANRE16190, DANRE42316	DROME09230
OG0000031	DANRE27399, DANRE21472, DANRE14252, DANRE16189, DANRE42315, DANRE15746	DROME05246
OG0000032	DANRE30726, DANRE30725, DANRE33206, DANRE33207, DANRE33205, DANRE33204, DANRE33199, DANRE32929, DANRE32926, DANRE32927, DANRE33203, DANRE33202, DANRE32928, DANRE33200, DANRE33201, DANRE36261, DANRE20344, DANRE20343, DANRE12884, DANRE39037	DROME02386
OG0000032	DANRE22486, DANRE22485, DANRE22487, DANRE22488	DROME01213
OG0000034	DANRE28945, DANRE28944, DANRE35039, DANRE35040, DANRE39926, DANRE00143, DANRE39455, DANRE35041	DROME20092, DROME20090, DROME20091
OG0000034	DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489
OG0000034	DANRE14484, DANRE09880, DANRE38036	DROME13496
OG0000034	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613	DROME18268, DROME18267, DROME18266, DROME18269
OG0000034	DANRE25182	DROME20524
OG0000035	DANRE23313	DROME05348, DROME01725, DROME03666, DROME01724
OG0000035	DANRE29644, DANRE29645, DANRE13480, DANRE13479, DANRE12467, DANRE12466, DANRE30988	DROME19358, DROME19359
OG0000035	DANRE36852, DANRE22281, DANRE12942, DANRE38472, DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758, DANRE30761	DROME17164, DROME17163
OG0000035	DANRE12947, DANRE38221	DROME10260
OG0000036	DANRE25335, DANRE27775, DANRE38068, DANRE26145, DANRE38623	DROME18108, DROME18109, DROME02324, DROME17378, DROME11305
OG0000036	DANRE11991, DANRE38630	DROME20717, DROME20716, DROME20719, DROME20718
OG0000037	DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607	DROME13887, DROME14759, DROME14760
OG0000037	DANRE11315	DROME08695, DROME15640, DROME04516
OG0000038	DANRE15348	DROME13993
OG0000039	DANRE09344	DROME03375, DROME03374, DROME03372, DROME03373
OG0000040	DANRE12493, DANRE12492, DANRE30036, DANRE30032, DANRE30031, DANRE30033, DANRE30029, DANRE30030, DANRE30035, DANRE30034, DANRE17230	DROME01030, DROME01029, DROME06128, DROME06129, DROME06133, DROME06131, DROME06130, DROME17442, DROME06135, DROME06134, DROME06132, DROME04118, DROME04166, DROME06136, DROME06127, DROME04612, DROME04613, DROME16427, DROME07802, DROME14818, DROME05485, DROME04044, DROME05484, DROME05486, DROME21878, DROME14539, DROME04205, DROME04204, DROME05671, DROME08331
OG0000041	DANRE24726, DANRE30701	DROME01788, DROME01789
OG0000041	DANRE29492	DROME21438, DROME21440, DROME21441, DROME21439, DROME21435, DROME21437, DROME21436, DROME21444, DROME21442, DROME21443, DROME21445
OG0000041	DANRE36805, DANRE27215, DANRE24076, DANRE27216	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069
OG0000044	DANRE06946, DANRE06947, DANRE06457, DANRE17818, DANRE24284, DANRE24283, DANRE24280	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576
OG0000044	DANRE05244, DANRE05245	DROME03638
OG0000048	DANRE16164, DANRE16166, DANRE16167, DANRE16163	DROME07309
OG0000048	DANRE19398	DROME15626, DROME15625
OG0000048	DANRE24176, DANRE24175, DANRE27247, DANRE27248, DANRE24174, DANRE24603, DANRE05500, DANRE08311, DANRE38354, DANRE14945, DANRE10170, DANRE10169	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389
OG0000048	DANRE26183	DROME01500
OG0000049	DANRE30744	DROME18357, DROME18359, DROME18358
OG0000054	DANRE06791, DANRE15743	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360
OG0000054	DANRE09041, DANRE09042, DANRE04360	DROME21992
OG0000055	DANRE24633, DANRE26054, DANRE39498, DANRE26047, DANRE26089, DANRE26053, DANRE39510, DANRE39505, DANRE39493, DANRE39490, DANRE26176, DANRE37402, DANRE26086, DANRE26057, DANRE26058, DANRE26171, DANRE26168, DANRE37434, DANRE37411, DANRE37465, DANRE37408, DANRE37417, DANRE37462, DANRE37455, DANRE37449, DANRE37437, DANRE37430, DANRE37398, DANRE26061, DANRE26102, DANRE00963, DANRE26066, DANRE26162, DANRE26083, DANRE26079, DANRE26046, DANRE37399, DANRE26075	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677
OG0000056	DANRE30239	DROME04626, DROME04628, DROME04625, DROME04627, DROME04623, DROME04624
OG0000058	DANRE17254	DROME06565
OG0000058	DANRE01466, DANRE01467	DROME14598
OG0000058	DANRE15130, DANRE18090, DANRE05159, DANRE10661, DANRE16833, DANRE17579, DANRE25419, DANRE25420, DANRE03527	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731
OG0000061	DANRE42668, DANRE35791, DANRE35790, DANRE14876, DANRE23684	DROME05786, DROME05785, DROME05787, DROME20453
OG0000061	DANRE26341, DANRE29170	DROME05579, DROME05580, DROME06033
OG0000062	DANRE18807, DANRE18806	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444
OG0000063	DANRE20941, DANRE20940, DANRE20939, DANRE43110, DANRE15766, DANRE15767, DANRE15768, DANRE15769, DANRE26798, DANRE26796, DANRE26797, DANRE35514, DANRE35513	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406
OG0000063	DANRE30783, DANRE30785, DANRE30782, DANRE01805, DANRE01806, DANRE36784, DANRE36785	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707
OG0000063	DANRE21781	DROME10983, DROME10982
OG0000065	DANRE33929, DANRE19442, DANRE11091, DANRE13549, DANRE13808, DANRE13807, DANRE30234, DANRE30232, DANRE30233, DANRE39633, DANRE39634, DANRE39641, DANRE39631, DANRE39632, DANRE39635, DANRE39637, DANRE39636, DANRE39638, DANRE39908	DROME22058
OG0000068	DANRE39760, DANRE39761, DANRE22550, DANRE22548, DANRE36056, DANRE22549, DANRE22547, DANRE39762, DANRE25132, DANRE31207, DANRE31206, DANRE31205, DANRE41310, DANRE31358, DANRE31357	DROME18366, DROME18368, DROME18367
OG0000068	DANRE22551	DROME18209
OG0000069	DANRE26091	DROME03713
OG0000069	DANRE37466	DROME03782
OG0000069	DANRE37428, DANRE26098	DROME03778
OG0000069	DANRE26154	DROME03748
OG0000069	DANRE26088	DROME03680
OG0000069	DANRE26077, DANRE26160, DANRE39502, DANRE39507, DANRE39496, DANRE39492, DANRE37450, DANRE26173, DANRE26170, DANRE26153, DANRE26152	DROME03689, DROME03743, DROME03723, DROME03773
OG0000069	DANRE24751, DANRE34404, DANRE30153, DANRE08957, DANRE08956	DROME19859
OG0000069	DANRE37416	DROME03718
OG0000069	DANRE37404	DROME03758, DROME03753
OG0000070	DANRE18387, DANRE02540	DROME04028, DROME04029, DROME06783
OG0000071	DANRE01478	DROME21550, DROME16775, DROME16543, DROME02809, DROME02810, DROME02811, DROME02814, DROME02808, DROME02812
OG0000072	DANRE06708, DANRE15716, DANRE15720, DANRE15719, DANRE15717, DANRE15718, DANRE06793, DANRE06794, DANRE06795, DANRE06796, DANRE08770, DANRE08769, DANRE00814, DANRE00815	DROME12247, DROME12248
OG0000072	DANRE15952, DANRE15953, DANRE00858, DANRE00856, DANRE00857, DANRE08517	DROME00154
OG0000072	DANRE08498, DANRE08497, DANRE06006	DROME00750
OG0000074	DANRE30953, DANRE23378	DROME03014
OG0000075	DANRE41686, DANRE41687, DANRE35873, DANRE35872	DROME01374
OG0000075	DANRE23134, DANRE23133	DROME01373
OG0000075	DANRE41688, DANRE23132	DROME01375
OG0000075	DANRE24998, DANRE31372, DANRE31373, DANRE22408, DANRE02483	DROME04883, DROME04882
OG0000077	DANRE01477, DANRE40866, DANRE22036, DANRE06030, DANRE20156, DANRE16358	DROME15696, DROME15698, DROME15697
OG0000077	DANRE11696, DANRE11492, DANRE16170, DANRE41853, DANRE41854, DANRE17386, DANRE40644, DANRE19656, DANRE19657	DROME07079, DROME07077, DROME07078
OG0000078	DANRE36849	DROME08886, DROME17179, DROME17177, DROME17181, DROME19588, DROME14308, DROME18161, DROME07301, DROME20111
OG0000079	DANRE41428, DANRE41431, DANRE41432, DANRE41429, DANRE41430, DANRE23441, DANRE01701, DANRE07129, DANRE07131, DANRE06662	DROME14752
OG0000079	DANRE00163, DANRE00164, DANRE00165, DANRE19082, DANRE19083, DANRE06228, DANRE06227, DANRE06226, DANRE06225, DANRE06229	DROME14749, DROME14748, DROME14747, DROME14750
OG0000079	DANRE08425, DANRE08424, DANRE08423, DANRE08420, DANRE08416, DANRE08419, DANRE08415, DANRE01231, DANRE01230, DANRE08421, DANRE08418, DANRE08422, DANRE40812, DANRE40811, DANRE40809, DANRE40810, DANRE33381, DANRE40813	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810
OG0000079	DANRE01827, DANRE01825, DANRE01824, DANRE01826	DROME01298
OG0000082	DANRE33308	DROME20298
OG0000082	DANRE06377	DROME05998
OG0000082	DANRE29360, DANRE29355, DANRE39683, DANRE29357, DANRE40398, DANRE00971, DANRE00969, DANRE00972, DANRE00973, DANRE08030, DANRE08710	DROME11174, DROME11173, DROME15008
OG0000083	DANRE01056, DANRE08510, DANRE34355, DANRE07334, DANRE07333	DROME17112
OG0000084	DANRE07814, DANRE11583, DANRE40782, DANRE01412, DANRE01413, DANRE15534, DANRE15533, DANRE15962, DANRE15961, DANRE06459	DROME13292, DROME13291, DROME13289, DROME13290
OG0000084	DANRE16406, DANRE16407, DANRE16782, DANRE23641, DANRE34043, DANRE34042, DANRE01545, DANRE05120	DROME14181, DROME14182, DROME17832, DROME17834, DROME17833
OG0000085	DANRE34010, DANRE34949, DANRE08303, DANRE08302, DANRE35408	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133
OG0000085	DANRE03156	DROME10293, DROME10294, DROME10289, DROME10292
OG0000085	DANRE10316	DROME00999, DROME00998, DROME01000
OG0000085	DANRE33578, DANRE33579	DROME19740
OG0000085	DANRE14204, DANRE04562, DANRE35677, DANRE35678	DROME10832, DROME10831
OG0000086	DANRE07765	DROME14954
OG0000087	DANRE37955	DROME22088
OG0000087	DANRE15847, DANRE15848	DROME21450
OG0000087	DANRE42135	DROME03097
OG0000087	DANRE22805, DANRE22804	DROME08842
OG0000087	DANRE24820, DANRE24821, DANRE42134	DROME09495
OG0000088	DANRE05341, DANRE04380, DANRE25416, DANRE12560, DANRE26544, DANRE23867, DANRE36501, DANRE26035	DROME01198, DROME01197
OG0000089	DANRE18392	DROME18066, DROME18069, DROME12817
OG0000090	DANRE14575, DANRE14574, DANRE08600, DANRE08601	DROME02752
OG0000090	DANRE14775, DANRE14776	DROME16241, DROME16240, DROME16239
OG0000091	DANRE19328, DANRE19327, DANRE19329	DROME20804
OG0000094	DANRE20667, DANRE20666, DANRE40451, DANRE31445, DANRE31446, DANRE02712, DANRE02711, DANRE02713, DANRE41259, DANRE40961, DANRE40960, DANRE40286	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879
OG0000094	DANRE26291, DANRE26290, DANRE39959, DANRE39958, DANRE34093, DANRE34091, DANRE34092, DANRE34090, DANRE34094, DANRE34095, DANRE19459, DANRE19458, DANRE39957, DANRE29718, DANRE29719, DANRE29717, DANRE02593, DANRE02592, DANRE02591	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341
OG0000095	DANRE25494, DANRE25495, DANRE25572, DANRE25573, DANRE24186, DANRE24187, DANRE16081, DANRE16080, DANRE23856, DANRE23855, DANRE15358	DROME01849, DROME01848, DROME04475, DROME16555, DROME16554, DROME01436, DROME01437, DROME05668, DROME09771
OG0000096	DANRE06854, DANRE41409, DANRE15329, DANRE13475	DROME08195, DROME08196
OG0000096	DANRE40526, DANRE02165, DANRE31394, DANRE31393	DROME08870
OG0000096	DANRE36045, DANRE24893	DROME13163
OG0000096	DANRE14485	DROME06400
OG0000096	DANRE25948, DANRE29004, DANRE39826, DANRE25796, DANRE38945, DANRE38946, DANRE38947	DROME13915
OG0000096	DANRE38250, DANRE38251, DANRE29625, DANRE29623	DROME09341
OG0000098	DANRE43096, DANRE26020, DANRE38317, DANRE38316, DANRE38318, DANRE26021, DANRE38315, DANRE33952, DANRE33953	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214
OG0000099	DANRE07078, DANRE07079, DANRE15828, DANRE15826, DANRE15825, DANRE07080, DANRE33824, DANRE06396, DANRE06395, DANRE19734, DANRE08890, DANRE19931, DANRE19932, DANRE07026, DANRE19933	DROME10335, DROME10334, DROME09743
OG0000099	DANRE09030, DANRE08830, DANRE08829, DANRE00831, DANRE00829	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996
OG0000100	DANRE36081, DANRE36082, DANRE31960, DANRE06447, DANRE35571, DANRE40178, DANRE28402	DROME10813
OG0000101	DANRE12070, DANRE23836	DROME05458
OG0000103	DANRE24869, DANRE20613, DANRE20612, DANRE20614, DANRE36648, DANRE36647, DANRE34239, DANRE34238, DANRE34235, DANRE34231, DANRE34230, DANRE34229, DANRE34233, DANRE18924, DANRE24870, DANRE24865, DANRE24863, DANRE24862, DANRE24866, DANRE24867, DANRE13569, DANRE27032, DANRE27033, DANRE02398, DANRE02397, DANRE22772	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989
OG0000103	DANRE09436, DANRE09435, DANRE35623, DANRE35622, DANRE29899, DANRE29898, DANRE35659, DANRE28633, DANRE28634, DANRE35632, DANRE35633	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439
OG0000104	DANRE13410, DANRE13408, DANRE13409, DANRE13411, DANRE00019, DANRE00018, DANRE10295, DANRE10293, DANRE10294, DANRE10296	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670
OG0000104	DANRE08585, DANRE42030, DANRE42031, DANRE42032, DANRE42033, DANRE35890, DANRE03855	DROME16895, DROME16894
OG0000104	DANRE10292, DANRE00020, DANRE00021, DANRE13407	DROME16546, DROME16548, DROME16547, DROME16549
OG0000104	DANRE42503, DANRE42504	DROME17321, DROME17322
OG0000106	DANRE38871, DANRE25336, DANRE25339, DANRE25338, DANRE25337, DANRE27190, DANRE24604	DROME02609
OG0000106	DANRE20129, DANRE07885, DANRE33300, DANRE03190, DANRE03191, DANRE00217, DANRE00219, DANRE00218, DANRE09198, DANRE09199, DANRE25823, DANRE25822	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895
OG0000107	DANRE37418	DROME03683, DROME03679, DROME03732, DROME03722, DROME03762, DROME03717, DROME03767, DROME03727, DROME03772, DROME03712, DROME03702, DROME03707, DROME03737, DROME03674, DROME03692, DROME03697, DROME03688, DROME03742, DROME14911, DROME03777, DROME03747, DROME03757, DROME03752
OG0000110	DANRE11747, DANRE11748, DANRE11749	DROME04794, DROME04795, DROME04798, DROME11669, DROME11670, DROME20727
OG0000111	DANRE28794, DANRE28795, DANRE29459, DANRE35452, DANRE03091, DANRE30573, DANRE03092, DANRE10905, DANRE37814, DANRE33816, DANRE23242, DANRE23244, DANRE22511, DANRE22510, DANRE27257, DANRE10084, DANRE10085, DANRE14209, DANRE14210, DANRE05147, DANRE23243, DANRE22509	DROME11971, DROME11972, DROME11973, DROME11975
OG0000113	DANRE34599, DANRE36419, DANRE36418, DANRE36417, DANRE36416, DANRE36415, DANRE31222, DANRE31221	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762
OG0000114	DANRE05297, DANRE16133, DANRE16132, DANRE00562, DANRE00564, DANRE00563, DANRE02256, DANRE02257, DANRE36669, DANRE33480, DANRE33482, DANRE33481, DANRE22942	DROME04013, DROME04512, DROME04513
OG0000116	DANRE10733	DROME05231
OG0000117	DANRE35421	DROME17123
OG0000119	DANRE16116, DANRE16117, DANRE41481, DANRE41482, DANRE41480, DANRE07182, DANRE07181, DANRE29831, DANRE03249	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501
OG0000119	DANRE41697, DANRE23346, DANRE23347, DANRE09855, DANRE09856, DANRE09854, DANRE29168, DANRE29167	DROME21220, DROME21219
OG0000119	DANRE42690, DANRE42691, DANRE05898	DROME06207, DROME06208, DROME08017, DROME06209
OG0000120	DANRE42098, DANRE42099, DANRE05859, DANRE31252, DANRE36609	DROME00677, DROME00672, DROME00674, DROME00673, DROME00671, DROME00670
OG0000121	DANRE15722, DANRE15721, DANRE15724, DANRE15723, DANRE06168, DANRE03946	DROME17781, DROME08015
OG0000121	DANRE19289, DANRE19290	DROME15292
OG0000121	DANRE23017	DROME10532
OG0000122	DANRE03356, DANRE03355, DANRE29132, DANRE27353, DANRE24610, DANRE24611, DANRE42733	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476
OG0000122	DANRE34039, DANRE34040, DANRE34038, DANRE01547, DANRE01546, DANRE19221, DANRE19220, DANRE34744, DANRE34745, DANRE10319, DANRE10318, DANRE01945, DANRE01946, DANRE42812, DANRE36612, DANRE42813	DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364
OG0000124	DANRE20113, DANRE34367, DANRE06378, DANRE08738	DROME17463
