Orthogroup	DANRE	MOUSE
OG0000005	DANRE11253, DANRE11252, DANRE11254, DANRE11251, DANRE11250, DANRE02588	MOUSE18207
OG0000005	DANRE20012, DANRE20011, DANRE20010	MOUSE20384, MOUSE20383
OG0000005	DANRE20517, DANRE20518	MOUSE20203
OG0000005	DANRE17265, DANRE14948, DANRE27010, DANRE24204	MOUSE53215, MOUSE53214
OG0000005	DANRE18558	MOUSE16622, MOUSE16621
OG0000005	DANRE10777	MOUSE16620
OG0000005	DANRE11160	MOUSE30956, MOUSE30955, MOUSE30957
OG0000006	DANRE02891	MOUSE11220
OG0000006	DANRE35529, DANRE26614, DANRE26613	MOUSE33561, MOUSE33562
OG0000006	DANRE06496, DANRE06495	MOUSE36359
OG0000006	DANRE06497	MOUSE36360
OG0000006	DANRE08940	MOUSE45321
OG0000006	DANRE07561, DANRE07562	MOUSE29952, MOUSE29953
OG0000006	DANRE07564	MOUSE29955
OG0000006	DANRE18291, DANRE26970, DANRE26971, DANRE18292	MOUSE24072, MOUSE24070, MOUSE24071
OG0000006	DANRE20396, DANRE24336	MOUSE54497
OG0000006	DANRE40393	MOUSE31158
OG0000006	DANRE12604	MOUSE02096, MOUSE02095, MOUSE02097
OG0000006	DANRE38227, DANRE13192, DANRE13191	MOUSE27112, MOUSE27111
OG0000006	DANRE11213, DANRE11212	MOUSE28165
OG0000006	DANRE11601	MOUSE07632, MOUSE07631
OG0000006	DANRE30064, DANRE15483	MOUSE38532, MOUSE38531
OG0000006	DANRE19266, DANRE19265, DANRE34833, DANRE34834	MOUSE10280
OG0000006	DANRE05395	MOUSE11440, MOUSE11438, MOUSE11439
OG0000006	DANRE20981, DANRE28318, DANRE19321	MOUSE19675
OG0000006	DANRE07087, DANRE07088	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501
OG0000006	DANRE04631, DANRE04632	MOUSE21233, MOUSE21234
OG0000006	DANRE20580	MOUSE09568, MOUSE09567
OG0000006	DANRE11156	MOUSE08011
OG0000006	DANRE11155	MOUSE15296
OG0000006	DANRE11849	MOUSE11795, MOUSE11796
OG0000006	DANRE11850	MOUSE11797
OG0000006	DANRE16704, DANRE11329	MOUSE02988, MOUSE02987
OG0000006	DANRE04654, DANRE04655	MOUSE03398
OG0000006	DANRE35252	MOUSE04696
OG0000007	DANRE26275	MOUSE09063
OG0000007	DANRE17982	MOUSE49748
OG0000007	DANRE38320, DANRE26009	MOUSE51845
OG0000007	DANRE40798, DANRE40799	MOUSE20686
OG0000007	DANRE13390	MOUSE42742
OG0000007	DANRE11787, DANRE11788	MOUSE28113, MOUSE28115, MOUSE28114
OG0000007	DANRE10909, DANRE10908	MOUSE07122
OG0000007	DANRE36378	MOUSE33185
OG0000007	DANRE29354, DANRE34325, DANRE40143	MOUSE10368, MOUSE33510
OG0000007	DANRE16014, DANRE16015	MOUSE32557
OG0000007	DANRE07035, DANRE20085	MOUSE03187
OG0000007	DANRE04871	MOUSE40199, MOUSE40198
OG0000007	DANRE04210	MOUSE46807
OG0000007	DANRE28394, DANRE07751, DANRE07750	MOUSE52320
OG0000007	DANRE12664	MOUSE49749
OG0000007	DANRE03566	MOUSE38483
OG0000007	DANRE03447	MOUSE13954
OG0000007	DANRE26278, DANRE26279, DANRE17980, DANRE17979	MOUSE09061
OG0000007	DANRE26277	MOUSE09062
OG0000007	DANRE12992, DANRE12991	MOUSE49739
OG0000007	DANRE03039	MOUSE38585
OG0000007	DANRE08320	MOUSE04689
OG0000007	DANRE33659	MOUSE37388
OG0000007	DANRE11124, DANRE11125	MOUSE07862, MOUSE07863
OG0000007	DANRE11123	MOUSE07860
OG0000007	DANRE03760, DANRE05908	MOUSE18809, MOUSE18808, MOUSE18807
OG0000007	DANRE30028	MOUSE38586
OG0000007	DANRE03038, DANRE28801	MOUSE06525
OG0000007	DANRE30495	MOUSE06204
OG0000007	DANRE02453	MOUSE33792, MOUSE33790
OG0000007	DANRE09326, DANRE09325	MOUSE41340, MOUSE41339
OG0000007	DANRE11519	MOUSE07031, MOUSE07030
OG0000008	DANRE27059	MOUSE17513, MOUSE17514
OG0000008	DANRE36385, DANRE36384, DANRE36386, DANRE36383	MOUSE33182
OG0000008	DANRE34310	MOUSE25728
OG0000008	DANRE31436	MOUSE35409
OG0000008	DANRE15525	MOUSE30083
OG0000008	DANRE41005, DANRE41006	MOUSE34799
OG0000010	DANRE21116, DANRE21115, DANRE21125, DANRE21126, DANRE21124, DANRE21123, DANRE21122, DANRE21119, DANRE21117, DANRE21118, DANRE21127, DANRE21136	MOUSE14749
OG0000010	DANRE33958, DANRE33959	MOUSE34626
OG0000010	DANRE40235, DANRE40234, DANRE40232, DANRE40233	MOUSE34625, MOUSE34624
OG0000010	DANRE38562, DANRE38564, DANRE38563	MOUSE49605
OG0000010	DANRE08709, DANRE08676, DANRE08677, DANRE08708	MOUSE49413
OG0000010	DANRE28016, DANRE28015, DANRE28014, DANRE30968	MOUSE22876
OG0000010	DANRE25470	MOUSE16882, MOUSE16884, MOUSE16883, MOUSE16885, MOUSE16872, MOUSE16871, MOUSE17060, MOUSE17058, MOUSE53049
OG0000010	DANRE39463, DANRE39462	MOUSE09529
OG0000010	DANRE29658, DANRE03180, DANRE03179, DANRE29163, DANRE29161, DANRE29162, DANRE03165, DANRE25582, DANRE36540, DANRE36542, DANRE36541	MOUSE16873, MOUSE46556, MOUSE16866, MOUSE16888
OG0000010	DANRE09723, DANRE09722, DANRE13204, DANRE13205	MOUSE43880, MOUSE43876, MOUSE43866, MOUSE43868, MOUSE43865, MOUSE43883, MOUSE43882, MOUSE43870, MOUSE43871
OG0000010	DANRE09716, DANRE09718, DANRE09717	MOUSE39501, MOUSE39500, MOUSE39499, MOUSE39528, MOUSE39527, MOUSE39532, MOUSE39534, MOUSE39533, MOUSE39531, MOUSE39530, MOUSE39535, MOUSE39529, MOUSE39498
OG0000011	DANRE22618, DANRE32639, DANRE19908, DANRE03442	MOUSE08113
OG0000012	DANRE25930, DANRE25931	MOUSE49054, MOUSE49055, MOUSE49053, MOUSE49315, MOUSE49044, MOUSE49045, MOUSE49043, MOUSE49052, MOUSE49049, MOUSE49048, MOUSE49047, MOUSE49046, MOUSE49051, MOUSE49042
OG0000012	DANRE12655, DANRE12656, DANRE12659	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309
OG0000013	DANRE15807	MOUSE31454
OG0000013	DANRE02564, DANRE02565, DANRE02567, DANRE02566, DANRE02563, DANRE02568, DANRE41664, DANRE41663, DANRE41661, DANRE41662, DANRE41659, DANRE41658, DANRE41657	MOUSE22949, MOUSE22948, MOUSE22951, MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943, MOUSE22945, MOUSE22946
OG0000013	DANRE35359, DANRE35361, DANRE35360, DANRE35367, DANRE35365, DANRE35366, DANRE35364, DANRE33461, DANRE33468, DANRE33462, DANRE33466, DANRE33467, DANRE33465, DANRE33464, DANRE33463	MOUSE36635, MOUSE36633, MOUSE36632, MOUSE36634, MOUSE36630, MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627
OG0000014	DANRE37898	MOUSE04189
OG0000014	DANRE35206, DANRE12526, DANRE12528, DANRE12527	MOUSE04186, MOUSE04184, MOUSE04187
OG0000014	DANRE40509, DANRE36844	MOUSE31054
OG0000014	DANRE43146	MOUSE02337
OG0000014	DANRE03629	MOUSE14097
OG0000014	DANRE29858, DANRE04027	MOUSE06495
OG0000014	DANRE04029, DANRE04028	MOUSE06496, MOUSE06497
OG0000014	DANRE30100, DANRE03816	MOUSE06101, MOUSE06102, MOUSE06100
OG0000014	DANRE11299, DANRE03520	MOUSE20912
OG0000014	DANRE40391	MOUSE31149, MOUSE31150
OG0000014	DANRE11197, DANRE03296	MOUSE22789, MOUSE22790, MOUSE00987
OG0000014	DANRE17251	MOUSE00504
OG0000014	DANRE43403	MOUSE54686
OG0000014	DANRE03675, DANRE03674, DANRE43177, DANRE29871	MOUSE04190, MOUSE04192, MOUSE05979, MOUSE05978, MOUSE05977, MOUSE05976
OG0000015	DANRE15829, DANRE07077	MOUSE30054, MOUSE30055, MOUSE30056
OG0000015	DANRE07037, DANRE07036, DANRE03906, DANRE05961	MOUSE03176
OG0000015	DANRE41277, DANRE41276	MOUSE35079
OG0000015	DANRE06610	MOUSE03220, MOUSE03221
OG0000015	DANRE36520	MOUSE36410, MOUSE44503
OG0000015	DANRE20233, DANRE20234, DANRE04836, DANRE04835	MOUSE44502, MOUSE44501, MOUSE44500
OG0000015	DANRE11101, DANRE11100, DANRE17308, DANRE17307, DANRE17306	MOUSE32201, MOUSE32200
OG0000015	DANRE17304, DANRE17305	MOUSE32202
OG0000015	DANRE24410, DANRE01122, DANRE24409	MOUSE16093
OG0000015	DANRE20436, DANRE20437, DANRE20438	MOUSE03210, MOUSE03208, MOUSE03209
OG0000015	DANRE04834, DANRE04833	MOUSE36400, MOUSE36401
OG0000015	DANRE36515	MOUSE44497
OG0000015	DANRE04832, DANRE04831	MOUSE36402
OG0000015	DANRE20439, DANRE20441, DANRE20440	MOUSE03212, MOUSE03211
OG0000015	DANRE20520	MOUSE54208, MOUSE54207
OG0000015	DANRE36517, DANRE36516	MOUSE44499
OG0000015	DANRE06176	MOUSE36407, MOUSE36406
OG0000015	DANRE20442	MOUSE03217, MOUSE03218, MOUSE03219
OG0000015	DANRE42903, DANRE42902	MOUSE55359
OG0000015	DANRE07145, DANRE07146, DANRE07144	MOUSE54956
OG0000015	DANRE16271	MOUSE48246
OG0000015	DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692	MOUSE03594, MOUSE03595, MOUSE03596
OG0000016	DANRE38616	MOUSE48959, MOUSE48960
OG0000016	DANRE13366	MOUSE15414
OG0000016	DANRE29900	MOUSE15161, MOUSE15160
OG0000016	DANRE29901, DANRE29903, DANRE29904, DANRE35774	MOUSE44326
OG0000016	DANRE03065, DANRE03064	MOUSE05122, MOUSE05123
OG0000016	DANRE04448	MOUSE21130
OG0000016	DANRE35611	MOUSE13078, MOUSE13077
OG0000016	DANRE02012	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196
OG0000016	DANRE13447	MOUSE44334
OG0000016	DANRE31212, DANRE31213, DANRE31211	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938
OG0000016	DANRE25754	MOUSE44332
OG0000016	DANRE13449, DANRE13448, DANRE25751, DANRE25753	MOUSE44335
OG0000019	DANRE39715	MOUSE14689, MOUSE14688
OG0000019	DANRE21112	MOUSE35478
OG0000019	DANRE29948	MOUSE04790
OG0000019	DANRE29945, DANRE29947	MOUSE04791
OG0000019	DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869	MOUSE22639, MOUSE22640
OG0000020	DANRE03458	MOUSE39911
OG0000020	DANRE10827, DANRE10826, DANRE10743	MOUSE05499, MOUSE05500
OG0000020	DANRE10670	MOUSE07164
OG0000020	DANRE40536	MOUSE23587, MOUSE23586
OG0000020	DANRE14742, DANRE09733	MOUSE13612
OG0000020	DANRE18650, DANRE10748	MOUSE06637, MOUSE06636
OG0000020	DANRE23011	MOUSE34933
OG0000020	DANRE42755	MOUSE26371
OG0000020	DANRE24424, DANRE24423, DANRE27995	MOUSE15405
OG0000020	DANRE27624, DANRE27625	MOUSE15402
OG0000020	DANRE27431, DANRE27432, DANRE27433	MOUSE24012
OG0000020	DANRE06741, DANRE06740	MOUSE54806, MOUSE54808, MOUSE54807
OG0000020	DANRE15747	MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284
OG0000020	DANRE22958, DANRE22959	MOUSE35162
OG0000020	DANRE06663, DANRE06664	MOUSE09601, MOUSE09602
OG0000020	DANRE15816	MOUSE48313, MOUSE48314
OG0000020	DANRE18984	MOUSE37001, MOUSE37002
OG0000020	DANRE27379	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013
OG0000021	DANRE01661, DANRE22424	MOUSE41024, MOUSE41023
OG0000021	DANRE39795, DANRE39796	MOUSE54264, MOUSE54261, MOUSE54262, MOUSE54263
OG0000021	DANRE39722, DANRE22090	MOUSE40749
OG0000021	DANRE24996	MOUSE41281
OG0000021	DANRE01663, DANRE01662	MOUSE41022
OG0000021	DANRE38577	MOUSE49041
OG0000021	DANRE08977, DANRE08978, DANRE08976	MOUSE09998
OG0000021	DANRE08348	MOUSE04592
OG0000021	DANRE37717	MOUSE44445
OG0000021	DANRE02277	MOUSE53773
OG0000021	DANRE27401, DANRE27403, DANRE27400	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665
OG0000021	DANRE20108	MOUSE19587
OG0000023	DANRE19492, DANRE40604	MOUSE01124
OG0000023	DANRE27752, DANRE38057	MOUSE12258, MOUSE12260
OG0000023	DANRE39283, DANRE25540	MOUSE49191
OG0000023	DANRE36925	MOUSE28391
OG0000023	DANRE26382, DANRE26381	MOUSE32112, MOUSE32114
OG0000023	DANRE19476, DANRE19477	MOUSE38000
OG0000023	DANRE07548, DANRE07547	MOUSE04860, MOUSE04861, MOUSE04862, MOUSE04863
OG0000023	DANRE01757	MOUSE02558, MOUSE02557
OG0000023	DANRE08271, DANRE08272, DANRE08270, DANRE08269	MOUSE50078
OG0000023	DANRE01246	MOUSE50070, MOUSE50073, MOUSE50075, MOUSE50077, MOUSE50076, MOUSE50069, MOUSE50072, MOUSE50074
OG0000023	DANRE08566, DANRE08567	MOUSE50063
OG0000023	DANRE38580	MOUSE49035
OG0000023	DANRE40368	MOUSE28744
OG0000026	DANRE36265	MOUSE34507
OG0000026	DANRE42258	MOUSE12605
OG0000027	DANRE39144	MOUSE49834, MOUSE49835, MOUSE49837, MOUSE49836
OG0000027	DANRE10366, DANRE03058, DANRE03059, DANRE03061	MOUSE44283, MOUSE44284, MOUSE44285
OG0000027	DANRE29465	MOUSE00444, MOUSE00443
OG0000027	DANRE03471, DANRE22990, DANRE22989	MOUSE18379, MOUSE18380
OG0000027	DANRE41021, DANRE41022, DANRE41023, DANRE41020, DANRE41018, DANRE41275, DANRE41019, DANRE41017, DANRE41008, DANRE41009	MOUSE36638, MOUSE36637, MOUSE46301, MOUSE46302, MOUSE46300, MOUSE46299, MOUSE36636
OG0000027	DANRE02909	MOUSE18678, MOUSE18679
OG0000028	DANRE15903	MOUSE36324, MOUSE36325
OG0000028	DANRE08736, DANRE08737, DANRE20375	MOUSE45380
OG0000028	DANRE07176, DANRE07177, DANRE15857, DANRE15856, DANRE09600, DANRE09601	MOUSE30414, MOUSE30413
OG0000028	DANRE13468	MOUSE51349
OG0000028	DANRE13469, DANRE13470	MOUSE51347, MOUSE51348
OG0000028	DANRE15855	MOUSE47957
OG0000028	DANRE10772, DANRE17755, DANRE17756	MOUSE12712
OG0000028	DANRE02083	MOUSE29157, MOUSE29159
OG0000028	DANRE07180, DANRE07179, DANRE15853	MOUSE47956, MOUSE47954, MOUSE47955
OG0000028	DANRE35763	MOUSE26458
OG0000028	DANRE39088, DANRE39089, DANRE24974	MOUSE44525
OG0000029	DANRE22154	MOUSE43115, MOUSE43116
OG0000029	DANRE39912, DANRE39910, DANRE39911, DANRE39909	MOUSE45127, MOUSE48617
OG0000029	DANRE12668, DANRE12669	MOUSE49324, MOUSE49325
OG0000029	DANRE40256, DANRE22155	MOUSE22849, MOUSE22848
OG0000029	DANRE11325, DANRE16818, DANRE16817	MOUSE02995
OG0000029	DANRE41268, DANRE41269	MOUSE17544
OG0000029	DANRE26531, DANRE01944	MOUSE15400
OG0000029	DANRE42782	MOUSE26337
OG0000029	DANRE21814	MOUSE23727
OG0000029	DANRE34060, DANRE21950, DANRE21945, DANRE43307, DANRE21946, DANRE21947, DANRE21900, DANRE21896, DANRE39154	MOUSE29998, MOUSE16471
OG0000030	DANRE34589, DANRE34588	MOUSE13263, MOUSE13264, MOUSE13265
OG0000030	DANRE14546, DANRE09884, DANRE09883	MOUSE30488
OG0000030	DANRE34902	MOUSE32434, MOUSE32431, MOUSE32432
OG0000030	DANRE38993	MOUSE55035
OG0000030	DANRE03619	MOUSE41811, MOUSE41812
OG0000030	DANRE03978	MOUSE21340
OG0000031	DANRE20274, DANRE20275, DANRE20273	MOUSE55187
OG0000031	DANRE20694	MOUSE36273, MOUSE08529, MOUSE36272, MOUSE44530
OG0000031	DANRE41496	MOUSE26385
OG0000031	DANRE37079	MOUSE14840
OG0000031	DANRE41454	MOUSE26448
OG0000031	DANRE13621, DANRE09507, DANRE09506, DANRE09505	MOUSE08530
OG0000031	DANRE17238	MOUSE05256
OG0000031	DANRE13622, DANRE13623	MOUSE08528, MOUSE08527
OG0000031	DANRE26019	MOUSE44529
OG0000031	DANRE33954	MOUSE20731
OG0000031	DANRE35637, DANRE11621	MOUSE39309, MOUSE01505
OG0000031	DANRE23382	MOUSE40720
OG0000031	DANRE16190, DANRE42316	MOUSE13006, MOUSE13005
OG0000031	DANRE27399, DANRE21472, DANRE14252	MOUSE48656
OG0000031	DANRE15746	MOUSE36274, MOUSE36271
OG0000031	DANRE42215, DANRE15380, DANRE42216	MOUSE22339, MOUSE22337, MOUSE22338
OG0000031	DANRE28106, DANRE23847, DANRE23848	MOUSE08579
OG0000032	DANRE24196, DANRE27892, DANRE27891	MOUSE21598, MOUSE21599, MOUSE21602, MOUSE21601, MOUSE21600
OG0000032	DANRE30726, DANRE30725	MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903
OG0000032	DANRE33199, DANRE32929, DANRE32926, DANRE32927, DANRE33203, DANRE33202, DANRE32928, DANRE33200, DANRE33201	MOUSE41905, MOUSE41904
OG0000032	DANRE36261	MOUSE52411, MOUSE52410
OG0000032	DANRE20344, DANRE20343	MOUSE45189, MOUSE45190, MOUSE45188
OG0000032	DANRE12884, DANRE39037	MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671
OG0000032	DANRE22486, DANRE22485, DANRE22487, DANRE22488	MOUSE29123
OG0000034	DANRE28945, DANRE28944	MOUSE46353, MOUSE46347
OG0000034	DANRE35039, DANRE35040	MOUSE04536
OG0000034	DANRE39926	MOUSE19996
OG0000034	DANRE00143, DANRE39455	MOUSE37608
OG0000034	DANRE35041	MOUSE04537, MOUSE04538, MOUSE04539
OG0000034	DANRE29516, DANRE29515	MOUSE43921
OG0000034	DANRE12957, DANRE25460	MOUSE45737
OG0000034	DANRE31029, DANRE31030	MOUSE14480
OG0000034	DANRE23009, DANRE23010, DANRE02357	MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011
OG0000034	DANRE37022, DANRE22465	MOUSE23594
OG0000034	DANRE31461, DANRE31460, DANRE12388, DANRE12387	MOUSE02137
OG0000034	DANRE25947	MOUSE47177, MOUSE47178, MOUSE47176
OG0000034	DANRE14484, DANRE09880	MOUSE30287, MOUSE30289, MOUSE30288
OG0000034	DANRE38036	MOUSE19105
OG0000034	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480
OG0000034	DANRE04100	MOUSE11491, MOUSE11490
OG0000034	DANRE25182	MOUSE20059
OG0000035	DANRE23313	MOUSE02570, MOUSE02571
OG0000035	DANRE38347, DANRE12928, DANRE12929	MOUSE51376, MOUSE51375
OG0000035	DANRE27654	MOUSE51377
OG0000035	DANRE31052	MOUSE41545
OG0000035	DANRE25078, DANRE12998, DANRE12997	MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092
OG0000035	DANRE13480, DANRE13479	MOUSE47097
OG0000035	DANRE12467, DANRE12466, DANRE30988	MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546
OG0000035	DANRE36852, DANRE22281	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974
OG0000035	DANRE12942, DANRE38472	MOUSE47243, MOUSE47244, MOUSE47242
OG0000035	DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758	MOUSE41507
OG0000035	DANRE12947, DANRE38221	MOUSE27105, MOUSE27106, MOUSE27107, MOUSE27108
OG0000035	DANRE38222, DANRE38223, DANRE12948	MOUSE27104
OG0000036	DANRE37867	MOUSE12248
OG0000036	DANRE38271	MOUSE49436
OG0000036	DANRE25335	MOUSE49768
OG0000036	DANRE27775, DANRE38068	MOUSE12301
OG0000036	DANRE26145, DANRE38623	MOUSE43707, MOUSE43706, MOUSE43708
OG0000036	DANRE07186	MOUSE29724, MOUSE29725
OG0000036	DANRE11991	MOUSE06658, MOUSE06659
OG0000036	DANRE38630	MOUSE43723
OG0000037	DANRE11959, DANRE17549, DANRE11958	MOUSE10992
OG0000037	DANRE11635, DANRE11634, DANRE17282	MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745
OG0000037	DANRE17582, DANRE10717, DANRE10716	MOUSE07837, MOUSE07836, MOUSE07835
OG0000037	DANRE06286, DANRE06287	MOUSE20306
OG0000037	DANRE03950, DANRE03951, DANRE05592, DANRE05591	MOUSE49952, MOUSE49951
OG0000037	DANRE37805, DANRE37804	MOUSE20178
OG0000037	DANRE13383	MOUSE43378
OG0000037	DANRE22289, DANRE22290	MOUSE28645, MOUSE28646
OG0000037	DANRE13745	MOUSE13720
OG0000037	DANRE11904, DANRE17607	MOUSE35631
OG0000037	DANRE11315	MOUSE21441
OG0000038	DANRE23404, DANRE23403	MOUSE14647
OG0000038	DANRE23402	MOUSE14645
OG0000038	DANRE15348	MOUSE22591, MOUSE22592
OG0000039	DANRE18250, DANRE18249	MOUSE24093
OG0000039	DANRE18251	MOUSE24090, MOUSE24089, MOUSE24092, MOUSE24091
OG0000039	DANRE18253, DANRE18252	MOUSE24088
OG0000039	DANRE38069, DANRE38070	MOUSE32704
OG0000040	DANRE12493, DANRE12492	MOUSE39434, MOUSE39435, MOUSE39433
OG0000040	DANRE30036	MOUSE38749, MOUSE38739, MOUSE38746, MOUSE38748
