Orthogroup	DANRE	ORYLA
OG0000006	DANRE38227, DANRE13192, DANRE13191	ORYLA12345, ORYLA14784
OG0000006	DANRE11601	ORYLA10511, ORYLA11827
OG0000006	DANRE30064, DANRE15483	ORYLA16517
OG0000006	DANRE30060	ORYLA16515
OG0000006	DANRE19266, DANRE19265, DANRE34833, DANRE34834	ORYLA17394
OG0000006	DANRE05395	ORYLA05082
OG0000006	DANRE20981	ORYLA13656
OG0000006	DANRE28318	ORYLA07153
OG0000006	DANRE19321	ORYLA02533
OG0000006	DANRE07087, DANRE07088	ORYLA20473
OG0000006	DANRE04631, DANRE04632	ORYLA04673
OG0000006	DANRE20580	ORYLA03873
OG0000006	DANRE34403	ORYLA03827
OG0000006	DANRE08961	ORYLA03500
OG0000006	DANRE11849	ORYLA10460
OG0000006	DANRE16704, DANRE11329	ORYLA00215, ORYLA04762
OG0000006	DANRE04654, DANRE04655	ORYLA04691
OG0000006	DANRE35252	ORYLA03542
OG0000007	DANRE26275	ORYLA13334
OG0000007	DANRE38320, DANRE26009	ORYLA14937
OG0000007	DANRE40798, DANRE40799	ORYLA17526
OG0000007	DANRE13390	ORYLA03070
OG0000007	DANRE11787, DANRE11788	ORYLA10601
OG0000007	DANRE10909, DANRE10908	ORYLA19360
OG0000007	DANRE40583	ORYLA17457
OG0000007	DANRE36378	ORYLA13245
OG0000007	DANRE34325	ORYLA02416
OG0000007	DANRE40143	ORYLA13595
OG0000007	DANRE16014, DANRE16015	ORYLA00451
OG0000007	DANRE40142	ORYLA13596
OG0000007	DANRE04871	ORYLA10719
OG0000007	DANRE07751, DANRE07750	ORYLA18472
OG0000007	DANRE12664	ORYLA15197
OG0000007	DANRE03566	ORYLA07783
OG0000007	DANRE03447	ORYLA09030
OG0000007	DANRE26277	ORYLA13335
OG0000007	DANRE17981	ORYLA07003
OG0000007	DANRE12992, DANRE12991	ORYLA12464
OG0000007	DANRE21702	ORYLA13010
OG0000007	DANRE08320	ORYLA03471
OG0000007	DANRE33659	ORYLA17615
OG0000007	DANRE06830	ORYLA01042
OG0000007	DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692	ORYLA11394
OG0000007	DANRE03760, DANRE05908	ORYLA05164
OG0000007	DANRE30028	ORYLA00561
OG0000007	DANRE03038, DANRE28801	ORYLA16283, ORYLA08278
OG0000007	DANRE30495	ORYLA16317
OG0000007	DANRE09326, DANRE09325	ORYLA05828
OG0000007	DANRE11519	ORYLA10158
OG0000007	DANRE02905	ORYLA04736
OG0000008	DANRE27059	ORYLA06372
OG0000008	DANRE36385, DANRE36384, DANRE36386, DANRE36383	ORYLA06647, ORYLA13248
OG0000008	DANRE17182, DANRE17185, DANRE17179, DANRE17183, DANRE17180, DANRE17181, DANRE17184, DANRE17186, DANRE17168, DANRE17176, DANRE17177, DANRE17187, DANRE17191, DANRE17174, DANRE17196, DANRE17190, DANRE17175, DANRE17194, DANRE17193, DANRE17195, DANRE17189, DANRE17188	ORYLA19926, ORYLA19925, ORYLA18489, ORYLA19927, ORYLA18477
OG0000008	DANRE34310	ORYLA02437
OG0000008	DANRE39865	ORYLA18129
OG0000008	DANRE15160, DANRE15161	ORYLA01591
OG0000008	DANRE09428	ORYLA05589
OG0000008	DANRE27450, DANRE27451, DANRE27453, DANRE27452	ORYLA06938
OG0000008	DANRE36653	ORYLA13726
OG0000008	DANRE31436	ORYLA11025
OG0000008	DANRE41005, DANRE41006	ORYLA15397
OG0000008	DANRE06800	ORYLA19119
OG0000008	DANRE18586	ORYLA01552, ORYLA11813
OG0000010	DANRE21116, DANRE21115	ORYLA14018
OG0000010	DANRE21125, DANRE21126	ORYLA14016, ORYLA14015, ORYLA14017
OG0000010	DANRE33958, DANRE33959	ORYLA17718
OG0000010	DANRE40235, DANRE40234	ORYLA15599
OG0000010	DANRE40232, DANRE40233	ORYLA15600
OG0000010	DANRE38562, DANRE38564, DANRE38563	ORYLA12063
OG0000010	DANRE08709, DANRE08676, DANRE08677, DANRE08708	ORYLA05561
OG0000010	DANRE28015, DANRE28014	ORYLA06892
OG0000010	DANRE30968	ORYLA19685, ORYLA19686
OG0000010	DANRE25470	ORYLA18252
OG0000010	DANRE21309, DANRE21308	ORYLA13024
OG0000010	DANRE34456, DANRE07824	ORYLA03414
OG0000010	DANRE29658	ORYLA07950
OG0000010	DANRE29163, DANRE29161, DANRE29162	ORYLA16250, ORYLA16252, ORYLA16251, ORYLA16253
OG0000010	DANRE03165	ORYLA19018, ORYLA07556, ORYLA07557, ORYLA07940
OG0000010	DANRE01777	ORYLA16137
OG0000010	DANRE23482	ORYLA14434
OG0000010	DANRE09716, DANRE09718, DANRE09717	ORYLA20398
OG0000010	DANRE09779, DANRE09778	ORYLA05923, ORYLA05924
OG0000010	DANRE01775, DANRE01774, DANRE01776	ORYLA14435
OG0000010	DANRE23481	ORYLA16136
OG0000011	DANRE22618, DANRE32639, DANRE19908, DANRE03442	ORYLA04501
OG0000012	DANRE38177, DANRE38176	ORYLA07628
OG0000012	DANRE25930, DANRE25931	ORYLA15107, ORYLA15108
OG0000012	DANRE12655, DANRE12656, DANRE12659	ORYLA15199
OG0000013	DANRE15807	ORYLA00386
OG0000013	DANRE02564, DANRE02565, DANRE02567, DANRE02566, DANRE02563, DANRE02568, DANRE41664, DANRE41663, DANRE41661, DANRE41662, DANRE41659, DANRE41658, DANRE41657	ORYLA20078
OG0000013	DANRE35359, DANRE35361, DANRE35360, DANRE35367, DANRE35365, DANRE35366, DANRE35364	ORYLA19175
OG0000013	DANRE33461, DANRE33468, DANRE33462, DANRE33466, DANRE33467, DANRE33465, DANRE33464, DANRE33463	ORYLA17235
OG0000013	DANRE24713	ORYLA08330
OG0000013	DANRE39935, DANRE39936	ORYLA16166, ORYLA16167
OG0000013	DANRE00714, DANRE37989	ORYLA07272
OG0000013	DANRE12210	ORYLA19251, ORYLA12627, ORYLA12626
OG0000013	DANRE15499, DANRE15493, DANRE15492, DANRE15491, DANRE15498, DANRE15497, DANRE15495, DANRE15494, DANRE25903, DANRE25904, DANRE25905	ORYLA19586
OG0000013	DANRE00838	ORYLA04041
OG0000014	DANRE37898	ORYLA07442
OG0000014	DANRE35206	ORYLA17297
OG0000014	DANRE12526, DANRE12528, DANRE12527	ORYLA15314
OG0000014	DANRE40509, DANRE36844	ORYLA13996, ORYLA16200
OG0000014	DANRE43146	ORYLA10845
OG0000014	DANRE22544	ORYLA16010
OG0000014	DANRE29858, DANRE04027	ORYLA17181
OG0000014	DANRE30100, DANRE03816	ORYLA08263
OG0000014	DANRE11299	ORYLA04835
OG0000014	DANRE03520	ORYLA19923
OG0000014	DANRE40391	ORYLA15682
OG0000014	DANRE11197, DANRE03296	ORYLA04907
OG0000014	DANRE17251	ORYLA11600
OG0000014	DANRE43403	ORYLA01088
OG0000014	DANRE03675, DANRE03674, DANRE43177	ORYLA07812
OG0000014	DANRE29871	ORYLA17200
OG0000015	DANRE15829, DANRE07077	ORYLA00867, ORYLA20430
OG0000015	DANRE07037, DANRE07036, DANRE03906, DANRE05961	ORYLA04638
OG0000015	DANRE06610	ORYLA19973
OG0000015	DANRE36519, DANRE36518	ORYLA13511
OG0000015	DANRE36520	ORYLA08714
OG0000015	DANRE20233, DANRE20234	ORYLA04332
OG0000015	DANRE04836, DANRE04835	ORYLA10753
OG0000015	DANRE11101, DANRE11100	ORYLA11923
OG0000015	DANRE17308, DANRE17307, DANRE17306	ORYLA10179
OG0000015	DANRE17304, DANRE17305	ORYLA11921
OG0000015	DANRE12114	ORYLA10367
OG0000015	DANRE24410	ORYLA08817
OG0000015	DANRE01122	ORYLA04154
OG0000015	DANRE20436, DANRE20437, DANRE20438	ORYLA03899
OG0000015	DANRE04834, DANRE04833	ORYLA10757
OG0000015	DANRE04832, DANRE04831	ORYLA01414
OG0000015	DANRE20439, DANRE20441, DANRE20440	ORYLA19970
OG0000015	DANRE20520	ORYLA04333
OG0000015	DANRE36517, DANRE36516	ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513
OG0000015	DANRE06608, DANRE06609	ORYLA01230
OG0000015	DANRE06176	ORYLA01413
OG0000015	DANRE20442	ORYLA19971
OG0000015	DANRE42903, DANRE42902	ORYLA09940, ORYLA09941
OG0000015	DANRE07145, DANRE07146, DANRE07144	ORYLA00953
OG0000015	DANRE33766	ORYLA04300
OG0000015	DANRE16271	ORYLA18852
OG0000015	DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692	ORYLA01514
OG0000016	DANRE38616	ORYLA12720
OG0000016	DANRE06628, DANRE06627	ORYLA00945
OG0000016	DANRE29900	ORYLA17171
OG0000016	DANRE29901, DANRE29903, DANRE29904, DANRE35774	ORYLA00784
OG0000016	DANRE03065, DANRE03064	ORYLA19764
OG0000016	DANRE04448	ORYLA05054
OG0000016	DANRE35611	ORYLA09921
OG0000016	DANRE02012	ORYLA00030
OG0000016	DANRE13447	ORYLA08665
OG0000016	DANRE31212, DANRE31213, DANRE31211	ORYLA11245
OG0000016	DANRE13449, DANRE13448	ORYLA15380
OG0000018	DANRE31993, DANRE10860, DANRE34666, DANRE28525, DANRE06532, DANRE42745, DANRE25935, DANRE41823, DANRE28532, DANRE32198, DANRE23599, DANRE04161, DANRE11286, DANRE13094	ORYLA02836, ORYLA14501
OG0000018	DANRE13954, DANRE13946	ORYLA18860, ORYLA00684, ORYLA17944
OG0000019	DANRE29946	ORYLA16405
OG0000019	DANRE21114	ORYLA07040
OG0000019	DANRE24632, DANRE24631	ORYLA07041
OG0000019	DANRE21113	ORYLA14014
OG0000019	DANRE21112	ORYLA15975
OG0000019	DANRE29945, DANRE29947	ORYLA16411
OG0000019	DANRE41684	ORYLA20089
OG0000019	DANRE41682, DANRE41683	ORYLA20088
OG0000020	DANRE03458	ORYLA09327
OG0000020	DANRE10827, DANRE10826, DANRE10743	ORYLA12531
OG0000020	DANRE10670	ORYLA10559
OG0000020	DANRE40536	ORYLA16080
OG0000020	DANRE14742	ORYLA02155
OG0000020	DANRE09733	ORYLA05512
OG0000020	DANRE18650, DANRE10748	ORYLA11359
OG0000020	DANRE23011	ORYLA19795
OG0000020	DANRE42755	ORYLA09855
OG0000020	DANRE24424, DANRE24423, DANRE27995	ORYLA06900
OG0000020	DANRE27624, DANRE27625	ORYLA09950
OG0000020	DANRE30414	ORYLA16727
OG0000020	DANRE27431, DANRE27432, DANRE27433	ORYLA06780
OG0000020	DANRE06741, DANRE06740	ORYLA01097
OG0000020	DANRE15747	ORYLA00349
OG0000020	DANRE22958, DANRE22959	ORYLA15647
OG0000020	DANRE06663, DANRE06664	ORYLA00902
OG0000020	DANRE15816	ORYLA00505
OG0000020	DANRE18984	ORYLA02546
OG0000020	DANRE27379	ORYLA06519
OG0000021	DANRE01661	ORYLA13904
OG0000021	DANRE22424	ORYLA15936
OG0000021	DANRE31606, DANRE31605	ORYLA11094
OG0000021	DANRE39795, DANRE39796	ORYLA20207
OG0000021	DANRE22480	ORYLA15834
OG0000021	DANRE39722	ORYLA15878
OG0000021	DANRE22090	ORYLA14141
OG0000021	DANRE36686, DANRE36683, DANRE36685	ORYLA20191
OG0000021	DANRE36633	ORYLA19977, ORYLA13759, ORYLA13761
OG0000021	DANRE13240, DANRE13243, DANRE13242, DANRE13246, DANRE13245, DANRE13241	ORYLA08737
OG0000021	DANRE24996	ORYLA10930, ORYLA14683
OG0000021	DANRE01663, DANRE01662	ORYLA13905
OG0000021	DANRE38577	ORYLA12641
OG0000021	DANRE08977, DANRE08978, DANRE08976	ORYLA05479
OG0000021	DANRE08348	ORYLA03698
OG0000021	DANRE33679	ORYLA17601
OG0000021	DANRE33712, DANRE33711, DANRE33342, DANRE33343	ORYLA04373
OG0000021	DANRE37717	ORYLA12092
OG0000021	DANRE02277	ORYLA14389
OG0000021	DANRE27401, DANRE27403, DANRE27400	ORYLA06753
OG0000021	DANRE20108	ORYLA04245
OG0000023	DANRE19492	ORYLA02861
OG0000023	DANRE40604	ORYLA18687
OG0000023	DANRE27752	ORYLA06733
OG0000023	DANRE38057	ORYLA07486
OG0000023	DANRE39283	ORYLA12741
OG0000023	DANRE25540	ORYLA15296
OG0000023	DANRE36925	ORYLA13800
OG0000023	DANRE26382, DANRE26381	ORYLA07073
OG0000023	DANRE29650, DANRE29649, DANRE03181	ORYLA07951
OG0000023	DANRE19476, DANRE19477	ORYLA02776
OG0000023	DANRE07548, DANRE07547	ORYLA03601
OG0000023	DANRE01757	ORYLA14352
OG0000023	DANRE08271, DANRE08272, DANRE08270, DANRE08269	ORYLA03721
OG0000023	DANRE08566, DANRE08567	ORYLA03720
OG0000023	DANRE38580	ORYLA12643
OG0000023	DANRE40368	ORYLA15685
OG0000023	DANRE01250, DANRE01247, DANRE01249, DANRE01248	ORYLA18660
OG0000026	DANRE42258	ORYLA09539
OG0000027	DANRE39144	ORYLA12309
OG0000027	DANRE10366, DANRE03058, DANRE03059, DANRE03061	ORYLA08306
OG0000027	DANRE03471	ORYLA07922
OG0000027	DANRE41021, DANRE41022, DANRE41023, DANRE41020, DANRE41018, DANRE41275, DANRE41019, DANRE41017, DANRE41008, DANRE41009	ORYLA15904, ORYLA15903
OG0000027	DANRE02909	ORYLA04739
OG0000028	DANRE15903	ORYLA00361
OG0000028	DANRE06013	ORYLA01165
OG0000028	DANRE08736, DANRE08737	ORYLA03205
OG0000028	DANRE20375	ORYLA04463
OG0000028	DANRE07176, DANRE07177	ORYLA01107
OG0000028	DANRE15857, DANRE15856	ORYLA00838
OG0000028	DANRE09600, DANRE09601	ORYLA05731
OG0000028	DANRE13468	ORYLA12623
OG0000028	DANRE13469, DANRE13470	ORYLA12624
OG0000028	DANRE15855	ORYLA00837, ORYLA01106
OG0000028	DANRE10772, DANRE17755, DANRE17756	ORYLA11312
OG0000028	DANRE02083	ORYLA15414
OG0000028	DANRE07180, DANRE07179	ORYLA01105
OG0000028	DANRE15853	ORYLA00835
OG0000028	DANRE35763	ORYLA09887, ORYLA09886, ORYLA04684
OG0000028	DANRE39088, DANRE39089, DANRE24974	ORYLA20303, ORYLA20302
OG0000028	DANRE15851, DANRE15850	ORYLA00834, ORYLA01103
OG0000028	DANRE13964	ORYLA05749, ORYLA01547
OG0000029	DANRE39912, DANRE39910, DANRE39911, DANRE39909	ORYLA13081, ORYLA13154, ORYLA04292, ORYLA04294, ORYLA04293
OG0000029	DANRE12668, DANRE12669	ORYLA15257
OG0000029	DANRE22155	ORYLA13110
OG0000029	DANRE11325	ORYLA04764
OG0000029	DANRE16818, DANRE16817	ORYLA00213
OG0000029	DANRE13326	ORYLA03112
OG0000029	DANRE41268, DANRE41269	ORYLA15906
OG0000029	DANRE42782	ORYLA08651, ORYLA09837
OG0000030	DANRE34589, DANRE34588	ORYLA18077
OG0000030	DANRE14546	ORYLA01628
OG0000030	DANRE09884, DANRE09883	ORYLA19626
OG0000030	DANRE34902	ORYLA02922
OG0000030	DANRE34483, DANRE34482	ORYLA04224
OG0000030	DANRE08390, DANRE08389	ORYLA03718
OG0000030	DANRE38993	ORYLA07582
OG0000030	DANRE03619	ORYLA07744
OG0000030	DANRE41079, DANRE41078	ORYLA20234
OG0000030	DANRE03978	ORYLA08220
OG0000031	DANRE20274, DANRE20275, DANRE20273	ORYLA04590
OG0000031	DANRE41496	ORYLA09861
OG0000031	DANRE23155	ORYLA15740
OG0000031	DANRE37079	ORYLA13928
OG0000031	DANRE41454	ORYLA09882
OG0000031	DANRE13621, DANRE09507, DANRE09506, DANRE09505	ORYLA05598
OG0000031	DANRE17238	ORYLA18563
OG0000031	DANRE13622, DANRE13623	ORYLA01770
OG0000031	DANRE26516	ORYLA06561
OG0000031	DANRE26019	ORYLA14932
OG0000031	DANRE33954	ORYLA17720
OG0000031	DANRE35637	ORYLA00795
OG0000031	DANRE11621	ORYLA10394
OG0000031	DANRE02768	ORYLA14237
OG0000031	DANRE23382	ORYLA15433
OG0000031	DANRE20276	ORYLA04591
OG0000031	DANRE16190, DANRE42316	ORYLA04917
OG0000031	DANRE27399	ORYLA06754
OG0000031	DANRE21472, DANRE14252	ORYLA07156
OG0000031	DANRE16189, DANRE42315	ORYLA09501
OG0000031	DANRE15746	ORYLA00346
OG0000031	DANRE42215, DANRE15380	ORYLA09459
OG0000031	DANRE42216	ORYLA08614
OG0000031	DANRE28106, DANRE23847, DANRE23848	ORYLA06390
OG0000032	DANRE24196	ORYLA09076
OG0000032	DANRE27892, DANRE27891	ORYLA06417
OG0000032	DANRE30726, DANRE30725	ORYLA14771, ORYLA03482
OG0000032	DANRE33204	ORYLA10827
OG0000032	DANRE36261	ORYLA12826
OG0000032	DANRE20344, DANRE20343	ORYLA04475, ORYLA04474
OG0000032	DANRE12884	ORYLA14976
OG0000032	DANRE39037	ORYLA12717
OG0000032	DANRE22486, DANRE22485, DANRE22487, DANRE22488	ORYLA15502
OG0000032	DANRE24197	ORYLA06416
OG0000034	DANRE28944	ORYLA07927
OG0000034	DANRE35039, DANRE35040	ORYLA04579
OG0000034	DANRE00143	ORYLA02286
OG0000034	DANRE39455	ORYLA17781
OG0000034	DANRE29516, DANRE29515	ORYLA16358
OG0000034	DANRE12957	ORYLA12476
OG0000034	DANRE25460	ORYLA15138
OG0000034	DANRE31029, DANRE31030	ORYLA11195
OG0000034	DANRE23009, DANRE23010, DANRE02357	ORYLA16147
OG0000034	DANRE29602	ORYLA17140
OG0000034	DANRE23932	ORYLA07963
OG0000034	DANRE37022, DANRE22465	ORYLA14023, ORYLA15996
OG0000034	DANRE31461, DANRE31460	ORYLA11192
OG0000034	DANRE12388, DANRE12387	ORYLA14993
OG0000034	DANRE25947	ORYLA14558
OG0000034	DANRE38036	ORYLA07312
OG0000034	DANRE37614, DANRE37615	ORYLA12339
OG0000034	DANRE25091, DANRE25092	ORYLA14860
OG0000034	DANRE04100	ORYLA19697
OG0000034	DANRE25182	ORYLA14655
OG0000035	DANRE23313	ORYLA16101
OG0000035	DANRE40563	ORYLA17474
OG0000035	DANRE38347	ORYLA12588
OG0000035	DANRE12928, DANRE12929	ORYLA14952
OG0000035	DANRE31052	ORYLA11104
OG0000035	DANRE25078	ORYLA14870
OG0000035	DANRE12998, DANRE12997	ORYLA12119
OG0000035	DANRE29644, DANRE29645	ORYLA17191
OG0000035	DANRE12467	ORYLA15336
OG0000035	DANRE12466, DANRE30988	ORYLA11216
OG0000035	DANRE36852	ORYLA13992
OG0000035	DANRE12942	ORYLA14838
OG0000035	DANRE38472	ORYLA12754
OG0000035	DANRE12371, DANRE12370	ORYLA14991, ORYLA14992
OG0000035	DANRE30757, DANRE30760, DANRE30759, DANRE30758	ORYLA11268
OG0000035	DANRE12947	ORYLA14782
OG0000035	DANRE38221	ORYLA12073, ORYLA12074
OG0000035	DANRE38222, DANRE38223, DANRE12948	ORYLA14783
OG0000036	DANRE37867	ORYLA07477
OG0000036	DANRE38271	ORYLA12738
OG0000036	DANRE14697	ORYLA02184
OG0000036	DANRE25335	ORYLA15615, ORYLA15153
OG0000036	DANRE27775, DANRE38068	ORYLA07495
OG0000036	DANRE26145	ORYLA20280
OG0000036	DANRE38623	ORYLA12724
OG0000036	DANRE07186	ORYLA20440
OG0000036	DANRE30853	ORYLA11184
OG0000036	DANRE38630	ORYLA12571
OG0000037	DANRE17549	ORYLA05584
OG0000037	DANRE11958	ORYLA10681
OG0000037	DANRE11635, DANRE11634, DANRE17282	ORYLA11814
OG0000037	DANRE17582	ORYLA11609
OG0000037	DANRE10717, DANRE10716	ORYLA10251
OG0000037	DANRE06286, DANRE06287	ORYLA01058
OG0000037	DANRE03950, DANRE03951, DANRE05592, DANRE05591	ORYLA05151
OG0000037	DANRE37805, DANRE37804	ORYLA08136
OG0000037	DANRE13383	ORYLA03090
OG0000037	DANRE22289, DANRE22290	ORYLA15954
OG0000037	DANRE13745	ORYLA02209
OG0000037	DANRE11904	ORYLA10771
OG0000037	DANRE17607	ORYLA11448
OG0000037	DANRE11315	ORYLA04725
OG0000038	DANRE23404, DANRE23403	ORYLA04512
OG0000038	DANRE41583	ORYLA09756
OG0000038	DANRE35588, DANRE35587	ORYLA04780
OG0000038	DANRE41585, DANRE41586	ORYLA09755
OG0000038	DANRE40533	ORYLA06128
OG0000038	DANRE23400	ORYLA16181
OG0000038	DANRE15348	ORYLA08393, ORYLA09754
OG0000039	DANRE18250, DANRE18249	ORYLA13584
OG0000039	DANRE18251	ORYLA13588
OG0000039	DANRE38069, DANRE38070	ORYLA07496
OG0000039	DANRE23593, DANRE23592	ORYLA15984
OG0000039	DANRE36822, DANRE23067, DANRE23068, DANRE23065, DANRE23064, DANRE23063	ORYLA18454, ORYLA16125
OG0000039	DANRE09344	ORYLA05812
OG0000040	DANRE12493, DANRE12492	ORYLA15343
OG0000040	DANRE30036	ORYLA04846, ORYLA04844
OG0000040	DANRE30032, DANRE30031, DANRE30033, DANRE30029, DANRE30030, DANRE30035, DANRE30034	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841
OG0000040	DANRE17230	ORYLA18544, ORYLA18406
OG0000041	DANRE29584, DANRE29586, DANRE29583, DANRE29585, DANRE24718	ORYLA07969
OG0000041	DANRE38473, DANRE38474, DANRE38475, DANRE25228	ORYLA14839
OG0000041	DANRE40396, DANRE40397	ORYLA15678, ORYLA15677
OG0000041	DANRE36857	ORYLA13990
OG0000041	DANRE22432	ORYLA15807
OG0000041	DANRE25655	ORYLA19535
OG0000041	DANRE36856	ORYLA15808
OG0000041	DANRE25654	ORYLA14736
OG0000041	DANRE43342	ORYLA19536
OG0000041	DANRE38441	ORYLA12118
OG0000041	DANRE36805	ORYLA13695
OG0000041	DANRE27215, DANRE24076	ORYLA09068
OG0000041	DANRE05493, DANRE05492, DANRE18224	ORYLA11484
OG0000041	DANRE05473	ORYLA11472
OG0000041	DANRE36043	ORYLA19350
OG0000042	DANRE42454, DANRE42453, DANRE42455	ORYLA12797, ORYLA10877, ORYLA10878
OG0000043	DANRE34152	ORYLA04209
