Orthogroup	DANRE	AMPFI_ok
OG0000021	DANRE39722, DANRE22090, DANRE36686, DANRE36683, DANRE36685, DANRE36633, DANRE13240, DANRE13243, DANRE13242, DANRE13246, DANRE13245, DANRE13241, DANRE24996, DANRE01663, DANRE01662	AMPFI_08825
OG0000021	DANRE37717, DANRE02277	AMPFI_16391, AMPFI_25518, AMPFI_19616, AMPFI_08794, AMPFI_23196, AMPFI_19941
OG0000021	DANRE27401, DANRE27403, DANRE27400	AMPFI_00389, AMPFI_07405, AMPFI_24716, AMPFI_19890, AMPFI_10085, AMPFI_07684
OG0000023	DANRE19492, DANRE40604, DANRE27752, DANRE38057, DANRE39283, DANRE25540, DANRE36925, DANRE26382, DANRE26381, DANRE29650, DANRE29649, DANRE03181, DANRE19476, DANRE19477	AMPFI_14885, AMPFI_23006, AMPFI_10764
OG0000025	DANRE19901, DANRE03302, DANRE09085, DANRE21568	AMPFI_19256
OG0000026	DANRE25537, DANRE36265	AMPFI_12171
OG0000026	DANRE09875	AMPFI_08394, AMPFI_03099, AMPFI_18185, AMPFI_25697, AMPFI_04674, AMPFI_24667, AMPFI_01870, AMPFI_14564, AMPFI_11288, AMPFI_23391
OG0000026	DANRE42258, DANRE07529	AMPFI_01077, AMPFI_16904
OG0000028	DANRE15903, DANRE06013, DANRE08736, DANRE08737, DANRE20375, DANRE07178	AMPFI_19162
OG0000029	DANRE22154	AMPFI_17682, AMPFI_23832
OG0000029	DANRE39912, DANRE39910, DANRE39911, DANRE39909, DANRE12668, DANRE12669, DANRE40256, DANRE22155, DANRE11325, DANRE16818, DANRE16817, DANRE13326	AMPFI_13521, AMPFI_10300, AMPFI_01562, AMPFI_19753
OG0000030	DANRE34589, DANRE34588	AMPFI_02183
OG0000030	DANRE16388, DANRE16389, DANRE14546, DANRE09884, DANRE09883, DANRE34902	AMPFI_03176
OG0000031	DANRE20694	AMPFI_13279, AMPFI_01755, AMPFI_10718, AMPFI_14435, AMPFI_16606
OG0000031	DANRE41496, DANRE35535, DANRE23155	AMPFI_06256
OG0000031	DANRE13622, DANRE13623	AMPFI_14304
OG0000031	DANRE26516	AMPFI_10484
OG0000031	DANRE11621	AMPFI_01333
OG0000031	DANRE27399, DANRE21472, DANRE14252	AMPFI_05075
OG0000031	DANRE16189, DANRE42315, DANRE15746	AMPFI_10833
OG0000031	DANRE42215, DANRE15380, DANRE42216, DANRE28106, DANRE23847, DANRE23848	AMPFI_02985
OG0000032	DANRE30726, DANRE30725, DANRE33206, DANRE33207, DANRE33205, DANRE33204, DANRE33199, DANRE32929, DANRE32926, DANRE32927, DANRE33203, DANRE33202, DANRE32928, DANRE33200, DANRE33201, DANRE36261, DANRE20344, DANRE20343, DANRE12884, DANRE39037	AMPFI_10091, AMPFI_08698, AMPFI_15533, AMPFI_18245, AMPFI_03345, AMPFI_07304
OG0000032	DANRE22486, DANRE22485, DANRE22487, DANRE22488	AMPFI_03594
OG0000032	DANRE24197	AMPFI_22327
OG0000034	DANRE35041	AMPFI_04753
OG0000034	DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947	AMPFI_00398
OG0000035	DANRE23313	AMPFI_17275
OG0000035	DANRE40563, DANRE38347, DANRE12928, DANRE12929, DANRE27654	AMPFI_20705
OG0000035	DANRE31052, DANRE25078, DANRE12998, DANRE12997	AMPFI_13261
OG0000035	DANRE29644, DANRE29645, DANRE13480, DANRE13479, DANRE12467, DANRE12466, DANRE30988	AMPFI_07620, AMPFI_08859, AMPFI_16822
OG0000035	DANRE36852, DANRE22281, DANRE12942, DANRE38472, DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758, DANRE30761	AMPFI_12878
OG0000035	DANRE38222, DANRE38223, DANRE12948	AMPFI_11303
OG0000036	DANRE25335, DANRE27775, DANRE38068, DANRE26145, DANRE38623	AMPFI_11948
OG0000036	DANRE07186, DANRE30853	AMPFI_14775, AMPFI_19912
OG0000036	DANRE11991, DANRE38630	AMPFI_15407, AMPFI_19204, AMPFI_07474, AMPFI_19635, AMPFI_18831, AMPFI_22411
OG0000037	DANRE11959, DANRE17549, DANRE11958, DANRE11635, DANRE11634, DANRE17282, DANRE17582, DANRE10717, DANRE10716, DANRE06286, DANRE06287	AMPFI_11581
OG0000037	DANRE03950, DANRE03951, DANRE05592, DANRE05591, DANRE37805, DANRE37804, DANRE13383	AMPFI_25668
OG0000038	DANRE23401	AMPFI_17412, AMPFI_07007, AMPFI_22984, AMPFI_19985, AMPFI_07006, AMPFI_00855, AMPFI_03880
OG0000038	DANRE41584	AMPFI_11821, AMPFI_12065, AMPFI_11482, AMPFI_17061
OG0000039	DANRE38069, DANRE38070	AMPFI_15658
OG0000039	DANRE09344	AMPFI_20335, AMPFI_20685, AMPFI_03724
OG0000040	DANRE30036	AMPFI_24657
OG0000040	DANRE30032, DANRE30031, DANRE30033, DANRE30029, DANRE30030, DANRE30035, DANRE30034, DANRE17230	AMPFI_02741
OG0000043	DANRE43265	AMPFI_04816
OG0000044	DANRE20253, DANRE20252, DANRE04869, DANRE04868, DANRE04870, DANRE01471, DANRE01470, DANRE41195, DANRE41197, DANRE41200, DANRE41196, DANRE41199, DANRE05871, DANRE05873, DANRE05872, DANRE05874, DANRE05876, DANRE05875	AMPFI_13059
OG0000044	DANRE06946, DANRE06947, DANRE06457, DANRE17818, DANRE24284, DANRE24283	AMPFI_10491
OG0000044	DANRE24280	AMPFI_12455
OG0000044	DANRE13593	AMPFI_22687, AMPFI_10992, AMPFI_03970
OG0000046	DANRE15742	AMPFI_02275, AMPFI_17068
OG0000048	DANRE33718	AMPFI_06745
OG0000048	DANRE19398	AMPFI_01185
OG0000048	DANRE08311	AMPFI_21987, AMPFI_06139
OG0000048	DANRE17556, DANRE05472	AMPFI_10591, AMPFI_13556
OG0000048	DANRE26183	AMPFI_08767
OG0000050	DANRE05388, DANRE16154, DANRE21370, DANRE14263, DANRE25768, DANRE00430, DANRE32860, DANRE42655, DANRE31654, DANRE32311, DANRE20964	AMPFI_23876, AMPFI_19742
OG0000050	DANRE33098, DANRE32869, DANRE33097, DANRE32870	AMPFI_12802
OG0000051	DANRE04454, DANRE04455, DANRE04456, DANRE04458, DANRE04457	AMPFI_01376, AMPFI_01979, AMPFI_15572, AMPFI_18266, AMPFI_05878, AMPFI_02130, AMPFI_25599
OG0000054	DANRE06791, DANRE15743	AMPFI_10274
OG0000054	DANRE09041, DANRE09042	AMPFI_23388, AMPFI_23387, AMPFI_06988, AMPFI_13427, AMPFI_13250, AMPFI_25267, AMPFI_10354, AMPFI_24076, AMPFI_02790, AMPFI_02789, AMPFI_19023
OG0000056	DANRE01913, DANRE01914, DANRE39460, DANRE39459, DANRE15877, DANRE15878, DANRE15879, DANRE39458, DANRE26297, DANRE26296, DANRE26298, DANRE26299, DANRE30224, DANRE30223, DANRE17147, DANRE17148, DANRE17149, DANRE30238, DANRE01911, DANRE01910	AMPFI_10015
OG0000056	DANRE30239	AMPFI_13952, AMPFI_00302
OG0000057	DANRE01491, DANRE01492, DANRE34768, DANRE34769, DANRE25607, DANRE38933	AMPFI_01580, AMPFI_02256
OG0000057	DANRE02560, DANRE02558, DANRE02559	AMPFI_22187, AMPFI_02601, AMPFI_04153, AMPFI_22527
OG0000058	DANRE01466, DANRE01467	AMPFI_18481
OG0000058	DANRE15450	AMPFI_03991, AMPFI_22601, AMPFI_13098
OG0000060	DANRE15035, DANRE15034, DANRE05268	AMPFI_23758
OG0000062	DANRE08107, DANRE08104, DANRE08105, DANRE08102, DANRE08103, DANRE08106, DANRE08101, DANRE08100, DANRE28562, DANRE28568, DANRE28566, DANRE28565, DANRE28573, DANRE28574, DANRE28576, DANRE28571, DANRE28572, DANRE28569, DANRE28442, DANRE28441, DANRE28577, DANRE28578, DANRE43388, DANRE28579, DANRE28570	AMPFI_04452, AMPFI_07777, AMPFI_07778, AMPFI_06193
OG0000062	DANRE18807, DANRE18806	AMPFI_05434
OG0000063	DANRE30783, DANRE30785, DANRE30782, DANRE01805, DANRE01806, DANRE36784, DANRE36785	AMPFI_21664
OG0000063	DANRE15770	AMPFI_25718, AMPFI_20407, AMPFI_07613
OG0000066	DANRE40339, DANRE40338, DANRE40337, DANRE40336	AMPFI_09400
OG0000067	DANRE05059, DANRE06045, DANRE20513, DANRE39179	AMPFI_09466, AMPFI_18191, AMPFI_01682, AMPFI_10236, AMPFI_18458, AMPFI_18044, AMPFI_00280, AMPFI_18852, AMPFI_24558, AMPFI_14845, AMPFI_03396, AMPFI_25574, AMPFI_12403, AMPFI_06999
OG0000068	DANRE39760, DANRE39761, DANRE22550, DANRE22548, DANRE36056, DANRE22549, DANRE22547, DANRE39762, DANRE25132, DANRE31207, DANRE31206, DANRE31205, DANRE41310, DANRE31358, DANRE31357	AMPFI_04870
OG0000068	DANRE22551	AMPFI_23414, AMPFI_23547, AMPFI_24987, AMPFI_02102, AMPFI_23184, AMPFI_04648, AMPFI_15422, AMPFI_22045, AMPFI_24986, AMPFI_14044, AMPFI_25888, AMPFI_25645, AMPFI_12166
OG0000069	DANRE26091	AMPFI_08415
OG0000069	DANRE37416	AMPFI_20704, AMPFI_07178
OG0000072	DANRE15952, DANRE15953, DANRE00858, DANRE00856, DANRE00857, DANRE08517	AMPFI_26076
OG0000072	DANRE08498, DANRE08497, DANRE06006	AMPFI_21820
OG0000073	DANRE23044, DANRE24104, DANRE24103, DANRE27229, DANRE39355, DANRE27228, DANRE27227, DANRE24102, DANRE30709, DANRE30708, DANRE12382	AMPFI_10119
OG0000074	DANRE30953, DANRE23378, DANRE15580, DANRE43367, DANRE15578, DANRE15579, DANRE15576, DANRE15577, DANRE15581, DANRE15589, DANRE15590	AMPFI_22998, AMPFI_09812, AMPFI_05452
OG0000074	DANRE17935	AMPFI_19576
OG0000074	DANRE25680	AMPFI_22923, AMPFI_25359, AMPFI_19392, AMPFI_00530, AMPFI_02296
OG0000075	DANRE03709, DANRE26359, DANRE26360	AMPFI_17345, AMPFI_17344
OG0000075	DANRE41686, DANRE41687, DANRE35873, DANRE35872	AMPFI_12462
OG0000075	DANRE23134, DANRE23133	AMPFI_03839
OG0000075	DANRE09985, DANRE09984, DANRE09983, DANRE02787	AMPFI_10510
OG0000075	DANRE41688, DANRE23132	AMPFI_15829
OG0000075	DANRE36834, DANRE40515, DANRE12778	AMPFI_15139
OG0000075	DANRE30937, DANRE41300	AMPFI_15917
OG0000075	DANRE31021, DANRE31022	AMPFI_17574
OG0000078	DANRE39894, DANRE39895, DANRE39896, DANRE26111, DANRE26112, DANRE36848, DANRE30865, DANRE30864	AMPFI_10742, AMPFI_19118, AMPFI_00030, AMPFI_21986
OG0000079	DANRE41428, DANRE41431, DANRE41432, DANRE41429, DANRE41430, DANRE23441, DANRE01701, DANRE07129, DANRE07131, DANRE06662	AMPFI_09380
OG0000079	DANRE00163, DANRE00164, DANRE00165, DANRE19082, DANRE19083, DANRE06228, DANRE06227, DANRE06226, DANRE06225, DANRE06229	AMPFI_09436, AMPFI_07753, AMPFI_20678, AMPFI_00442
OG0000079	DANRE08425, DANRE08424, DANRE08423, DANRE08420, DANRE08416, DANRE08419, DANRE08415, DANRE01231, DANRE01230, DANRE08421, DANRE08418, DANRE08422, DANRE40812, DANRE40811, DANRE40809, DANRE40810, DANRE33381, DANRE40813	AMPFI_24805
OG0000079	DANRE01827, DANRE01825, DANRE01824, DANRE01826	AMPFI_06359, AMPFI_07521
OG0000082	DANRE33308	AMPFI_21007
OG0000082	DANRE06377	AMPFI_06890
OG0000082	DANRE00971	AMPFI_15952, AMPFI_11015
OG0000082	DANRE00970	AMPFI_13856, AMPFI_12634
OG0000085	DANRE03872, DANRE13568, DANRE10642, DANRE42815, DANRE01947	AMPFI_20771
OG0000085	DANRE34010, DANRE34949, DANRE08303, DANRE08302, DANRE35408	AMPFI_09379
OG0000085	DANRE10316	AMPFI_25819
OG0000085	DANRE14204, DANRE04562	AMPFI_04349
OG0000086	DANRE19051	AMPFI_08733
OG0000086	DANRE34828, DANRE34827, DANRE28936	AMPFI_05873
OG0000086	DANRE36075, DANRE31941, DANRE19260	AMPFI_16129, AMPFI_08667
OG0000086	DANRE33398	AMPFI_16003, AMPFI_11221, AMPFI_22909
OG0000086	DANRE07765	AMPFI_07935
OG0000087	DANRE02654, DANRE02653	AMPFI_07196
OG0000087	DANRE42135	AMPFI_09489, AMPFI_05588, AMPFI_13769
OG0000087	DANRE22805, DANRE22804	AMPFI_08649
OG0000087	DANRE24820, DANRE24821	AMPFI_11171
OG0000087	DANRE42134	AMPFI_19662, AMPFI_19663
OG0000088	DANRE05341, DANRE04380, DANRE25416, DANRE12560, DANRE26544, DANRE23867, DANRE36501, DANRE26035	AMPFI_08023, AMPFI_23228, AMPFI_23443, AMPFI_08159, AMPFI_22112, AMPFI_19709, AMPFI_17224, AMPFI_20465, AMPFI_07330, AMPFI_26016, AMPFI_13620, AMPFI_12147, AMPFI_09459
OG0000089	DANRE18392	AMPFI_00096
OG0000091	DANRE19328, DANRE19327, DANRE19329	AMPFI_04685, AMPFI_24623, AMPFI_10622
OG0000094	DANRE40961	AMPFI_02587, AMPFI_25694, AMPFI_04666
OG0000094	DANRE26291, DANRE26290, DANRE39959, DANRE39958, DANRE34093, DANRE34091, DANRE34092, DANRE34090, DANRE34094, DANRE34095, DANRE19459, DANRE19458, DANRE39957, DANRE29718, DANRE29719, DANRE29717, DANRE02593, DANRE02592, DANRE02591	AMPFI_18905, AMPFI_06525
OG0000096	DANRE06854, DANRE41409, DANRE15329, DANRE13475	AMPFI_12180
OG0000096	DANRE40526, DANRE02165, DANRE31394, DANRE31393	AMPFI_22693
OG0000096	DANRE36045, DANRE24893	AMPFI_24766
OG0000096	DANRE14485	AMPFI_09837
OG0000096	DANRE25948, DANRE29004, DANRE39826, DANRE25796, DANRE38945, DANRE38946, DANRE38947	AMPFI_11230
OG0000096	DANRE42235, DANRE21352, DANRE21353, DANRE21354	AMPFI_25309
OG0000098	DANRE29634, DANRE03194, DANRE03198, DANRE03197, DANRE03193, DANRE03195, DANRE03196, DANRE38926, DANRE38925, DANRE42853, DANRE42852, DANRE42851	AMPFI_13259, AMPFI_24967
OG0000098	DANRE43096, DANRE26020, DANRE38317, DANRE38316, DANRE38318, DANRE26021, DANRE38315, DANRE33952, DANRE33953	AMPFI_07962, AMPFI_03629
OG0000100	DANRE31960, DANRE06447, DANRE35571, DANRE40178, DANRE28402	AMPFI_19874, AMPFI_01211
OG0000101	DANRE38569, DANRE26131, DANRE26132	AMPFI_17596, AMPFI_21293
OG0000101	DANRE12070	AMPFI_24234, AMPFI_14741, AMPFI_20349
OG0000101	DANRE23836	AMPFI_14310, AMPFI_02729
OG0000101	DANRE42773, DANRE42772, DANRE21261, DANRE21260, DANRE42774	AMPFI_08160
OG0000102	DANRE11526, DANRE22227, DANRE22226	AMPFI_04172, AMPFI_16803
OG0000103	DANRE09436, DANRE09435, DANRE35623, DANRE35622, DANRE29899, DANRE29898, DANRE35659, DANRE28633, DANRE28634, DANRE35632, DANRE35633	AMPFI_21097
OG0000104	DANRE13410, DANRE13408, DANRE13409, DANRE13411, DANRE00019, DANRE00018, DANRE10295, DANRE10293, DANRE10294, DANRE10296	AMPFI_14148
OG0000104	DANRE08585, DANRE42030, DANRE42031, DANRE42032, DANRE42033, DANRE35890, DANRE03855	AMPFI_11040
OG0000104	DANRE00020, DANRE00021, DANRE13407	AMPFI_02710
OG0000104	DANRE42503, DANRE42504	AMPFI_20370
OG0000104	DANRE02766, DANRE02765, DANRE02767, DANRE30903, DANRE39783	AMPFI_08614
OG0000105	DANRE18695	AMPFI_20996, AMPFI_25994
OG0000106	DANRE38871, DANRE25336, DANRE25339, DANRE25338, DANRE25337, DANRE27190, DANRE24604	AMPFI_02407, AMPFI_14321
OG0000106	DANRE00217, DANRE00219, DANRE00218, DANRE09198, DANRE09199, DANRE25823, DANRE25822	AMPFI_12383, AMPFI_11950, AMPFI_07347, AMPFI_24930, AMPFI_15540, AMPFI_00989
OG0000107	DANRE26157, DANRE26076	AMPFI_13094
OG0000108	DANRE31270, DANRE31272, DANRE31271	AMPFI_01957
OG0000108	DANRE37301, DANRE39470, DANRE39471, DANRE39472, DANRE27718, DANRE27717, DANRE27720, DANRE27719, DANRE27721, DANRE27716, DANRE27735, DANRE27737, DANRE27738, DANRE27736, DANRE27708, DANRE27707	AMPFI_14479, AMPFI_07737
OG0000108	DANRE24437, DANRE26413, DANRE24288, DANRE24289, DANRE08164	AMPFI_15531
OG0000108	DANRE17705, DANRE29556, DANRE26378, DANRE24586, DANRE36583, DANRE23171, DANRE41391	AMPFI_21796, AMPFI_17500, AMPFI_00251, AMPFI_21770, AMPFI_12442, AMPFI_00608, AMPFI_24859, AMPFI_14656, AMPFI_01818, AMPFI_06648, AMPFI_19726, AMPFI_13596, AMPFI_03071
OG0000109	DANRE33256	AMPFI_17985
OG0000110	DANRE11747, DANRE11748, DANRE11749	AMPFI_17055, AMPFI_21701, AMPFI_03800, AMPFI_04584, AMPFI_16212, AMPFI_03550, AMPFI_18622, AMPFI_10052
OG0000113	DANRE34599, DANRE36419, DANRE36418, DANRE36417, DANRE36416, DANRE36415	AMPFI_03282
OG0000114	DANRE09308, DANRE09309, DANRE09310	AMPFI_10608, AMPFI_15203
OG0000114	DANRE05297, DANRE16133, DANRE16132, DANRE00562, DANRE00564, DANRE00563, DANRE02256, DANRE02257, DANRE36669, DANRE33480, DANRE33482, DANRE33481, DANRE22942	AMPFI_03529
OG0000116	DANRE10733	AMPFI_12986
OG0000116	DANRE41907, DANRE41905	AMPFI_10925
OG0000117	DANRE39915	AMPFI_04713, AMPFI_03384, AMPFI_02036, AMPFI_02592, AMPFI_04775, AMPFI_00066, AMPFI_22119
OG0000117	DANRE26217	AMPFI_05731, AMPFI_15869, AMPFI_04658
OG0000117	DANRE35421	AMPFI_06191, AMPFI_16639, AMPFI_21139, AMPFI_03902, AMPFI_06845
OG0000118	DANRE02926	AMPFI_21687
OG0000119	DANRE16116, DANRE16117, DANRE41481, DANRE41482, DANRE41480, DANRE07182, DANRE07181, DANRE29831, DANRE03249	AMPFI_25431
OG0000119	DANRE41697, DANRE23346, DANRE23347, DANRE09855, DANRE09856, DANRE09854, DANRE29168, DANRE29167	AMPFI_07345, AMPFI_07307
OG0000119	DANRE42690, DANRE42691, DANRE05898	AMPFI_24152
OG0000120	DANRE00402, DANRE25821, DANRE00097	AMPFI_15831
OG0000121	DANRE29693, DANRE29694, DANRE29695, DANRE29696, DANRE29692, DANRE29691, DANRE29690	AMPFI_02289, AMPFI_15541
OG0000121	DANRE23017	AMPFI_05928
