Orthogroup	DANRE	NEMVE
OG0000010	DANRE34456, DANRE07824, DANRE29658, DANRE03180, DANRE03179, DANRE29163, DANRE29161, DANRE29162, DANRE03165, DANRE25582, DANRE36540, DANRE36542, DANRE36541	NEMVE08097, NEMVE05663, NEMVE09594, NEMVE01139, NEMVE10384, NEMVE08328, NEMVE12787, NEMVE21978, NEMVE15512, NEMVE00299, NEMVE10065, NEMVE10064, NEMVE11692, NEMVE10063
OG0000011	DANRE22618, DANRE32639, DANRE19908, DANRE03442	NEMVE10152
OG0000012	DANRE25930, DANRE25931, DANRE12655, DANRE12656, DANRE12659	NEMVE09268, NEMVE05547
OG0000013	DANRE02564, DANRE02565, DANRE02567, DANRE02566, DANRE02563, DANRE02568, DANRE41664, DANRE41663, DANRE41661, DANRE41662, DANRE41659, DANRE41658, DANRE41657, DANRE35359, DANRE35361, DANRE35360, DANRE35367, DANRE35365, DANRE35366, DANRE35364, DANRE33461, DANRE33468, DANRE33462, DANRE33466, DANRE33467, DANRE33465, DANRE33464, DANRE33463, DANRE24713, DANRE39935, DANRE39936, DANRE00714, DANRE37989, DANRE12210, DANRE15499, DANRE15493, DANRE15492, DANRE15491, DANRE15498, DANRE15497, DANRE15495, DANRE15494, DANRE25903, DANRE25904, DANRE25905, DANRE13233, DANRE13234, DANRE13231, DANRE13232, DANRE13235, DANRE00838	NEMVE13893, NEMVE05875, NEMVE01242, NEMVE11444, NEMVE23684, NEMVE09508, NEMVE09506, NEMVE08890, NEMVE08262, NEMVE00977
OG0000014	DANRE17251, DANRE43403	NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819
OG0000015	DANRE15829, DANRE07077	NEMVE01032, NEMVE12485, NEMVE00817
OG0000015	DANRE07037, DANRE07036, DANRE03906, DANRE05961, DANRE41277, DANRE41276, DANRE06610, DANRE36519, DANRE36518, DANRE36520, DANRE20233, DANRE20234, DANRE04836, DANRE04835, DANRE06611, DANRE20443, DANRE11101, DANRE11100, DANRE17308, DANRE17307, DANRE17306, DANRE17304, DANRE17305, DANRE12114, DANRE24410, DANRE01122, DANRE24409	NEMVE09590, NEMVE09832, NEMVE01566
OG0000016	DANRE38616, DANRE06628, DANRE06627, DANRE13366	NEMVE10959
OG0000016	DANRE04448	NEMVE18985
OG0000016	DANRE35611	NEMVE14449, NEMVE01947, NEMVE01449, NEMVE05079, NEMVE20577, NEMVE25247, NEMVE00923, NEMVE09035, NEMVE08472, NEMVE13671, NEMVE08763
OG0000016	DANRE02012	NEMVE05675
OG0000016	DANRE13447	NEMVE01836
OG0000018	DANRE24545, DANRE35342, DANRE25794, DANRE36083, DANRE25761, DANRE28032, DANRE14196, DANRE38851, DANRE22527, DANRE26621, DANRE11765, DANRE36195, DANRE03525, DANRE11263, DANRE14820, DANRE41490, DANRE37176, DANRE08199, DANRE24881, DANRE08547, DANRE40578, DANRE10138, DANRE32666, DANRE04209, DANRE28234, DANRE04603, DANRE29058, DANRE05534, DANRE17601, DANRE09239, DANRE24202, DANRE31993, DANRE10860, DANRE34666, DANRE28525, DANRE06532, DANRE42745, DANRE25935, DANRE41823, DANRE28532, DANRE32198, DANRE23599, DANRE04161, DANRE11286, DANRE13094	NEMVE07261
OG0000018	DANRE13954, DANRE13946	NEMVE12742, NEMVE12416
OG0000019	DANRE41681	NEMVE06549
OG0000019	DANRE39715, DANRE24632, DANRE24631, DANRE21113, DANRE21112, DANRE29948, DANRE29945, DANRE29947, DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869	NEMVE10489
OG0000020	DANRE37310	NEMVE06048, NEMVE13554
OG0000020	DANRE10670	NEMVE05671
OG0000020	DANRE40536	NEMVE14242
OG0000020	DANRE14742, DANRE09733, DANRE18650, DANRE10748, DANRE23011, DANRE42755, DANRE24424, DANRE24423, DANRE27995, DANRE27624, DANRE27625, DANRE30414	NEMVE13317, NEMVE16589, NEMVE10183, NEMVE17621, NEMVE03465, NEMVE14976, NEMVE21956, NEMVE21862
OG0000020	DANRE27431, DANRE27432, DANRE27433	NEMVE05506
OG0000020	DANRE06741, DANRE06740, DANRE15747	NEMVE08770, NEMVE22771
OG0000020	DANRE22958, DANRE22959	NEMVE13577
OG0000020	DANRE06663, DANRE06664, DANRE15816	NEMVE13307
OG0000020	DANRE18984	NEMVE21746
OG0000020	DANRE27379	NEMVE13092
OG0000021	DANRE38577, DANRE08977, DANRE08978, DANRE08976, DANRE08348, DANRE33679	NEMVE17642, NEMVE17644, NEMVE21888
OG0000021	DANRE33712, DANRE33711, DANRE33342, DANRE33343	NEMVE14759, NEMVE06841, NEMVE12110, NEMVE22480, NEMVE21761, NEMVE08095
OG0000021	DANRE37717, DANRE02277, DANRE27401, DANRE27403, DANRE27400, DANRE20108	NEMVE04837
OG0000023	DANRE19492, DANRE40604, DANRE27752, DANRE38057, DANRE39283, DANRE25540, DANRE36925, DANRE26382, DANRE26381, DANRE29650, DANRE29649, DANRE03181, DANRE19476, DANRE19477	NEMVE02033, NEMVE05058, NEMVE00878
OG0000025	DANRE19901, DANRE03302, DANRE09085, DANRE21568	NEMVE11507, NEMVE09420
OG0000026	DANRE09875	NEMVE05956, NEMVE12539, NEMVE05975, NEMVE07911, NEMVE12540, NEMVE14231, NEMVE02456, NEMVE19119, NEMVE15036, NEMVE11860, NEMVE10138, NEMVE10137, NEMVE10629, NEMVE11596, NEMVE02542, NEMVE02515, NEMVE03115, NEMVE17182, NEMVE10477, NEMVE10141, NEMVE11809, NEMVE11355, NEMVE11214, NEMVE10424, NEMVE10535, NEMVE10632, NEMVE10426, NEMVE10474, NEMVE10479, NEMVE15004, NEMVE00616, NEMVE01360, NEMVE10139, NEMVE00722, NEMVE10481, NEMVE00708, NEMVE00807
OG0000026	DANRE42258, DANRE07529	NEMVE24164, NEMVE07469
OG0000027	DANRE39144, DANRE10366, DANRE03058, DANRE03059, DANRE03061, DANRE29465, DANRE03471, DANRE22990, DANRE22989, DANRE41021, DANRE41022, DANRE41023, DANRE41020, DANRE41018, DANRE41275, DANRE41019, DANRE41017, DANRE41008, DANRE41009, DANRE02909	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706
OG0000029	DANRE39912, DANRE39910, DANRE39911, DANRE39909, DANRE12668, DANRE12669, DANRE40256, DANRE22155, DANRE11325, DANRE16818, DANRE16817, DANRE13326	NEMVE01722, NEMVE08343
OG0000030	DANRE41079, DANRE41078	NEMVE02213, NEMVE02794
OG0000030	DANRE08391	NEMVE06265
OG0000030	DANRE03978	NEMVE06266, NEMVE00220
OG0000031	DANRE20694	NEMVE00311, NEMVE00632, NEMVE02249, NEMVE08151
OG0000031	DANRE41496, DANRE35535, DANRE23155	NEMVE01854
OG0000031	DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505	NEMVE06981
OG0000031	DANRE17238	NEMVE07223
OG0000031	DANRE13622, DANRE13623	NEMVE01806
OG0000031	DANRE26516	NEMVE01412
OG0000031	DANRE11621	NEMVE02343
OG0000031	DANRE02768, DANRE23382	NEMVE04984
OG0000031	DANRE20276, DANRE16190, DANRE42316	NEMVE07820
OG0000031	DANRE27399, DANRE21472, DANRE14252	NEMVE12067
OG0000031	DANRE16189, DANRE42315, DANRE15746	NEMVE21885
OG0000031	DANRE42215, DANRE15380, DANRE42216, DANRE28106, DANRE23847, DANRE23848	NEMVE22486
OG0000032	DANRE24197	NEMVE03085
OG0000034	DANRE35041	NEMVE07311, NEMVE07285
OG0000034	DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947	NEMVE10927
OG0000034	DANRE14484, DANRE09880, DANRE38036	NEMVE10961, NEMVE24294
OG0000034	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613	NEMVE06675, NEMVE11922, NEMVE10845
OG0000034	DANRE04100	NEMVE05344
OG0000034	DANRE25182	NEMVE16104, NEMVE09479, NEMVE10924
OG0000035	DANRE23313	NEMVE23841
OG0000035	DANRE40563, DANRE38347, DANRE12928, DANRE12929, DANRE27654	NEMVE22676
OG0000035	DANRE31052, DANRE25078, DANRE12998, DANRE12997	NEMVE22226, NEMVE05357, NEMVE02194
OG0000035	DANRE29644, DANRE29645, DANRE13480, DANRE13479, DANRE12467, DANRE12466, DANRE30988	NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233
OG0000036	DANRE11991, DANRE38630	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372
OG0000037	DANRE11959, DANRE17549, DANRE11958, DANRE11635, DANRE11634, DANRE17282, DANRE17582, DANRE10717, DANRE10716, DANRE06286, DANRE06287, DANRE03950, DANRE03951, DANRE05592, DANRE05591, DANRE37805, DANRE37804, DANRE13383	NEMVE00865, NEMVE01113
OG0000037	DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607	NEMVE10401
OG0000038	DANRE04612	NEMVE06149
OG0000038	DANRE41584	NEMVE22353, NEMVE14268, NEMVE25950, NEMVE02186, NEMVE17895
OG0000039	DANRE18250, DANRE18249, DANRE18251, DANRE18253, DANRE18252	NEMVE01371, NEMVE05995
OG0000039	DANRE38069, DANRE38070	NEMVE09831, NEMVE16411, NEMVE04657
OG0000039	DANRE09344	NEMVE18297, NEMVE18296
OG0000041	DANRE24726	NEMVE02645, NEMVE12910, NEMVE02225, NEMVE15516
OG0000041	DANRE29584, DANRE29586, DANRE29583, DANRE29585, DANRE24718, DANRE38473, DANRE38474, DANRE38475, DANRE25228, DANRE30702, DANRE30703, DANRE30699, DANRE30704, DANRE30700, DANRE40396, DANRE40397	NEMVE05166, NEMVE17369, NEMVE07542, NEMVE08619, NEMVE21809, NEMVE02404, NEMVE05170, NEMVE01536, NEMVE08033
OG0000041	DANRE29492, DANRE36857, DANRE22432, DANRE25655, DANRE33053, DANRE36856, DANRE25654, DANRE43342, DANRE38441	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031
OG0000041	DANRE36805, DANRE27215, DANRE24076, DANRE27216, DANRE05493, DANRE05492, DANRE18224, DANRE05473, DANRE36043, DANRE17635	NEMVE05295
OG0000044	DANRE06946, DANRE06947, DANRE06457, DANRE17818, DANRE24284, DANRE24283, DANRE24280	NEMVE05548, NEMVE05555, NEMVE06435, NEMVE06437, NEMVE08743
OG0000045	DANRE38824	NEMVE24106
OG0000045	DANRE00498, DANRE00497, DANRE34860, DANRE34861	NEMVE00309, NEMVE15224, NEMVE04686
OG0000045	DANRE05823	NEMVE06398, NEMVE16386, NEMVE08202, NEMVE03249, NEMVE10335, NEMVE12603
OG0000046	DANRE15742, DANRE15458, DANRE15457, DANRE06026, DANRE06027, DANRE09905, DANRE20292, DANRE09276, DANRE42278, DANRE42280, DANRE42172, DANRE42168, DANRE42170, DANRE42174, DANRE42171, DANRE42169, DANRE42167, DANRE42279, DANRE42166, DANRE42173, DANRE42277, DANRE09606, DANRE09605	NEMVE08905, NEMVE15252
OG0000048	DANRE16164, DANRE16166, DANRE16167, DANRE16163	NEMVE05567
OG0000048	DANRE24176, DANRE24175, DANRE27247, DANRE27248, DANRE24174, DANRE24603, DANRE05500, DANRE08311, DANRE38354, DANRE14945, DANRE10170, DANRE10169	NEMVE14912
OG0000048	DANRE17556, DANRE05472	NEMVE14024
OG0000048	DANRE26183	NEMVE15061
OG0000049	DANRE18176, DANRE10819, DANRE00818, DANRE08853, DANRE08855, DANRE08854, DANRE36715, DANRE36714, DANRE02678, DANRE12445, DANRE22104, DANRE39773, DANRE39775, DANRE39774, DANRE02437, DANRE02436, DANRE36818, DANRE36819, DANRE30745, DANRE25833	NEMVE19461, NEMVE02399, NEMVE21864
OG0000049	DANRE35265	NEMVE16082
OG0000050	DANRE05388, DANRE16154, DANRE21370, DANRE14263, DANRE25768, DANRE00430, DANRE32860, DANRE42655, DANRE31654, DANRE32311, DANRE20964	NEMVE01136
OG0000050	DANRE33098, DANRE32869, DANRE33097, DANRE32870	NEMVE20024, NEMVE15194, NEMVE17974
OG0000051	DANRE04454, DANRE04455, DANRE04456, DANRE04458, DANRE04457	NEMVE18951, NEMVE15008
OG0000054	DANRE06791, DANRE15743	NEMVE15086, NEMVE10916
OG0000054	DANRE09041, DANRE09042	NEMVE05466
OG0000055	DANRE26046, DANRE37399	NEMVE00590
OG0000055	DANRE26075	NEMVE19639
OG0000056	DANRE40469	NEMVE11933
OG0000056	DANRE01913, DANRE01914, DANRE39460, DANRE39459, DANRE15877, DANRE15878, DANRE15879, DANRE39458, DANRE26297, DANRE26296, DANRE26298, DANRE26299, DANRE30224, DANRE30223, DANRE17147, DANRE17148, DANRE17149, DANRE30238, DANRE01911, DANRE01910	NEMVE01724, NEMVE05835, NEMVE01653
OG0000056	DANRE40924, DANRE40923	NEMVE01503, NEMVE04541
OG0000056	DANRE30239	NEMVE19957, NEMVE15228
OG0000057	DANRE01491, DANRE01492, DANRE34768, DANRE34769, DANRE25607, DANRE38933	NEMVE03498, NEMVE03044, NEMVE05190, NEMVE02467, NEMVE05216, NEMVE05223, NEMVE05204, NEMVE05225, NEMVE12328, NEMVE05177, NEMVE05220, NEMVE03446, NEMVE07617, NEMVE07622, NEMVE25939, NEMVE23329, NEMVE05208, NEMVE02722, NEMVE16190
OG0000057	DANRE02560, DANRE02558, DANRE02559	NEMVE08590, NEMVE08584, NEMVE02970, NEMVE11676
OG0000058	DANRE17254	NEMVE06253
OG0000058	DANRE01466, DANRE01467	NEMVE13151
OG0000058	DANRE15450	NEMVE00498
OG0000059	DANRE19797, DANRE19798, DANRE19796, DANRE13287, DANRE06156, DANRE06155, DANRE06072, DANRE06071, DANRE00651, DANRE20106, DANRE08743, DANRE08744	NEMVE15315, NEMVE02009, NEMVE06154
OG0000060	DANRE29003, DANRE24797, DANRE24796, DANRE38454, DANRE38453, DANRE38452, DANRE26104, DANRE12576	NEMVE01006, NEMVE11210, NEMVE00908, NEMVE18881, NEMVE00777
OG0000062	DANRE08107, DANRE08104, DANRE08105, DANRE08102, DANRE08103, DANRE08106, DANRE08101, DANRE08100, DANRE28562, DANRE28568, DANRE28566, DANRE28565, DANRE28573, DANRE28574, DANRE28576, DANRE28571, DANRE28572, DANRE28569, DANRE28442, DANRE28441, DANRE28577, DANRE28578, DANRE43388, DANRE28579, DANRE28570	NEMVE10327
OG0000062	DANRE18807, DANRE18806	NEMVE14126
OG0000063	DANRE20941, DANRE20940, DANRE20939, DANRE43110, DANRE15766, DANRE15767, DANRE15768, DANRE15769, DANRE26798, DANRE26796, DANRE26797, DANRE35514, DANRE35513	NEMVE05614
OG0000063	DANRE30783, DANRE30785, DANRE30782, DANRE01805, DANRE01806, DANRE36784, DANRE36785	NEMVE00961
OG0000063	DANRE36896	NEMVE10930, NEMVE10935, NEMVE10931, NEMVE01013, NEMVE10933, NEMVE05615, NEMVE13213, NEMVE09357, NEMVE19786, NEMVE09682
OG0000063	DANRE19500, DANRE19501, DANRE11531, DANRE11532, DANRE04204, DANRE04205, DANRE21781	NEMVE09684
OG0000065	DANRE33929, DANRE19442, DANRE11091, DANRE13549, DANRE13808, DANRE13807, DANRE30234, DANRE30232, DANRE30233, DANRE39633, DANRE39634, DANRE39641, DANRE39631, DANRE39632, DANRE39635, DANRE39637, DANRE39636, DANRE39638, DANRE39908	NEMVE02128, NEMVE02142, NEMVE07842, NEMVE11941, NEMVE09169, NEMVE17235, NEMVE07009, NEMVE07010, NEMVE01667, NEMVE07812, NEMVE11483, NEMVE06777, NEMVE05666, NEMVE09396, NEMVE07281, NEMVE13551
OG0000066	DANRE40339, DANRE40338, DANRE40337, DANRE40336	NEMVE02094, NEMVE00829
OG0000067	DANRE05059, DANRE06045, DANRE20513, DANRE39179	NEMVE14139, NEMVE14099
OG0000068	DANRE31239, DANRE39798, DANRE39799, DANRE23489, DANRE23339, DANRE39760, DANRE39761, DANRE22550, DANRE22548, DANRE36056, DANRE22549, DANRE22547, DANRE39762, DANRE25132, DANRE31207, DANRE31206, DANRE31205, DANRE41310, DANRE31358, DANRE31357, DANRE22551	NEMVE24661, NEMVE20048
OG0000069	DANRE26091	NEMVE21932, NEMVE14181, NEMVE11511
OG0000069	DANRE37466	NEMVE21739
OG0000069	DANRE26154	NEMVE22023
OG0000069	DANRE26088	NEMVE12246
OG0000069	DANRE26077, DANRE26160, DANRE39502, DANRE39507, DANRE39496, DANRE39492, DANRE37450, DANRE26173, DANRE26170, DANRE26153, DANRE26152	NEMVE21883, NEMVE21728
OG0000069	DANRE24751, DANRE34404, DANRE30153, DANRE08957, DANRE08956	NEMVE15092
OG0000069	DANRE37416	NEMVE12607
OG0000069	DANRE37404	NEMVE21912
OG0000070	DANRE18387, DANRE02540	NEMVE23951, NEMVE09231, NEMVE05946
OG0000071	DANRE38652, DANRE38653, DANRE38644, DANRE38645, DANRE38647, DANRE38651, DANRE38650, DANRE38649, DANRE41730, DANRE41729, DANRE41727, DANRE41728, DANRE21412, DANRE21413, DANRE21410, DANRE21409, DANRE21414, DANRE21408, DANRE21411, DANRE21415, DANRE21416	NEMVE22171
OG0000071	DANRE01478	NEMVE00664
OG0000072	DANRE06708, DANRE15716, DANRE15720, DANRE15719, DANRE15717, DANRE15718, DANRE06793, DANRE06794, DANRE06795, DANRE06796, DANRE08770, DANRE08769, DANRE00814, DANRE00815	NEMVE01460
OG0000072	DANRE15952, DANRE15953, DANRE00858, DANRE00856, DANRE00857, DANRE08517	NEMVE07818
OG0000074	DANRE17935	NEMVE04681
OG0000075	DANRE03709, DANRE26359, DANRE26360	NEMVE23844
OG0000075	DANRE23134, DANRE23133	NEMVE13100
OG0000075	DANRE09985, DANRE09984, DANRE09983, DANRE02787	NEMVE15115
OG0000075	DANRE01002, DANRE34361	NEMVE21913
OG0000075	DANRE41688, DANRE23132	NEMVE18051
OG0000075	DANRE31020	NEMVE06044
OG0000075	DANRE36834, DANRE40515, DANRE12778	NEMVE24197
OG0000075	DANRE30937, DANRE41300	NEMVE22411
OG0000075	DANRE24998, DANRE31372, DANRE31373, DANRE22408, DANRE02483	NEMVE17771
OG0000075	DANRE31021, DANRE31022	NEMVE07707
OG0000077	DANRE16390, DANRE20043, DANRE07192, DANRE00591, DANRE00590, DANRE39691, DANRE24245, DANRE24244, DANRE10615, DANRE10614, DANRE34995, DANRE08145, DANRE01477, DANRE40866, DANRE22036, DANRE06030, DANRE20156, DANRE16358, DANRE11696, DANRE11492, DANRE16170, DANRE41853, DANRE41854, DANRE17386, DANRE40644, DANRE19656, DANRE19657, DANRE33612, DANRE00616, DANRE33611, DANRE33613, DANRE17597, DANRE11294, DANRE11293, DANRE25103	NEMVE04990
OG0000078	DANRE39894, DANRE39895, DANRE39896, DANRE26111, DANRE26112, DANRE36848, DANRE30865, DANRE30864	NEMVE17207
OG0000078	DANRE36849	NEMVE09271
OG0000079	DANRE41428, DANRE41431, DANRE41432, DANRE41429, DANRE41430, DANRE23441, DANRE01701, DANRE07129, DANRE07131, DANRE06662	NEMVE07219, NEMVE03189
OG0000079	DANRE08425, DANRE08424, DANRE08423, DANRE08420, DANRE08416, DANRE08419, DANRE08415, DANRE01231, DANRE01230, DANRE08421, DANRE08418, DANRE08422, DANRE40812, DANRE40811, DANRE40809, DANRE40810, DANRE33381, DANRE40813, DANRE33383	NEMVE08009
OG0000081	DANRE40649, DANRE40650, DANRE21459, DANRE14250, DANRE21460, DANRE24930, DANRE38366, DANRE24350, DANRE24349, DANRE20206, DANRE20207, DANRE41912, DANRE41911	NEMVE06228, NEMVE02734, NEMVE09334, NEMVE12527, NEMVE05056
OG0000082	DANRE33308	NEMVE19066
