Orthogroup	DANRE	HUMAN
OG0000001	DANRE00718, DANRE00765, DANRE00766, DANRE00769, DANRE00768, DANRE00812, DANRE00809, DANRE00810, DANRE00811, DANRE03280, DANRE00762, DANRE00763, DANRE00764, DANRE00767	HUMAN14514, HUMAN14515, HUMAN14863
OG0000001	DANRE14857, DANRE09569, DANRE13671, DANRE13664, DANRE13665, DANRE13666, DANRE13667, DANRE13668, DANRE13663	HUMAN17113, HUMAN17112, HUMAN05942, HUMAN05938, HUMAN05925, HUMAN05943, HUMAN05944
OG0000001	DANRE29550	HUMAN10621, HUMAN10623
OG0000002	DANRE16673	HUMAN22770
OG0000002	DANRE07411, DANRE07410	HUMAN03456, HUMAN03459, HUMAN03828, HUMAN03454, HUMAN03455, HUMAN03453, HUMAN15589, HUMAN15587, HUMAN15585, HUMAN15586, HUMAN15588
OG0000002	DANRE38244, DANRE38242, DANRE38243	HUMAN04207
OG0000002	DANRE17907, DANRE17906, DANRE17905, DANRE17904, DANRE17908, DANRE23589, DANRE23588	HUMAN01080
OG0000002	DANRE28739	HUMAN20270
OG0000004	DANRE17331	HUMAN27462, HUMAN27463, HUMAN27619
OG0000004	DANRE30388, DANRE30387, DANRE30389, DANRE30390	HUMAN13470
OG0000004	DANRE10231	HUMAN27464
OG0000004	DANRE31040	HUMAN05920
OG0000004	DANRE15804, DANRE15805	HUMAN22815
OG0000004	DANRE30830, DANRE30828, DANRE30829, DANRE31045	HUMAN05919, HUMAN05921
OG0000005	DANRE20576, DANRE20588, DANRE20587, DANRE20586	HUMAN23763, HUMAN23764
OG0000005	DANRE11253, DANRE11252, DANRE11254, DANRE11251, DANRE11250, DANRE02588	HUMAN25098
OG0000005	DANRE20012, DANRE20011, DANRE20010	HUMAN04760, HUMAN04761
OG0000005	DANRE17265, DANRE14948, DANRE27010, DANRE24204	HUMAN20683
OG0000005	DANRE18558	HUMAN25811, HUMAN25812
OG0000005	DANRE10777	HUMAN25813
OG0000005	DANRE18161	HUMAN25469
OG0000005	DANRE11160	HUMAN01465
OG0000006	DANRE02891	HUMAN21060
OG0000006	DANRE35529, DANRE26614, DANRE26613	HUMAN00944
OG0000006	DANRE06496, DANRE06495	HUMAN22351
OG0000006	DANRE08940	HUMAN05133
OG0000006	DANRE07561, DANRE07562	HUMAN21718
OG0000006	DANRE42479, DANRE42480	HUMAN29537
OG0000006	DANRE18291, DANRE26970, DANRE26971, DANRE18292	HUMAN02118
OG0000006	DANRE20396, DANRE24336	HUMAN29691
OG0000006	DANRE40393	HUMAN01388
OG0000006	DANRE12604	HUMAN06884
OG0000006	DANRE38227, DANRE13192, DANRE13191	HUMAN04380
OG0000006	DANRE11213, DANRE11212	HUMAN18782, HUMAN18784, HUMAN18783
OG0000006	DANRE11601	HUMAN08640
OG0000006	DANRE30064, DANRE15483	HUMAN25905
OG0000006	DANRE19266, DANRE19265, DANRE34833, DANRE34834	HUMAN23524
OG0000006	DANRE05395	HUMAN03111
OG0000006	DANRE20981, DANRE28318, DANRE19321	HUMAN14017
OG0000006	DANRE07087, DANRE07088	HUMAN22793, HUMAN22791, HUMAN22792
OG0000006	DANRE04631, DANRE04632	HUMAN03581
OG0000006	DANRE20580	HUMAN23822
OG0000006	DANRE11156	HUMAN08856
OG0000006	DANRE11155	HUMAN19716
OG0000006	DANRE11849	HUMAN08442
OG0000006	DANRE16704, DANRE11329	HUMAN17032
OG0000006	DANRE04654, DANRE04655	HUMAN24331
OG0000006	DANRE35252	HUMAN12248
OG0000007	DANRE26275	HUMAN24418
OG0000007	DANRE17982	HUMAN11538
OG0000007	DANRE38320, DANRE26009	HUMAN09570
OG0000007	DANRE40798, DANRE40799	HUMAN28803
OG0000007	DANRE13390	HUMAN15831
OG0000007	DANRE11787, DANRE11788	HUMAN18759
OG0000007	DANRE10909, DANRE10908	HUMAN08323
OG0000007	DANRE36378	HUMAN01097
OG0000007	DANRE29354, DANRE34325, DANRE40143	HUMAN23486, HUMAN00971
OG0000007	DANRE16014, DANRE16015	HUMAN28936
OG0000007	DANRE07035, DANRE20085	HUMAN24202
OG0000007	DANRE04871	HUMAN17278
OG0000007	DANRE04210	HUMAN03780
OG0000007	DANRE28394, DANRE07751, DANRE07750	HUMAN21567
OG0000007	DANRE12664	HUMAN11539
OG0000007	DANRE03447	HUMAN28408
OG0000007	DANRE26278, DANRE26279, DANRE17980, DANRE17979	HUMAN24416
OG0000007	DANRE26277	HUMAN24417
OG0000007	DANRE12992, DANRE12991	HUMAN11533
OG0000007	DANRE03039	HUMAN13635
OG0000007	DANRE08320	HUMAN12258
OG0000007	DANRE33659	HUMAN07103
OG0000007	DANRE11123	HUMAN08774
OG0000007	DANRE03760, DANRE05908	HUMAN16949
OG0000007	DANRE30028	HUMAN25936
OG0000007	DANRE03038, DANRE28801	HUMAN13634
OG0000007	DANRE30495	HUMAN13395
OG0000007	DANRE02453	HUMAN00818
OG0000007	DANRE09326, DANRE09325	HUMAN05935
OG0000007	DANRE11519	HUMAN08248
OG0000008	DANRE27059	HUMAN14538
OG0000008	DANRE36385, DANRE36384, DANRE36386, DANRE36383	HUMAN01095
OG0000008	DANRE34310	HUMAN29311, HUMAN29312
OG0000008	DANRE31436	HUMAN26474
OG0000008	DANRE15525	HUMAN22971
OG0000008	DANRE41005, DANRE41006	HUMAN00243
OG0000010	DANRE21116, DANRE21115, DANRE21125, DANRE21126, DANRE21124, DANRE21123, DANRE21122, DANRE21119, DANRE21117, DANRE21118, DANRE21127, DANRE21136	HUMAN06424
OG0000010	DANRE33958, DANRE33959	HUMAN00318, HUMAN00317
OG0000010	DANRE40235, DANRE40234, DANRE40232, DANRE40233	HUMAN00316
OG0000010	DANRE38562, DANRE38564, DANRE38563	HUMAN11412, HUMAN11410, HUMAN11411
OG0000010	DANRE08709, DANRE08676, DANRE08677, DANRE08708	HUMAN11268
OG0000010	DANRE28016, DANRE28015, DANRE28014, DANRE30968	HUMAN18382
OG0000010	DANRE25470	HUMAN20806, HUMAN20807
OG0000010	DANRE21309, DANRE21308	HUMAN14278
OG0000010	DANRE29658, DANRE03180, DANRE03179, DANRE29163, DANRE29161, DANRE29162, DANRE03165, DANRE25582, DANRE36540, DANRE36542, DANRE36541	HUMAN10343, HUMAN10940, HUMAN10342, HUMAN10337
OG0000010	DANRE09723, DANRE09722, DANRE13204, DANRE13205	HUMAN16109, HUMAN16111, HUMAN16121, HUMAN16110, HUMAN16122, HUMAN16101, HUMAN16115
OG0000010	DANRE09716, DANRE09718, DANRE09717	HUMAN27128, HUMAN27130, HUMAN27129, HUMAN28616, HUMAN28615
OG0000011	DANRE22618, DANRE32639, DANRE19908, DANRE03442	HUMAN08916
OG0000012	DANRE25930, DANRE25931	HUMAN11057, HUMAN11196, HUMAN11194, HUMAN11197, HUMAN11198, HUMAN11055, HUMAN11056
OG0000012	DANRE12655, DANRE12656, DANRE12659	HUMAN11190
OG0000013	DANRE15807	HUMAN22810
OG0000013	DANRE02564, DANRE02565, DANRE02567, DANRE02566, DANRE02563, DANRE02568, DANRE41664, DANRE41663, DANRE41661, DANRE41662, DANRE41659, DANRE41658, DANRE41657	HUMAN18418, HUMAN18417, HUMAN18416, HUMAN18419, HUMAN18410, HUMAN18413, HUMAN18411, HUMAN18412, HUMAN18415
OG0000013	DANRE35359, DANRE35361, DANRE35360, DANRE35367, DANRE35365, DANRE35366, DANRE35364, DANRE33461, DANRE33468, DANRE33462, DANRE33466, DANRE33467, DANRE33465, DANRE33464, DANRE33463	HUMAN22469, HUMAN22470, HUMAN22464, HUMAN22463, HUMAN22465, HUMAN22466, HUMAN22467, HUMAN22462, HUMAN22468, HUMAN22460, HUMAN22461
OG0000014	DANRE37898	HUMAN11875
OG0000014	DANRE35206, DANRE12526, DANRE12528, DANRE12527	HUMAN11876
OG0000014	DANRE40509, DANRE36844	HUMAN01436
OG0000014	DANRE43146	HUMAN06713
OG0000014	DANRE03629	HUMAN20148
OG0000014	DANRE29858, DANRE04027	HUMAN13605, HUMAN13607
OG0000014	DANRE30100, DANRE03816	HUMAN13308, HUMAN13309
OG0000014	DANRE11299, DANRE03520	HUMAN03416
OG0000014	DANRE40391	HUMAN01394
OG0000014	DANRE11197, DANRE03296	HUMAN18336, HUMAN03159
OG0000014	DANRE17251	HUMAN25476
OG0000014	DANRE43403	HUMAN30053
OG0000014	DANRE03675, DANRE03674, DANRE43177, DANRE29871	HUMAN13227
OG0000015	DANRE15829, DANRE07077	HUMAN22985
OG0000015	DANRE07037, DANRE07036, DANRE03906, DANRE05961	HUMAN24211
OG0000015	DANRE41277, DANRE41276	HUMAN00090
OG0000015	DANRE06610	HUMAN24177
OG0000015	DANRE20233, DANRE20234, DANRE04836, DANRE04835	HUMAN09170
OG0000015	DANRE11101, DANRE11100, DANRE17308, DANRE17307, DANRE17306	HUMAN25367
OG0000015	DANRE24410, DANRE01122, DANRE24409	HUMAN21195
OG0000015	DANRE20436, DANRE20437, DANRE20438	HUMAN24184
OG0000015	DANRE04834, DANRE04833	HUMAN22368
OG0000015	DANRE36515	HUMAN09174
OG0000015	DANRE04832, DANRE04831	HUMAN22369
OG0000015	DANRE20439, DANRE20441, DANRE20440	HUMAN24183
OG0000015	DANRE20520	HUMAN30472
OG0000015	DANRE36517, DANRE36516	HUMAN09173
OG0000015	DANRE06176	HUMAN22372
OG0000015	DANRE20442	HUMAN24180, HUMAN24179, HUMAN24178
OG0000015	DANRE42903, DANRE42902	HUMAN29611
OG0000015	DANRE07145, DANRE07146, DANRE07144	HUMAN30168
OG0000015	DANRE16271	HUMAN23062
OG0000015	DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692	HUMAN24113
OG0000016	DANRE38616	HUMAN11007, HUMAN11006
OG0000016	DANRE13366	HUMAN21858
OG0000016	DANRE29900	HUMAN10581
OG0000016	DANRE29901, DANRE29903, DANRE29904, DANRE35774	HUMAN10583
OG0000016	DANRE03065, DANRE03064	HUMAN12987
OG0000016	DANRE04448	HUMAN03528
OG0000016	DANRE35611	HUMAN07767
OG0000016	DANRE02012	HUMAN25103
OG0000016	DANRE13447	HUMAN25104
OG0000016	DANRE31212, DANRE31213, DANRE31211	HUMAN06120
OG0000016	DANRE25754, DANRE13449, DANRE13448, DANRE25751, DANRE25753	HUMAN04223
OG0000019	DANRE21114	HUMAN06384
OG0000019	DANRE39715	HUMAN06385, HUMAN06383
OG0000019	DANRE29948	HUMAN12384
OG0000019	DANRE29945, DANRE29947	HUMAN12385
OG0000019	DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869	HUMAN18277
OG0000020	DANRE03458	HUMAN26158
OG0000020	DANRE10827, DANRE10826, DANRE10743	HUMAN12659
OG0000020	DANRE10670	HUMAN08344
OG0000020	DANRE40536	HUMAN02350, HUMAN02349
OG0000020	DANRE14742, DANRE09733	HUMAN28205
OG0000020	DANRE18650, DANRE10748	HUMAN16669
OG0000020	DANRE23011	HUMAN00163
OG0000020	DANRE42755	HUMAN17840
OG0000020	DANRE24424, DANRE24423, DANRE27995	HUMAN21854
OG0000020	DANRE27624, DANRE27625	HUMAN21853
OG0000020	DANRE27431, DANRE27432, DANRE27433	HUMAN02145
OG0000020	DANRE06741, DANRE06740	HUMAN30100
OG0000020	DANRE15747	HUMAN07717, HUMAN22328
OG0000020	DANRE22958, DANRE22959	HUMAN00010
OG0000020	DANRE06663, DANRE06664	HUMAN23847
OG0000020	DANRE15816	HUMAN23024
OG0000020	DANRE18984	HUMAN22639
OG0000020	DANRE27379	HUMAN20816
OG0000021	DANRE01661, DANRE22424	HUMAN20500
OG0000021	DANRE39795, DANRE39796	HUMAN30680, HUMAN30504
OG0000021	DANRE39722, DANRE22090	HUMAN20539
OG0000021	DANRE24996	HUMAN05766
OG0000021	DANRE01663, DANRE01662	HUMAN20499
OG0000021	DANRE38577	HUMAN11054
OG0000021	DANRE08977, DANRE08978, DANRE08976	HUMAN23166
OG0000021	DANRE08348	HUMAN12331
OG0000021	DANRE37717	HUMAN04273
OG0000021	DANRE02277	HUMAN30251
OG0000021	DANRE27401, DANRE27403, DANRE27400	HUMAN00882, HUMAN00880, HUMAN00881
OG0000021	DANRE20108	HUMAN24068
OG0000023	DANRE19492, DANRE40604	HUMAN19878, HUMAN19879
OG0000023	DANRE27752, DANRE38057	HUMAN08127, HUMAN08129
OG0000023	DANRE39283, DANRE25540	HUMAN11129
OG0000023	DANRE36925	HUMAN18897
OG0000023	DANRE26382, DANRE26381	HUMAN27999
OG0000023	DANRE19476, DANRE19477	HUMAN07398
OG0000023	DANRE07548, DANRE07547	HUMAN12427
OG0000023	DANRE01757	HUMAN06585, HUMAN06584
OG0000023	DANRE08271, DANRE08272, DANRE08270, DANRE08269	HUMAN05394
OG0000023	DANRE01246	HUMAN05401, HUMAN05399, HUMAN05395, HUMAN05400, HUMAN05396
OG0000023	DANRE08566, DANRE08567	HUMAN05404
OG0000023	DANRE38580	HUMAN11050
OG0000023	DANRE40368	HUMAN19103
OG0000026	DANRE36265	HUMAN00402
OG0000026	DANRE09875	HUMAN16545
OG0000026	DANRE42258	HUMAN07669
OG0000026	DANRE07529	HUMAN21745
OG0000027	DANRE10366, DANRE03058, DANRE03059, DANRE03061	HUMAN15899, HUMAN15933
OG0000027	DANRE03471, DANRE22990, DANRE22989	HUMAN17464, HUMAN17465, HUMAN17466, HUMAN17463
OG0000027	DANRE41021, DANRE41022, DANRE41023, DANRE41020, DANRE41018, DANRE41275, DANRE41019, DANRE41017, DANRE41008, DANRE41009	HUMAN22472, HUMAN10869, HUMAN10811, HUMAN10777, HUMAN10778, HUMAN10779, HUMAN10781, HUMAN10780, HUMAN22471
OG0000027	DANRE02909	HUMAN16847
OG0000028	DANRE15903	HUMAN22344
OG0000028	DANRE08736, DANRE08737, DANRE20375	HUMAN03982
OG0000028	DANRE07178	HUMAN09209
OG0000028	DANRE07176, DANRE07177, DANRE15857, DANRE15856, DANRE09600, DANRE09601	HUMAN01776
OG0000028	DANRE13468	HUMAN09895
OG0000028	DANRE13469, DANRE13470	HUMAN09894
OG0000028	DANRE15855	HUMAN27765
OG0000028	DANRE10772, DANRE17755, DANRE17756	HUMAN27611
OG0000028	DANRE02083	HUMAN19281
OG0000028	DANRE07180, DANRE07179, DANRE15853	HUMAN27764
OG0000028	DANRE35763	HUMAN17889
OG0000028	DANRE39088, DANRE39089, DANRE24974	HUMAN09193, HUMAN09206
OG0000029	DANRE22154	HUMAN15611
OG0000029	DANRE39912, DANRE39910, DANRE39911, DANRE39909	HUMAN05232, HUMAN14995
OG0000029	DANRE12668, DANRE12669	HUMAN11203
OG0000029	DANRE40256, DANRE22155	HUMAN18356
OG0000029	DANRE11325, DANRE16818, DANRE16817	HUMAN17029
OG0000029	DANRE41268, DANRE41269	HUMAN24898
OG0000029	DANRE26531, DANRE01944	HUMAN21852
OG0000029	DANRE42782	HUMAN17820
OG0000029	DANRE21814	HUMAN02270
OG0000029	DANRE34060, DANRE21950, DANRE21945, DANRE43307, DANRE21946, DANRE21947, DANRE21900, DANRE21896, DANRE39154	HUMAN21749, HUMAN19538
OG0000030	DANRE34589, DANRE34588	HUMAN23234, HUMAN23233, HUMAN23232
OG0000030	DANRE14546, DANRE09884, DANRE09883	HUMAN01740
OG0000030	DANRE34902	HUMAN28679
OG0000030	DANRE38993	HUMAN30219
OG0000030	DANRE03619	HUMAN06064
OG0000031	DANRE20274, DANRE20275, DANRE20273	HUMAN29956
OG0000031	DANRE41496	HUMAN17850
OG0000031	DANRE37079	HUMAN06489
OG0000031	DANRE41454	HUMAN17883
OG0000031	DANRE13621, DANRE09507, DANRE09506, DANRE09505	HUMAN26042
OG0000031	DANRE17238	HUMAN12874
OG0000031	DANRE13622, DANRE13623	HUMAN26043
OG0000031	DANRE26019	HUMAN09203
OG0000031	DANRE33954	HUMAN28770
OG0000031	DANRE35637, DANRE11621	HUMAN26979, HUMAN14235
OG0000031	DANRE16190, DANRE42316	HUMAN07725
OG0000031	DANRE27399, DANRE21472, DANRE14252	HUMAN14922
OG0000031	DANRE15746	HUMAN22322
OG0000031	DANRE42215, DANRE15380, DANRE42216	HUMAN18121
OG0000031	DANRE28106, DANRE23847, DANRE23848	HUMAN02818, HUMAN02819
OG0000032	DANRE24196, DANRE27892, DANRE27891	HUMAN27902
OG0000032	DANRE30726, DANRE30725	HUMAN06100
OG0000032	DANRE33199, DANRE32929, DANRE32926, DANRE32927, DANRE33203, DANRE33202, DANRE32928, DANRE33200, DANRE33201	HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105
OG0000032	DANRE36261	HUMAN21527
OG0000032	DANRE20344, DANRE20343	HUMAN05202
OG0000032	DANRE12884, DANRE39037	HUMAN10072
OG0000032	DANRE22486, DANRE22485, DANRE22487, DANRE22488	HUMAN19258
OG0000034	DANRE28945, DANRE28944	HUMAN10850
OG0000034	DANRE35039, DANRE35040	HUMAN11671
OG0000034	DANRE00143, DANRE39455	HUMAN07186
OG0000034	DANRE35041	HUMAN11672, HUMAN11673
OG0000034	DANRE29516, DANRE29515	HUMAN16090
OG0000034	DANRE12957, DANRE25460	HUMAN04116
OG0000034	DANRE31029, DANRE31030	HUMAN06217
OG0000034	DANRE23009, DANRE23010, DANRE02357	HUMAN01449
OG0000034	DANRE37022, DANRE22465	HUMAN02345
OG0000034	DANRE31461, DANRE31460, DANRE12388, DANRE12387	HUMAN06854
OG0000034	DANRE25947	HUMAN03933
OG0000034	DANRE14484, DANRE09880	HUMAN01831
OG0000034	DANRE38036	HUMAN13891
OG0000034	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613	HUMAN04678
OG0000034	DANRE04100	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093
OG0000034	DANRE25182	HUMAN04988
OG0000035	DANRE23313	HUMAN06576
OG0000035	DANRE38347, DANRE12928, DANRE12929	HUMAN09866
OG0000035	DANRE31052	HUMAN06191
OG0000035	DANRE25078, DANRE12998, DANRE12997	HUMAN03898
OG0000035	DANRE13480, DANRE13479	HUMAN03900
OG0000035	DANRE12467, DANRE12466, DANRE30988	HUMAN05812, HUMAN05810
OG0000035	DANRE36852, DANRE22281	HUMAN01460
OG0000035	DANRE12942, DANRE38472	HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953
OG0000035	DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758	HUMAN05843, HUMAN05844
OG0000035	DANRE12947, DANRE38221	HUMAN04381, HUMAN04382
OG0000035	DANRE38222, DANRE38223, DANRE12948	HUMAN04383
OG0000036	DANRE37867	HUMAN08124
OG0000036	DANRE38271	HUMAN11288
OG0000036	DANRE25335	HUMAN11555
OG0000036	DANRE27775, DANRE38068	HUMAN08152, HUMAN08151
OG0000036	DANRE26145, DANRE38623	HUMAN15233
OG0000036	DANRE07186	HUMAN22872
OG0000036	DANRE38630	HUMAN15223
OG0000037	DANRE11959, DANRE17549, DANRE11958	HUMAN25006
OG0000037	DANRE11635, DANRE11634, DANRE17282	HUMAN02504
OG0000037	DANRE17582, DANRE10717, DANRE10716	HUMAN08759
OG0000037	DANRE06286, DANRE06287	HUMAN04817
OG0000037	DANRE03950, DANRE03951, DANRE05592, DANRE05591	HUMAN02659, HUMAN02660
OG0000037	DANRE37805, DANRE37804	HUMAN04897
OG0000037	DANRE13383	HUMAN15443
OG0000037	DANRE22289, DANRE22290	HUMAN19040
OG0000037	DANRE13745	HUMAN28273
OG0000037	DANRE11904, DANRE17607	HUMAN16721
OG0000037	DANRE11315	HUMAN03689
OG0000038	DANRE23404, DANRE23403	HUMAN06348
OG0000038	DANRE23402	HUMAN06346
OG0000038	DANRE23401	HUMAN18259, HUMAN18258
OG0000038	DANRE41584	HUMAN19701
OG0000038	DANRE15348	HUMAN18257
OG0000039	DANRE18250, DANRE18249	HUMAN02107
OG0000039	DANRE18251	HUMAN02110
OG0000039	DANRE18253, DANRE18252	HUMAN02111
OG0000039	DANRE38069, DANRE38070	HUMAN29023
OG0000039	DANRE09344	HUMAN13199
OG0000040	DANRE12493, DANRE12492	HUMAN27040, HUMAN27041
OG0000040	DANRE30036	HUMAN26646, HUMAN26642
OG0000040	DANRE30032, DANRE30031, DANRE30033, DANRE30029, DANRE30030, DANRE30035, DANRE30034, DANRE17230	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640
OG0000041	DANRE30701	HUMAN01392
OG0000041	DANRE29584, DANRE29586, DANRE29583, DANRE29585, DANRE24718	HUMAN16072
OG0000041	DANRE38473, DANRE38474, DANRE38475, DANRE25228	HUMAN04227
OG0000041	DANRE30702, DANRE30703, DANRE30699, DANRE30704, DANRE30700	HUMAN06826
OG0000041	DANRE40396, DANRE40397	HUMAN01391
OG0000041	DANRE29492	HUMAN01400
OG0000041	DANRE36857, DANRE22432	HUMAN01399
OG0000041	DANRE25655, DANRE33053	HUMAN05837
OG0000041	DANRE36856	HUMAN01401
OG0000041	DANRE25654, DANRE43342	HUMAN05836
OG0000041	DANRE38441	HUMAN04298
OG0000041	DANRE36805	HUMAN19139
OG0000041	DANRE27215, DANRE24076	HUMAN27913
OG0000041	DANRE05493, DANRE05492, DANRE18224	HUMAN16617
OG0000041	DANRE05473	HUMAN16643
OG0000041	DANRE36043	HUMAN19052
OG0000042	DANRE42454, DANRE42453, DANRE42455	HUMAN21251
OG0000043	DANRE34152	HUMAN05606
OG0000043	DANRE00964	HUMAN01578
OG0000044	DANRE20253, DANRE20252	HUMAN24292
OG0000044	DANRE04869, DANRE04868, DANRE04870	HUMAN22106
OG0000044	DANRE01471, DANRE01470, DANRE41195, DANRE41197, DANRE41200, DANRE41196, DANRE41199	HUMAN27711
OG0000044	DANRE05871, DANRE05873, DANRE05872, DANRE05874, DANRE05876, DANRE05875	HUMAN03716, HUMAN03718, HUMAN03717
OG0000044	DANRE06457	HUMAN24391
OG0000044	DANRE17818, DANRE24284, DANRE24283	HUMAN07519
OG0000044	DANRE24280	HUMAN07517
OG0000044	DANRE05244, DANRE05245	HUMAN03043
OG0000045	DANRE38824	HUMAN02932
OG0000045	DANRE27285, DANRE27286, DANRE19466	HUMAN29444
OG0000045	DANRE00498, DANRE00497, DANRE34860, DANRE34861	HUMAN28768
OG0000046	DANRE15742	HUMAN23116
OG0000046	DANRE15458, DANRE15457	HUMAN22960
OG0000046	DANRE06026, DANRE06027	HUMAN22324, HUMAN22325, HUMAN22323
OG0000048	DANRE06169	HUMAN29551
OG0000048	DANRE16164, DANRE16166, DANRE16167, DANRE16163	HUMAN29550
OG0000048	DANRE08312, DANRE01208, DANRE01209, DANRE06170, DANRE08212, DANRE08213, DANRE08214	HUMAN12292
OG0000048	DANRE24176, DANRE24175, DANRE27247, DANRE27248, DANRE24174, DANRE24603, DANRE05500	HUMAN08560, HUMAN08561
OG0000048	DANRE17556, DANRE05472	HUMAN16644
OG0000048	DANRE26183	HUMAN11449
OG0000049	DANRE18176, DANRE10819	HUMAN25699
OG0000049	DANRE00818, DANRE08853, DANRE08855, DANRE08854	HUMAN05316
OG0000049	DANRE36715, DANRE36714, DANRE02678	HUMAN20965
OG0000049	DANRE12445	HUMAN26499
OG0000049	DANRE39773, DANRE39775, DANRE39774, DANRE02437, DANRE02436	HUMAN24353
OG0000049	DANRE36818, DANRE36819	HUMAN24922, HUMAN24921
OG0000049	DANRE30745, DANRE25833	HUMAN26912
OG0000049	DANRE10820	HUMAN05318
OG0000049	DANRE30744	HUMAN26500
OG0000051	DANRE04454, DANRE04455, DANRE04456, DANRE04458, DANRE04457	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201
OG0000053	DANRE17521	HUMAN01064
OG0000054	DANRE06791, DANRE15743	HUMAN23119
OG0000054	DANRE09041, DANRE09042	HUMAN00960, HUMAN00959, HUMAN00963, HUMAN00962, HUMAN00961, HUMAN00964
OG0000054	DANRE04360	HUMAN14898, HUMAN14897, HUMAN14905, HUMAN14906, HUMAN14899, HUMAN14896, HUMAN14895
OG0000055	DANRE00963	HUMAN02616, HUMAN24656, HUMAN24660, HUMAN24663, HUMAN24607, HUMAN24616, HUMAN24621, HUMAN24623, HUMAN24613, HUMAN24632, HUMAN24617, HUMAN01576, HUMAN24671, HUMAN24630, HUMAN01568, HUMAN24645, HUMAN24649, HUMAN19580
OG0000056	DANRE39460, DANRE39459	HUMAN22445
OG0000056	DANRE30224, DANRE30223	HUMAN14849
OG0000056	DANRE01911, DANRE01910	HUMAN01194
OG0000056	DANRE40924, DANRE40923	HUMAN07396, HUMAN07395
OG0000056	DANRE30239	HUMAN14865
OG0000057	DANRE01491, DANRE01492, DANRE34768, DANRE34769	HUMAN23569
OG0000057	DANRE25607, DANRE38933	HUMAN10014
OG0000057	DANRE02560, DANRE02558, DANRE02559	HUMAN29650
OG0000058	DANRE01466, DANRE01467	HUMAN17378, HUMAN03592
