Orthogroup	DANRE	HELIO_ok
OG0000007	DANRE26275, DANRE17982	HELIO_01296
OG0000007	DANRE38320, DANRE26009, DANRE40798, DANRE40799	HELIO_10106
OG0000007	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908	HELIO_00643
OG0000007	DANRE40583, DANRE36378, DANRE29354, DANRE34325, DANRE40143	HELIO_00352
OG0000007	DANRE07035, DANRE20085, DANRE04871, DANRE04210	HELIO_11362
OG0000007	DANRE12664	HELIO_11129
OG0000007	DANRE26277, DANRE17981, DANRE12992, DANRE12991	HELIO_04873
OG0000007	DANRE21702	HELIO_06738
OG0000007	DANRE08320, DANRE33659	HELIO_03703
OG0000007	DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908	HELIO_07978
OG0000007	DANRE30028, DANRE03038, DANRE28801	HELIO_03118
OG0000007	DANRE30495, DANRE03657, DANRE03658	HELIO_07991
OG0000007	DANRE02453, DANRE09326, DANRE09325	HELIO_04275
OG0000007	DANRE11519, DANRE13255, DANRE02905, DANRE04393	HELIO_11721
OG0000010	DANRE34456, DANRE07824, DANRE29658, DANRE03180, DANRE03179, DANRE29163, DANRE29161, DANRE29162, DANRE03165, DANRE25582, DANRE36540, DANRE36542, DANRE36541	HELIO_07073
OG0000011	DANRE34035, DANRE34036	HELIO_09607
OG0000012	DANRE38177, DANRE38176	HELIO_04072, HELIO_05750
OG0000012	DANRE12655, DANRE12656, DANRE12659	HELIO_06831
OG0000014	DANRE17251, DANRE43403	HELIO_12068
OG0000014	DANRE03675, DANRE03674, DANRE43177, DANRE29871	HELIO_10724
OG0000015	DANRE42903, DANRE42902, DANRE07145, DANRE07146, DANRE07144, DANRE33766, DANRE16271, DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692	HELIO_10798
OG0000016	DANRE38616, DANRE06628, DANRE06627, DANRE13366	HELIO_05159, HELIO_08806, HELIO_03950, HELIO_10054
OG0000016	DANRE29900, DANRE29901, DANRE29903, DANRE29904, DANRE35774, DANRE03065, DANRE03064	HELIO_05456
OG0000016	DANRE35611	HELIO_09779
OG0000016	DANRE02012	HELIO_04647
OG0000016	DANRE31212, DANRE31213, DANRE31211, DANRE25754, DANRE13449, DANRE13448, DANRE25751, DANRE25753	HELIO_07322, HELIO_06996, HELIO_05885, HELIO_04527, HELIO_04564
OG0000018	DANRE24545, DANRE35342, DANRE25794, DANRE36083, DANRE25761, DANRE28032, DANRE14196, DANRE38851, DANRE22527, DANRE26621, DANRE11765, DANRE36195, DANRE03525, DANRE11263, DANRE14820, DANRE41490, DANRE37176, DANRE08199, DANRE24881, DANRE08547, DANRE40578, DANRE10138	HELIO_01806
OG0000018	DANRE04209, DANRE28234, DANRE04603, DANRE29058, DANRE05534, DANRE17601, DANRE09239, DANRE24202	HELIO_06652
OG0000018	DANRE31993, DANRE10860, DANRE34666, DANRE28525, DANRE06532, DANRE42745, DANRE25935, DANRE41823, DANRE28532, DANRE32198, DANRE23599, DANRE04161, DANRE11286, DANRE13094	HELIO_06631, HELIO_07465, HELIO_07089, HELIO_06040, HELIO_03912, HELIO_03992, HELIO_02946
OG0000018	DANRE13954, DANRE13946	HELIO_05389
OG0000019	DANRE39715, DANRE24632, DANRE24631, DANRE21113, DANRE21112, DANRE29948, DANRE29945, DANRE29947, DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869	HELIO_11234
OG0000020	DANRE10670	HELIO_01087
OG0000020	DANRE40536	HELIO_08119
OG0000020	DANRE42755	HELIO_10764
OG0000020	DANRE24424, DANRE24423, DANRE27995, DANRE27624, DANRE27625	HELIO_10811
OG0000020	DANRE27431, DANRE27432, DANRE27433	HELIO_12285
OG0000020	DANRE06741, DANRE06740, DANRE15747	HELIO_05828
OG0000020	DANRE22958, DANRE22959	HELIO_10575
OG0000020	DANRE06663, DANRE06664	HELIO_05888
OG0000020	DANRE18984	HELIO_08365
OG0000020	DANRE27379	HELIO_01918
OG0000021	DANRE39795, DANRE39796, DANRE22480	HELIO_02163
OG0000021	DANRE33712, DANRE33711, DANRE33342, DANRE33343	HELIO_09128
OG0000021	DANRE37717, DANRE02277	HELIO_10440, HELIO_04726, HELIO_09286, HELIO_07603
OG0000021	DANRE27401, DANRE27403, DANRE27400	HELIO_02648, HELIO_08020, HELIO_10557, HELIO_04069
OG0000022	DANRE31743, DANRE31997, DANRE32917, DANRE32003, DANRE31707, DANRE32499, DANRE32498, DANRE32011, DANRE31846, DANRE42969, DANRE32115, DANRE32114, DANRE32802, DANRE32801, DANRE32792, DANRE31979, DANRE32305, DANRE42967, DANRE32310, DANRE31747, DANRE31746, DANRE31700, DANRE31699, DANRE31670, DANRE31667, DANRE43199, DANRE42955, DANRE31794, DANRE32729, DANRE32147, DANRE32055, DANRE31673, DANRE32146, DANRE32195, DANRE32231, DANRE32551, DANRE42986, DANRE32798, DANRE32645, DANRE32644, DANRE32799, DANRE32078, DANRE32322, DANRE43208, DANRE32308, DANRE32796, DANRE32125, DANRE43118, DANRE32528, DANRE42988, DANRE31934, DANRE32536, DANRE31781, DANRE31780, DANRE32789, DANRE32278, DANRE31944, DANRE32705, DANRE32704, DANRE32419, DANRE32202, DANRE32333, DANRE32393, DANRE32670, DANRE32671, DANRE32392, DANRE31864, DANRE32174, DANRE31672, DANRE32716, DANRE32054, DANRE32824, DANRE32481, DANRE31879, DANRE31862, DANRE32664, DANRE32663, DANRE31661, DANRE31668, DANRE31963, DANRE32004, DANRE32353, DANRE31757, DANRE32508, DANRE32507, DANRE32506, DANRE32221, DANRE32509, DANRE32731, DANRE32808, DANRE32806, DANRE32823, DANRE31914, DANRE32642, DANRE31655, DANRE32005, DANRE32006, DANRE31958, DANRE31964, DANRE31861, DANRE32655, DANRE32656, DANRE42975, DANRE31722, DANRE31723, DANRE32148, DANRE32284, DANRE32304, DANRE31721, DANRE32720, DANRE31851, DANRE31810, DANRE43389, DANRE32542, DANRE32906, DANRE42972, DANRE32749, DANRE32689, DANRE32907, DANRE32908, DANRE32618, DANRE42995, DANRE31643, DANRE43211, DANRE43337, DANRE31687, DANRE07464, DANRE32158, DANRE32791, DANRE32026, DANRE31702, DANRE32562, DANRE32515, DANRE32024, DANRE32408, DANRE32244, DANRE32002, DANRE32230, DANRE31807, DANRE31710, DANRE32047, DANRE31716, DANRE31695, DANRE31649, DANRE31662, DANRE32235, DANRE32706, DANRE32711, DANRE31918, DANRE32492, DANRE31717, DANRE32091, DANRE32145, DANRE32144, DANRE32719, DANRE31718, DANRE32541, DANRE32956, DANRE31847, DANRE32674, DANRE32287, DANRE32129, DANRE32087, DANRE32647, DANRE31966, DANRE31806, DANRE32073, DANRE32156, DANRE32154, DANRE32155, DANRE32074, DANRE32224, DANRE32225, DANRE31779, DANRE32358, DANRE32194, DANRE31878, DANRE32028, DANRE32433, DANRE32745, DANRE32695, DANRE32480, DANRE32062, DANRE31682, DANRE32566, DANRE32565, DANRE32783, DANRE31708, DANRE31901, DANRE32918, DANRE32272, DANRE32273, DANRE32274, DANRE31902, DANRE31957, DANRE31765, DANRE32116, DANRE31709, DANRE31730, DANRE32788, DANRE31976, DANRE42994, DANRE31680, DANRE32714, DANRE32567, DANRE32568, DANRE32569, DANRE32738, DANRE31701, DANRE32297, DANRE32759, DANRE32296, DANRE32298, DANRE31989, DANRE32561, DANRE32750, DANRE32475, DANRE31744, DANRE32635, DANRE32068, DANRE32067, DANRE32191, DANRE31714, DANRE31713, DANRE32678, DANRE32151, DANRE32150, DANRE43240, DANRE32240, DANRE31895, DANRE31896, DANRE32811, DANRE32810, DANRE31937, DANRE31936, DANRE31729, DANRE32363, DANRE32751, DANRE32487, DANRE31770, DANRE32825, DANRE31998, DANRE32916, DANRE31640, DANRE31639, DANRE32020, DANRE31908, DANRE31907, DANRE31909, DANRE32309, DANRE31706, DANRE32501, DANRE31790, DANRE31789, DANRE32009, DANRE31782, DANRE32660, DANRE32813, DANRE31677, DANRE32715, DANRE32812, DANRE32516, DANRE31739, DANRE32423, DANRE32540, DANRE31669, DANRE32424, DANRE32617, DANRE31923, DANRE31841, DANRE31884	HELIO_07323
OG0000023	DANRE19492, DANRE40604, DANRE27752, DANRE38057, DANRE39283, DANRE25540, DANRE36925, DANRE26382, DANRE26381, DANRE29650, DANRE29649, DANRE03181, DANRE19476, DANRE19477	HELIO_08618, HELIO_08359, HELIO_11316
OG0000023	DANRE01251, DANRE08271, DANRE08272, DANRE08270, DANRE08269, DANRE01246, DANRE08566, DANRE08567, DANRE38580, DANRE40368, DANRE01250, DANRE01247, DANRE01249, DANRE01248	HELIO_07600, HELIO_09870
OG0000025	DANRE19901, DANRE03302, DANRE09085, DANRE21568	HELIO_06817
OG0000026	DANRE09875	HELIO_04505
OG0000028	DANRE07178	HELIO_10800
OG0000028	DANRE39088, DANRE39089, DANRE24974, DANRE15851, DANRE15850, DANRE13964	HELIO_06306
OG0000029	DANRE39912, DANRE39910, DANRE39911, DANRE39909, DANRE12668, DANRE12669, DANRE40256, DANRE22155, DANRE11325, DANRE16818, DANRE16817, DANRE13326	HELIO_10546, HELIO_00115
OG0000029	DANRE41268, DANRE41269, DANRE26531, DANRE01944	HELIO_11942
OG0000030	DANRE14546, DANRE09884, DANRE09883, DANRE34902	HELIO_04525, HELIO_09505
OG0000031	DANRE20694	HELIO_00637
OG0000031	DANRE41496, DANRE35535, DANRE23155	HELIO_00475
OG0000031	DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505	HELIO_11237
OG0000031	DANRE13622, DANRE13623	HELIO_10166
OG0000031	DANRE26516	HELIO_00951
OG0000031	DANRE11621	HELIO_11573
OG0000031	DANRE20276, DANRE16190, DANRE42316	HELIO_00638
OG0000031	DANRE27399, DANRE21472, DANRE14252	HELIO_00007
OG0000031	DANRE16189, DANRE42315, DANRE15746	HELIO_08452
OG0000031	DANRE42215, DANRE15380, DANRE42216, DANRE28106, DANRE23847, DANRE23848	HELIO_02162
OG0000032	DANRE30726, DANRE30725, DANRE33206, DANRE33207, DANRE33205, DANRE33204, DANRE33199, DANRE32929, DANRE32926, DANRE32927, DANRE33203, DANRE33202, DANRE32928, DANRE33200, DANRE33201, DANRE36261, DANRE20344, DANRE20343, DANRE12884, DANRE39037	HELIO_03061, HELIO_11764, HELIO_06747
OG0000032	DANRE22486, DANRE22485, DANRE22487, DANRE22488	HELIO_05612, HELIO_01994, HELIO_06271, HELIO_05549, HELIO_06177, HELIO_11472, HELIO_11063, HELIO_05021, HELIO_02986
OG0000032	DANRE24197	HELIO_02546, HELIO_10763, HELIO_07665, HELIO_07198
OG0000034	DANRE35041	HELIO_03040
OG0000034	DANRE29516, DANRE29515, DANRE12957, DANRE25460, DANRE31029, DANRE31030, DANRE23009, DANRE23010, DANRE02357	HELIO_11045
OG0000034	DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947	HELIO_10910
OG0000034	DANRE14484, DANRE09880, DANRE38036	HELIO_05981
OG0000034	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613	HELIO_12487
OG0000034	DANRE04100	HELIO_11629
OG0000035	DANRE23313	HELIO_04621
OG0000035	DANRE40563, DANRE38347, DANRE12928, DANRE12929, DANRE27654	HELIO_12501
OG0000035	DANRE31052, DANRE25078, DANRE12998, DANRE12997	HELIO_03534
OG0000035	DANRE29644, DANRE29645, DANRE13480, DANRE13479, DANRE12467, DANRE12466, DANRE30988	HELIO_07811, HELIO_06366
OG0000035	DANRE36852, DANRE22281, DANRE12942, DANRE38472, DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758, DANRE30761	HELIO_00732, HELIO_11539
OG0000035	DANRE38222, DANRE38223, DANRE12948	HELIO_04984
OG0000036	DANRE25335, DANRE27775, DANRE38068, DANRE26145, DANRE38623	HELIO_01209, HELIO_01210, HELIO_09115, HELIO_04594, HELIO_09618
OG0000036	DANRE07186, DANRE30853	HELIO_07711
OG0000036	DANRE11991, DANRE38630	HELIO_02352, HELIO_11421, HELIO_04744
OG0000037	DANRE03950, DANRE03951, DANRE05592, DANRE05591, DANRE37805, DANRE37804, DANRE13383	HELIO_01421
OG0000037	DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607	HELIO_01377
OG0000037	DANRE11315	HELIO_04770
OG0000038	DANRE41584	HELIO_07209
OG0000039	DANRE38069, DANRE38070	HELIO_01180
OG0000039	DANRE23593, DANRE23592, DANRE36822, DANRE23067, DANRE23068, DANRE23065, DANRE23064, DANRE23063	HELIO_00133
OG0000040	DANRE30032, DANRE30031, DANRE30033, DANRE30029, DANRE30030, DANRE30035, DANRE30034, DANRE17230	HELIO_00109, HELIO_04015, HELIO_04001, HELIO_06439, HELIO_00160, HELIO_06945
OG0000043	DANRE43265	HELIO_03541
OG0000044	DANRE20253, DANRE20252, DANRE04869, DANRE04868, DANRE04870, DANRE01471, DANRE01470, DANRE41195, DANRE41197, DANRE41200, DANRE41196, DANRE41199, DANRE05871, DANRE05873, DANRE05872, DANRE05874, DANRE05876, DANRE05875	HELIO_05461
OG0000044	DANRE24280	HELIO_08837
OG0000046	DANRE15742	HELIO_08475
OG0000048	DANRE16164, DANRE16166, DANRE16167, DANRE16163	HELIO_10223
OG0000048	DANRE33718	HELIO_03643
OG0000048	DANRE19398	HELIO_05568
OG0000048	DANRE17556, DANRE05472	HELIO_08708
OG0000048	DANRE26183	HELIO_05605
OG0000050	DANRE05388, DANRE16154, DANRE21370, DANRE14263, DANRE25768, DANRE00430, DANRE32860, DANRE42655, DANRE31654, DANRE32311, DANRE20964	HELIO_03827, HELIO_11651, HELIO_10651, HELIO_07585
OG0000051	DANRE04454, DANRE04455, DANRE04456, DANRE04458, DANRE04457	HELIO_11965, HELIO_05090, HELIO_05789
OG0000054	DANRE06791, DANRE15743	HELIO_11556, HELIO_11049, HELIO_07252, HELIO_05216
OG0000056	DANRE40469	HELIO_02100
OG0000056	DANRE01913, DANRE01914, DANRE39460, DANRE39459, DANRE15877, DANRE15878, DANRE15879, DANRE39458, DANRE26297, DANRE26296, DANRE26298, DANRE26299, DANRE30224, DANRE30223, DANRE17147, DANRE17148, DANRE17149, DANRE30238, DANRE01911, DANRE01910	HELIO_05303
OG0000056	DANRE40924, DANRE40923	HELIO_03513
OG0000056	DANRE30239	HELIO_07637
OG0000057	DANRE01491, DANRE01492, DANRE34768, DANRE34769, DANRE25607, DANRE38933	HELIO_05858
OG0000059	DANRE23878, DANRE23877, DANRE23876	HELIO_08348
OG0000059	DANRE19797, DANRE19798, DANRE19796, DANRE13287, DANRE06156, DANRE06155, DANRE06072, DANRE06071, DANRE00651	HELIO_07693, HELIO_05488
OG0000060	DANRE15035, DANRE15034, DANRE05268	HELIO_02035
OG0000060	DANRE29003, DANRE24797, DANRE24796, DANRE38454, DANRE38453, DANRE38452, DANRE26104, DANRE12576	HELIO_12113
OG0000061	DANRE42668, DANRE35791, DANRE35790, DANRE14876, DANRE23684	HELIO_11204
OG0000061	DANRE26341, DANRE29170	HELIO_04007, HELIO_00294, HELIO_10663
OG0000062	DANRE08107, DANRE08104, DANRE08105, DANRE08102, DANRE08103, DANRE08106, DANRE08101, DANRE08100, DANRE28562, DANRE28568, DANRE28566, DANRE28565, DANRE28573, DANRE28574, DANRE28576, DANRE28571, DANRE28572, DANRE28569, DANRE28442, DANRE28441, DANRE28577, DANRE28578, DANRE43388, DANRE28579, DANRE28570	HELIO_01760, HELIO_09809, HELIO_08709
OG0000062	DANRE18807, DANRE18806	HELIO_06316
OG0000063	DANRE20941, DANRE20940, DANRE20939, DANRE43110, DANRE15766, DANRE15767, DANRE15768, DANRE15769, DANRE26798, DANRE26796, DANRE26797, DANRE35514, DANRE35513	HELIO_10147
OG0000063	DANRE30783, DANRE30785, DANRE30782, DANRE01805, DANRE01806, DANRE36784, DANRE36785	HELIO_12629
OG0000063	DANRE19500, DANRE19501, DANRE11531, DANRE11532, DANRE04204, DANRE04205, DANRE21781	HELIO_04155
OG0000066	DANRE40339, DANRE40338, DANRE40337, DANRE40336	HELIO_11387
OG0000067	DANRE05059, DANRE06045, DANRE20513, DANRE39179	HELIO_07211, HELIO_04257, HELIO_02907, HELIO_01151, HELIO_02361, HELIO_07310, HELIO_09285, HELIO_10782
OG0000068	DANRE22551	HELIO_09524, HELIO_08964
OG0000069	DANRE26091	HELIO_11698
OG0000070	DANRE27422, DANRE27423, DANRE35328, DANRE35329, DANRE35330	HELIO_00590, HELIO_05047, HELIO_00591
OG0000072	DANRE15952, DANRE15953, DANRE00858, DANRE00856, DANRE00857, DANRE08517	HELIO_09782
OG0000072	DANRE08498, DANRE08497, DANRE06006	HELIO_10131
OG0000072	DANRE05807	HELIO_05118, HELIO_10379
OG0000073	DANRE23044, DANRE24104, DANRE24103, DANRE27229, DANRE39355, DANRE27228, DANRE27227, DANRE24102, DANRE30709, DANRE30708, DANRE12382	HELIO_07437
OG0000074	DANRE30953, DANRE23378, DANRE15580, DANRE43367, DANRE15578, DANRE15579, DANRE15576, DANRE15577, DANRE15581, DANRE15589, DANRE15590	HELIO_11128, HELIO_09183, HELIO_01338, HELIO_05011, HELIO_10435, HELIO_08963
OG0000074	DANRE17935	HELIO_06403
OG0000074	DANRE25680	HELIO_01439, HELIO_07384, HELIO_06770, HELIO_11885
OG0000075	DANRE03709, DANRE26359, DANRE26360	HELIO_02705
OG0000075	DANRE41686, DANRE41687, DANRE35873, DANRE35872	HELIO_12175
OG0000075	DANRE23134, DANRE23133	HELIO_01007
OG0000075	DANRE09985, DANRE09984, DANRE09983, DANRE02787	HELIO_07086
OG0000075	DANRE41688, DANRE23132	HELIO_01193
OG0000075	DANRE30937, DANRE41300	HELIO_09567
OG0000075	DANRE24998, DANRE31372, DANRE31373, DANRE22408, DANRE02483	HELIO_05177
OG0000075	DANRE31021, DANRE31022	HELIO_00684
OG0000077	DANRE16390, DANRE20043, DANRE07192, DANRE00591, DANRE00590, DANRE39691	HELIO_05657
OG0000077	DANRE11696, DANRE11492, DANRE16170, DANRE41853, DANRE41854, DANRE17386, DANRE40644, DANRE19656, DANRE19657	HELIO_00295
OG0000077	DANRE33612, DANRE00616, DANRE33611, DANRE33613, DANRE17597, DANRE11294, DANRE11293	HELIO_12145
OG0000078	DANRE39894, DANRE39895, DANRE39896, DANRE26111, DANRE26112, DANRE36848, DANRE30865, DANRE30864	HELIO_04372, HELIO_06334, HELIO_11613, HELIO_04314, HELIO_00570
OG0000079	DANRE41428, DANRE41431, DANRE41432, DANRE41429, DANRE41430, DANRE23441, DANRE01701, DANRE07129, DANRE07131, DANRE06662	HELIO_01794, HELIO_05740
OG0000079	DANRE08425, DANRE08424, DANRE08423, DANRE08420, DANRE08416, DANRE08419, DANRE08415, DANRE01231, DANRE01230, DANRE08421, DANRE08418, DANRE08422, DANRE40812, DANRE40811, DANRE40809, DANRE40810, DANRE33381, DANRE40813	HELIO_00549
OG0000079	DANRE01827, DANRE01825, DANRE01824, DANRE01826	HELIO_01744, HELIO_07509
OG0000082	DANRE33308	HELIO_12249
OG0000082	DANRE06377	HELIO_08556
OG0000082	DANRE00971	HELIO_06503, HELIO_04026, HELIO_02219
OG0000082	DANRE08031, DANRE29358, DANRE29356, DANRE29359, DANRE00970	HELIO_05158
OG0000085	DANRE03872, DANRE13568, DANRE10642, DANRE42815, DANRE01947	HELIO_02405
OG0000085	DANRE34010, DANRE34949, DANRE08303, DANRE08302, DANRE35408	HELIO_05344
OG0000085	DANRE14204, DANRE04562	HELIO_11582
OG0000087	DANRE37955	HELIO_02847, HELIO_02846
OG0000087	DANRE02654, DANRE02653	HELIO_00773
OG0000087	DANRE22805, DANRE22804	HELIO_06633
OG0000087	DANRE24820, DANRE24821	HELIO_01983
OG0000087	DANRE42134	HELIO_06411, HELIO_07580
OG0000088	DANRE05341, DANRE04380, DANRE25416, DANRE12560, DANRE26544, DANRE23867, DANRE36501, DANRE26035	HELIO_00040, HELIO_06555, HELIO_11791, HELIO_06055, HELIO_05195, HELIO_00315, HELIO_08555, HELIO_06391, HELIO_08028
OG0000089	DANRE00866, DANRE06893, DANRE01120, DANRE01121, DANRE24411, DANRE18395, DANRE18394, DANRE18393	HELIO_06684, HELIO_10658
OG0000090	DANRE14575, DANRE14574, DANRE08600, DANRE08601	HELIO_12415
OG0000090	DANRE14775, DANRE14776	HELIO_03859, HELIO_12616
OG0000091	DANRE19328, DANRE19327, DANRE19329	HELIO_06609
OG0000093	DANRE38668, DANRE18559, DANRE12452, DANRE31410, DANRE31411, DANRE36972	HELIO_04928, HELIO_06889
OG0000094	DANRE31445, DANRE31446, DANRE02712, DANRE02711, DANRE02713, DANRE41259, DANRE40961, DANRE40960, DANRE40286	HELIO_07015
OG0000094	DANRE26291, DANRE26290, DANRE39959, DANRE39958, DANRE34093, DANRE34091, DANRE34092, DANRE34090, DANRE34094, DANRE34095, DANRE19459, DANRE19458, DANRE39957, DANRE29718, DANRE29719, DANRE29717, DANRE02593, DANRE02592, DANRE02591	HELIO_03878
OG0000096	DANRE06854, DANRE41409, DANRE15329, DANRE13475	HELIO_07466
OG0000096	DANRE40526, DANRE02165, DANRE31394, DANRE31393	HELIO_03681
OG0000096	DANRE36045, DANRE24893	HELIO_03321
OG0000096	DANRE14485	HELIO_06897
OG0000096	DANRE25948, DANRE29004, DANRE39826, DANRE25796, DANRE38945, DANRE38946, DANRE38947	HELIO_03947
OG0000096	DANRE42235, DANRE21352, DANRE21353, DANRE21354	HELIO_09595
OG0000098	DANRE29634, DANRE03194, DANRE03198, DANRE03197, DANRE03193, DANRE03195, DANRE03196, DANRE38926, DANRE38925, DANRE42853, DANRE42852, DANRE42851	HELIO_07543
OG0000098	DANRE43096, DANRE26020, DANRE38317, DANRE38316, DANRE38318, DANRE26021, DANRE38315, DANRE33952, DANRE33953	HELIO_00467, HELIO_11416
OG0000099	DANRE09258, DANRE09257, DANRE09256, DANRE09255, DANRE09254, DANRE13816, DANRE08158, DANRE13815, DANRE08996, DANRE09030, DANRE08830, DANRE08829, DANRE00831, DANRE00829	HELIO_00318, HELIO_06995
OG0000101	DANRE38569, DANRE26131, DANRE26132	HELIO_03317
OG0000101	DANRE23836	HELIO_11521
OG0000101	DANRE42773, DANRE42772, DANRE21261, DANRE21260, DANRE42774	HELIO_06274, HELIO_11624, HELIO_06876
OG0000102	DANRE11526, DANRE22227, DANRE22226	HELIO_08564
OG0000103	DANRE24869, DANRE20613, DANRE20612, DANRE20614, DANRE36648, DANRE36647, DANRE34239, DANRE34238, DANRE34235, DANRE34231, DANRE34230, DANRE34229, DANRE34233, DANRE18924, DANRE24870, DANRE24865, DANRE24863, DANRE24862, DANRE24866, DANRE24867, DANRE13569, DANRE27032, DANRE27033, DANRE02398, DANRE02397, DANRE22772	HELIO_03996
OG0000103	DANRE09436, DANRE09435, DANRE35623, DANRE35622, DANRE29899, DANRE29898, DANRE35659, DANRE28633, DANRE28634, DANRE35632, DANRE35633	HELIO_12543
OG0000104	DANRE13410, DANRE13408, DANRE13409, DANRE13411, DANRE00019, DANRE00018, DANRE10295, DANRE10293, DANRE10294, DANRE10296	HELIO_04946
OG0000104	DANRE08585, DANRE42030, DANRE42031, DANRE42032, DANRE42033, DANRE35890, DANRE03855	HELIO_03807
OG0000104	DANRE00020, DANRE00021, DANRE13407	HELIO_05172
OG0000104	DANRE42503, DANRE42504	HELIO_02282
OG0000104	DANRE02766, DANRE02765, DANRE02767, DANRE30903, DANRE39783	HELIO_00006
OG0000106	DANRE38871, DANRE25336, DANRE25339, DANRE25338, DANRE25337, DANRE27190, DANRE24604	HELIO_02364
OG0000106	DANRE26909	HELIO_07474
OG0000106	DANRE00217, DANRE00219, DANRE00218, DANRE09198, DANRE09199, DANRE25823, DANRE25822	HELIO_05614, HELIO_10877
OG0000107	DANRE26157, DANRE26076	HELIO_04878
OG0000110	DANRE11747, DANRE11748, DANRE11749	HELIO_05242, HELIO_00041, HELIO_11542, HELIO_10665, HELIO_00526, HELIO_02476, HELIO_10466, HELIO_10465, HELIO_05234, HELIO_11191, HELIO_04706, HELIO_12166, HELIO_08016, HELIO_01452
OG0000113	DANRE34599, DANRE36419, DANRE36418, DANRE36417, DANRE36416, DANRE36415	HELIO_06754
OG0000113	DANRE12503, DANRE12504, DANRE12502	HELIO_04446, HELIO_08405
OG0000114	DANRE05297, DANRE16133, DANRE16132, DANRE00562, DANRE00564, DANRE00563, DANRE02256, DANRE02257, DANRE36669, DANRE33480, DANRE33482, DANRE33481, DANRE22942	HELIO_10462, HELIO_00027, HELIO_06292
OG0000115	DANRE39333, DANRE39334, DANRE39292	HELIO_10283, HELIO_10284
OG0000116	DANRE10733	HELIO_08217, HELIO_10553
OG0000117	DANRE35421	HELIO_01494
OG0000119	DANRE16116, DANRE16117, DANRE41481, DANRE41482, DANRE41480, DANRE07182, DANRE07181, DANRE29831, DANRE03249	HELIO_09291
OG0000119	DANRE41697, DANRE23346, DANRE23347, DANRE09855, DANRE09856, DANRE09854, DANRE29168, DANRE29167	HELIO_06886, HELIO_09246, HELIO_05606, HELIO_03015
OG0000119	DANRE42690, DANRE42691, DANRE05898	HELIO_08423, HELIO_01329
OG0000121	DANRE15722, DANRE15721, DANRE15724, DANRE15723, DANRE06168, DANRE03946	HELIO_11384
OG0000121	DANRE23017	HELIO_05376
