Orthogroup	DANRE	AENJA_ok
OG0000001	DANRE00718, DANRE00765, DANRE00766, DANRE00769, DANRE00768, DANRE00812, DANRE00809, DANRE00810, DANRE00811, DANRE03280, DANRE00762, DANRE00763, DANRE00764, DANRE00767, DANRE14857, DANRE09569, DANRE13671, DANRE13664, DANRE13665, DANRE13666, DANRE13667, DANRE13668, DANRE13663, DANRE13812	AENJA_17575
OG0000001	DANRE29550	AENJA_01446
OG0000002	DANRE16673	AENJA_19547, AENJA_15292
OG0000002	DANRE38244, DANRE38242, DANRE38243	AENJA_22707, AENJA_19254, AENJA_03627
OG0000002	DANRE28739	AENJA_00531
OG0000002	DANRE23574	AENJA_05471, AENJA_03252
OG0000003	DANRE05700	AENJA_21338
OG0000004	DANRE10231	AENJA_08681, AENJA_23847
OG0000004	DANRE31040	AENJA_16036, AENJA_03959, AENJA_23066, AENJA_26802, AENJA_26808
OG0000004	DANRE41389, DANRE41390	AENJA_03929
OG0000004	DANRE31032, DANRE31033, DANRE31034, DANRE31044, DANRE31041, DANRE31047, DANRE31039, DANRE31031, DANRE31048, DANRE31046, DANRE31043, DANRE31042, DANRE30830, DANRE30828, DANRE30829, DANRE31045, DANRE30832, DANRE33319, DANRE29697	AENJA_18812, AENJA_09022
OG0000005	DANRE20576, DANRE20588, DANRE20587, DANRE20586	AENJA_17910, AENJA_16714, AENJA_24985
OG0000005	DANRE17266	AENJA_12050
OG0000005	DANRE11160	AENJA_02291, AENJA_00056, AENJA_09464
OG0000006	DANRE07563	AENJA_11699, AENJA_18239, AENJA_21365, AENJA_22159
OG0000006	DANRE02891	AENJA_18510
OG0000006	DANRE40167, DANRE35529, DANRE26614, DANRE26613	AENJA_22158
OG0000006	DANRE15761, DANRE06496, DANRE06495, DANRE06497, DANRE08940	AENJA_13126
OG0000006	DANRE07561, DANRE07562, DANRE42479, DANRE42480, DANRE07564	AENJA_02691
OG0000006	DANRE18291, DANRE26970, DANRE26971, DANRE18292	AENJA_20911
OG0000006	DANRE40393, DANRE12604, DANRE38227, DANRE13192, DANRE13191	AENJA_07226
OG0000006	DANRE11213, DANRE11212, DANRE11601	AENJA_22522
OG0000006	DANRE30064, DANRE15483	AENJA_09814
OG0000006	DANRE30060	AENJA_09813
OG0000006	DANRE19266, DANRE19265, DANRE34833, DANRE34834	AENJA_00662
OG0000006	DANRE05395	AENJA_07549, AENJA_15373
OG0000006	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580	AENJA_18450
OG0000006	DANRE11156, DANRE11155	AENJA_01590
OG0000006	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329	AENJA_09210
OG0000006	DANRE04654, DANRE04655	AENJA_15474
OG0000007	DANRE26275, DANRE17982	AENJA_18325
OG0000007	DANRE38320, DANRE26009, DANRE40798, DANRE40799	AENJA_18163
OG0000007	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908	AENJA_00810
OG0000007	DANRE40583, DANRE36378, DANRE29354, DANRE34325, DANRE40143	AENJA_25020
OG0000007	DANRE07035, DANRE20085, DANRE04871, DANRE04210	AENJA_23908
OG0000007	DANRE23214, DANRE28394, DANRE07751, DANRE07750	AENJA_19234
OG0000007	DANRE12664	AENJA_18326
OG0000007	DANRE03447	AENJA_06479, AENJA_16018
OG0000007	DANRE26277, DANRE17981, DANRE12992, DANRE12991	AENJA_18328
OG0000007	DANRE21702	AENJA_11851
OG0000007	DANRE03039	AENJA_07359
OG0000007	DANRE08320, DANRE33659	AENJA_09687
OG0000007	DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908	AENJA_07358
OG0000007	DANRE30028, DANRE03038, DANRE28801	AENJA_11277
OG0000007	DANRE30495, DANRE03657, DANRE03658	AENJA_22886
OG0000007	DANRE02453, DANRE09326, DANRE09325	AENJA_16981
OG0000007	DANRE11519, DANRE13255, DANRE02905, DANRE04393	AENJA_26507
OG0000008	DANRE27059, DANRE36385, DANRE36384, DANRE36386, DANRE36383	AENJA_15934, AENJA_26738
OG0000008	DANRE34310, DANRE39865	AENJA_24404, AENJA_14450
OG0000008	DANRE15160, DANRE15161, DANRE09428, DANRE27450, DANRE27451, DANRE27453, DANRE27452	AENJA_00959
OG0000011	DANRE22618, DANRE32639, DANRE19908, DANRE03442	AENJA_03543, AENJA_24193
OG0000011	DANRE34035, DANRE34036	AENJA_26050
OG0000012	DANRE38177, DANRE38176	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014
OG0000012	DANRE12655, DANRE12656, DANRE12659	AENJA_02869
OG0000014	DANRE17251, DANRE43403	AENJA_25536
OG0000015	DANRE06610, DANRE36519, DANRE36518, DANRE36520, DANRE20233, DANRE20234, DANRE04836, DANRE04835, DANRE06611, DANRE20443	AENJA_19636
OG0000015	DANRE20436, DANRE20437, DANRE20438, DANRE04834, DANRE04833, DANRE36515, DANRE06150, DANRE04832, DANRE04831, DANRE20439, DANRE20441, DANRE20440, DANRE20520, DANRE36517, DANRE36516, DANRE06608, DANRE06609, DANRE06176, DANRE20442	AENJA_18653
OG0000015	DANRE42903, DANRE42902, DANRE07145, DANRE07146, DANRE07144, DANRE33766, DANRE16271, DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692	AENJA_17614, AENJA_19630
OG0000016	DANRE38616, DANRE06628, DANRE06627, DANRE13366	AENJA_04784, AENJA_04814, AENJA_14549, AENJA_07664
OG0000016	DANRE29900, DANRE29901, DANRE29903, DANRE29904, DANRE35774, DANRE03065, DANRE03064	AENJA_11513
OG0000016	DANRE35611	AENJA_26671, AENJA_26677
OG0000016	DANRE02012	AENJA_02781
OG0000016	DANRE31212, DANRE31213, DANRE31211, DANRE25754, DANRE13449, DANRE13448, DANRE25751, DANRE25753	AENJA_03282, AENJA_18791, AENJA_08816, AENJA_02864
OG0000018	DANRE31993, DANRE10860, DANRE34666, DANRE28525, DANRE06532, DANRE42745, DANRE25935, DANRE41823, DANRE28532, DANRE32198, DANRE23599, DANRE04161, DANRE11286, DANRE13094	AENJA_07360, AENJA_25137
OG0000018	DANRE13954, DANRE13946	AENJA_03018, AENJA_12247
OG0000019	DANRE41681	AENJA_03417, AENJA_02272, AENJA_02277
OG0000019	DANRE39715, DANRE24632, DANRE24631, DANRE21113, DANRE21112, DANRE29948, DANRE29945, DANRE29947, DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869	AENJA_24818, AENJA_20016
OG0000020	DANRE10827, DANRE10826, DANRE10743	AENJA_21688, AENJA_05309
OG0000020	DANRE10670	AENJA_15791
OG0000020	DANRE40536	AENJA_09502
OG0000020	DANRE42755	AENJA_18052
OG0000020	DANRE24424, DANRE24423, DANRE27995, DANRE27624, DANRE27625	AENJA_23718, AENJA_02408
OG0000020	DANRE30414	AENJA_15954
OG0000020	DANRE27431, DANRE27432, DANRE27433	AENJA_16929
OG0000020	DANRE06741, DANRE06740, DANRE15747	AENJA_04727
OG0000020	DANRE22958, DANRE22959	AENJA_10912
OG0000020	DANRE06663, DANRE06664	AENJA_11444
OG0000020	DANRE18984	AENJA_14659
OG0000020	DANRE27379	AENJA_12495
OG0000021	DANRE01661, DANRE22424, DANRE31606, DANRE31605	AENJA_14639
OG0000021	DANRE38577, DANRE08977, DANRE08978, DANRE08976	AENJA_16593
OG0000021	DANRE08348, DANRE33679	AENJA_24950
OG0000021	DANRE33712, DANRE33711, DANRE33342, DANRE33343	AENJA_19175
OG0000021	DANRE37717, DANRE02277	AENJA_24226, AENJA_26459, AENJA_15672, AENJA_17125, AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163, AENJA_10523, AENJA_13306, AENJA_20227
OG0000021	DANRE27401, DANRE27403, DANRE27400	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711
OG0000023	DANRE19492, DANRE40604, DANRE27752, DANRE38057, DANRE39283, DANRE25540, DANRE36925, DANRE26382, DANRE26381, DANRE29650, DANRE29649, DANRE03181, DANRE19476, DANRE19477	AENJA_11919, AENJA_06566, AENJA_06565, AENJA_12125, AENJA_11618, AENJA_11620, AENJA_11621, AENJA_22520, AENJA_19106, AENJA_11920
OG0000023	DANRE01757	AENJA_19909
OG0000023	DANRE01251, DANRE08271, DANRE08272, DANRE08270, DANRE08269, DANRE01246, DANRE08566, DANRE08567, DANRE38580, DANRE40368, DANRE01250, DANRE01247, DANRE01249, DANRE01248	AENJA_03895
OG0000026	DANRE09875	AENJA_07099, AENJA_18950
OG0000026	DANRE42258, DANRE07529	AENJA_21657
OG0000028	DANRE07178	AENJA_04861, AENJA_01184
OG0000029	DANRE22154	AENJA_03155, AENJA_26378, AENJA_10650
OG0000030	DANRE14546, DANRE09884, DANRE09883, DANRE34902	AENJA_17283
OG0000031	DANRE41496, DANRE35535, DANRE23155	AENJA_09856
OG0000031	DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505	AENJA_09858
OG0000031	DANRE13622, DANRE13623	AENJA_20966
OG0000031	DANRE26516, DANRE26019	AENJA_08759
OG0000031	DANRE11621	AENJA_10722
OG0000031	DANRE02768, DANRE23382	AENJA_02955
OG0000031	DANRE20276, DANRE16190, DANRE42316	AENJA_05740
OG0000031	DANRE27399, DANRE21472, DANRE14252	AENJA_14258, AENJA_15917, AENJA_14260
OG0000031	DANRE42215, DANRE15380, DANRE42216, DANRE28106, DANRE23847, DANRE23848	AENJA_15028
OG0000032	DANRE24196, DANRE27892, DANRE27891	AENJA_06514
OG0000032	DANRE30726, DANRE30725, DANRE33206, DANRE33207, DANRE33205, DANRE33204, DANRE33199, DANRE32929, DANRE32926, DANRE32927, DANRE33203, DANRE33202, DANRE32928, DANRE33200, DANRE33201, DANRE36261, DANRE20344, DANRE20343, DANRE12884, DANRE39037	AENJA_15445, AENJA_10949, AENJA_16462, AENJA_19113, AENJA_19112, AENJA_01972, AENJA_01667, AENJA_01332
OG0000032	DANRE22486, DANRE22485, DANRE22487, DANRE22488	AENJA_12718, AENJA_12280, AENJA_12491
OG0000032	DANRE24197	AENJA_06513
OG0000034	DANRE35041	AENJA_21749
OG0000034	DANRE29516, DANRE29515, DANRE12957, DANRE25460, DANRE31029, DANRE31030, DANRE23009, DANRE23010, DANRE02357	AENJA_26717
OG0000034	DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947	AENJA_02791
OG0000034	DANRE14484, DANRE09880, DANRE38036	AENJA_23686
OG0000034	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613	AENJA_13785
OG0000034	DANRE04100	AENJA_15701
OG0000034	DANRE25182	AENJA_16616
OG0000035	DANRE23313	AENJA_01174
OG0000035	DANRE40563, DANRE38347, DANRE12928, DANRE12929, DANRE27654	AENJA_22033
OG0000035	DANRE31052, DANRE25078, DANRE12998, DANRE12997	AENJA_08825
OG0000035	DANRE29644, DANRE29645, DANRE13480, DANRE13479, DANRE12467, DANRE12466, DANRE30988	AENJA_12732
OG0000035	DANRE36852, DANRE22281, DANRE12942, DANRE38472, DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758, DANRE30761	AENJA_12364, AENJA_26037
OG0000035	DANRE38222, DANRE38223, DANRE12948	AENJA_21683
OG0000036	DANRE25335, DANRE27775, DANRE38068, DANRE26145, DANRE38623	AENJA_22120, AENJA_22191, AENJA_22190
OG0000036	DANRE07186, DANRE30853	AENJA_15638, AENJA_15641, AENJA_15644
OG0000036	DANRE11991, DANRE38630	AENJA_21299, AENJA_21302, AENJA_21301
OG0000037	DANRE11959, DANRE17549, DANRE11958, DANRE11635, DANRE11634, DANRE17282, DANRE17582, DANRE10717, DANRE10716, DANRE06286, DANRE06287	AENJA_20944
OG0000037	DANRE03950, DANRE03951, DANRE05592, DANRE05591, DANRE37805, DANRE37804, DANRE13383	AENJA_05483, AENJA_06274
OG0000037	DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607	AENJA_13632
OG0000037	DANRE11315	AENJA_06403, AENJA_22611, AENJA_22610
OG0000038	DANRE40533	AENJA_00416
OG0000038	DANRE23401	AENJA_26313
OG0000038	DANRE41584	AENJA_05692, AENJA_02876, AENJA_05698, AENJA_09724, AENJA_16130
OG0000039	DANRE38069, DANRE38070	AENJA_10484, AENJA_20870, AENJA_17497
OG0000039	DANRE09344	AENJA_07277
OG0000040	DANRE30032, DANRE30031, DANRE30033, DANRE30029, DANRE30030, DANRE30035, DANRE30034, DANRE17230	AENJA_07541, AENJA_11361
OG0000041	DANRE24726	AENJA_08471
OG0000041	DANRE29492, DANRE36857, DANRE22432, DANRE25655, DANRE33053, DANRE36856, DANRE25654, DANRE43342, DANRE38441	AENJA_24560
OG0000041	DANRE36805, DANRE27215, DANRE24076, DANRE27216, DANRE05493, DANRE05492, DANRE18224, DANRE05473, DANRE36043, DANRE17635	AENJA_03404, AENJA_03405
OG0000044	DANRE20253, DANRE20252, DANRE04869, DANRE04868, DANRE04870, DANRE01471, DANRE01470, DANRE41195, DANRE41197, DANRE41200, DANRE41196, DANRE41199, DANRE05871, DANRE05873, DANRE05872, DANRE05874, DANRE05876, DANRE05875	AENJA_12079
OG0000044	DANRE05244, DANRE05245	AENJA_24602
OG0000044	DANRE13593	AENJA_03123
OG0000045	DANRE38824	AENJA_09277
OG0000045	DANRE05823	AENJA_15011, AENJA_15012, AENJA_14861, AENJA_03122, AENJA_25840, AENJA_10250, AENJA_01144, AENJA_20791
OG0000046	DANRE15742	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759
OG0000046	DANRE20292, DANRE09276, DANRE42278, DANRE42280, DANRE42172, DANRE42168, DANRE42170, DANRE42174, DANRE42171, DANRE42169, DANRE42167, DANRE42279, DANRE42166, DANRE42173, DANRE42277, DANRE09606, DANRE09605	AENJA_16259, AENJA_09014, AENJA_24111, AENJA_07378, AENJA_17464, AENJA_14643, AENJA_17407, AENJA_18744, AENJA_06489, AENJA_17691, AENJA_14608, AENJA_08340
OG0000048	DANRE33718	AENJA_11619
OG0000048	DANRE19398	AENJA_23226
OG0000048	DANRE08311	AENJA_21270
OG0000048	DANRE17556, DANRE05472	AENJA_16735, AENJA_16736
OG0000048	DANRE26183	AENJA_25506
OG0000049	DANRE18176, DANRE10819, DANRE00818, DANRE08853, DANRE08855, DANRE08854	AENJA_20702
OG0000049	DANRE36715, DANRE36714, DANRE02678, DANRE12445	AENJA_25756
OG0000049	DANRE10820	AENJA_26413
OG0000050	DANRE32914	AENJA_04583
OG0000050	DANRE33098, DANRE32869, DANRE33097, DANRE32870	AENJA_14035, AENJA_00443, AENJA_08509, AENJA_02533, AENJA_22540, AENJA_26360, AENJA_20350, AENJA_06100, AENJA_07442, AENJA_06078, AENJA_06097
OG0000051	DANRE04454, DANRE04455, DANRE04456, DANRE04458, DANRE04457	AENJA_24250
OG0000054	DANRE06791, DANRE15743	AENJA_06676, AENJA_23371
OG0000055	DANRE24633	AENJA_19390, AENJA_19388, AENJA_19387
OG0000056	DANRE40469	AENJA_20111
OG0000056	DANRE01913, DANRE01914, DANRE39460, DANRE39459, DANRE15877, DANRE15878, DANRE15879, DANRE39458, DANRE26297, DANRE26296, DANRE26298, DANRE26299, DANRE30224, DANRE30223, DANRE17147, DANRE17148, DANRE17149, DANRE30238, DANRE01911, DANRE01910	AENJA_20268
OG0000056	DANRE40924, DANRE40923	AENJA_05228
OG0000056	DANRE30239	AENJA_19769, AENJA_19772, AENJA_25728, AENJA_23915, AENJA_20579, AENJA_01631, AENJA_03114
OG0000057	DANRE01491, DANRE01492, DANRE34768, DANRE34769, DANRE25607, DANRE38933	AENJA_05247, AENJA_22751, AENJA_20208, AENJA_16752, AENJA_23652
OG0000057	DANRE02560, DANRE02558, DANRE02559	AENJA_11025
OG0000058	DANRE01466, DANRE01467	AENJA_23345
OG0000058	DANRE15130, DANRE18090, DANRE05159, DANRE10661, DANRE16833, DANRE17579, DANRE25419, DANRE25420, DANRE03527	AENJA_12354
OG0000059	DANRE23878, DANRE23877, DANRE23876	AENJA_13132
OG0000059	DANRE19797, DANRE19798, DANRE19796, DANRE13287, DANRE06156, DANRE06155, DANRE06072, DANRE06071, DANRE00651	AENJA_11199, AENJA_02561, AENJA_02562
OG0000060	DANRE15035, DANRE15034, DANRE05268	AENJA_17233
OG0000060	DANRE29003, DANRE24797, DANRE24796, DANRE38454, DANRE38453, DANRE38452, DANRE26104, DANRE12576	AENJA_23597
OG0000061	DANRE42668, DANRE35791, DANRE35790, DANRE14876, DANRE23684	AENJA_07301
OG0000061	DANRE21357, DANRE21356, DANRE21355, DANRE42236, DANRE42238, DANRE42237, DANRE03323, DANRE26316, DANRE26315, DANRE16979, DANRE30135, DANRE08363, DANRE08364, DANRE41399, DANRE24234, DANRE26883, DANRE26882, DANRE28200, DANRE36395, DANRE36396, DANRE36397, DANRE03215, DANRE23525, DANRE23526, DANRE28197, DANRE28196, DANRE28198, DANRE28195, DANRE28199, DANRE28194, DANRE28193, DANRE36398, DANRE24481, DANRE24482	AENJA_07183
OG0000061	DANRE26341, DANRE29170	AENJA_26614, AENJA_08766
OG0000062	DANRE08107, DANRE08104, DANRE08105, DANRE08102, DANRE08103, DANRE08106, DANRE08101, DANRE08100, DANRE28562, DANRE28568, DANRE28566, DANRE28565, DANRE28573, DANRE28574, DANRE28576, DANRE28571, DANRE28572, DANRE28569, DANRE28442, DANRE28441, DANRE28577, DANRE28578, DANRE43388, DANRE28579, DANRE28570	AENJA_00352, AENJA_09642, AENJA_22683
OG0000062	DANRE18807, DANRE18806	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995
OG0000063	DANRE20941, DANRE20940, DANRE20939, DANRE43110, DANRE15766, DANRE15767, DANRE15768, DANRE15769, DANRE26798, DANRE26796, DANRE26797, DANRE35514, DANRE35513	AENJA_20321
OG0000063	DANRE30783, DANRE30785, DANRE30782, DANRE01805, DANRE01806, DANRE36784, DANRE36785	AENJA_03789
OG0000063	DANRE15770	AENJA_04323
OG0000063	DANRE19500, DANRE19501, DANRE11531, DANRE11532, DANRE04204, DANRE04205, DANRE21781	AENJA_26394
OG0000066	DANRE40339, DANRE40338, DANRE40337, DANRE40336	AENJA_12655, AENJA_09505
OG0000067	DANRE05059, DANRE06045, DANRE20513, DANRE39179	AENJA_21686, AENJA_02413, AENJA_06386, AENJA_10791, AENJA_00788, AENJA_00783, AENJA_04376, AENJA_10553, AENJA_00784, AENJA_00787, AENJA_00786, AENJA_17339, AENJA_11630, AENJA_04270
OG0000068	DANRE22551	AENJA_08644, AENJA_02187, AENJA_15847, AENJA_18813, AENJA_15846, AENJA_08645, AENJA_17392, AENJA_01993, AENJA_10902
OG0000069	DANRE26091	AENJA_15982
OG0000070	DANRE18387, DANRE02540	AENJA_15427, AENJA_23180, AENJA_12319, AENJA_24460, AENJA_25453, AENJA_07501
OG0000070	DANRE27422, DANRE27423, DANRE35328, DANRE35329, DANRE35330	AENJA_09128, AENJA_05824, AENJA_17346, AENJA_12868, AENJA_23218, AENJA_23720, AENJA_23723, AENJA_26750
OG0000072	DANRE15952, DANRE15953, DANRE00858, DANRE00856, DANRE00857, DANRE08517	AENJA_13128
OG0000072	DANRE08498, DANRE08497, DANRE06006	AENJA_02450
OG0000072	DANRE05807	AENJA_25944, AENJA_05445
OG0000072	DANRE06126	AENJA_24050, AENJA_00746
OG0000073	DANRE23559	AENJA_08518, AENJA_08515
OG0000074	DANRE30953, DANRE23378, DANRE15580, DANRE43367, DANRE15578, DANRE15579, DANRE15576, DANRE15577, DANRE15581, DANRE15589, DANRE15590	AENJA_05555, AENJA_12312, AENJA_06058
OG0000074	DANRE17935	AENJA_24714
OG0000074	DANRE25680	AENJA_19802, AENJA_22095, AENJA_10992, AENJA_15679, AENJA_14253, AENJA_25976, AENJA_03334, AENJA_21322, AENJA_11103, AENJA_23926, AENJA_22408, AENJA_25285, AENJA_25284
OG0000075	DANRE03709, DANRE26359, DANRE26360	AENJA_23745
OG0000075	DANRE09985, DANRE09984, DANRE09983, DANRE02787	AENJA_05831
OG0000075	DANRE31020	AENJA_14040, AENJA_18277, AENJA_12917
OG0000075	DANRE36834, DANRE40515, DANRE12778	AENJA_21406
OG0000075	DANRE30937, DANRE41300	AENJA_12918
OG0000075	DANRE31021, DANRE31022	AENJA_12839
OG0000077	DANRE16390, DANRE20043, DANRE07192, DANRE00591, DANRE00590, DANRE39691	AENJA_13107
OG0000077	DANRE01477, DANRE40866, DANRE22036, DANRE06030, DANRE20156, DANRE16358	AENJA_07475
OG0000077	DANRE33612, DANRE00616, DANRE33611, DANRE33613, DANRE17597, DANRE11294, DANRE11293	AENJA_04661
OG0000078	DANRE39894, DANRE39895, DANRE39896, DANRE26111, DANRE26112, DANRE36848, DANRE30865, DANRE30864	AENJA_06551
OG0000079	DANRE41428, DANRE41431, DANRE41432, DANRE41429, DANRE41430, DANRE23441, DANRE01701, DANRE07129, DANRE07131, DANRE06662	AENJA_16186
OG0000079	DANRE00163, DANRE00164, DANRE00165, DANRE19082, DANRE19083, DANRE06228, DANRE06227, DANRE06226, DANRE06225, DANRE06229	AENJA_02482
OG0000079	DANRE08425, DANRE08424, DANRE08423, DANRE08420, DANRE08416, DANRE08419, DANRE08415, DANRE01231, DANRE01230, DANRE08421, DANRE08418, DANRE08422, DANRE40812, DANRE40811, DANRE40809, DANRE40810, DANRE33381, DANRE40813	AENJA_17442
OG0000079	DANRE33383	AENJA_11789
OG0000079	DANRE01827, DANRE01825, DANRE01824, DANRE01826	AENJA_10507
OG0000082	DANRE06377	AENJA_25747
OG0000082	DANRE00970	AENJA_11460
OG0000083	DANRE01056, DANRE08510, DANRE34355, DANRE07334, DANRE07333	AENJA_21795
OG0000084	DANRE07814, DANRE11583, DANRE40782, DANRE01412, DANRE01413, DANRE15534, DANRE15533, DANRE15962, DANRE15961, DANRE06459	AENJA_24814
OG0000084	DANRE33759	AENJA_24184
OG0000085	DANRE03872, DANRE13568, DANRE10642, DANRE42815, DANRE01947	AENJA_05556
OG0000085	DANRE34010, DANRE34949, DANRE08303, DANRE08302, DANRE35408	AENJA_06487
OG0000085	DANRE10316	AENJA_24493
OG0000085	DANRE33578, DANRE33579	AENJA_20539
OG0000085	DANRE14204, DANRE04562	AENJA_08917
OG0000086	DANRE36075, DANRE31941, DANRE19260	AENJA_01905
OG0000086	DANRE33398	AENJA_05350
OG0000086	DANRE07765	AENJA_16623
OG0000087	DANRE37955	AENJA_23251
OG0000087	DANRE15847, DANRE15848	AENJA_08976
OG0000087	DANRE02654, DANRE02653	AENJA_19775
OG0000087	DANRE42135	AENJA_03163
OG0000087	DANRE22805, DANRE22804	AENJA_19935
OG0000087	DANRE24820, DANRE24821	AENJA_04374, AENJA_10299
OG0000087	DANRE42134	AENJA_20453
OG0000088	DANRE05341, DANRE04380, DANRE25416, DANRE12560, DANRE26544, DANRE23867, DANRE36501, DANRE26035	AENJA_07097, AENJA_08556, AENJA_07105, AENJA_07098, AENJA_07104, AENJA_11026, AENJA_11029, AENJA_15119, AENJA_13877, AENJA_03166, AENJA_03175, AENJA_08500
OG0000089	DANRE18392	AENJA_01807
OG0000090	DANRE14575, DANRE14574, DANRE08600, DANRE08601	AENJA_10145
OG0000090	DANRE14775, DANRE14776	AENJA_01954
OG0000091	DANRE19328, DANRE19327, DANRE19329	AENJA_01383, AENJA_01384, AENJA_01385, AENJA_05198, AENJA_09904, AENJA_06299
OG0000094	DANRE31445, DANRE31446, DANRE02712, DANRE02711, DANRE02713, DANRE41259, DANRE40961, DANRE40960, DANRE40286	AENJA_14582
OG0000094	DANRE26291, DANRE26290, DANRE39959, DANRE39958, DANRE34093, DANRE34091, DANRE34092, DANRE34090, DANRE34094, DANRE34095, DANRE19459, DANRE19458, DANRE39957, DANRE29718, DANRE29719, DANRE29717, DANRE02593, DANRE02592, DANRE02591	AENJA_26553
OG0000096	DANRE06854, DANRE41409, DANRE15329, DANRE13475	AENJA_25727
OG0000096	DANRE14485	AENJA_21947
OG0000096	DANRE38946	AENJA_08423
OG0000096	DANRE42235, DANRE21352, DANRE21353, DANRE21354	AENJA_14053
OG0000097	DANRE07843, DANRE07842, DANRE07848, DANRE07847, DANRE07846, DANRE07845	AENJA_19407, AENJA_02407
OG0000098	DANRE29634, DANRE03194, DANRE03198, DANRE03197, DANRE03193, DANRE03195, DANRE03196, DANRE38926, DANRE38925, DANRE42853, DANRE42852, DANRE42851	AENJA_10136, AENJA_10137
OG0000098	DANRE43096, DANRE26020, DANRE38317, DANRE38316, DANRE38318, DANRE26021, DANRE38315, DANRE33952, DANRE33953	AENJA_22563, AENJA_15215
OG0000099	DANRE19933	AENJA_19631
OG0000099	DANRE09258, DANRE09257, DANRE09256, DANRE09255, DANRE09254, DANRE13816, DANRE08158, DANRE13815, DANRE08996, DANRE09030, DANRE08830, DANRE08829, DANRE00831, DANRE00829	AENJA_07638, AENJA_14869
OG0000100	DANRE31960, DANRE06447, DANRE35571, DANRE40178, DANRE28402	AENJA_18418, AENJA_01971, AENJA_04352, AENJA_16267, AENJA_08182, AENJA_19645, AENJA_04978, AENJA_15620
OG0000101	DANRE38569, DANRE26131, DANRE26132	AENJA_26592
OG0000101	DANRE12070	AENJA_00251
OG0000101	DANRE23836	AENJA_06142
OG0000101	DANRE42773, DANRE42772, DANRE21261, DANRE21260, DANRE42774	AENJA_14914, AENJA_21479, AENJA_11421
