Orthogroup	DANRE	SACKO_ok
OG0000006	DANRE30064, DANRE15483	SACKO_15817
OG0000006	DANRE30060	SACKO_15812
OG0000006	DANRE19266, DANRE19265, DANRE34833, DANRE34834	SACKO_32444
OG0000006	DANRE05395	SACKO_12590, SACKO_14761, SACKO_02017
OG0000006	DANRE20981, DANRE28318, DANRE19321	SACKO_32500
OG0000006	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580	SACKO_06429
OG0000006	DANRE11156, DANRE11155	SACKO_32477
OG0000006	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329	SACKO_20803
OG0000006	DANRE04654, DANRE04655	SACKO_32388
OG0000007	DANRE26275, DANRE17982	SACKO_33112
OG0000007	DANRE38320, DANRE26009, DANRE40798, DANRE40799	SACKO_16486
OG0000007	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908	SACKO_25751
OG0000007	DANRE40583, DANRE36378, DANRE29354, DANRE34325, DANRE40143	SACKO_17363
OG0000007	DANRE16014, DANRE16015, DANRE40142	SACKO_07507
OG0000007	DANRE07035, DANRE20085, DANRE04871, DANRE04210	SACKO_03410
OG0000007	DANRE12664	SACKO_33128
OG0000007	DANRE03447	SACKO_15684
OG0000007	DANRE26278, DANRE26279, DANRE17980, DANRE17979	SACKO_15694
OG0000007	DANRE26277, DANRE17981, DANRE12992, DANRE12991	SACKO_22717
OG0000007	DANRE21702	SACKO_04591
OG0000007	DANRE03039	SACKO_00920
OG0000007	DANRE08320, DANRE33659	SACKO_27771
OG0000007	DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908	SACKO_27817
OG0000007	DANRE30028, DANRE03038, DANRE28801	SACKO_00927
OG0000007	DANRE30495, DANRE03657, DANRE03658	SACKO_02233
OG0000007	DANRE02453, DANRE09326, DANRE09325	SACKO_31102, SACKO_31073
OG0000007	DANRE11519, DANRE13255, DANRE02905, DANRE04393	SACKO_11981
OG0000008	DANRE17182, DANRE17185, DANRE17179, DANRE17183, DANRE17180, DANRE17181, DANRE17184, DANRE17186, DANRE17168, DANRE17176, DANRE17177, DANRE17187, DANRE17191, DANRE17174, DANRE17196, DANRE17190, DANRE17175, DANRE17194, DANRE17193, DANRE17195, DANRE17189, DANRE17188	SACKO_05714, SACKO_03429
OG0000010	DANRE21309, DANRE21308	SACKO_30054
OG0000010	DANRE34456, DANRE07824, DANRE29658, DANRE03180, DANRE03179, DANRE29163, DANRE29161, DANRE29162, DANRE03165, DANRE25582, DANRE36540, DANRE36542, DANRE36541	SACKO_31740
OG0000012	DANRE38177, DANRE38176	SACKO_25852, SACKO_05170, SACKO_05236, SACKO_05231, SACKO_27422, SACKO_01346, SACKO_05227, SACKO_05213, SACKO_06922, SACKO_10565
OG0000012	DANRE12655, DANRE12656, DANRE12659	SACKO_01736
OG0000014	DANRE40509, DANRE36844, DANRE43146, DANRE22544, DANRE03629, DANRE29858, DANRE04027, DANRE04029, DANRE04028, DANRE30100, DANRE03816	SACKO_10784, SACKO_10786
OG0000014	DANRE40391	SACKO_33738, SACKO_26423, SACKO_26460
OG0000014	DANRE11197, DANRE03296	SACKO_06765, SACKO_21227, SACKO_28145, SACKO_13011, SACKO_28125, SACKO_13001
OG0000014	DANRE17251, DANRE43403	SACKO_13283
OG0000015	DANRE20436, DANRE20437, DANRE20438, DANRE04834, DANRE04833, DANRE36515, DANRE06150, DANRE04832, DANRE04831, DANRE20439, DANRE20441, DANRE20440, DANRE20520, DANRE36517, DANRE36516, DANRE06608, DANRE06609, DANRE06176, DANRE20442	SACKO_31697
OG0000015	DANRE42903, DANRE42902, DANRE07145, DANRE07146, DANRE07144, DANRE33766, DANRE16271, DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692	SACKO_11254, SACKO_29684, SACKO_11255, SACKO_11287, SACKO_11889, SACKO_08390, SACKO_24547, SACKO_24571, SACKO_02855, SACKO_24548, SACKO_22485, SACKO_22502, SACKO_22509, SACKO_17011, SACKO_07089, SACKO_00034, SACKO_00056, SACKO_18010, SACKO_12151, SACKO_25364, SACKO_25361, SACKO_25397, SACKO_25365, SACKO_33283, SACKO_33290, SACKO_08251, SACKO_11425, SACKO_33292, SACKO_33299
OG0000016	DANRE38616, DANRE06628, DANRE06627, DANRE13366	SACKO_26503, SACKO_06921, SACKO_08552, SACKO_02763, SACKO_27519, SACKO_31968
OG0000016	DANRE35611	SACKO_15439, SACKO_19317, SACKO_06877, SACKO_04946
OG0000016	DANRE02012	SACKO_11717, SACKO_14898
OG0000016	DANRE13447	SACKO_26527
OG0000016	DANRE31212, DANRE31213, DANRE31211, DANRE25754, DANRE13449, DANRE13448, DANRE25751, DANRE25753	SACKO_10752, SACKO_25451, SACKO_06368, SACKO_16222, SACKO_01152, SACKO_01198, SACKO_02850, SACKO_02856, SACKO_23460, SACKO_02844, SACKO_00542, SACKO_04938, SACKO_04247, SACKO_12793, SACKO_30133, SACKO_06151, SACKO_06139, SACKO_16244, SACKO_18686, SACKO_27061, SACKO_06906, SACKO_06367, SACKO_06917
OG0000018	DANRE24545, DANRE35342, DANRE25794, DANRE36083, DANRE25761, DANRE28032, DANRE14196, DANRE38851, DANRE22527, DANRE26621, DANRE11765, DANRE36195, DANRE03525, DANRE11263, DANRE14820, DANRE41490, DANRE37176, DANRE08199, DANRE24881, DANRE08547, DANRE40578, DANRE10138	SACKO_25250
OG0000018	DANRE13954, DANRE13946	SACKO_21669, SACKO_17074, SACKO_20752
OG0000019	DANRE41681	SACKO_05035
OG0000019	DANRE39715, DANRE24632, DANRE24631, DANRE21113, DANRE21112, DANRE29948, DANRE29945, DANRE29947, DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869	SACKO_23880
OG0000020	DANRE10827, DANRE10826, DANRE10743	SACKO_22951
OG0000020	DANRE40536	SACKO_08732
OG0000020	DANRE42755	SACKO_21519
OG0000020	DANRE24424, DANRE24423, DANRE27995, DANRE27624, DANRE27625	SACKO_08704, SACKO_24262, SACKO_13567, SACKO_14956, SACKO_28904
OG0000020	DANRE30414	SACKO_23553, SACKO_23513
OG0000020	DANRE27431, DANRE27432, DANRE27433	SACKO_16107, SACKO_20105
OG0000020	DANRE06741, DANRE06740, DANRE15747	SACKO_15854
OG0000020	DANRE22958, DANRE22959	SACKO_20295
OG0000020	DANRE06663, DANRE06664	SACKO_29670
OG0000020	DANRE18984	SACKO_24638
OG0000020	DANRE27379	SACKO_04828
OG0000021	DANRE01661, DANRE22424, DANRE31606, DANRE31605	SACKO_24549
OG0000021	DANRE38577, DANRE08977, DANRE08978, DANRE08976	SACKO_32115
OG0000021	DANRE08348, DANRE33679	SACKO_15594
OG0000021	DANRE33712, DANRE33711, DANRE33342, DANRE33343	SACKO_29742
OG0000021	DANRE37717, DANRE02277	SACKO_25838
OG0000021	DANRE27401, DANRE27403, DANRE27400	SACKO_24637, SACKO_24630, SACKO_24646, SACKO_24640
OG0000022	DANRE31747, DANRE31746	SACKO_01356
OG0000023	DANRE19492, DANRE40604, DANRE27752, DANRE38057, DANRE39283, DANRE25540, DANRE36925, DANRE26382, DANRE26381, DANRE29650, DANRE29649, DANRE03181, DANRE19476, DANRE19477	SACKO_06926
OG0000026	DANRE25537, DANRE36265	SACKO_19144
OG0000026	DANRE42258, DANRE07529	SACKO_23233
OG0000027	DANRE03471, DANRE22990, DANRE22989, DANRE41021, DANRE41022, DANRE41023, DANRE41020, DANRE41018, DANRE41275, DANRE41019, DANRE41017, DANRE41008, DANRE41009	SACKO_30755, SACKO_33108, SACKO_05489, SACKO_05485, SACKO_05487, SACKO_04609, SACKO_04624, SACKO_33129, SACKO_21634, SACKO_02136
OG0000027	DANRE02909	SACKO_02698
OG0000028	DANRE07176, DANRE07177, DANRE15857, DANRE15856, DANRE09600, DANRE09601, DANRE13468, DANRE13469, DANRE13470, DANRE15855, DANRE10772, DANRE17755, DANRE17756, DANRE02083, DANRE07180, DANRE07179, DANRE15853, DANRE35763	SACKO_00730, SACKO_00734
OG0000028	DANRE39088, DANRE39089, DANRE24974, DANRE15851, DANRE15850, DANRE13964	SACKO_00054, SACKO_29910
OG0000029	DANRE22154	SACKO_10012, SACKO_10033
OG0000029	DANRE39912, DANRE39910, DANRE39911, DANRE39909, DANRE12668, DANRE12669, DANRE40256, DANRE22155, DANRE11325, DANRE16818, DANRE16817, DANRE13326	SACKO_04574
OG0000029	DANRE41268, DANRE41269, DANRE26531, DANRE01944	SACKO_15001
OG0000029	DANRE42782, DANRE35736, DANRE21814, DANRE34060, DANRE21950, DANRE21945, DANRE43307, DANRE21946, DANRE21947, DANRE21900, DANRE21896, DANRE39154	SACKO_16822, SACKO_04689, SACKO_33098, SACKO_33086, SACKO_33097, SACKO_33076
OG0000030	DANRE34589, DANRE34588	SACKO_06190, SACKO_06196
OG0000030	DANRE16388, DANRE16389	SACKO_22667, SACKO_24779, SACKO_06416, SACKO_06421
OG0000030	DANRE14546, DANRE09884, DANRE09883, DANRE34902	SACKO_15145, SACKO_06184, SACKO_15141, SACKO_15135, SACKO_06169, SACKO_06668, SACKO_06170
OG0000030	DANRE08391	SACKO_26701
OG0000030	DANRE03978	SACKO_07650, SACKO_31340, SACKO_33296, SACKO_16706, SACKO_20032
OG0000031	DANRE41496, DANRE35535, DANRE23155	SACKO_18621
OG0000031	DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505	SACKO_18614
OG0000031	DANRE26516	SACKO_16512
OG0000031	DANRE11621	SACKO_21501
OG0000031	DANRE20276, DANRE16190, DANRE42316	SACKO_14417
OG0000031	DANRE27399, DANRE21472, DANRE14252	SACKO_32680
OG0000031	DANRE16189, DANRE42315, DANRE15746	SACKO_14578
OG0000031	DANRE42215, DANRE15380, DANRE42216, DANRE28106, DANRE23847, DANRE23848	SACKO_03088
OG0000032	DANRE24196, DANRE27892, DANRE27891	SACKO_26058
OG0000032	DANRE30726, DANRE30725, DANRE33206, DANRE33207, DANRE33205, DANRE33204, DANRE33199, DANRE32929, DANRE32926, DANRE32927, DANRE33203, DANRE33202, DANRE32928, DANRE33200, DANRE33201, DANRE36261, DANRE20344, DANRE20343, DANRE12884, DANRE39037	SACKO_20618, SACKO_18250, SACKO_18255, SACKO_27193, SACKO_27208, SACKO_28754
OG0000032	DANRE22486, DANRE22485, DANRE22487, DANRE22488	SACKO_02664
OG0000034	DANRE35041	SACKO_08906
OG0000034	DANRE29516, DANRE29515, DANRE12957, DANRE25460, DANRE31029, DANRE31030, DANRE23009, DANRE23010, DANRE02357	SACKO_15619
OG0000034	DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947	SACKO_19192
OG0000034	DANRE14484, DANRE09880, DANRE38036	SACKO_16505
OG0000034	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613	SACKO_05860
OG0000034	DANRE04100	SACKO_20630, SACKO_18516, SACKO_29852
OG0000034	DANRE25182	SACKO_20915
OG0000035	DANRE23313	SACKO_02558
OG0000035	DANRE40563, DANRE38347, DANRE12928, DANRE12929, DANRE27654	SACKO_19408
OG0000035	DANRE31052, DANRE25078, DANRE12998, DANRE12997	SACKO_12639
OG0000035	DANRE29644, DANRE29645, DANRE13480, DANRE13479, DANRE12467, DANRE12466, DANRE30988	SACKO_13246
OG0000035	DANRE36852, DANRE22281, DANRE12942, DANRE38472, DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758, DANRE30761	SACKO_16912, SACKO_19307, SACKO_22660
OG0000035	DANRE38222, DANRE38223, DANRE12948	SACKO_08422
OG0000036	DANRE25335, DANRE27775, DANRE38068, DANRE26145, DANRE38623	SACKO_28321
OG0000036	DANRE07186, DANRE30853	SACKO_09791, SACKO_09801, SACKO_09793, SACKO_25463, SACKO_16059, SACKO_11679, SACKO_11682, SACKO_11688
OG0000036	DANRE11991, DANRE38630	SACKO_28315
OG0000037	DANRE11959, DANRE17549, DANRE11958, DANRE11635, DANRE11634, DANRE17282, DANRE17582, DANRE10717, DANRE10716, DANRE06286, DANRE06287	SACKO_22630
OG0000037	DANRE03950, DANRE03951, DANRE05592, DANRE05591, DANRE37805, DANRE37804, DANRE13383	SACKO_05171
OG0000037	DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607	SACKO_15149
OG0000037	DANRE11315	SACKO_21107, SACKO_21121, SACKO_07542, SACKO_17953, SACKO_17956
OG0000038	DANRE01550, DANRE01549	SACKO_30496
OG0000038	DANRE23401	SACKO_00016
OG0000038	DANRE41584	SACKO_13897
OG0000038	DANRE15348	SACKO_05258, SACKO_05271
OG0000039	DANRE18250, DANRE18249, DANRE18251, DANRE18253, DANRE18252	SACKO_24480
OG0000039	DANRE38069, DANRE38070	SACKO_16726, SACKO_16701
OG0000040	DANRE30032, DANRE30031, DANRE30033, DANRE30029, DANRE30030, DANRE30035, DANRE30034, DANRE17230	SACKO_27347, SACKO_18726, SACKO_31332, SACKO_18377, SACKO_18375, SACKO_18381, SACKO_18372, SACKO_21524, SACKO_18370, SACKO_21492, SACKO_21526, SACKO_12837, SACKO_20866, SACKO_06279, SACKO_20851
OG0000041	DANRE29492, DANRE36857, DANRE22432, DANRE25655, DANRE33053, DANRE36856, DANRE25654, DANRE43342, DANRE38441	SACKO_08282
OG0000041	DANRE36805, DANRE27215, DANRE24076	SACKO_06515
OG0000043	DANRE43265	SACKO_09694
OG0000044	DANRE20253, DANRE20252, DANRE04869, DANRE04868, DANRE04870, DANRE01471, DANRE01470, DANRE41195, DANRE41197, DANRE41200, DANRE41196, DANRE41199, DANRE05871, DANRE05873, DANRE05872, DANRE05874, DANRE05876, DANRE05875	SACKO_25267
OG0000045	DANRE38824	SACKO_11123
OG0000045	DANRE27285, DANRE27286, DANRE19466	SACKO_32893, SACKO_32938, SACKO_32925
OG0000045	DANRE05823	SACKO_19866, SACKO_19846
OG0000045	DANRE28069, DANRE28068	SACKO_19354
OG0000046	DANRE15742	SACKO_04617, SACKO_18448
OG0000046	DANRE20292, DANRE09276, DANRE42278, DANRE42280, DANRE42172, DANRE42168, DANRE42170, DANRE42174, DANRE42171, DANRE42169, DANRE42167, DANRE42279, DANRE42166, DANRE42173, DANRE42277, DANRE09606, DANRE09605	SACKO_27244, SACKO_27309, SACKO_27311, SACKO_25196, SACKO_25208
OG0000048	DANRE33718	SACKO_04413
OG0000048	DANRE19398	SACKO_24161
OG0000048	DANRE24176, DANRE24175, DANRE27247, DANRE27248, DANRE24174, DANRE24603, DANRE05500	SACKO_15652, SACKO_15237, SACKO_15246
OG0000048	DANRE08311, DANRE38354	SACKO_12018
OG0000048	DANRE17556, DANRE05472	SACKO_17673
OG0000048	DANRE26183	SACKO_29639
OG0000049	DANRE18176, DANRE10819, DANRE00818, DANRE08853, DANRE08855, DANRE08854	SACKO_08936
OG0000049	DANRE36715, DANRE36714, DANRE02678, DANRE12445	SACKO_25469
OG0000049	DANRE22104, DANRE39773, DANRE39775, DANRE39774, DANRE02437, DANRE02436, DANRE36818, DANRE36819, DANRE30745, DANRE25833	SACKO_25472
OG0000050	DANRE32914	SACKO_30449, SACKO_28664
OG0000050	DANRE05388, DANRE16154, DANRE21370, DANRE14263, DANRE25768, DANRE00430, DANRE32860, DANRE42655, DANRE31654, DANRE32311, DANRE20964	SACKO_21879, SACKO_14082, SACKO_12826, SACKO_19173, SACKO_06375, SACKO_10464, SACKO_01876, SACKO_20008
OG0000050	DANRE33098, DANRE32869, DANRE33097, DANRE32870	SACKO_24117, SACKO_17648
OG0000051	DANRE04454, DANRE04455, DANRE04456, DANRE04458, DANRE04457	SACKO_26547, SACKO_15743, SACKO_15729, SACKO_15742, SACKO_15726
OG0000053	DANRE17521	SACKO_03479
OG0000054	DANRE06791, DANRE15743	SACKO_17476
OG0000054	DANRE09041, DANRE09042	SACKO_33924, SACKO_28075, SACKO_02978, SACKO_02968, SACKO_33533, SACKO_31837, SACKO_03553, SACKO_03606, SACKO_03590, SACKO_22513, SACKO_14957, SACKO_14966, SACKO_22867, SACKO_12976, SACKO_09411, SACKO_09416, SACKO_04221
OG0000055	DANRE26046, DANRE37399, DANRE26075	SACKO_06734, SACKO_16034, SACKO_06736, SACKO_22855, SACKO_06730, SACKO_06723, SACKO_22841, SACKO_06754, SACKO_06753, SACKO_10896, SACKO_10914, SACKO_10917, SACKO_10872, SACKO_10884, SACKO_27588, SACKO_10909, SACKO_10921, SACKO_10902, SACKO_27559, SACKO_10916, SACKO_30027
OG0000056	DANRE01913, DANRE01914, DANRE39460, DANRE39459, DANRE15877, DANRE15878, DANRE15879, DANRE39458, DANRE26297, DANRE26296, DANRE26298, DANRE26299, DANRE30224, DANRE30223, DANRE17147, DANRE17148, DANRE17149, DANRE30238, DANRE01911, DANRE01910	SACKO_33679, SACKO_33678, SACKO_33948, SACKO_33672
OG0000056	DANRE30239	SACKO_22063, SACKO_13826, SACKO_16845, SACKO_11517, SACKO_05139
OG0000058	DANRE01466, DANRE01467	SACKO_23572
OG0000059	DANRE23878, DANRE23877, DANRE23876	SACKO_01899
OG0000059	DANRE19797, DANRE19798, DANRE19796, DANRE13287, DANRE06156, DANRE06155, DANRE06072, DANRE06071, DANRE00651	SACKO_18357
OG0000060	DANRE15035, DANRE15034, DANRE05268	SACKO_26044
OG0000060	DANRE29003, DANRE24797, DANRE24796, DANRE38454, DANRE38453, DANRE38452, DANRE26104, DANRE12576	SACKO_08309
OG0000061	DANRE42668, DANRE35791, DANRE35790, DANRE14876, DANRE23684	SACKO_02041
OG0000061	DANRE21357, DANRE21356, DANRE21355, DANRE42236, DANRE42238, DANRE42237, DANRE03323, DANRE26316, DANRE26315, DANRE16979, DANRE30135, DANRE08363, DANRE08364, DANRE41399, DANRE24234, DANRE26883, DANRE26882, DANRE28200, DANRE36395, DANRE36396, DANRE36397, DANRE03215, DANRE23525, DANRE23526, DANRE28197, DANRE28196, DANRE28198, DANRE28195, DANRE28199, DANRE28194, DANRE28193, DANRE36398, DANRE24481, DANRE24482	SACKO_02073
OG0000061	DANRE26341, DANRE29170	SACKO_02064
OG0000062	DANRE08107, DANRE08104, DANRE08105, DANRE08102, DANRE08103, DANRE08106, DANRE08101, DANRE08100, DANRE28562, DANRE28568, DANRE28566, DANRE28565, DANRE28573, DANRE28574, DANRE28576, DANRE28571, DANRE28572, DANRE28569, DANRE28442, DANRE28441, DANRE28577, DANRE28578, DANRE43388, DANRE28579, DANRE28570	SACKO_15950, SACKO_15963, SACKO_09033
OG0000062	DANRE18807, DANRE18806	SACKO_15645
OG0000063	DANRE20941, DANRE20940, DANRE20939, DANRE43110, DANRE15766, DANRE15767, DANRE15768, DANRE15769, DANRE26798, DANRE26796, DANRE26797, DANRE35514, DANRE35513	SACKO_12392
OG0000063	DANRE30783, DANRE30785, DANRE30782, DANRE01805, DANRE01806, DANRE36784, DANRE36785	SACKO_30337
OG0000063	DANRE36896	SACKO_21551
OG0000063	DANRE19500, DANRE19501, DANRE11531, DANRE11532, DANRE04204, DANRE04205	SACKO_15119
OG0000066	DANRE40339, DANRE40338, DANRE40337, DANRE40336	SACKO_23403
OG0000067	DANRE05059, DANRE06045, DANRE20513, DANRE39179	SACKO_29221, SACKO_31855, SACKO_31833, SACKO_12536, SACKO_12547, SACKO_12538, SACKO_06258, SACKO_31568, SACKO_29251, SACKO_32787, SACKO_32780, SACKO_02541, SACKO_12383, SACKO_13178, SACKO_19397, SACKO_21210, SACKO_13183, SACKO_02285, SACKO_12598, SACKO_16903, SACKO_03814, SACKO_03817, SACKO_18910
OG0000068	DANRE39760, DANRE39761, DANRE22550, DANRE22548, DANRE36056, DANRE22549, DANRE22547, DANRE39762, DANRE25132, DANRE31207, DANRE31206, DANRE31205, DANRE41310, DANRE31358, DANRE31357	SACKO_06365
OG0000068	DANRE22551	SACKO_13373, SACKO_07008, SACKO_31433, SACKO_13374, SACKO_13369, SACKO_13372, SACKO_13381
OG0000069	DANRE26091	SACKO_07016, SACKO_15035
OG0000070	DANRE18387, DANRE02540	SACKO_18930, SACKO_18932
OG0000070	DANRE27422, DANRE27423, DANRE35328, DANRE35329, DANRE35330	SACKO_16529, SACKO_03669, SACKO_06869, SACKO_08780, SACKO_08776, SACKO_17153, SACKO_29369, SACKO_16538, SACKO_10537, SACKO_10050, SACKO_01480, SACKO_29930
OG0000072	DANRE15952, DANRE15953, DANRE00858, DANRE00856, DANRE00857, DANRE08517	SACKO_25103, SACKO_25111
OG0000072	DANRE08497, DANRE06006	SACKO_14515
OG0000072	DANRE05807	SACKO_31517
OG0000074	DANRE30953, DANRE23378	SACKO_04859
OG0000074	DANRE17935	SACKO_00567, SACKO_23013
OG0000074	DANRE25680	SACKO_01565, SACKO_20235, SACKO_20240, SACKO_02109, SACKO_12436, SACKO_31326, SACKO_31311, SACKO_16881, SACKO_29200, SACKO_29259, SACKO_32314, SACKO_29235, SACKO_02421, SACKO_29199, SACKO_29193, SACKO_29237, SACKO_29214, SACKO_02420, SACKO_15509, SACKO_14575, SACKO_14398, SACKO_14464, SACKO_14421, SACKO_26150, SACKO_06386, SACKO_14271, SACKO_08735
OG0000075	DANRE03709, DANRE26359, DANRE26360	SACKO_07161
OG0000075	DANRE41686, DANRE41687, DANRE35873, DANRE35872	SACKO_31868
OG0000075	DANRE23134, DANRE23133	SACKO_31864
OG0000075	DANRE09985, DANRE09984, DANRE09983, DANRE02787	SACKO_16948
OG0000075	DANRE01002, DANRE34361	SACKO_18318
OG0000075	DANRE41688, DANRE23132	SACKO_31867
OG0000075	DANRE36834, DANRE40515, DANRE12778	SACKO_23452
OG0000075	DANRE30937, DANRE41300	SACKO_23651
OG0000075	DANRE24998, DANRE31372, DANRE31373, DANRE22408, DANRE02483	SACKO_09677
OG0000075	DANRE31021, DANRE31022	SACKO_16926
OG0000077	DANRE16390, DANRE20043, DANRE07192, DANRE00591, DANRE00590, DANRE39691	SACKO_10609, SACKO_13734
OG0000077	DANRE24245, DANRE24244, DANRE10615, DANRE10614, DANRE34995, DANRE08145	SACKO_03449
OG0000077	DANRE01477, DANRE40866, DANRE22036, DANRE06030, DANRE20156, DANRE16358	SACKO_24063
OG0000077	DANRE11696, DANRE11492, DANRE16170, DANRE41853, DANRE41854, DANRE17386	SACKO_16621, SACKO_13762
OG0000077	DANRE40644, DANRE19656, DANRE19657	SACKO_02025
OG0000078	DANRE39894, DANRE39895, DANRE39896, DANRE26111, DANRE26112, DANRE36848, DANRE30865, DANRE30864	SACKO_29101, SACKO_02475
