Orthogroup	DANRE	PFLAV
OG0000000	DANRE11796, DANRE11795, DANRE18798	TCONS_00009627.p1
OG0000001	DANRE16953, DANRE16962, DANRE16961, DANRE16955, DANRE16957, DANRE16959, DANRE16956, DANRE16954, DANRE16958, DANRE16960, DANRE28471, DANRE00718, DANRE00765, DANRE00766, DANRE00769, DANRE00768, DANRE00812, DANRE00809, DANRE00810, DANRE00811, DANRE03280, DANRE00762, DANRE00763, DANRE00764, DANRE00767, DANRE14857, DANRE09569, DANRE13671, DANRE13664, DANRE13665, DANRE13666, DANRE13667, DANRE13668, DANRE13663, DANRE13812	TCONS_00034555.p1, TCONS_00007091.p1
OG0000001	DANRE16475, DANRE16476	TCONS_00001512.p1, TCONS_00001513.p1, TCONS_00001514.p1, TCONS_00001510.p2
OG0000001	DANRE29550	TCONS_00051578.p1, TCONS_00050528.p1, TCONS_00050529.p1, TCONS_00051579.p1, TCONS_00050527.p1, TCONS_00051590.p1, TCONS_00050520.p1, TCONS_00051592.p2, TCONS_00050519.p1, TCONS_00050521.p1, TCONS_00051589.p1, TCONS_00050525.p1, TCONS_00051582.p1, TCONS_00051581.p1, TCONS_00050526.p1, TCONS_00051580.p1
OG0000002	DANRE16673	TCONS_00008473.p1, TCONS_00020039.p1
OG0000002	DANRE38244, DANRE38242, DANRE38243	TCONS_00017417.p1, TCONS_00017418.p1, TCONS_00053860.p1, TCONS_00053848.p1, TCONS_00018470.p1, TCONS_00001082.p1
OG0000002	DANRE28829, DANRE28823, DANRE28819, DANRE28822, DANRE28825, DANRE28824, DANRE28826, DANRE28828, DANRE28827, DANRE17907, DANRE17906, DANRE17905, DANRE17904, DANRE17908, DANRE23589, DANRE23588, DANRE17903, DANRE17912, DANRE17913, DANRE17914, DANRE17918, DANRE17917, DANRE17916, DANRE17915, DANRE17919	TCONS_00050428.p1, TCONS_00050118.p1
OG0000002	DANRE28739	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1
OG0000002	DANRE23574	TCONS_00048938.p1
OG0000003	DANRE05700	TCONS_00031472.p1
OG0000004	DANRE31040	TCONS_00045168.p1, TCONS_00046035.p1, TCONS_00046040.p1
OG0000004	DANRE31032, DANRE31033, DANRE31034, DANRE31044, DANRE31041, DANRE31047, DANRE31039, DANRE31031, DANRE31048, DANRE31046, DANRE31043, DANRE31042, DANRE30830, DANRE30828, DANRE30829, DANRE31045, DANRE30832, DANRE33319, DANRE29697	TCONS_00039987.p1
OG0000005	DANRE20576, DANRE20588, DANRE20587, DANRE20586	TCONS_00049335.p1, TCONS_00047603.p1, TCONS_00047643.p1, TCONS_00047644.p1, TCONS_00047602.p1, TCONS_00049337.p1, TCONS_00047645.p1, TCONS_00016788.p1, TCONS_00017981.p1, TCONS_00000197.p1, TCONS_00001362.p1
OG0000005	DANRE11253, DANRE11252, DANRE11254, DANRE11251, DANRE11250, DANRE02588, DANRE20012, DANRE20011, DANRE20010, DANRE20517, DANRE20518, DANRE17265, DANRE14948, DANRE27010, DANRE24204, DANRE18558, DANRE10777	TCONS_00020906.p1, TCONS_00020909.p1, TCONS_00020911.p1
OG0000006	DANRE07563	TCONS_00016792.p1, TCONS_00023587.p1
OG0000006	DANRE02891	TCONS_00048904.p1
OG0000006	DANRE40167, DANRE35529, DANRE26614, DANRE26613	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1
OG0000006	DANRE15761, DANRE06496, DANRE06495, DANRE06497, DANRE08940	TCONS_00042787.p1
OG0000006	DANRE07561, DANRE07562, DANRE42479, DANRE42480, DANRE07564	TCONS_00021207.p1
OG0000006	DANRE18291, DANRE26970, DANRE26971, DANRE18292	TCONS_00016646.p1
OG0000006	DANRE20396, DANRE24336	TCONS_00021581.p1
OG0000006	DANRE40393, DANRE12604, DANRE38227, DANRE13192, DANRE13191	TCONS_00023551.p1
OG0000006	DANRE11213, DANRE11212, DANRE11601	TCONS_00003496.p1
OG0000006	DANRE30064, DANRE15483	TCONS_00012810.p1
OG0000006	DANRE30060	TCONS_00013984.p1
OG0000006	DANRE19266, DANRE19265, DANRE34833, DANRE34834	TCONS_00027932.p1
OG0000006	DANRE05395	TCONS_00045950.p1, TCONS_00031211.p1, TCONS_00031188.p1, TCONS_00031189.p1, TCONS_00031212.p1
OG0000006	DANRE20981, DANRE28318, DANRE19321	TCONS_00028953.p1
OG0000006	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580	TCONS_00030792.p1
OG0000006	DANRE11156, DANRE11155	TCONS_00011489.p1
OG0000006	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329	TCONS_00011491.p1
OG0000006	DANRE04654, DANRE04655	TCONS_00011052.p1
OG0000007	DANRE26275, DANRE17982	TCONS_00008966.p1
OG0000007	DANRE38320, DANRE26009, DANRE40798, DANRE40799	TCONS_00029574.p1
OG0000007	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908	TCONS_00009611.p1
OG0000007	DANRE40583, DANRE36378, DANRE29354, DANRE34325, DANRE40143	TCONS_00052518.p1
OG0000007	DANRE16014, DANRE16015, DANRE40142	TCONS_00052512.p1
OG0000007	DANRE07035, DANRE20085, DANRE04871, DANRE04210	TCONS_00026068.p1
OG0000007	DANRE23214, DANRE28394, DANRE07751, DANRE07750	TCONS_00051149.p1
OG0000007	DANRE03447	TCONS_00007744.p1
OG0000007	DANRE26278, DANRE26279, DANRE17980, DANRE17979	TCONS_00008968.p1
OG0000007	DANRE26277, DANRE17981, DANRE12992, DANRE12991	TCONS_00008967.p1
OG0000007	DANRE21702	TCONS_00024115.p1
OG0000007	DANRE08320, DANRE33659	TCONS_00055417.p1
OG0000007	DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908	TCONS_00011336.p1
OG0000007	DANRE30028, DANRE03038, DANRE28801	TCONS_00014249.p1
OG0000007	DANRE30495, DANRE03657, DANRE03658	TCONS_00012754.p1
OG0000007	DANRE02453, DANRE09326, DANRE09325	TCONS_00051990.p1, TCONS_00051989.p1
OG0000007	DANRE11519, DANRE13255, DANRE02905, DANRE04393	TCONS_00009689.p1
OG0000008	DANRE27059, DANRE36385, DANRE36384, DANRE36386, DANRE36383	TCONS_00054315.p1
OG0000008	DANRE17182, DANRE17185, DANRE17179, DANRE17183, DANRE17180, DANRE17181, DANRE17184, DANRE17186, DANRE17168, DANRE17176, DANRE17177, DANRE17187, DANRE17191, DANRE17174, DANRE17196, DANRE17190, DANRE17175, DANRE17194, DANRE17193, DANRE17195, DANRE17189, DANRE17188	TCONS_00054316.p1
OG0000010	DANRE28016, DANRE28015, DANRE28014, DANRE30968	TCONS_00031213.p1, TCONS_00031190.p1
OG0000010	DANRE39463, DANRE39462	TCONS_00017962.p1, TCONS_00017965.p1, TCONS_00017966.p1, TCONS_00017964.p1
OG0000010	DANRE21309, DANRE21308	TCONS_00018080.p1
OG0000010	DANRE34456, DANRE07824, DANRE29658, DANRE03180, DANRE03179, DANRE29163, DANRE29161, DANRE29162, DANRE03165, DANRE25582, DANRE36540, DANRE36542, DANRE36541	TCONS_00017959.p1, TCONS_00017993.p1, TCONS_00018277.p1
OG0000011	DANRE22618, DANRE32639, DANRE19908, DANRE03442	TCONS_00056711.p1, TCONS_00034080.p1
OG0000011	DANRE34035, DANRE34036	TCONS_00041434.p1, TCONS_00057000.p1
OG0000012	DANRE38177, DANRE38176	TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1
OG0000012	DANRE12655, DANRE12656, DANRE12659	TCONS_00041660.p1, TCONS_00041661.p1
OG0000013	DANRE02564, DANRE02565, DANRE02567, DANRE02566, DANRE02563, DANRE02568, DANRE41664, DANRE41663, DANRE41661, DANRE41662, DANRE41659, DANRE41658, DANRE41657, DANRE35359, DANRE35361, DANRE35360, DANRE35367, DANRE35365, DANRE35366, DANRE35364, DANRE33461, DANRE33468, DANRE33462, DANRE33466, DANRE33467, DANRE33465, DANRE33464, DANRE33463, DANRE24713, DANRE39935, DANRE39936, DANRE00714, DANRE37989, DANRE12210, DANRE15499, DANRE15493, DANRE15492, DANRE15491, DANRE15498, DANRE15497, DANRE15495, DANRE15494, DANRE25903, DANRE25904, DANRE25905, DANRE13233, DANRE13234, DANRE13231, DANRE13232, DANRE13235, DANRE00838	TCONS_00023863.p1
OG0000014	DANRE40509, DANRE36844, DANRE43146, DANRE22544, DANRE03629, DANRE29858, DANRE04027, DANRE04029, DANRE04028, DANRE30100, DANRE03816	TCONS_00011557.p1, TCONS_00011560.p1, TCONS_00011559.p1, TCONS_00010527.p1, TCONS_00011555.p1
OG0000014	DANRE40391	TCONS_00011740.p1, TCONS_00011745.p1, TCONS_00011746.p1, TCONS_00011744.p1, TCONS_00011747.p1, TCONS_00049090.p1, TCONS_00049091.p1, TCONS_00049087.p1, TCONS_00049133.p1, TCONS_00049134.p1, TCONS_00029612.p1, TCONS_00047816.p1
OG0000014	DANRE11197, DANRE03296	TCONS_00050449.p1, TCONS_00050450.p1, TCONS_00050447.p1, TCONS_00050443.p1, TCONS_00050441.p1, TCONS_00050444.p1, TCONS_00050448.p1, TCONS_00042641.p1, TCONS_00043962.p1, TCONS_00043963.p1, TCONS_00043964.p1, TCONS_00042645.p1, TCONS_00010921.p1, TCONS_00042643.p1
OG0000014	DANRE17251, DANRE43403	TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1
OG0000015	DANRE15829, DANRE07077	TCONS_00008348.p1
OG0000015	DANRE07037, DANRE07036, DANRE03906, DANRE05961, DANRE41277, DANRE41276, DANRE06610, DANRE36519, DANRE36518, DANRE36520, DANRE20233, DANRE20234, DANRE04836, DANRE04835, DANRE06611, DANRE20443	TCONS_00043861.p1
OG0000015	DANRE20436, DANRE20437, DANRE20438, DANRE04834, DANRE04833, DANRE36515, DANRE06150, DANRE04832, DANRE04831, DANRE20439, DANRE20441, DANRE20440, DANRE20520, DANRE36517, DANRE36516, DANRE06608, DANRE06609, DANRE06176, DANRE20442	TCONS_00042561.p1, TCONS_00043863.p1
OG0000015	DANRE42903, DANRE42902, DANRE07145, DANRE07146, DANRE07144, DANRE33766, DANRE16271, DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692	TCONS_00017456.p1, TCONS_00018530.p1, TCONS_00017014.p1, TCONS_00018220.p1, TCONS_00042403.p1, TCONS_00047528.p1, TCONS_00048847.p1, TCONS_00017787.p1, TCONS_00042857.p1, TCONS_00017072.p1, TCONS_00018222.p1, TCONS_00055081.p1, TCONS_00043497.p1, TCONS_00029340.p1, TCONS_00028215.p1, TCONS_00028475.p1, TCONS_00029530.p1, TCONS_00017844.p1, TCONS_00042572.p1, TCONS_00008338.p1, TCONS_00055260.p1, TCONS_00055261.p1, TCONS_00008346.p1, TCONS_00017849.p1, TCONS_00017852.p1
OG0000016	DANRE38616, DANRE06628, DANRE06627, DANRE13366	TCONS_00021465.p1, TCONS_00021468.p1, TCONS_00022584.p1, TCONS_00021259.p1, TCONS_00021263.p1, TCONS_00021262.p1, TCONS_00021257.p1, TCONS_00021260.p1, TCONS_00021265.p1, TCONS_00021132.p1, TCONS_00022476.p1, TCONS_00021082.p1
OG0000016	DANRE35611	TCONS_00021462.p1, TCONS_00015926.p1, TCONS_00022185.p1, TCONS_00048322.p1, TCONS_00049537.p1, TCONS_00047912.p1
OG0000016	DANRE02012	TCONS_00003602.p1
OG0000016	DANRE13447	TCONS_00048341.p1
OG0000016	DANRE31212, DANRE31213, DANRE31211, DANRE25754, DANRE13449, DANRE13448, DANRE25751, DANRE25753	TCONS_00048016.p1, TCONS_00006587.p1, TCONS_00006585.p1, TCONS_00006586.p1, TCONS_00025201.p1, TCONS_00044922.p1, TCONS_00049648.p1, TCONS_00049647.p1, TCONS_00047522.p1, TCONS_00047523.p1, TCONS_00020558.p1, TCONS_00020423.p1, TCONS_00020419.p1, TCONS_00020810.p1, TCONS_00020323.p1, TCONS_00020321.p1, TCONS_00047919.p1, TCONS_00047915.p1, TCONS_00047927.p1, TCONS_00047930.p1, TCONS_00047932.p1, TCONS_00047911.p1, TCONS_00047917.p1, TCONS_00047907.p1, TCONS_00049536.p1, TCONS_00049538.p1, TCONS_00049540.p1, TCONS_00049543.p1, TCONS_00049542.p1, TCONS_00048321.p1, TCONS_00048323.p1, TCONS_00048325.p1, TCONS_00048328.p1
OG0000018	DANRE24545, DANRE35342, DANRE25794, DANRE36083, DANRE25761, DANRE28032, DANRE14196, DANRE38851, DANRE22527, DANRE26621, DANRE11765, DANRE36195, DANRE03525, DANRE11263, DANRE14820, DANRE41490, DANRE37176, DANRE08199, DANRE24881, DANRE08547, DANRE40578, DANRE10138	TCONS_00053509.p1
OG0000018	DANRE04209, DANRE28234, DANRE04603, DANRE29058, DANRE05534, DANRE17601, DANRE09239, DANRE24202	TCONS_00052465.p2
OG0000018	DANRE31993, DANRE10860, DANRE34666, DANRE28525, DANRE06532, DANRE42745, DANRE25935, DANRE41823, DANRE28532, DANRE32198, DANRE23599, DANRE04161, DANRE11286, DANRE13094	TCONS_00002126.p1, TCONS_00045766.p1, TCONS_00050663.p1, TCONS_00014702.p2, TCONS_00054542.p1, TCONS_00015986.p1, TCONS_00002662.p1, TCONS_00016420.p1, TCONS_00034742.p1, TCONS_00025800.p1, TCONS_00020519.p1, TCONS_00031825.p1
OG0000018	DANRE13954, DANRE13946	TCONS_00023315.p1, TCONS_00041625.p1, TCONS_00044910.p1, TCONS_00038805.p1, TCONS_00030540.p1, TCONS_00010862.p1, TCONS_00033771.p1, TCONS_00004553.p1, TCONS_00008715.p1, TCONS_00016618.p3, TCONS_00049850.p1, TCONS_00002610.p1, TCONS_00055180.p1, TCONS_00026726.p1, TCONS_00024721.p1, TCONS_00024488.p1, TCONS_00007886.p1, TCONS_00034740.p1, TCONS_00008316.p1, TCONS_00039716.p1, TCONS_00037698.p1, TCONS_00033891.p1, TCONS_00031409.p1, TCONS_00051415.p1, TCONS_00030438.p1, TCONS_00045433.p1, TCONS_00018885.p1, TCONS_00030533.p1
OG0000019	DANRE29946, DANRE21114, DANRE41681	TCONS_00042378.p1
OG0000019	DANRE39715, DANRE24632, DANRE24631, DANRE21113, DANRE21112, DANRE29948, DANRE29945, DANRE29947, DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869	TCONS_00020725.p1, TCONS_00007955.p1, TCONS_00020293.p1, TCONS_00020282.p1
OG0000020	DANRE10827, DANRE10826, DANRE10743	TCONS_00055662.p1
OG0000020	DANRE10670	TCONS_00014941.p1
OG0000020	DANRE40536	TCONS_00047850.p1
OG0000020	DANRE42755	TCONS_00045845.p1
OG0000020	DANRE24424, DANRE24423, DANRE27995, DANRE27624, DANRE27625	TCONS_00028429.p1, TCONS_00029461.p1, TCONS_00053209.p1, TCONS_00022182.p1
OG0000020	DANRE30414	TCONS_00019497.p1, TCONS_00020535.p1
OG0000020	DANRE27431, DANRE27432, DANRE27433	TCONS_00016378.p1
OG0000020	DANRE22958, DANRE22959	TCONS_00051401.p1
OG0000020	DANRE06663, DANRE06664	TCONS_00031077.p1
OG0000020	DANRE18984	TCONS_00042754.p1
OG0000020	DANRE27379	TCONS_00019367.p1
OG0000021	DANRE39795, DANRE39796, DANRE22480	TCONS_00048454.p1
OG0000021	DANRE38577, DANRE08977, DANRE08978, DANRE08976	TCONS_00007765.p1
OG0000021	DANRE08348, DANRE33679	TCONS_00006555.p1
OG0000021	DANRE33712, DANRE33711, DANRE33342, DANRE33343	TCONS_00005068.p1, TCONS_00005066.p1
OG0000021	DANRE37717, DANRE02277	TCONS_00016243.p1
OG0000021	DANRE27401, DANRE27403, DANRE27400	TCONS_00042218.p1, TCONS_00044055.p1, TCONS_00043288.p1, TCONS_00043292.p1, TCONS_00042744.p1, TCONS_00020733.p1, TCONS_00020708.p1, TCONS_00042745.p1, TCONS_00043294.p1, TCONS_00043289.p1, TCONS_00043283.p1, TCONS_00041935.p1, TCONS_00044068.p1
OG0000022	DANRE31743, DANRE31997, DANRE32917, DANRE32003, DANRE31707, DANRE32499, DANRE32498, DANRE32011, DANRE31846, DANRE42969, DANRE32115, DANRE32114, DANRE32802, DANRE32801, DANRE32792, DANRE31979, DANRE32305, DANRE42967, DANRE32310	TCONS_00034326.p1, TCONS_00034361.p1
OG0000022	DANRE33197, DANRE31791, DANRE32048, DANRE32533, DANRE31651, DANRE31652, DANRE31653, DANRE30546, DANRE30549, DANRE30545, DANRE30555, DANRE30551, DANRE30554, DANRE30547, DANRE30548, DANRE31681, DANRE32713, DANRE30556, DANRE30560, DANRE30558, DANRE28692, DANRE28687, DANRE28686, DANRE31868, DANRE31725, DANRE31783, DANRE32575, DANRE28689, DANRE28688, DANRE30553, DANRE30552, DANRE28693, DANRE28683, DANRE28685, DANRE30516, DANRE30518, DANRE30517, DANRE30512	TCONS_00050273.p1
OG0000023	DANRE19492, DANRE40604, DANRE27752, DANRE38057, DANRE39283, DANRE25540, DANRE36925, DANRE26382, DANRE26381, DANRE29650, DANRE29649, DANRE03181, DANRE19476, DANRE19477	TCONS_00004930.p1
OG0000026	DANRE25537, DANRE36265	TCONS_00003307.p1, TCONS_00043299.p1
OG0000026	DANRE42258, DANRE07529	TCONS_00017322.p1
OG0000027	DANRE03471, DANRE22990, DANRE22989, DANRE41021, DANRE41022, DANRE41023, DANRE41020, DANRE41018, DANRE41275, DANRE41019, DANRE41017, DANRE41008, DANRE41009	TCONS_00037910.p1, TCONS_00000070.p1, TCONS_00041506.p1, TCONS_00037953.p1, TCONS_00037911.p1, TCONS_00037954.p1, TCONS_00037955.p1, TCONS_00041505.p1, TCONS_00037956.p1, TCONS_00051662.p1, TCONS_00051534.p1, TCONS_00051531.p1, TCONS_00051545.p1, TCONS_00051542.p1, TCONS_00051540.p1, TCONS_00050429.p1, TCONS_00051539.p1, TCONS_00051538.p1, TCONS_00051546.p1, TCONS_00051544.p1, TCONS_00051543.p1, TCONS_00051530.p1, TCONS_00051529.p1, TCONS_00051660.p1, TCONS_00051659.p1, TCONS_00051657.p1, TCONS_00051550.p1, TCONS_00018215.p1, TCONS_00050742.p1, TCONS_00050164.p1, TCONS_00050163.p1, TCONS_00050166.p1, TCONS_00050169.p1, TCONS_00050160.p1, TCONS_00050162.p1, TCONS_00050173.p1, TCONS_00050168.p1
OG0000027	DANRE02909	TCONS_00021458.p1, TCONS_00021461.p1, TCONS_00022575.p1
OG0000028	DANRE07178	TCONS_00008790.p1
OG0000028	DANRE07176, DANRE07177, DANRE15857, DANRE15856, DANRE09600, DANRE09601, DANRE13468, DANRE13469, DANRE13470, DANRE15855, DANRE10772, DANRE17755, DANRE17756, DANRE02083, DANRE07180, DANRE07179, DANRE15853, DANRE35763	TCONS_00026901.p1, TCONS_00027219.p1, TCONS_00001048.p1, TCONS_00005463.p1, TCONS_00006513.p1
OG0000028	DANRE39088, DANRE39089, DANRE24974, DANRE15851, DANRE15850, DANRE13964	TCONS_00029777.p1, TCONS_00029776.p1
OG0000029	DANRE22154	TCONS_00004006.p1
OG0000029	DANRE41268, DANRE41269, DANRE26531, DANRE01944	TCONS_00020525.p1
OG0000029	DANRE42782, DANRE35736, DANRE21814, DANRE34060, DANRE21950, DANRE21945, DANRE43307, DANRE21946, DANRE21947, DANRE21900, DANRE21896, DANRE39154	TCONS_00029399.p1, TCONS_00023706.p1, TCONS_00029394.p1, TCONS_00023709.p1, TCONS_00020104.p1
OG0000030	DANRE16388, DANRE16389	TCONS_00022258.p1, TCONS_00022256.p1, TCONS_00021153.p1, TCONS_00022346.p1, TCONS_00021156.p1, TCONS_00021155.p1, TCONS_00022226.p1, TCONS_00019519.p1, TCONS_00020559.p1, TCONS_00019429.p1, TCONS_00019523.p1, TCONS_00020417.p1, TCONS_00020557.p1
OG0000030	DANRE14546, DANRE09884, DANRE09883, DANRE34902	TCONS_00019673.p1
OG0000030	DANRE08391	TCONS_00021382.p1
OG0000030	DANRE03978	TCONS_00042392.p1
OG0000031	DANRE20694	TCONS_00047108.p1, TCONS_00005437.p1
OG0000031	DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505	TCONS_00003900.p1
OG0000031	DANRE13622, DANRE13623	TCONS_00002937.p1
OG0000031	DANRE26516	TCONS_00028162.p1
OG0000031	DANRE11621	TCONS_00046710.p1, TCONS_00045709.p1
OG0000031	DANRE20276, DANRE16190, DANRE42316	TCONS_00041599.p1
OG0000031	DANRE27399, DANRE21472, DANRE14252	TCONS_00054588.p1
OG0000031	DANRE16189, DANRE42315, DANRE15746	TCONS_00042947.p1
OG0000031	DANRE42215, DANRE15380, DANRE42216, DANRE28106, DANRE23847, DANRE23848	TCONS_00003964.p1
OG0000032	DANRE24196, DANRE27892, DANRE27891	TCONS_00018159.p1
OG0000032	DANRE30726, DANRE30725, DANRE33206, DANRE33207, DANRE33205, DANRE33204, DANRE33199, DANRE32929, DANRE32926, DANRE32927, DANRE33203, DANRE33202, DANRE32928, DANRE33200, DANRE33201, DANRE36261, DANRE20344, DANRE20343, DANRE12884, DANRE39037	TCONS_00016893.p1, TCONS_00044343.p1, TCONS_00035361.p1, TCONS_00017411.p1, TCONS_00050123.p1, TCONS_00016786.p1, TCONS_00017609.p1, TCONS_00050122.p1, TCONS_00017607.p1, TCONS_00017604.p1, TCONS_00016860.p1, TCONS_00016861.p1, TCONS_00016865.p1, TCONS_00017410.p1, TCONS_00012833.p1, TCONS_00012832.p1
OG0000032	DANRE22486, DANRE22485, DANRE22487, DANRE22488	TCONS_00045890.p1, TCONS_00018770.p1
OG0000034	DANRE28945, DANRE28944, DANRE35039, DANRE35040, DANRE39926, DANRE00143, DANRE39455, DANRE35041	TCONS_00005924.p1
OG0000034	DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947	TCONS_00049881.p1, TCONS_00037015.p1
OG0000034	DANRE14484, DANRE09880, DANRE38036	TCONS_00029638.p1
OG0000034	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613	TCONS_00037982.p1
OG0000034	DANRE04100	TCONS_00030311.p1, TCONS_00029930.p1
OG0000034	DANRE25182	TCONS_00037412.p1
OG0000035	DANRE23313	TCONS_00003567.p1
OG0000035	DANRE40563, DANRE38347, DANRE12928, DANRE12929, DANRE27654	TCONS_00041944.p1, TCONS_00028232.p1
OG0000035	DANRE31052, DANRE25078, DANRE12998, DANRE12997	TCONS_00023673.p1
OG0000035	DANRE29644, DANRE29645, DANRE13480, DANRE13479, DANRE12467, DANRE12466, DANRE30988	TCONS_00024074.p1
OG0000035	DANRE36852, DANRE22281, DANRE12942, DANRE38472, DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758, DANRE30761	TCONS_00023006.p1, TCONS_00025465.p1
OG0000035	DANRE38222, DANRE38223, DANRE12948	TCONS_00025514.p1
OG0000036	DANRE25335, DANRE27775, DANRE38068, DANRE26145, DANRE38623	TCONS_00008906.p1
OG0000036	DANRE07186, DANRE30853	TCONS_00004743.p1, TCONS_00047870.p1, TCONS_00047869.p1, TCONS_00052470.p1, TCONS_00042048.p1, TCONS_00042050.p1, TCONS_00042049.p1, TCONS_00043406.p1
OG0000036	DANRE11991, DANRE38630	TCONS_00007681.p1
OG0000037	DANRE11959, DANRE17549, DANRE11958, DANRE11635, DANRE11634, DANRE17282, DANRE17582, DANRE10717, DANRE10716, DANRE06286, DANRE06287	TCONS_00011439.p1, TCONS_00011440.p1
OG0000037	DANRE03950, DANRE03951, DANRE05592, DANRE05591, DANRE37805, DANRE37804, DANRE13383	TCONS_00011218.p1
OG0000037	DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607	TCONS_00017535.p1
OG0000037	DANRE11315	TCONS_00016014.p1, TCONS_00024568.p1, TCONS_00027658.p1, TCONS_00004627.p1, TCONS_00009673.p1
OG0000038	DANRE01550, DANRE01549	TCONS_00048433.p1
OG0000038	DANRE23401	TCONS_00028397.p1, TCONS_00000414.p1, TCONS_00001540.p1, TCONS_00000410.p1, TCONS_00028395.p1, TCONS_00001544.p1
OG0000039	DANRE18250, DANRE18249, DANRE18251, DANRE18253, DANRE18252	TCONS_00052764.p1, TCONS_00012328.p1
OG0000039	DANRE38069, DANRE38070	TCONS_00053909.p1, TCONS_00044047.p1, TCONS_00008253.p1, TCONS_00044435.p1, TCONS_00042739.p1, TCONS_00042734.p1
OG0000039	DANRE09344	TCONS_00014910.p1
