Orthogroup	DANRE	SCHMD
OG0000063	DANRE20941, DANRE20940, DANRE20939, DANRE43110, DANRE15766, DANRE15767, DANRE15768, DANRE15769, DANRE26798, DANRE26796, DANRE26797, DANRE35514, DANRE35513	SCHMD04855
OG0000063	DANRE30783, DANRE30785, DANRE30782, DANRE01805, DANRE01806, DANRE36784, DANRE36785	SCHMD09653
OG0000063	DANRE15770	SCHMD24452
OG0000065	DANRE33929, DANRE19442, DANRE11091, DANRE13549, DANRE13808, DANRE13807, DANRE30234, DANRE30232, DANRE30233, DANRE39633, DANRE39634, DANRE39641, DANRE39631, DANRE39632, DANRE39635, DANRE39637, DANRE39636, DANRE39638, DANRE39908	SCHMD25936, SCHMD21821, SCHMD20931, SCHMD12953
OG0000066	DANRE40339, DANRE40338, DANRE40337, DANRE40336	SCHMD06030
OG0000068	DANRE22551	SCHMD05762, SCHMD05760, SCHMD05763
OG0000069	DANRE26091	SCHMD01685, SCHMD16207, SCHMD06596, SCHMD09060, SCHMD03554, SCHMD11437
OG0000069	DANRE24751, DANRE34404, DANRE30153, DANRE08957, DANRE08956	SCHMD05798, SCHMD12262
OG0000070	DANRE18387, DANRE02540	SCHMD06745
OG0000072	DANRE06708, DANRE15716, DANRE15720, DANRE15719, DANRE15717, DANRE15718, DANRE06793, DANRE06794, DANRE06795, DANRE06796, DANRE08770, DANRE08769, DANRE00814, DANRE00815	SCHMD10090
OG0000072	DANRE06126	SCHMD12761, SCHMD09137, SCHMD23032, SCHMD13441
OG0000073	DANRE10520	SCHMD28862, SCHMD24546, SCHMD24547, SCHMD27237, SCHMD14430, SCHMD15760, SCHMD20122, SCHMD26801, SCHMD20121, SCHMD12548, SCHMD21957, SCHMD02329, SCHMD02330, SCHMD01699, SCHMD20600, SCHMD05889, SCHMD20601, SCHMD01751, SCHMD01750, SCHMD01753, SCHMD08749, SCHMD05891, SCHMD13211, SCHMD02332, SCHMD02336, SCHMD11064, SCHMD14641, SCHMD02335, SCHMD01698, SCHMD23534, SCHMD15686, SCHMD10005, SCHMD20123
OG0000075	DANRE01002, DANRE34361	SCHMD10965
OG0000075	DANRE31020	SCHMD28477
OG0000075	DANRE36834, DANRE40515, DANRE12778	SCHMD03704
OG0000075	DANRE30937, DANRE41300	SCHMD21424
OG0000077	DANRE16390, DANRE20043, DANRE07192, DANRE00591, DANRE00590, DANRE39691	SCHMD17571
OG0000077	DANRE01477, DANRE40866, DANRE22036, DANRE06030, DANRE20156, DANRE16358	SCHMD23576
OG0000077	DANRE11696, DANRE11492, DANRE16170, DANRE41853, DANRE41854, DANRE17386, DANRE40644, DANRE19656, DANRE19657	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499
OG0000077	DANRE25103	SCHMD20714
OG0000078	DANRE39894, DANRE39895, DANRE39896, DANRE26111, DANRE26112, DANRE36848, DANRE30865, DANRE30864	SCHMD04824, SCHMD04525
OG0000078	DANRE36849	SCHMD04822, SCHMD04523
OG0000079	DANRE41428, DANRE41431, DANRE41432, DANRE41429, DANRE41430, DANRE23441, DANRE01701, DANRE07129, DANRE07131, DANRE06662	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114
OG0000079	DANRE00163, DANRE00164, DANRE00165, DANRE19082, DANRE19083, DANRE06228, DANRE06227, DANRE06226, DANRE06225, DANRE06229	SCHMD16559, SCHMD24052, SCHMD18199
OG0000079	DANRE01827, DANRE01825, DANRE01824, DANRE01826	SCHMD06941, SCHMD04736
OG0000082	DANRE33308	SCHMD03263, SCHMD10119
OG0000082	DANRE00969, DANRE00972, DANRE00973, DANRE08030, DANRE08710	SCHMD29242, SCHMD28445, SCHMD27822, SCHMD27641, SCHMD02373, SCHMD16460
OG0000082	DANRE29358, DANRE29356, DANRE29359	SCHMD24007, SCHMD15475, SCHMD16819
OG0000082	DANRE00970	SCHMD08895, SCHMD09092, SCHMD13034, SCHMD06892, SCHMD23210
OG0000084	DANRE07814, DANRE11583, DANRE40782, DANRE01412, DANRE01413, DANRE15534, DANRE15533, DANRE15962, DANRE15961, DANRE06459	SCHMD19821, SCHMD23941, SCHMD23870
OG0000085	DANRE34010, DANRE34949, DANRE08303, DANRE08302, DANRE35408	SCHMD12836
OG0000085	DANRE10316	SCHMD12466
OG0000085	DANRE33578, DANRE33579	SCHMD18327
OG0000087	DANRE37955	SCHMD09405, SCHMD09406
OG0000087	DANRE15847, DANRE15848	SCHMD05855
OG0000087	DANRE42135	SCHMD03393, SCHMD23919
OG0000087	DANRE42134	SCHMD16933, SCHMD25288, SCHMD17003, SCHMD07336
OG0000093	DANRE18559, DANRE12452, DANRE31410, DANRE31411, DANRE36972	SCHMD01278, SCHMD01279, SCHMD01277, SCHMD05526, SCHMD06457, SCHMD10241, SCHMD12867, SCHMD09341, SCHMD22057, SCHMD07249, SCHMD07880, SCHMD11553, SCHMD07387, SCHMD04028
OG0000094	DANRE40961	SCHMD23746, SCHMD24402, SCHMD07078, SCHMD24401, SCHMD13656, SCHMD18841, SCHMD20088, SCHMD18376, SCHMD14753
OG0000094	DANRE26291, DANRE26290, DANRE39959, DANRE39958, DANRE34093, DANRE34091, DANRE34092, DANRE34090, DANRE34094, DANRE34095, DANRE19459, DANRE19458, DANRE39957, DANRE29718, DANRE29719, DANRE29717, DANRE02593, DANRE02592, DANRE02591	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097
OG0000096	DANRE40526, DANRE02165, DANRE31394, DANRE31393	SCHMD07753
OG0000096	DANRE02166	SCHMD18607
OG0000096	DANRE38250, DANRE38251, DANRE29625, DANRE29623, DANRE42235, DANRE21352, DANRE21353, DANRE21354	SCHMD10033
OG0000097	DANRE07843, DANRE07842, DANRE07848, DANRE07847, DANRE07846, DANRE07845	SCHMD22037, SCHMD20326
OG0000098	DANRE43096, DANRE26020, DANRE38317, DANRE38316, DANRE38318, DANRE26021, DANRE38315, DANRE33952, DANRE33953	SCHMD29644, SCHMD22119
OG0000099	DANRE19933	SCHMD11735, SCHMD29475, SCHMD24883, SCHMD19972
OG0000099	DANRE09258, DANRE09257, DANRE09256, DANRE09255, DANRE09254, DANRE13816, DANRE08158, DANRE13815, DANRE08996, DANRE09030, DANRE08830, DANRE08829, DANRE00831, DANRE00829	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543
OG0000103	DANRE24869, DANRE20613, DANRE20612, DANRE20614, DANRE36648, DANRE36647, DANRE34239, DANRE34238, DANRE34235, DANRE34231, DANRE34230, DANRE34229, DANRE34233, DANRE18924, DANRE24870, DANRE24865, DANRE24863, DANRE24862, DANRE24866, DANRE24867, DANRE13569, DANRE27032, DANRE27033, DANRE02398, DANRE02397, DANRE22772	SCHMD29081, SCHMD19673
OG0000103	DANRE09436, DANRE09435, DANRE35623, DANRE35622, DANRE29899, DANRE29898, DANRE35659, DANRE28633, DANRE28634, DANRE35632, DANRE35633	SCHMD08147
OG0000106	DANRE38871, DANRE25336, DANRE25339, DANRE25338, DANRE25337, DANRE27190, DANRE24604, DANRE26909, DANRE20129, DANRE07885, DANRE33300, DANRE03190, DANRE03191, DANRE00217, DANRE00219, DANRE00218, DANRE09198, DANRE09199, DANRE25823, DANRE25822	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496
OG0000107	DANRE37414	SCHMD04920, SCHMD23362, SCHMD21301, SCHMD11381, SCHMD05934
OG0000107	DANRE26097, DANRE37435, DANRE26164	SCHMD11257
OG0000110	DANRE11747, DANRE11748, DANRE11749	SCHMD06031, SCHMD29673, SCHMD14183, SCHMD14809, SCHMD14182, SCHMD18955, SCHMD13898, SCHMD27056, SCHMD11887
OG0000113	DANRE34599, DANRE36419, DANRE36418, DANRE36417, DANRE36416, DANRE36415, DANRE31222, DANRE31221	SCHMD06629, SCHMD02664
OG0000114	DANRE09308, DANRE09309, DANRE09310	SCHMD19276
OG0000114	DANRE05297, DANRE16133, DANRE16132, DANRE00562, DANRE00564, DANRE00563, DANRE02256, DANRE02257, DANRE36669, DANRE33480, DANRE33482, DANRE33481, DANRE22942	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739
OG0000116	DANRE41907, DANRE41905	SCHMD19106
OG0000117	DANRE35421	SCHMD07660, SCHMD02896, SCHMD11493
OG0000119	DANRE16116, DANRE16117, DANRE41481, DANRE41482, DANRE41480, DANRE07182, DANRE07181, DANRE29831, DANRE03249, DANRE41697, DANRE23346, DANRE23347, DANRE09855, DANRE09856, DANRE09854, DANRE29168, DANRE29167, DANRE42690, DANRE42691, DANRE05898	SCHMD02911
OG0000120	DANRE25821, DANRE00097	SCHMD07084
OG0000121	DANRE33773, DANRE33772, DANRE41413	SCHMD07020
OG0000122	DANRE34745	SCHMD00543
OG0000122	DANRE10319, DANRE10318, DANRE01945, DANRE01946, DANRE42812, DANRE36612, DANRE42813	SCHMD16641, SCHMD09849
OG0000124	DANRE20113, DANRE34367, DANRE06378, DANRE08738, DANRE43119, DANRE17025, DANRE17008, DANRE17026, DANRE17009, DANRE29866, DANRE03127, DANRE03379, DANRE30366, DANRE29458, DANRE29457	SCHMD10270, SCHMD10271
OG0000124	DANRE09986, DANRE02785, DANRE02786, DANRE22696	SCHMD08774
OG0000125	DANRE14257	SCHMD03656
OG0000125	DANRE38533	SCHMD20382
OG0000126	DANRE04839, DANRE04840, DANRE04841, DANRE06613, DANRE06612, DANRE36521	SCHMD00122, SCHMD06495, SCHMD00127
OG0000126	DANRE22185, DANRE22186	SCHMD24144
OG0000126	DANRE09488	SCHMD06494
OG0000126	DANRE24264, DANRE24265, DANRE24266, DANRE07231, DANRE07232	SCHMD01813, SCHMD04253
OG0000127	DANRE36236, DANRE26932, DANRE35612, DANRE42858	SCHMD03781
OG0000128	DANRE33979, DANRE08860	SCHMD25789, SCHMD19594
OG0000128	DANRE26420, DANRE24430, DANRE24431	SCHMD29825
OG0000129	DANRE21944, DANRE21943, DANRE21942, DANRE21941, DANRE21936, DANRE21937, DANRE05805, DANRE05803, DANRE05804, DANRE21940, DANRE21939, DANRE21938, DANRE21934, DANRE21935, DANRE05801, DANRE05802, DANRE19999, DANRE37478, DANRE37477, DANRE37476, DANRE16830, DANRE17949, DANRE17948, DANRE11891, DANRE11892, DANRE11890	SCHMD20816, SCHMD05405
OG0000129	DANRE19744, DANRE12249, DANRE12250, DANRE37926, DANRE37925, DANRE37924	SCHMD03224
OG0000129	DANRE13156, DANRE13155, DANRE13154	SCHMD17972
OG0000129	DANRE28021	SCHMD27382
OG0000130	DANRE25590, DANRE25589, DANRE31159, DANRE02422, DANRE02421, DANRE36688, DANRE36687, DANRE36689, DANRE36691, DANRE36690, DANRE02251, DANRE43436, DANRE41295, DANRE05781, DANRE26414, DANRE26415, DANRE24435, DANRE24436, DANRE35913, DANRE41531, DANRE41530, DANRE00871, DANRE00870, DANRE00869, DANRE06895, DANRE33409, DANRE33410, DANRE00064, DANRE27390, DANRE03794, DANRE05069	SCHMD17609
OG0000132	DANRE40562, DANRE34020, DANRE26062, DANRE26082, DANRE26074, DANRE26055, DANRE37452, DANRE37445, DANRE37403, DANRE37459, DANRE37460, DANRE37429, DANRE37412, DANRE26100, DANRE26165, DANRE26175, DANRE26158, DANRE26093, DANRE37468, DANRE39504, DANRE39494	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374
OG0000135	DANRE37207	SCHMD24143, SCHMD24147
OG0000137	DANRE06165	SCHMD04306
OG0000137	DANRE17727, DANRE10757	SCHMD09558
OG0000139	DANRE19920, DANRE19919	SCHMD18769, SCHMD20210, SCHMD18241, SCHMD26472, SCHMD14124
OG0000147	DANRE26942, DANRE26943, DANRE36250, DANRE36251, DANRE23193, DANRE23196, DANRE23195, DANRE23194	SCHMD11019
OG0000147	DANRE10593, DANRE10594, DANRE18815, DANRE11115	SCHMD11968
OG0000148	DANRE22584, DANRE22585, DANRE36775, DANRE36774, DANRE13292, DANRE36768, DANRE22578, DANRE36772, DANRE36773, DANRE13290, DANRE13291, DANRE13293, DANRE02329, DANRE31175, DANRE31176	SCHMD08056
OG0000149	DANRE25293, DANRE25295, DANRE25294, DANRE37665, DANRE37666, DANRE12798, DANRE12797	SCHMD06205, SCHMD05440
OG0000151	DANRE14884, DANRE14886, DANRE14885, DANRE03134, DANRE29215, DANRE29216, DANRE40219, DANRE40221, DANRE40218, DANRE40220, DANRE01590, DANRE01589, DANRE35788, DANRE35787, DANRE42673	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274
OG0000151	DANRE35183, DANRE35184, DANRE10549, DANRE23760, DANRE23732, DANRE34088, DANRE34089, DANRE19456, DANRE19457	SCHMD02747, SCHMD12342
OG0000153	DANRE38193, DANRE38194, DANRE38192, DANRE08665, DANRE34612, DANRE34614, DANRE34613, DANRE34610, DANRE34615, DANRE34611	SCHMD05163, SCHMD05160, SCHMD02381
OG0000155	DANRE17586, DANRE05670	SCHMD05383, SCHMD06593, SCHMD10992
OG0000155	DANRE14414, DANRE14413, DANRE14411, DANRE14412, DANRE09080, DANRE09081, DANRE09079, DANRE04486, DANRE04485, DANRE14416, DANRE14415	SCHMD23773, SCHMD18379, SCHMD09661, SCHMD07787
OG0000155	DANRE14798, DANRE14799, DANRE14802, DANRE14800, DANRE14801, DANRE04487, DANRE04488, DANRE09083	SCHMD13125
OG0000157	DANRE34923, DANRE28272, DANRE21748, DANRE21746, DANRE21747	SCHMD03548, SCHMD06363
OG0000157	DANRE12853, DANRE12855, DANRE38298, DANRE12854	SCHMD01802
OG0000158	DANRE22512, DANRE22513, DANRE05145, DANRE05146, DANRE27251, DANRE27253, DANRE27252	SCHMD18936
OG0000158	DANRE37819, DANRE20159	SCHMD15100, SCHMD15049
OG0000159	DANRE24089, DANRE24088	SCHMD26601, SCHMD09606
OG0000159	DANRE15174, DANRE09143, DANRE35119, DANRE03349, DANRE03348	SCHMD14942
OG0000162	DANRE42795, DANRE42796	SCHMD08936, SCHMD26694
OG0000163	DANRE29252, DANRE22023, DANRE22022, DANRE29273, DANRE29274, DANRE29073, DANRE36123, DANRE36124, DANRE28765, DANRE29071, DANRE29072, DANRE29299, DANRE03607	SCHMD23090
OG0000163	DANRE29253, DANRE09545, DANRE09544, DANRE14272, DANRE03886, DANRE03884, DANRE03885, DANRE03887, DANRE23439, DANRE23438, DANRE23437, DANRE23436, DANRE23435	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554
OG0000166	DANRE39976	SCHMD08400
OG0000166	DANRE29077	SCHMD15704, SCHMD08401
OG0000167	DANRE22706, DANRE22707, DANRE40314	SCHMD16214, SCHMD15187
OG0000171	DANRE00111, DANRE00110, DANRE04752, DANRE07375	SCHMD26790, SCHMD13950
OG0000171	DANRE03983	SCHMD07241, SCHMD07240
OG0000173	DANRE35295	SCHMD20107, SCHMD19855, SCHMD02094, SCHMD02093
OG0000174	DANRE33604, DANRE04813, DANRE04814	SCHMD09838
OG0000174	DANRE23326	SCHMD22727, SCHMD14760, SCHMD22728
OG0000175	DANRE36803, DANRE24071, DANRE24070, DANRE27218, DANRE18466, DANRE26656, DANRE39199, DANRE39200	SCHMD18439, SCHMD17544
