Orthogroup	DANRE	ASTMX
OG0000006	DANRE05395	ASTMX06644
OG0000006	DANRE20981	ASTMX04941
OG0000006	DANRE28318	ASTMX20531
OG0000006	DANRE19321	ASTMX03398
OG0000006	DANRE29642, DANRE29641	ASTMX04477, ASTMX07342
OG0000006	DANRE07087, DANRE07088	ASTMX03759
OG0000006	DANRE04631, DANRE04632	ASTMX02775
OG0000006	DANRE20580	ASTMX15412
OG0000006	DANRE11156	ASTMX14827
OG0000006	DANRE34403	ASTMX12518
OG0000006	DANRE08961	ASTMX16515
OG0000006	DANRE11849, DANRE11850	ASTMX08479, ASTMX15103
OG0000006	DANRE16704	ASTMX11575
OG0000006	DANRE11329	ASTMX03265
OG0000006	DANRE04654, DANRE04655	ASTMX10604
OG0000006	DANRE18618	ASTMX08947
OG0000006	DANRE35252	ASTMX16006
OG0000007	DANRE26275	ASTMX14980
OG0000007	DANRE38320, DANRE26009	ASTMX05134
OG0000007	DANRE40798, DANRE40799	ASTMX12498
OG0000007	DANRE07019, DANRE07017, DANRE07018	ASTMX08829
OG0000007	DANRE13390	ASTMX06316
OG0000007	DANRE11787, DANRE11788	ASTMX09513
OG0000007	DANRE10909, DANRE10908	ASTMX08102
OG0000007	DANRE40583	ASTMX21418
OG0000007	DANRE36378	ASTMX05483
OG0000007	DANRE29354	ASTMX17351
OG0000007	DANRE34325	ASTMX12390
OG0000007	DANRE40143	ASTMX04000
OG0000007	DANRE16014, DANRE16015	ASTMX22657
OG0000007	DANRE07035	ASTMX22264
OG0000007	DANRE20085	ASTMX09321
OG0000007	DANRE04871	ASTMX14799
OG0000007	DANRE04210	ASTMX12582
OG0000007	DANRE28394	ASTMX21073
OG0000007	DANRE07751, DANRE07750	ASTMX16179
OG0000007	DANRE03566	ASTMX07688
OG0000007	DANRE03447	ASTMX20070
OG0000007	DANRE26278, DANRE26279	ASTMX22376
OG0000007	DANRE17980, DANRE17979	ASTMX11119
OG0000007	DANRE26277	ASTMX14979
OG0000007	DANRE17981	ASTMX11120
OG0000007	DANRE12992, DANRE12991	ASTMX02564
OG0000007	DANRE08320	ASTMX18062
OG0000007	DANRE33659	ASTMX21262
OG0000007	DANRE06830	ASTMX11815
OG0000007	DANRE11124, DANRE11125, DANRE11123	ASTMX04848
OG0000007	DANRE17691, DANRE17692	ASTMX08093
OG0000007	DANRE03760	ASTMX06558
OG0000007	DANRE05908	ASTMX19375
OG0000007	DANRE30028	ASTMX04966
OG0000007	DANRE03038, DANRE28801	ASTMX11650
OG0000007	DANRE30495	ASTMX18779
OG0000007	DANRE03657, DANRE03658	ASTMX07711
OG0000007	DANRE02453	ASTMX15846
OG0000007	DANRE09326, DANRE09325	ASTMX10097
OG0000007	DANRE11519	ASTMX10986
OG0000007	DANRE02905	ASTMX01681
OG0000007	DANRE04393	ASTMX08450
OG0000008	DANRE27059	ASTMX21956
OG0000008	DANRE36385, DANRE36384, DANRE36386, DANRE36383	ASTMX05481
OG0000008	DANRE17182, DANRE17185, DANRE17179, DANRE17183, DANRE17180, DANRE17181, DANRE17184, DANRE17186, DANRE17168, DANRE17176, DANRE17177, DANRE17187, DANRE17191, DANRE17174, DANRE17196, DANRE17190, DANRE17175, DANRE17194, DANRE17193, DANRE17195, DANRE17189, DANRE17188	ASTMX19143, ASTMX19134, ASTMX19135, ASTMX19136
OG0000008	DANRE34310	ASTMX13345, ASTMX11364
OG0000008	DANRE15160, DANRE15161, DANRE09428, DANRE27450, DANRE27451, DANRE27453, DANRE27452	ASTMX13129
OG0000008	DANRE36653	ASTMX09448
OG0000008	DANRE31436	ASTMX03057
OG0000008	DANRE41005, DANRE41006	ASTMX05709
OG0000008	DANRE06800	ASTMX11795
OG0000008	DANRE00802	ASTMX08222
OG0000008	DANRE18586	ASTMX03297, ASTMX08955
OG0000010	DANRE21116, DANRE21115	ASTMX18922
OG0000010	DANRE21124, DANRE21123, DANRE21122, DANRE21119, DANRE21117, DANRE21118, DANRE21127, DANRE21136	ASTMX18921
OG0000010	DANRE33958, DANRE33959	ASTMX10678
OG0000010	DANRE40235, DANRE40234	ASTMX08865
OG0000010	DANRE40232, DANRE40233	ASTMX08864
OG0000010	DANRE21135	ASTMX01945
OG0000010	DANRE38562	ASTMX00210
OG0000010	DANRE38564, DANRE38563	ASTMX00597, ASTMX00598
OG0000010	DANRE08709, DANRE08676, DANRE08677, DANRE08708	ASTMX19981
OG0000010	DANRE28016, DANRE28015, DANRE28014	ASTMX21265
OG0000010	DANRE21309, DANRE21308	ASTMX18619
OG0000010	DANRE34456	ASTMX12532
OG0000010	DANRE07824	ASTMX19555
OG0000010	DANRE29658	ASTMX07329
OG0000010	DANRE03165	ASTMX04471
OG0000010	DANRE25582, DANRE36540, DANRE36542, DANRE36541	ASTMX06049
OG0000010	DANRE01777	ASTMX05524
OG0000010	DANRE09716, DANRE09718, DANRE09717	ASTMX06728, ASTMX17688, ASTMX18214
OG0000010	DANRE09779, DANRE09778	ASTMX16219, ASTMX16220
OG0000010	DANRE01775, DANRE01774, DANRE01776	ASTMX05525
OG0000010	DANRE23481	ASTMX21918
OG0000011	DANRE22618, DANRE32639, DANRE19908	ASTMX17376, ASTMX20016, ASTMX17522
OG0000011	DANRE03442	ASTMX22822
OG0000012	DANRE38177, DANRE38176	ASTMX22063
OG0000012	DANRE12655, DANRE12656, DANRE12659	ASTMX06265
OG0000013	DANRE02564, DANRE02565, DANRE02567, DANRE02566, DANRE02563, DANRE02568	ASTMX14510
OG0000013	DANRE41664, DANRE41663, DANRE41661, DANRE41662, DANRE41659, DANRE41658, DANRE41657	ASTMX15685
OG0000013	DANRE35359, DANRE35361, DANRE35360, DANRE35367, DANRE35365, DANRE35366, DANRE35364	ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557
OG0000013	DANRE33461, DANRE33468, DANRE33462, DANRE33466, DANRE33467, DANRE33465, DANRE33464, DANRE33463	ASTMX19252
OG0000013	DANRE24713	ASTMX15992
OG0000013	DANRE39935, DANRE39936	ASTMX02064
OG0000013	DANRE00714, DANRE37989	ASTMX06990
OG0000013	DANRE12210	ASTMX20933
OG0000013	DANRE15499, DANRE15493, DANRE15492, DANRE15491, DANRE15498, DANRE15497, DANRE15495, DANRE15494	ASTMX21137
OG0000013	DANRE25903, DANRE25904, DANRE25905	ASTMX05203
OG0000013	DANRE00838	ASTMX03702
OG0000014	DANRE37898	ASTMX02678
OG0000014	DANRE35206	ASTMX08608
OG0000014	DANRE12526, DANRE12528, DANRE12527	ASTMX07233
OG0000014	DANRE40509	ASTMX17398
OG0000014	DANRE36844	ASTMX00995, ASTMX00994
OG0000014	DANRE43146	ASTMX13292
OG0000014	DANRE22544	ASTMX10769
OG0000014	DANRE03629	ASTMX07733
OG0000014	DANRE29858	ASTMX16405
OG0000014	DANRE04027	ASTMX12634
OG0000014	DANRE30100	ASTMX17340
OG0000014	DANRE03816	ASTMX01557
OG0000014	DANRE11299	ASTMX03213
OG0000014	DANRE03520	ASTMX07656
OG0000014	DANRE40391	ASTMX01801
OG0000014	DANRE11197	ASTMX03251
OG0000014	DANRE03296	ASTMX15832
OG0000014	DANRE17251	ASTMX12908
OG0000014	DANRE43403	ASTMX11632
OG0000014	DANRE03675, DANRE03674, DANRE43177	ASTMX01423
OG0000014	DANRE29871	ASTMX16397
OG0000015	DANRE15829	ASTMX21958
OG0000015	DANRE07077	ASTMX03764
OG0000015	DANRE03906	ASTMX01476
OG0000015	DANRE05961	ASTMX13504
OG0000015	DANRE41277, DANRE41276	ASTMX02112
OG0000015	DANRE06610	ASTMX15417, ASTMX08007
OG0000015	DANRE36519, DANRE36518	ASTMX06039
OG0000015	DANRE20233, DANRE20234	ASTMX15203
OG0000015	DANRE04836, DANRE04835	ASTMX18097
OG0000015	DANRE11101, DANRE11100	ASTMX09926, ASTMX15220
OG0000015	DANRE17304, DANRE17305	ASTMX09927
OG0000015	DANRE12114	ASTMX01377
OG0000015	DANRE01122	ASTMX13993
OG0000015	DANRE24409	ASTMX07947
OG0000015	DANRE20436, DANRE20437, DANRE20438	ASTMX18335
OG0000015	DANRE04834, DANRE04833	ASTMX18098
OG0000015	DANRE36515	ASTMX06037
OG0000015	DANRE04832, DANRE04831	ASTMX18099, ASTMX04658
OG0000015	DANRE20439, DANRE20441, DANRE20440	ASTMX18334
OG0000015	DANRE20520	ASTMX04125
OG0000015	DANRE36517, DANRE36516	ASTMX06038
OG0000015	DANRE06608, DANRE06609	ASTMX08008
OG0000015	DANRE06176	ASTMX04657
OG0000015	DANRE20442	ASTMX18333
OG0000015	DANRE42903, DANRE42902	ASTMX00011
OG0000015	DANRE33766	ASTMX10695
OG0000015	DANRE16271	ASTMX18288
OG0000015	DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692	ASTMX04727
OG0000016	DANRE38616	ASTMX03544
OG0000016	DANRE06628, DANRE06627	ASTMX11482
OG0000016	DANRE13366	ASTMX09207
OG0000016	DANRE29900	ASTMX17817
OG0000016	DANRE29903, DANRE29904	ASTMX17818
OG0000016	DANRE35774	ASTMX05407
OG0000016	DANRE03065, DANRE03064	ASTMX11675
OG0000016	DANRE04448	ASTMX17393
OG0000016	DANRE35611	ASTMX00540
OG0000016	DANRE02012	ASTMX02874
OG0000016	DANRE13447	ASTMX17395
OG0000016	DANRE31212, DANRE31213, DANRE31211	ASTMX13275
OG0000016	DANRE25754	ASTMX19540
OG0000016	DANRE13449, DANRE13448	ASTMX20114
OG0000016	DANRE25751, DANRE25753	ASTMX00361
OG0000018	DANRE04209, DANRE28234, DANRE04603, DANRE29058, DANRE05534, DANRE17601, DANRE09239, DANRE24202	ASTMX23058
OG0000018	DANRE13954	ASTMX14731, ASTMX14730, ASTMX09170
OG0000018	DANRE13946	ASTMX13804
OG0000019	DANRE29946	ASTMX14084
OG0000019	DANRE21114	ASTMX03976, ASTMX18923
OG0000019	DANRE24632, DANRE24631	ASTMX19662
OG0000019	DANRE21112	ASTMX20251, ASTMX21077, ASTMX14834
OG0000019	DANRE29948	ASTMX14832
OG0000019	DANRE29945, DANRE29947	ASTMX21241, ASTMX14833
OG0000019	DANRE41682, DANRE41683	ASTMX15190
OG0000019	DANRE35868, DANRE35867, DANRE35869	ASTMX17156
OG0000020	DANRE03458	ASTMX12654
OG0000020	DANRE10827, DANRE10826, DANRE10743	ASTMX04834
OG0000020	DANRE10670	ASTMX12285
OG0000020	DANRE40536	ASTMX14060
OG0000020	DANRE14742	ASTMX00875
OG0000020	DANRE09733	ASTMX06734
OG0000020	DANRE18650	ASTMX14107
OG0000020	DANRE10748	ASTMX08186
OG0000020	DANRE23011	ASTMX17613
OG0000020	DANRE42755	ASTMX12696
OG0000020	DANRE24424, DANRE24423	ASTMX07958
OG0000020	DANRE27995	ASTMX18318
OG0000020	DANRE27624, DANRE27625	ASTMX16689
OG0000020	DANRE30414	ASTMX16028
OG0000020	DANRE27431, DANRE27432, DANRE27433	ASTMX17320
OG0000020	DANRE06741, DANRE06740	ASTMX04750
OG0000020	DANRE15747	ASTMX21042
OG0000020	DANRE22958, DANRE22959	ASTMX05243
OG0000020	DANRE06663, DANRE06664	ASTMX04710
OG0000020	DANRE18984	ASTMX07754
OG0000020	DANRE27379	ASTMX13875
OG0000021	DANRE01661	ASTMX05285
OG0000021	DANRE22424	ASTMX16996
OG0000021	DANRE31606, DANRE31605	ASTMX01998
OG0000021	DANRE39795, DANRE39796	ASTMX04046
OG0000021	DANRE22480	ASTMX15305
OG0000021	DANRE39722	ASTMX00802, ASTMX04036
OG0000021	DANRE36686	ASTMX09468
OG0000021	DANRE36683, DANRE36685	ASTMX09467
OG0000021	DANRE36633	ASTMX09435
OG0000021	DANRE13240, DANRE13243, DANRE13242, DANRE13246, DANRE13245, DANRE13241	ASTMX07052, ASTMX07051, ASTMX06325
OG0000021	DANRE24996	ASTMX15788
OG0000021	DANRE01663, DANRE01662	ASTMX05284
OG0000021	DANRE38577	ASTMX00201
OG0000021	DANRE08977, DANRE08978, DANRE08976	ASTMX09085
OG0000021	DANRE08348	ASTMX02310
OG0000021	DANRE33679	ASTMX16342
OG0000021	DANRE33712, DANRE33711, DANRE33342, DANRE33343	ASTMX09645
OG0000021	DANRE37717	ASTMX21461
OG0000021	DANRE02277	ASTMX05545
OG0000021	DANRE27401, DANRE27403, DANRE27400	ASTMX13864
OG0000021	DANRE20108	ASTMX09336
OG0000023	DANRE19492	ASTMX07788
OG0000023	DANRE27752	ASTMX10048
OG0000023	DANRE38057	ASTMX07031
OG0000023	DANRE39283	ASTMX08985
OG0000023	DANRE36925	ASTMX18700
OG0000023	DANRE26382, DANRE26381	ASTMX14127
OG0000023	DANRE29650, DANRE29649	ASTMX07336
OG0000023	DANRE03181	ASTMX04478
OG0000023	DANRE19476, DANRE19477	ASTMX03414
OG0000023	DANRE07548, DANRE07547	ASTMX11687
OG0000023	DANRE01757	ASTMX14286
OG0000023	DANRE01251	ASTMX02981
OG0000023	DANRE08271, DANRE08272	ASTMX04385
OG0000023	DANRE08270, DANRE08269	ASTMX04386
OG0000023	DANRE08566, DANRE08567	ASTMX11217
OG0000023	DANRE38580	ASTMX00199
OG0000023	DANRE40368	ASTMX01795
OG0000023	DANRE01250, DANRE01247, DANRE01249, DANRE01248	ASTMX02984, ASTMX02983
OG0000026	DANRE09875	ASTMX06810
OG0000026	DANRE42258	ASTMX12978
OG0000027	DANRE39144	ASTMX01705
OG0000027	DANRE10366	ASTMX01846, ASTMX01847
OG0000027	DANRE03058, DANRE03059, DANRE03061	ASTMX11673
OG0000027	DANRE29465	ASTMX14527, ASTMX14528
OG0000027	DANRE03471	ASTMX17505
OG0000027	DANRE22990, DANRE22989	ASTMX05220
OG0000027	DANRE41021, DANRE41022, DANRE41023, DANRE41020, DANRE41018, DANRE41275, DANRE41019, DANRE41017, DANRE41008, DANRE41009	ASTMX05716, ASTMX05715, ASTMX05717, ASTMX19973, ASTMX05714, ASTMX05713
OG0000027	DANRE02909	ASTMX01680
OG0000028	DANRE15903	ASTMX01628
OG0000028	DANRE08736, DANRE08737	ASTMX11297
OG0000028	DANRE20375	ASTMX12202
OG0000028	DANRE07178	ASTMX18482, ASTMX18778
OG0000028	DANRE07176, DANRE07177	ASTMX14889
OG0000028	DANRE15857, DANRE15856	ASTMX21200
OG0000028	DANRE09600, DANRE09601	ASTMX09164
OG0000028	DANRE13468	ASTMX21506
OG0000028	DANRE13469, DANRE13470	ASTMX21505
OG0000028	DANRE15855	ASTMX21832
OG0000028	DANRE10772	ASTMX08169
OG0000028	DANRE17755, DANRE17756	ASTMX10814
OG0000028	DANRE02083	ASTMX02886
OG0000028	DANRE07180, DANRE07179	ASTMX14890
OG0000028	DANRE15853	ASTMX22400
OG0000028	DANRE35763	ASTMX17696, ASTMX05417
OG0000028	DANRE39088, DANRE39089	ASTMX01721
OG0000028	DANRE24974	ASTMX15155
OG0000028	DANRE13964	ASTMX14212
OG0000029	DANRE39912, DANRE39910, DANRE39911, DANRE39909	ASTMX02055
OG0000029	DANRE12668, DANRE12669	ASTMX06262
OG0000029	DANRE22155	ASTMX11166
OG0000029	DANRE11325	ASTMX03267
OG0000029	DANRE16818, DANRE16817	ASTMX11576
OG0000029	DANRE13326	ASTMX22545
OG0000029	DANRE41268, DANRE41269	ASTMX19971
OG0000029	DANRE26531	ASTMX06514
OG0000029	DANRE01944	ASTMX07156
OG0000029	DANRE42782	ASTMX12065
OG0000029	DANRE35736	ASTMX05431
OG0000029	DANRE21814	ASTMX02396
OG0000029	DANRE34060, DANRE21950, DANRE21945, DANRE43307, DANRE21946, DANRE21947, DANRE21900, DANRE21896, DANRE39154	ASTMX01708
OG0000030	DANRE34589, DANRE34588	ASTMX06934
OG0000030	DANRE14546	ASTMX13784
OG0000030	DANRE09884, DANRE09883	ASTMX06816
OG0000030	DANRE34902	ASTMX18369
OG0000030	DANRE34483, DANRE34482	ASTMX11357
OG0000030	DANRE08390, DANRE08389	ASTMX13717
OG0000030	DANRE38993	ASTMX04112, ASTMX02697
OG0000030	DANRE03619	ASTMX07740
OG0000030	DANRE41079, DANRE41078	ASTMX22293
OG0000030	DANRE03978	ASTMX01510
OG0000031	DANRE20274, DANRE20275, DANRE20273	ASTMX03913
OG0000031	DANRE20694	ASTMX17418, ASTMX22504, ASTMX18990, ASTMX06321, ASTMX15039, ASTMX21321, ASTMX15065
OG0000031	DANRE41496	ASTMX08659
OG0000031	DANRE23155	ASTMX04771
OG0000031	DANRE37079	ASTMX01055
OG0000031	DANRE41454	ASTMX17701
OG0000031	DANRE13621, DANRE09507, DANRE09506, DANRE09505	ASTMX18426, ASTMX12571
OG0000031	DANRE17238	ASTMX22712
OG0000031	DANRE13622, DANRE13623	ASTMX12572
OG0000031	DANRE26516	ASTMX06525
OG0000031	DANRE26019	ASTMX05128
OG0000031	DANRE33954	ASTMX18163
OG0000031	DANRE35637	ASTMX11402
OG0000031	DANRE11621	ASTMX09693
OG0000031	DANRE02768	ASTMX00710
OG0000031	DANRE23382	ASTMX00969, ASTMX17640
OG0000031	DANRE20276	ASTMX03912
OG0000031	DANRE16190, DANRE42316	ASTMX00105
OG0000031	DANRE27399	ASTMX13865
OG0000031	DANRE21472	ASTMX02854
OG0000031	DANRE14252	ASTMX20534
OG0000031	DANRE42315	ASTMX00107
OG0000031	DANRE42215	ASTMX13001
OG0000031	DANRE15380	ASTMX20334
OG0000031	DANRE28106	ASTMX13774
OG0000031	DANRE23847, DANRE23848	ASTMX02637
OG0000032	DANRE24196	ASTMX08687
OG0000032	DANRE27892, DANRE27891	ASTMX18764
OG0000032	DANRE30726, DANRE30725	ASTMX19317
OG0000032	DANRE33206, DANRE33207, DANRE33205	ASTMX01989
OG0000032	DANRE33204	ASTMX01990
OG0000032	DANRE33199, DANRE32929, DANRE32926, DANRE32927, DANRE33203, DANRE33202, DANRE32928, DANRE33200, DANRE33201	ASTMX01991
OG0000032	DANRE36261	ASTMX08768
OG0000032	DANRE20344, DANRE20343	ASTMX12211
OG0000032	DANRE12884	ASTMX09018
OG0000032	DANRE22486, DANRE22485, DANRE22487, DANRE22488	ASTMX06705
OG0000034	DANRE28945	ASTMX17089
OG0000034	DANRE28944	ASTMX19482
OG0000034	DANRE35039, DANRE35040	ASTMX03521
OG0000034	DANRE39926	ASTMX02060
OG0000034	DANRE00143	ASTMX05967
OG0000034	DANRE39455	ASTMX21201
OG0000034	DANRE35041	ASTMX03519
OG0000034	DANRE29516, DANRE29515	ASTMX17020
OG0000034	DANRE12957	ASTMX02547
OG0000034	DANRE25460	ASTMX01081
OG0000034	DANRE31029, DANRE31030	ASTMX20715
OG0000034	DANRE23009, DANRE23010, DANRE02357	ASTMX17446
OG0000034	DANRE29602	ASTMX07364
OG0000034	DANRE23932	ASTMX20522
OG0000034	DANRE37022	ASTMX22336
OG0000034	DANRE22465	ASTMX07448
OG0000034	DANRE31461, DANRE31460	ASTMX16123
OG0000034	DANRE12388, DANRE12387	ASTMX02622
OG0000034	DANRE25947	ASTMX00372
OG0000034	DANRE14484	ASTMX09860
OG0000034	DANRE09880	ASTMX06813
OG0000034	DANRE38036	ASTMX07013
OG0000034	DANRE37614, DANRE37615	ASTMX12428
OG0000034	DANRE25091, DANRE25092	ASTMX02190
OG0000034	DANRE04100	ASTMX01548
OG0000034	DANRE25182	ASTMX02136
