Orthogroup	DANRE	CAEEL
OG0000069	DANRE37416	CAEEL06325, CAEEL10740, CAEEL11694, CAEEL10933, CAEEL14936, CAEEL19176, CAEEL14950, CAEEL14856, CAEEL16895, CAEEL14955, CAEEL11715, CAEEL06329, CAEEL06330, CAEEL06334, CAEEL11699
OG0000070	DANRE30067, DANRE04119, DANRE14399, DANRE38561	CAEEL06499
OG0000071	DANRE01478	CAEEL07848, CAEEL20562, CAEEL18107
OG0000072	DANRE06708, DANRE15716, DANRE15720, DANRE15719, DANRE15717, DANRE15718, DANRE06793, DANRE06794, DANRE06795, DANRE06796, DANRE08770, DANRE08769, DANRE00814, DANRE00815	CAEEL07368
OG0000072	DANRE06126	CAEEL07082
OG0000073	DANRE23559	CAEEL07620
OG0000075	DANRE09985, DANRE09984, DANRE09983, DANRE02787	CAEEL03008
OG0000075	DANRE30937, DANRE41300	CAEEL11367
OG0000075	DANRE24998, DANRE31372, DANRE31373, DANRE22408, DANRE02483, DANRE31021, DANRE31022	CAEEL11291
OG0000077	DANRE16390, DANRE20043, DANRE07192, DANRE00591, DANRE00590, DANRE39691	CAEEL01559
OG0000077	DANRE01477, DANRE40866, DANRE22036, DANRE06030, DANRE20156, DANRE16358	CAEEL18883
OG0000077	DANRE11696, DANRE11492, DANRE16170, DANRE41853, DANRE41854, DANRE17386, DANRE40644, DANRE19656, DANRE19657	CAEEL06904
OG0000079	DANRE41428, DANRE41431, DANRE41432, DANRE41429, DANRE41430, DANRE23441, DANRE01701, DANRE07129, DANRE07131, DANRE06662	CAEEL18822
OG0000079	DANRE08425, DANRE08424, DANRE08423, DANRE08420, DANRE08416, DANRE08419, DANRE08415, DANRE01231, DANRE01230, DANRE08421, DANRE08418, DANRE08422, DANRE40812, DANRE40811, DANRE40809, DANRE40810, DANRE33381, DANRE40813, DANRE33383	CAEEL07248
OG0000082	DANRE33308	CAEEL18954, CAEEL04897
OG0000082	DANRE06377	CAEEL13927
OG0000082	DANRE29360, DANRE29355, DANRE39683, DANRE29357, DANRE40398, DANRE00971, DANRE00969, DANRE00972, DANRE00973, DANRE08030, DANRE08710	CAEEL12687
OG0000084	DANRE07814, DANRE11583, DANRE40782, DANRE01412, DANRE01413, DANRE15534, DANRE15533, DANRE15962, DANRE15961, DANRE06459	CAEEL10610, CAEEL18185
OG0000084	DANRE16406, DANRE16407, DANRE16782, DANRE23641, DANRE34043, DANRE34042, DANRE01545, DANRE05120	CAEEL08514, CAEEL10452
OG0000085	DANRE03872, DANRE13568, DANRE10642, DANRE42815, DANRE01947	CAEEL06909
OG0000085	DANRE34010, DANRE34949, DANRE08303, DANRE08302, DANRE35408	CAEEL07542
OG0000085	DANRE10316	CAEEL03085
OG0000085	DANRE33578, DANRE33579	CAEEL08077
OG0000090	DANRE14575, DANRE14574, DANRE08600, DANRE08601	CAEEL18451
OG0000090	DANRE14775, DANRE14776	CAEEL10114
OG0000091	DANRE19328, DANRE19327, DANRE19329	CAEEL17086, CAEEL16996, CAEEL16871, CAEEL16989, CAEEL16994, CAEEL13069, CAEEL13068, CAEEL19658, CAEEL16242, CAEEL15009, CAEEL13672, CAEEL12797, CAEEL05265, CAEEL01090, CAEEL16358, CAEEL07359
OG0000094	DANRE20667, DANRE20666, DANRE40451, DANRE31445, DANRE31446, DANRE02712, DANRE02711, DANRE02713, DANRE41259, DANRE40961, DANRE40960, DANRE40286	CAEEL10719
OG0000094	DANRE26291, DANRE26290, DANRE39959, DANRE39958, DANRE34093, DANRE34091, DANRE34092, DANRE34090, DANRE34094, DANRE34095, DANRE19459, DANRE19458, DANRE39957, DANRE29718, DANRE29719, DANRE29717, DANRE02593, DANRE02592, DANRE02591	CAEEL18425
OG0000095	DANRE25494, DANRE25495, DANRE25572, DANRE25573, DANRE24186, DANRE24187, DANRE16081, DANRE16080, DANRE23856, DANRE23855, DANRE15358	CAEEL03536
OG0000096	DANRE06854, DANRE41409, DANRE15329, DANRE13475	CAEEL16555
OG0000096	DANRE40526, DANRE02165, DANRE31394, DANRE31393	CAEEL11088
OG0000096	DANRE36045, DANRE24893	CAEEL08533
OG0000096	DANRE25948, DANRE29004, DANRE39826, DANRE25796, DANRE38945, DANRE38946, DANRE38947	CAEEL11776
OG0000096	DANRE38250, DANRE38251, DANRE29625, DANRE29623	CAEEL06051
OG0000096	DANRE42235, DANRE21352, DANRE21353, DANRE21354	CAEEL07422
OG0000098	DANRE43096, DANRE26020, DANRE38317, DANRE38316, DANRE38318, DANRE26021, DANRE38315, DANRE33952, DANRE33953	CAEEL11671, CAEEL01601, CAEEL11678
OG0000099	DANRE07078, DANRE07079, DANRE15828, DANRE15826, DANRE15825, DANRE07080, DANRE33824, DANRE06396, DANRE06395, DANRE19734, DANRE08890, DANRE19931, DANRE19932, DANRE07026, DANRE19933	CAEEL07999, CAEEL08340
OG0000099	DANRE09258, DANRE09257, DANRE09256, DANRE09255, DANRE09254, DANRE13816, DANRE08158, DANRE13815, DANRE08996, DANRE09030, DANRE08830, DANRE08829, DANRE00831, DANRE00829	CAEEL05000, CAEEL01295
OG0000101	DANRE42773, DANRE42772, DANRE21261, DANRE21260, DANRE42774	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201
OG0000103	DANRE24869, DANRE20613, DANRE20612, DANRE20614, DANRE36648, DANRE36647, DANRE34239, DANRE34238, DANRE34235, DANRE34231, DANRE34230, DANRE34229, DANRE34233, DANRE18924, DANRE24870, DANRE24865, DANRE24863, DANRE24862, DANRE24866, DANRE24867, DANRE13569, DANRE27032, DANRE27033, DANRE02398, DANRE02397, DANRE22772	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258
OG0000103	DANRE09436, DANRE09435, DANRE35623, DANRE35622, DANRE29899, DANRE29898, DANRE35659, DANRE28633, DANRE28634, DANRE35632, DANRE35633	CAEEL01469, CAEEL18445
OG0000104	DANRE13410, DANRE13408, DANRE13409, DANRE13411, DANRE00019, DANRE00018, DANRE10295, DANRE10293, DANRE10294, DANRE10296	CAEEL04070
OG0000104	DANRE08585, DANRE42030, DANRE42031, DANRE42032, DANRE42033, DANRE35890, DANRE03855, DANRE10292, DANRE00020, DANRE00021, DANRE13407, DANRE42503, DANRE42504, DANRE02766, DANRE02765, DANRE02767, DANRE30903, DANRE39783, DANRE41690, DANRE41691	CAEEL18800
OG0000106	DANRE20129, DANRE07885, DANRE33300, DANRE03190, DANRE03191, DANRE00217, DANRE00219, DANRE00218, DANRE09198, DANRE09199, DANRE25823, DANRE25822	CAEEL19130, CAEEL20701
OG0000107	DANRE26157, DANRE26076	CAEEL06331, CAEEL14935, CAEEL14956, CAEEL11700, CAEEL06324, CAEEL11716, CAEEL01947, CAEEL10932, CAEEL15125, CAEEL06328, CAEEL14949, CAEEL14857, CAEEL16896, CAEEL10739, CAEEL11693, CAEEL19175
OG0000110	DANRE11747, DANRE11748, DANRE11749	CAEEL18731, CAEEL15167, CAEEL10319, CAEEL17689
OG0000111	DANRE28794, DANRE28795, DANRE29459, DANRE35452, DANRE03091, DANRE30573, DANRE03092, DANRE10905, DANRE37814, DANRE33816, DANRE23242, DANRE23244, DANRE22511, DANRE22510, DANRE27257, DANRE10084, DANRE10085, DANRE14209, DANRE14210, DANRE05147, DANRE23243, DANRE22509	CAEEL20845
OG0000113	DANRE34599, DANRE36419, DANRE36418, DANRE36417, DANRE36416, DANRE36415, DANRE31222, DANRE31221	CAEEL06358, CAEEL06359, CAEEL06360
OG0000114	DANRE05297, DANRE16133, DANRE16132, DANRE00562, DANRE00564, DANRE00563, DANRE02256, DANRE02257, DANRE36669, DANRE33480, DANRE33482, DANRE33481, DANRE22942	CAEEL18136
OG0000116	DANRE10733	CAEEL14875
OG0000117	DANRE01692	CAEEL08400
OG0000117	DANRE35421	CAEEL07433
OG0000119	DANRE16116, DANRE16117, DANRE41481, DANRE41482, DANRE41480, DANRE07182, DANRE07181, DANRE29831, DANRE03249	CAEEL08480
OG0000119	DANRE41697, DANRE23346, DANRE23347, DANRE09855, DANRE09856, DANRE09854, DANRE29168, DANRE29167	CAEEL08396
OG0000120	DANRE25821, DANRE00097	CAEEL14397, CAEEL15688, CAEEL15686, CAEEL09375, CAEEL15884, CAEEL09381, CAEEL15380, CAEEL16714, CAEEL14049, CAEEL13989, CAEEL13988, CAEEL13987, CAEEL14052, CAEEL13986, CAEEL15745, CAEEL18572, CAEEL15034, CAEEL14053
OG0000122	DANRE34039, DANRE34040, DANRE34038, DANRE01547, DANRE01546, DANRE19221, DANRE19220, DANRE34744, DANRE34745, DANRE10319, DANRE10318, DANRE01945, DANRE01946, DANRE42812, DANRE36612, DANRE42813	CAEEL01544
OG0000122	DANRE27354	CAEEL19085
OG0000124	DANRE20113, DANRE34367, DANRE06378, DANRE08738	CAEEL19897
OG0000124	DANRE09986, DANRE02785, DANRE02786, DANRE22696	CAEEL04963
OG0000124	DANRE18048, DANRE07772, DANRE16836, DANRE16837, DANRE05164	CAEEL15384, CAEEL15382
OG0000126	DANRE04839, DANRE04840, DANRE04841, DANRE06613, DANRE06612, DANRE36521	CAEEL08841, CAEEL04611
OG0000126	DANRE24264, DANRE24265, DANRE24266, DANRE07231, DANRE07232	CAEEL09101
OG0000126	DANRE19091, DANRE19090, DANRE21704, DANRE21705, DANRE33653, DANRE33654, DANRE09589, DANRE25981, DANRE25982	CAEEL10194
OG0000127	DANRE16565, DANRE41950, DANRE06928, DANRE22187, DANRE38204, DANRE33886, DANRE33885	CAEEL19207
OG0000127	DANRE36236, DANRE26932, DANRE35612, DANRE42858	CAEEL20452
OG0000127	DANRE08971, DANRE14620, DANRE14621, DANRE18120, DANRE11692, DANRE02339	CAEEL00838
OG0000128	DANRE33979, DANRE08860	CAEEL18038, CAEEL19894, CAEEL19895
OG0000129	DANRE21944, DANRE21943, DANRE21942, DANRE21941, DANRE21936, DANRE21937, DANRE05805, DANRE05803, DANRE05804, DANRE21940, DANRE21939, DANRE21938, DANRE21934, DANRE21935, DANRE05801, DANRE05802, DANRE19999, DANRE37478, DANRE37477, DANRE37476, DANRE16830, DANRE17949, DANRE17948, DANRE11891, DANRE11892, DANRE11890	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187
OG0000129	DANRE19744, DANRE12249, DANRE12250, DANRE37926, DANRE37925, DANRE37924	CAEEL12325
OG0000129	DANRE28020, DANRE28021	CAEEL08188
OG0000131	DANRE33605	CAEEL08663
OG0000131	DANRE04212	CAEEL07634
OG0000132	DANRE24745	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417
OG0000137	DANRE06165	CAEEL18416, CAEEL11601
OG0000137	DANRE17727, DANRE10757	CAEEL10559
OG0000142	DANRE23829	CAEEL19259
OG0000142	DANRE36874	CAEEL08844, CAEEL07256, CAEEL07175
OG0000147	DANRE26942, DANRE26943, DANRE36250, DANRE36251, DANRE23193, DANRE23196, DANRE23195, DANRE23194	CAEEL04811
OG0000147	DANRE10593, DANRE10594, DANRE18815, DANRE11115	CAEEL18488
OG0000148	DANRE23175, DANRE22292, DANRE36771, DANRE36769, DANRE22583, DANRE22582, DANRE22581, DANRE22579, DANRE22580, DANRE31174, DANRE31172, DANRE31173, DANRE02328, DANRE02325, DANRE02326, DANRE02327, DANRE22731	CAEEL09804
OG0000148	DANRE36770	CAEEL12387, CAEEL10870
OG0000149	DANRE00119, DANRE33977, DANRE33976, DANRE33978, DANRE34857, DANRE34856, DANRE34855	CAEEL02847
OG0000149	DANRE25293, DANRE25295, DANRE25294, DANRE37665, DANRE37666, DANRE12798, DANRE12797	CAEEL15543, CAEEL15991, CAEEL08694
OG0000154	DANRE01050, DANRE07010, DANRE07011	CAEEL02932
OG0000155	DANRE17586, DANRE05670, DANRE14414, DANRE14413, DANRE14411, DANRE14412, DANRE09080, DANRE09081, DANRE09079, DANRE04486, DANRE04485, DANRE14416, DANRE14415	CAEEL02327, CAEEL02328, CAEEL02326, CAEEL10961, CAEEL10957
OG0000157	DANRE34923, DANRE28272, DANRE21748, DANRE21746, DANRE21747	CAEEL00241
OG0000157	DANRE12853, DANRE12855, DANRE38298, DANRE12854	CAEEL01390
OG0000158	DANRE21825, DANRE21824, DANRE16888, DANRE16887, DANRE16889, DANRE26497, DANRE36463, DANRE36462, DANRE26500, DANRE36458, DANRE36459, DANRE36460, DANRE35370, DANRE35127, DANRE21819, DANRE26498, DANRE14587, DANRE21820, DANRE26496, DANRE22512, DANRE22513, DANRE05145, DANRE05146, DANRE27251, DANRE27253, DANRE27252	CAEEL20117, CAEEL08684
OG0000158	DANRE37819, DANRE20159	CAEEL06141
OG0000159	DANRE24089, DANRE24088	CAEEL19486
OG0000159	DANRE15174, DANRE09143	CAEEL02031
OG0000159	DANRE35119, DANRE03349, DANRE03348	CAEEL05281
OG0000160	DANRE01423, DANRE40842, DANRE40841, DANRE17109, DANRE17108, DANRE17125, DANRE17126, DANRE17103, DANRE17119, DANRE17131, DANRE17130, DANRE17129, DANRE01424, DANRE40843, DANRE40844	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528
OG0000163	DANRE22023, DANRE22022, DANRE29273, DANRE29274, DANRE29073, DANRE36123, DANRE36124, DANRE28765	CAEEL08313
OG0000163	DANRE29253, DANRE09545, DANRE09544, DANRE14272, DANRE03886, DANRE03884, DANRE03885, DANRE03887, DANRE23439, DANRE23438, DANRE23437, DANRE23436, DANRE23435	CAEEL20194, CAEEL08850
OG0000164	DANRE02111	CAEEL05391, CAEEL18768
