Orthogroup	APOSJ_ok	DROME
OG0000012	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902, APOSJ_08161, APOSJ_08160	DROME14687, DROME14686
OG0000014	APOSJ_22104, APOSJ_22107, APOSJ_22108, APOSJ_22106, APOSJ_22105, APOSJ_53128, APOSJ_57940, APOSJ_51674, APOSJ_39040, APOSJ_00798, APOSJ_00799, APOSJ_23863, APOSJ_61319, APOSJ_61320, APOSJ_26115, APOSJ_26117	DROME05409, DROME03987
OG0000014	APOSJ_28331, APOSJ_28332	DROME14595, DROME14594
OG0000015	APOSJ_04715	DROME10325, DROME10328, DROME10327, DROME10326, DROME10329
OG0000015	APOSJ_53813, APOSJ_50846, APOSJ_50844	DROME11913, DROME20981, DROME20982
OG0000016	APOSJ_49455, APOSJ_50025, APOSJ_49454, APOSJ_40337, APOSJ_40020	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425
OG0000016	APOSJ_51950, APOSJ_51936, APOSJ_51946, APOSJ_40118, APOSJ_12454, APOSJ_33617, APOSJ_06716, APOSJ_06717	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589
OG0000016	APOSJ_31207	DROME01609
OG0000019	APOSJ_25021	DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290
OG0000020	APOSJ_03215	DROME22108
OG0000020	APOSJ_60863, APOSJ_38143, APOSJ_60862, APOSJ_44342, APOSJ_44340, APOSJ_44341, APOSJ_25225, APOSJ_25228, APOSJ_25227, APOSJ_25226, APOSJ_25224, APOSJ_25223	DROME02490
OG0000020	APOSJ_34911, APOSJ_34912, APOSJ_34909, APOSJ_34910	DROME11466, DROME11467
OG0000020	APOSJ_51246, APOSJ_35639	DROME19890, DROME19889, DROME19888, DROME19891
OG0000020	APOSJ_08125, APOSJ_51104	DROME07045, DROME07043, DROME07044, DROME07042
OG0000020	APOSJ_16758	DROME03151, DROME03150
OG0000020	APOSJ_45120	DROME14454, DROME14455
OG0000021	APOSJ_47375, APOSJ_47376	DROME18320, DROME18321
OG0000021	APOSJ_56015, APOSJ_08859	DROME00802, DROME00801
OG0000021	APOSJ_34733, APOSJ_17339, APOSJ_22470, APOSJ_22469, APOSJ_16747, APOSJ_22471, APOSJ_33890, APOSJ_34732, APOSJ_64645, APOSJ_43284, APOSJ_00001, APOSJ_41267, APOSJ_41269, APOSJ_41268, APOSJ_41270, APOSJ_41946, APOSJ_13685, APOSJ_41948, APOSJ_41949, APOSJ_63243, APOSJ_38075, APOSJ_38077, APOSJ_38079, APOSJ_38078, APOSJ_38076, APOSJ_38073, APOSJ_38080, APOSJ_38074, APOSJ_38072, APOSJ_31173, APOSJ_63744, APOSJ_63745	DROME08091
OG0000023	APOSJ_14254, APOSJ_65297, APOSJ_31405, APOSJ_14258, APOSJ_14259, APOSJ_31406, APOSJ_19021, APOSJ_14257, APOSJ_14256, APOSJ_14255, APOSJ_14253, APOSJ_27677, APOSJ_27676, APOSJ_27675, APOSJ_27674, APOSJ_01239	DROME04919, DROME04917, DROME04918
OG0000023	APOSJ_01093, APOSJ_01092, APOSJ_01091	DROME08346, DROME08342, DROME08344, DROME08347, DROME08345, DROME08343
OG0000028	APOSJ_19821, APOSJ_19822, APOSJ_19823, APOSJ_19820	DROME09420, DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818
OG0000028	APOSJ_13359, APOSJ_13358	DROME01857, DROME01860, DROME01861, DROME01859, DROME01862, DROME01858, DROME21647, DROME21646, DROME02664
OG0000029	APOSJ_32485	DROME18440, DROME18439, DROME18441, DROME09446
OG0000029	APOSJ_26876, APOSJ_26877, APOSJ_64430	DROME19091
OG0000030	APOSJ_19341, APOSJ_19347, APOSJ_19346, APOSJ_19342, APOSJ_19343, APOSJ_19349, APOSJ_19344, APOSJ_19348	DROME15149
OG0000030	APOSJ_42302, APOSJ_42296, APOSJ_42301, APOSJ_42295, APOSJ_02556, APOSJ_42297, APOSJ_42298	DROME11112, DROME11110, DROME11113, DROME11111
OG0000030	APOSJ_30575	DROME12173, DROME12176
OG0000030	APOSJ_24666, APOSJ_08058, APOSJ_64332	DROME06898
OG0000030	APOSJ_45466	DROME12965
OG0000031	APOSJ_56428	DROME19945
OG0000031	APOSJ_58452	DROME19947, DROME19946, DROME19949, DROME19948
OG0000031	APOSJ_02849, APOSJ_17365, APOSJ_17366, APOSJ_17367, APOSJ_17368, APOSJ_17369, APOSJ_17370, APOSJ_43784, APOSJ_40601, APOSJ_23164, APOSJ_23163, APOSJ_23162	DROME09230
OG0000031	APOSJ_01762	DROME05246
OG0000031	APOSJ_44849, APOSJ_44847, APOSJ_44846, APOSJ_44844	DROME16481
OG0000032	APOSJ_63625, APOSJ_17321, APOSJ_24315, APOSJ_38033, APOSJ_36724, APOSJ_59877, APOSJ_31217, APOSJ_63913, APOSJ_63912, APOSJ_31215, APOSJ_31212, APOSJ_31211, APOSJ_36562, APOSJ_36563, APOSJ_36564, APOSJ_20979	DROME02386
OG0000032	APOSJ_07369, APOSJ_07366, APOSJ_07368, APOSJ_41042, APOSJ_07370, APOSJ_06491, APOSJ_04310, APOSJ_21314, APOSJ_04323, APOSJ_04322, APOSJ_21313, APOSJ_21315, APOSJ_10405, APOSJ_04319, APOSJ_22088, APOSJ_38003, APOSJ_62080, APOSJ_03906, APOSJ_24168, APOSJ_31058, APOSJ_63203, APOSJ_63204, APOSJ_63202, APOSJ_31060, APOSJ_31059, APOSJ_31055, APOSJ_31054, APOSJ_31053, APOSJ_01319, APOSJ_12995, APOSJ_15569	DROME01213
OG0000034	APOSJ_42844, APOSJ_62192, APOSJ_62189, APOSJ_62188, APOSJ_62186, APOSJ_59239, APOSJ_59236, APOSJ_59237, APOSJ_59235, APOSJ_59234, APOSJ_42840, APOSJ_29082, APOSJ_03040, APOSJ_42835, APOSJ_42836, APOSJ_42837, APOSJ_42838, APOSJ_42841, APOSJ_59238, APOSJ_59240, APOSJ_62187, APOSJ_62190, APOSJ_62191, APOSJ_62193, APOSJ_42839, APOSJ_42842, APOSJ_42843	DROME20092, DROME20090, DROME20091
OG0000034	APOSJ_09404, APOSJ_13545, APOSJ_44168	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489
OG0000034	APOSJ_60565, APOSJ_21305	DROME13496
OG0000034	APOSJ_17132, APOSJ_23482, APOSJ_23483, APOSJ_18928	DROME18268, DROME18267, DROME18266, DROME18269
OG0000034	APOSJ_09729	DROME03104, DROME03105
OG0000034	APOSJ_46606, APOSJ_46602, APOSJ_39468, APOSJ_58455, APOSJ_46604, APOSJ_46601, APOSJ_39472, APOSJ_58458, APOSJ_39471, APOSJ_46600, APOSJ_39470, APOSJ_58457, APOSJ_39469, APOSJ_46608, APOSJ_58456, APOSJ_39467, APOSJ_46603, APOSJ_46607	DROME20524
OG0000035	APOSJ_39487, APOSJ_39488, APOSJ_39486, APOSJ_39485, APOSJ_39489	DROME11928
OG0000035	APOSJ_28930, APOSJ_28931, APOSJ_28932, APOSJ_28929	DROME05348, DROME01725, DROME03666, DROME01724
OG0000035	APOSJ_53790, APOSJ_18309, APOSJ_18310, APOSJ_50254, APOSJ_18311	DROME17164, DROME17163
OG0000036	APOSJ_00559, APOSJ_00560, APOSJ_09590, APOSJ_59128, APOSJ_28626, APOSJ_23280	DROME02324, DROME17378, DROME11305
OG0000036	APOSJ_49777, APOSJ_42183, APOSJ_42178, APOSJ_53453, APOSJ_49780, APOSJ_34471, APOSJ_42404, APOSJ_48372, APOSJ_48557, APOSJ_48377, APOSJ_48373, APOSJ_48374, APOSJ_42406, APOSJ_42405, APOSJ_00237, APOSJ_00230, APOSJ_00218, APOSJ_17179, APOSJ_05137, APOSJ_05138, APOSJ_31800, APOSJ_05136, APOSJ_07074, APOSJ_07075, APOSJ_52025, APOSJ_18384, APOSJ_18382, APOSJ_18383, APOSJ_21951, APOSJ_21954, APOSJ_57893, APOSJ_57895, APOSJ_33193, APOSJ_10054	DROME20717, DROME20716, DROME20719, DROME20718
OG0000037	APOSJ_19984, APOSJ_19985, APOSJ_59245	DROME08695, DROME15640, DROME04516
OG0000038	APOSJ_44498, APOSJ_44500	DROME13535, DROME13441
OG0000038	APOSJ_30481	DROME13993
OG0000039	APOSJ_23948	DROME20351, DROME20350
OG0000039	APOSJ_29534, APOSJ_02269, APOSJ_02270, APOSJ_29535	DROME03375, DROME03374, DROME03372, DROME03373
OG0000040	APOSJ_18915, APOSJ_27166, APOSJ_49316, APOSJ_27168, APOSJ_27165, APOSJ_20487, APOSJ_61474, APOSJ_16915, APOSJ_16914, APOSJ_31565, APOSJ_44161, APOSJ_32230, APOSJ_32274, APOSJ_44162, APOSJ_59917, APOSJ_18917, APOSJ_27167, APOSJ_18916, APOSJ_27164, APOSJ_49313, APOSJ_22639, APOSJ_32774, APOSJ_32770, APOSJ_32773, APOSJ_32772, APOSJ_32771, APOSJ_08219, APOSJ_13680, APOSJ_13682, APOSJ_13677, APOSJ_13681, APOSJ_20336, APOSJ_13679	DROME01030, DROME01029, DROME06128, DROME06129, DROME06133, DROME06131, DROME06130, DROME17442, DROME06135, DROME06134, DROME06132, DROME04118, DROME04166, DROME06136, DROME06127, DROME04612, DROME04613, DROME16427, DROME07802, DROME14818, DROME05485, DROME04044, DROME05484, DROME05486, DROME21878, DROME14539, DROME04205, DROME04204, DROME05671, DROME08331
OG0000041	APOSJ_07883	DROME21438, DROME21440, DROME21441, DROME21439, DROME21435, DROME21437, DROME21436, DROME21444, DROME21442, DROME21443, DROME21445
OG0000041	APOSJ_00247	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069
OG0000044	APOSJ_57354, APOSJ_57355, APOSJ_22626, APOSJ_55615, APOSJ_55614, APOSJ_28339, APOSJ_28351, APOSJ_28336, APOSJ_22636, APOSJ_03631	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576
OG0000044	APOSJ_25176, APOSJ_21325	DROME17013
OG0000046	APOSJ_02618, APOSJ_32175, APOSJ_31531	DROME13515, DROME01755, DROME02563, DROME17305, DROME17304, DROME11364, DROME11369
OG0000048	APOSJ_10763, APOSJ_10766, APOSJ_11623, APOSJ_03221, APOSJ_10764	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389
OG0000048	APOSJ_12442	DROME01500
OG0000049	APOSJ_00656	DROME04610, DROME04609, DROME04608, DROME04607, DROME04606
OG0000049	APOSJ_36462	DROME18357, DROME18359, DROME18358
OG0000051	APOSJ_11380, APOSJ_11382, APOSJ_11381, APOSJ_49294, APOSJ_31090, APOSJ_33080, APOSJ_33081, APOSJ_33079, APOSJ_33078, APOSJ_24712, APOSJ_12983, APOSJ_12984, APOSJ_12982, APOSJ_12981, APOSJ_12980, APOSJ_42696, APOSJ_22311, APOSJ_45471, APOSJ_36585, APOSJ_65392, APOSJ_36584, APOSJ_36582, APOSJ_36580, APOSJ_36579, APOSJ_28591, APOSJ_28590, APOSJ_19528, APOSJ_48652, APOSJ_48243, APOSJ_48242, APOSJ_48241, APOSJ_48240, APOSJ_13578, APOSJ_61106	DROME06654, DROME06655
OG0000054	APOSJ_18612, APOSJ_52518, APOSJ_18611, APOSJ_31400, APOSJ_07291, APOSJ_45891, APOSJ_07290, APOSJ_24181, APOSJ_58354, APOSJ_58353, APOSJ_58350, APOSJ_58351, APOSJ_58352	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360
OG0000054	APOSJ_07760, APOSJ_07758, APOSJ_52019, APOSJ_14269	DROME00973, DROME00974, DROME00972, DROME04820, DROME04821, DROME04822
OG0000055	APOSJ_19144, APOSJ_56132	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677
OG0000058	APOSJ_27364, APOSJ_40682, APOSJ_27363	DROME14598
OG0000058	APOSJ_01990, APOSJ_45171, APOSJ_56047, APOSJ_62157, APOSJ_01986, APOSJ_12231, APOSJ_01994, APOSJ_62154, APOSJ_01988, APOSJ_62155	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731
OG0000060	APOSJ_41349	DROME18201
OG0000060	APOSJ_24347, APOSJ_24346, APOSJ_24345, APOSJ_24343	DROME02317, DROME02583, DROME02316
OG0000061	APOSJ_58339, APOSJ_18222, APOSJ_18226, APOSJ_18220, APOSJ_58336, APOSJ_24082, APOSJ_18227, APOSJ_18225, APOSJ_18223, APOSJ_24083, APOSJ_24098, APOSJ_58337, APOSJ_58338, APOSJ_18224	DROME05786, DROME05785, DROME05787, DROME20453
OG0000061	APOSJ_15713, APOSJ_15716, APOSJ_15714, APOSJ_33562, APOSJ_15715, APOSJ_53824, APOSJ_08464, APOSJ_14395	DROME05579, DROME05580, DROME06033
OG0000061	APOSJ_44585, APOSJ_44584, APOSJ_12599, APOSJ_31580, APOSJ_31574, APOSJ_30135, APOSJ_31576, APOSJ_13080, APOSJ_01080, APOSJ_31575, APOSJ_31579, APOSJ_31577, APOSJ_31578	DROME18900, DROME18901, DROME18899
OG0000062	APOSJ_42177, APOSJ_42181, APOSJ_42180, APOSJ_42182	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444
OG0000063	APOSJ_62799, APOSJ_60703	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406
OG0000063	APOSJ_45342, APOSJ_45340, APOSJ_35186, APOSJ_45343, APOSJ_45341, APOSJ_16611	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707
OG0000063	APOSJ_58298, APOSJ_58293, APOSJ_19476	DROME10983, DROME10982
OG0000065	APOSJ_35430	DROME22058
OG0000066	APOSJ_38125	DROME14379
OG0000067	APOSJ_52844, APOSJ_52843, APOSJ_12780, APOSJ_12787, APOSJ_12782, APOSJ_12783, APOSJ_57552	DROME11908, DROME11924, DROME11927, DROME05633
OG0000068	APOSJ_21674, APOSJ_37249, APOSJ_37250, APOSJ_22049, APOSJ_37245, APOSJ_13843, APOSJ_13846, APOSJ_13840, APOSJ_13849, APOSJ_37247, APOSJ_37246, APOSJ_22027, APOSJ_13845, APOSJ_37251, APOSJ_37248, APOSJ_13847, APOSJ_07893, APOSJ_07895, APOSJ_07894, APOSJ_07892, APOSJ_53737, APOSJ_18613	DROME18209
OG0000069	APOSJ_40539, APOSJ_40541, APOSJ_40540, APOSJ_60884	DROME03713
OG0000070	APOSJ_54993	DROME04028, DROME04029, DROME06783, DROME04912
OG0000070	APOSJ_01603	DROME17588, DROME17589, DROME19032
OG0000072	APOSJ_61865, APOSJ_61864	DROME12247, DROME12248
OG0000072	APOSJ_48482	DROME00154
OG0000072	APOSJ_48834, APOSJ_48835, APOSJ_48833	DROME00750
OG0000072	APOSJ_40725, APOSJ_21416	DROME14913
OG0000074	APOSJ_13143	DROME03014
OG0000075	APOSJ_40363, APOSJ_40364, APOSJ_40365, APOSJ_40366, APOSJ_40367, APOSJ_40368	DROME01374
OG0000075	APOSJ_54695, APOSJ_54693	DROME01373
OG0000075	APOSJ_41648	DROME01375
OG0000075	APOSJ_55514, APOSJ_55515	DROME04883, DROME04882
OG0000078	APOSJ_14796, APOSJ_23304, APOSJ_27928, APOSJ_20704, APOSJ_30834, APOSJ_14320, APOSJ_14319, APOSJ_14324, APOSJ_14321, APOSJ_63175, APOSJ_35742	DROME08886, DROME17179, DROME17177, DROME17181, DROME19588, DROME14308, DROME18161, DROME07301, DROME20111
OG0000078	APOSJ_46646	DROME15695
OG0000079	APOSJ_50875, APOSJ_50877, APOSJ_64501, APOSJ_18723, APOSJ_32515, APOSJ_37152	DROME14752, DROME17573, DROME17572, DROME17571, DROME17570, DROME14753, DROME17315, DROME17314, DROME17316
OG0000079	APOSJ_18254	DROME14749, DROME14748, DROME14747, DROME14750
OG0000079	APOSJ_28991, APOSJ_28990	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810
OG0000079	APOSJ_06559, APOSJ_06558	DROME01298
OG0000082	APOSJ_25535	DROME20298
OG0000082	APOSJ_31175, APOSJ_61283, APOSJ_41067, APOSJ_61284, APOSJ_61286, APOSJ_61287	DROME05998
OG0000082	APOSJ_21613, APOSJ_16506, APOSJ_10644, APOSJ_56248, APOSJ_56249, APOSJ_37517, APOSJ_37516, APOSJ_02572, APOSJ_34950, APOSJ_35579, APOSJ_10643, APOSJ_37511, APOSJ_37512, APOSJ_13539, APOSJ_10647, APOSJ_13536, APOSJ_37518, APOSJ_37514, APOSJ_35568, APOSJ_25153, APOSJ_13541, APOSJ_10646, APOSJ_10645, APOSJ_10640	DROME11174, DROME11173, DROME15008
OG0000082	APOSJ_61585, APOSJ_61586, APOSJ_61587, APOSJ_41845, APOSJ_26454	DROME14666, DROME14429, DROME14428, DROME14566, DROME14568, DROME14567, DROME14565, DROME16705
OG0000083	APOSJ_11498, APOSJ_11497	DROME17112
OG0000083	APOSJ_26285	DROME20486, DROME20487
OG0000084	APOSJ_15697	DROME13292, DROME13291, DROME13289, DROME13290
OG0000084	APOSJ_64503, APOSJ_64502, APOSJ_01190	DROME17344, DROME17343, DROME17345
OG0000085	APOSJ_41027, APOSJ_41023, APOSJ_41020, APOSJ_41026, APOSJ_41024, APOSJ_41021, APOSJ_41025, APOSJ_41022	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133
OG0000085	APOSJ_25761	DROME00999, DROME00998, DROME01000
OG0000085	APOSJ_04663, APOSJ_04662	DROME19740
OG0000087	APOSJ_41352, APOSJ_61505, APOSJ_44974	DROME22088
OG0000087	APOSJ_47955, APOSJ_45252	DROME06460
OG0000087	APOSJ_35199, APOSJ_35197, APOSJ_35195, APOSJ_35198	DROME21450
OG0000087	APOSJ_19002, APOSJ_64596, APOSJ_35346	DROME03097
OG0000087	APOSJ_05721, APOSJ_48488, APOSJ_56321, APOSJ_48487, APOSJ_34708, APOSJ_34709, APOSJ_59532	DROME08842
OG0000087	APOSJ_03507, APOSJ_10114, APOSJ_05717, APOSJ_05719, APOSJ_05715, APOSJ_05716, APOSJ_05720, APOSJ_05718, APOSJ_58727	DROME09495
OG0000089	APOSJ_01323, APOSJ_40758, APOSJ_40759	DROME18066, DROME18069, DROME12817
OG0000090	APOSJ_38878, APOSJ_38877, APOSJ_38876	DROME02752
OG0000090	APOSJ_21259, APOSJ_53542	DROME00161, DROME00160, DROME00159, DROME00158
OG0000090	APOSJ_22326	DROME16241, DROME16240, DROME16239
OG0000091	APOSJ_47851, APOSJ_47852, APOSJ_59618, APOSJ_41218, APOSJ_41215, APOSJ_41219, APOSJ_09663, APOSJ_44248	DROME18437, DROME18438, DROME20481
OG0000094	APOSJ_44228, APOSJ_55244, APOSJ_44217, APOSJ_44221, APOSJ_63079	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879
OG0000094	APOSJ_53754, APOSJ_53752, APOSJ_65048, APOSJ_47218, APOSJ_27262, APOSJ_47216, APOSJ_45516, APOSJ_53755, APOSJ_53750, APOSJ_43553, APOSJ_53751, APOSJ_27263, APOSJ_13209, APOSJ_53749, APOSJ_13205, APOSJ_41126, APOSJ_58382, APOSJ_53747, APOSJ_41131, APOSJ_47213, APOSJ_44712, APOSJ_13203, APOSJ_44716, APOSJ_53748, APOSJ_41124, APOSJ_41129, APOSJ_44710, APOSJ_53753, APOSJ_47217, APOSJ_41133, APOSJ_47215, APOSJ_41125, APOSJ_44715, APOSJ_41128	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341
OG0000095	APOSJ_03627, APOSJ_65068, APOSJ_08274, APOSJ_08273, APOSJ_08272	DROME01438
OG0000096	APOSJ_12412, APOSJ_28828, APOSJ_12411, APOSJ_12410	DROME08195, DROME08196
OG0000096	APOSJ_25046, APOSJ_62713, APOSJ_62712, APOSJ_62714, APOSJ_62715, APOSJ_62711	DROME08870
OG0000096	APOSJ_32190, APOSJ_32193	DROME13163
OG0000096	APOSJ_37126	DROME06400
OG0000096	APOSJ_52836	DROME13915
OG0000096	APOSJ_32708	DROME09341
OG0000098	APOSJ_00048, APOSJ_10129, APOSJ_49520, APOSJ_28774, APOSJ_28779, APOSJ_28777	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214
OG0000099	APOSJ_25133, APOSJ_34675, APOSJ_42170, APOSJ_64579	DROME10335, DROME10334, DROME09743
OG0000099	APOSJ_34532, APOSJ_05873	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996
OG0000101	APOSJ_42943	DROME17779
OG0000101	APOSJ_27406	DROME05458
OG0000103	APOSJ_43912	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989
OG0000103	APOSJ_39175, APOSJ_52145, APOSJ_20990, APOSJ_39172, APOSJ_52143, APOSJ_52149, APOSJ_54042, APOSJ_56932, APOSJ_20989, APOSJ_20986, APOSJ_55632, APOSJ_39176, APOSJ_20985, APOSJ_39174, APOSJ_39173, APOSJ_20988, APOSJ_54037, APOSJ_54009, APOSJ_52142, APOSJ_55627, APOSJ_20987, APOSJ_52148	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439
OG0000104	APOSJ_28792, APOSJ_28791, APOSJ_14343	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670
OG0000104	APOSJ_60992, APOSJ_60994, APOSJ_38695, APOSJ_38692	DROME16895, DROME16894
OG0000104	APOSJ_38440, APOSJ_40832, APOSJ_60308	DROME16546, DROME16548, DROME16547, DROME16549
OG0000104	APOSJ_24715	DROME17321, DROME17322
OG0000106	APOSJ_28496, APOSJ_28495, APOSJ_28494	DROME02609
OG0000106	APOSJ_07800, APOSJ_32795, APOSJ_57641, APOSJ_20665, APOSJ_20666, APOSJ_00824, APOSJ_36967	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895
OG0000111	APOSJ_06931, APOSJ_06932, APOSJ_29940, APOSJ_29941, APOSJ_29942, APOSJ_36757, APOSJ_06818, APOSJ_06821, APOSJ_06819, APOSJ_06820	DROME11971, DROME11972, DROME11973, DROME11975
OG0000113	APOSJ_45448, APOSJ_45447, APOSJ_45451, APOSJ_45449, APOSJ_45446, APOSJ_45450, APOSJ_09650, APOSJ_09651	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762
OG0000114	APOSJ_20449	DROME08662, DROME08648, DROME08661, DROME08653, DROME08652, DROME08663, DROME08649, DROME08654, DROME08664, DROME08658, DROME08655, DROME08660, DROME08657, DROME08659, DROME08656
OG0000114	APOSJ_53151, APOSJ_05706, APOSJ_21558, APOSJ_21559, APOSJ_26937, APOSJ_15991, APOSJ_15324, APOSJ_15329, APOSJ_15326, APOSJ_18172, APOSJ_15328, APOSJ_15331, APOSJ_15330, APOSJ_15327, APOSJ_15323, APOSJ_15325, APOSJ_01155, APOSJ_31591	DROME04013, DROME04512, DROME04513
OG0000116	APOSJ_13923, APOSJ_18880, APOSJ_18879	DROME05231
OG0000117	APOSJ_25875	DROME17123
OG0000119	APOSJ_63143, APOSJ_31038, APOSJ_31040, APOSJ_31039	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501
