Orthogroup	APOSJ_ok	YEAST
OG0000036	APOSJ_00559, APOSJ_00560, APOSJ_09590, APOSJ_59128, APOSJ_28626, APOSJ_23280, APOSJ_40313, APOSJ_57892, APOSJ_57894, APOSJ_44483, APOSJ_44484, APOSJ_09826, APOSJ_07844, APOSJ_32814, APOSJ_07948, APOSJ_04832, APOSJ_25308, APOSJ_03257, APOSJ_07947, APOSJ_32808, APOSJ_56208, APOSJ_19171, APOSJ_64125, APOSJ_37192, APOSJ_32710, APOSJ_16924, APOSJ_44485, APOSJ_44482, APOSJ_49668, APOSJ_49777, APOSJ_42183, APOSJ_42178, APOSJ_53453, APOSJ_49780, APOSJ_34471, APOSJ_42404, APOSJ_48372, APOSJ_48557, APOSJ_48377, APOSJ_48373, APOSJ_48374, APOSJ_42406, APOSJ_42405, APOSJ_00237, APOSJ_00230, APOSJ_00218, APOSJ_17179, APOSJ_05137, APOSJ_05138, APOSJ_31800, APOSJ_05136, APOSJ_07074, APOSJ_07075, APOSJ_52025, APOSJ_18384, APOSJ_18382, APOSJ_18383, APOSJ_21951, APOSJ_21954, APOSJ_57893, APOSJ_57895, APOSJ_33193, APOSJ_10054	YEAST02545, YEAST02806
OG0000037	APOSJ_15752, APOSJ_50446, APOSJ_19669, APOSJ_19640, APOSJ_63529, APOSJ_64474, APOSJ_63530, APOSJ_40888, APOSJ_40889, APOSJ_41930, APOSJ_41929, APOSJ_19984, APOSJ_19985, APOSJ_59245, APOSJ_34355, APOSJ_34356, APOSJ_34354, APOSJ_05458, APOSJ_62847, APOSJ_62846, APOSJ_62845, APOSJ_62844, APOSJ_05457, APOSJ_05456, APOSJ_05455, APOSJ_05454, APOSJ_05453, APOSJ_05452, APOSJ_06751, APOSJ_24879	YEAST03227
OG0000038	APOSJ_54438, APOSJ_11403, APOSJ_11402, APOSJ_06808, APOSJ_11405, APOSJ_10464, APOSJ_44498, APOSJ_44500, APOSJ_05677, APOSJ_26230, APOSJ_08121, APOSJ_08120, APOSJ_07933, APOSJ_58733, APOSJ_16433, APOSJ_12115, APOSJ_12110, APOSJ_44502, APOSJ_26569, APOSJ_44501, APOSJ_44499, APOSJ_44497, APOSJ_30481	YEAST04422, YEAST04379
OG0000043	APOSJ_56130	YEAST00224, YEAST01200
OG0000048	APOSJ_07071, APOSJ_59658, APOSJ_10763, APOSJ_10766, APOSJ_11623, APOSJ_03221, APOSJ_10764, APOSJ_60260, APOSJ_60261, APOSJ_61046, APOSJ_60262, APOSJ_34779, APOSJ_57709, APOSJ_52242, APOSJ_26999, APOSJ_65398, APOSJ_24514, APOSJ_01275, APOSJ_42611, APOSJ_42613, APOSJ_42612, APOSJ_42607, APOSJ_42609, APOSJ_42608, APOSJ_42610, APOSJ_12442	YEAST05707
OG0000054	APOSJ_18612, APOSJ_52518, APOSJ_18611, APOSJ_31400, APOSJ_07291, APOSJ_45891, APOSJ_07290, APOSJ_24181, APOSJ_58354, APOSJ_58353, APOSJ_58350, APOSJ_58351, APOSJ_58352, APOSJ_07760, APOSJ_07758, APOSJ_52019, APOSJ_14269	YEAST01385
OG0000055	APOSJ_19144, APOSJ_56132	YEAST01199, YEAST00225
OG0000058	APOSJ_27364, APOSJ_40682, APOSJ_27363	YEAST02989
OG0000058	APOSJ_14084, APOSJ_62161, APOSJ_01990, APOSJ_45171, APOSJ_56047, APOSJ_62157, APOSJ_01986, APOSJ_12231, APOSJ_01994, APOSJ_62154, APOSJ_01988, APOSJ_62155, APOSJ_62158, APOSJ_62153, APOSJ_01987, APOSJ_01985, APOSJ_19125, APOSJ_01993, APOSJ_19124, APOSJ_01989, APOSJ_62159, APOSJ_01992, APOSJ_62160, APOSJ_01291, APOSJ_51554	YEAST02120
OG0000069	APOSJ_40539, APOSJ_40541, APOSJ_40540	YEAST03661
OG0000069	APOSJ_54585, APOSJ_57084, APOSJ_30273, APOSJ_57079, APOSJ_07076, APOSJ_54570, APOSJ_52419	YEAST05172
OG0000079	APOSJ_50875, APOSJ_50877, APOSJ_64501, APOSJ_18723, APOSJ_32515, APOSJ_37152, APOSJ_18254, APOSJ_28991, APOSJ_28990, APOSJ_06559, APOSJ_06558	YEAST05330
OG0000082	APOSJ_25535	YEAST03287
OG0000082	APOSJ_31175, APOSJ_61283, APOSJ_41067, APOSJ_61284, APOSJ_61286, APOSJ_61287	YEAST04267, YEAST01834, YEAST03359
OG0000082	APOSJ_21613, APOSJ_16506, APOSJ_10644, APOSJ_56248, APOSJ_56249, APOSJ_37517, APOSJ_37516, APOSJ_02572, APOSJ_34950, APOSJ_35579, APOSJ_10643, APOSJ_37511, APOSJ_37512, APOSJ_13539, APOSJ_10647, APOSJ_13536, APOSJ_37518, APOSJ_37514, APOSJ_35568, APOSJ_25153, APOSJ_13541, APOSJ_10646, APOSJ_10645, APOSJ_10640, APOSJ_61585, APOSJ_61586, APOSJ_61587, APOSJ_41845, APOSJ_26454	YEAST03862, YEAST00076, YEAST01992, YEAST00148
OG0000082	APOSJ_60731, APOSJ_39504, APOSJ_61588, APOSJ_10612	YEAST04992, YEAST00735
OG0000095	APOSJ_39248, APOSJ_37770, APOSJ_23399, APOSJ_62237, APOSJ_03627, APOSJ_65068, APOSJ_08274, APOSJ_08273, APOSJ_08272, APOSJ_43782, APOSJ_43781, APOSJ_45895	YEAST02993
OG0000096	APOSJ_12412, APOSJ_28828, APOSJ_12411, APOSJ_12410, APOSJ_25046, APOSJ_62713, APOSJ_62712, APOSJ_62714, APOSJ_62715, APOSJ_62711	YEAST02643
OG0000096	APOSJ_32190, APOSJ_32193	YEAST00638
OG0000096	APOSJ_37126, APOSJ_52836, APOSJ_32708, APOSJ_43628, APOSJ_43632, APOSJ_43630, APOSJ_43631	YEAST05104, YEAST05564
OG0000103	APOSJ_43912, APOSJ_39175, APOSJ_52145, APOSJ_20990, APOSJ_39172, APOSJ_52143, APOSJ_52149, APOSJ_54042, APOSJ_56932, APOSJ_20989, APOSJ_20986, APOSJ_55632, APOSJ_39176, APOSJ_20985, APOSJ_39174, APOSJ_39173, APOSJ_20988, APOSJ_54037, APOSJ_54009, APOSJ_52142, APOSJ_55627, APOSJ_20987, APOSJ_52148	YEAST02873
OG0000107	APOSJ_36420, APOSJ_36419	YEAST05173
OG0000113	APOSJ_45448, APOSJ_45447, APOSJ_45451, APOSJ_45449, APOSJ_45446, APOSJ_45450, APOSJ_09650, APOSJ_09651, APOSJ_01340, APOSJ_18972, APOSJ_18971, APOSJ_29347, APOSJ_19807, APOSJ_60221, APOSJ_60220, APOSJ_26420, APOSJ_01913	YEAST00378, YEAST01351, YEAST05581
OG0000116	APOSJ_13923, APOSJ_18880, APOSJ_18879, APOSJ_36614, APOSJ_44244, APOSJ_44245, APOSJ_64712, APOSJ_64714, APOSJ_25789, APOSJ_40572, APOSJ_40573, APOSJ_40577, APOSJ_53763, APOSJ_40576, APOSJ_40574, APOSJ_07991, APOSJ_21014, APOSJ_34610, APOSJ_34612, APOSJ_34614, APOSJ_34616, APOSJ_34613, APOSJ_54915, APOSJ_34611, APOSJ_50450, APOSJ_24624, APOSJ_25533, APOSJ_25534, APOSJ_46060	YEAST04456
OG0000122	APOSJ_30607, APOSJ_30504, APOSJ_02725, APOSJ_30611, APOSJ_54367, APOSJ_60850, APOSJ_30506, APOSJ_50219, APOSJ_38086, APOSJ_60844, APOSJ_30501, APOSJ_21306, APOSJ_47766, APOSJ_23688, APOSJ_60845, APOSJ_26180, APOSJ_30499, APOSJ_54363, APOSJ_54362, APOSJ_30502, APOSJ_30609, APOSJ_54361, APOSJ_46966, APOSJ_46967, APOSJ_58242, APOSJ_58243, APOSJ_58241, APOSJ_58240	YEAST04928
OG0000124	APOSJ_39871, APOSJ_49014, APOSJ_23030, APOSJ_23033, APOSJ_14455, APOSJ_23031, APOSJ_23028, APOSJ_49016, APOSJ_49026, APOSJ_49027, APOSJ_46416, APOSJ_23035, APOSJ_39873, APOSJ_23032, APOSJ_49018, APOSJ_23034, APOSJ_23029, APOSJ_49028	YEAST05021
OG0000124	APOSJ_59420, APOSJ_59425, APOSJ_59424	YEAST01581, YEAST05113, YEAST03767
OG0000124	APOSJ_08149	YEAST04122
OG0000127	APOSJ_55791, APOSJ_36881, APOSJ_36882, APOSJ_56097, APOSJ_01546, APOSJ_07825, APOSJ_07827, APOSJ_07824	YEAST06208
OG0000128	APOSJ_58149	YEAST03441
OG0000132	APOSJ_29417, APOSJ_00018, APOSJ_58729, APOSJ_55099, APOSJ_44642, APOSJ_44626, APOSJ_24048, APOSJ_24047, APOSJ_24262	YEAST06016
OG0000137	APOSJ_42497, APOSJ_00679, APOSJ_16815, APOSJ_26755, APOSJ_37291, APOSJ_26754, APOSJ_27618, APOSJ_64294, APOSJ_64296, APOSJ_64444, APOSJ_64297, APOSJ_47355, APOSJ_57809, APOSJ_57807, APOSJ_34855, APOSJ_34857, APOSJ_34856, APOSJ_34858	YEAST01851, YEAST00637
OG0000142	APOSJ_04660, APOSJ_22683, APOSJ_00412, APOSJ_44595, APOSJ_00413, APOSJ_53720, APOSJ_32104, APOSJ_07082, APOSJ_32108, APOSJ_32109, APOSJ_34618, APOSJ_07086, APOSJ_32106, APOSJ_07087, APOSJ_04135, APOSJ_07085, APOSJ_07084, APOSJ_32105	YEAST02122
OG0000157	APOSJ_23026, APOSJ_23027	YEAST02851
OG0000158	APOSJ_25043, APOSJ_26529, APOSJ_05724, APOSJ_26528, APOSJ_25037, APOSJ_25038, APOSJ_26527, APOSJ_05726, APOSJ_25039, APOSJ_25040, APOSJ_05725, APOSJ_25041, APOSJ_64741, APOSJ_64736, APOSJ_64743, APOSJ_34847, APOSJ_34846, APOSJ_34844, APOSJ_64737, APOSJ_64739, APOSJ_64740, APOSJ_64742, APOSJ_34843, APOSJ_64738, APOSJ_34842, APOSJ_34845	YEAST05568
OG0000160	APOSJ_38883, APOSJ_08872, APOSJ_08871, APOSJ_08870, APOSJ_56570, APOSJ_08869	YEAST04194
OG0000175	APOSJ_13573, APOSJ_13574, APOSJ_27763, APOSJ_58971, APOSJ_27761, APOSJ_22200, APOSJ_22197, APOSJ_22199, APOSJ_22198, APOSJ_22195, APOSJ_22196, APOSJ_24441, APOSJ_15796, APOSJ_56702, APOSJ_04647, APOSJ_12626, APOSJ_14135, APOSJ_12624, APOSJ_12625, APOSJ_54026, APOSJ_47826, APOSJ_31805, APOSJ_31806, APOSJ_21511, APOSJ_21482, APOSJ_43588, APOSJ_43589, APOSJ_43590	YEAST00850, YEAST04327
OG0000179	APOSJ_64067	YEAST01123, YEAST04430
OG0000179	APOSJ_40922, APOSJ_56869, APOSJ_56870, APOSJ_56868	YEAST02911, YEAST01281
OG0000179	APOSJ_03452, APOSJ_03454, APOSJ_03450, APOSJ_03453	YEAST04108, YEAST03346
OG0000181	APOSJ_05606, APOSJ_15339, APOSJ_30731, APOSJ_30734, APOSJ_15338, APOSJ_62302, APOSJ_62305, APOSJ_55305, APOSJ_47406, APOSJ_43145, APOSJ_01572, APOSJ_22144, APOSJ_22141, APOSJ_10650	YEAST00824, YEAST00771
OG0000186	APOSJ_18236, APOSJ_34207, APOSJ_30283	YEAST00336
OG0000194	APOSJ_02603, APOSJ_60106, APOSJ_48624, APOSJ_48623, APOSJ_42492, APOSJ_36544, APOSJ_42493, APOSJ_28376, APOSJ_15395, APOSJ_26062, APOSJ_26057, APOSJ_26060, APOSJ_26063, APOSJ_26059, APOSJ_26061, APOSJ_33247, APOSJ_26058, APOSJ_24355, APOSJ_24356, APOSJ_24357, APOSJ_45266, APOSJ_62558, APOSJ_47527, APOSJ_41771, APOSJ_41769, APOSJ_41767, APOSJ_41768, APOSJ_31690, APOSJ_54027, APOSJ_54025, APOSJ_63227, APOSJ_63228	YEAST01410
OG0000195	APOSJ_44360, APOSJ_28008, APOSJ_60208, APOSJ_64163, APOSJ_57397, APOSJ_54331, APOSJ_33123, APOSJ_33131, APOSJ_28788, APOSJ_28784, APOSJ_33125, APOSJ_33124, APOSJ_28790, APOSJ_28785, APOSJ_33127, APOSJ_28786, APOSJ_33132, APOSJ_26936, APOSJ_33126, APOSJ_28787, APOSJ_64735, APOSJ_28789, APOSJ_05187, APOSJ_05186, APOSJ_41993, APOSJ_53408	YEAST03414
OG0000211	APOSJ_58985, APOSJ_58986, APOSJ_60833, APOSJ_60832, APOSJ_53175, APOSJ_25074, APOSJ_25075, APOSJ_12610, APOSJ_12609	YEAST04964
OG0000221	APOSJ_13257, APOSJ_13258, APOSJ_13256, APOSJ_13255, APOSJ_04867, APOSJ_04868, APOSJ_04866, APOSJ_04870, APOSJ_30289, APOSJ_04869, APOSJ_41494	YEAST05872
OG0000222	APOSJ_34375, APOSJ_16290, APOSJ_01545, APOSJ_34379, APOSJ_34378, APOSJ_34377, APOSJ_34374, APOSJ_34373, APOSJ_34376, APOSJ_39633, APOSJ_39634, APOSJ_03427, APOSJ_03424, APOSJ_03422, APOSJ_42673, APOSJ_21374, APOSJ_03425, APOSJ_42675, APOSJ_42674, APOSJ_42671, APOSJ_03426, APOSJ_01543, APOSJ_42672, APOSJ_35367, APOSJ_21385, APOSJ_03423, APOSJ_11890, APOSJ_65101	YEAST01460
OG0000225	APOSJ_56112, APOSJ_56106, APOSJ_56110, APOSJ_56105, APOSJ_08401, APOSJ_32914, APOSJ_23325, APOSJ_22097, APOSJ_37698	YEAST06146
OG0000227	APOSJ_17769, APOSJ_60835, APOSJ_48892, APOSJ_48893, APOSJ_48894, APOSJ_44126, APOSJ_46997	YEAST05815
OG0000228	APOSJ_43814, APOSJ_43817, APOSJ_43816, APOSJ_43820, APOSJ_48212, APOSJ_43818, APOSJ_48210, APOSJ_43815, APOSJ_43821, APOSJ_48211, APOSJ_43813, APOSJ_43819, APOSJ_54021, APOSJ_00931, APOSJ_54022, APOSJ_00932, APOSJ_16463, APOSJ_16462	YEAST04750
OG0000233	APOSJ_36405, APOSJ_52542, APOSJ_52541, APOSJ_57824, APOSJ_06249, APOSJ_52540, APOSJ_52539, APOSJ_20084, APOSJ_62555, APOSJ_20087, APOSJ_20086, APOSJ_20085, APOSJ_20088, APOSJ_62546, APOSJ_20089	YEAST03726, YEAST03241, YEAST03242
OG0000238	APOSJ_43610, APOSJ_60751, APOSJ_43222, APOSJ_43221, APOSJ_16308, APOSJ_16311, APOSJ_16310, APOSJ_16307, APOSJ_16309, APOSJ_38410, APOSJ_46782	YEAST06340, YEAST03834
OG0000240	APOSJ_51868, APOSJ_63263, APOSJ_42436, APOSJ_32870, APOSJ_60603, APOSJ_37146, APOSJ_32470, APOSJ_37144, APOSJ_31253, APOSJ_31252, APOSJ_03996, APOSJ_43078, APOSJ_35351, APOSJ_35350	YEAST03827
OG0000242	APOSJ_23124, APOSJ_43447, APOSJ_03687, APOSJ_12465, APOSJ_12468, APOSJ_09368, APOSJ_09367, APOSJ_19789, APOSJ_37639, APOSJ_39464, APOSJ_33279	YEAST00734
OG0000246	APOSJ_21972, APOSJ_21971, APOSJ_46843, APOSJ_52564, APOSJ_52567, APOSJ_63366, APOSJ_35609, APOSJ_46825, APOSJ_07473, APOSJ_01203, APOSJ_52213, APOSJ_51549	YEAST01746, YEAST01747
OG0000250	APOSJ_60690, APOSJ_57034, APOSJ_60689, APOSJ_60692, APOSJ_53139, APOSJ_53140, APOSJ_60092, APOSJ_51321, APOSJ_51318, APOSJ_51320, APOSJ_51319	YEAST04716
OG0000255	APOSJ_01412, APOSJ_24935, APOSJ_24934, APOSJ_62122, APOSJ_45044, APOSJ_46251, APOSJ_46252, APOSJ_26719, APOSJ_37115, APOSJ_26473, APOSJ_55649, APOSJ_56213, APOSJ_56214	YEAST02822
OG0000256	APOSJ_45844, APOSJ_43806, APOSJ_43805, APOSJ_43809, APOSJ_43807, APOSJ_43808, APOSJ_45843, APOSJ_45847, APOSJ_19566, APOSJ_45846, APOSJ_45845, APOSJ_54166, APOSJ_38392, APOSJ_60459, APOSJ_20221, APOSJ_60460, APOSJ_60458	YEAST00266
OG0000258	APOSJ_00092, APOSJ_00089, APOSJ_00090, APOSJ_57414, APOSJ_57413, APOSJ_53401, APOSJ_57412, APOSJ_60951, APOSJ_09320, APOSJ_39739, APOSJ_39738, APOSJ_48255, APOSJ_00091, APOSJ_00093, APOSJ_12496	YEAST00118
OG0000260	APOSJ_21486, APOSJ_04202, APOSJ_04204, APOSJ_04201, APOSJ_60622, APOSJ_21488, APOSJ_25318, APOSJ_60617, APOSJ_60625, APOSJ_60623, APOSJ_21489, APOSJ_36845, APOSJ_04203, APOSJ_15738, APOSJ_63138, APOSJ_15737, APOSJ_21487, APOSJ_20591, APOSJ_21490, APOSJ_21491, APOSJ_60620, APOSJ_04208, APOSJ_12310, APOSJ_63081, APOSJ_21485, APOSJ_33668, APOSJ_04205, APOSJ_04206, APOSJ_21492, APOSJ_15739, APOSJ_60621, APOSJ_21484, APOSJ_04207, APOSJ_25434, APOSJ_27182, APOSJ_39526, APOSJ_27181, APOSJ_27186, APOSJ_25435, APOSJ_27184, APOSJ_39524, APOSJ_25418, APOSJ_27968	YEAST04323
OG0000265	APOSJ_20018, APOSJ_20017, APOSJ_20015, APOSJ_62181	YEAST03885, YEAST03714
OG0000272	APOSJ_06431, APOSJ_21681, APOSJ_29129, APOSJ_29127, APOSJ_51745, APOSJ_44365, APOSJ_51736, APOSJ_09558, APOSJ_43079, APOSJ_61577, APOSJ_54783	YEAST02076, YEAST01066
OG0000274	APOSJ_43739, APOSJ_01089, APOSJ_19441, APOSJ_34030, APOSJ_45319, APOSJ_10336, APOSJ_39219, APOSJ_22341, APOSJ_34035, APOSJ_39217, APOSJ_34028, APOSJ_34031, APOSJ_34032, APOSJ_39220, APOSJ_34033, APOSJ_50637, APOSJ_34029	YEAST02118, YEAST04573, YEAST01485
OG0000278	APOSJ_45090, APOSJ_45682	YEAST03806
OG0000284	APOSJ_10417, APOSJ_10418, APOSJ_10415, APOSJ_10416, APOSJ_18390, APOSJ_46284, APOSJ_03823, APOSJ_03826, APOSJ_39193, APOSJ_17348, APOSJ_28614, APOSJ_45228, APOSJ_45230, APOSJ_45231, APOSJ_39192, APOSJ_45218	YEAST05621
OG0000289	APOSJ_33157, APOSJ_33156, APOSJ_09855, APOSJ_33872, APOSJ_27993, APOSJ_65375, APOSJ_27991, APOSJ_27992, APOSJ_30539, APOSJ_52482	YEAST00645
OG0000305	APOSJ_16809, APOSJ_16810, APOSJ_40824, APOSJ_24775, APOSJ_40822, APOSJ_40821, APOSJ_56693, APOSJ_55257, APOSJ_40827, APOSJ_56694, APOSJ_56692, APOSJ_40823, APOSJ_40826, APOSJ_56696, APOSJ_40820, APOSJ_56695, APOSJ_61171, APOSJ_39800, APOSJ_61170, APOSJ_61172	YEAST04899
OG0000308	APOSJ_09139, APOSJ_09140, APOSJ_35582, APOSJ_35581, APOSJ_35580, APOSJ_35583, APOSJ_40837, APOSJ_40841, APOSJ_40844, APOSJ_40838, APOSJ_40836, APOSJ_40835, APOSJ_40840, APOSJ_40839, APOSJ_60204, APOSJ_60205, APOSJ_60207, APOSJ_60206	YEAST02548
OG0000310	APOSJ_34690, APOSJ_21748, APOSJ_34686, APOSJ_34691, APOSJ_22349, APOSJ_34687, APOSJ_34685, APOSJ_34688, APOSJ_12438, APOSJ_18029, APOSJ_12437, APOSJ_18026, APOSJ_18239, APOSJ_25168, APOSJ_56891, APOSJ_32507, APOSJ_15635, APOSJ_15633, APOSJ_15634, APOSJ_30536, APOSJ_17518	YEAST02635
OG0000312	APOSJ_39476, APOSJ_46872, APOSJ_22704, APOSJ_22705, APOSJ_22709, APOSJ_22708, APOSJ_22706, APOSJ_22707, APOSJ_32409, APOSJ_32410	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102
OG0000313	APOSJ_22012, APOSJ_03535, APOSJ_03534, APOSJ_03533, APOSJ_11709, APOSJ_53793	YEAST05106
OG0000315	APOSJ_07723, APOSJ_07722, APOSJ_07724, APOSJ_07725	YEAST04684
OG0000316	APOSJ_18404, APOSJ_18403, APOSJ_36496, APOSJ_36497, APOSJ_64934, APOSJ_10285, APOSJ_52805	YEAST01673
