Orthogroup	APOSJ_ok	SACKO_ok
OG0000001	APOSJ_62573, APOSJ_49921, APOSJ_44200, APOSJ_44199, APOSJ_61464, APOSJ_61463, APOSJ_31549, APOSJ_31548, APOSJ_61758, APOSJ_36028, APOSJ_08947, APOSJ_08949, APOSJ_08948, APOSJ_38838, APOSJ_25728, APOSJ_31189, APOSJ_25730, APOSJ_25727, APOSJ_39037, APOSJ_44320, APOSJ_26026, APOSJ_23152, APOSJ_36498	SACKO_32181, SACKO_32204, SACKO_09602, SACKO_09587, SACKO_09589, SACKO_09586, SACKO_09607, SACKO_09600, SACKO_09584, SACKO_09591, SACKO_09592
OG0000002	APOSJ_36413	SACKO_14603
OG0000002	APOSJ_41244, APOSJ_49613, APOSJ_35530, APOSJ_35532, APOSJ_35531, APOSJ_22870	SACKO_11085
OG0000002	APOSJ_50646, APOSJ_61186, APOSJ_47171	SACKO_06701, SACKO_06700, SACKO_21327, SACKO_06693, SACKO_17170, SACKO_06704, SACKO_06690, SACKO_06691, SACKO_06696, SACKO_12813, SACKO_06698, SACKO_21313, SACKO_21320, SACKO_08727, SACKO_08706
OG0000002	APOSJ_32422, APOSJ_05886, APOSJ_09049, APOSJ_21222, APOSJ_21226, APOSJ_56330, APOSJ_56332, APOSJ_57911, APOSJ_56329, APOSJ_54856, APOSJ_21227, APOSJ_09048, APOSJ_38446, APOSJ_40855, APOSJ_40858, APOSJ_11585, APOSJ_46757, APOSJ_40854, APOSJ_31322, APOSJ_42507, APOSJ_51187	SACKO_18605, SACKO_04997, SACKO_05015, SACKO_02276
OG0000002	APOSJ_16645, APOSJ_07327	SACKO_21130
OG0000002	APOSJ_21931	SACKO_00245, SACKO_00252
OG0000003	APOSJ_24854	SACKO_29380
OG0000003	APOSJ_28104, APOSJ_21473, APOSJ_28537	SACKO_25210, SACKO_25215
OG0000003	APOSJ_43600	SACKO_27116
OG0000003	APOSJ_12157, APOSJ_25443	SACKO_05907
OG0000004	APOSJ_28748, APOSJ_28747	SACKO_02249
OG0000004	APOSJ_41801, APOSJ_41800, APOSJ_62352, APOSJ_41802	SACKO_16987
OG0000004	APOSJ_41012, APOSJ_39023, APOSJ_64853, APOSJ_64854, APOSJ_51805, APOSJ_51803, APOSJ_51802, APOSJ_51801, APOSJ_51799, APOSJ_24222, APOSJ_24219, APOSJ_05113, APOSJ_05111, APOSJ_64856, APOSJ_64852, APOSJ_31665, APOSJ_24225, APOSJ_24224, APOSJ_24223, APOSJ_24221, APOSJ_24220, APOSJ_05118, APOSJ_05117, APOSJ_05116, APOSJ_05114	SACKO_20132
OG0000005	APOSJ_41990, APOSJ_64784, APOSJ_14605, APOSJ_30108, APOSJ_32957, APOSJ_50291, APOSJ_50290, APOSJ_15668, APOSJ_15669, APOSJ_15667	SACKO_14812
OG0000005	APOSJ_43563	SACKO_00533, SACKO_15074
OG0000005	APOSJ_31537	SACKO_15042
OG0000005	APOSJ_58392, APOSJ_58393	SACKO_08146
OG0000005	APOSJ_31844, APOSJ_31845, APOSJ_31849, APOSJ_31847, APOSJ_25648, APOSJ_14100	SACKO_03236
OG0000005	APOSJ_28565, APOSJ_22524, APOSJ_48942, APOSJ_07813, APOSJ_10177, APOSJ_10170, APOSJ_30095	SACKO_00899, SACKO_02650, SACKO_00900
OG0000006	APOSJ_12203, APOSJ_12202, APOSJ_12204	SACKO_21129
OG0000006	APOSJ_14510	SACKO_11503
OG0000006	APOSJ_43757	SACKO_02616
OG0000006	APOSJ_51998, APOSJ_52011, APOSJ_51992, APOSJ_23178	SACKO_13650
OG0000006	APOSJ_52128	SACKO_15817
OG0000006	APOSJ_22887	SACKO_15812
OG0000006	APOSJ_25002	SACKO_32444
OG0000006	APOSJ_24425, APOSJ_24424	SACKO_12590
OG0000006	APOSJ_38154	SACKO_06429
OG0000006	APOSJ_46492	SACKO_20803
OG0000007	APOSJ_59584	SACKO_33112
OG0000007	APOSJ_54414, APOSJ_55946, APOSJ_54415	SACKO_16486
OG0000007	APOSJ_59909	SACKO_25751
OG0000007	APOSJ_46494	SACKO_17363
OG0000007	APOSJ_04151	SACKO_03410
OG0000007	APOSJ_32909	SACKO_33128
OG0000007	APOSJ_33751	SACKO_22717
OG0000007	APOSJ_45510, APOSJ_50337	SACKO_27771
OG0000007	APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417	SACKO_27817
OG0000007	APOSJ_06582, APOSJ_20594	SACKO_00927
OG0000007	APOSJ_16847, APOSJ_57982, APOSJ_16846	SACKO_02233
OG0000007	APOSJ_61120, APOSJ_64094, APOSJ_61123, APOSJ_61124, APOSJ_61122, APOSJ_61121	SACKO_03579
OG0000007	APOSJ_33873, APOSJ_55281, APOSJ_26156, APOSJ_33878	SACKO_31102, SACKO_31073
OG0000007	APOSJ_55940, APOSJ_55941	SACKO_11981
OG0000008	APOSJ_26935, APOSJ_25092, APOSJ_24812	SACKO_09217
OG0000008	APOSJ_08880	SACKO_31986, SACKO_33937, SACKO_05540
OG0000008	APOSJ_63140, APOSJ_63139, APOSJ_65328, APOSJ_41882, APOSJ_18021, APOSJ_18020, APOSJ_07175, APOSJ_32183	SACKO_07048
OG0000008	APOSJ_42337, APOSJ_52394, APOSJ_22900, APOSJ_49999, APOSJ_52396, APOSJ_52392, APOSJ_08921, APOSJ_58249, APOSJ_58247, APOSJ_08951, APOSJ_58246	SACKO_00440, SACKO_12800
OG0000009	APOSJ_42413, APOSJ_58003, APOSJ_57999	SACKO_01914
OG0000010	APOSJ_03628	SACKO_12952, SACKO_12967, SACKO_01342, SACKO_30645
OG0000010	APOSJ_36301, APOSJ_36300, APOSJ_03568, APOSJ_03074	SACKO_22527, SACKO_09182
OG0000011	APOSJ_62559, APOSJ_16662, APOSJ_58824, APOSJ_37653, APOSJ_37652, APOSJ_55526, APOSJ_64837, APOSJ_25699, APOSJ_25700, APOSJ_25698, APOSJ_25688, APOSJ_14502, APOSJ_17494, APOSJ_12065, APOSJ_65282, APOSJ_53792, APOSJ_01874, APOSJ_41471, APOSJ_25283, APOSJ_25285, APOSJ_31966, APOSJ_35318, APOSJ_21982, APOSJ_27428, APOSJ_62277, APOSJ_49051, APOSJ_29636, APOSJ_29638, APOSJ_54676, APOSJ_31861, APOSJ_00009, APOSJ_00010, APOSJ_61177, APOSJ_59189, APOSJ_34393, APOSJ_49591, APOSJ_58988, APOSJ_31311, APOSJ_57622, APOSJ_64527, APOSJ_57621, APOSJ_52511, APOSJ_52510, APOSJ_52509, APOSJ_52676, APOSJ_47306, APOSJ_12931, APOSJ_25047, APOSJ_12932, APOSJ_19075, APOSJ_19074, APOSJ_02231, APOSJ_02230, APOSJ_02232, APOSJ_13434, APOSJ_24519, APOSJ_52847, APOSJ_60286	SACKO_22764
OG0000012	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902, APOSJ_08161, APOSJ_08160	SACKO_25852, SACKO_05170, SACKO_05236, SACKO_05231, SACKO_27422, SACKO_01346, SACKO_05227, SACKO_05213, SACKO_06922, SACKO_10565
OG0000012	APOSJ_08662	SACKO_06077
OG0000012	APOSJ_20422	SACKO_01736
OG0000013	APOSJ_33158, APOSJ_40794, APOSJ_56288, APOSJ_13713, APOSJ_22815, APOSJ_35010, APOSJ_22807, APOSJ_22820, APOSJ_53227, APOSJ_22812	SACKO_02509, SACKO_16247
OG0000014	APOSJ_22104, APOSJ_22107, APOSJ_22108, APOSJ_22106, APOSJ_22105	SACKO_03371, SACKO_03415, SACKO_03391, SACKO_22208, SACKO_17210, SACKO_07037
OG0000014	APOSJ_53128, APOSJ_57940, APOSJ_51674, APOSJ_39040, APOSJ_00798, APOSJ_00799, APOSJ_23863, APOSJ_61319, APOSJ_61320, APOSJ_26115, APOSJ_26117	SACKO_08621
OG0000014	APOSJ_28331, APOSJ_28332	SACKO_13283
OG0000015	APOSJ_56210	SACKO_31692
OG0000015	APOSJ_42624, APOSJ_59632, APOSJ_31277, APOSJ_59631, APOSJ_43143, APOSJ_31279	SACKO_07983
OG0000015	APOSJ_62317, APOSJ_51506, APOSJ_06725	SACKO_01122, SACKO_01126
OG0000015	APOSJ_04715	SACKO_09494
OG0000015	APOSJ_53813, APOSJ_50846, APOSJ_50844	SACKO_31697
OG0000016	APOSJ_25810, APOSJ_25809	SACKO_08552, SACKO_02763, SACKO_27519
OG0000016	APOSJ_38950, APOSJ_38952, APOSJ_43457	SACKO_31968
OG0000016	APOSJ_49455, APOSJ_50025, APOSJ_49454, APOSJ_40337	SACKO_06844
OG0000016	APOSJ_06716, APOSJ_06717	SACKO_19317, SACKO_06877, SACKO_04946
OG0000016	APOSJ_45352, APOSJ_32030, APOSJ_32038, APOSJ_05163, APOSJ_32039, APOSJ_32033, APOSJ_32031, APOSJ_56442, APOSJ_56443, APOSJ_56445, APOSJ_56441	SACKO_23373, SACKO_07103, SACKO_18319
OG0000016	APOSJ_31207	SACKO_14898
OG0000016	APOSJ_03790	SACKO_26527
OG0000016	APOSJ_58384	SACKO_06390
OG0000016	APOSJ_11248	SACKO_10752, SACKO_25451, SACKO_06368, SACKO_16222, SACKO_01152, SACKO_01198, SACKO_02850, SACKO_02856, SACKO_23460, SACKO_02844, SACKO_00542, SACKO_04938, SACKO_04247, SACKO_12793, SACKO_30133, SACKO_06151, SACKO_06139, SACKO_16244, SACKO_18686, SACKO_27061, SACKO_06906, SACKO_06367, SACKO_06917
OG0000017	APOSJ_49266, APOSJ_49264, APOSJ_55396, APOSJ_52652, APOSJ_52651, APOSJ_34254, APOSJ_34253, APOSJ_34255, APOSJ_34251, APOSJ_33972, APOSJ_33973, APOSJ_11055	SACKO_32297
OG0000017	APOSJ_26995, APOSJ_52034, APOSJ_55397	SACKO_00987, SACKO_29799
OG0000017	APOSJ_61685	SACKO_25642
OG0000018	APOSJ_32266, APOSJ_22620	SACKO_21669, SACKO_17074
OG0000018	APOSJ_12404, APOSJ_49135, APOSJ_49134, APOSJ_02340, APOSJ_02344, APOSJ_62914	SACKO_20752
OG0000019	APOSJ_25021	SACKO_05035
OG0000019	APOSJ_63124	SACKO_20530, SACKO_31918, SACKO_29250, SACKO_29837, SACKO_29254
OG0000019	APOSJ_50969	SACKO_34115
OG0000019	APOSJ_58483	SACKO_32997, SACKO_06343, SACKO_26551, SACKO_34158, SACKO_09261, SACKO_14219, SACKO_09585, SACKO_04627, SACKO_12671
OG0000019	APOSJ_01085, APOSJ_65350, APOSJ_05565, APOSJ_64003, APOSJ_65353, APOSJ_05564, APOSJ_34752, APOSJ_65005, APOSJ_65352, APOSJ_65351, APOSJ_05568, APOSJ_64006, APOSJ_64005, APOSJ_07876, APOSJ_64004, APOSJ_48618, APOSJ_48619, APOSJ_48616, APOSJ_16280, APOSJ_48620, APOSJ_48621, APOSJ_30953	SACKO_10721
OG0000020	APOSJ_38031	SACKO_34195
OG0000020	APOSJ_03215	SACKO_22951
OG0000020	APOSJ_60863, APOSJ_38143, APOSJ_60862	SACKO_32378
OG0000020	APOSJ_44342, APOSJ_44340, APOSJ_44341	SACKO_15147
OG0000020	APOSJ_25225, APOSJ_25228, APOSJ_25227, APOSJ_25226, APOSJ_25224, APOSJ_25223	SACKO_20642
OG0000020	APOSJ_17336, APOSJ_17335	SACKO_26124
OG0000020	APOSJ_45822, APOSJ_45820, APOSJ_45821	SACKO_23553
OG0000020	APOSJ_34911, APOSJ_34912, APOSJ_34909, APOSJ_34910	SACKO_16107, SACKO_20105
OG0000020	APOSJ_51246, APOSJ_35639	SACKO_15854
OG0000020	APOSJ_08125, APOSJ_51104	SACKO_20295
OG0000020	APOSJ_16758	SACKO_29670
OG0000020	APOSJ_38030, APOSJ_38032	SACKO_04148
OG0000020	APOSJ_64610, APOSJ_31490	SACKO_24638
OG0000020	APOSJ_45120	SACKO_04828
OG0000021	APOSJ_55570, APOSJ_22670, APOSJ_48399, APOSJ_48398, APOSJ_48401, APOSJ_48402, APOSJ_48404, APOSJ_26218	SACKO_17226, SACKO_17242, SACKO_17184
OG0000021	APOSJ_47375, APOSJ_47376	SACKO_24549
OG0000021	APOSJ_50915	SACKO_04567
OG0000021	APOSJ_16738, APOSJ_16737, APOSJ_16740, APOSJ_16736	SACKO_33152
OG0000021	APOSJ_56015, APOSJ_08859	SACKO_29742
OG0000021	APOSJ_16640, APOSJ_16638	SACKO_31258, SACKO_00486, SACKO_14364, SACKO_10771, SACKO_11695, SACKO_09800, SACKO_24631
OG0000021	APOSJ_34733, APOSJ_17339, APOSJ_22470, APOSJ_22469, APOSJ_16747, APOSJ_22471, APOSJ_33890, APOSJ_34732, APOSJ_64645, APOSJ_43284, APOSJ_00001, APOSJ_41267, APOSJ_41269, APOSJ_41268, APOSJ_41270, APOSJ_41946, APOSJ_13685, APOSJ_41948, APOSJ_41949, APOSJ_63243, APOSJ_38075, APOSJ_38077, APOSJ_38079, APOSJ_38078, APOSJ_38076, APOSJ_38073, APOSJ_38080, APOSJ_38074, APOSJ_38072, APOSJ_31173, APOSJ_63744, APOSJ_63745	SACKO_25838
OG0000021	APOSJ_46341, APOSJ_46342, APOSJ_14192, APOSJ_54489, APOSJ_54488	SACKO_24640
OG0000023	APOSJ_12541	SACKO_10529
OG0000023	APOSJ_14254, APOSJ_65297, APOSJ_31405, APOSJ_14258, APOSJ_14259, APOSJ_31406, APOSJ_19021, APOSJ_14257, APOSJ_14256, APOSJ_14255, APOSJ_14253, APOSJ_27677, APOSJ_27676, APOSJ_27675, APOSJ_27674, APOSJ_01239	SACKO_06926
OG0000023	APOSJ_01093, APOSJ_01092, APOSJ_01091	SACKO_14770
OG0000023	APOSJ_42179	SACKO_29082, SACKO_29077
OG0000023	APOSJ_00272	SACKO_02636, SACKO_32832, SACKO_04746, SACKO_21615, SACKO_02641, SACKO_06924
OG0000024	APOSJ_61037, APOSJ_54994	SACKO_13222
OG0000025	APOSJ_62497, APOSJ_37445, APOSJ_37447, APOSJ_37448, APOSJ_50888, APOSJ_50889, APOSJ_22933, APOSJ_37444, APOSJ_56575, APOSJ_07839, APOSJ_37446, APOSJ_52769, APOSJ_59374	SACKO_19443
OG0000025	APOSJ_36461, APOSJ_25081, APOSJ_35501, APOSJ_50150, APOSJ_50148, APOSJ_22934, APOSJ_22936, APOSJ_22935, APOSJ_62923, APOSJ_51354, APOSJ_30130, APOSJ_36422, APOSJ_24265, APOSJ_24263, APOSJ_24261, APOSJ_62496, APOSJ_21548, APOSJ_57502	SACKO_21220
OG0000025	APOSJ_40203, APOSJ_18926, APOSJ_49254, APOSJ_08542, APOSJ_00709, APOSJ_00710, APOSJ_31778, APOSJ_31779, APOSJ_31780, APOSJ_35118, APOSJ_61680, APOSJ_61679, APOSJ_61678, APOSJ_24072, APOSJ_60332, APOSJ_29178, APOSJ_23732, APOSJ_23733, APOSJ_31291, APOSJ_31292, APOSJ_21544, APOSJ_21546, APOSJ_21547, APOSJ_05694, APOSJ_39166, APOSJ_21545, APOSJ_21543, APOSJ_26122, APOSJ_26128, APOSJ_33728, APOSJ_26125, APOSJ_02655, APOSJ_02652	SACKO_13340
OG0000025	APOSJ_29806, APOSJ_06201, APOSJ_57840, APOSJ_45165, APOSJ_40043, APOSJ_52771, APOSJ_31676, APOSJ_57603, APOSJ_57606, APOSJ_64591, APOSJ_01272, APOSJ_34348	SACKO_20772, SACKO_33394, SACKO_06338
OG0000026	APOSJ_59563	SACKO_19144
OG0000026	APOSJ_61877, APOSJ_61922, APOSJ_14352, APOSJ_14353	SACKO_23233
OG0000026	APOSJ_58273, APOSJ_64303	SACKO_30546, SACKO_02606, SACKO_02595, SACKO_02609, SACKO_24097
OG0000026	APOSJ_19082, APOSJ_19084, APOSJ_19083, APOSJ_14166, APOSJ_53551, APOSJ_63979, APOSJ_46283, APOSJ_28315, APOSJ_01642, APOSJ_47589, APOSJ_31703, APOSJ_43474	SACKO_15830
OG0000026	APOSJ_20027	SACKO_19336, SACKO_18847
OG0000026	APOSJ_00259, APOSJ_43475	SACKO_24091
OG0000027	APOSJ_44006, APOSJ_46288, APOSJ_53652, APOSJ_41604, APOSJ_51651, APOSJ_51649, APOSJ_51653, APOSJ_19117, APOSJ_19116, APOSJ_41617, APOSJ_64839, APOSJ_09102, APOSJ_31251, APOSJ_15397, APOSJ_53968, APOSJ_63686, APOSJ_42018, APOSJ_42017	SACKO_16243, SACKO_16215, SACKO_20907, SACKO_20901, SACKO_20909, SACKO_20913, SACKO_20906, SACKO_20908, SACKO_20904, SACKO_01887, SACKO_01902, SACKO_24465, SACKO_19838, SACKO_12782, SACKO_13981
OG0000028	APOSJ_19821, APOSJ_19822, APOSJ_19823, APOSJ_19820	SACKO_00031, SACKO_00042, SACKO_00048, SACKO_00060
OG0000028	APOSJ_13110	SACKO_21235
OG0000028	APOSJ_00353	SACKO_32628
OG0000028	APOSJ_13359, APOSJ_13358	SACKO_00054, SACKO_29910
OG0000028	APOSJ_31043, APOSJ_25716, APOSJ_25715, APOSJ_57817	SACKO_21077, SACKO_21076, SACKO_18955, SACKO_29407
OG0000029	APOSJ_32485	SACKO_27642, SACKO_27630, SACKO_27646, SACKO_08652, SACKO_02246, SACKO_27633, SACKO_08653, SACKO_30490, SACKO_30494, SACKO_05717, SACKO_21895, SACKO_27648, SACKO_19028, SACKO_29723
OG0000029	APOSJ_26876, APOSJ_26877, APOSJ_64430	SACKO_12540, SACKO_04574
OG0000029	APOSJ_13377	SACKO_07374
OG0000029	APOSJ_45558	SACKO_14992, SACKO_14998, SACKO_15002
OG0000029	APOSJ_01736, APOSJ_00280, APOSJ_39397, APOSJ_49234, APOSJ_49235, APOSJ_49236, APOSJ_02895, APOSJ_39949	SACKO_16822, SACKO_04689, SACKO_33098, SACKO_33086, SACKO_33097, SACKO_33076
OG0000030	APOSJ_01764, APOSJ_30576	SACKO_34042
OG0000030	APOSJ_19341, APOSJ_19347, APOSJ_19346, APOSJ_19342, APOSJ_19343, APOSJ_19349, APOSJ_19344, APOSJ_19348	SACKO_15145, SACKO_06184, SACKO_15141, SACKO_15135, SACKO_06169, SACKO_06668, SACKO_06170
OG0000030	APOSJ_26580	SACKO_24772
OG0000030	APOSJ_46611, APOSJ_46610	SACKO_23559
OG0000030	APOSJ_42302, APOSJ_42296, APOSJ_42301, APOSJ_42295, APOSJ_02556, APOSJ_42297, APOSJ_42298	SACKO_16655, SACKO_09928, SACKO_09940
OG0000030	APOSJ_30575	SACKO_34092, SACKO_34095
OG0000030	APOSJ_13201	SACKO_33974
OG0000030	APOSJ_45466	SACKO_26701
OG0000031	APOSJ_56428	SACKO_18621
OG0000031	APOSJ_58452	SACKO_18614
OG0000031	APOSJ_43290, APOSJ_43294, APOSJ_43291, APOSJ_43293	SACKO_16512
OG0000031	APOSJ_07842, APOSJ_07841	SACKO_26607, SACKO_21501
OG0000031	APOSJ_02849, APOSJ_17365, APOSJ_17366, APOSJ_17367, APOSJ_17368, APOSJ_17369, APOSJ_17370, APOSJ_43784, APOSJ_40601, APOSJ_23164, APOSJ_23163, APOSJ_23162	SACKO_14417
OG0000031	APOSJ_01762	SACKO_32680
OG0000031	APOSJ_03114, APOSJ_03115	SACKO_03088
OG0000031	APOSJ_44849, APOSJ_44847, APOSJ_44846, APOSJ_44844	SACKO_31006
OG0000032	APOSJ_07369, APOSJ_07366, APOSJ_07368, APOSJ_41042, APOSJ_07370, APOSJ_06491, APOSJ_04310, APOSJ_21314, APOSJ_04323, APOSJ_04322, APOSJ_21313, APOSJ_21315, APOSJ_10405, APOSJ_04319, APOSJ_22088, APOSJ_38003, APOSJ_62080, APOSJ_03906, APOSJ_24168, APOSJ_31058, APOSJ_63203, APOSJ_63204, APOSJ_63202, APOSJ_31060, APOSJ_31059, APOSJ_31055, APOSJ_31054, APOSJ_31053, APOSJ_01319, APOSJ_12995, APOSJ_15569	SACKO_02664
OG0000034	APOSJ_42844, APOSJ_62192, APOSJ_62189, APOSJ_62188, APOSJ_62186, APOSJ_59239, APOSJ_59236, APOSJ_59237, APOSJ_59235, APOSJ_59234, APOSJ_42840, APOSJ_29082, APOSJ_03040, APOSJ_42835, APOSJ_42836, APOSJ_42837, APOSJ_42838, APOSJ_42841, APOSJ_59238, APOSJ_59240, APOSJ_62187, APOSJ_62190, APOSJ_62191, APOSJ_62193	SACKO_08906
OG0000034	APOSJ_17818, APOSJ_17819	SACKO_15619
OG0000034	APOSJ_09404, APOSJ_13545, APOSJ_44168	SACKO_19192
OG0000034	APOSJ_60565, APOSJ_21305	SACKO_16505
OG0000034	APOSJ_17132, APOSJ_23482, APOSJ_23483, APOSJ_18928	SACKO_05860
OG0000034	APOSJ_63084, APOSJ_59127	SACKO_29852
OG0000034	APOSJ_09729	SACKO_18648
OG0000034	APOSJ_46606, APOSJ_46602, APOSJ_39468, APOSJ_58455, APOSJ_46604, APOSJ_46601, APOSJ_39472, APOSJ_58458, APOSJ_39471, APOSJ_46600, APOSJ_39470, APOSJ_58457, APOSJ_39469, APOSJ_46608, APOSJ_58456, APOSJ_39467, APOSJ_46603, APOSJ_46607	SACKO_20915
OG0000035	APOSJ_39487, APOSJ_39488, APOSJ_39486, APOSJ_39485, APOSJ_39489	SACKO_31939
OG0000035	APOSJ_28930, APOSJ_28931, APOSJ_28932, APOSJ_28929	SACKO_02558
OG0000035	APOSJ_64100, APOSJ_64034, APOSJ_48933, APOSJ_44915, APOSJ_44916, APOSJ_44917, APOSJ_45491	SACKO_31936
OG0000035	APOSJ_13857	SACKO_19408
OG0000035	APOSJ_11969, APOSJ_09937	SACKO_12639
OG0000035	APOSJ_53790	SACKO_16912
OG0000035	APOSJ_18309, APOSJ_18310, APOSJ_50254, APOSJ_18311	SACKO_19307, SACKO_22660
OG0000035	APOSJ_12145, APOSJ_12146	SACKO_07333, SACKO_04598
OG0000035	APOSJ_14503	SACKO_08422
OG0000036	APOSJ_00559, APOSJ_00560, APOSJ_09590, APOSJ_59128, APOSJ_28626, APOSJ_23280	SACKO_28321
OG0000036	APOSJ_40313, APOSJ_57892, APOSJ_57894	SACKO_14647
OG0000036	APOSJ_44483, APOSJ_44484	SACKO_15030
OG0000036	APOSJ_56208, APOSJ_19171, APOSJ_64125, APOSJ_37192, APOSJ_32710, APOSJ_16924, APOSJ_44485, APOSJ_44482, APOSJ_49668	SACKO_09791, SACKO_09801, SACKO_09793, SACKO_25463, SACKO_16059, SACKO_11679, SACKO_11682, SACKO_11688
OG0000036	APOSJ_49777, APOSJ_42183, APOSJ_42178, APOSJ_53453, APOSJ_49780, APOSJ_34471, APOSJ_42404, APOSJ_48372, APOSJ_48557, APOSJ_48377, APOSJ_48373, APOSJ_48374, APOSJ_42406, APOSJ_42405, APOSJ_00237, APOSJ_00230, APOSJ_00218, APOSJ_17179, APOSJ_05137, APOSJ_05138, APOSJ_31800, APOSJ_05136, APOSJ_07074, APOSJ_07075, APOSJ_52025, APOSJ_18384, APOSJ_18382, APOSJ_18383, APOSJ_21951, APOSJ_21954, APOSJ_57893, APOSJ_57895, APOSJ_33193, APOSJ_10054	SACKO_28315
OG0000037	APOSJ_63529, APOSJ_64474, APOSJ_63530	SACKO_22630
OG0000037	APOSJ_40888, APOSJ_40889	SACKO_05171
OG0000037	APOSJ_41930, APOSJ_41929	SACKO_15149
OG0000037	APOSJ_19984, APOSJ_19985, APOSJ_59245	SACKO_17953, SACKO_17956
OG0000037	APOSJ_34355, APOSJ_34356, APOSJ_34354, APOSJ_05458, APOSJ_62847, APOSJ_62846, APOSJ_62845, APOSJ_62844, APOSJ_05457, APOSJ_05456, APOSJ_05455, APOSJ_05454, APOSJ_05453, APOSJ_05452, APOSJ_06751, APOSJ_24879	SACKO_33312, SACKO_33301, SACKO_07664, SACKO_07652, SACKO_16025
OG0000038	APOSJ_11403, APOSJ_11402, APOSJ_06808, APOSJ_11405, APOSJ_10464	SACKO_01199
OG0000038	APOSJ_05677, APOSJ_26230, APOSJ_08121, APOSJ_08120, APOSJ_07933, APOSJ_58733, APOSJ_16433, APOSJ_12115, APOSJ_12110	SACKO_00016
OG0000038	APOSJ_30481	SACKO_05258, SACKO_05271
OG0000039	APOSJ_36538, APOSJ_23775, APOSJ_06567	SACKO_24480
OG0000039	APOSJ_23948	SACKO_16726, SACKO_16701, SACKO_22588
OG0000040	APOSJ_18915, APOSJ_27166, APOSJ_49316, APOSJ_27168, APOSJ_27165, APOSJ_20487, APOSJ_61474, APOSJ_16915, APOSJ_16914, APOSJ_31565, APOSJ_44161, APOSJ_32230, APOSJ_32274, APOSJ_44162, APOSJ_59917, APOSJ_18917, APOSJ_27167, APOSJ_18916, APOSJ_27164, APOSJ_49313, APOSJ_22639, APOSJ_32774, APOSJ_32770, APOSJ_32773, APOSJ_32772, APOSJ_32771, APOSJ_08219, APOSJ_13680, APOSJ_13682, APOSJ_13677, APOSJ_13681, APOSJ_20336, APOSJ_13679	SACKO_18377, SACKO_18375, SACKO_18381, SACKO_18372, SACKO_21524, SACKO_18370, SACKO_21492, SACKO_21526, SACKO_12837, SACKO_20866, SACKO_06279, SACKO_20851
OG0000041	APOSJ_07883	SACKO_08282
OG0000041	APOSJ_00247	SACKO_06500, SACKO_06515
OG0000042	APOSJ_60830, APOSJ_16283, APOSJ_27361	SACKO_09704, SACKO_06360, SACKO_13545, SACKO_01479, SACKO_01780, SACKO_01784, SACKO_06831, SACKO_06769, SACKO_11034, SACKO_11057, SACKO_23094, SACKO_05345, SACKO_01657, SACKO_14496
OG0000043	APOSJ_56130	SACKO_10927, SACKO_10915
OG0000044	APOSJ_20279, APOSJ_20278	SACKO_25267, SACKO_00121
OG0000044	APOSJ_22626, APOSJ_55615, APOSJ_55614, APOSJ_28339, APOSJ_28351, APOSJ_28336, APOSJ_22636, APOSJ_03631	SACKO_11589
OG0000044	APOSJ_46280	SACKO_12560, SACKO_18675
OG0000044	APOSJ_55841	SACKO_33185, SACKO_12809, SACKO_27728, SACKO_25979
OG0000045	APOSJ_60841	SACKO_32881
